pXC50,Eig10_AEA.ri.,Eig10_EA.ri.,Eig10_EA.ed.,SM05_AEA.ri.,Eig08_AEA.bo.,Eig08_EA.bo.,Eig04_EA.bo.,SM14_AEA.ri.,Wap,Eig12_EA.ri.,Eig08_EA.ri.,Eig12_AEA.ri.,Eig08_EA,SM02_AEA.dm.,Eig08_AEA.ri.,GGI9,Eig08_AEA.ed.,Eig10_AEA.bo.,Eig08_EA.ed.,SM03_AEA.ri.,Eig09_EA.bo.,Eig10_EA,SM04_AEA.dm.,Eig07_EA.bo.,Eig10_AEA.ed.,Eig08_AEA.dm.,Eig12_EA.ed.,SM07_AEA.ri.,SpMin3_Bh.e.,Eig12_EA.bo.,Eig13_AEA.ed.,SpMaxA_AEA.bo.,Eig10_EA.bo.,Eig12_AEA.bo.,SpMax3_Bh.p.,Xindex,IC5,D.Dtr06,Eig07_AEA.bo.,nAB,Eta_beta,Eig06_EA.ed.,SM15_AEA.dm.,Eig04_AEA.bo.,SpMin3_Bh.i.,Eig11_AEA.ri.,Ui,Eig04_EA.ri.,Eig11_EA.ri.,Eig09_AEA.ri.,Eig09_AEA.bo.,nCsp2,Eig05_AEA.bo.,PCD,MDDD,X2sol,Eta_betaP,HVcpx,Eig05_AEA.ri.,Eig06_EA,SM14_AEA.bo.,SpMax3_Bh.v.,Eig09_EA.ed.,SM04_AEA.ri.,TPC
7.357,2.173,1.155,2.828,2.828,2.926,1.996,3.075,3.075,21987.0,0.953,1.522,1.965,1.605,1.605,2.564,0.326,4.228,2.5,3.999,3.999,1.813,1.207,1.207,2.262,3.886,2.039,2.275,2.275,1.66,1.299,3.369,0.126,1.5,2.364,3.678,0.296,5.136,279.046,3.1,17,42.5,6.795,6.795,3.887,1.628,2.0,3.524,2.402,1.0,2.319,2.735,17,3.725,2.821,44.457,13.263,20.0,3.887,3.346,2.315,2.315,3.696,3.381,3.381,7.58
7.481,2.0,1.0,2.494,2.494,2.876,1.963,3.068,3.068,15833.0,0.952,1.403,1.964,1.476,1.476,2.439,0.226,4.224,2.5,3.754,3.754,1.5,1.024,1.024,2.034,3.488,1.822,2.136,2.136,1.66,1.292,3.247,0.137,1.5,2.359,3.676,0.298,5.058,252.884,2.945,17,40.0,5.09,5.09,3.857,1.627,2.0,3.524,2.401,1.0,2.191,2.5,17,3.724,2.717,36.688,12.079,19.5,3.776,3.345,1.925,1.925,3.689,2.845,2.845,7.324
6.187,2.0,1.0,2.275,2.275,2.535,1.548,3.067,3.067,13238.0,0.95,1.221,1.963,1.27,1.27,2.24,0.146,3.876,2.5,3.009,3.009,1.5,1.022,1.022,1.994,3.414,1.748,2.086,2.086,1.673,1.153,3.122,0.144,1.5,2.257,3.677,0.286,5.058,227.597,2.926,17,37.75,4.076,4.076,3.725,1.636,2.0,3.524,2.26,1.0,2.042,2.5,17,3.43,2.8,32.521,12.079,19.5,3.804,3.024,1.696,1.696,3.683,2.573,2.573,7.143
5.0,2.0,1.0,2.521,2.521,2.879,1.983,3.084,3.084,16974.0,0.954,1.404,1.964,1.482,1.482,2.442,0.286,4.301,2.5,3.775,3.775,1.775,1.026,1.026,2.413,3.837,2.024,2.275,2.275,1.689,1.353,3.247,0.129,1.5,2.407,3.678,0.31,5.28,271.608,3.305,17,41.25,6.567,6.567,3.863,1.648,2.0,3.524,2.433,1.0,2.345,2.775,17,3.748,2.665,38.706,12.882,19.5,3.773,3.416,2.257,2.257,3.69,3.418,3.418,7.407
5.0,2.0,1.0,2.521,2.521,2.879,1.983,3.084,3.084,16974.0,0.954,1.404,1.964,1.482,1.482,2.442,0.286,4.301,2.5,3.775,3.775,1.775,1.026,1.026,2.413,3.837,2.024,2.275,2.275,1.689,1.353,3.247,0.129,1.5,2.407,3.678,0.31,5.28,271.608,3.305,17,41.25,6.567,6.567,3.863,1.648,2.0,3.524,2.433,1.0,2.345,2.775,17,3.748,2.665,38.706,12.882,19.5,3.773,3.416,2.257,2.257,3.69,3.418,3.418,7.407
5.0,2.0,1.0,2.497,2.497,2.884,1.963,3.074,3.074,16930.0,0.965,1.439,1.981,1.507,1.507,2.471,0.28,4.293,2.5,3.834,3.834,1.863,1.06,1.06,2.357,3.775,2.031,2.269,2.269,1.697,1.328,3.247,0.129,1.5,2.392,3.68,0.311,5.28,271.657,3.241,17,41.25,6.744,6.744,3.888,1.658,2.0,3.524,2.485,1.0,2.365,2.814,17,3.728,2.665,39.166,12.882,19.5,3.766,3.36,2.289,2.289,3.693,3.598,3.598,7.407
7.102,2.17,1.159,2.83,2.83,2.923,2.026,3.52,3.52,26094.0,1.0,1.567,2.0,1.635,1.635,2.597,0.231,4.305,2.5,3.913,3.913,1.952,1.179,1.179,2.665,3.886,1.828,2.275,2.275,1.662,1.477,3.37,0.126,1.5,2.495,3.676,0.245,5.185,265.18,3.349,22,45.25,5.092,5.092,4.038,1.628,2.0,3.807,2.61,1.0,2.418,2.865,20,3.857,3.442,40.183,13.229,23.0,3.814,3.545,1.949,1.949,3.689,3.703,3.703,7.681
5.444,2.034,1.028,2.532,2.532,2.884,1.991,3.04,3.04,15833.0,0.926,1.414,1.936,1.485,1.485,2.448,0.235,4.187,2.5,3.735,3.735,1.655,1.041,1.041,2.051,3.509,1.822,2.136,2.136,1.66,1.273,3.247,0.137,1.5,2.348,3.676,0.303,5.209,251.238,2.943,17,40.0,5.089,5.089,3.857,1.627,2.0,3.524,2.401,1.0,2.265,2.622,17,3.661,2.738,35.418,12.091,19.5,3.731,3.29,1.924,1.924,3.688,2.889,2.889,7.324
5.0,2.0,1.0,2.497,2.497,2.884,1.963,3.074,3.074,16930.0,0.965,1.439,1.981,1.507,1.507,2.471,0.28,4.293,2.5,3.834,3.834,1.863,1.06,1.06,2.357,3.775,2.031,2.269,2.269,1.697,1.328,3.247,0.129,1.5,2.392,3.68,0.311,5.28,271.657,3.241,17,41.25,6.744,6.744,3.888,1.658,2.0,3.524,2.485,1.0,2.365,2.814,17,3.728,2.665,39.166,12.882,19.5,3.766,3.36,2.289,2.289,3.693,3.598,3.598,7.407
5.276,2.0,1.0,2.504,2.504,2.879,1.981,3.081,3.081,16371.0,0.953,1.404,1.964,1.481,1.481,2.441,0.286,4.301,2.5,3.775,3.775,1.735,1.025,1.025,2.332,3.809,2.021,2.275,2.275,1.694,1.346,3.247,0.133,1.5,2.403,3.678,0.305,5.195,262.125,3.251,17,40.5,6.041,6.041,3.862,1.649,2.0,3.524,2.421,1.0,2.324,2.747,17,3.743,2.691,37.917,12.713,19.5,3.769,3.391,2.192,2.192,3.69,3.34,3.34,7.366
5.553,2.0,1.0,2.496,2.496,2.883,1.963,3.073,3.073,16349.0,0.962,1.433,1.977,1.5,1.5,2.465,0.265,4.29,2.5,3.824,3.824,1.823,1.053,1.053,2.282,3.745,2.029,2.242,2.242,1.704,1.324,3.247,0.133,1.5,2.39,3.681,0.306,5.195,262.154,3.189,17,40.5,6.198,6.198,3.882,1.659,2.0,3.524,2.464,1.0,2.348,2.79,17,3.727,2.691,38.27,12.713,19.5,3.767,3.354,2.22,2.22,3.692,3.539,3.539,7.366
6.102,2.105,1.077,2.828,2.828,2.904,1.996,3.069,3.069,17275.0,1.0,1.455,2.0,1.501,1.501,2.475,0.308,4.225,2.5,3.932,3.932,1.738,1.159,1.159,2.072,3.585,1.864,2.136,2.136,1.665,1.37,3.247,0.132,1.5,2.418,3.736,0.292,5.138,266.034,2.947,17,40.5,6.058,6.058,3.871,1.632,2.0,3.524,2.402,1.0,2.317,2.705,17,3.725,2.688,40.283,12.527,19.5,3.834,3.345,2.151,2.151,3.754,3.0,3.0,7.375
7.027,2.002,1.0,2.815,2.815,2.925,1.994,3.084,3.084,17738.0,0.978,1.486,2.0,1.594,1.594,2.549,0.246,4.228,2.5,3.998,3.998,1.562,1.073,1.073,2.271,3.886,2.039,2.275,2.275,1.66,1.338,3.37,0.133,1.5,2.393,3.687,0.297,5.058,261.813,3.106,17,40.75,6.094,6.094,3.879,1.627,2.0,3.524,2.402,1.0,2.237,2.562,17,3.725,2.75,39.135,13.109,19.5,3.826,3.345,2.273,2.273,3.7,3.311,3.311,7.416
6.658,2.0,1.0,2.494,2.494,2.692,1.703,3.067,3.067,15833.0,0.952,1.403,1.964,1.476,1.476,2.439,0.226,4.224,2.428,3.754,3.754,1.5,1.024,1.024,1.994,3.488,1.822,2.136,2.136,1.661,1.1,3.247,0.136,1.387,2.151,3.645,0.298,5.043,252.884,2.928,11,34.0,5.09,5.09,3.79,1.628,2.0,3.087,2.401,1.0,2.191,2.5,11,3.724,1.854,36.688,12.079,13.5,3.776,3.345,1.925,1.925,3.643,2.845,2.845,7.324
6.854,2.081,1.053,2.82,2.82,2.926,1.995,3.109,3.109,21987.0,1.0,1.528,2.0,1.609,1.609,2.568,0.351,4.234,2.5,4.003,4.003,1.591,1.155,1.155,2.3,3.886,2.039,2.275,2.275,1.66,1.353,3.371,0.126,1.5,2.403,3.679,0.292,4.969,280.691,3.13,17,42.5,6.845,6.845,3.888,1.628,2.0,3.524,2.402,1.0,2.263,2.586,17,3.725,2.798,46.465,13.251,20.0,3.921,3.346,2.372,2.372,3.697,3.404,3.404,7.58
7.658,2.164,1.149,2.843,2.843,2.938,2.031,3.145,3.145,21017.0,0.956,1.59,1.959,1.673,1.673,2.63,0.266,4.306,2.5,4.033,4.033,1.955,1.181,1.181,2.666,3.888,2.018,2.275,2.275,1.658,1.462,3.4,0.126,1.5,2.486,3.675,0.284,5.171,282.285,3.351,17,42.75,6.826,6.826,4.097,1.626,2.0,3.524,2.441,1.0,2.429,2.873,16,3.857,2.753,45.216,12.079,19.5,3.862,3.545,2.371,2.371,3.688,3.753,3.753,7.521
6.602,2.695,1.634,4.431,4.431,3.347,2.647,3.475,3.475,90633.0,1.315,1.868,2.327,1.891,1.891,2.88,0.527,4.816,2.996,5.001,5.001,2.461,1.703,1.703,2.938,4.479,2.289,3.29,3.29,1.804,1.784,3.55,0.102,2.054,2.749,3.791,0.254,5.228,644.84,3.588,28,57.0,7.575,7.575,4.016,1.775,2.375,4.087,2.607,1.32,2.71,3.166,27,3.879,4.77,50.406,18.27,29.5,3.429,3.552,2.369,2.369,3.789,4.62,4.62,8.923
7.222,2.706,1.634,4.618,4.618,3.459,2.696,3.451,3.451,105140.0,1.32,2.009,2.375,2.101,2.101,3.064,0.485,5.201,2.996,6.241,6.241,2.494,1.739,1.739,3.013,4.54,2.323,3.317,3.317,1.884,1.852,3.64,0.098,2.088,2.757,3.827,0.241,5.428,702.724,3.717,28,59.0,7.232,7.232,3.956,1.859,2.487,4.087,2.538,1.48,2.729,3.196,27,3.892,4.729,60.198,19.059,30.0,3.573,3.521,2.386,2.386,3.82,4.817,4.817,9.004
6.201,2.375,1.32,3.763,3.763,3.178,2.47,3.431,3.431,44403.0,1.019,1.699,2.04,1.796,1.796,2.717,0.4,4.735,2.755,4.757,4.757,2.054,1.465,1.465,2.68,4.384,2.19,2.692,2.692,1.763,1.5,3.513,0.117,1.848,2.5,3.719,0.304,5.153,432.11,3.436,22,48.75,6.677,6.677,3.938,1.722,2.281,3.807,2.533,1.266,2.704,2.996,21,3.737,3.69,37.205,16.217,24.0,3.175,3.359,2.35,2.35,3.722,4.617,4.617,8.393
5.523,2.426,1.37,3.966,3.966,2.916,2.045,3.108,3.108,32161.0,1.139,1.794,2.16,1.879,1.879,2.839,0.467,4.618,2.805,4.963,4.963,1.879,1.507,1.507,2.506,4.373,2.093,2.619,2.619,1.742,1.5,3.448,0.125,1.846,2.5,3.64,0.344,5.111,311.038,3.327,16,40.5,6.683,6.683,3.783,1.714,2.166,3.459,2.39,1.157,2.543,2.879,15,3.745,2.978,35.025,15.351,17.5,3.176,3.366,2.263,2.263,3.654,4.14,4.14,8.126
7.0,2.53,1.518,3.845,3.845,3.064,2.192,3.418,3.418,69932.0,1.137,1.679,2.139,1.792,1.792,2.726,0.382,4.687,2.859,4.739,4.739,2.045,1.546,1.546,2.621,4.327,2.141,2.69,2.69,1.73,1.5,3.513,0.111,1.941,2.5,3.682,0.261,5.32,337.986,3.366,21,47.25,7.725,7.725,3.984,1.704,2.298,3.644,2.568,1.268,2.672,2.962,16,3.753,3.611,41.314,16.684,20.5,3.322,3.422,2.375,2.375,3.694,4.555,4.555,8.719
5.866,2.16,1.154,2.621,2.621,2.914,2.042,3.108,3.108,21081.0,0.968,1.53,1.982,1.556,1.556,2.542,0.191,4.466,2.5,4.053,4.053,1.775,1.179,1.179,2.071,3.589,1.813,1.959,1.959,1.742,1.132,3.19,0.14,1.5,2.158,3.647,0.353,5.041,174.903,2.997,16,38.0,5.466,5.466,3.764,1.714,2.0,3.459,2.375,1.0,2.349,2.733,15,3.727,3.073,28.789,13.365,17.5,3.06,3.337,1.962,1.962,3.653,3.54,3.54,7.796
6.921,2.16,1.154,2.622,2.622,2.914,2.042,3.108,3.108,23781.0,0.981,1.531,1.994,1.557,1.557,2.542,0.223,4.462,2.5,4.053,4.053,1.782,1.179,1.179,2.064,3.594,1.814,2.136,2.136,1.721,1.142,3.247,0.136,1.5,2.166,3.664,0.352,5.027,179.277,2.998,16,38.5,5.463,5.463,3.762,1.702,2.0,3.459,2.373,1.0,2.366,2.742,15,3.72,3.045,30.395,13.718,17.5,3.078,3.334,1.962,1.962,3.664,3.55,3.55,7.888
6.854,2.415,1.374,3.628,3.628,2.999,2.084,3.416,3.416,44188.0,1.033,1.636,2.053,1.789,1.789,2.708,0.388,4.611,2.784,4.632,4.632,2.044,1.485,1.485,2.574,4.257,2.14,2.67,2.67,1.73,1.479,3.512,0.119,1.85,2.485,3.58,0.299,5.224,319.181,3.322,21,45.75,7.456,7.456,3.984,1.704,2.177,3.644,2.562,1.172,2.546,2.921,16,3.752,3.512,37.153,15.883,20.5,3.231,3.419,2.289,2.289,3.605,4.211,4.211,8.379
6.665,2.346,1.31,3.556,3.556,2.985,2.047,3.408,3.408,44479.0,1.017,1.632,2.037,1.788,1.788,2.705,0.323,4.56,2.716,4.62,4.62,2.024,1.412,1.412,2.508,4.243,2.16,2.603,2.603,1.708,1.464,3.434,0.119,1.773,2.474,3.588,0.297,5.397,319.57,3.265,21,45.0,6.803,6.803,3.983,1.692,2.13,3.644,2.52,1.119,2.529,2.896,16,3.752,3.512,38.058,15.534,20.0,3.268,3.416,2.172,2.172,3.617,4.048,4.048,8.379
5.215,2.16,1.154,2.692,2.692,2.915,2.041,3.108,3.108,26721.0,1.0,1.531,2.0,1.557,1.557,2.542,0.229,4.459,2.5,4.053,4.053,1.79,1.182,1.182,2.059,3.611,1.815,2.136,2.136,1.75,1.234,3.247,0.132,1.5,2.249,3.676,0.348,5.107,291.669,2.998,16,39.0,5.462,5.462,3.761,1.716,2.092,3.459,2.372,1.081,2.39,2.751,15,3.717,3.02,32.367,14.072,17.5,3.136,3.333,1.963,1.963,3.672,3.562,3.562,7.973
6.081,2.124,1.106,2.611,2.611,2.811,1.854,3.108,3.108,16391.0,0.945,1.37,1.958,1.503,1.503,2.424,0.172,4.306,2.5,3.735,3.735,1.521,1.167,1.167,2.045,3.554,1.811,1.892,1.892,1.722,1.111,3.073,0.148,1.5,2.144,3.481,0.423,4.911,170.921,2.916,16,37.0,5.442,5.442,3.757,1.703,2.0,3.459,2.357,1.0,2.16,2.517,15,3.672,3.143,27.232,12.918,17.5,3.019,3.298,1.937,1.937,3.489,2.849,2.849,7.585
6.602,2.157,1.149,2.692,2.692,2.915,2.041,3.108,3.108,26721.0,1.0,1.519,2.0,1.557,1.557,2.536,0.229,4.459,2.5,4.053,4.053,1.79,1.182,1.182,2.059,3.611,1.885,2.136,2.136,1.724,1.234,3.247,0.132,1.5,2.249,3.551,0.348,5.027,291.669,2.998,16,40.0,5.462,5.462,3.761,1.697,2.022,3.459,2.369,1.001,2.373,2.751,14,3.717,3.02,32.367,14.072,17.5,3.136,3.331,1.963,1.963,3.571,3.562,3.562,7.973
6.921,2.16,1.154,2.692,2.692,2.915,2.041,3.108,3.108,26721.0,1.0,1.53,2.0,1.557,1.557,2.542,0.229,4.459,2.5,4.053,4.053,1.79,1.182,1.182,2.059,3.611,1.885,2.136,2.136,1.731,1.234,3.247,0.132,1.5,2.249,3.57,0.348,5.064,291.669,2.998,16,39.5,5.462,5.462,3.761,1.709,2.038,3.459,2.37,1.016,2.374,2.751,15,3.717,3.02,32.367,14.072,17.5,3.136,3.331,1.963,1.963,3.588,3.562,3.562,7.973
5.523,2.039,1.017,2.69,2.69,2.754,1.832,3.035,3.035,22553.0,0.946,1.32,1.952,1.465,1.465,2.375,0.178,4.306,2.5,3.675,3.675,1.739,1.131,1.131,2.054,3.512,1.822,2.136,2.136,1.66,1.12,3.247,0.141,1.5,2.158,3.562,0.338,4.852,262.362,2.996,16,38.0,4.789,4.789,3.727,1.648,2.0,3.459,2.302,1.0,2.258,2.708,15,3.64,3.044,29.619,13.038,17.5,3.179,3.248,1.815,1.815,3.581,3.091,3.091,7.806
6.244,2.372,1.317,3.071,3.071,2.915,2.05,3.173,3.173,29432.0,1.016,1.541,2.037,1.585,1.585,2.56,0.265,4.557,2.744,4.479,4.479,1.988,1.414,1.414,2.061,3.93,1.909,2.645,2.645,1.73,1.234,3.439,0.129,1.781,2.249,3.57,0.35,5.188,300.175,2.998,16,40.25,6.031,6.031,3.805,1.708,2.15,3.459,2.396,1.143,2.382,2.855,15,3.728,3.096,33.296,14.072,17.5,3.131,3.378,2.069,2.069,3.588,3.734,3.734,8.052
6.569,2.293,1.269,3.246,3.246,2.995,2.055,3.198,3.198,29432.0,1.016,1.614,2.036,1.728,1.728,2.674,0.308,4.557,2.684,4.62,4.62,1.857,1.32,1.32,2.266,4.143,2.035,2.51,2.51,1.73,1.234,3.438,0.129,1.736,2.249,3.57,0.347,5.188,301.437,3.093,16,40.25,6.128,6.128,3.809,1.708,2.129,3.459,2.388,1.122,2.388,2.787,15,3.73,3.067,33.853,14.072,17.5,3.141,3.376,2.177,2.177,3.588,3.885,3.885,8.052
6.284,2.044,1.026,2.692,2.692,2.86,1.985,3.092,3.092,23794.0,0.946,1.414,1.952,1.474,1.474,2.433,0.178,4.43,2.5,3.9,3.9,1.785,1.132,1.132,2.055,3.539,1.881,2.136,2.136,1.685,1.173,3.247,0.14,1.5,2.201,3.566,0.345,4.895,271.387,2.997,16,38.5,5.255,5.255,3.748,1.678,2.0,3.459,2.344,1.0,2.374,2.75,15,3.713,3.035,30.125,13.478,17.5,3.156,3.324,1.914,1.914,3.585,3.459,3.459,7.865
6.62,2.052,1.041,2.692,2.692,2.898,2.027,3.106,3.106,25183.0,0.975,1.478,1.99,1.515,1.515,2.494,0.209,4.454,2.5,3.999,3.999,1.788,1.132,1.132,2.056,3.573,1.884,2.136,2.136,1.712,1.196,3.247,0.136,1.5,2.218,3.568,0.348,4.982,281.2,2.997,16,39.0,5.415,5.415,3.759,1.698,2.0,3.459,2.364,1.0,2.374,2.751,15,3.717,3.027,31.005,13.691,17.5,3.142,3.33,1.948,1.948,3.586,3.53,3.53,7.92
6.538,2.26,1.241,3.277,3.277,2.995,2.055,3.213,3.213,29432.0,1.0,1.619,2.0,1.748,1.748,2.685,0.349,4.557,2.547,4.62,4.62,1.833,1.285,1.285,2.319,4.176,2.063,2.275,2.275,1.729,1.235,3.414,0.129,1.547,2.249,3.57,0.345,5.064,302.949,3.136,16,40.25,6.117,6.117,3.811,1.707,2.06,3.459,2.385,1.036,2.388,2.78,15,3.731,3.058,34.55,14.072,17.5,3.175,3.375,2.22,2.22,3.588,3.916,3.916,8.052
5.523,2.034,1.015,2.136,2.136,2.7,1.706,3.004,3.004,16520.0,0.933,1.318,1.947,1.464,1.464,2.374,0.15,4.317,2.203,3.687,3.687,1.239,1.116,1.116,1.941,3.458,1.837,1.735,1.735,1.672,1.0,3.023,0.148,1.189,2.046,3.497,0.409,5.015,182.969,2.865,10,31.5,4.622,4.622,3.732,1.614,1.952,3.0,2.328,0.946,2.138,2.253,9,3.51,2.236,29.494,12.559,11.5,3.132,3.16,1.805,1.805,3.492,2.673,2.673,7.585
7.125,2.16,1.154,2.692,2.692,2.953,2.051,3.111,3.111,26721.0,1.0,1.53,2.0,1.557,1.557,2.542,0.229,4.459,2.66,4.053,4.053,1.793,1.182,1.182,2.08,3.611,1.888,2.136,2.136,1.725,1.304,3.247,0.132,1.595,2.376,3.571,0.348,5.064,291.669,2.999,16,40.5,5.462,5.462,3.763,1.708,2.038,3.585,2.37,1.016,2.374,2.751,17,3.717,3.063,32.367,14.072,18.5,3.136,3.331,1.963,1.963,3.588,3.562,3.562,7.973
6.959,2.374,1.32,3.56,3.56,2.997,2.056,3.14,3.14,31791.0,1.0,1.635,2.004,1.789,1.789,2.708,0.449,4.557,2.751,4.62,4.62,2.027,1.461,1.461,2.62,4.238,2.131,2.595,2.595,1.724,1.419,3.459,0.122,1.788,2.441,3.57,0.344,5.064,324.739,3.347,16,41.75,7.547,7.547,3.98,1.707,2.056,3.459,2.482,1.046,2.497,2.899,15,3.756,2.999,37.021,14.072,17.5,3.157,3.413,2.364,2.364,3.588,4.049,4.049,8.119
