pXC50,nHet,MW,nCsp2,O.,nBO,X.,Sv,nX,N.,nO,nSK,SCBO,nAB,Se,Si,nBT,nBM,nC,nAT,nCsp3,Mv,Sp,H.,RBF,nCL,nDB,Mp,nN,Me,nH
5.0,10,594.72,24,7.7,49,0.0,50.276,0,5.1,6,44,64.0,22,78.625,87.478,83.0,26,34,78.0,10,0.645,52.171,43.6,0.133,0,4,0.669,4,1.008,34
5.796,7,399.54,12,6.9,30,0.0,34.772,0,5.2,4,29,38.5,11,58.101,65.73,59.0,14,22,58.0,10,0.6,36.733,50.0,0.169,0,3,0.633,3,1.002,29
5.237,7,394.94,9,7.4,28,1.9,32.578,1,3.7,4,27,34.0,6,54.323,61.176,55.0,9,20,54.0,11,0.603,34.586,50.0,0.127,1,3,0.64,2,1.006,27
5.638,8,438.58,12,6.5,35,0.0,37.793,0,6.5,4,32,43.5,11,62.203,70.228,65.0,14,24,62.0,12,0.61,39.739,48.4,0.108,0,3,0.641,4,1.003,30
4.519,7,354.87,9,8.5,24,2.1,28.524,1,4.3,4,24,30.0,6,47.556,53.345,47.0,9,17,47.0,8,0.607,30.063,48.9,0.213,1,3,0.64,2,1.012,23
6.0,7,423.0,9,6.7,30,1.7,35.631,1,3.3,4,29,36.0,6,60.091,68.006,61.0,9,22,60.0,13,0.594,38.108,51.7,0.115,1,3,0.635,2,1.002,31
5.638,7,406.95,9,7.3,30,1.8,33.578,1,3.6,4,28,36.0,6,55.323,62.176,57.0,9,21,55.0,12,0.611,35.586,49.1,0.123,1,3,0.647,2,1.006,27
5.0,10,566.66,24,8.3,47,0.0,47.223,0,5.6,6,42,62.0,22,72.858,80.647,77.0,26,32,72.0,8,0.656,48.648,41.7,0.117,0,4,0.676,4,1.012,30
4.682,7,380.91,9,7.8,27,2.0,31.051,1,3.9,4,26,33.0,6,51.44,57.761,52.0,9,19,51.0,10,0.609,32.824,49.0,0.135,1,3,0.644,2,1.009,25
5.222,8,469.45,9,6.6,33,3.3,37.459,2,3.3,4,31,39.0,6,61.414,68.95,63.0,9,23,61.0,14,0.614,39.966,49.2,0.111,2,3,0.655,2,1.007,30
4.996,7,368.9,9,8.0,25,2.0,30.051,1,4.0,4,25,31.0,6,50.44,56.761,50.0,9,18,50.0,9,0.601,31.824,50.0,0.18,1,3,0.636,2,1.009,25
6.301,6,440.64,13,5.9,33,0.0,39.858,0,2.9,4,32,41.5,11,67.534,76.893,69.0,14,26,68.0,13,0.586,42.773,52.9,0.203,0,3,0.629,2,0.993,36
4.991,7,396.96,9,7.1,27,1.8,33.105,1,3.6,4,27,33.0,6,56.207,63.591,56.0,9,20,56.0,11,0.591,35.347,51.8,0.214,1,3,0.631,2,1.004,29
4.314,6,334.46,9,8.0,24,0.0,29.224,0,4.0,4,24,30.0,6,50.116,56.817,50.0,9,18,50.0,9,0.584,30.966,52.0,0.18,0,3,0.619,2,1.002,26
4.398,8,412.54,9,6.9,32,0.0,35.266,0,6.9,4,30,40.0,6,58.32,65.813,60.0,10,22,58.0,12,0.608,36.978,48.3,0.117,0,3,0.638,4,1.006,28
5.509,8,403.34,9,8.0,26,4.0,30.879,2,4.0,4,26,32.0,6,50.763,56.705,50.0,9,18,50.0,9,0.618,32.682,48.0,0.18,2,3,0.654,2,1.015,24
5.495,7,382.93,9,7.5,26,1.9,31.578,1,3.8,4,26,32.0,6,53.323,60.176,53.0,9,19,53.0,10,0.596,33.586,50.9,0.189,1,3,0.634,2,1.006,27
4.783,8,417.56,9,8.2,32,0.0,36.013,0,4.9,5,30,38.0,6,61.312,69.355,63.0,9,22,61.0,13,0.59,37.949,50.8,0.127,0,3,0.622,3,1.005,31
4.296,7,340.84,9,9.1,23,2.3,26.998,1,4.5,4,23,29.0,6,44.673,49.93,44.0,9,16,44.0,7,0.614,28.301,47.7,0.205,1,3,0.643,2,1.015,21
6.398,7,447.02,9,6.5,34,1.6,37.631,1,3.2,4,31,40.0,6,62.091,70.006,65.0,9,24,62.0,15,0.607,40.108,50.0,0.138,1,3,0.647,2,1.001,31
5.429,10,566.66,24,8.3,47,0.0,47.223,0,5.6,6,42,62.0,22,72.858,80.647,77.0,26,32,72.0,8,0.656,48.648,41.7,0.117,0,4,0.676,4,1.012,30
6.699,7,451.62,13,6.1,36,0.0,39.825,0,4.5,4,33,44.5,11,65.869,74.561,69.0,14,26,66.0,13,0.603,42.256,50.0,0.101,0,3,0.64,3,0.998,33
5.0,10,580.69,24,8.0,48,0.0,48.75,0,5.3,6,43,63.0,22,75.741,84.062,80.0,26,33,75.0,9,0.65,50.409,42.7,0.125,0,4,0.672,4,1.01,32
4.018,6,320.43,9,8.5,23,0.0,27.697,0,4.3,4,23,29.0,6,47.232,53.401,47.0,9,17,47.0,8,0.589,29.205,51.1,0.213,0,3,0.621,2,1.005,24
4.441,7,354.87,9,8.5,24,2.1,28.524,1,4.3,4,24,30.0,6,47.556,53.345,47.0,9,17,47.0,8,0.607,30.063,48.9,0.213,1,3,0.64,2,1.012,23
5.0,10,575.8,18,5.1,45,0.0,48.582,0,6.4,4,41,57.0,16,78.032,87.892,82.0,20,31,78.0,13,0.623,51.677,47.4,0.11,0,4,0.663,5,1.0,37
8.167,17,768.0,21,8.7,56,0.0,62.833,0,6.8,9,54,71.0,16,104.29,117.012,105.0,23,37,103.0,16,0.61,65.767,47.6,0.21,0,7,0.639,7,1.013,49
5.211,10,559.73,18,6.4,45,0.0,48.11,0,6.4,5,41,57.0,16,78.283,88.182,82.0,20,31,78.0,13,0.617,50.483,47.4,0.11,0,4,0.647,5,1.004,37
5.0,10,591.87,18,3.8,45,0.0,49.054,0,6.4,3,41,57.0,16,77.781,87.603,82.0,20,31,78.0,13,0.629,52.87,47.4,0.11,0,4,0.678,5,0.997,37
5.0,8,531.77,16,3.8,43,0.0,47.734,0,6.3,3,39,53.0,16,79.396,90.593,84.0,18,31,80.0,15,0.597,51.097,51.3,0.107,0,2,0.639,5,0.992,41
5.0,10,575.8,18,5.1,45,0.0,48.582,0,6.4,4,41,57.0,16,78.032,87.892,82.0,20,31,78.0,13,0.623,51.677,47.4,0.11,0,4,0.663,5,1.0,37
5.237,13,694.86,25,7.5,56,0.0,58.614,0,6.5,7,51,72.0,22,93.807,104.929,98.0,27,38,93.0,13,0.63,60.921,45.2,0.143,0,5,0.655,6,1.009,42
5.0,10,575.8,18,5.1,45,0.0,48.582,0,6.4,4,41,57.0,16,78.032,87.892,82.0,20,31,78.0,13,0.623,51.677,47.4,0.11,0,4,0.663,5,1.0,37
6.695,10,566.66,24,8.3,47,0.0,47.223,0,5.6,6,42,62.0,22,72.858,80.647,77.0,26,32,72.0,8,0.656,48.648,41.7,0.117,0,4,0.676,4,1.012,30
7.076,24,1013.3,28,10.4,72,0.0,78.668,0,6.4,13,69,93.0,22,127.505,141.433,128.0,32,45,125.0,17,0.629,82.171,44.8,0.219,0,10,0.657,8,1.02,56
8.893,24,1013.3,28,10.4,72,0.0,78.668,0,6.4,13,69,93.0,22,127.505,141.433,128.0,32,45,125.0,17,0.629,82.171,44.8,0.219,0,10,0.657,8,1.02,56
5.0,8,459.6,17,4.8,38,0.0,39.573,0,7.9,3,34,49.0,16,63.094,71.102,67.0,19,26,63.0,9,0.628,41.529,46.0,0.09,0,3,0.659,5,1.001,29
5.0,10,604.77,23,4.9,50,0.0,51.89,0,7.4,4,45,66.0,22,81.174,91.055,86.0,26,35,81.0,11,0.641,54.273,44.4,0.128,0,3,0.67,6,1.002,36
5.0,8,459.6,17,4.8,38,0.0,39.573,0,7.9,3,34,49.0,16,63.094,71.102,67.0,19,26,63.0,9,0.628,41.529,46.0,0.09,0,3,0.659,5,1.001,29
5.358,9,621.85,18,4.5,53,0.0,54.975,0,5.6,4,46,65.0,16,88.607,100.218,96.0,20,37,89.0,19,0.618,58.313,48.3,0.083,0,4,0.655,5,0.996,43
7.602,15,696.91,20,8.6,51,0.0,57.043,0,6.5,8,49,65.0,16,94.094,105.474,95.0,22,34,93.0,14,0.613,59.784,47.3,0.2,0,6,0.643,6,1.012,44
8.174,11,671.92,18,6.1,54,0.0,58.985,0,5.1,6,49,66.0,16,97.912,110.882,103.0,20,38,98.0,20,0.602,62.506,50.0,0.146,0,4,0.638,5,0.999,49
5.0,9,520.69,16,6.8,41,0.0,45.088,0,5.4,5,38,51.0,12,74.181,83.683,77.0,16,29,74.0,13,0.609,47.478,48.6,0.117,0,4,0.642,4,1.002,36
5.0,10,571.74,18,6.3,47,0.0,49.11,0,6.3,5,42,59.0,16,79.283,89.182,84.0,20,32,79.0,14,0.622,51.483,46.8,0.071,0,4,0.652,5,1.004,37
5.0,7,430.55,17,5.2,36,0.0,37.025,0,6.9,3,32,47.0,16,58.109,65.189,62.0,19,25,58.0,8,0.638,38.762,44.8,0.081,0,3,0.668,4,1.002,26
9.9,11,662.8,25,8.0,55,0.0,56.045,0,4.6,7,49,71.0,22,87.72,97.517,93.0,27,38,87.0,13,0.644,58.148,43.7,0.118,0,5,0.668,4,1.008,38
9.8,11,676.83,25,7.8,56,0.0,57.572,0,4.4,7,50,72.0,22,90.603,100.933,96.0,27,39,90.0,14,0.64,59.909,44.4,0.115,0,5,0.666,4,1.007,40
9.553,7,522.7,22,4.1,43,0.0,46.132,0,5.5,3,39,56.0,18,72.643,81.849,77.0,22,32,73.0,10,0.632,48.807,46.6,0.091,0,4,0.669,4,0.995,34
10.0,7,508.67,22,4.3,42,0.0,44.605,0,5.7,3,38,55.0,18,69.76,78.434,74.0,22,31,70.0,9,0.637,47.046,45.7,0.081,0,4,0.672,4,0.997,32
9.638,7,494.64,22,4.5,41,0.0,43.078,0,6.0,3,37,54.0,18,66.876,75.019,71.0,22,30,67.0,8,0.643,45.284,44.8,0.085,0,4,0.676,4,0.998,30
9.886,8,517.63,27,4.5,43,0.0,44.046,0,7.6,3,39,59.0,24,66.211,73.687,70.0,28,31,66.0,4,0.667,45.767,40.9,0.086,0,4,0.693,5,1.003,27
8.678,7,468.6,22,4.8,38,0.0,40.552,0,6.3,3,35,51.0,18,62.992,70.604,66.0,22,28,63.0,6,0.644,42.523,44.4,0.091,0,4,0.675,4,1.0,28
8.345,9,486.63,19,4.5,39,0.0,41.594,0,9.1,3,36,51.5,17,66.196,74.6,69.0,21,27,66.0,8,0.63,43.534,45.5,0.087,0,4,0.66,6,1.003,30
9.056,9,484.61,20,4.7,39,0.0,41.068,0,9.4,3,36,52.0,18,64.312,72.185,67.0,22,27,64.0,7,0.642,42.773,43.8,0.09,0,4,0.668,6,1.005,28
9.357,8,483.62,21,4.6,39,0.0,41.573,0,7.7,3,36,52.0,18,65.094,73.102,68.0,22,28,65.0,7,0.64,43.529,44.6,0.088,0,4,0.67,5,1.001,29
6.848,13,646.82,20,7.9,50,0.0,54.614,0,6.7,7,47,64.0,16,89.807,100.929,92.0,22,34,89.0,14,0.614,56.921,47.2,0.12,0,6,0.64,6,1.009,42
7.745,13,660.85,20,7.6,51,0.0,56.141,0,6.5,7,48,65.0,16,92.69,104.344,95.0,22,35,92.0,15,0.61,58.682,47.8,0.116,0,6,0.638,6,1.008,44
7.638,13,674.88,20,7.4,52,0.0,57.668,0,6.3,7,49,66.0,16,95.574,107.76,98.0,22,36,95.0,16,0.607,60.444,48.4,0.112,0,6,0.636,6,1.006,46
7.06,14,692.9,20,8.2,52,0.0,58.91,0,6.1,8,50,66.0,16,98.785,111.384,100.0,22,36,98.0,16,0.601,61.66,49.0,0.19,0,6,0.629,6,1.008,48
6.021,14,723.91,25,7.1,56,0.0,61.163,0,7.1,7,53,74.0,22,98.792,110.843,101.0,28,39,98.0,13,0.624,63.688,45.9,0.208,0,5,0.65,7,1.008,45
5.0,8,495.63,22,4.5,40,0.0,42.573,0,7.6,3,37,55.0,22,66.094,74.102,69.0,25,29,66.0,6,0.645,44.529,43.9,0.174,0,2,0.675,5,1.001,29
7.344,14,723.91,25,7.1,56,0.0,61.163,0,7.1,7,53,74.0,22,98.792,110.843,101.0,28,39,98.0,13,0.624,63.688,45.9,0.208,0,5,0.65,7,1.008,45
5.0,12,610.73,24,7.6,48,0.0,50.792,0,7.6,6,45,65.0,22,79.945,89.059,82.0,27,33,79.0,8,0.643,52.421,43.0,0.195,0,4,0.664,6,1.012,34
5.0,10,588.77,18,7.2,47,0.0,50.857,0,4.8,6,43,59.0,16,83.276,93.723,87.0,20,33,83.0,15,0.613,53.455,48.2,0.126,0,4,0.644,4,1.003,40
5.0,12,645.83,19,7.8,51,0.0,55.12,0,5.6,7,47,64.0,16,90.589,101.846,94.0,21,35,90.0,16,0.612,57.677,47.8,0.138,0,5,0.641,5,1.007,43
7.745,13,660.85,20,7.6,51,0.0,56.141,0,6.5,7,48,65.0,16,92.69,104.344,95.0,22,35,92.0,15,0.61,58.682,47.8,0.116,0,6,0.638,6,1.008,44
5.658,22,977.22,28,10.1,72,0.0,79.348,0,6.2,13,69,93.0,22,131.119,146.424,132.0,32,47,129.0,19,0.615,82.398,46.5,0.197,0,10,0.639,8,1.016,60
6.0,22,991.25,28,9.8,73,0.0,80.874,0,6.1,13,70,94.0,22,134.003,149.839,135.0,32,48,132.0,20,0.613,84.16,47.0,0.2,0,10,0.638,8,1.015,62
5.0,7,416.52,17,5.5,35,0.0,35.498,0,7.3,3,31,46.0,16,55.225,61.773,59.0,19,24,55.0,7,0.645,37.0,43.6,0.068,0,3,0.673,4,1.004,24
9.569,43,1659.03,38,10.5,121,0.0,133.16,0,8.6,23,117,150.0,22,224.65,251.642,224.0,40,74,220.0,36,0.605,137.188,46.8,0.214,0,18,0.624,19,1.021,103
9.387,55,2043.48,44,10.7,148,0.0,163.318,0,9.2,29,144,183.0,22,277.177,310.625,275.0,46,89,271.0,45,0.603,167.802,46.9,0.229,0,24,0.619,25,1.023,127
9.77,55,2126.58,45,11.2,155,0.0,168.924,0,7.9,31,149,191.0,22,283.37,316.3,283.0,47,94,277.0,49,0.61,173.864,46.2,0.226,0,25,0.628,22,1.023,128
9.481,37,1538.94,32,10.9,112,0.0,125.612,0,6.2,23,108,135.0,22,214.69,240.898,215.0,34,71,211.0,39,0.595,130.438,48.8,0.242,0,12,0.618,13,1.017,103
5.0,8,530.73,17,5.2,43,0.0,46.9,0,5.2,4,39,54.0,16,76.738,86.889,81.0,19,31,77.0,14,0.609,49.785,49.4,0.111,0,3,0.647,4,0.997,38
5.0,9,559.78,17,4.9,45,0.0,49.449,0,6.1,4,41,56.0,16,81.723,92.803,86.0,19,32,82.0,15,0.603,52.552,50.0,0.105,0,3,0.641,5,0.997,41
5.635,9,545.75,17,5.1,44,0.0,47.922,0,6.3,4,40,55.0,16,78.839,89.388,83.0,19,31,79.0,14,0.607,50.79,49.4,0.108,0,3,0.643,5,0.998,39
5.0,9,559.78,17,4.9,45,0.0,49.449,0,6.1,4,41,56.0,16,81.723,92.803,86.0,19,32,82.0,15,0.603,52.552,50.0,0.105,0,3,0.641,5,0.997,41
6.155,8,530.73,17,5.2,43,0.0,46.9,0,5.2,4,39,54.0,16,76.738,86.889,81.0,19,31,77.0,14,0.609,49.785,49.4,0.111,0,3,0.647,4,0.997,38
5.465,8,594.82,17,4.7,51,0.0,52.954,0,4.7,4,44,62.0,16,85.505,96.72,93.0,19,36,86.0,19,0.616,56.307,48.8,0.097,0,3,0.655,4,0.994,42
5.0,8,530.73,17,5.2,43,0.0,46.9,0,5.2,4,39,54.0,16,76.738,86.889,81.0,19,31,77.0,14,0.609,49.785,49.4,0.111,0,3,0.647,4,0.997,38
5.0,9,545.75,17,5.1,44,0.0,47.922,0,6.3,4,40,55.0,16,78.839,89.388,83.0,19,31,79.0,14,0.607,50.79,49.4,0.108,0,3,0.643,5,0.998,39
5.0,10,545.7,18,6.7,44,0.0,46.583,0,6.7,5,40,56.0,16,75.4,84.767,79.0,20,30,75.0,12,0.621,48.722,46.7,0.101,0,4,0.65,5,1.005,35
7.7,6,431.58,17,4.9,35,0.0,38.057,0,4.9,3,32,45.5,17,60.774,68.521,64.0,19,26,61.0,9,0.624,40.279,47.5,0.109,0,2,0.66,3,0.996,29
8.48,6,525.75,17,3.8,44,0.0,47.691,0,3.8,3,39,54.5,17,77.192,87.597,83.0,19,33,78.0,16,0.611,51.086,50.0,0.084,0,2,0.655,3,0.99,39
8.31,6,475.69,11,4.2,40,0.0,43.164,0,4.2,3,35,47.5,11,71.309,81.182,77.0,13,29,72.0,18,0.6,46.324,51.4,0.091,0,2,0.643,3,0.99,37
7.15,6,433.6,11,4.8,37,0.0,38.584,0,4.8,3,32,44.5,11,62.658,70.936,68.0,13,26,63.0,15,0.612,41.04,49.2,0.103,0,2,0.651,3,0.995,31
7.68,6,435.62,11,4.6,36,0.0,39.111,0,4.6,3,32,43.5,11,64.541,73.351,69.0,13,26,65.0,15,0.602,41.802,50.8,0.101,0,2,0.643,3,0.993,33
8.27,6,489.72,11,4.0,41,0.0,44.691,0,4.0,3,36,48.5,11,74.192,84.597,80.0,13,30,75.0,19,0.596,48.086,52.0,0.088,0,2,0.641,3,0.989,39
