pXC50,CATS2D_03_DD,CATS2D_01_DD,nN.N,P_VSA_v_2,SAacc,P_VSA_p_2,O.057,CATS2D_03_DA,Eig08_AEA.dm.,SaasC,Psi_e_A,Psi_i_A,SpMax3_Bh.s.,SpMax4_Bh.s.,P_VSA_LogP_4,SpMax2_Bh.s.,nBeta.Lactams,TPSA.NO.,SsssCH,P_VSA_e_5,SdssC,ATS5s,Hy,P_VSA_e_3,CATS2D_04_DA,nDB,P_VSA_s_6,P_VSA_m_3,D.Dtr04,Eig07_AEA.dm.,ATSC1e,SsOH,O.,MATS1s,CATS2D_05_DL,NsOH,TPSA.Tot.,MAXDN,SAdon,nR04,nHDon,CATS2D_07_DL,H.050,MATS1i,CATS2D_02_DL,CATS2D_03_DL,P_VSA_s_5,CATS2D_04_DL,NssNH,Eig09_AEA.dm.,Eig05_AEA.dm.,ALOGP2,Eig10_AEA.dm.,GGI3,Me,CATS2D_06_DL,MATS1p,SpMax5_Bh.s.,C.009,N.072,ATS4s,CATS2D_09_DL,ATS4m,Eig06_AEA.dm.,ATSC1s,NdssC,nArOH,nN.CO.2,CATS2D_02_DA,ATSC3e,SM03_EA.ri.,CATS2D_05_DA,MATS1m,GGI4,SpAD_EA.dm.,ATSC5s,P_VSA_MR_2,Eig06_AEA.ed.,MATS1v,nHAcc,C.008,Eig04_EA.dm.,SpMax1_Bh.s.,Eig07_EA.dm.,JGI2,ATSC4e,ATS5e,nHet,AAC,IC0,MAXDP,Eig11_AEA.dm.,PDI,Ram,BIC3,Eta_epsi_A,ATS6s,ATSC3s,SssNH,Eig03_AEA.dm.,Eta_sh_p,P_VSA_i_4,CATS2D_08_DL,BAC,BIC0,SdS,BIC4,Eig05_EA.ed.,SM14_AEA.dm.,DELS,SM05_EA,Eig12_AEA.dm.,CATS2D_05_DN,ATSC4s,H.054,SIC0,GGI5,ATS3m,SssCH2,SM05_EA.ri.,BIC5,CATS2D_06_DA,Eig06_EA.ed.,SM15_AEA.dm.,SIC4,SM06_EA.ri.,Eig03_EA.dm.,SpMax7_Bh.s.,ATS4v,P_VSA_MR_8,H.047,Eig13_AEA.dm.,SpDiam_EA.ed.,MLOGP2,Eig05_EA.dm.,ALOGP,SM03_EA,CATS2D_02_AN,BLTA96,BLTD48,BLTF96,MLOGP
5.477,0,0,0,219.295,219.295,219.295,1,3,2.613,0.82,8.354,2.854,7.432,7.423,167.339,7.443,1,148.26,-0.763,165.263,-3.587,6.466,1.839,54.032,0,5,198.16,165.263,55.723,2.761,0.287,9.55,15.6,-0.095,3,1,201.8,3.017,93.591,1,4,0,4,-0.039,1,2,18.011,3,1,2.558,3.566,0.089,1.852,3.785,1.043,1,0.074,6.351,1,3,6.139,0,4.354,3.025,35.292,6,0,0,5,0.909,4.212,2,0.023,2.311,28.737,241.453,154.263,4.94,0.061,10,0,1.977,7.476,1.005,0.087,1.016,4.877,12,1.939,1.939,5.831,1.385,0.911,11,0.903,0.707,6.173,103.998,2.604,3.658,0.194,54.032,1,61.0,0.336,0.0,0.903,5.65,5.65,54.713,7.004,1.211,1,126.853,0,0.353,1.653,4.229,-0.104,6.699,0.903,3,5.171,5.171,0.948,8.064,2.173,4.682,3.987,63.497,9,1.193,24.956,0.0,1.437,0.298,4.369,1,-1.21,-1.3,-1.37,-0.018
6.83,0,0,0,59.469,59.469,59.469,1,1,-0.308,0.684,8.081,2.581,4.701,4.596,71.24,5.045,0,33.12,0.0,42.683,0.0,4.674,-0.127,16.786,0,0,137.766,42.683,0.0,0.258,0.098,9.53,5.6,-0.209,2,1,33.12,1.693,42.683,0,1,0,1,0.013,0,3,0.0,1,0,-0.817,1.24,9.472,-0.874,1.313,1.04,0,0.104,3.802,0,0,5.08,0,3.618,1.062,10.436,0,1,0,0,0.312,3.091,0,-0.024,0.938,0.0,27.082,42.683,3.24,0.068,2,0,0.0,6.47,0.0,0.1,0.325,3.212,4,1.829,1.829,3.53,-1.338,0.957,5,0.904,0.73,3.746,31.878,0.0,2.454,0.264,16.786,0,10.0,0.396,0.0,0.904,2.537,2.537,15.816,5.861,-1.666,0,29.202,0,0.439,0.208,3.634,0.0,5.418,0.904,0,1.247,1.247,1.0,6.885,0.0,3.231,2.938,0.0,3,-2.0,18.362,9.577,0.0,3.078,3.434,0,-4.32,-4.26,-4.02,3.095
4.586,0,0,0,14.124,14.124,14.124,0,0,1.529,4.456,7.487,1.987,4.714,4.68,0.0,4.771,0,12.47,0.0,11.0,2.477,5.909,-0.888,3.124,0,1,50.149,11.0,0.0,1.794,0.047,0.0,1.8,-0.04,0,0,12.47,0.924,0.0,0,0,0,0,-0.099,0,0,0.0,0,0,1.392,2.196,39.66,1.154,1.75,0.985,0,-0.037,4.396,0,0,5.743,0,4.038,2.175,9.089,2,0,0,0,0.253,3.693,0,0.032,1.284,3.32,31.951,34.542,4.577,-0.001,2,0,0.0,4.898,0.0,0.061,0.163,5.006,3,1.327,1.327,2.371,1.0,0.968,7,0.729,0.536,6.055,27.461,0.0,2.621,0.119,3.124,0,20.0,0.217,0.0,0.79,5.153,5.153,12.238,6.176,1.0,0,24.076,0,0.228,0.771,3.957,2.948,6.103,0.807,0,4.581,4.581,0.827,7.659,0.0,3.97,4.158,0.0,26,1.0,18.774,29.18,0.0,6.298,3.761,0,-6.63,-6.45,-5.98,5.402
5.656,0,0,0,127.297,127.297,127.297,1,0,2.647,5.949,7.69,2.19,6.351,5.057,85.524,6.449,0,70.42,0.199,110.512,-0.713,6.282,0.04,16.786,0,2,166.446,110.512,0.0,2.692,0.064,20.175,3.9,-0.095,3,2,95.72,2.379,85.367,0,2,4,2,0.072,4,3,0.0,5,0,2.454,3.07,68.204,2.194,2.625,0.992,0,0.092,4.779,0,0,6.246,6,4.455,2.82,15.711,1,0,0,1,0.356,4.65,0,0.03,2.294,12.756,88.481,161.997,5.371,0.066,4,1,0.0,7.474,0.0,0.081,0.352,5.333,6,1.456,1.456,4.736,1.798,0.938,14,0.858,0.56,6.145,67.992,0.0,3.709,0.133,16.786,5,42.0,0.222,0.0,0.881,7.353,7.353,34.739,7.245,1.623,0,57.521,0,0.232,1.306,4.491,4.747,7.12,0.885,0,7.009,7.009,0.922,8.528,0.765,4.671,4.498,32.22,18,1.577,20.515,32.011,0.0,8.259,4.745,0,-6.89,-6.69,-6.2,5.658
7.222,1,0,0,362.436,362.436,362.436,0,4,3.377,0.0,8.015,2.515,7.428,7.425,182.287,7.43,0,226.28,-15.579,359.312,-2.523,7.46,1.249,3.124,2,4,359.312,359.312,0.0,3.586,0.184,46.8,11.9,-0.111,7,4,226.28,3.293,170.733,0,4,8,4,-0.173,4,9,0.0,6,0,3.157,3.712,6.007,2.836,7.313,1.008,6,-0.12,6.492,2,0,7.301,6,5.144,3.652,44.037,4,0,0,0,2.398,5.141,6,0.035,5.88,31.742,454.472,427.857,6.368,-0.032,17,9,2.178,7.439,0.86,0.117,3.316,6.348,17,1.414,1.414,7.295,2.777,0.813,26,0.849,0.572,7.482,265.083,0.0,3.783,0.355,3.124,7,507.0,0.198,0.0,0.895,10.207,10.207,138.668,7.788,2.501,0,375.97,2,0.2,3.819,5.045,0.046,7.576,0.899,2,9.248,9.248,0.903,8.895,2.443,6.445,5.159,0.0,20,2.447,22.086,0.055,1.392,2.451,5.263,0,-1.46,-1.54,-1.59,0.234
6.767,0,0,0,143.193,143.193,128.232,1,1,2.068,0.691,7.977,2.477,7.422,6.351,99.017,7.48,0,83.8,0.887,103.973,-2.315,6.333,0.262,24.259,2,3,118.933,118.933,0.0,2.367,0.115,9.44,7.5,-0.017,1,1,83.8,2.968,60.694,0,2,1,2,-0.141,3,1,18.011,1,1,1.818,2.983,3.913,1.683,2.917,1.016,3,-0.023,4.797,0,0,6.334,3,4.339,2.618,15.168,3,0,0,1,0.638,4.348,0,0.047,2.603,8.593,125.406,186.371,5.398,0.029,8,2,0.8,8.201,0.0,0.072,0.995,5.113,8,1.671,1.671,7.32,1.487,0.975,13,0.88,0.62,6.295,54.148,3.518,3.324,0.134,39.219,0,30.0,0.28,0.0,0.88,7.944,7.944,48.612,6.929,1.309,0,122.228,0,0.292,1.896,4.245,6.411,6.772,0.88,1,6.475,6.475,0.918,8.159,0.8,4.41,4.23,0.0,12,1.037,20.328,3.321,0.4,1.978,4.443,0,-3.05,-3.05,-2.94,1.822
6.545,1,0,0,238.947,238.947,238.947,1,4,2.988,0.403,8.266,2.766,7.434,7.426,213.281,7.474,1,156.43,-3.818,193.553,-5.026,6.805,0.911,45.394,1,6,193.553,193.553,80.079,3.173,0.21,9.588,11.1,-0.044,5,1,181.73,2.787,78.705,1,3,1,3,-0.235,1,4,36.022,7,2,2.768,3.714,0.045,2.307,4.91,1.025,2,-0.016,7.422,1,5,6.627,1,4.541,3.54,26.177,6,0,1,4,1.11,4.567,5,0.04,3.248,30.858,332.429,299.493,5.713,0.006,12,3,1.971,7.501,1.062,0.101,1.284,5.239,13,1.792,1.792,6.319,2.225,0.905,16,0.86,0.65,6.345,142.185,5.156,3.964,0.23,45.394,2,105.0,0.288,0.0,0.867,8.074,8.074,74.417,7.252,1.876,1,199.296,0,0.3,1.476,4.483,0.497,7.015,0.867,3,7.256,7.256,0.904,8.368,2.09,6.351,4.321,32.22,14,1.829,22.063,0.153,1.721,0.212,4.691,1,-1.62,-1.69,-1.72,0.391
4.7,0,0,0,171.822,171.822,171.822,1,0,1.0,2.779,8.056,2.556,5.875,4.813,47.339,5.883,0,119.97,0.0,42.683,-0.052,5.531,4.66,129.138,0,3,171.822,42.683,0.0,1.512,0.077,9.887,2.7,-0.347,5,1,119.97,1.749,171.822,0,7,6,7,0.356,6,11,0.0,8,0,0.749,1.704,2.559,0.155,1.063,1.001,6,0.29,4.797,0,0,5.642,6,3.427,1.565,21.148,2,1,0,0,0.094,3.677,0,-0.067,1.116,2.4,68.508,42.683,3.797,0.175,5,0,0.0,6.469,0.0,0.096,0.157,4.366,5,1.534,1.534,3.887,-0.307,0.968,7,0.742,0.591,5.205,31.8,0.0,2.731,0.195,129.138,5,30.0,0.276,0.0,0.817,3.888,3.888,22.562,6.066,-0.352,0,44.137,0,0.294,0.764,3.611,0.0,5.952,0.85,0,3.012,3.012,0.872,7.382,0.0,4.541,3.54,0.0,9,-0.412,15.288,7.744,0.0,1.6,3.761,0,-4.01,-3.96,-3.76,2.783
5.947,1,0,0,301.065,301.065,301.065,2,2,2.59,-1.799,8.243,2.743,7.419,6.48,198.202,7.428,0,176.61,-4.435,268.168,-1.902,6.791,3.069,32.897,6,3,301.065,268.168,0.0,2.742,0.266,43.82,14.3,-0.146,6,4,176.61,3.225,203.631,0,6,8,6,0.177,7,9,0.0,6,0,2.422,3.313,0.206,2.245,4.563,1.024,10,0.154,6.454,1,0,6.768,7,4.602,2.901,49.218,3,2,0,0,1.218,4.74,4,-0.015,4.436,9.632,309.893,243.199,6.128,0.12,10,4,0.28,7.437,0.0,0.092,1.727,5.379,10,1.547,1.547,6.33,2.149,0.892,18,0.861,0.644,6.602,184.392,0.0,3.495,0.228,32.897,7,102.0,0.248,0.0,0.872,9.02,9.02,89.2,7.334,1.911,0,265.392,2,0.259,2.396,4.573,-0.613,7.251,0.882,3,8.595,8.595,0.911,8.646,0.811,6.439,4.483,0.0,8,1.35,21.335,0.179,0.0,0.454,4.796,0,-1.65,-1.72,-1.75,0.423
5.584,0,0,0,53.683,53.683,53.683,0,0,1.502,4.117,7.42,1.92,4.839,4.438,0.0,5.396,0,29.46,2.28,53.683,0.0,6.019,-0.492,0.0,0,0,77.004,53.683,0.0,2.055,0.07,11.059,3.4,-0.045,2,1,29.46,2.151,42.683,0,1,2,1,0.076,3,5,17.031,2,0,1.307,2.413,42.435,1.083,2.986,0.98,2,0.078,4.275,0,0,6.126,0,4.054,2.154,10.996,0,0,0,0,0.312,4.443,0,0.068,1.893,3.976,42.938,81.626,5.182,0.079,2,1,0.0,6.453,0.0,0.106,0.384,5.339,2,1.169,1.169,5.059,0.836,0.932,11,0.853,0.509,5.839,43.965,0.0,3.062,0.101,0.0,2,11.0,0.192,0.0,0.864,7.184,7.184,21.996,7.209,0.687,0,51.044,0,0.199,0.976,4.175,11.445,7.117,0.864,0,6.097,6.097,0.894,8.569,0.0,3.847,4.374,0.0,4,0.618,26.078,25.802,0.0,6.514,4.511,0,-6.31,-6.15,-5.71,5.08
7.086,0,0,0,116.898,116.898,116.898,1,0,2.597,5.166,7.971,2.471,6.467,4.955,89.135,6.817,0,73.12,-0.57,67.828,-0.439,6.077,0.243,49.07,1,1,177.185,67.828,0.0,2.619,0.08,10.246,4.5,-0.07,5,1,73.12,2.106,60.694,0,2,4,2,0.085,4,6,34.612,2,1,2.022,2.983,45.254,1.947,2.75,1.016,3,0.03,4.893,0,1,6.103,1,5.385,2.83,13.414,1,1,0,1,0.232,3.983,0,-0.002,2.591,8.741,73.727,67.828,5.021,0.048,4,0,0.0,7.429,0.0,0.097,0.539,4.676,8,1.836,1.836,5.746,1.559,0.984,12,0.882,0.646,5.938,38.65,2.804,3.379,0.366,49.07,4,66.0,0.313,0.0,0.882,6.699,6.699,36.453,6.673,1.037,0,77.784,0,0.336,1.188,4.812,0.0,6.352,0.882,0,5.924,5.924,0.947,7.803,0.487,4.377,4.135,113.564,8,1.0,17.919,31.416,0.0,6.727,4.29,0,-6.83,-6.64,-6.15,5.605
5.519,0,0,0,33.571,16.786,33.571,0,0,1.079,2.607,7.439,1.939,4.392,4.077,40.328,4.838,0,28.68,0.0,0.0,0.0,5.359,-0.404,33.571,0,0,16.786,0.0,0.0,1.314,0.031,0.0,0.0,-0.084,0,0,28.68,0.466,16.786,0,1,0,1,0.004,4,5,16.786,4,0,0.863,1.561,16.431,0.484,2.167,0.985,0,0.048,3.971,0,0,5.38,0,3.65,1.523,6.652,0,0,0,0,0.068,3.867,0,0.06,1.751,0.0,19.492,0.0,3.952,0.057,1,0,0.0,5.077,0.0,0.074,0.098,4.503,2,1.263,1.263,1.276,-0.41,1.1,8,0.817,0.555,5.156,9.856,0.0,2.545,0.108,33.571,0,5.0,0.229,0.0,0.861,4.534,4.534,6.577,6.447,-0.578,0,13.955,0,0.25,0.66,3.716,0.0,6.402,0.861,1,3.213,3.213,0.943,7.864,0.0,3.599,3.794,0.0,5,-0.818,20.446,9.641,0.0,4.054,3.892,0,-4.33,-4.27,-4.03,3.105
5.396,2,0,0,172.835,172.835,172.835,0,0,1.043,0.437,8.602,3.102,6.999,6.466,74.163,7.429,0,103.7,-3.569,154.825,-0.746,5.957,1.25,18.011,0,3,233.122,154.825,0.0,1.466,0.226,19.31,13.9,-0.178,4,2,112.08,4.254,103.377,0,3,0,3,0.038,1,5,18.011,5,1,1.0,2.521,0.425,0.755,1.75,1.043,6,0.053,6.439,1,1,5.936,0,3.775,2.221,45.721,1,0,0,1,0.93,3.764,2,0.063,1.062,14.781,175.514,69.458,3.773,0.073,6,2,0.765,7.716,0.0,0.119,0.941,4.563,9,1.969,1.969,4.357,0.2,0.851,8,0.862,0.696,5.816,134.895,2.288,3.274,0.348,18.011,0,78.0,0.365,0.0,0.862,4.702,4.702,45.729,6.553,0.124,0,147.499,0,0.381,0.868,3.999,-0.54,5.999,0.862,0,2.581,2.581,0.899,7.296,1.124,4.661,3.621,78.297,11,-0.035,18.625,0.634,0.082,0.652,4.111,0,-2.03,-2.08,-2.07,0.796
