pXC50,SM05_AEA.bo.,SM04_EA.bo.,P_VSA_s_3,SM03_AEA.bo.,SM04_AEA.bo.,SM06_AEA.bo.,SM07_AEA.bo.,SM08_AEA.bo.,X4A,Eig07_AEA.bo.,Eig08_AEA.ed.,ATS2m,ATS3m,piPC02,SM02_EA.bo.,ZM1Mad,ZM2Mad,Eig04_EA.bo.,Eta_F,SM14_AEA.ri.,Eig07_EA.bo.,Eta_sh_y,GGI10,IDE,SMTIV,ZM2MulPer,ZM2V,SM02_AEA.bo.,ATS2s,CATS2D_03_AL,Eig06_AEA.ed.,Eig06_EA.ed.,Eig06_EA.ri.,SM04_EA,SM15_AEA.dm.,Vindex,Xindex,Yindex,ZM1MulPer,ZM1Per,ZM1V,AECC,Eig05_AEA.ri.,Eig08_EA.ed.,HVcpx,SM03_AEA.ri.,Eig09_AEA.bo.,ATS1m,ZM2Per,MSD,SM06_AEA.ed.,UNIP,DLS_04,GMTIV,MW,O.060,P_VSA_LogP_5,S1K,ZM1Kup,Eig08_AEA.bo.,Psi_i_s,SM02_AEA.ed.,SM03_AEA.ed.,SM04_AEA.ed.,SM05_AEA.ed.,SM06_EA,GATS1i,X3A,Eig04_AEA.bo.,Eig04_AEA.ri.,Eig04_EA,Eig05_EA.ri.,SM12_AEA.bo.,X4sol,Eig07_EA,Eig08_EA.bo.,Eig12_AEA.bo.,Eig12_AEA.ri.,Eig12_EA.bo.,Eig12_EA.ri.,Eig13_AEA.bo.,Eig13_EA.bo.,Eig13_EA.ed.,Eig15_AEA.bo.,Eig15_AEA.ri.,Eig15_EA,Eig15_EA.bo.,Eig15_EA.ed.,Eig15_EA.ri.,GATS6e,IDET,IDMT,LPRS,piPC01,piPC03,S3K,SCBO,SM08_AEA.ri.,SM09_AEA.dm.,SM10_AEA.ri.,SM15_AEA.bo.,X0,X1sol,X1v,X4,XMOD,Eig12_AEA.ed.,piID,Eta_FL,ZM2Kup,Dz,Eig07_AEA.dm.,Eta_beta,Eta_epsi,MATS6m,ON0,SM02_EA.ed.,SpAD_EA.bo.,SpAD_EA.ed.,SPI,SRW06,SRW08,X2,D.Dtr09,DELS,AAC
7.229,9.087,7.271,31.723,6.374,7.715,10.488,11.908,13.345,0.107,3.425,4.89,4.361,4.373,4.428,5.115,263.968,299.861,3.24,36.321,3.24,2.707,0.369,0.444,3.802,31287.0,618.969,581.0,5.14,6.261,2,5.344,6.737,2.092,6.409,6.737,0.185,0.289,0.511,688.458,897.05,634.0,12.824,3.368,5.696,3.574,5.696,2.961,4.029,921.45,7.489,13.0,147.0,0.7,64433.0,518.87,1,43.513,25.368,704.36,3.168,96.75,6.125,7.731,9.437,11.2,8.414,1.626,0.175,4.011,3.551,2.619,2.274,2.619,10.615,2.107,2.263,2.28,2.0,1.253,0.987,2.202,1.139,2.275,1.378,1.042,0.156,0.179,0.37,0.128,0.865,2132.71,32387.8,181.637,3.839,4.88,5.755,45.5,2.275,0.156,0.37,2.107,24.621,17.246,11.934,10.139,115.728,3.474,10.258,7.825,586.713,79.5,2.714,39.0,39.786,-0.012,18.75,6.997,68.462,171.789,22.322,7.223,8.84,15.989,145.57,67.897,1.998
7.387,9.087,7.271,31.277,6.374,7.715,10.488,11.908,13.345,0.107,3.425,4.89,4.451,4.469,4.428,5.115,314.32,318.366,3.24,34.7,3.24,2.707,0.355,0.444,3.802,31287.0,618.969,581.0,5.14,6.25,2,5.344,6.737,2.092,6.409,6.737,0.185,0.289,0.511,688.458,897.05,634.0,12.824,3.368,5.696,3.574,5.696,2.961,4.092,921.45,7.489,13.0,147.0,0.7,64433.0,563.32,1,43.068,25.557,696.812,3.168,95.389,6.125,7.731,9.437,11.2,8.414,1.591,0.175,4.011,3.547,2.619,2.274,2.619,10.781,2.107,2.263,2.28,2.0,1.253,0.982,2.202,1.139,2.275,1.378,1.037,0.156,0.179,0.37,0.121,0.884,2132.71,32387.8,181.637,3.839,4.88,5.835,45.5,2.275,0.156,0.37,2.107,24.621,17.535,12.349,10.139,120.925,3.474,10.258,7.553,583.583,78.917,2.696,38.75,39.167,0.006,18.75,6.997,68.462,171.789,22.322,7.223,8.84,15.989,145.57,65.789,1.998
5.799,9.087,7.271,37.343,6.374,7.715,10.488,11.908,13.345,0.107,3.425,4.89,4.325,4.335,4.428,5.115,252.28,293.012,3.24,37.175,3.24,2.707,0.379,0.444,3.802,31287.0,618.969,581.0,5.14,6.29,2,5.344,6.737,2.095,6.409,6.737,0.185,0.289,0.511,688.458,897.05,634.0,12.824,3.368,5.696,3.574,5.696,2.961,4.004,921.45,7.489,13.0,147.0,0.7,64433.0,502.42,1,49.134,25.028,764.268,3.168,100.639,6.125,7.731,9.437,11.2,8.414,1.463,0.175,4.011,3.566,2.619,2.274,2.619,10.306,2.107,2.263,2.28,2.0,1.253,0.996,2.202,1.139,2.275,1.378,1.064,0.156,0.179,0.37,0.139,0.804,2132.71,32387.8,181.637,3.839,4.88,5.613,45.5,2.275,0.156,0.37,2.107,24.621,16.564,11.556,10.139,113.419,3.474,10.258,7.956,603.183,80.667,2.703,39.0,40.214,-0.023,18.75,6.997,68.462,171.789,22.322,7.223,8.84,15.989,145.57,73.919,1.998
6.903,9.146,7.308,31.408,6.438,7.777,10.544,11.962,13.396,0.108,3.61,5.107,4.325,4.349,4.463,5.15,253.143,295.768,3.24,39.55,3.24,2.802,0.365,0.444,3.87,33671.0,628.365,589.0,5.203,6.267,4,5.347,6.743,2.114,6.425,6.743,0.18,0.283,0.493,680.279,892.37,626.0,13.629,3.368,5.927,3.646,5.927,2.982,4.015,930.97,7.797,13.014,158.0,0.7,67932.0,509.44,1,74.258,25.57,721.802,3.173,101.139,6.142,7.747,9.453,11.216,8.427,1.571,0.176,4.101,3.623,2.651,2.274,2.651,10.759,2.186,2.264,2.5,2.0,1.325,1.0,2.274,1.172,2.275,1.751,1.491,0.548,0.719,0.906,0.515,0.894,2302.88,35945.6,189.292,3.902,4.946,5.667,48.5,2.275,0.548,0.906,2.186,25.328,17.495,11.84,10.449,116.135,3.488,10.538,8.467,603.258,81.667,2.774,42.5,40.2,-0.022,19.25,7.013,70.81,174.571,22.85,7.242,8.858,16.158,152.173,70.216,1.923
5.59,9.219,7.351,31.408,6.476,7.833,10.633,12.067,13.515,0.107,3.612,5.231,4.462,4.437,4.497,5.185,283.466,321.578,3.24,42.497,3.24,2.803,0.355,0.487,3.951,42747.0,697.278,653.0,5.224,6.612,2,5.369,7.017,2.272,6.572,7.017,0.174,0.275,0.47,814.875,1045.73,748.0,13.865,3.425,5.927,3.681,5.927,2.978,4.077,1056.81,8.274,13.247,180.0,0.7,92930.0,552.43,1,88.079,27.817,954.49,3.174,117.889,6.248,7.88,9.617,11.414,8.65,1.288,0.173,4.144,3.998,3.046,2.282,3.046,10.448,2.301,2.269,2.5,2.0,1.5,1.0,2.269,1.236,2.393,1.751,1.56,0.704,0.719,1.7,0.597,0.64,2631.61,43277.1,204.344,3.902,4.946,6.272,48.5,2.393,0.704,1.7,2.301,27.121,16.957,12.184,10.838,122.071,4.187,10.538,8.431,693.85,89.667,2.772,41.0,44.543,0.005,21.0,7.149,73.7,192.449,26.73,7.335,8.961,17.946,165.38,91.921,2.091
7.252,9.136,7.326,40.844,6.41,7.759,10.542,11.966,13.407,0.107,3.518,5.204,4.398,4.464,4.463,5.15,273.799,314.44,3.24,38.241,3.24,2.801,0.394,0.469,3.832,35060.0,656.747,616.0,5.169,6.303,1,5.35,6.749,2.097,6.454,6.749,0.182,0.286,0.503,750.585,969.1,690.0,12.914,3.368,5.927,3.598,5.927,2.961,4.055,979.42,7.656,13.063,156.0,0.7,74820.0,536.86,1,52.634,26.276,798.472,3.168,104.417,6.168,7.781,9.494,11.261,8.465,1.458,0.175,4.144,3.744,2.829,2.274,2.829,10.615,2.206,2.263,2.28,2.011,1.253,0.987,2.203,1.14,2.435,1.482,1.1,0.256,0.299,0.583,0.191,0.874,2279.76,35447.4,188.835,3.861,4.925,5.796,46.5,2.435,0.256,0.583,2.206,25.491,17.246,12.039,10.442,119.059,4.043,10.369,8.043,631.046,83.0,2.742,39.75,41.3,-0.04,19.583,7.047,70.341,178.517,24.212,7.263,8.886,16.496,150.956,78.139,2.103
4.069,9.142,7.315,29.349,6.427,7.771,10.541,11.958,13.391,0.106,3.562,5.015,4.388,4.404,4.474,5.162,270.694,307.226,3.243,40.073,3.243,2.791,0.391,0.444,3.794,33518.0,645.511,605.0,5.186,6.29,0,5.362,6.855,2.248,6.447,6.855,0.188,0.293,0.524,721.842,935.73,662.0,12.8,3.37,5.921,3.582,5.921,3.077,4.045,957.67,7.462,13.034,152.0,0.7,69927.0,531.87,0,30.027,26.024,734.693,3.296,102.917,6.163,7.771,9.477,11.238,8.449,1.615,0.173,4.043,3.643,2.68,2.279,2.68,11.018,2.189,2.508,2.5,2.0,1.5,1.0,2.238,1.177,2.275,1.416,1.077,0.175,0.203,0.435,0.144,0.897,2257.17,34664.4,188.014,3.882,4.91,5.856,47.5,2.275,0.175,0.435,2.189,25.491,17.64,11.998,10.542,118.169,4.185,10.293,8.309,611.148,82.0,2.765,41.25,40.586,-0.032,19.583,7.038,71.194,178.137,23.971,7.259,8.876,16.634,150.765,74.767,2.033
6.932,9.237,7.518,34.745,6.493,7.851,10.651,12.085,13.533,0.103,3.593,5.112,4.422,4.424,4.58,5.268,278.633,322.024,3.244,38.767,3.244,2.803,0.419,0.39,3.734,32534.0,668.538,628.0,5.235,6.274,2,5.44,7.089,2.234,6.518,7.089,0.17,0.263,0.479,718.509,946.53,662.0,12.143,3.37,5.926,3.535,5.926,3.076,4.061,999.2,7.211,13.129,148.0,0.3,67807.0,528.86,1,39.35,24.696,732.36,3.299,98.583,6.229,7.847,9.561,11.328,8.537,1.512,0.167,4.145,3.977,2.999,2.278,2.999,12.073,2.21,2.537,2.713,2.434,1.723,1.386,2.238,1.177,2.961,1.752,1.444,0.473,0.689,1.187,0.441,0.837,2221.51,33613.3,186.978,3.922,5.116,4.862,49.5,2.961,0.473,1.187,2.21,25.068,17.712,12.197,11.529,118.435,4.396,11.793,8.243,635.531,81.5,2.726,41.5,39.886,0.014,18.917,7.124,75.866,189.616,22.594,7.322,8.957,16.943,277.186,69.53,2.012
5.182,9.087,7.271,35.337,6.374,7.715,10.488,11.908,13.345,0.107,3.425,4.89,4.348,4.36,4.428,5.115,260.999,296.114,3.24,36.244,3.24,2.707,0.373,0.444,3.802,31292.0,617.775,580.0,5.14,6.252,2,5.344,6.737,2.101,6.409,6.737,0.185,0.289,0.511,688.373,896.49,634.0,12.824,3.398,5.696,3.574,5.696,2.961,4.02,918.81,7.489,13.0,147.0,0.7,64471.0,516.87,1,44.371,25.28,702.028,3.168,96.417,6.125,7.731,9.437,11.2,8.414,1.452,0.175,4.011,3.551,2.619,2.353,2.619,10.615,2.107,2.263,2.28,2.0,1.253,0.997,2.202,1.139,2.275,1.378,1.044,0.156,0.179,0.37,0.128,0.86,2132.71,32387.8,181.637,3.839,4.88,5.718,45.5,2.275,0.156,0.37,2.107,24.621,17.246,11.927,10.139,115.191,3.474,10.258,7.807,582.825,79.0,2.717,39.25,39.386,-0.019,18.75,6.997,68.462,171.789,22.322,7.223,8.84,15.989,145.57,68.241,1.962
5.444,9.087,7.271,34.892,6.374,7.715,10.488,11.908,13.345,0.107,3.425,4.89,4.44,4.457,4.428,5.115,311.351,314.619,3.24,34.622,3.24,2.707,0.359,0.444,3.802,31292.0,617.775,580.0,5.14,6.241,2,5.344,6.737,2.1,6.409,6.737,0.185,0.289,0.511,688.373,896.49,634.0,12.824,3.398,5.696,3.574,5.696,2.961,4.084,918.81,7.489,13.0,147.0,0.7,64471.0,561.32,1,43.925,25.469,694.479,3.168,95.056,6.125,7.731,9.437,11.2,8.414,1.421,0.175,4.011,3.547,2.619,2.353,2.619,10.781,2.107,2.263,2.28,2.0,1.253,0.992,2.202,1.139,2.275,1.378,1.039,0.156,0.179,0.37,0.121,0.879,2132.71,32387.8,181.637,3.839,4.88,5.798,45.5,2.275,0.156,0.37,2.107,24.621,17.535,12.342,10.139,120.387,3.474,10.258,7.536,579.696,78.417,2.699,39.0,38.767,0.003,18.75,6.997,68.462,171.789,22.322,7.223,8.84,15.989,145.57,66.133,1.962
7.292,9.231,7.356,31.723,6.495,7.85,10.64,12.068,13.51,0.101,3.589,5.281,4.486,4.445,4.519,5.207,293.726,334.512,3.431,38.263,3.431,2.719,0.337,0.444,3.807,36357.0,684.397,643.0,5.251,6.334,2,5.417,7.158,2.272,6.6,7.158,0.167,0.259,0.467,727.245,965.39,674.0,12.973,3.551,6.216,3.586,6.216,3.173,4.113,1023.43,7.575,13.229,161.0,0.8,72172.0,558.94,1,43.513,26.863,751.532,3.425,97.0,6.279,7.901,9.626,11.41,8.666,1.662,0.166,4.012,3.838,2.878,2.423,2.878,12.242,2.312,2.707,2.5,2.022,1.5,1.0,2.303,1.274,2.459,1.836,1.628,0.767,0.802,2.082,0.654,0.937,2535.44,40257.5,201.541,3.922,4.953,5.826,49.5,2.459,0.767,2.082,2.312,26.535,18.615,13.297,11.766,124.311,4.309,10.764,8.086,656.894,85.5,2.789,41.5,43.086,0.018,20.0,7.185,75.644,199.339,23.597,7.367,9.0,18.171,147.317,64.95,1.936
7.022,9.104,7.42,33.0,6.374,7.721,10.519,11.956,13.411,0.111,3.417,4.887,4.257,4.286,4.491,5.179,241.731,273.772,3.498,36.814,3.498,2.66,0.319,0.352,3.681,25408.0,589.69,554.0,5.125,6.065,8,5.086,5.881,1.935,6.326,5.881,0.188,0.293,0.526,611.263,814.01,564.0,11.656,3.244,5.535,3.471,5.535,2.97,3.939,870.39,7.061,12.948,127.0,0.6,50295.0,475.86,1,41.971,22.679,596.923,3.17,83.417,6.043,7.644,9.354,11.13,8.34,1.405,0.176,4.011,3.55,2.618,2.142,2.618,10.302,1.988,2.348,2.471,2.0,1.436,1.0,2.22,1.159,2.275,1.371,1.026,0.133,0.157,0.287,0.11,0.782,1825.92,26705.8,167.346,3.861,5.049,4.968,46.5,2.275,0.133,0.287,1.988,22.88,16.44,11.483,9.619,108.074,3.414,11.22,8.605,548.408,71.5,2.421,43.5,34.419,0.071,17.083,6.909,69.387,158.949,18.805,7.157,8.782,14.658,139.292,48.474,1.94
6.796,9.098,7.409,35.83,6.386,7.726,10.499,11.92,13.356,0.111,3.425,4.927,4.257,4.269,4.503,5.19,242.573,273.197,3.596,37.185,3.596,2.708,0.309,0.388,3.759,27754.0,588.434,552.0,5.143,6.081,7,5.226,6.548,2.06,6.323,6.548,0.183,0.286,0.506,615.583,816.69,568.0,12.152,3.35,5.697,3.534,5.697,3.054,3.961,862.61,7.382,12.83,137.0,0.6,54310.0,489.89,1,44.8,23.645,600.923,3.298,84.917,6.047,7.628,9.31,11.051,8.285,1.41,0.176,4.011,3.551,2.618,2.293,2.618,10.594,2.114,2.496,2.5,2.0,1.5,1.0,2.22,1.161,2.275,1.397,1.073,0.147,0.174,0.327,0.126,0.973,1984.84,29924.3,174.961,3.882,5.016,5.708,47.5,2.275,0.147,0.327,2.114,23.587,16.946,12.114,9.892,111.205,3.414,11.294,8.651,549.305,73.5,2.563,44.0,35.719,-0.018,17.583,6.891,70.286,159.83,19.371,7.163,8.772,15.226,146.148,47.859,1.909
