pXC50,NNRS,RCI,Eig02_AEA.bo.,RFD,Eig02_AEA.dm.,SM03_AEA.bo.,SM04_AEA.bo.,Eig02_AEA.ri.,Eig04_AEA.bo.,Eig02_EA,SM10_AEA.bo.,piPC02,SM02_EA.bo.,P_VSA_LogP_4,P_VSA_e_2,SM02_AEA.bo.,Eig02_EA.bo.,SM12_AEA.ri.,X2sol,TIE,Eig02_EA.ri.,Eig04_EA.bo.,SM14_AEA.ri.,ATS7m,SpAD_EA.bo.,Rperim,SpMax2_Bh.m.,SM02_EA.ri.,X0sol,SpMax3_Bh.m.,MW,Eta_alpha,SpMax8_Bh.s.,Eig04_AEA.ri.,IDDM,Eig09_AEA.dm.,XMOD,SM05_AEA.bo.,SpMax2_Bh.e.,P_VSA_p_3,P_VSA_v_3,HDcpx,SpAD_EA.ri.,SpMax4_Bh.m.,X2v,Eig09_AEA.ed.,X2,P_VSA_i_2,NRS,Eig11_AEA.bo.,nC..N.N2,Eig08_AEA.ed.,Eig08_AEA.bo.,SpAD_AEA.ri.,SpMax6_Bh.v.,piPC01,SCBO,SMTIV,Eig14_AEA.ed.,SpMaxA_EA.bo.,Eig14_AEA.bo.,ATS1m,Eta_betaP,SpMin2_Bh.i.,Eig04_EA,SM12_AEA.bo.,Eig08_EA.ri.,SpAD_AEA.bo.
4.034,1.0,1.0,4.207,0.0,3.628,6.152,7.434,3.761,3.633,2.835,2.835,4.248,4.934,98.588,117.474,4.977,3.748,3.748,14.261,77.219,2.662,2.853,2.853,4.229,59.798,17,3.911,4.398,23.38,3.699,465.41,15.062,4.267,3.443,4.922,1.938,99.202,8.744,3.909,195.771,195.771,1.743,45.747,3.589,8.523,4.041,13.52,117.474,3,2.196,0,4.325,2.82,48.969,3.123,3.738,41.0,21887.0,2.93,0.117,1.585,3.756,15.5,1.878,2.51,2.51,1.41,48.961
5.066,0.667,1.125,3.941,0.125,3.39,5.92,7.209,3.642,3.544,2.685,2.685,3.998,4.682,50.347,84.051,4.775,3.313,3.313,11.516,57.878,2.568,2.653,2.653,3.603,48.199,16,3.77,4.235,19.725,3.545,396.96,12.848,4.066,3.181,4.721,1.551,86.455,8.537,3.885,123.2,123.2,1.698,39.124,3.47,7.53,3.486,11.145,84.051,2,1.906,0,3.724,2.427,42.372,3.052,3.526,33.0,13831.0,2.5,0.149,1.04,3.626,9.0,1.804,2.277,2.277,1.258,42.204
5.0,1.0,1.0,3.864,0.0,3.038,5.708,6.968,3.625,3.218,2.667,2.667,3.795,4.477,32.336,87.562,4.58,3.209,3.209,9.302,49.081,2.559,2.231,2.231,3.258,39.793,12,3.759,4.063,16.656,3.468,320.48,10.8,3.641,3.153,4.491,1.077,70.309,8.261,3.876,87.562,87.562,1.651,32.767,3.326,6.194,3.067,9.302,87.562,2,1.306,0,3.414,2.0,34.196,2.934,3.367,28.0,8943.0,2.0,0.165,0.583,3.391,8.5,1.803,2.201,2.201,0.983,34.251
5.0,0.667,1.125,3.919,0.125,3.367,5.901,7.192,3.637,3.539,2.678,2.678,3.98,4.663,32.336,81.275,4.749,3.29,3.29,10.414,65.19,2.568,2.653,2.653,3.458,47.167,16,3.764,4.229,17.648,3.473,366.48,11.919,4.073,3.184,4.668,1.535,80.649,8.52,3.885,81.275,81.275,1.687,38.62,3.367,6.912,3.455,10.932,81.275,2,1.769,0,3.655,2.427,41.167,3.006,3.497,32.0,12876.0,2.453,0.154,0.827,3.552,9.0,1.804,2.266,2.266,1.277,41.224
5.951,0.333,1.308,3.708,0.308,2.811,5.693,7.016,3.455,3.25,2.516,2.516,3.876,4.559,0.0,68.347,4.494,3.086,3.086,7.62,20.06,2.371,2.339,2.339,2.629,37.938,13,3.608,3.969,12.535,3.391,244.37,8.633,3.333,2.944,4.133,0.691,54.795,8.387,3.729,68.347,68.347,1.589,28.782,3.171,5.105,2.637,7.62,68.347,1,0.72,0,3.408,1.996,29.94,2.733,3.258,25.0,3862.0,1.544,0.235,-0.057,3.18,8.0,1.769,1.981,1.981,0.813,29.825
6.469,0.5,1.211,4.221,0.211,3.482,6.138,7.456,3.835,3.695,2.851,2.851,4.314,5.001,2.757,123.85,4.927,3.794,3.794,10.975,42.484,2.804,3.083,3.083,3.5,58.429,19,3.889,4.376,17.933,3.608,365.49,12.819,3.76,3.251,4.73,1.531,82.379,8.814,3.939,123.85,123.85,1.696,43.215,3.447,7.185,3.666,11.597,123.85,2,2.238,0,3.864,2.854,44.866,2.967,3.689,39.0,14830.0,2.556,0.157,1.11,3.565,15.5,1.887,2.309,2.309,1.401,45.089
5.967,0.667,1.133,4.011,0.133,2.99,5.956,7.249,3.567,3.426,2.619,2.619,4.155,4.84,0.0,135.256,4.762,3.614,3.614,9.715,35.44,2.472,2.709,2.709,3.284,50.34,15,3.853,4.168,16.071,3.553,326.45,11.419,3.674,3.026,4.559,1.046,72.917,8.583,3.906,135.256,135.256,1.66,36.348,3.348,6.176,3.481,10.336,135.256,2,1.579,0,3.582,2.5,38.319,2.903,3.555,34.0,11427.0,2.0,0.177,0.783,3.44,14.5,1.844,2.115,2.115,1.174,38.54
6.398,0.667,1.125,4.011,0.125,2.989,5.738,6.993,3.566,3.376,2.619,2.619,3.912,4.595,0.0,112.524,4.595,3.614,3.614,8.272,28.853,2.472,2.44,2.44,3.025,41.941,16,3.847,4.028,13.623,3.504,285.39,10.019,3.645,3.016,4.368,0.933,64.245,8.278,3.899,112.524,112.524,1.621,31.814,3.241,5.451,3.178,8.894,112.524,2,1.124,0,3.414,2.467,33.333,2.789,3.401,29.0,8050.0,2.0,0.166,0.5,3.312,12.5,1.844,2.108,2.108,1.0,33.421
6.648,0.5,1.211,4.011,0.211,3.011,6.094,7.413,3.569,3.512,2.626,2.626,4.273,4.959,0.0,119.233,4.883,3.614,3.614,11.175,37.955,2.473,2.887,2.887,3.383,55.943,19,3.854,4.301,17.725,3.714,372.9,12.633,3.684,3.192,4.671,1.476,81.97,8.774,3.906,158.382,158.382,1.683,40.689,3.464,7.21,3.623,11.426,119.233,2,2.026,0,3.89,2.628,43.684,2.965,3.638,37.0,14359.0,2.542,0.165,1.03,3.585,14.5,1.845,2.271,2.271,1.319,43.627
6.208,0.5,1.211,3.897,0.211,2.878,5.989,7.289,3.483,3.469,2.542,2.542,4.186,4.871,0.0,125.564,4.804,3.444,3.444,10.267,25.752,2.394,2.825,2.825,3.182,52.399,19,3.823,4.24,16.355,3.602,320.47,11.633,3.589,3.058,4.555,1.244,73.102,8.633,3.895,125.564,125.564,1.661,38.684,3.366,6.543,3.472,10.267,125.564,2,1.936,0,3.656,2.5,40.268,2.902,3.584,35.0,10014.0,2.419,0.174,0.785,3.456,14.5,1.85,2.104,2.104,1.262,40.347
6.699,0.5,1.211,4.214,0.211,3.328,6.094,7.413,3.723,3.526,2.829,2.829,4.273,4.959,0.0,113.613,4.883,3.869,3.869,12.138,33.725,2.494,2.846,2.846,3.436,56.105,19,4.104,4.285,19.096,3.612,389.35,13.062,3.749,3.139,4.675,1.529,84.28,8.773,3.908,191.91,191.91,1.683,40.358,3.441,7.62,3.682,11.396,113.613,2,2.006,0,3.865,2.82,43.72,2.948,3.638,37.0,14533.0,2.527,0.162,0.887,3.622,14.5,1.852,2.23,2.23,1.313,43.595
6.699,0.5,1.211,4.011,0.211,3.002,6.043,7.352,3.552,3.511,2.62,2.62,4.23,4.916,0.0,119.588,4.844,3.614,3.614,11.297,29.127,2.425,2.845,2.845,3.322,54.185,19,3.989,4.263,17.725,3.611,354.91,12.348,3.674,3.133,4.615,1.177,78.64,8.702,3.901,158.737,158.737,1.672,39.474,3.441,7.12,3.592,10.888,119.588,2,2.006,0,3.68,2.5,42.056,2.948,3.611,36.0,12314.0,2.461,0.168,0.884,3.542,14.5,1.851,2.172,2.172,1.309,42.031
6.032,0.5,1.211,4.012,0.211,2.995,6.026,7.34,3.57,3.512,2.625,2.625,4.216,4.902,0.0,122.674,4.82,3.614,3.614,9.913,30.904,2.474,2.845,2.845,3.26,52.917,19,3.852,4.251,15.648,3.586,324.43,11.419,3.674,3.133,4.556,1.176,73.331,8.694,3.904,122.674,122.674,1.663,38.638,3.337,6.33,3.512,10.535,122.674,2,1.978,0,3.668,2.5,40.63,2.948,3.584,35.0,10754.0,2.341,0.174,0.873,3.466,14.5,1.844,2.173,2.173,1.066,40.703
6.0,0.667,1.143,3.953,0.143,3.313,5.843,7.156,3.765,3.463,2.799,2.799,3.937,4.62,16.602,89.563,4.63,3.292,3.292,8.33,24.435,2.712,2.636,2.636,2.958,40.916,14,3.741,4.065,13.405,3.45,253.38,9.2,3.204,3.129,4.218,0.704,56.667,8.506,3.854,89.563,89.563,1.605,31.115,3.221,5.744,3.226,8.33,89.563,2,0.894,0,3.254,2.166,31.944,2.627,3.367,28.0,4598.0,1.77,0.215,0.0,3.203,11.0,1.643,2.158,2.158,0.661,33.216
6.0,0.6,1.154,4.426,0.154,3.174,6.246,7.545,3.954,3.748,2.998,2.998,4.363,5.05,51.72,105.148,5.074,3.942,3.942,13.865,51.213,2.88,2.937,2.937,3.673,65.581,26,3.918,4.545,21.916,3.715,432.63,15.233,3.962,3.443,4.977,1.618,97.612,8.879,3.974,105.148,105.148,1.735,51.864,3.511,8.983,4.053,13.865,105.148,3,2.454,0,4.304,2.958,53.736,3.232,3.818,44.5,24153.0,3.181,0.121,2.0,3.747,15.0,1.882,2.477,2.477,1.566,54.294
7.0,0.5,1.211,3.897,0.211,2.88,6.006,7.305,3.48,3.554,2.54,2.54,4.201,4.887,0.0,128.099,4.828,3.444,3.444,10.48,27.741,2.39,2.885,2.885,3.259,53.478,19,3.823,4.265,17.062,3.6,334.5,12.133,3.674,3.173,4.613,1.215,76.245,8.649,3.895,128.099,128.099,1.674,39.768,3.402,6.728,3.556,10.48,128.099,2,2.107,0,3.714,2.5,41.378,2.97,3.611,36.0,10785.0,2.416,0.168,0.893,3.492,14.5,1.85,2.209,2.209,1.255,41.32
5.855,0.5,1.211,4.011,0.211,2.992,6.109,7.427,3.592,3.512,2.644,2.644,4.287,4.973,0.0,131.859,4.905,3.614,3.614,10.995,38.828,2.506,2.89,2.89,3.423,57.194,19,3.853,4.34,17.933,3.616,368.49,12.752,3.7,3.225,4.724,1.492,83.138,8.787,3.906,131.859,131.859,1.694,42.257,3.401,7.023,3.623,11.617,131.859,2,2.034,0,3.89,2.671,44.713,3.024,3.664,38.0,15105.0,2.608,0.159,1.109,3.584,15.0,1.845,2.299,2.299,1.32,44.761
6.783,0.5,1.211,4.011,0.211,2.99,6.109,7.425,3.568,3.604,2.621,2.621,4.287,4.973,0.0,131.859,4.905,3.614,3.614,11.069,38.344,2.473,2.9,2.9,3.505,57.201,19,3.853,4.34,17.933,3.619,368.49,12.752,3.762,3.327,4.723,1.329,83.037,8.78,3.906,131.859,131.859,1.695,42.263,3.426,7.049,3.669,11.691,131.859,2,2.055,0,3.836,2.5,44.72,2.96,3.664,38.0,15204.0,2.637,0.157,1.109,3.584,15.0,1.845,2.403,2.403,1.34,44.76
7.0,0.5,1.211,3.897,0.211,2.878,5.989,7.289,3.479,3.51,2.538,2.538,4.186,4.871,0.0,125.564,4.804,3.444,3.444,10.267,25.768,2.389,2.845,2.845,3.193,52.417,19,3.823,4.24,16.355,3.6,320.47,11.633,3.627,3.132,4.556,1.176,73.102,8.633,3.895,125.564,125.564,1.662,38.699,3.381,6.543,3.509,10.267,125.564,2,2.003,0,3.657,2.5,40.281,2.948,3.584,35.0,9940.0,2.416,0.174,0.875,3.456,14.5,1.85,2.169,2.169,1.255,40.361
5.0,0.333,1.308,3.926,0.308,2.805,5.676,7.029,3.476,3.201,2.5,2.5,3.876,4.559,2.757,73.183,4.425,3.391,3.391,6.621,12.948,2.438,2.437,2.437,0.82,35.477,13,3.574,3.873,10.414,3.209,198.29,7.3,2.916,2.68,3.885,-0.208,44.802,8.427,3.664,73.183,73.183,1.541,25.348,3.035,4.12,2.432,6.621,73.183,1,0.478,0,2.583,0.933,26.15,2.6,3.178,23.0,2137.0,1.251,0.279,-0.39,2.996,9.5,1.763,1.713,1.713,-0.254,26.499
5.0,1.0,1.0,3.524,0.0,2.833,5.334,6.542,3.448,2.629,2.519,2.519,3.481,4.159,0.0,73.317,4.256,2.709,2.709,6.293,25.423,2.34,1.631,1.631,2.75,29.664,12,3.719,3.692,11.054,3.372,237.35,8.019,3.339,2.589,4.063,0.419,52.447,7.777,3.846,73.317,73.317,1.557,23.888,2.988,4.558,2.239,6.914,73.317,2,0.5,0,2.876,1.587,25.424,2.715,3.091,21.0,4337.0,0.966,0.201,-0.144,3.11,6.5,1.767,1.607,1.607,0.448,25.346
5.0,0.333,1.308,3.988,0.308,2.85,5.676,7.022,3.552,3.185,2.58,2.58,3.876,4.559,45.44,55.31,4.425,3.478,3.478,6.814,15.733,2.503,2.474,2.474,1.877,35.344,13,3.592,3.872,10.414,3.136,200.26,7.133,2.911,2.756,3.882,-0.14,44.964,8.407,3.672,55.31,55.31,1.536,25.202,3.036,3.926,2.359,6.814,55.31,1,0.245,0,2.487,1.04,26.085,2.251,3.178,23.0,2482.0,1.251,0.272,-0.422,2.998,10.0,1.741,1.791,1.791,-0.183,26.443
5.0,0.333,1.308,3.917,0.308,2.887,5.645,6.978,3.574,3.192,2.61,2.61,3.834,4.516,0.0,68.68,4.425,3.366,3.366,6.983,15.419,2.516,2.481,2.481,2.219,35.197,13,3.588,3.898,11.121,3.199,216.31,7.633,3.031,2.775,3.971,-0.042,48.73,8.354,3.687,68.68,68.68,1.555,26.171,3.076,4.355,2.407,6.983,68.68,1,0.507,0,2.831,1.573,27.194,2.704,3.178,23.0,2762.0,1.263,0.256,-0.335,3.077,8.5,1.747,1.811,1.811,0.34,27.375
6.775,0.5,1.211,4.14,0.211,3.482,6.066,7.375,3.807,3.511,2.785,2.785,4.245,4.931,30.278,126.582,4.868,3.67,3.67,10.784,33.941,2.845,2.845,2.845,3.287,55.226,19,3.867,4.332,17.225,3.603,332.48,12.133,3.674,3.133,4.618,1.323,75.235,8.727,3.931,126.582,126.582,1.674,41.274,3.423,6.92,3.552,10.784,126.582,2,2.151,0,3.668,2.626,42.046,2.952,3.638,37.0,11037.0,2.549,0.168,0.882,3.477,15.5,1.893,2.169,2.169,1.283,42.457
5.751,0.5,1.211,3.926,0.211,2.975,6.096,7.404,3.523,3.673,2.529,2.529,4.259,4.945,0.0,155.509,4.89,3.446,3.446,10.62,27.131,2.522,2.858,2.858,3.145,55.463,19,3.845,4.295,17.062,3.618,328.49,12.3,3.674,3.134,4.615,1.498,75.193,8.753,3.923,155.509,155.509,1.671,40.407,3.439,6.801,3.552,10.62,155.509,2,2.041,0,3.662,2.85,41.431,2.991,3.664,38.0,11290.0,2.547,0.168,0.884,3.466,16.0,1.895,2.17,2.17,1.379,42.406
4.034,0.75,1.095,4.222,0.095,3.693,6.213,7.513,3.911,3.681,2.94,2.94,4.41,5.097,46.635,182.695,5.001,3.671,3.671,12.433,49.63,2.85,3.126,3.126,3.931,63.494,21,3.912,4.379,18.993,3.83,391.5,13.652,3.855,3.246,4.778,1.527,88.234,8.845,3.945,182.695,182.695,1.716,44.203,3.638,7.561,3.866,12.412,150.475,3,2.5,0,4.397,3.012,46.287,2.863,3.784,43.0,15916.0,2.817,0.143,1.398,3.658,22.5,1.9,2.295,2.295,1.458,46.792
4.034,1.0,1.0,4.153,0.0,3.561,5.914,7.227,3.933,3.369,2.965,2.965,3.984,4.668,29.85,111.78,4.698,3.601,3.601,8.539,65.571,2.865,2.519,2.519,3.351,44.837,11,3.861,4.133,14.535,3.499,326.35,10.324,3.991,3.063,4.501,1.149,69.654,8.576,3.912,111.78,111.78,1.658,34.123,3.378,5.283,3.232,10.497,111.78,2,1.183,0,3.476,2.526,36.279,2.833,3.45,30.5,10554.0,2.0,0.164,0.179,3.402,11.5,1.664,2.101,2.101,1.068,36.937
6.602,0.5,1.211,4.255,0.211,3.483,6.159,7.478,3.752,3.707,2.785,2.785,4.341,5.027,0.0,118.845,4.949,3.951,3.951,11.787,40.149,2.69,3.086,3.086,3.343,59.919,19,3.944,4.364,18.803,3.613,365.47,12.7,3.768,3.303,4.728,1.528,82.828,8.838,3.981,118.845,118.845,1.691,43.4,3.494,6.981,3.673,11.787,118.845,2,2.337,0,3.82,2.855,45.17,3.073,3.714,40.0,16310.0,2.562,0.157,1.011,3.58,17.5,1.88,2.368,2.368,1.368,45.224
4.034,0.75,1.091,4.333,0.091,3.261,6.108,7.408,3.941,3.795,2.973,2.973,4.205,4.89,0.0,137.26,4.934,3.464,3.464,12.362,46.805,2.877,3.093,3.093,3.759,56.791,22,3.864,4.424,20.106,3.75,393.57,13.9,3.865,3.48,4.828,1.228,88.505,8.739,3.941,137.26,137.26,1.715,45.081,3.489,8.415,3.766,12.362,137.26,3,2.0,0,3.802,2.86,46.676,2.985,3.689,39.0,17032.0,2.924,0.124,1.591,3.632,14.5,1.912,2.493,2.493,1.49,46.886
4.034,1.0,1.0,4.6,0.0,4.661,6.411,7.772,4.169,3.92,3.223,3.223,4.546,5.234,93.724,182.628,5.143,4.342,4.342,16.493,59.804,2.987,3.449,3.449,4.021,70.798,22,4.116,4.508,22.777,3.949,452.6,15.267,4.49,3.509,4.921,1.753,104.486,9.171,3.966,182.628,182.628,1.734,49.25,3.791,9.617,4.445,14.437,144.601,4,2.552,0,4.657,3.066,51.844,3.026,3.882,47.5,23558.0,3.138,0.137,1.383,3.921,24.0,1.854,2.54,2.54,1.617,52.553
4.034,1.0,1.0,4.134,0.0,3.279,5.854,7.133,3.914,3.368,2.944,2.944,3.989,4.673,40.328,159.815,4.673,3.571,3.571,10.16,35.836,2.85,2.548,2.548,3.407,44.728,12,3.842,4.085,17.32,3.777,328.53,11.433,3.792,3.032,4.501,1.0,70.91,8.446,3.907,159.815,159.815,1.657,33.286,3.426,6.257,3.247,9.752,114.623,2,1.278,0,3.452,2.5,35.007,2.97,3.466,31.0,8526.0,1.807,0.166,0.546,3.408,13.5,1.84,2.086,2.086,0.959,35.183
4.034,1.0,1.0,4.131,0.0,3.279,5.788,7.051,3.797,3.36,2.826,2.826,3.932,4.615,40.328,157.28,4.625,3.571,3.571,9.654,32.197,2.752,2.53,2.53,3.339,42.758,12,3.837,4.016,16.449,3.755,314.5,10.933,3.759,3.013,4.436,1.0,68.445,8.345,3.899,157.28,157.28,1.644,31.549,3.426,5.824,3.247,9.246,112.088,2,1.269,0,3.434,2.5,33.299,2.912,3.434,30.0,7772.0,1.731,0.165,0.5,3.369,13.5,1.839,2.078,2.078,0.955,33.534
4.034,0.75,1.111,4.16,0.111,3.623,6.221,7.55,3.838,3.944,2.855,2.855,4.327,5.014,93.386,116.627,4.977,3.741,3.741,11.566,44.28,2.812,3.244,3.244,3.704,58.419,18,3.868,4.397,18.259,3.732,345.44,12.333,3.927,3.587,4.671,1.652,78.116,8.913,3.918,116.627,116.627,1.696,42.901,3.489,6.936,3.681,11.566,116.627,3,2.463,0,4.345,2.939,43.836,3.028,3.714,40.0,11759.0,2.671,0.16,1.035,3.516,19.0,1.852,2.597,2.597,1.325,45.965
4.034,1.0,1.0,4.183,0.0,3.064,6.204,7.51,3.732,3.761,2.804,2.804,4.404,5.091,19.369,176.669,4.989,3.817,3.817,13.441,38.225,2.627,3.279,3.279,4.05,62.798,23,4.001,4.326,20.863,3.845,427.4,14.462,3.762,3.316,4.774,1.289,93.7,8.855,3.916,254.966,254.966,1.716,42.504,3.766,8.148,3.73,12.057,145.391,4,2.5,0,4.183,2.969,46.345,2.815,3.773,42.5,15079.0,2.755,0.14,1.232,3.737,21.5,1.895,2.382,2.382,1.441,46.47
4.034,1.0,1.0,4.453,0.0,3.653,6.06,7.392,4.047,3.545,3.092,3.092,4.143,4.828,32.336,161.021,4.852,3.889,3.889,11.233,71.627,2.954,2.893,2.893,3.689,52.029,12,3.874,4.297,20.734,3.538,387.52,13.067,4.073,3.136,4.784,1.539,86.118,8.77,3.923,161.021,161.021,1.715,39.819,3.337,6.636,3.629,11.233,161.021,2,1.745,0,3.734,2.5,41.99,3.026,3.611,36.0,13772.0,2.528,0.143,1.168,3.582,15.0,1.873,2.152,2.152,1.133,42.324
4.034,0.5,1.2,3.929,0.2,3.4,5.673,7.001,3.61,3.481,2.664,2.664,3.689,4.369,62.407,47.08,4.454,3.17,3.17,7.362,32.135,2.511,2.62,2.62,2.403,32.863,10,3.529,3.881,12.577,3.27,235.28,7.667,3.56,3.099,4.056,0.128,51.906,8.361,3.634,47.08,47.08,1.576,25.875,3.097,3.832,2.622,7.362,47.08,1,0.341,0,2.912,1.807,27.088,2.712,3.178,23.0,3754.0,1.276,0.221,-0.255,3.126,7.5,1.546,2.107,2.107,0.274,28.327
