pXC50,Se,Si,Sv,nBT,Sp,nH,MW,nC,nBO,nAT,RBN
8.469,79.891,87.313,53.441,82,55.636,30,731.1,33,52,78,12
8.18,86.334,95.199,56.667,89,59.301,35,736.73,36,54,85,14
8.387,86.123,94.575,58.425,90,61.085,33,754.74,39,57,85,12
8.319,87.109,96.488,56.973,90,59.853,36,735.75,36,54,86,13
7.538,82.68,91.78,54.237,86,57.392,35,692.72,35,51,82,13
7.824,87.567,97.461,56.651,91,59.75,38,700.32,37,53,87,14
8.187,89.007,97.99,59.952,93,62.847,35,768.77,40,58,88,13
6.638,74.8,81.538,50.559,77,52.256,27,680.61,32,50,73,11
5.921,63.101,70.73,39.772,66,41.733,29,459.59,27,37,63,9
5.77,59.214,66.05,38.358,62,40.375,26,464.0,26,36,59,7
5.284,58.891,66.106,37.53,62,39.517,27,429.56,26,35,59,7
5.108,60.542,67.259,39.072,63,40.83,26,480.0,26,37,60,8
5.699,56.789,63.607,36.509,60,38.512,26,414.54,26,34,57,9
5.699,56.007,62.69,36.003,59,37.756,25,415.53,25,34,56,7
7.328,64.658,72.936,40.584,68,43.04,31,457.62,28,37,65,9
6.119,63.098,70.465,40.884,66,43.137,28,490.04,28,38,63,9
6.027,58.891,66.106,37.53,62,39.517,27,429.56,26,35,59,7
6.523,67.541,76.351,42.111,71,44.802,33,471.65,29,38,68,8
5.62,67.541,76.351,42.111,71,44.802,33,471.65,29,38,68,9
7.469,69.76,78.434,44.605,74,47.046,32,508.67,31,42,70,7
5.538,60.218,67.315,38.245,63,39.972,27,445.56,26,36,60,8
6.854,67.541,76.351,42.111,71,44.802,33,471.65,29,38,68,10
6.143,56.331,62.634,36.831,59,38.614,24,449.97,25,35,56,7
6.0,64.981,72.88,41.411,68,43.898,30,492.06,28,38,65,9
8.699,62.432,71.055,39.945,67,42.415,29,451.63,27,38,63,7
5.481,64.658,72.936,40.584,68,43.04,31,457.62,28,37,65,8
6.886,60.211,67.517,40.1,65,41.591,24,476.59,27,41,60,5
9.538,86.243,96.517,54.824,90,57.892,39,653.87,36,51,86,13
4.824,56.331,62.634,36.831,59,38.614,24,449.97,25,35,56,7
6.119,62.0,69.232,39.75,65,41.728,28,456.58,28,37,62,9
6.0,70.389,78.275,45.2,73,47.597,31,545.71,30,42,70,11
5.347,64.622,71.444,42.147,67,44.074,27,517.65,28,40,64,10
5.0,63.723,70.943,40.168,66,42.08,28,496.64,25,38,63,11
5.678,67.389,75.275,42.2,70,44.597,31,509.68,27,39,67,11
4.796,57.436,64.229,37.794,62,39.04,23,453.55,25,39,57,6
6.0,67.505,74.86,43.674,70,45.835,29,531.68,29,41,67,11
5.0,64.505,71.86,40.674,67,42.835,29,495.65,26,38,64,10
6.18,71.945,80.481,46.012,76,48.904,33,543.74,31,43,72,9
6.481,74.163,82.564,48.507,78,51.148,32,580.76,33,46,74,9
4.301,53.214,59.88,34.412,56,36.199,23,422.96,22,33,53,8
4.301,55.542,62.089,36.127,58,37.654,23,450.97,23,35,55,9
6.921,86.352,96.643,54.044,90,57.103,40,644.86,35,50,86,13
5.155,67.505,74.86,43.674,70,45.835,29,531.68,29,41,67,10
5.022,64.945,71.388,42.974,67,44.932,26,552.09,28,41,64,10
6.252,84.581,95.64,52.141,88,55.955,42,602.87,34,46,85,14
5.092,54.949,60.906,37.136,59,39.835,23,461.65,25,36,55,6
5.553,55.451,61.485,36.191,59,37.449,23,429.51,25,36,55,6
6.409,74.829,83.896,47.539,79,50.665,35,557.77,32,44,75,10
5.022,80.367,89.73,50.496,83,53.336,37,603.8,33,46,80,13
7.538,73.701,82.228,47.518,77,49.642,31,585.75,30,46,73,10
7.097,77.829,86.896,50.539,82,53.665,35,593.8,35,47,78,10
6.469,79.93,89.394,51.561,84,54.671,36,608.82,35,48,80,10
6.237,72.262,79.777,46.125,74,47.75,30,578.7,29,44,71,12
7.699,81.687,91.311,51.012,84,53.586,37,619.81,32,47,81,12
8.0,78.803,87.896,49.485,81,51.824,35,605.78,31,46,78,12
7.796,80.491,88.773,54.222,85,56.603,32,656.81,38,53,80,10
6.77,71.491,79.773,45.222,74,47.603,32,548.72,29,42,71,11
8.201,81.687,91.311,51.012,84,53.586,37,619.81,32,47,81,13
8.097,92.665,103.766,57.307,96,60.324,43,689.91,36,53,92,13
8.131,84.57,94.726,52.538,87,55.347,39,633.84,33,48,84,14
8.444,84.57,94.726,52.538,87,55.347,39,633.84,33,48,84,14
6.538,66.723,73.943,43.168,69,45.08,28,532.67,28,41,66,8
6.398,90.258,99.603,61.275,96,64.125,36,732.91,44,60,90,11
8.495,87.454,98.142,54.065,90,57.108,41,647.87,34,49,87,13
8.553,89.781,100.351,55.78,93,58.563,41,675.88,35,52,89,12
5.398,87.469,97.228,56.517,92,59.341,38,678.87,38,54,87,5
6.201,74.592,83.271,47.243,77,49.608,33,575.75,30,44,74,9
5.523,68.203,76.059,45.847,73,47.563,27,541.66,32,46,68,8
7.699,101.887,114.304,64.151,107,68.148,48,749.02,43,59,102,7
9.266,87.41,97.275,54.637,90,56.739,38,679.84,34,52,86,11
7.745,81.476,90.687,52.77,85,55.37,35,637.82,35,50,81,10
6.301,71.927,79.036,48.635,75,51.102,28,635.61,32,47,71,10
4.638,63.414,70.869,41.282,66,41.921,24,519.58,27,42,62,8
4.301,53.214,59.88,34.412,56,36.199,23,422.96,22,33,53,8
9.178,82.2,91.651,51.395,84,53.523,36,637.8,32,48,81,11
5.187,56.76,63.173,37.621,60,38.898,22,475.98,24,38,56,8
5.0,58.294,65.235,36.432,60,38.62,27,441.6,23,33,58,10
5.0,64.061,72.065,39.486,66,42.142,31,469.66,25,35,64,12
5.0,66.582,73.78,42.861,69,45.483,29,539.73,27,40,66,12
5.0,58.371,65.155,36.619,60,39.267,27,461.66,22,33,58,9
5.0,65.389,73.275,40.2,67,42.597,31,485.66,25,36,65,13
8.886,144.221,163.613,84.703,146,88.7,71,1002.33,49,75,143,28
5.0,64.138,71.985,39.673,66,42.79,31,489.72,24,35,64,12
5.0,62.029,69.859,38.453,64,41.58,30,474.71,23,34,62,10
5.0,62.505,69.86,38.674,64,40.835,29,471.63,24,35,62,11
5.0,58.371,65.155,36.619,60,39.267,27,461.66,22,33,58,11
5.0,45.872,51.816,30.003,49,32.012,20,364.52,19,29,46,6
5.0,62.792,69.589,39.296,63,40.841,26,529.66,23,37,61,11
5.0,59.927,67.361,37.431,62,40.574,29,459.69,23,33,60,10
5.0,61.254,68.57,38.146,63,41.029,29,475.69,23,34,61,12
5.0,64.061,72.065,39.486,66,42.142,31,469.66,25,35,64,11
5.0,59.698,66.364,37.334,61,39.722,27,477.66,22,34,59,12
5.347,74.956,84.803,47.449,79,49.853,34,550.73,31,45,75,9
5.658,77.065,86.929,48.669,81,51.063,35,565.74,32,46,77,11
4.367,40.458,45.04,25.869,41,27.489,18,341.26,16,23,40,7
9.31,90.294,100.691,56.163,93,58.5,40,693.87,35,53,89,12
7.237,83.723,94.633,53.503,89,56.376,38,614.82,36,51,84,12
7.456,75.247,82.875,48.866,77,49.659,28,639.71,31,49,73,10
9.21,87.967,98.481,54.449,90,57.046,40,665.86,34,50,87,13
9.317,87.756,97.857,56.207,91,58.83,38,683.87,37,53,87,10
6.721,75.778,83.503,49.844,78,51.608,29,654.79,32,49,74,10
4.77,71.414,79.684,47.089,76,48.779,29,559.68,32,47,71,10
7.921,79.24,87.159,52.898,82,55.324,31,692.67,34,51,78,11
9.389,83.545,92.077,54.893,86,57.114,33,750.7,35,53,82,11
5.469,56.007,62.69,36.003,59,37.756,25,415.53,25,34,56,8
5.481,51.229,57.136,32.81,53,34.608,23,398.92,22,30,51,8
6.62,78.585,86.998,51.184,81,52.722,31,648.76,34,50,77,11
6.347,86.119,96.659,53.291,88,55.768,39,656.84,34,49,85,15
6.229,71.603,79.092,47.808,75,50.245,29,601.17,32,46,71,10
8.678,86.221,95.065,56.274,88,57.801,33,740.26,36,55,84,12
4.523,55.756,62.81,35.31,58,36.29,23,433.53,21,35,55,9
8.959,88.992,99.161,55.215,90,56.921,38,701.84,34,52,87,13
9.0,77.854,87.305,51.428,83,53.847,33,595.76,36,50,78,9
7.398,65.087,73.644,39.32,67,41.5,32,452.61,25,35,65,5
7.222,68.101,75.73,44.772,72,46.733,29,519.64,32,43,68,9
6.569,62.774,70.521,40.057,66,42.279,29,455.6,28,37,63,9
4.523,56.345,63.644,37.375,61,39.642,25,419.57,27,36,57,5
6.215,61.218,68.315,39.245,64,40.972,27,457.57,27,37,61,8
6.387,61.774,69.521,39.057,65,41.279,29,443.59,27,36,62,8
5.921,68.869,77.561,42.825,72,45.256,33,487.65,29,39,69,10
6.523,75.701,83.583,49.657,78,50.961,29,634.73,33,49,74,10
5.046,56.654,62.578,37.658,59,39.472,23,484.41,25,36,56,7
5.523,56.007,62.69,36.003,59,37.756,25,415.53,25,34,56,7
5.272,74.181,83.514,47.143,78,49.302,33,551.71,31,45,74,11
8.481,81.065,90.929,52.669,86,55.063,35,613.78,36,51,81,11
8.854,75.087,83.474,51.374,81,53.324,29,603.73,37,52,75,8
9.337,78.294,86.833,53.728,84,55.944,30,652.2,38,54,78,9
9.155,77.97,86.889,52.901,84,55.086,31,617.76,38,53,78,9
6.208,53.527,59.405,34.379,55,36.097,23,425.55,22,32,53,10
7.046,51.982,58.112,33.169,54,35.398,24,396.55,22,30,52,9
8.699,77.89,87.729,48.275,81,52.08,38,582.86,30,43,78,12
10.222,75.163,83.394,51.561,81,53.972,29,623.79,36,52,75,9
6.357,50.978,56.847,33.282,53,35.801,23,414.99,22,30,51,9
7.523,58.687,65.109,39.487,63,41.506,25,447.56,30,38,59,5
9.456,80.854,90.305,54.428,87,56.847,33,631.79,39,54,81,9
9.62,78.047,86.809,53.088,84,55.733,31,637.82,37,53,78,9
8.824,67.32,74.813,44.266,71,45.978,28,520.63,31,43,67,5
7.509,53.527,59.405,34.379,55,36.097,23,425.55,22,32,53,10
5.051,41.134,46.096,26.041,42,27.631,19,318.83,17,23,41,7
4.523,53.891,60.936,34.584,57,36.341,24,400.53,23,33,54,8
7.097,58.01,63.686,38.241,58,37.836,18,585.37,23,40,55,8
7.824,66.549,74.81,43.364,71,45.83,30,490.65,31,41,67,4
7.77,78.796,87.623,49.425,80,50.938,33,630.75,31,47,77,11
6.721,63.992,71.604,41.552,68,43.523,28,480.61,29,40,64,6
6.921,79.225,88.397,51.242,84,54.563,35,629.87,33,49,79,9
7.921,79.505,90.72,46.954,82,50.307,42,522.76,30,40,80,12
7.638,76.621,87.304,45.427,79,48.546,40,508.73,29,39,77,11
7.432,63.665,71.394,41.837,68,44.069,28,476.62,30,40,64,4
6.762,74.476,81.594,49.732,77,51.398,28,646.17,32,49,73,11
5.538,66.069,73.524,43.739,70,46.171,28,524.69,30,42,66,7
8.959,77.403,88.221,45.933,80,49.302,41,507.74,30,39,78,12
9.155,79.505,90.72,46.954,82,50.307,42,522.76,30,40,80,11
6.824,77.68,87.105,50.033,82,53.864,36,600.87,33,46,78,11
7.398,76.88,86.069,46.879,78,49.273,36,573.75,29,42,76,14
7.288,66.101,73.73,42.772,70,44.733,29,495.62,30,41,66,7
7.398,73.483,82.315,44.969,75,47.574,35,541.73,28,40,73,14
4.699,53.781,60.81,35.364,58,37.131,23,409.54,24,35,54,6
7.523,77.178,88.51,45.239,80,48.853,42,494.75,29,38,78,11
6.721,74.574,83.413,49.391,79,54.159,34,602.92,31,45,75,8
7.658,74.796,83.689,48.506,79,52.103,34,586.84,32,45,75,9
9.155,82.621,93.135,53.481,88,56.37,37,611.81,37,51,83,12
9.027,83.36,93.102,53.297,87,56.131,37,639.84,35,50,83,13
6.638,77.949,88.514,46.142,80,49.0,40,524.73,29,40,78,11
7.432,73.807,82.259,45.796,75,48.432,34,576.17,28,41,73,14
9.602,90.567,102.553,55.689,95,59.722,45,643.93,36,50,91,13
9.509,93.45,105.968,57.216,98,61.484,47,657.96,37,51,94,15
9.616,88.269,98.196,56.59,91,58.767,37,701.86,37,54,87,11
8.4,77.432,85.82,49.341,80,51.0,32,621.75,31,48,76,10
9.175,80.316,89.236,50.868,83,52.762,34,635.78,32,49,79,12
9.491,91.85,102.896,56.975,95,59.807,42,691.9,36,53,91,14
9.328,88.01,99.347,53.877,91,57.415,43,633.89,34,48,88,16
7.553,83.018,93.806,51.13,86,54.444,40,604.85,32,46,83,13
8.744,84.527,93.86,53.11,87,54.978,36,665.81,33,51,83,11
9.175,83.2,92.651,52.395,86,54.523,36,649.81,33,50,82,12
6.398,82.396,93.424,52.788,88,55.921,38,598.82,36,50,83,12
8.409,87.799,98.723,55.636,92,59.199,41,651.9,37,51,88,13
7.229,79.149,88.477,51.055,83,53.915,35,609.81,34,48,79,11
9.536,85.385,94.781,55.063,88,57.006,35,687.83,36,53,84,10
9.447,87.967,98.481,54.449,90,57.046,40,665.86,34,50,87,12
8.572,76.734,84.536,50.483,79,51.722,29,645.74,33,50,75,9
4.101,54.327,61.102,35.574,58,36.83,22,426.53,23,36,54,6
6.523,80.839,91.218,51.976,86,54.614,36,600.79,35,50,81,11
7.0,81.839,92.218,52.976,88,55.614,36,612.8,36,52,82,10
9.824,88.592,98.14,57.418,91,59.625,36,736.3,37,55,87,13
6.143,84.236,94.244,52.764,87,55.006,37,654.82,34,50,83,12
7.237,77.181,86.514,50.143,82,52.302,33,587.74,34,49,77,11
6.921,83.949,94.344,54.196,90,56.824,37,627.81,37,53,84,12
6.268,72.894,80.088,48.317,75,49.847,27,640.76,31,48,71,10
6.495,72.97,81.889,47.901,78,50.086,31,557.71,33,47,73,10
6.444,80.389,89.873,52.497,85,54.921,34,636.21,35,51,80,12
6.244,80.389,89.873,52.497,85,54.921,34,636.21,35,51,80,12
6.824,85.832,96.76,54.723,91,57.586,39,629.83,37,52,86,15
6.602,74.298,83.099,48.616,79,50.54,31,573.71,33,48,74,11
7.086,78.469,87.413,49.711,81,51.483,33,626.76,32,48,77,10
6.301,76.803,85.081,49.678,79,50.966,30,637.74,32,49,75,10
7.854,84.676,93.772,55.065,87,57.103,34,711.26,36,53,83,12
7.444,76.025,83.527,50.484,78,51.818,28,669.17,33,50,74,10
6.721,78.796,87.623,49.425,80,50.938,33,630.75,31,47,77,13
9.31,97.618,109.727,60.029,100,63.33,46,719.96,38,54,97,18
6.921,75.585,83.998,48.184,78,49.722,31,612.73,31,47,74,10
5.444,75.989,84.127,48.086,77,49.824,31,636.78,29,46,74,11
7.143,79.912,88.207,51.899,82,53.176,31,664.76,34,51,78,11
6.237,80.123,88.017,52.334,81,52.534,28,702.73,34,53,77,10
9.0,100.836,112.81,63.524,104,66.574,45,768.99,41,59,100,18
6.495,88.352,97.828,58.237,92,60.245,35,724.86,40,57,87,12
6.658,78.469,87.413,49.711,81,51.483,33,626.76,32,48,77,10
6.284,75.243,82.61,49.979,77,51.063,27,670.16,32,50,73,10
9.796,100.836,112.81,63.524,104,66.574,45,768.99,41,59,100,18
6.0,64.72,71.677,42.281,67,44.483,27,539.1,27,40,64,9
7.022,69.163,77.564,43.507,72,46.148,32,520.71,28,40,69,10
5.337,70.163,78.564,44.507,73,47.148,32,532.72,29,41,70,10
5.284,76.247,83.875,49.866,78,50.659,28,651.72,32,50,74,11
6.108,76.349,83.471,51.312,78,52.676,27,703.61,33,51,74,10
6.745,76.912,85.207,48.899,79,50.176,31,628.73,31,48,75,10
8.456,87.891,97.405,57.479,91,60.608,37,734.76,37,54,87,13
6.387,69.818,77.168,45.13,72,46.199,27,584.67,29,45,68,9
6.041,77.563,84.546,51.634,78,51.631,25,723.14,33,53,74,10
5.638,75.93,85.394,47.561,79,50.671,36,560.78,31,43,76,11
10.0,85.407,95.01,53.749,87,56.142,37,686.27,33,50,84,14
7.367,73.123,79.929,49.342,75,51.199,26,719.65,31,49,71,10
7.066,73.727,81.262,47.424,75,47.836,27,634.68,30,48,71,10
9.892,88.403,97.745,57.862,91,60.546,36,752.75,37,55,87,13
9.097,81.065,90.929,52.669,86,55.063,35,613.78,36,51,81,12
9.695,91.174,101.84,56.803,93,59.665,41,714.33,35,52,90,14
9.398,82.621,93.135,53.481,88,56.37,37,611.81,37,51,83,12
6.678,74.181,83.514,47.143,78,49.302,33,551.71,31,45,74,10
6.77,73.374,80.219,48.87,75,50.006,26,703.58,31,49,71,10
7.119,75.585,83.998,48.184,78,49.722,31,612.73,31,47,74,10
6.155,75.92,83.666,50.152,79,51.205,28,647.73,33,51,74,10
6.721,81.469,90.413,52.711,84,54.483,33,662.79,35,51,80,10
6.886,81.912,90.207,53.899,85,55.176,31,688.78,36,54,80,10
5.854,80.123,88.017,52.334,81,52.534,28,702.73,34,53,77,10
6.022,72.189,80.972,47.396,77,49.33,30,558.7,32,47,72,10
6.921,76.232,83.886,49.839,78,51.438,29,681.61,31,49,74,10
9.0,100.323,112.47,63.14,104,66.637,46,751.0,41,58,100,18
6.523,81.621,92.135,52.481,87,55.37,37,599.8,36,50,82,11
7.337,76.029,83.792,49.372,78,50.415,29,638.72,32,49,74,10
6.481,79.854,89.305,53.428,86,55.847,33,619.78,38,53,80,11
6.824,76.029,83.792,49.372,78,50.415,29,638.72,32,49,74,10
6.569,84.236,94.244,52.764,87,55.006,37,654.82,34,50,83,10
6.509,78.912,87.207,50.899,81,52.176,31,652.75,33,50,77,10
7.602,73.792,80.265,49.5,75,50.369,25,693.57,31,50,71,10
6.824,84.839,95.218,55.976,91,58.614,36,648.83,39,55,85,11
7.921,76.538,83.866,50.868,78,51.756,27,687.16,33,51,74,10
7.26,78.912,87.207,50.899,81,52.176,31,652.75,33,50,77,10
6.398,70.356,77.187,45.28,70,45.012,24,626.63,28,46,67,9
6.301,76.214,83.922,50.04,78,50.898,28,652.72,33,50,74,10
6.658,84.723,95.633,54.503,91,57.376,38,626.83,37,53,85,10
7.585,76.349,83.471,51.312,78,52.676,27,703.61,33,51,74,10
5.26,68.029,74.977,43.565,68,43.557,24,598.62,27,44,65,9
6.959,78.585,86.998,51.184,81,52.722,31,648.76,34,50,77,10
6.523,76.687,85.496,48.205,78,49.728,32,615.74,30,46,75,10
6.301,79.912,88.207,51.899,82,53.176,31,664.76,34,51,78,11
7.0,83.352,92.828,53.237,87,55.245,35,664.81,35,52,82,10
7.276,76.214,83.922,50.04,78,50.898,28,652.72,33,50,74,10
9.721,86.41,95.461,55.83,88,56.881,33,723.81,36,55,84,12
9.395,86.621,96.085,54.072,87,55.097,35,705.8,33,52,84,13
9.498,90.832,100.71,56.313,91,57.313,37,735.83,34,54,88,14
9.338,83.64,92.18,54.696,86,56.62,33,706.25,35,53,82,11
5.721,84.403,95.221,52.933,89,56.302,41,591.81,37,48,85,13
6.347,73.632,83.126,45.992,77,49.182,36,534.15,31,41,74,11
9.159,83.738,92.67,52.545,84,53.336,33,691.77,32,51,81,13
9.272,86.41,95.461,55.83,88,56.881,33,723.81,36,55,84,12
8.886,82.429,91.492,52.42,84,54.875,35,716.69,32,49,81,12
8.796,84.894,94.67,53.366,87,56.205,38,668.28,33,49,84,13
4.523,58.781,65.979,38.31,63,40.307,26,438.57,27,37,59,6
4.745,60.767,68.723,39.912,66,41.898,26,462.61,27,40,61,6
5.0,59.185,66.109,38.212,62,40.409,26,462.62,25,36,59,6
4.523,56.669,63.588,38.202,61,40.5,24,454.01,27,37,57,5
4.959,69.316,78.64,43.417,73,46.353,34,482.68,30,39,70,9
5.319,68.316,77.64,42.417,72,45.353,34,470.67,29,38,69,9
4.854,61.112,69.474,39.429,66,42.165,29,435.62,28,37,62,5
4.678,61.665,69.394,39.837,66,42.069,28,452.6,28,38,62,7
5.0,63.574,71.489,40.13,66,41.705,28,478.59,27,38,63,8
5.066,65.432,74.225,40.89,69,43.591,32,456.64,28,37,66,8
4.301,55.789,62.438,37.563,60,39.336,23,433.55,27,37,56,4
4.678,56.781,63.979,36.31,60,38.307,26,414.55,25,34,57,7
5.187,60.756,67.077,40.68,64,42.477,24,523.45,27,40,60,5
4.523,63.767,71.893,40.858,68,43.074,29,467.62,28,39,64,7
6.377,79.705,89.683,50.867,84,54.222,37,595.83,34,47,80,11
5.745,64.952,72.939,41.265,68,43.932,30,490.68,27,38,65,7
5.62,63.069,70.524,40.739,67,43.171,28,488.66,27,39,63,7
6.252,65.432,74.225,40.89,69,43.591,32,456.64,28,37,66,9
5.367,66.432,75.225,41.89,70,44.591,32,468.65,29,38,67,9
6.18,68.316,77.64,42.417,72,45.353,34,470.67,29,38,69,10
7.398,63.338,71.355,40.068,67,42.79,31,441.61,29,36,64,8
5.538,77.821,87.268,50.34,82,53.461,35,593.81,34,47,78,11
6.699,76.821,86.268,49.34,81,52.461,35,581.8,33,46,77,10
5.569,58.873,64.661,40.153,62,41.716,22,521.43,27,40,58,5
8.357,85.007,93.99,55.952,88,58.847,35,720.73,36,53,84,12
4.523,61.65,70.138,39.439,66,41.66,28,452.62,26,38,62,7
6.697,81.349,89.286,54.118,84,56.534,32,707.68,35,52,80,13
5.056,64.574,72.489,41.13,67,42.705,28,490.6,28,39,64,9
9.8,85.312,94.908,53.947,87,56.637,37,730.72,33,50,84,13
8.79,87.891,97.405,57.479,91,60.608,37,734.76,37,54,87,14
9.461,93.505,103.5,59.598,95,60.858,37,767.87,38,58,91,13
9.668,86.429,95.492,56.42,89,58.875,35,764.73,36,54,85,12
9.704,93.716,104.125,57.84,94,59.074,39,749.86,35,55,91,15
9.727,95.272,106.331,58.652,96,60.381,41,747.89,36,55,93,15
4.854,60.665,68.394,38.837,65,41.069,28,440.59,27,37,61,6
9.745,82.429,91.492,52.42,84,54.875,35,716.69,32,49,81,13
7.0,68.665,76.564,44.783,73,47.245,31,505.65,33,42,69,7
9.553,85.407,95.01,53.749,87,56.142,37,686.27,33,50,84,13
9.301,89.505,99.5,55.598,90,56.858,37,719.83,34,53,87,13
9.529,88.403,97.745,57.862,91,60.546,36,752.75,37,55,87,14
9.624,88.29,98.425,55.276,90,57.904,39,700.3,34,51,87,14
9.554,89.505,99.5,55.598,90,56.858,37,719.83,34,53,87,13
9.667,86.734,95.405,56.658,88,57.739,32,758.25,36,56,84,12
7.046,65.781,73.149,43.256,70,45.483,29,491.62,32,41,66,7
9.438,85.407,95.01,53.749,87,56.142,37,686.27,33,50,84,13
9.533,82.636,90.914,54.808,85,57.023,32,724.69,35,53,81,12
7.155,65.781,73.149,43.256,70,45.483,29,491.62,32,41,66,6
9.611,89.618,99.635,55.991,91,58.358,39,716.3,34,52,88,15
9.302,85.312,94.908,53.947,87,56.637,37,730.72,33,50,84,13
5.155,64.454,71.939,42.541,69,45.029,29,475.62,32,40,65,7
9.457,87.058,95.349,57.485,88,58.597,31,792.69,36,57,84,12
6.398,58.116,64.817,37.224,61,38.966,26,430.54,26,35,58,5
5.796,84.403,95.221,52.933,89,56.302,41,591.81,37,48,85,13
7.222,60.014,66.318,40.202,64,41.96,25,463.56,30,39,60,6
9.13,86.851,95.804,55.937,89,57.835,35,724.27,35,54,85,13
