pXC50,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.
5.0,8.237,40.9,42.4,1.019,1.14,0.671,0.647,543.67,7.6
5.339,6.979,39.4,48.5,0.996,1.133,0.649,0.612,460.64,9.1
5.0,8.286,41.4,41.4,1.016,1.123,0.682,0.657,480.59,6.9
5.235,7.388,44.4,44.4,0.996,1.123,0.679,0.645,332.44,8.9
5.199,10.113,38.5,30.8,1.057,1.151,0.691,0.701,394.4,15.4
5.928,12.008,38.2,29.4,1.042,1.132,0.749,0.731,408.27,20.6
5.0,11.342,54.1,27.0,1.036,1.105,0.799,0.778,419.67,5.4
4.523,8.038,36.2,47.8,1.007,1.133,0.669,0.623,554.6,7.2
7.456,7.963,34.9,41.9,1.021,1.151,0.646,0.633,342.41,18.6
7.215,7.385,38.4,47.9,1.002,1.134,0.653,0.616,539.14,8.2
5.0,8.438,45.2,38.1,1.023,1.138,0.683,0.673,354.39,9.5
5.0,8.866,45.2,35.7,1.035,1.146,0.681,0.682,372.38,9.5
5.0,9.188,46.2,33.3,1.04,1.146,0.689,0.695,358.35,10.3
5.0,8.509,44.7,36.8,1.02,1.135,0.69,0.68,323.36,13.2
5.0,8.484,45.0,37.5,1.021,1.142,0.687,0.676,339.38,12.5
5.0,7.577,38.8,44.8,1.012,1.141,0.649,0.627,507.63,10.4
6.276,8.45,44.0,36.0,1.011,1.133,0.702,0.686,211.25,20.0
5.0,9.149,46.2,35.9,1.022,1.128,0.714,0.697,356.81,10.3
5.0,9.2,44.7,34.0,1.046,1.151,0.676,0.686,432.41,8.5
5.851,8.282,45.5,38.6,1.017,1.129,0.686,0.672,364.41,9.1
6.131,8.817,44.7,36.2,1.036,1.144,0.677,0.678,414.42,8.5
5.71,8.569,44.0,38.0,1.031,1.143,0.672,0.668,428.45,8.0
6.879,7.926,40.3,41.7,1.016,1.133,0.662,0.646,570.67,11.1
5.0,8.249,35.7,42.9,1.015,1.139,0.67,0.641,346.46,14.3
5.0,7.266,37.2,46.5,1.003,1.142,0.647,0.617,312.42,14.0
5.0,8.162,45.7,39.1,1.012,1.129,0.69,0.672,375.44,10.9
5.0,8.659,45.0,35.0,1.02,1.127,0.7,0.692,346.38,15.0
7.381,8.139,48.1,38.9,1.011,1.112,0.698,0.679,439.5,5.6
6.161,7.818,47.9,41.1,1.003,1.113,0.695,0.668,570.69,5.5
5.0,8.436,42.6,40.7,1.019,1.125,0.686,0.662,455.55,5.6
5.0,8.804,40.7,44.4,1.01,1.133,0.678,0.643,475.4,7.4
5.241,7.093,38.9,47.2,0.995,1.138,0.655,0.619,255.36,13.9
5.0,8.681,45.9,36.1,1.025,1.139,0.691,0.685,529.57,11.5
5.0,9.732,51.0,30.6,1.033,1.121,0.735,0.731,476.89,8.2
5.0,7.479,40.8,44.9,1.007,1.13,0.658,0.632,366.46,8.2
5.0,8.497,51.3,35.9,1.011,1.116,0.717,0.701,331.37,7.7
5.0,8.162,40.0,44.6,1.01,1.129,0.677,0.642,530.5,7.7
5.0,7.767,34.7,49.0,1.001,1.131,0.67,0.615,380.59,8.2
5.398,7.583,47.1,42.6,0.997,1.116,0.692,0.66,515.66,7.4
5.104,8.237,40.7,42.4,1.018,1.135,0.671,0.648,485.99,8.5
5.678,7.576,43.4,43.4,1.002,1.125,0.675,0.647,401.51,9.4
6.208,9.439,45.5,36.4,1.02,1.118,0.727,0.701,415.3,9.1
6.108,9.2,44.7,34.0,1.046,1.151,0.676,0.686,432.41,8.5
4.988,20.73,39.1,30.4,1.033,1.11,0.89,0.794,476.79,13.0
5.0,8.053,41.3,41.3,1.021,1.137,0.661,0.648,370.42,8.7
5.0,7.316,44.9,44.9,0.994,1.121,0.68,0.644,358.48,8.2
5.0,7.805,46.2,41.0,1.001,1.12,0.693,0.666,304.38,10.3
5.509,8.498,44.2,37.2,1.023,1.134,0.685,0.676,365.4,11.6
5.0,8.657,35.3,41.2,1.037,1.15,0.651,0.64,441.51,9.8
5.0,9.853,46.7,35.6,1.014,1.109,0.759,0.718,443.38,8.9
5.0,7.407,43.6,44.9,1.001,1.123,0.67,0.639,577.74,6.4
7.046,9.55,44.7,34.0,1.042,1.142,0.696,0.696,448.86,8.5
5.638,8.372,43.8,41.7,1.019,1.118,0.682,0.66,401.87,2.1
5.443,8.543,48.9,35.6,1.015,1.114,0.71,0.698,384.42,8.9
5.959,7.93,48.0,40.0,1.003,1.115,0.7,0.675,396.48,8.0
7.149,8.031,37.0,41.3,1.022,1.144,0.652,0.64,369.43,15.2
5.0,9.102,38.1,40.5,1.024,1.136,0.69,0.664,382.28,11.9
5.0,8.333,41.6,44.2,1.008,1.121,0.693,0.652,641.67,5.2
6.301,7.739,35.4,43.8,1.018,1.146,0.64,0.625,371.45,14.6
5.0,7.833,39.7,42.6,1.015,1.14,0.658,0.64,532.64,11.8
6.092,7.928,45.9,40.5,1.007,1.119,0.689,0.666,293.35,8.1
6.108,8.483,44.7,36.8,1.021,1.124,0.689,0.681,322.35,10.5
4.301,8.243,48.9,38.3,1.012,1.119,0.701,0.683,387.44,6.4
5.42,8.255,38.6,40.4,1.03,1.142,0.651,0.646,470.51,10.5
5.0,8.103,38.9,42.6,1.009,1.132,0.679,0.648,437.58,13.0
4.301,8.222,46.2,40.4,1.0,1.114,0.716,0.677,427.57,9.6
6.678,7.264,43.6,45.5,0.994,1.125,0.674,0.638,399.54,9.1
4.301,8.534,47.7,38.6,1.005,1.108,0.725,0.69,375.48,6.8
5.0,7.574,43.5,43.5,1.003,1.124,0.674,0.646,469.59,8.1
5.0,7.509,41.7,45.0,1.008,1.132,0.658,0.632,450.56,6.7
7.357,7.744,38.8,42.9,1.011,1.139,0.659,0.638,379.47,14.3
7.886,7.839,36.2,42.6,1.016,1.147,0.649,0.633,368.45,17.0
6.102,7.398,35.2,46.3,1.012,1.145,0.634,0.612,399.51,13.0
5.9,7.558,35.3,45.1,1.015,1.146,0.637,0.618,385.48,13.7
8.222,7.739,35.4,43.8,1.018,1.146,0.64,0.625,371.45,14.6
5.6,7.319,38.0,46.5,1.007,1.137,0.644,0.618,519.67,9.9
5.701,7.482,36.4,45.5,1.012,1.143,0.641,0.619,411.52,12.7
5.0,7.337,36.2,46.6,1.009,1.143,0.638,0.613,425.55,12.1
6.6,7.655,37.5,43.8,1.012,1.142,0.652,0.631,367.46,14.6
4.457,8.822,43.2,37.8,1.015,1.119,0.713,0.685,326.41,10.8
6.492,7.491,36.6,48.8,1.001,1.135,0.657,0.613,614.29,8.5
6.538,8.676,43.6,35.9,1.029,1.126,0.683,0.682,338.35,10.3
5.134,6.776,36.4,50.6,0.998,1.14,0.631,0.594,521.74,9.1
4.301,8.168,47.7,38.6,1.011,1.114,0.698,0.679,359.41,6.8
5.276,8.183,48.1,38.5,1.008,1.122,0.702,0.681,425.5,9.6
6.292,8.749,46.4,37.5,1.017,1.124,0.707,0.687,489.97,8.9
6.4,10.066,47.1,31.4,1.035,1.131,0.734,0.725,513.36,11.8
5.801,7.337,36.2,46.6,1.009,1.143,0.638,0.613,425.55,12.1
5.0,8.286,37.1,43.5,1.011,1.131,0.682,0.644,513.71,11.3
6.301,7.412,33.9,46.8,1.017,1.147,0.624,0.605,459.57,11.3
5.0,7.85,42.0,42.0,1.01,1.137,0.67,0.649,392.48,12.0
9.0,7.943,35.6,42.2,1.022,1.147,0.644,0.632,357.42,15.6
5.807,7.431,39.1,45.3,1.006,1.136,0.653,0.626,475.61,10.9
5.0,7.777,44.2,41.9,1.006,1.124,0.681,0.656,334.41,9.3
6.854,7.117,39.3,48.2,1.003,1.138,0.643,0.611,398.53,7.1
5.0,7.567,42.3,44.2,1.009,1.125,0.662,0.638,393.48,5.8
5.0,8.805,43.9,39.4,1.019,1.121,0.703,0.677,581.11,6.1
5.0,9.782,45.3,30.2,1.058,1.161,0.683,0.705,518.46,11.3
4.301,7.625,36.9,44.6,1.016,1.14,0.641,0.623,495.6,10.8
5.0,7.617,37.7,45.9,1.001,1.136,0.668,0.629,464.66,13.1
5.0,7.324,43.1,45.1,0.996,1.126,0.673,0.638,373.5,9.8
5.0,8.295,45.2,38.1,1.016,1.122,0.689,0.676,348.39,9.5
5.0,7.789,38.2,44.1,1.02,1.152,0.642,0.626,529.63,10.3
5.0,7.788,40.3,44.4,1.007,1.127,0.672,0.639,560.74,8.3
5.0,8.661,40.4,42.3,1.016,1.136,0.688,0.656,450.38,9.6
4.959,6.907,41.4,48.3,0.988,1.13,0.662,0.619,400.58,10.3
5.0,8.357,42.9,41.1,1.015,1.131,0.685,0.661,467.97,8.9
5.0,8.947,46.3,36.6,1.017,1.118,0.716,0.695,366.83,9.8
5.0,7.438,44.4,44.4,1.0,1.121,0.675,0.644,468.6,6.3
5.0,8.126,40.0,43.6,1.017,1.136,0.665,0.641,446.95,7.3
5.0,7.26,42.6,45.6,0.995,1.128,0.671,0.635,493.67,10.3
