pXC50,Mi,C.,nHet,nAT,nN,nCsp3,Mp,nBM,Mv,nC,nBO,Sp,Sv,Se,Si,nSK,nCsp2,nBT,nAB,MW,RBN,nH
6.879,1.128,42.6,7,54,6,6,0.673,19,0.64,23,33,36.341,34.584,53.891,60.936,30,16,57,18,400.53,7,24
8.0,1.127,43.4,8,53,6,5,0.68,20,0.656,23,34,36.034,34.772,53.334,59.73,31,17,56,18,414.51,6,22
7.745,1.127,43.4,8,53,6,5,0.68,20,0.656,23,34,36.034,34.772,53.334,59.73,31,17,56,18,414.51,6,22
6.936,1.133,43.4,9,53,6,5,0.679,20,0.663,23,35,35.972,35.156,53.847,60.07,32,17,56,18,432.5,6,21
6.947,1.127,43.4,8,53,6,5,0.68,20,0.656,23,34,36.034,34.772,53.334,59.73,31,17,56,18,414.51,6,22
8.523,1.127,42.0,7,50,4,5,0.665,18,0.639,21,31,33.239,31.971,50.342,56.358,28,16,53,18,378.47,5,22
8.222,1.127,40.0,8,55,5,6,0.676,20,0.636,22,33,37.199,34.992,55.076,61.982,30,16,58,18,423.59,7,25
7.959,1.128,39.7,8,58,5,7,0.672,20,0.63,23,34,38.961,36.518,57.96,65.398,31,16,61,18,437.62,7,27
8.097,1.128,39.3,9,56,5,6,0.672,20,0.638,22,34,37.654,35.706,56.403,63.192,31,16,59,18,439.59,7,25
7.187,1.128,42.9,8,56,6,6,0.675,20,0.648,24,35,37.796,36.299,56.218,63.145,32,17,59,18,428.54,6,24
7.523,1.129,42.1,9,57,6,6,0.671,20,0.649,24,36,38.25,37.014,57.545,64.355,33,17,60,18,444.54,7,24
6.526,1.128,42.9,8,56,6,6,0.675,20,0.648,24,35,37.796,36.299,56.218,63.145,32,17,59,18,428.54,6,24
6.26,1.128,42.4,8,59,6,7,0.67,20,0.641,25,36,39.557,37.826,59.101,66.561,33,17,62,18,442.57,6,26
7.921,1.129,39.0,9,59,5,7,0.668,20,0.631,23,35,39.415,37.233,59.287,66.607,32,16,62,18,453.62,7,27
8.046,1.128,39.3,9,56,5,6,0.672,20,0.638,22,34,37.654,35.706,56.403,63.192,31,16,59,18,439.59,7,25
6.78,1.131,40.6,8,64,6,8,0.657,20,0.623,26,36,42.08,39.88,63.869,72.391,34,17,66,18,458.62,12,30
6.788,1.128,42.9,8,56,6,6,0.675,20,0.648,24,35,37.796,36.299,56.218,63.145,32,17,59,18,428.54,7,24
7.796,1.129,39.0,9,59,5,7,0.668,20,0.631,23,35,39.415,37.233,59.287,66.607,32,16,62,18,453.62,7,27
7.854,1.132,38.3,9,60,6,7,0.666,20,0.626,23,35,39.966,37.54,60.061,67.896,32,16,63,18,452.64,7,28
8.699,1.126,37.9,11,58,5,6,0.685,22,0.648,22,36,39.756,37.608,58.807,65.321,33,16,61,18,487.66,7,25
7.328,1.131,41.3,8,63,7,8,0.665,20,0.63,26,37,41.87,39.659,62.76,71.265,34,17,66,18,455.62,8,29
7.387,1.13,42.1,8,57,7,6,0.673,20,0.642,24,35,38.347,36.606,56.992,64.434,32,17,60,18,427.56,6,25
7.745,1.132,38.3,9,60,6,7,0.666,20,0.626,23,35,39.966,37.54,60.061,67.896,32,16,63,18,452.64,7,28
6.273,1.122,45.7,6,46,5,4,0.692,19,0.663,21,30,31.813,30.509,46.022,51.607,27,16,49,18,357.45,4,19
8.398,1.128,39.6,9,53,5,5,0.677,20,0.645,21,33,35.892,34.18,53.52,59.777,30,16,56,18,425.56,6,23
8.222,1.128,39.3,9,56,5,6,0.672,20,0.638,22,34,37.654,35.706,56.403,63.192,31,16,59,18,439.59,6,25
6.73,1.129,42.1,9,57,6,6,0.671,20,0.649,24,36,38.25,37.014,57.545,64.355,33,17,60,18,444.54,7,24
6.427,1.146,42.9,11,56,6,6,0.672,20,0.669,24,38,37.608,37.449,57.756,64.165,35,17,59,18,482.51,6,21
7.553,1.137,48.8,10,41,7,1,0.723,24,0.737,20,34,29.654,30.212,42.716,46.623,30,18,45,22,403.38,3,11
5.81,1.118,48.8,10,41,7,1,0.768,24,0.759,20,34,31.494,31.1,42.338,45.831,30,18,45,22,436.28,3,11
6.77,1.122,46.7,8,45,6,3,0.706,23,0.693,21,34,31.75,31.192,45.683,50.485,29,18,50,22,384.43,2,16
7.013,1.129,46.7,9,45,6,3,0.704,23,0.702,21,35,31.688,31.575,46.196,50.824,30,18,50,22,402.42,2,15
7.585,1.137,46.7,10,45,6,3,0.703,23,0.71,21,36,31.625,31.959,46.709,51.164,31,18,50,22,420.41,2,14
8.301,1.128,47.8,10,46,7,3,0.716,24,0.719,22,37,32.932,33.07,47.414,51.907,32,18,51,22,427.43,2,14
6.492,1.128,42.6,6,47,5,4,0.672,18,0.639,20,29,31.574,30.036,46.905,53.023,26,16,50,18,347.46,4,21
6.695,1.123,44.1,8,59,5,5,0.678,24,0.653,26,38,40.006,38.519,59.327,66.272,34,21,63,23,455.56,7,25
7.022,1.129,46.7,9,45,6,3,0.704,23,0.702,21,35,31.688,31.575,46.196,50.824,30,18,50,22,402.42,2,15
6.545,1.129,46.7,9,45,6,3,0.704,23,0.702,21,35,31.688,31.575,46.196,50.824,30,18,50,22,402.42,2,15
8.301,1.134,43.1,9,65,4,8,0.664,23,0.644,28,41,43.159,41.845,65.901,73.698,37,20,69,22,506.6,6,28
6.406,1.132,41.5,9,41,6,5,0.698,17,0.683,17,30,28.608,28.02,42.007,46.429,26,12,45,16,370.83,2,15
6.328,1.133,42.9,9,42,7,5,0.69,18,0.683,18,31,28.995,28.687,42.902,47.568,27,12,46,16,361.4,2,15
6.569,1.137,48.8,10,41,7,1,0.723,24,0.737,20,34,29.654,30.212,42.716,46.623,30,18,45,22,403.38,3,11
6.495,1.147,47.5,10,40,6,1,0.709,23,0.728,19,33,28.347,29.1,42.011,45.879,29,18,44,22,396.36,3,11
6.331,1.123,44.4,5,45,4,4,0.679,18,0.645,20,28,30.569,29.015,44.803,50.524,25,16,48,18,332.44,4,20
6.487,1.127,42.9,7,49,5,4,0.674,19,0.648,21,31,33.029,31.751,49.232,55.232,28,17,52,18,375.47,5,21
7.796,1.13,41.2,7,51,5,5,0.663,18,0.633,21,31,33.79,32.278,51.116,57.647,28,16,54,18,377.49,5,23
5.796,1.128,42.5,7,40,4,2,0.674,18,0.66,17,26,26.955,26.391,40.691,45.113,24,15,42,17,324.37,5,16
7.081,1.127,40.0,9,50,5,4,0.683,20,0.653,20,32,34.131,32.653,50.636,56.361,29,16,53,18,411.53,5,21
7.092,1.127,43.1,7,58,6,6,0.674,23,0.64,25,36,39.103,37.111,57.774,65.351,32,19,62,23,426.57,6,26
7.481,1.123,44.9,6,49,5,4,0.685,22,0.654,22,32,33.574,32.036,48.905,55.023,28,18,53,22,371.48,4,21
7.081,1.129,46.7,9,45,6,3,0.704,23,0.702,21,35,31.688,31.575,46.196,50.824,30,18,50,22,402.42,2,15
7.824,1.116,45.8,6,48,2,3,0.681,22,0.659,22,31,32.682,31.643,48.465,53.571,28,19,51,22,376.44,6,20
6.357,1.115,45.8,7,48,2,3,0.699,22,0.676,22,32,33.54,32.471,48.789,53.515,29,19,51,22,410.88,6,19
6.076,1.119,44.2,7,52,2,4,0.671,22,0.652,23,33,34.898,33.885,52.676,58.196,30,19,55,22,406.47,7,22
6.0,1.136,41.5,7,41,7,5,0.679,20,0.653,17,28,27.847,26.784,41.131,46.564,24,12,45,20,319.41,2,17
6.076,1.121,46.7,9,45,6,3,0.725,23,0.712,21,35,32.608,32.02,46.007,50.429,30,18,50,22,418.87,2,15
6.478,1.129,46.7,9,45,6,3,0.704,23,0.702,21,35,31.688,31.575,46.196,50.824,30,18,50,22,402.42,2,15
5.155,1.129,46.7,9,45,6,3,0.704,23,0.702,21,35,31.688,31.575,46.196,50.824,30,18,50,22,402.42,2,15
7.252,1.128,46.7,10,45,6,3,0.723,23,0.72,21,36,32.546,32.403,46.52,50.768,31,18,50,22,436.86,2,14
6.959,1.12,44.7,7,47,3,3,0.679,22,0.663,21,31,31.926,31.138,47.683,52.654,28,18,50,22,377.43,6,19
8.523,1.128,42.9,10,63,3,7,0.664,23,0.652,27,41,41.818,41.058,64.385,71.073,37,20,67,22,507.56,7,26
7.854,1.124,42.2,8,64,3,8,0.659,22,0.633,27,39,42.188,40.487,64.429,71.94,35,19,68,22,475.59,8,29
7.409,1.121,44.3,8,61,4,6,0.676,24,0.651,27,39,41.216,39.74,61.436,68.398,35,21,65,22,470.57,5,26
8.097,1.122,43.8,8,64,4,7,0.672,24,0.645,28,40,42.978,41.266,64.32,71.813,36,21,68,22,484.6,5,28
6.0,1.147,47.5,10,40,6,1,0.709,23,0.728,19,33,28.347,29.1,42.011,45.879,29,18,44,22,396.36,3,11
8.097,1.115,47.2,7,53,3,3,0.692,27,0.673,25,36,36.688,35.665,53.567,59.069,32,22,57,27,427.49,6,21
6.824,1.122,41.1,10,56,3,4,0.679,24,0.657,23,36,38.006,36.808,57.182,62.823,33,19,59,22,469.56,8,23
8.301,1.122,41.1,10,56,3,4,0.679,24,0.657,23,36,38.006,36.808,57.182,62.823,33,19,59,22,469.56,8,23
8.097,1.123,42.9,9,63,3,7,0.665,23,0.646,27,40,41.881,40.675,63.872,70.734,36,20,67,22,489.57,7,27
8.301,1.134,43.5,9,62,4,7,0.668,23,0.65,27,40,41.398,40.318,63.018,70.283,36,20,66,22,492.57,6,26
8.097,1.126,42.3,8,71,5,10,0.663,23,0.629,30,43,47.052,44.627,70.861,79.933,38,20,76,22,511.68,5,33
6.0,1.13,37.2,6,43,3,7,0.661,13,0.614,16,24,28.426,26.422,42.989,48.571,22,9,45,11,319.47,2,21
7.1,1.152,38.2,14,55,7,5,0.672,21,0.67,21,38,36.955,36.846,57.378,63.377,35,16,58,18,507.55,7,20
5.0,1.133,40.0,9,70,7,9,0.655,23,0.62,28,41,45.847,43.428,69.854,79.305,37,19,74,22,499.68,7,33
5.456,1.131,42.9,7,35,5,1,0.685,18,0.676,15,24,23.983,23.644,35.698,39.571,22,14,37,17,295.33,4,13
5.488,1.134,41.5,8,41,6,5,0.677,17,0.663,17,29,27.75,27.192,41.683,46.485,25,12,45,16,336.39,2,16
5.745,1.157,40.9,11,44,6,6,0.666,17,0.679,18,33,29.324,29.869,46.105,50.919,29,12,48,16,404.39,2,15
8.523,1.145,36.4,10,55,8,8,0.663,17,0.627,20,33,36.483,34.483,55.356,62.983,30,12,58,17,428.6,6,25
8.301,1.143,37.3,10,51,7,7,0.67,17,0.64,19,32,34.171,32.649,51.698,58.279,29,12,54,17,415.55,6,22
8.523,1.142,38.8,11,49,8,6,0.687,18,0.666,19,33,33.654,32.617,50.032,55.947,30,12,52,17,426.53,6,19
7.31,1.146,37.8,9,37,7,3,0.694,17,0.671,14,25,25.671,24.827,37.836,42.409,23,11,39,17,331.42,5,14
8.523,1.147,36.6,10,41,7,4,0.68,17,0.66,15,27,27.887,27.069,42.047,47.033,25,11,43,17,361.45,6,16
8.523,1.147,36.0,11,50,8,7,0.668,17,0.643,18,32,33.415,32.144,50.916,57.362,29,11,53,17,416.54,6,21
6.252,1.157,40.9,11,44,6,6,0.666,17,0.679,18,33,29.324,29.869,46.105,50.919,29,12,48,16,404.39,2,15
5.469,1.142,41.5,9,41,6,5,0.675,17,0.673,17,30,27.688,27.575,42.196,46.824,26,12,45,16,354.38,2,15
7.699,1.12,43.9,8,66,3,8,0.67,24,0.644,29,41,44.188,42.487,66.429,73.94,37,21,70,23,499.61,6,29
7.699,1.126,43.8,8,64,3,8,0.667,23,0.643,28,40,42.671,41.155,64.614,72.07,36,20,68,23,489.59,7,28
8.367,1.133,43.5,8,69,5,10,0.667,23,0.637,30,43,46.018,43.964,69.232,78.193,38,20,74,23,515.66,5,31
6.164,1.122,43.3,7,67,3,9,0.664,23,0.631,29,40,44.495,42.299,66.985,75.145,36,20,71,23,485.63,7,31
6.3,1.126,43.8,8,64,3,8,0.667,23,0.643,28,40,42.671,41.155,64.614,72.07,36,20,68,23,489.59,7,28
7.886,1.121,43.8,7,73,4,11,0.669,24,0.632,32,44,48.807,46.132,72.643,81.849,39,21,78,23,522.7,5,34
7.854,1.119,42.4,9,66,3,8,0.679,25,0.647,28,41,44.835,42.674,66.505,73.86,37,20,70,23,519.67,7,29
5.8,1.117,45.8,10,72,7,5,0.708,34,0.674,33,49,50.972,48.561,72.163,80.394,43,28,78,33,587.76,8,29
5.8,1.117,45.8,10,72,7,5,0.708,34,0.674,33,49,50.972,48.561,72.163,80.394,43,28,78,33,587.76,8,29
5.377,1.119,42.3,10,71,3,9,0.677,26,0.647,30,44,48.051,45.915,71.716,79.484,40,21,75,23,561.71,7,31
6.996,1.125,43.9,9,66,3,8,0.669,24,0.65,29,42,44.125,42.87,66.941,74.279,38,21,70,23,517.6,7,28
7.143,1.119,44.4,8,63,3,7,0.673,24,0.65,28,40,42.426,40.96,63.545,70.524,36,21,67,23,485.58,6,27
8.149,1.122,42.1,9,76,5,11,0.677,26,0.636,32,46,51.461,48.34,75.821,85.268,41,21,81,23,569.79,5,35
6.921,1.121,43.8,7,64,3,8,0.668,23,0.637,28,39,42.733,40.772,64.101,71.73,35,20,68,23,471.6,7,29
7.903,1.125,44.3,8,70,4,10,0.671,24,0.643,31,44,46.983,44.988,70.272,78.774,39,21,75,23,526.66,5,31
8.167,1.134,41.4,11,70,6,10,0.677,25,0.648,29,45,47.364,45.36,70.854,79.406,40,19,75,23,564.72,5,30
8.137,1.138,42.2,9,64,6,10,0.664,22,0.64,27,41,42.5,40.931,64.567,72.861,36,17,69,22,490.61,5,28
8.509,1.13,44.3,9,70,4,10,0.67,24,0.648,31,45,46.921,45.372,70.785,79.114,40,21,75,23,544.65,5,30
7.886,1.12,43.9,8,66,3,8,0.67,24,0.644,29,41,44.188,42.487,66.429,73.94,37,21,70,23,499.61,7,29
6.71,1.122,43.3,7,67,3,9,0.664,23,0.631,29,40,44.495,42.299,66.985,75.145,36,20,71,23,485.63,7,31
8.292,1.119,42.6,10,68,3,8,0.681,26,0.653,29,43,46.29,44.388,68.832,76.069,39,21,72,23,547.68,7,29
7.377,1.118,42.9,9,56,3,4,0.688,25,0.662,24,36,38.551,37.093,56.854,62.614,33,20,59,23,465.57,7,23
5.8,1.098,48.3,6,29,2,0,0.792,17,0.751,14,22,22.966,21.792,29.698,31.838,20,14,31,16,349.22,3,9
7.4,1.146,41.0,10,61,6,9,0.67,18,0.646,25,39,40.841,39.427,62.076,69.935,35,16,65,18,503.02,4,26
6.2,1.141,41.4,9,58,6,8,0.675,18,0.647,24,37,39.142,37.517,58.68,66.18,33,16,62,18,471.0,4,25
5.07,1.108,48.1,2,27,0,2,0.684,9,0.651,13,16,18.477,17.59,26.956,29.91,15,11,28,6,200.25,2,12
5.0,1.135,40.7,10,59,5,7,0.671,19,0.648,24,37,39.563,38.257,60.047,66.971,34,17,62,17,485.99,8,25
5.8,1.118,46.9,4,32,3,1,0.696,17,0.669,15,21,22.279,21.413,32.051,35.78,19,14,34,17,251.31,3,13
5.8,1.13,42.6,9,47,6,2,0.68,23,0.669,20,32,31.966,31.434,47.894,53.109,29,18,50,22,390.44,6,18
5.35,1.115,51.4,9,37,3,0,0.798,17,0.784,19,31,29.517,29.022,38.8,41.268,28,19,40,12,436.28,3,9
4.699,1.144,36.4,9,55,8,9,0.643,17,0.611,20,32,35.353,33.627,55.094,62.933,29,11,58,16,394.54,5,26
6.652,1.115,25.0,6,24,2,4,0.767,2,0.643,6,11,18.409,15.425,23.927,26.753,12,2,23,0,240.48,3,12
5.0,1.136,41.5,10,41,3,3,0.71,19,0.699,17,29,29.091,28.677,42.898,46.573,27,14,43,16,413.86,6,14
5.8,1.144,41.3,9,46,4,6,0.66,14,0.657,19,31,30.353,30.211,47.483,52.622,28,13,49,12,388.41,4,18
5.0,1.146,33.3,7,57,5,14,0.611,7,0.568,19,28,34.836,32.385,56.65,65.308,26,5,59,5,361.55,4,31
7.237,1.156,36.8,10,38,8,3,0.681,17,0.671,14,26,25.887,25.489,39.185,43.931,24,11,40,17,348.81,5,14
5.163,1.173,33.3,7,15,2,0,0.635,4,0.721,5,12,9.528,10.812,16.909,17.589,12,5,15,0,174.1,1,3
5.9,1.122,45.7,5,35,4,2,0.694,20,0.67,16,24,24.284,23.434,35.153,39.279,21,14,38,20,278.34,2,14
6.481,1.144,44.9,11,49,5,5,0.684,20,0.696,22,37,33.534,34.089,51.214,56.045,33,17,53,16,455.43,3,16
5.0,1.119,46.2,8,39,7,1,0.743,26,0.716,18,30,28.972,27.917,39.44,43.654,26,17,43,26,359.45,3,13
5.8,1.132,39.3,10,56,4,7,0.649,20,0.636,22,34,36.364,35.642,57.207,63.402,32,15,58,16,440.5,9,24
6.292,1.114,47.3,9,74,4,9,0.692,32,0.669,35,52,51.193,49.508,74.531,82.438,44,26,82,30,586.69,3,30
7.6,1.138,38.5,12,52,6,3,0.656,21,0.656,20,34,34.091,34.105,53.76,59.153,32,17,54,18,440.46,9,20
7.959,1.135,41.0,7,39,6,3,0.674,20,0.653,16,26,26.296,25.477,39.356,44.275,23,13,42,20,308.38,2,16
5.8,1.115,45.8,7,48,5,3,0.718,23,0.681,22,33,34.461,32.697,48.098,53.527,29,19,52,22,401.53,2,19
5.097,1.139,45.5,10,55,5,3,0.684,25,0.681,25,38,37.603,37.428,56.654,62.666,35,22,58,24,479.5,6,20
6.0,1.117,47.5,8,61,6,1,0.702,31,0.677,29,41,42.796,41.299,61.218,68.145,37,28,65,30,488.59,8,24
4.602,1.121,49.2,9,61,7,1,0.713,35,0.696,30,44,43.523,42.462,61.621,68.359,39,29,66,35,515.59,7,22
5.35,1.136,37.3,10,83,6,16,0.633,18,0.596,31,45,52.557,49.47,82.825,94.301,41,15,87,17,562.79,10,42
5.764,1.126,40.8,10,71,6,10,0.675,23,0.638,29,44,47.944,45.308,71.156,79.936,39,19,76,21,544.74,8,32
5.481,1.128,44.1,6,34,5,0,0.692,18,0.674,15,23,23.529,22.929,34.371,38.362,21,15,36,17,279.33,3,13
8.0,1.138,36.8,10,57,8,9,0.667,20,0.628,21,35,38.0,35.814,57.171,64.853,31,12,61,20,438.62,5,26
5.0,1.127,38.9,9,36,7,2,0.739,20,0.697,14,26,26.62,25.104,36.516,40.574,23,12,39,20,343.48,4,13
5.0,1.146,41.9,10,43,5,2,0.671,19,0.679,18,30,28.835,29.179,44.818,49.29,28,16,45,17,387.38,6,15
8.741,1.134,37.0,10,73,6,11,0.65,20,0.608,27,40,47.466,44.362,72.923,82.766,37,16,76,18,524.76,11,36
5.602,1.151,38.5,12,39,6,0,0.691,20,0.701,15,29,26.966,27.334,41.229,44.878,27,15,41,17,394.4,4,12
5.0,1.148,43.2,10,37,5,0,0.684,19,0.706,16,28,25.313,26.125,39.051,42.46,26,16,39,17,359.32,4,11
5.0,1.147,42.5,10,40,5,1,0.677,19,0.691,17,29,27.074,27.652,41.934,45.875,27,16,42,17,373.35,5,13
5.676,1.148,43.2,10,37,5,0,0.684,19,0.706,16,28,25.313,26.125,39.051,42.46,26,16,39,17,359.32,4,11
5.0,1.148,44.1,8,34,5,0,0.688,18,0.697,15,25,23.404,23.696,35.396,39.041,23,15,36,17,315.31,3,11
5.301,1.152,40.5,9,42,6,2,0.665,18,0.661,17,28,27.932,27.771,43.265,48.37,26,15,44,17,358.39,4,16
5.602,1.152,40.5,9,42,6,2,0.665,18,0.661,17,28,27.932,27.771,43.265,48.37,26,15,44,17,358.39,4,16
5.0,1.155,42.4,9,33,6,0,0.686,18,0.703,14,25,22.648,23.19,34.614,38.124,23,14,35,17,316.3,3,10
5.0,1.138,41.9,9,43,5,2,0.672,19,0.67,18,29,28.898,28.796,44.305,48.951,27,16,45,17,369.39,6,16
6.857,1.133,44.1,5,34,3,3,0.676,13,0.657,15,22,22.978,22.323,34.447,38.535,20,12,36,11,271.32,2,14
7.569,1.134,42.5,5,40,3,5,0.663,13,0.634,17,24,26.5,25.377,40.214,45.366,22,12,42,11,299.38,3,18
6.125,1.149,45.7,7,35,3,4,0.682,13,0.688,16,26,23.853,24.09,36.472,40.215,23,12,38,11,319.31,2,12
7.301,1.16,42.5,8,40,3,5,0.658,13,0.663,17,27,26.313,26.527,41.752,46.385,25,12,42,11,353.35,3,15
7.26,1.16,42.5,8,40,3,5,0.658,13,0.663,17,27,26.313,26.527,41.752,46.385,25,12,42,11,353.35,3,15
6.562,1.136,41.5,6,41,3,5,0.657,13,0.636,17,25,26.955,26.092,41.542,46.575,23,12,43,11,315.38,4,18
7.398,1.157,41.0,8,39,4,5,0.657,13,0.657,16,26,25.62,25.638,40.458,45.128,24,11,41,11,336.35,3,15
5.481,1.109,47.8,6,46,4,1,0.727,24,0.689,22,31,33.455,31.675,45.996,51.029,28,21,49,22,386.51,5,18
5.854,1.114,48.8,5,41,4,1,0.708,20,0.682,20,28,29.046,27.961,41.036,45.694,25,19,44,18,328.4,4,16
4.538,1.131,43.2,5,44,3,5,0.665,14,0.634,19,26,29.262,27.904,44.098,49.781,24,14,46,12,325.42,4,20
4.928,1.144,46.2,7,39,3,4,0.682,14,0.682,18,28,26.614,26.617,40.356,44.63,25,14,42,12,345.35,2,14
5.405,1.124,48.9,8,45,3,2,0.737,20,0.72,22,33,33.154,32.415,46.374,50.593,30,20,48,18,446.3,4,15
6.201,1.129,41.3,5,46,4,6,0.659,14,0.62,19,26,30.33,28.542,45.687,51.939,24,13,48,12,322.45,4,22
4.939,1.128,42.3,7,52,5,6,0.669,19,0.64,22,32,34.79,33.278,52.116,58.647,29,16,55,17,389.5,5,23
5.078,1.144,34.5,7,55,5,10,0.62,9,0.579,19,27,34.074,31.858,54.767,62.893,26,9,56,6,359.53,7,29
7.585,1.134,41.9,5,43,3,6,0.657,13,0.626,18,25,28.262,26.904,43.098,48.781,23,12,45,11,313.41,3,20
5.501,1.14,40.5,6,42,4,5,0.655,13,0.629,17,25,27.506,26.398,42.316,47.864,23,12,44,11,314.4,4,19
6.291,1.129,41.5,8,41,3,5,0.69,15,0.67,17,28,28.296,27.467,42.062,46.289,25,12,44,11,361.43,3,16
5.953,1.125,48.6,6,37,4,1,0.709,19,0.698,18,27,26.222,25.818,37.665,41.618,24,17,40,17,320.35,3,13
7.276,1.116,50.0,7,38,3,1,0.755,19,0.736,19,29,28.693,27.978,39.094,42.423,26,18,41,17,388.24,3,12
6.268,1.134,42.0,6,50,4,9,0.661,13,0.629,21,31,33.029,31.452,50.083,56.694,27,12,54,11,366.48,3,23
5.387,1.127,51.4,6,35,3,0,0.719,19,0.719,18,27,25.154,25.18,36.076,39.46,24,18,38,17,323.32,2,11
8.398,1.136,51.4,8,35,3,0,0.741,19,0.754,18,29,25.949,26.39,36.913,39.743,26,18,38,17,375.75,2,9
7.854,1.115,51.4,7,35,3,0,0.769,19,0.756,18,28,26.932,26.451,36.211,39.008,25,18,38,17,374.21,2,10
6.699,1.13,43.1,5,51,3,10,0.662,13,0.627,22,31,33.785,31.957,50.865,57.611,27,12,55,11,365.49,2,24
7.125,1.13,45.7,5,35,3,4,0.685,13,0.666,16,24,23.978,23.323,35.447,39.535,21,12,38,11,283.33,2,14
5.456,1.135,37.9,4,29,2,3,0.638,9,0.608,11,15,18.489,17.633,29.16,32.907,15,8,29,6,206.27,3,14
6.185,1.108,42.9,7,28,2,2,0.803,9,0.752,12,20,22.494,21.061,28.996,31.034,19,10,29,6,335.65,3,9
5.263,1.116,45.8,6,59,2,4,0.677,22,0.648,27,35,39.966,38.224,59.116,65.817,33,23,61,18,442.55,6,26
5.872,1.114,43.4,7,53,2,5,0.703,19,0.66,23,32,37.256,34.997,53.305,59.056,30,18,55,17,443.0,8,23
5.359,1.138,35.1,5,37,2,11,0.639,2,0.596,13,20,23.631,22.041,37.134,42.096,18,2,39,0,270.79,1,19
5.36,1.117,41.5,6,41,3,5,0.721,13,0.664,17,25,29.563,27.206,41.007,45.788,23,12,43,11,392.35,6,18
5.275,1.107,43.3,7,30,2,2,0.786,14,0.738,13,22,23.585,22.146,30.905,33.197,20,11,32,12,373.67,2,10
5.078,1.105,50.0,6,28,1,0,0.74,14,0.743,14,22,20.727,20.815,29.269,30.941,20,14,30,11,289.68,2,8
5.284,1.123,43.9,4,41,3,6,0.672,15,0.634,18,25,27.563,25.993,40.702,46.026,22,12,44,12,293.4,2,19
5.337,1.116,45.2,6,42,2,3,0.698,18,0.672,19,27,29.324,28.229,42.578,46.89,25,16,44,16,356.83,3,17
5.778,1.108,50.0,5,42,2,0,0.707,21,0.687,21,28,29.705,28.875,42.371,46.531,26,21,44,18,344.39,5,16
5.188,1.142,35.7,9,42,4,5,0.634,11,0.627,15,25,26.625,26.347,43.229,47.947,24,10,43,6,334.37,5,18
4.861,1.1,43.3,7,30,1,2,0.778,14,0.733,13,22,23.33,22.002,30.978,32.987,20,11,32,10,327.83,2,10
4.398,1.117,43.5,10,62,3,4,0.69,24,0.667,27,40,42.767,41.335,63.065,69.239,37,23,65,18,519.62,8,25
5.448,1.119,46.5,5,43,4,4,0.693,18,0.663,20,28,29.807,28.488,42.92,48.109,25,15,46,16,330.42,2,18
5.3,1.144,43.8,11,48,4,2,0.691,20,0.696,21,34,33.148,33.422,50.32,54.906,32,19,50,18,464.86,5,16
5.776,1.136,34.5,9,58,3,11,0.635,14,0.598,20,30,36.836,34.674,58.505,65.86,29,9,59,11,423.59,9,29
5.162,1.125,42.9,6,28,2,1,0.674,14,0.679,12,19,18.875,19.009,29.047,31.495,18,11,29,11,246.24,3,10
