pXC50,nC,O.,RBN,nH,nAT,Se,RBF,nBT,AMW,nO,MW,N.,Sv,Si,Sp,SCBO,nCsp2
7.569,18,6.1,10,27,49,48.571,0.204,49,6.234,3,305.46,2.0,28.014,55.524,30.267,27.0,8
6.337,16,7.0,9,23,43,42.803,0.209,43,6.451,3,277.4,2.3,24.961,48.694,26.745,25.0,8
8.215,25,7.8,15,42,77,76.829,0.195,77,6.383,6,491.51,3.9,35.137,87.585,47.313,41.0,9
6.367,22,9.8,8,29,61,61.832,0.125,64,7.6,6,463.61,4.9,37.388,69.069,39.29,43.0,9
7.143,17,6.5,10,25,46,45.687,0.217,46,6.335,3,291.43,2.2,26.487,52.109,28.506,26.0,8
5.0,21,7.4,8,23,54,54.847,0.143,56,8.177,4,441.56,9.3,34.894,60.986,36.347,45.0,14
4.045,15,18.2,4,12,33,34.265,0.118,34,8.735,6,288.27,0.0,22.45,36.748,22.295,30.0,14
4.914,22,9.4,8,23,53,53.778,0.143,56,7.726,5,409.48,5.7,33.906,59.694,34.904,42.0,15
4.301,23,10.3,8,25,58,59.065,0.131,61,8.131,6,471.58,5.2,37.335,65.239,38.767,47.0,15
6.0,22,10.9,8,22,55,56.694,0.138,58,8.646,6,475.54,5.5,36.191,62.163,36.943,47.0,15
5.523,19,2.4,5,18,42,42.214,0.114,44,7.7,1,323.4,7.1,27.377,47.366,28.5,35.0,13
6.398,16,6.1,9,29,49,48.454,0.184,49,5.785,3,283.46,2.0,26.541,55.939,29.029,22.0,2
8.523,27,7.1,14,35,70,70.08,0.197,71,6.881,5,481.65,4.3,42.067,79.185,44.472,46.0,16
5.469,18,6.4,9,25,47,46.687,0.188,48,6.456,3,303.44,2.1,27.487,53.109,29.506,28.0,8
5.658,19,5.8,11,29,52,51.454,0.212,52,6.144,3,319.49,1.9,29.541,58.939,32.029,28.0,8
4.301,21,10.0,7,21,50,50.894,0.132,53,7.909,5,395.45,6.0,32.379,56.279,33.142,41.0,15
6.0,31,8.2,11,33,73,73.523,0.145,76,7.448,6,543.67,4.1,46.255,81.979,48.165,56.0,22
4.69,28,8.6,13,32,70,70.741,0.181,72,7.438,6,520.64,5.7,43.75,79.062,45.409,52.0,19
4.907,30,8.1,11,34,74,74.625,0.143,77,7.388,6,546.68,5.4,46.276,83.478,48.171,55.0,19
4.921,20,5.7,9,29,53,52.454,0.167,54,6.255,3,331.5,1.9,30.541,59.939,33.029,30.0,8
4.963,32,9.3,12,28,75,77.931,0.154,78,8.975,7,673.09,5.3,50.442,85.235,50.534,65.0,25
5.652,31,9.7,12,30,72,73.185,0.16,75,7.926,7,570.65,5.6,46.938,80.857,48.102,60.0,25
4.602,34,8.1,11,30,74,74.858,0.141,78,7.982,6,590.68,5.4,49.223,82.647,50.648,65.5,29
4.863,34,7.3,11,38,82,82.392,0.126,87,7.302,6,598.76,4.9,51.33,92.308,53.694,61.0,19
4.408,35,7.2,13,34,83,85.254,0.151,86,8.424,6,699.18,4.8,54.307,94.271,55.364,67.0,25
5.215,31,8.5,11,25,71,74.043,0.149,74,9.542,6,677.5,5.6,49.028,80.554,49.176,64.0,25
8.886,27,7.1,14,35,70,70.08,0.197,71,6.881,5,481.65,4.3,42.067,79.185,44.472,46.0,16
6.092,19,6.0,9,27,50,49.571,0.176,51,6.349,3,317.47,2.0,29.014,56.524,31.267,29.0,8
5.886,21,11.1,8,22,54,55.4,0.14,57,8.491,6,458.54,7.4,35.303,60.906,36.25,46.0,14
8.699,26,7.5,13,33,67,67.196,0.191,68,6.979,5,467.62,4.5,40.54,75.77,42.711,45.0,16
6.0,33,7.8,15,46,90,90.254,0.163,92,6.787,7,610.83,4.4,53.152,102.178,56.194,56.0,16
6.357,33,8.0,15,44,88,88.37,0.167,90,6.918,7,608.81,4.5,52.625,99.763,55.432,57.0,17
6.0,31,8.2,11,33,73,73.523,0.145,76,7.448,6,543.67,4.1,46.255,81.979,48.165,56.0,22
6.0,31,7.1,16,43,85,85.261,0.184,87,6.845,6,581.79,5.9,50.405,96.637,53.222,54.0,15
9.699,28,6.8,15,37,73,72.963,0.203,74,6.79,5,495.68,4.1,43.594,82.6,46.233,47.0,16
5.0,22,1.9,5,22,53,54.21,0.089,56,8.104,1,429.49,9.4,34.24,60.872,34.91,44.0,12
5.0,20,2.0,6,20,49,50.327,0.118,51,8.234,1,403.45,10.2,31.713,56.457,32.148,41.0,12
5.0,24,1.6,7,27,61,62.079,0.109,64,7.747,1,472.57,9.8,38.315,70.201,39.438,47.0,12
5.0,14,0.0,3,12,30,30.047,0.097,31,8.591,0,257.74,10.0,20.526,33.515,21.682,27.0,10
5.0,14,0.0,3,12,30,29.953,0.097,31,10.073,0,302.19,10.0,20.723,33.413,22.176,27.0,10
5.0,16,2.9,4,15,35,34.934,0.111,36,7.581,1,265.34,8.6,22.94,39.196,24.04,30.0,11
5.0,16,0.0,4,17,36,35.491,0.108,37,6.982,0,251.36,8.3,22.752,40.401,24.347,28.0,10
5.0,17,0.0,5,19,39,38.374,0.125,40,6.805,0,265.39,7.7,24.279,43.817,26.108,29.0,10
5.0,17,0.0,4,19,39,38.374,0.1,40,6.805,0,265.39,7.7,24.279,43.817,26.108,29.0,10
5.0,18,0.0,5,21,42,41.258,0.116,43,6.653,0,279.42,7.1,25.805,47.232,27.87,30.0,10
5.0,15,2.9,4,12,34,35.472,0.114,35,9.038,1,307.3,8.8,23.09,39.215,22.853,31.0,10
5.0,17,0.0,4,17,37,36.491,0.103,39,7.118,0,263.37,8.1,23.752,41.401,25.347,30.0,10
5.0,18,0.0,4,19,40,39.374,0.095,42,6.935,0,277.4,7.5,25.279,44.817,27.108,31.0,10
5.0,16,0.0,3,11,36,38.567,0.081,37,9.981,0,359.3,8.3,25.052,42.44,23.972,34.0,10
5.0,15,0.0,3,11,33,34.469,0.088,34,9.871,0,325.74,9.1,23.202,37.949,23.256,31.0,10
5.0,15,0.0,3,11,33,34.658,0.088,34,9.372,0,309.29,9.1,22.758,38.345,22.336,31.0,10
5.0,16,0.0,3,14,36,37.029,0.081,37,8.481,0,305.33,8.3,23.902,41.42,24.159,31.0,10
5.0,16,2.7,4,14,37,38.356,0.105,38,8.685,1,321.33,8.1,24.617,42.63,24.614,32.0,10
5.0,17,2.5,5,16,40,41.24,0.122,41,8.384,1,335.36,7.5,26.143,46.045,26.375,33.0,10
5.0,16,2.7,4,11,37,39.894,0.105,38,10.143,1,375.3,8.1,25.766,43.649,24.426,35.0,10
5.0,18,2.3,5,18,43,44.123,0.114,44,8.125,1,349.39,7.0,27.67,49.46,28.137,34.0,10
5.237,26,1.5,8,34,65,63.989,0.119,67,6.441,1,418.64,6.2,38.702,73.431,41.898,42.0,13
5.0,19,2.3,6,21,44,43.585,0.133,45,6.987,1,307.43,6.8,27.52,49.441,29.324,33.0,12
5.094,26,1.6,7,32,63,62.105,0.106,66,6.613,1,416.62,6.3,38.176,71.015,41.137,43.0,13
5.619,24,1.7,7,30,59,58.221,0.115,61,6.62,1,390.58,6.8,35.649,66.6,38.375,40.0,13
5.0,22,2.0,6,23,49,48.469,0.118,51,7.051,1,345.48,6.1,31.047,54.856,33.086,39.0,15
5.0,22,2.0,6,23,49,48.469,0.118,51,7.051,1,345.48,6.1,31.047,54.856,33.086,39.0,15
5.0,18,2.3,6,20,43,42.803,0.136,44,7.173,1,308.42,9.3,27.015,48.524,28.569,33.0,11
4.807,6,4.3,5,14,23,22.665,0.227,22,7.232,1,166.34,0.0,12.777,25.956,15.08,9.0,0
5.108,14,3.2,5,14,31,30.665,0.156,32,8.465,1,262.42,0.0,20.777,33.956,23.08,25.0,12
4.0,12,2.7,3,22,37,36.2,0.079,38,6.662,1,246.48,0.0,20.884,41.617,24.125,17.0,0
4.724,10,2.9,7,22,35,34.2,0.206,34,6.356,1,222.46,0.0,18.884,39.617,22.125,13.0,0
5.226,12,2.4,11,26,41,39.967,0.275,40,6.11,1,250.52,0.0,21.937,46.447,25.648,15.0,0
5.0,19,2.3,6,21,44,43.585,0.133,45,6.987,1,307.43,6.8,27.52,49.441,29.324,33.0,12
5.0,24,1.7,7,30,59,58.221,0.115,61,6.62,1,390.58,6.8,35.649,66.6,38.375,40.0,13
5.721,15,5.1,6,19,39,39.029,0.154,39,7.009,2,273.37,7.7,23.708,44.235,25.017,27.0,8
5.0,29,4.1,9,38,74,73.41,0.118,76,6.631,3,490.71,5.4,44.186,83.68,47.33,48.0,14
5.0,20,2.2,6,22,45,44.367,0.13,46,6.81,1,306.44,4.4,28.026,50.358,30.08,33.0,13
5.0,20,2.2,6,22,45,44.367,0.13,46,6.81,1,306.44,4.4,28.026,50.358,30.08,33.0,13
5.452,24,1.7,7,30,59,58.221,0.115,61,6.62,1,390.58,6.8,35.649,66.6,38.375,40.0,13
5.196,28,2.8,9,38,72,71.083,0.122,74,6.426,2,462.7,5.6,42.471,81.47,45.876,45.0,13
6.256,25,1.7,7,29,58,57.12,0.117,60,6.682,1,387.57,5.2,35.627,65.102,38.37,41.0,15
5.969,25,1.7,7,31,60,59.003,0.113,62,6.493,1,389.59,5.0,36.154,67.517,39.131,40.0,13
5.0,21,5.9,7,24,51,50.982,0.135,52,7.54,3,384.54,3.9,32.169,57.112,34.398,39.0,13
6.421,28,1.4,8,38,71,69.756,0.11,73,6.292,1,446.7,5.6,41.756,80.261,45.421,44.0,13
6.26,27,3.0,9,34,67,66.316,0.13,69,6.666,2,446.65,6.0,40.417,75.64,43.353,45.0,14
5.415,25,1.6,7,32,62,61.105,0.109,64,6.526,1,404.61,6.5,37.176,70.015,40.137,41.0,13
5.476,26,3.0,9,34,66,65.316,0.132,68,6.585,2,434.64,6.1,39.417,74.64,42.353,43.0,13
5.0,19,2.3,6,21,44,43.585,0.133,45,6.987,1,307.43,6.8,27.52,49.441,29.324,33.0,12
5.0,21,2.0,7,22,50,50.007,0.135,52,7.49,1,374.49,12.0,32.058,56.521,33.58,41.5,14
5.0,21,2.0,5,24,50,49.571,0.096,52,6.97,1,348.49,8.0,31.068,56.355,33.091,37.0,13
5.757,32,6.0,16,38,83,83.705,0.186,86,7.407,5,614.78,9.6,51.647,94.261,53.739,63.0,21
6.056,28,7.5,16,38,80,81.032,0.195,82,7.284,6,582.74,10.0,48.362,91.471,50.194,56.0,15
5.631,33,6.9,17,40,87,87.916,0.189,90,7.412,6,644.81,9.2,53.889,98.886,55.955,65.0,21
6.357,31,7.4,16,38,81,81.712,0.193,83,7.293,6,590.75,7.4,49.846,91.889,51.944,58.0,20
4.585,40,8.5,15,49,106,107.301,0.135,111,8.207,9,869.92,5.7,66.363,119.77,69.876,76.0,19
5.758,24,3.4,7,29,58,57.447,0.117,60,6.751,2,391.56,5.2,35.342,65.311,37.824,40.0,13
4.122,29,6.4,16,40,78,77.949,0.203,79,6.727,5,524.73,5.1,46.142,88.514,49.0,49.0,16
5.161,26,7.9,15,40,76,76.276,0.195,77,6.641,6,504.7,5.3,43.857,86.723,46.455,44.0,10
6.097,27,6.6,15,36,76,76.821,0.192,78,7.272,5,552.71,10.5,46.12,86.846,47.978,54.0,15
6.125,26,8.1,15,36,74,74.829,0.2,75,7.144,6,528.68,8.1,44.319,84.474,46.182,49.0,14
5.848,27,6.3,15,43,80,79.934,0.185,81,6.472,5,517.75,6.3,45.69,91.427,48.768,45.0,10
5.0,21,6.0,8,20,50,51.661,0.157,51,8.389,3,419.44,6.0,32.627,57.294,32.807,41.0,13
5.478,25,1.9,7,25,54,53.352,0.125,56,7.102,1,383.53,5.6,34.574,60.272,36.847,43.0,18
5.464,25,1.7,7,30,60,59.221,0.111,63,6.71,1,402.59,6.7,36.649,67.6,39.375,42.0,13
5.0,14,0.0,1,9,29,29.374,0.032,31,14.177,0,411.13,10.3,22.409,31.759,24.415,30.0,14
5.0,14,3.1,3,13,32,32.127,0.091,33,8.48,1,271.37,9.4,21.6,35.7,22.926,28.0,14
5.0,14,3.1,3,12,32,32.356,0.091,33,10.946,1,350.26,9.4,22.625,35.542,24.279,29.0,14
5.0,12,0.0,3,11,28,27.993,0.103,29,9.336,0,261.4,10.7,19.546,30.996,21.358,25.5,12
5.0,12,0.0,3,9,28,28.451,0.103,29,14.971,0,419.18,10.7,21.596,30.679,24.063,27.5,12
5.0,12,0.0,3,9,28,28.451,0.103,29,14.971,0,419.18,10.7,21.596,30.679,24.063,27.5,12
5.0,12,0.0,3,9,28,28.451,0.103,29,14.971,0,419.18,10.7,21.596,30.679,24.063,27.5,12
5.0,13,0.0,3,12,30,30.018,0.097,31,8.545,0,256.36,13.3,20.38,33.574,21.716,27.0,13
5.0,13,0.0,3,11,30,30.247,0.097,31,11.175,0,335.25,13.3,21.405,33.416,23.068,28.0,13
5.0,13,0.0,3,10,30,30.476,0.097,31,13.805,0,414.14,13.3,22.43,33.257,24.421,29.0,13
5.0,13,0.0,3,10,30,30.476,0.097,31,13.805,0,414.14,13.3,22.43,33.257,24.421,29.0,13
5.0,14,0.0,3,18,37,36.68,0.079,38,9.198,0,340.32,8.1,23.491,41.578,26.108,25.0,8
5.0,14,0.0,3,13,31,30.8,0.094,32,8.238,0,255.37,9.7,20.885,34.491,22.472,27.0,14
5.0,15,0.0,4,15,34,33.683,0.114,35,7.924,0,269.4,8.8,22.412,37.906,24.233,28.0,14
5.0,14,0.0,1,11,29,28.916,0.032,31,8.736,0,253.35,10.3,20.359,32.076,21.71,28.0,14
5.6,19,2.1,7,20,48,49.327,0.143,49,8.155,1,391.44,10.4,30.713,55.457,31.148,38.0,11
5.0,20,1.9,6,25,53,52.549,0.111,54,10.254,1,543.44,5.7,35.223,59.014,40.017,37.0,14
5.0,14,3.1,3,11,32,32.585,0.091,33,13.411,1,429.15,9.4,23.651,35.384,25.631,30.0,14
5.0,20,1.9,6,25,53,52.549,0.111,54,10.254,1,543.44,5.7,35.223,59.014,40.017,37.0,14
5.0,14,3.1,3,11,32,32.585,0.091,33,13.411,1,429.15,9.4,23.651,35.384,25.631,30.0,14
5.846,18,10.4,7,21,48,48.971,0.143,49,8.156,5,391.49,6.3,30.567,54.199,31.79,36.0,14
5.0,18,0.0,3,18,41,40.68,0.07,43,9.472,0,388.36,7.3,27.491,45.578,30.108,33.0,14
5.796,16,5.4,5,14,37,37.567,0.132,38,10.603,2,392.3,8.1,25.867,41.167,27.495,33.0,15
5.0,21,2.2,6,18,45,45.007,0.128,47,9.786,1,440.39,6.7,31.206,49.788,33.563,40.0,20
5.0,20,1.9,6,26,53,52.32,0.111,54,8.765,1,464.55,5.7,34.198,59.172,38.665,36.0,14
5.023,14,3.1,3,11,32,32.585,0.091,33,13.411,1,429.15,9.4,23.651,35.384,25.631,30.0,14
6.401,31,4.0,12,33,75,76.436,0.156,77,8.05,3,603.74,4.0,47.884,85.46,49.722,58.0,19
5.0,32,3.9,11,33,76,77.436,0.139,79,8.102,3,615.75,3.9,48.884,86.46,50.722,60.0,19
8.046,31,4.1,11,29,73,75.283,0.147,75,8.667,3,632.71,5.5,48.236,83.468,49.142,62.0,19
6.585,31,4.1,11,29,73,75.283,0.147,75,8.667,3,632.71,5.5,48.236,83.468,49.142,62.0,19
7.569,33,2.6,12,34,77,78.134,0.15,80,7.724,2,594.71,5.2,49.004,87.829,50.626,59.0,20
7.194,37,3.4,12,40,88,89.112,0.13,92,7.555,3,664.81,4.5,55.299,100.284,57.364,65.0,20
7.319,31,2.7,11,31,73,75.057,0.147,75,8.105,2,591.65,4.1,46.749,84.01,47.495,56.0,19
7.268,34,1.3,11,32,75,75.923,0.141,78,7.849,1,588.7,5.3,48.762,85.205,50.41,61.0,24
6.239,33,4.1,11,30,73,74.156,0.145,76,8.298,3,605.73,4.1,48.448,82.29,50.262,63.0,25
6.845,30,4.3,10,28,70,71.887,0.139,72,8.581,3,600.69,5.7,46.325,79.713,47.444,60.0,19
7.387,33,2.7,11,31,75,76.468,0.141,78,8.076,2,605.69,6.7,48.972,85.497,50.108,62.0,20
7.06,31,2.8,10,28,71,73.392,0.137,73,8.488,2,602.63,5.6,46.717,81.678,46.978,59.0,19
5.24,16,7.3,6,14,41,43.436,0.143,42,9.824,3,402.79,9.8,27.895,47.491,27.387,36.5,12
6.914,30,4.2,11,31,72,73.552,0.149,74,8.19,3,589.71,4.2,46.358,82.045,47.961,57.0,19
6.506,23,5.1,9,25,59,60.901,0.15,60,8.467,3,499.58,5.1,37.777,67.8,38.676,46.0,13
6.175,25,4.6,10,26,65,68.207,0.152,66,8.948,3,581.61,4.6,41.981,75.649,42.012,51.0,13
4.82,22,7.4,8,19,54,56.632,0.143,56,9.443,4,509.91,9.3,36.685,62.029,36.37,48.5,17
5.49,23,7.0,9,21,57,59.516,0.153,59,9.192,4,523.94,8.8,38.212,65.444,38.131,49.5,17
7.102,29,4.2,11,30,71,72.77,0.151,73,8.32,3,590.7,5.6,45.852,81.128,47.205,57.0,18
7.229,26,1.6,10,27,63,64.374,0.154,65,7.962,1,501.58,7.9,40.203,72.457,41.131,49.5,16
5.0,19,8.5,7,17,47,49.429,0.146,48,9.443,4,443.84,6.4,31.642,54.032,31.358,40.0,14
5.0,20,8.0,7,19,50,52.312,0.137,51,9.157,4,457.87,6.0,33.169,57.448,33.12,41.0,14
6.636,30,4.3,11,30,70,71.156,0.151,73,8.139,3,569.7,4.3,45.448,79.29,47.262,57.0,19
6.417,28,4.5,10,26,66,67.92,0.147,68,9.281,3,612.54,4.5,44.576,74.763,46.216,56.0,19
6.364,29,4.3,10,30,69,70.156,0.141,71,8.082,3,557.69,4.3,44.448,78.29,46.262,55.0,19
7.167,29,4.5,10,28,67,68.272,0.143,70,8.294,3,555.67,4.5,43.921,75.875,45.5,56.0,19
5.0,30,4.2,10,32,72,73.039,0.135,74,7.941,3,571.72,4.2,45.974,81.705,48.023,56.0,19
6.932,20,7.2,14,38,69,69.385,0.206,68,6.415,5,442.64,8.7,38.131,79.68,40.489,35.0,5
8.658,36,4.9,14,38,82,81.738,0.165,85,7.205,4,590.78,4.9,51.9,91.889,54.785,63.0,27
9.097,30,6.8,14,34,73,73.298,0.187,75,7.27,5,530.68,5.5,45.562,82.268,47.716,54.0,21
8.602,25,8.2,14,38,73,73.392,0.189,74,6.722,6,490.67,5.5,42.33,83.308,44.694,43.0,10
8.523,25,7.6,13,32,66,66.414,0.194,67,7.1,5,468.61,6.1,40.035,74.853,41.955,45.0,15
9.456,25,6.2,11,33,65,64.869,0.167,66,6.763,4,439.61,4.6,38.825,73.561,41.256,42.5,14
9.509,28,8.1,15,37,74,74.29,0.2,75,6.915,6,511.68,4.1,44.309,83.81,46.688,48.0,16
9.432,27,8.5,14,35,71,71.407,0.194,72,7.009,6,497.65,4.2,42.782,80.395,44.926,47.0,16
9.201,28,8.1,15,37,74,74.29,0.2,75,6.915,6,511.68,4.1,44.309,83.81,46.688,48.0,16
8.699,23,10.3,16,35,68,68.734,0.235,68,6.847,7,465.61,4.4,39.497,77.604,41.381,40.0,10
8.347,24,8.8,13,35,68,68.407,0.188,69,6.789,6,461.62,4.4,39.782,77.395,41.926,41.0,10
8.387,29,9.2,11,26,65,66.385,0.162,68,8.178,6,531.58,4.6,43.058,73.073,43.818,56.0,21
8.276,31,8.5,11,31,71,71.64,0.149,74,7.629,6,541.65,4.2,45.728,79.564,47.404,57.0,21
9.051,29,7.2,13,45,83,82.825,0.155,84,6.407,6,531.77,3.6,47.416,94.471,50.733,46.0,10
8.097,31,6.0,15,44,84,83.716,0.174,86,6.581,5,552.79,4.8,49.196,95.344,52.523,51.0,14
9.125,26,7.2,14,34,69,69.298,0.2,70,6.995,5,482.64,5.8,41.562,78.268,43.716,46.0,15
8.42,37,5.4,16,46,92,91.599,0.168,95,6.814,5,626.87,4.3,55.722,103.759,59.285,62.0,22
7.187,26,9.8,11,25,61,62.065,0.172,64,8.321,6,507.61,4.9,40.335,68.239,41.767,54.5,21
6.0,27,3.5,9,26,57,56.461,0.15,60,7.203,2,410.55,3.5,36.794,63.398,39.057,47.0,22
8.921,26,7.0,14,36,71,71.181,0.194,72,6.826,5,484.66,5.6,42.088,80.683,44.478,45.5,14
9.699,26,7.2,14,34,69,69.298,0.2,70,6.995,5,482.64,5.8,41.562,78.268,43.716,46.0,15
8.638,32,5.9,15,44,85,84.716,0.172,87,6.645,5,564.8,4.7,50.196,96.344,53.523,53.0,16
4.229,27,7.6,12,40,79,79.596,0.15,80,6.895,6,544.73,7.6,46.373,90.305,48.705,50.0,11
9.553,24,8.6,16,37,70,70.29,0.229,70,6.623,6,463.64,4.3,40.309,79.81,42.688,40.0,10
7.914,27,6.6,11,26,61,61.731,0.175,63,7.796,4,475.56,4.9,39.628,68.655,40.909,50.0,20
6.712,26,3.4,10,27,58,57.563,0.167,60,7.13,2,413.56,5.2,36.815,64.896,39.063,45.0,19
8.347,36,5.5,16,46,91,90.599,0.17,94,6.757,5,614.86,4.4,54.722,102.759,58.285,60.0,20
8.004,25,7.1,15,35,70,70.4,0.211,71,6.938,5,485.65,7.1,41.583,79.767,43.722,45.5,13
8.31,30,8.8,11,28,68,68.974,0.155,71,7.95,6,540.62,5.9,44.696,76.232,45.887,58.0,22
7.876,28,9.0,12,29,67,67.832,0.174,69,7.995,6,535.67,4.5,43.388,75.069,45.29,55.0,20
6.55,27,6.6,11,27,61,61.218,0.175,63,7.501,4,457.57,4.9,39.245,68.315,40.972,49.0,20
4.721,28,6.3,12,41,80,80.127,0.148,81,6.998,5,559.81,6.3,47.35,90.932,50.654,50.0,12
8.161,26,7.9,15,40,76,76.276,0.195,77,6.641,6,504.7,5.3,43.857,86.723,46.455,44.0,10
8.167,28,7.9,11,25,63,64.571,0.169,65,8.279,5,521.56,4.8,41.726,71.204,42.301,54.0,21
8.347,21,9.8,13,31,61,61.64,0.213,61,6.911,6,421.55,4.9,35.728,69.564,37.404,37.0,10
8.194,25,7.6,13,32,66,66.414,0.194,67,7.1,5,468.61,6.1,40.035,74.853,41.955,45.0,15
9.357,28,8.1,15,37,74,74.29,0.2,75,6.915,6,511.68,4.1,44.309,83.81,46.688,48.0,16
8.678,32,7.7,15,37,78,78.29,0.188,80,7.176,6,559.72,3.8,48.309,87.81,50.688,56.0,22
9.469,34,6.3,14,36,79,79.181,0.171,82,7.351,5,580.74,5.1,50.088,88.683,52.478,61.5,25
7.0,22,6.8,10,30,59,58.96,0.167,60,7.095,4,418.61,3.4,35.464,66.567,38.137,39.5,12
8.699,26,6.7,15,40,75,74.949,0.197,76,6.516,5,488.7,5.3,43.142,85.514,46.0,43.0,10
6.0,20,4.5,7,20,44,43.811,0.152,46,7.282,2,320.42,4.5,28.214,49.152,29.773,36.0,16
5.495,18,8.5,8,22,47,47.425,0.167,48,7.713,4,362.49,4.3,29.357,52.906,31.091,35.5,12
6.0,19,7.1,7,18,42,42.254,0.159,44,7.676,3,322.39,4.8,27.402,46.946,28.466,36.0,16
7.523,26,6.6,9,27,61,61.294,0.141,64,7.83,4,477.63,4.9,39.432,68.235,41.62,51.5,20
6.0,26,3.4,9,25,58,58.0,0.15,60,7.579,2,439.56,8.6,37.805,65.062,39.551,49.0,21
8.699,28,7.9,11,25,63,64.382,0.169,65,8.54,5,538.01,4.8,42.171,70.808,43.222,54.0,21
5.721,19,4.7,6,19,43,43.029,0.136,44,7.475,2,321.41,7.0,27.708,48.235,29.017,35.0,14
6.446,27,3.3,9,28,61,60.665,0.143,63,7.223,2,440.59,6.6,38.837,68.394,41.069,48.0,20
7.924,27,3.4,8,27,59,58.563,0.131,61,7.213,2,425.57,5.1,37.815,65.896,40.063,47.0,20
