pXC50,nBM,nAB,nBT,Si,nAT,SCBO,nBO,MW,Sv,Sp,Se,nC,RBF,nSK,nN,nH,nCsp2,nDB,C.,X.,O.,nF,N.,nO
6.533,32,32,71,72.403,64,63.0,47,534.62,43.679,44.773,64.792,30,0.056,40,8,24,24,0,46.9,3.1,0.0,2,12.5,0
5.721,20,18,76,82.766,73,51.0,40,524.76,44.362,47.466,72.923,27,0.145,37,6,36,16,2,37.0,0.0,4.1,0,8.2,3
6.509,24,22,49,51.029,46,44.0,31,386.51,31.675,33.455,45.996,22,0.102,28,4,18,21,2,47.8,0.0,2.2,0,8.7,1
5.601,20,18,50,54.906,48,45.0,34,464.86,33.422,33.148,50.32,21,0.1,32,4,16,19,2,43.8,8.3,6.3,3,8.3,3
5.0,18,17,62,66.923,59,45.5,36,488.07,37.862,40.068,59.603,22,0.113,33,7,26,14,1,37.3,1.7,3.4,0,11.9,2
4.169,15,12,30,32.383,29,31.0,22,327.13,21.664,21.591,30.695,13,0.1,21,2,8,13,3,44.8,6.9,13.8,0,6.9,4
5.0,16,16,54,59.351,52,36.0,28,354.51,31.111,33.103,51.774,19,0.148,26,6,26,11,0,36.5,0.0,1.9,0,11.5,1
5.0,22,21,66,68.022,61,49.5,38,440.58,39.036,41.273,60.672,28,0.091,33,2,28,19,1,45.9,0.0,4.9,0,3.3,3
5.0,19,18,45,49.045,43,39.0,29,371.39,29.143,29.375,44.24,20,0.111,27,3,16,18,1,46.5,7.0,2.3,3,7.0,1
5.0,17,16,44,47.653,42,38.0,29,457.71,29.154,29.864,43.64,17,0.136,27,4,15,14,1,40.5,7.1,7.1,1,9.5,3
5.0,23,22,66,72.065,63,53.0,41,548.01,41.55,42.199,64.956,26,0.136,38,5,25,19,1,41.3,6.3,4.8,3,7.9,3
6.737,25,24,68,68.189,61,55.0,42,466.58,40.025,41.762,61.109,28,0.029,35,4,26,19,1,45.9,0.0,4.9,0,6.6,3
4.947,17,17,64,67.757,60,45.5,37,471.0,38.094,39.835,60.643,24,0.125,33,4,27,14,0,40.0,1.7,6.7,0,6.7,4
6.523,29,28,53,53.946,49,49.0,34,409.54,34.18,36.21,48.778,25,0.075,30,3,19,24,1,51.0,0.0,2.0,0,6.1,1
4.947,17,17,61,64.342,57,44.5,36,456.97,36.567,38.074,57.76,23,0.098,32,4,25,14,0,40.4,1.8,7.0,0,7.0,4
5.0,14,11,62,67.153,59,43.5,35,442.54,36.65,37.915,59.832,23,0.097,32,4,27,14,3,39.0,1.7,6.8,1,6.8,4
5.0,16,12,51,55.693,49,43.0,33,449.87,33.259,33.421,50.916,21,0.137,31,3,18,17,4,42.9,6.1,8.2,2,6.1,4
6.0,22,22,48,50.61,45,41.0,30,378.5,30.191,31.705,45.316,19,0.104,27,6,18,16,0,42.2,0.0,2.2,0,13.3,1
6.127,23,23,54,57.441,51,44.5,33,403.48,33.466,34.483,51.56,22,0.13,30,5,21,19,0,43.1,0.0,5.9,0,9.8,3
5.384,23,23,68,72.182,64,49.5,38,454.63,40.165,42.625,63.541,27,0.132,34,6,30,19,0,42.2,0.0,1.6,0,9.4,1
6.745,22,22,51,54.026,48,42.0,31,392.53,31.718,33.466,48.2,20,0.118,28,6,20,16,0,41.7,0.0,2.1,0,12.5,1
6.398,22,22,48,50.61,45,41.0,30,378.5,30.191,31.705,45.316,19,0.125,27,6,18,16,0,42.2,0.0,2.2,0,13.3,1
6.0,16,12,70,74.889,66,49.0,39,473.64,40.901,43.086,65.97,26,0.1,35,7,31,16,4,39.4,0.0,3.0,0,10.6,2
6.155,22,22,50,53.109,47,42.0,31,393.52,31.213,32.711,47.418,19,0.12,28,7,19,16,0,40.4,0.0,2.1,0,14.9,1
8.658,20,17,78,85.865,75,57.5,45,582.69,47.325,48.631,76.385,30,0.09,42,6,33,17,2,40.0,4.0,4.0,3,8.0,3
5.0,16,15,44,46.481,41,35.5,26,306.41,26.289,27.603,40.912,17,0.091,23,6,18,9,0,41.5,0.0,0.0,0,14.6,0
5.523,26,23,72,77.544,69,58.5,43,557.1,45.422,47.392,69.52,30,0.153,40,6,29,23,2,43.5,1.4,4.3,0,8.7,3
5.688,19,18,72,78.402,69,51.0,41,560.54,43.798,46.017,69.829,26,0.111,38,7,31,17,1,37.7,2.9,4.3,0,10.1,3
6.699,17,17,64,68.265,60,43.5,35,419.59,36.659,38.87,59.76,23,0.078,31,7,29,13,0,38.3,0.0,1.7,0,11.7,1
5.0,24,23,70,74.102,66,52.5,40,498.71,42.352,45.273,65.618,28,0.1,36,6,30,21,1,42.4,0.0,1.5,0,9.1,1
5.854,24,22,71,75.308,67,53.0,40,481.65,42.385,44.836,66.65,29,0.085,36,5,31,22,2,43.3,0.0,3.0,0,7.5,2
8.509,21,17,87,92.987,82,63.5,51,634.74,52.097,53.569,83.418,34,0.138,46,4,36,21,4,41.5,2.4,7.3,2,4.9,6
5.0,22,21,70,75.247,66,53.5,42,543.67,42.722,44.296,67.265,27,0.1,38,5,28,18,1,40.9,4.5,3.0,3,7.6,2
5.0,15,11,69,74.806,66,47.5,37,460.64,40.406,42.841,65.752,26,0.087,34,6,32,13,3,39.4,0.0,3.0,0,9.1,2
5.0,23,22,61,65.112,58,49.0,37,480.59,38.115,39.557,58.956,24,0.131,34,4,24,19,1,41.4,0.0,8.6,0,6.9,5
5.959,18,16,48,50.524,45,38.0,28,332.44,29.015,30.569,44.803,20,0.063,25,4,20,16,2,44.4,0.0,2.2,0,8.9,1
6.022,20,17,41,44.878,39,40.5,29,394.4,27.334,26.966,41.229,15,0.098,27,6,12,15,3,38.5,5.1,7.7,2,15.4,3
4.301,14,11,71,78.156,69,46.5,38,554.6,42.995,46.176,69.469,25,0.099,36,5,33,13,3,36.2,2.9,4.3,0,7.2,3
5.0,24,23,70,74.731,66,53.5,41,500.63,42.263,44.017,66.381,28,0.1,37,6,29,21,1,42.4,1.5,3.0,1,9.1,2
6.561,23,22,48,50.611,45,43.0,31,375.42,30.412,30.96,45.793,20,0.083,28,5,17,19,1,44.4,0.0,6.7,0,11.1,3
6.221,22,22,50,52.734,47,41.0,30,360.45,30.73,32.023,47.131,21,0.08,27,4,20,18,0,44.7,0.0,4.3,0,8.5,2
7.552,29,28,59,61.441,55,53.0,38,451.52,37.466,38.483,55.56,26,0.085,34,5,21,25,1,47.3,0.0,5.5,0,9.1,3
6.522,24,22,50,52.657,47,45.0,32,410.49,31.82,32.818,47.978,20,0.1,29,4,18,18,2,42.6,0.0,8.5,0,8.5,4
5.96,23,22,47,48.954,44,43.0,31,454.38,31.195,33.051,44.443,20,0.064,28,5,16,19,1,45.5,2.3,2.3,0,11.4,1
6.0,23,22,47,49.452,44,43.0,31,393.48,30.553,31.637,44.727,20,0.064,28,5,16,19,1,45.5,2.3,2.3,1,11.4,1
6.048,23,22,47,49.056,44,43.0,31,409.93,30.997,32.557,44.538,20,0.064,28,5,16,19,1,45.5,2.3,2.3,0,11.4,1
6.369,23,22,64,67.481,60,50.0,38,474.64,39.013,41.205,60.178,25,0.078,34,6,26,19,1,41.7,0.0,3.3,0,10.0,2
8.45,29,28,62,66.215,58,58.0,43,537.51,40.526,39.995,60.494,27,0.081,39,5,19,25,1,46.6,6.9,5.2,4,8.6,3
7.23,23,22,65,68.687,61,50.0,38,457.58,39.046,40.767,61.211,26,0.077,34,5,27,19,1,42.6,0.0,4.9,0,8.2,3
4.699,23,22,49,51.528,46,43.0,31,374.43,30.918,31.716,46.574,21,0.082,28,4,18,19,1,45.7,0.0,6.5,0,8.7,3
4.456,13,11,41,42.239,38,31.5,24,279.36,24.665,26.006,37.825,18,0.024,21,1,17,12,2,47.4,0.0,5.3,0,2.6,2
6.292,24,22,56,59.361,53,48.0,35,447.56,35.653,37.131,53.636,23,0.107,32,5,21,20,2,43.4,0.0,5.7,0,9.4,3
6.888,23,22,47,48.954,44,43.0,31,454.38,31.195,33.051,44.443,20,0.064,28,5,16,19,1,45.5,2.3,2.3,0,11.4,1
6.0,22,22,46,48.03,43,40.0,29,347.4,28.896,29.71,43.473,20,0.087,26,3,17,18,0,46.5,0.0,7.0,0,7.0,3
4.699,16,16,31,32.575,29,28.0,20,241.27,19.601,19.972,29.494,13,0.065,18,3,11,12,0,44.8,0.0,6.9,0,10.3,2
6.14,23,22,47,49.112,44,42.0,30,375.49,30.17,31.699,44.214,20,0.064,27,5,17,19,1,45.5,0.0,2.3,0,11.4,1
6.071,23,22,47,49.452,44,43.0,31,393.48,30.553,31.637,44.727,20,0.064,28,5,16,19,1,45.5,2.3,2.3,1,11.4,1
6.721,23,22,61,65.271,58,47.0,35,446.63,37.298,39.75,57.851,24,0.098,32,6,26,19,1,41.4,0.0,1.7,0,10.3,1
6.399,23,22,47,49.452,44,43.0,31,393.48,30.553,31.637,44.727,20,0.064,28,5,16,19,1,45.5,2.3,2.3,1,11.4,1
6.721,30,28,57,58.863,53,53.0,37,456.56,36.631,38.125,53.534,25,0.088,33,4,20,24,2,47.2,0.0,5.7,0,7.5,3
6.588,23,22,54,57.152,51,45.0,33,419.55,33.938,35.676,51.309,22,0.093,30,5,21,19,1,43.1,0.0,3.9,0,9.8,2
5.921,23,22,47,49.112,44,42.0,30,375.49,30.17,31.699,44.214,20,0.064,27,5,17,19,1,45.5,0.0,2.3,0,11.4,1
4.301,28,26,91,96.341,85,67.0,52,621.82,53.239,55.836,85.152,34,0.066,46,9,39,21,2,40.0,0.0,3.5,0,10.6,3
6.921,24,22,57,60.65,54,48.0,35,446.58,35.959,37.682,54.411,23,0.105,32,6,22,20,2,42.6,0.0,3.7,0,11.1,2
6.659,23,22,57,60.567,54,46.0,34,433.58,35.465,37.438,54.192,23,0.105,31,5,23,19,1,42.6,0.0,3.7,0,9.3,2
6.051,23,22,50,52.527,47,43.0,31,389.52,31.697,33.461,47.098,21,0.06,28,5,19,19,1,44.7,0.0,2.1,0,10.6,1
6.96,23,22,57,60.567,54,46.0,34,433.58,35.465,37.438,54.192,23,0.105,31,5,23,19,1,42.6,0.0,3.7,0,9.3,2
6.329,24,22,60,64.065,57,49.0,36,460.61,37.486,39.443,57.294,24,0.1,33,6,24,20,2,42.1,0.0,3.5,0,10.5,2
4.633,19,17,43,44.614,40,38.5,28,333.37,27.369,27.949,40.589,19,0.07,25,3,15,18,2,47.5,0.0,7.5,0,7.5,3
8.398,27,26,72,74.265,66,57.0,43,491.65,42.659,44.87,65.76,29,0.069,37,7,29,20,1,43.9,0.0,1.5,0,10.6,1
7.119,27,26,66,67.434,60,55.0,41,463.59,39.606,41.347,59.992,27,0.045,35,7,25,20,1,45.0,0.0,1.7,0,11.7,1
7.569,27,26,66,67.434,60,55.0,41,463.59,39.606,41.347,59.992,27,0.061,35,7,25,20,1,45.0,0.0,1.7,0,11.7,1
7.48,27,26,69,70.85,63,56.0,42,477.62,41.133,43.108,62.876,28,0.058,36,7,27,20,1,44.4,0.0,1.6,0,11.1,1
8.0,27,26,75,77.68,69,58.0,44,505.68,44.186,46.631,68.643,30,0.067,38,7,31,20,1,43.5,0.0,1.4,0,10.1,1
5.523,27,26,75,77.68,69,58.0,44,505.68,44.186,46.631,68.643,30,0.053,38,7,31,20,1,43.5,0.0,1.4,0,10.1,1
6.0,27,26,73,75.474,67,58.0,44,507.65,43.374,45.324,67.087,29,0.068,38,7,29,20,1,43.3,0.0,3.0,0,10.4,2
5.523,27,26,72,75.284,66,60.0,46,545.62,43.809,44.682,67.298,29,0.056,40,7,26,20,1,43.9,4.5,1.5,3,10.6,1
6.78,27,26,66,67.434,60,55.0,41,463.59,39.606,41.347,59.992,27,0.045,35,7,25,20,1,45.0,0.0,1.7,0,11.7,1
5.523,27,26,67,68.351,61,55.0,41,462.6,40.111,42.103,60.774,28,0.045,35,6,26,21,1,45.9,0.0,1.6,0,9.8,1
6.618,27,26,69,70.85,63,56.0,42,477.62,41.133,43.108,62.876,28,0.058,36,7,27,20,1,44.4,0.0,1.6,0,11.1,1
5.567,19,16,49,51.365,46,42.0,31,378.41,30.831,31.375,46.909,21,0.102,28,2,18,18,3,45.7,0.0,10.9,0,4.3,5
4.301,19,17,44,45.531,41,38.5,28,332.38,27.875,28.705,41.371,20,0.068,25,2,16,19,2,48.8,0.0,7.3,0,4.9,3
7.0,26,23,68,71.947,64,57.5,43,528.58,42.838,43.608,65.276,29,0.103,39,4,25,25,3,45.3,1.6,7.8,1,6.3,5
5.495,27,26,64,67.508,60,54.0,40,522.08,40.335,42.307,60.72,25,0.125,36,7,24,20,1,41.7,1.7,3.3,0,11.7,2
6.699,22,22,72,74.939,67,52.0,41,517.78,43.044,46.677,66.476,28,0.125,36,5,31,18,0,41.8,0.0,1.5,0,7.5,1
7.34,29,28,60,61.986,56,52.0,37,453.6,37.949,40.188,55.872,27,0.083,33,3,23,24,1,48.2,0.0,3.6,0,5.4,2
4.62,17,15,42,43.95,39,35.5,26,309.37,25.85,26.739,39.331,18,0.024,23,3,16,14,2,46.2,2.6,2.6,1,7.7,1
4.753,21,21,41,40.989,37,37.5,27,318.43,25.907,27.478,36.902,18,0.073,23,4,14,16,0,48.6,0.0,0.0,0,10.8,0
8.745,24,23,54,57.959,51,47.5,35,436.47,34.691,35.142,52.225,24,0.074,32,4,19,21,1,47.1,5.9,2.0,3,7.8,1
7.553,23,22,46,49.214,43,45.0,33,430.45,30.814,30.756,44.971,19,0.065,30,6,13,18,1,44.2,7.0,2.3,3,14.0,1
4.321,16,16,51,52.65,47,37.0,29,350.53,30.014,32.523,46.436,20,0.059,25,4,22,13,0,42.6,0.0,0.0,0,8.5,0
6.587,23,22,77,81.951,72,58.0,46,580.74,46.555,48.608,72.923,30,0.078,41,6,31,20,1,41.7,4.2,1.4,3,8.3,1
7.658,23,22,46,49.554,43,46.0,34,448.44,31.198,30.693,45.483,19,0.065,31,6,12,18,1,44.2,9.3,2.3,4,14.0,1
5.0,25,22,65,69.704,62,54.0,40,562.52,41.603,43.585,63.262,25,0.138,37,5,25,19,3,40.3,3.2,6.5,0,8.1,4
5.721,23,22,70,76.438,67,52.0,40,507.63,41.999,43.478,67.81,26,0.186,37,7,30,18,1,38.8,1.5,4.5,1,10.4,3
6.0,21,21,56,57.441,51,45.5,35,403.48,33.466,34.483,51.56,22,0.0,30,5,21,15,0,43.1,0.0,5.9,0,9.8,3
8.301,28,26,72,73.976,66,59.0,44,504.64,43.353,45.319,65.985,30,0.056,38,6,28,23,2,45.5,0.0,3.0,0,9.1,2
6.955,25,24,77,81.849,73,56.0,43,522.7,46.132,48.807,72.643,32,0.104,39,4,34,23,1,43.8,0.0,4.1,0,5.5,3
7.167,24,24,57,60.94,54,47.0,35,430.51,35.487,36.489,54.662,23,0.14,32,6,22,20,0,42.6,0.0,5.6,0,11.1,3
7.183,20,18,67,73.54,64,53.0,41,526.59,41.698,42.375,65.592,27,0.06,38,6,26,17,1,42.2,6.3,1.6,4,9.4,1
8.699,28,26,76,78.6,70,61.0,46,534.67,45.594,47.534,70.196,31,0.066,40,6,30,23,2,44.3,0.0,4.3,0,8.6,3
9.0,28,26,75,77.731,69,61.0,46,536.66,45.263,47.017,69.381,31,0.053,40,6,29,23,2,44.9,1.4,2.9,1,8.7,2
6.815,25,24,53,56.753,50,49.0,36,450.45,34.879,34.836,51.669,24,0.094,33,4,17,22,1,48.0,6.0,4.0,3,8.0,2
6.411,25,24,77,83.241,73,59.0,46,576.68,47.083,48.415,74.174,31,0.091,42,6,31,22,1,42.5,4.1,2.7,3,8.2,2
8.301,28,26,75,77.312,69,61.0,46,535.65,45.288,46.983,69.421,31,0.08,40,5,29,23,2,44.9,0.0,5.8,0,7.2,4
6.335,25,24,74,79.825,70,58.0,45,562.65,45.556,46.654,71.29,30,0.095,41,6,29,22,1,42.9,4.3,2.9,3,8.6,2
7.328,20,18,43,47.053,41,43.0,31,400.36,29.494,28.796,43.087,20,0.047,29,4,12,17,1,48.8,9.8,2.4,4,9.8,1
9.0,25,24,58,62.666,55,51.0,38,479.5,37.428,37.603,56.654,25,0.103,35,5,20,22,1,45.5,5.5,3.6,3,9.1,2
7.337,25,24,77,85.079,74,59.0,46,597.68,47.488,48.358,75.788,30,0.143,43,7,31,22,1,40.5,5.4,2.7,4,9.5,2
7.319,21,20,60,61.853,55,46.0,35,399.54,35.09,37.097,54.672,24,0.033,30,5,25,16,1,43.6,0.0,1.8,0,9.1,1
8.523,28,26,79,82.016,73,62.0,47,548.7,47.121,49.296,73.08,32,0.063,41,6,32,23,2,43.8,0.0,4.1,0,8.2,3
8.398,28,26,79,82.016,73,62.0,47,548.7,47.121,49.296,73.08,32,0.063,41,6,32,23,2,43.8,0.0,4.1,0,8.2,3
7.699,27,25,70,71.687,64,57.5,43,493.61,42.046,43.767,64.211,29,0.057,37,5,27,21,2,45.3,0.0,4.7,0,7.8,3
7.466,20,18,62,67.287,59,50.0,38,479.55,38.766,39.671,60.094,26,0.048,35,5,24,17,1,44.1,5.1,1.7,3,8.5,1
6.499,25,24,72,77.62,68,58.0,45,564.62,44.744,45.347,69.734,29,0.097,41,6,27,22,1,42.6,4.4,4.4,3,8.8,3
6.53,25,24,76,82.324,72,59.0,46,577.67,46.578,47.66,73.392,30,0.092,42,7,30,21,1,41.7,4.2,2.8,3,9.7,2
8.523,28,26,72,73.92,66,60.0,45,539.08,44.18,46.176,66.309,30,0.056,39,6,27,23,2,45.5,1.5,3.0,0,9.1,2
8.699,28,26,75,77.391,69,60.0,45,518.67,44.88,47.08,68.869,31,0.053,39,6,30,23,2,44.9,0.0,2.9,0,8.7,2
8.523,28,26,76,78.311,70,61.0,46,550.74,46.067,48.728,69.945,31,0.066,40,6,30,23,2,44.3,0.0,2.9,0,8.6,2
7.959,22,20,69,72.102,64,52.0,40,471.61,40.573,42.529,64.094,27,0.072,35,5,29,17,2,42.2,0.0,4.7,0,7.8,3
7.745,22,20,66,68.687,61,51.0,39,457.58,39.046,40.767,61.211,26,0.076,34,5,27,17,2,42.6,0.0,4.9,0,8.2,3
6.638,21,20,60,61.853,55,46.0,35,399.54,35.09,37.097,54.672,24,0.05,30,5,25,16,1,43.6,0.0,1.8,0,9.1,1
