pXC50,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.,nAB,nAT,nB,nBM,nBO,nBR
2.4,7.877,34.2,44.7,1.038,1.139,0.613,0.612,299.31,2.6,6,38,0,7,22,0
2.6,7.39,26.5,50.0,1.043,1.155,0.567,0.566,251.27,2.9,0,34,0,1,17,0
4.0,6.878,28.3,52.2,1.019,1.156,0.585,0.564,316.41,8.7,0,46,0,4,21,0
6.8,8.492,25.8,41.9,1.065,1.162,0.581,0.603,263.24,9.7,0,31,0,2,19,0
3.5,8.008,25.7,45.7,1.057,1.159,0.571,0.584,280.27,5.7,0,35,0,2,19,0
5.512,8.559,27.6,41.4,1.066,1.156,0.586,0.61,248.22,6.9,0,29,0,2,18,0
4.357,10.004,26.7,46.7,1.049,1.15,0.614,0.601,300.13,3.3,0,30,0,1,16,1
4.796,8.008,25.7,45.7,1.057,1.159,0.571,0.584,280.27,5.7,0,35,0,2,19,0
4.405,8.807,26.7,40.0,1.075,1.158,0.582,0.613,264.22,6.7,0,30,0,2,19,0
4.212,8.195,28.1,43.8,1.056,1.155,0.586,0.6,262.25,6.3,0,32,0,2,19,0
4.405,7.129,27.3,51.5,1.034,1.154,0.57,0.561,235.27,3.0,0,33,0,1,16,0
3.4,7.663,24.1,48.3,1.051,1.164,0.562,0.569,222.23,6.9,0,29,0,1,15,0
2.1,7.534,34.2,47.4,1.033,1.137,0.606,0.599,286.31,0.0,6,38,0,6,21,0
2.3,7.657,35.1,45.9,1.031,1.137,0.617,0.609,283.31,2.7,6,37,0,7,21,0
1.9,7.657,35.1,45.9,1.031,1.137,0.617,0.609,283.31,2.7,6,37,0,7,21,0
1.8,7.83,25.0,46.4,1.049,1.165,0.575,0.581,219.23,10.7,0,28,0,2,15,0
7.5,7.053,39.7,48.5,1.003,1.129,0.643,0.611,479.63,4.4,16,68,0,17,39,0
2.9,7.273,29.4,50.0,1.033,1.149,0.583,0.574,247.28,2.9,0,34,0,1,18,0
4.5,7.375,26.7,50.0,1.042,1.155,0.569,0.567,221.24,3.3,0,30,0,1,15,0
1.4,7.375,26.7,50.0,1.042,1.155,0.569,0.567,221.24,3.3,0,30,0,1,15,0
3.5,7.642,34.1,46.3,1.033,1.139,0.611,0.604,313.34,2.4,6,41,0,7,23,0
1.6,8.333,35.0,42.5,1.051,1.154,0.612,0.62,333.32,2.5,6,40,0,7,24,0
4.374,8.523,26.7,46.7,1.052,1.154,0.597,0.594,255.68,3.3,0,30,0,1,16,0
2.6,7.772,36.8,44.7,1.03,1.134,0.627,0.619,295.32,2.6,10,38,0,10,23,0
2.8,7.193,25.9,51.9,1.043,1.154,0.558,0.555,194.21,0.0,0,27,0,0,13,0
4.07,7.653,25.8,48.4,1.051,1.157,0.565,0.571,237.24,3.2,0,31,0,1,16,0
1.6,7.83,25.0,46.4,1.049,1.165,0.575,0.581,219.23,10.7,0,28,0,2,15,0
4.357,10.004,26.7,46.7,1.049,1.15,0.614,0.601,300.13,3.3,0,30,0,1,16,1
3.28,8.48,27.8,41.7,1.062,1.157,0.589,0.61,305.28,8.3,0,36,0,3,22,0
4.0,8.037,34.3,42.9,1.036,1.144,0.625,0.623,281.3,8.6,6,35,0,9,20,0
4.014,6.925,27.8,52.8,1.028,1.153,0.572,0.557,249.3,2.8,0,36,0,1,17,0
5.224,9.113,27.6,41.4,1.057,1.147,0.627,0.626,264.29,6.9,0,29,0,2,18,0
4.783,8.559,27.6,41.4,1.066,1.156,0.586,0.61,248.22,6.9,0,29,0,2,18,0
