pXC50,JGI2,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4e,ATS4i,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS7v,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATS8v,ATSC1e,ATSC1i,ATSC1m,ATSC1p,ATSC1s,ATSC1v,ATSC2e,ATSC2i,ATSC2m,ATSC2p,ATSC2s,ATSC2v,ATSC3e,ATSC3i,ATSC3m,ATSC3p,ATSC3s,ATSC3v,ATSC4e,ATSC4i,ATSC4m,ATSC4p,ATSC4s,ATSC4v,ATSC5e,ATSC5i,ATSC5m,ATSC5p,ATSC5s,ATSC5v,ATSC6e,ATSC6i,ATSC6m,ATSC6p,ATSC6s,ATSC6v,ATSC7e,ATSC7i,ATSC7m,ATSC7p,ATSC7s,ATSC7v,ATSC8e,ATSC8i,ATSC8m,ATSC8p,ATSC8s,ATSC8v,BAC,BBI,BIC0,BIC1,BIC2,BIC3,BIC4,BIC5,BID,BLI,BLTA96,BLTD48,BLTF96,C.,C.001,C.002,C.003,C.006,C.013,C.014,C.024,C.025,C.026,C.027,C.028,C.034,C.035,C.040,CATS2D_00_DD,CATS2D_00_DP,CATS2D_00_PP,CATS2D_01_AN,CATS2D_01_DN,CATS2D_01_LL,CATS2D_01_NL,CATS2D_02_AL,CATS2D_02_AN,CATS2D_02_AP,CATS2D_02_DA,CATS2D_02_DL,CATS2D_02_DN,CATS2D_02_LL,CATS2D_02_NL,CATS2D_02_PL,CATS2D_03_AA,CATS2D_03_AL,CATS2D_03_AN,CATS2D_03_AP,CATS2D_03_DD,CATS2D_03_DL,CATS2D_03_DN,CATS2D_03_LL,CATS2D_03_NL,CATS2D_03_PL,CATS2D_04_AA,CATS2D_04_AL,CATS2D_04_AN,CATS2D_04_DD,CATS2D_04_DL,CATS2D_04_DP,CATS2D_04_LL,CATS2D_04_NL,CATS2D_04_PL,CATS2D_05_AA,CATS2D_05_AL,CATS2D_05_AN,CATS2D_05_DA,CATS2D_05_DL,CATS2D_05_LL
6.523,0.074,1.801,11.111,6.065,36.788,93.42,8.961,0.586,3.87,3.96,3.557,3.394,5.166,3.424,4.386,4.504,4.028,3.758,6.245,3.776,4.498,4.648,3.884,3.886,5.738,3.852,4.656,4.848,3.915,3.904,5.931,3.864,4.68,4.885,3.861,3.847,6.023,3.818,4.583,4.784,3.696,3.733,5.876,3.694,4.43,4.647,3.575,3.576,5.61,3.533,4.271,4.46,3.603,3.422,5.662,3.436,0.256,0.794,5.698,4.017,39.909,3.861,1.226,1.508,12.989,6.455,173.299,6.826,0.557,1.244,13.798,7.607,67.111,8.616,0.736,1.44,19.359,8.749,82.133,10.37,0.986,1.505,23.225,9.276,147.371,10.323,0.908,1.256,20.517,8.006,132.788,8.816,0.677,0.976,18.608,6.954,92.912,8.681,0.549,1.008,14.147,5.808,69.03,6.615,42,42,0.314,0.656,0.756,0.847,0.858,0.858,3.34,0.822,-4.41,-4.34,-4.09,45.2,1,1,0,0,0,1,8,4,1,0,1,1,0,1,0,0,0,1,1,13,0,3,1,0,1,2,0,18,1,0,1,5,0,0,0,2,1,18,1,0,0,3,0,1,2,0,14,2,0,0,5,0,0,4,12
5.699,0.079,1.801,11.926,6.065,36.788,93.42,8.961,0.586,3.87,3.96,3.557,3.394,5.166,3.424,4.386,4.504,4.028,3.758,6.244,3.776,4.498,4.648,3.884,3.886,5.74,3.852,4.656,4.847,3.898,3.896,5.936,3.853,4.678,4.894,3.817,3.805,6.015,3.771,4.521,4.727,3.612,3.629,5.835,3.595,4.31,4.525,3.41,3.409,5.531,3.369,4.127,4.331,3.399,3.246,5.488,3.253,0.256,0.794,5.698,4.017,39.909,3.861,1.226,1.508,12.989,6.455,173.188,6.826,0.557,1.244,13.798,7.607,67.611,8.616,0.732,1.434,19.192,8.748,80.193,10.361,1.008,1.469,24.243,9.224,149.853,10.505,0.89,1.167,19.819,7.399,130.879,8.109,0.631,0.848,16.501,6.002,81.575,7.295,0.556,0.874,13.795,5.228,75.84,5.923,42,42,0.314,0.656,0.734,0.8,0.825,0.825,3.339,0.822,-4.41,-4.34,-4.09,45.2,1,1,0,0,0,1,8,4,1,0,1,1,0,1,0,0,0,1,1,13,0,3,1,0,1,2,0,18,1,0,1,5,0,0,0,2,1,18,1,0,0,3,0,1,2,0,13,2,0,0,5,0,0,4,10
6.523,0.08,1.54,10.167,3.824,14.625,91.584,8.138,0.654,3.763,3.864,3.395,3.386,5.038,3.37,4.215,4.35,3.734,3.757,5.494,3.721,4.437,4.599,3.772,3.882,5.647,3.815,4.567,4.777,3.704,3.863,5.721,3.775,4.511,4.724,3.614,3.787,5.651,3.702,4.439,4.64,3.534,3.71,5.607,3.626,4.365,4.598,3.419,3.57,5.507,3.482,4.135,4.354,3.291,3.367,5.367,3.304,0.068,0.534,6.38,3.316,12.426,3.873,0.153,0.823,11.14,5.477,35.025,6.853,0.194,1.021,14.842,6.903,31.948,8.77,0.28,1.153,19.376,7.789,45.975,10.225,0.256,1.033,19.511,7.847,58.606,9.955,0.241,0.968,17.567,7.076,46.049,8.76,0.211,0.893,17.621,6.805,44.502,8.908,0.157,0.733,13.308,5.027,37.207,6.478,21,36,0.27,0.64,0.748,0.846,0.859,0.859,3.228,0.859,-3.99,-3.94,-3.74,48.7,1,1,0,0,0,0,8,5,0,0,1,1,0,2,0,0,0,1,1,15,0,2,1,0,1,2,0,20,1,0,1,5,0,0,0,2,1,19,1,0,0,4,0,1,2,0,15,2,0,0,5,0,0,4,14
6.699,0.088,1.59,10.28,2.948,8.688,94.427,7.985,0.63,3.841,3.951,3.445,3.417,5.1,3.408,4.295,4.433,3.804,3.795,5.636,3.765,4.517,4.674,3.84,3.923,5.755,3.866,4.655,4.859,3.781,3.92,5.83,3.839,4.626,4.847,3.664,3.85,5.748,3.76,4.516,4.728,3.577,3.753,5.651,3.666,4.421,4.645,3.508,3.616,5.58,3.54,4.269,4.477,3.405,3.458,5.508,3.404,0.103,0.599,7.464,3.647,15.747,4.292,0.228,0.909,12.78,6.08,47.885,7.685,0.27,1.1,16.858,7.589,41.787,9.533,0.365,1.224,21.648,8.468,52.092,11.119,0.366,1.127,22.771,8.734,69.427,11.373,0.303,1.026,19.732,7.667,50.937,9.934,0.257,0.922,18.498,6.975,45.14,9.25,0.24,0.803,15.409,5.589,44.166,7.19,30,38,0.276,0.633,0.743,0.834,0.866,0.866,3.267,0.858,-3.63,-3.6,-3.43,45.2,1,1,0,0,0,0,8,5,0,0,1,1,0,2,1,1,1,1,1,15,0,2,1,1,2,3,0,20,1,1,1,5,0,0,0,4,1,19,1,2,0,4,0,1,4,0,15,2,2,0,5,0,0,5,14
5.959,0.088,1.584,10.28,3.55,12.601,92.605,8.204,0.63,3.825,3.917,3.448,3.401,5.108,3.4,4.276,4.398,3.811,3.777,5.687,3.755,4.496,4.647,3.843,3.905,5.753,3.854,4.643,4.837,3.785,3.895,5.853,3.825,4.595,4.802,3.665,3.821,5.752,3.743,4.488,4.69,3.579,3.733,5.65,3.654,4.413,4.632,3.515,3.597,5.604,3.53,4.251,4.445,3.411,3.419,5.538,3.382,0.126,0.553,6.906,3.703,17.388,4.068,0.302,0.856,11.856,5.952,59.11,7.195,0.29,1.051,15.76,7.502,37.972,9.15,0.445,1.176,21.128,8.49,58.611,10.645,0.445,1.073,21.784,8.536,77.944,10.655,0.349,0.996,18.644,7.451,51.611,9.364,0.317,0.901,18.311,7.011,47.722,9.062,0.315,0.755,15.136,5.628,52.111,6.797,30,38,0.276,0.617,0.719,0.83,0.87,0.87,3.267,0.85,-4.03,-3.98,-3.77,46.3,1,1,0,0,0,0,8,5,0,0,1,1,0,2,0,0,0,2,2,15,1,2,1,0,2,3,0,20,3,0,1,5,0,0,0,4,1,19,3,0,0,4,0,1,4,0,15,3,0,0,5,0,0,5,14
6.398,0.074,1.562,11.0,3.585,12.849,97.154,7.964,0.607,3.886,3.983,3.485,3.458,5.139,3.449,4.351,4.484,3.84,3.837,5.713,3.804,4.583,4.741,3.846,3.97,5.782,3.903,4.709,4.92,3.83,3.975,5.839,3.888,4.684,4.89,3.762,3.899,5.876,3.825,4.582,4.782,3.626,3.799,5.762,3.718,4.471,4.701,3.506,3.673,5.548,3.58,4.323,4.535,3.475,3.536,5.522,3.474,0.115,0.594,7.871,4.065,17.464,4.651,0.295,0.927,13.699,6.598,61.332,8.236,0.349,1.137,18.555,8.278,56.696,10.221,0.354,1.27,23.27,9.436,45.926,12.596,0.424,1.164,23.987,9.304,74.513,11.763,0.405,1.073,21.193,8.09,67.589,10.094,0.285,0.963,19.652,7.582,49.572,10.143,0.218,0.832,16.336,6.358,35.161,8.327,31,39,0.268,0.616,0.734,0.851,0.873,0.873,3.304,0.869,-3.99,-3.94,-3.74,45.5,1,2,0,0,0,0,8,5,0,0,1,1,0,2,0,0,0,2,2,16,1,2,1,0,2,3,0,22,2,0,1,4,0,0,0,3,1,21,3,0,0,4,0,1,4,0,16,4,0,0,6,0,0,6,15
6.398,0.074,1.565,8.773,2.795,7.811,83.689,7.928,0.708,3.719,3.828,3.332,3.302,4.944,3.29,4.177,4.324,3.664,3.668,5.441,3.636,4.366,4.536,3.672,3.776,5.524,3.709,4.491,4.708,3.616,3.761,5.579,3.674,4.448,4.661,3.556,3.7,5.569,3.622,4.385,4.588,3.447,3.612,5.549,3.53,4.303,4.555,3.268,3.429,5.373,3.336,3.999,4.216,3.121,3.187,5.157,3.121,0.07,0.534,6.589,3.212,9.643,3.86,0.174,0.824,11.531,5.132,33.91,6.581,0.205,0.967,14.64,6.406,29.399,8.331,0.275,1.054,18.66,7.2,34.762,9.729,0.254,0.967,18.601,7.138,45.934,9.246,0.246,0.917,16.987,6.413,43.285,8.141,0.245,0.819,17.387,6.046,41.379,8.179,0.13,0.622,11.738,4.332,23.631,5.722,11,33,0.279,0.655,0.804,0.888,0.898,0.898,3.147,0.864,-3.33,-3.31,-3.17,45.9,1,1,0,0,0,0,6,4,0,2,1,1,0,1,0,0,0,1,1,11,0,3,1,0,1,2,0,14,1,0,1,5,0,0,0,2,1,13,1,0,0,4,0,1,2,0,10,2,0,0,6,0,0,4,8
6.523,0.074,1.565,8.773,2.795,7.811,83.689,7.928,0.708,3.719,3.828,3.332,3.302,4.944,3.29,4.177,4.324,3.664,3.668,5.443,3.636,4.366,4.536,3.668,3.781,5.519,3.713,4.488,4.7,3.613,3.779,5.57,3.687,4.465,4.68,3.558,3.72,5.575,3.634,4.409,4.621,3.448,3.616,5.56,3.532,4.289,4.535,3.273,3.422,5.367,3.33,4.019,4.252,3.112,3.181,5.166,3.118,0.07,0.534,6.589,3.212,9.643,3.86,0.174,0.824,11.531,5.132,33.919,6.581,0.213,0.965,14.679,6.407,30.049,8.314,0.26,1.046,18.371,7.354,33.208,9.879,0.24,0.976,18.937,7.482,45.122,9.737,0.264,0.937,17.747,6.527,45.313,8.368,0.223,0.808,16.92,6.026,39.51,8.131,0.166,0.634,12.437,4.275,27.049,5.7,11,33,0.279,0.655,0.784,0.859,0.859,0.859,3.147,0.864,-3.33,-3.31,-3.17,45.9,1,1,0,0,0,0,6,4,0,2,1,1,0,1,0,0,0,1,1,11,0,3,1,0,1,2,0,15,1,0,1,4,0,0,0,2,1,14,1,0,0,3,0,1,2,0,10,2,0,0,6,0,0,4,8
6.301,0.065,1.547,10.304,3.987,15.898,86.951,7.907,0.68,3.773,3.871,3.381,3.339,4.992,3.333,4.231,4.363,3.718,3.683,5.507,3.662,4.437,4.601,3.704,3.751,5.604,3.703,4.496,4.703,3.601,3.713,5.592,3.64,4.414,4.619,3.549,3.678,5.548,3.607,4.392,4.581,3.453,3.623,5.582,3.544,4.314,4.563,3.171,3.394,5.382,3.28,3.961,4.203,2.918,3.008,5.019,2.92,0.08,0.53,7.053,3.551,9.92,4.124,0.175,0.815,12.237,5.665,33.224,6.989,0.309,0.961,16.751,6.84,35.847,8.395,0.367,1.013,19.354,7.176,38.967,9.259,0.275,0.909,18.03,7.094,44.851,9.012,0.29,0.9,17.035,6.564,43.307,8.061,0.255,0.802,17.645,6.352,40.06,8.5,0.279,0.529,12.778,4.498,34.455,5.938,11,34,0.273,0.605,0.698,0.791,0.831,0.831,3.188,0.867,-4.1,-4.05,-3.83,46.2,1,1,0,0,0,0,9,2,2,0,1,1,0,1,0,0,0,1,1,10,0,5,1,0,1,2,0,12,1,0,1,7,0,0,0,2,1,9,1,0,0,4,0,1,2,0,7,2,0,0,5,0,0,4,10
6.222,0.059,1.547,9.522,3.987,15.898,86.951,7.907,0.68,3.773,3.871,3.381,3.339,4.992,3.333,4.231,4.363,3.718,3.683,5.508,3.662,4.437,4.601,3.704,3.751,5.6,3.703,4.496,4.703,3.631,3.714,5.594,3.649,4.428,4.617,3.583,3.696,5.579,3.637,4.424,4.613,3.548,3.685,5.596,3.613,4.39,4.613,3.403,3.53,5.502,3.44,4.175,4.406,3.112,3.264,5.331,3.164,0.08,0.53,7.053,3.551,9.92,4.124,0.175,0.815,12.237,5.665,33.224,6.989,0.309,0.961,16.751,6.84,35.841,8.395,0.353,1.013,19.331,7.175,38.514,9.281,0.326,0.912,18.122,7.03,46.757,8.573,0.259,0.937,17.384,6.88,42.168,8.584,0.324,0.869,18.222,6.84,41.045,8.992,0.449,0.676,15.577,5.423,47.051,7.092,11,34,0.273,0.605,0.707,0.815,0.855,0.867,3.188,0.867,-4.1,-4.05,-3.83,46.2,1,1,0,0,0,0,9,2,2,0,1,1,0,1,0,0,0,1,1,10,0,5,1,0,1,2,0,12,1,0,1,7,0,0,0,2,1,8,1,0,0,5,0,1,2,0,7,2,0,0,5,0,0,4,11
6.699,0.086,1.52,7.3,3.335,11.125,77.16,7.833,0.727,3.637,3.742,3.242,3.24,4.839,3.222,4.106,4.246,3.597,3.623,5.359,3.584,4.31,4.477,3.628,3.741,5.452,3.673,4.433,4.637,3.552,3.73,5.516,3.636,4.403,4.625,3.423,3.628,5.482,3.529,4.289,4.503,3.384,3.497,5.436,3.426,4.16,4.374,3.288,3.328,5.378,3.272,3.998,4.233,2.795,2.953,5.262,2.859,0.063,0.47,6.201,3.06,8.969,3.674,0.144,0.738,10.797,5.037,31.323,6.457,0.186,0.891,14.067,6.237,27.821,8.115,0.233,0.991,17.249,6.949,30.512,9.259,0.218,0.902,18.214,7.163,43.919,9.322,0.215,0.819,16.15,5.977,41.765,7.659,0.144,0.735,13.891,5.009,27.457,6.508,0.193,0.587,12.766,4.157,34.727,5.235,11,31,0.277,0.632,0.734,0.818,0.869,0.89,3.059,0.873,-3.95,-3.9,-3.7,47.1,1,1,0,0,0,0,7,4,0,0,1,1,0,1,0,0,0,1,1,13,0,1,1,0,1,2,0,18,1,0,1,3,0,0,0,2,1,18,1,0,0,2,0,1,2,0,13,2,0,0,4,0,0,4,8
5.959,0.079,1.52,8.0,3.335,11.125,77.16,7.833,0.727,3.637,3.742,3.242,3.24,4.838,3.222,4.106,4.246,3.597,3.623,5.362,3.584,4.31,4.477,3.606,3.732,5.46,3.659,4.429,4.648,3.492,3.682,5.499,3.581,4.33,4.555,3.344,3.529,5.424,3.435,4.194,4.401,3.231,3.385,5.376,3.307,4.081,4.321,3.107,3.22,5.198,3.142,3.801,4.012,2.939,2.984,5.003,2.929,0.063,0.47,6.201,3.06,8.968,3.674,0.144,0.738,10.797,5.037,31.279,6.457,0.182,0.891,14.018,6.237,27.618,8.11,0.245,0.98,17.778,6.95,32.213,9.386,0.217,0.833,17.182,6.588,43.027,8.561,0.213,0.741,14.521,5.305,40.25,6.639,0.179,0.651,13.798,4.929,34.064,6.493,0.106,0.503,9.685,3.534,20.674,4.555,11,31,0.277,0.632,0.738,0.833,0.858,0.879,3.058,0.872,-3.95,-3.9,-3.7,47.1,1,1,0,0,0,0,7,4,0,0,1,1,0,1,0,0,0,1,1,13,0,1,1,0,1,2,0,18,1,0,1,3,0,0,0,2,1,17,1,0,0,2,0,1,2,0,11,2,0,0,4,0,0,4,8
5.77,0.079,1.606,8.0,2.62,6.866,74.208,8.1,0.727,3.62,3.727,3.251,3.195,4.849,3.191,4.085,4.227,3.611,3.56,5.38,3.542,4.275,4.451,3.616,3.642,5.479,3.599,4.35,4.561,3.497,3.586,5.485,3.516,4.267,4.487,3.36,3.439,5.432,3.372,4.133,4.339,3.236,3.304,5.407,3.246,3.976,4.202,3.096,3.177,5.106,3.111,3.781,3.985,2.939,2.977,4.996,2.925,0.079,0.489,5.694,2.828,9.716,3.309,0.173,0.763,10.091,4.555,32.856,5.789,0.252,0.903,13.269,5.256,31.969,6.773,0.296,0.927,15.73,5.725,33.943,7.606,0.308,0.801,15.848,5.74,46.496,7.345,0.358,0.698,13.587,4.549,51.33,5.677,0.17,0.595,11.741,4.311,26.346,5.697,0.134,0.488,9.197,3.431,21.165,4.373,11,31,0.294,0.687,0.778,0.864,0.886,0.886,3.058,0.855,-2.91,-2.92,-2.82,45.5,1,1,0,0,0,0,6,2,0,0,3,1,0,1,0,0,0,1,1,7,0,5,1,0,1,2,0,8,1,0,1,7,0,0,0,2,1,8,1,0,0,2,0,1,1,0,6,1,0,1,3,1,1,2,6
6.523,0.08,1.597,9.542,4.818,23.211,90.69,7.912,0.654,3.812,3.919,3.415,3.401,5.033,3.385,4.292,4.438,3.765,3.773,5.577,3.737,4.524,4.71,3.8,3.88,5.717,3.818,4.599,4.806,3.745,3.88,5.725,3.801,4.604,4.821,3.667,3.86,5.67,3.767,4.561,4.775,3.665,3.78,5.749,3.704,4.516,4.736,3.488,3.629,5.733,3.552,4.292,4.539,3.334,3.424,5.425,3.345,0.083,0.626,7.328,3.849,12.026,4.509,0.184,0.991,13.124,6.317,36.806,7.871,0.302,1.222,18.533,7.989,47.463,10.052,0.367,1.251,20.768,8.129,48.986,10.503,0.314,1.155,21.766,8.648,58.228,11.264,0.276,1.136,20.775,8.18,45.304,10.508,0.432,1.08,21.338,7.655,77.872,9.241,0.24,0.886,17.115,6.291,42.822,8.268,21,36,0.279,0.632,0.76,0.854,0.866,0.866,3.229,0.891,-4.97,-4.87,-4.57,46.3,1,2,0,0,0,0,8,4,1,0,1,1,0,1,0,0,0,1,1,14,0,1,1,0,1,2,0,18,1,0,1,3,0,0,0,3,1,19,1,0,0,3,0,1,2,0,15,2,0,0,4,0,0,4,13
6.301,0.082,1.57,9.64,5.28,27.882,95.264,7.691,0.63,3.874,3.985,3.453,3.458,5.074,3.435,4.367,4.521,3.815,3.841,5.616,3.798,4.613,4.8,3.859,3.968,5.781,3.895,4.733,4.961,3.826,3.978,5.812,3.892,4.716,4.938,3.736,3.963,5.75,3.861,4.672,4.895,3.782,3.887,5.846,3.81,4.653,4.858,3.582,3.76,5.902,3.68,4.465,4.73,3.418,3.577,5.525,3.473,0.074,0.666,8.285,4.215,11.707,5.075,0.177,1.061,14.94,6.957,39.463,8.87,0.272,1.329,20.622,8.891,46.95,11.398,0.397,1.405,25.093,9.276,53.842,12.482,0.318,1.295,24.634,9.541,61.193,12.69,0.232,1.255,23.671,9.278,43.778,12.258,0.511,1.202,24.514,8.601,97.566,10.183,0.248,1.022,20.855,7.614,47.272,10.351,30,38,0.271,0.618,0.737,0.823,0.834,0.834,3.267,0.901,-5.19,-5.09,-4.76,45.5,2,1,1,0,0,0,8,4,1,0,1,1,0,1,0,0,0,1,1,15,0,1,1,0,1,2,0,19,1,0,1,3,0,0,0,4,1,20,1,0,0,4,0,1,2,0,16,2,0,0,4,0,0,4,14
5.921,0.078,1.655,10.12,4.462,19.912,91.686,8.104,0.63,3.848,3.947,3.468,3.398,5.088,3.399,4.328,4.463,3.813,3.753,5.643,3.738,4.536,4.707,3.843,3.843,5.769,3.807,4.563,4.749,3.8,3.845,5.731,3.796,4.61,4.802,3.781,3.861,5.801,3.797,4.608,4.823,3.734,3.807,5.742,3.744,4.55,4.755,3.634,3.662,5.813,3.618,4.407,4.618,3.454,3.492,5.646,3.443,0.118,0.639,7.281,3.946,13.571,4.409,0.324,0.991,13.537,6.344,40.935,7.514,0.48,1.183,18.819,7.897,54.902,9.397,0.441,1.193,19.32,7.717,49.863,9.51,0.578,1.161,21.049,8.146,68.353,10.305,0.382,1.184,21.622,8.27,41.029,10.653,0.517,1.099,21.49,7.727,75.976,9.151,0.458,0.938,18.9,6.598,67.553,7.933,22,37,0.288,0.642,0.767,0.858,0.87,0.87,3.267,0.874,-4.85,-4.76,-4.47,45.2,1,1,0,1,0,0,8,4,1,0,1,0,1,1,0,0,0,1,1,13,0,3,1,0,2,1,0,17,1,0,2,3,0,0,0,2,1,17,1,0,0,3,1,1,3,0,14,1,0,1,6,0,1,3,11
5.745,0.072,1.547,10.821,5.815,33.817,106.235,8.276,0.742,3.917,4.014,3.567,3.555,5.161,3.541,4.375,4.493,3.92,3.933,5.685,3.902,4.625,4.794,3.956,4.042,5.812,3.981,4.698,4.894,3.928,4.018,5.876,3.955,4.667,4.86,3.903,4.026,5.769,3.958,4.697,4.895,3.935,4.01,5.895,3.949,4.692,4.888,3.838,3.905,5.971,3.853,4.539,4.748,3.682,3.754,5.775,3.695,0.08,0.647,7.118,3.966,11.627,4.493,0.164,1.025,12.027,6.472,32.993,7.676,0.272,1.324,18.506,8.777,40.855,10.729,0.387,1.388,21.827,8.999,61.695,11.039,0.259,1.287,20.756,8.932,46.521,11.128,0.218,1.349,21.565,9.263,31.65,11.62,0.406,1.323,23.315,9.339,73.682,10.692,0.32,1.13,20.433,8.161,59.772,9.76,11,43,0.261,0.534,0.651,0.809,0.86,0.86,3.375,0.854,-5.89,-5.75,-5.35,51.1,0,1,0,0,0,0,13,5,1,0,1,1,0,1,0,0,0,1,1,19,0,2,0,0,1,1,1,24,1,0,0,4,1,0,1,3,0,23,1,0,1,4,0,0,4,0,18,2,0,0,5,0,0,6,17
6.155,0.066,1.528,11.483,5.85,34.223,110.785,8.051,0.719,3.973,4.073,3.6,3.604,5.191,3.584,4.443,4.571,3.946,3.984,5.715,3.944,4.698,4.874,3.966,4.096,5.845,4.021,4.785,4.995,3.919,4.07,5.901,3.986,4.746,4.962,3.926,4.061,5.793,3.982,4.742,4.933,3.961,4.053,5.921,3.992,4.767,4.981,3.905,3.99,5.964,3.927,4.646,4.845,3.806,3.87,5.901,3.815,0.072,0.69,8.1,4.35,11.888,5.083,0.155,1.1,13.978,7.179,34.842,8.776,0.271,1.42,20.827,9.548,42.941,11.898,0.379,1.488,25.077,10.17,63.312,12.966,0.254,1.375,24.423,10.06,51.999,13.153,0.261,1.42,22.882,9.388,46.545,11.579,0.332,1.449,25.719,10.143,62.84,12.499,0.301,1.248,22.397,8.94,59.912,10.717,11,44,0.255,0.54,0.656,0.813,0.853,0.863,3.408,0.87,-5.84,-5.7,-5.3,50.0,0,2,0,0,0,0,13,5,1,0,1,1,0,1,0,0,0,1,1,20,0,2,0,0,1,1,1,26,1,0,0,3,1,0,1,3,0,24,1,0,1,4,0,0,3,0,18,2,0,0,6,0,0,6,17
6.097,0.069,1.509,12.133,6.306,39.768,115.386,7.853,0.697,4.026,4.13,3.631,3.651,5.22,3.626,4.508,4.644,3.972,4.033,5.745,3.984,4.771,4.96,3.992,4.146,5.879,4.062,4.847,5.061,3.93,4.123,5.931,4.027,4.829,5.057,3.916,4.111,5.82,4.012,4.816,5.029,3.982,4.087,5.941,4.016,4.809,5.016,3.932,4.035,5.988,3.971,4.724,4.942,3.875,3.958,5.893,3.892,0.065,0.732,9.07,4.732,11.938,5.666,0.147,1.175,15.866,7.869,36.504,9.846,0.267,1.515,23.617,10.492,45.314,13.415,0.375,1.575,27.163,10.859,63.519,14.065,0.243,1.474,27.35,11.185,52.289,14.952,0.253,1.505,26.416,10.467,53.276,13.519,0.373,1.516,26.909,10.213,73.633,12.436,0.234,1.374,24.676,9.744,49.229,12.452,11,45,0.249,0.547,0.679,0.828,0.866,0.866,3.44,0.889,-6.04,-5.89,-5.48,49.0,0,3,0,0,0,0,13,5,1,0,1,1,0,1,0,0,0,1,1,21,0,2,0,0,1,1,1,27,1,0,0,3,1,0,1,3,0,26,1,0,1,3,0,0,3,0,19,2,0,0,6,0,0,5,17
6.155,0.089,1.769,7.235,2.633,6.93,60.926,8.366,0.611,3.453,3.558,3.087,2.981,4.755,2.992,3.911,4.054,3.439,3.325,5.326,3.323,4.092,4.26,3.414,3.386,5.436,3.357,4.192,4.414,3.28,3.329,5.399,3.268,4.068,4.288,3.173,3.195,5.284,3.149,3.963,4.149,3.065,3.052,5.353,3.033,3.825,4.07,2.768,2.726,5.137,2.686,3.383,3.642,2.446,1.997,4.961,2.045,0.122,0.47,4.615,2.551,15.678,2.776,0.246,0.721,8.419,4.017,39.959,4.824,0.354,0.83,11.021,4.734,46.89,5.524,0.433,0.78,14.252,4.969,57.146,6.419,0.38,0.625,13.474,4.595,64.416,5.916,0.406,0.614,11.205,3.693,58.732,4.099,0.332,0.486,11.215,3.289,46.065,4.243,0.346,0.387,8.179,2.035,48.573,2.52,18,25,0.344,0.728,0.803,0.831,0.831,0.831,2.908,0.849,-3.47,-3.45,-3.29,42.9,1,1,0,0,0,0,4,2,1,0,1,1,0,1,0,0,0,1,1,6,0,1,1,0,1,2,0,8,1,0,1,3,0,0,0,2,1,7,1,0,0,2,0,1,2,0,3,2,0,0,4,0,0,4,2
6.699,0.08,1.769,6.588,2.633,6.93,60.926,8.366,0.611,3.453,3.558,3.087,2.981,4.755,2.992,3.911,4.054,3.439,3.325,5.327,3.323,4.092,4.26,3.414,3.386,5.425,3.357,4.193,4.413,3.33,3.328,5.42,3.278,4.092,4.305,3.189,3.192,5.391,3.162,3.955,4.142,3.122,3.051,5.332,3.042,3.851,4.085,2.966,2.721,5.34,2.725,3.419,3.666,2.256,2.004,5.312,1.993,0.122,0.47,4.615,2.551,15.678,2.776,0.246,0.721,8.419,4.017,40.07,4.824,0.354,0.83,11.021,4.734,48.208,5.524,0.413,0.802,14.168,4.972,54.21,6.441,0.468,0.697,13.975,4.649,78.923,5.46,0.357,0.613,10.953,3.678,50.56,4.273,0.421,0.591,11.471,3.294,54.416,4.168,0.558,0.335,8.772,2.086,99.004,2.205,18,25,0.344,0.728,0.831,0.887,0.887,0.887,2.908,0.849,-3.47,-3.45,-3.29,42.9,1,1,0,0,0,0,4,2,1,0,1,1,0,1,0,0,0,1,1,6,0,1,1,0,1,2,0,8,1,0,1,3,0,0,0,2,1,6,1,0,0,2,0,1,2,0,3,2,0,0,4,0,0,4,3
