pXC50,SpMAD_EA.ed.,Hy,GATS2v,SpMax3_Bh.p.,SpMin1_Bh.s.,JGI3,P_VSA_LogP_2,Eta_epsi_A,MATS1p,Eta_B_A,MATS2p,CATS2D_03_AA,SpMAD_AEA.ri.,SpMAD_EA,X3A,H.050,nHDon,CATS2D_04_DL,P_VSA_i_4,Me,P_VSA_MR_5,P_VSA_e_3,MATS2v,CATS2D_02_AA,H.052,H.,CATS2D_07_AA,GATS7e,Eig01_AEA.ri.,SpMax_AEA.ri.,GATS1e,Eta_L_A,C.003,nCt,GATS2p,O.,Eig01_EA.ri.,SpDiam_EA.ri.,SpMax_EA.ri.,MATS1m,CATS2D_05_DL,SpMAD_AEA.ed.,Eig01_EA,SM09_AEA.bo.,SpMax_EA,X4A,MATS4s,ATSC2e,SpDiam_AEA.ri.,Psi_e_A,Psi_i_A,CATS2D_03_AL,NssO,SssO,AAC,IC0,NddssS,S.110,SddssS,CATS2D_03_DL,SM13_EA.ed.,GATS1m,MATS1i,MAXDN,Eig01_AEA.ed.,Eig01_EA.ed.
4.561,4.039,1.148,1.131,3.743,1.261,0.045,35.432,0.589,-0.083,0.027,-0.149,0,1.46,1.457,0.203,3,3,5,32.897,1.004,35.432,32.897,-0.161,1,0,45.7,0,1.123,4.363,4.363,1.082,0.215,0,0,1.287,8.6,3.334,5.334,3.334,0.241,8,1.485,3.375,3.375,3.375,0.131,-0.176,0.369,5.363,7.999,2.499,4,1,5.122,1.642,1.642,0,0,0.0,2,32.601,0.854,0.095,4.699,7.267,12.277
4.276,4.145,1.311,1.117,3.495,1.329,0.059,35.432,0.562,-0.096,0.037,-0.074,0,1.468,1.467,0.204,3,3,5,32.897,1.0,53.082,32.897,-0.047,1,0,52.9,0,0.372,4.361,4.361,1.1,0.276,1,1,1.271,8.8,3.333,5.333,3.333,0.265,6,1.527,3.373,3.373,3.373,0.135,-0.109,0.382,5.361,8.071,2.571,4,1,5.051,1.621,1.621,0,0,0.0,2,32.596,0.931,0.037,4.587,7.267,12.273
4.879,4.262,2.869,1.19,3.295,1.281,0.056,68.382,0.639,0.006,0.031,-0.155,1,1.49,1.489,0.19,5,5,2,72.043,1.026,86.393,72.043,-0.116,2,6,47.6,1,1.034,4.086,4.086,0.797,0.286,0,0,1.334,11.9,3.024,4.971,3.024,-0.012,3,1.554,3.111,3.111,3.111,0.121,-0.098,0.502,5.127,8.439,2.939,3,0,0.0,1.722,1.722,0,0,0.0,2,30.674,0.823,-0.163,2.944,6.607,10.396
5.027,3.889,4.702,1.24,3.331,1.326,0.049,118.286,0.627,0.053,0.026,-0.16,1,1.425,1.421,0.206,7,7,3,101.402,1.024,118.286,101.402,-0.119,2,6,50.0,1,1.232,4.081,4.081,0.786,0.289,0,0,1.406,10.9,3.019,4.965,3.019,-0.029,3,1.542,3.106,3.106,3.106,0.124,-0.141,0.472,5.119,8.493,2.993,4,0,0.0,1.711,1.711,0,0,0.0,4,30.474,0.889,-0.055,2.558,6.606,10.393
5.013,4.188,3.752,1.196,3.313,1.282,0.052,82.854,0.642,0.044,0.028,-0.14,1,1.467,1.466,0.196,6,6,2,86.516,1.028,100.865,86.516,-0.109,2,6,47.7,1,1.112,4.088,4.088,0.766,0.286,0,0,1.347,11.4,3.027,4.974,3.027,-0.009,3,1.559,3.113,3.113,3.113,0.12,-0.123,0.499,5.13,8.42,2.92,3,0,0.0,1.742,1.742,0,0,0.0,2,30.682,0.829,-0.114,2.55,6.609,10.403
5.137,4.128,3.544,1.123,3.419,1.276,0.045,78.214,0.661,0.114,0.03,-0.108,1,1.462,1.458,0.2,6,6,4,68.505,1.031,78.214,68.505,-0.089,2,4,43.5,1,1.217,4.082,4.082,0.797,0.236,0,0,1.247,13.0,3.02,5.02,3.02,-0.029,7,1.567,3.107,3.107,3.107,0.12,-0.162,0.484,5.12,8.487,2.987,4,0,0.0,1.742,1.742,0,0,0.0,5,30.496,0.796,0.033,2.581,6.606,10.394
4.947,4.191,2.686,1.119,3.418,1.276,0.047,63.742,0.659,0.077,0.032,-0.126,1,1.481,1.478,0.195,5,5,4,54.032,1.03,63.742,54.032,-0.099,2,4,43.2,1,1.161,4.08,4.08,0.825,0.234,0,0,1.241,13.6,3.017,5.017,3.017,-0.033,7,1.564,3.105,3.105,3.105,0.121,-0.136,0.485,5.118,8.507,3.007,4,0,0.0,1.71,1.71,0,0,0.0,5,30.487,0.789,-0.023,2.974,6.605,10.387
4.772,4.084,1.771,1.077,3.421,1.276,0.047,68.334,0.632,-0.017,0.029,-0.091,2,1.462,1.46,0.198,4,4,4,54.032,1.022,77.159,54.032,-0.052,3,7,46.0,1,1.303,4.081,4.081,0.783,0.248,0,0,1.191,12.0,3.018,5.018,3.018,0.0,6,1.548,3.107,3.107,3.107,0.124,-0.163,0.522,5.121,8.321,2.821,4,1,4.76,1.657,1.657,0,0,0.0,5,30.497,0.802,-0.097,2.352,6.606,10.395
4.387,3.848,2.743,1.185,3.363,1.326,0.051,108.406,0.601,-0.075,0.025,-0.146,2,1.427,1.424,0.203,5,5,3,86.929,1.015,117.231,86.929,-0.092,3,9,52.0,1,1.336,4.081,4.081,0.776,0.301,0,0,1.323,10.0,3.017,4.963,3.017,-0.004,2,1.526,3.106,3.106,3.106,0.128,-0.138,0.508,5.12,8.306,2.806,4,1,4.748,1.635,1.635,0,0,0.0,4,30.475,0.9,-0.161,2.329,6.606,10.394
4.625,3.936,1.303,1.073,3.311,1.271,0.056,67.905,0.651,-0.156,0.027,-0.114,2,1.426,1.426,0.2,3,3,0,54.032,1.031,76.73,54.032,-0.042,3,5,47.2,1,1.384,4.075,4.075,0.756,0.265,0,0,1.221,13.9,3.011,4.957,3.011,0.004,1,1.554,3.101,3.101,3.101,0.125,-0.211,0.541,5.113,8.526,3.026,3,1,4.686,1.728,1.728,0,0,0.0,1,30.431,0.79,-0.301,2.324,6.604,10.386
4.192,4.093,1.251,1.062,3.348,1.272,0.052,65.799,0.634,-0.144,0.032,-0.099,2,1.465,1.462,0.2,3,3,0,54.032,1.026,83.45,54.032,-0.016,3,8,48.7,1,1.407,4.079,4.079,0.744,0.273,0,0,1.22,12.8,3.015,4.962,3.015,0.006,1,1.564,3.105,3.105,3.105,0.123,-0.223,0.523,5.118,8.467,2.967,4,1,4.703,1.693,1.693,0,0,0.0,2,30.455,0.815,-0.275,2.326,6.606,10.392
4.541,4.153,1.159,1.066,3.354,1.278,0.057,65.799,0.607,-0.124,0.033,-0.064,2,1.468,1.467,0.201,3,3,2,54.032,1.017,92.275,54.032,0.004,3,6,51.1,1,1.238,4.085,4.085,0.727,0.29,1,1,1.206,11.1,3.022,4.969,3.022,0.008,1,1.578,3.11,3.11,3.11,0.126,-0.138,0.496,5.124,8.348,2.848,4,1,4.735,1.632,1.632,0,0,0.0,4,30.549,0.861,-0.234,2.324,6.608,10.398
4.493,4.136,1.901,1.144,3.36,1.282,0.054,72.974,0.613,-0.086,0.027,-0.126,2,1.468,1.467,0.193,4,4,2,72.043,1.018,99.81,72.043,-0.078,3,9,50.0,1,1.212,4.087,4.087,0.754,0.297,0,0,1.272,10.4,3.025,4.972,3.025,0.018,2,1.54,3.113,3.113,3.113,0.124,-0.115,0.533,5.133,8.236,2.736,3,1,4.763,1.663,1.663,0,0,0.0,2,30.683,0.841,-0.221,2.321,6.609,10.403
5.027,3.994,3.19,1.136,3.255,1.271,0.053,77.785,0.695,0.019,0.028,-0.132,1,1.422,1.422,0.204,5,5,0,68.505,1.046,77.785,68.505,-0.082,2,2,43.8,1,1.318,4.076,4.076,0.787,0.248,0,0,1.317,15.6,3.013,4.959,3.013,-0.035,2,1.579,3.101,3.101,3.101,0.119,-0.222,0.494,5.113,8.778,3.278,3,0,0.0,1.83,1.83,0,0,0.0,1,30.43,0.781,-0.174,2.553,6.604,10.385
4.511,4.072,1.118,1.095,3.358,1.306,0.057,68.334,0.597,-0.116,0.032,-0.079,2,1.463,1.46,0.197,3,3,3,54.032,1.014,94.81,54.032,-0.016,3,7,52.1,1,1.28,4.081,4.081,0.721,0.299,1,1,1.228,10.4,3.017,4.964,3.017,0.009,3,1.564,3.107,3.107,3.107,0.128,-0.099,0.481,5.12,8.29,2.79,4,1,4.747,1.604,1.604,0,0,0.0,3,30.482,0.882,-0.218,2.322,6.606,10.394
4.963,4.156,3.099,1.114,3.277,1.272,0.049,75.68,0.672,0.016,0.034,-0.112,1,1.464,1.46,0.204,5,5,0,68.505,1.038,84.505,68.505,-0.043,2,5,45.7,1,1.321,4.08,4.08,0.767,0.257,0,0,1.306,14.3,3.017,4.964,3.017,-0.028,2,1.59,3.105,3.105,3.105,0.117,-0.23,0.484,5.118,8.702,3.202,4,0,0.0,1.791,1.791,0,0,0.0,2,30.454,0.804,-0.147,2.555,6.606,10.392
4.903,4.212,2.939,1.109,3.289,1.278,0.055,75.68,0.637,0.012,0.035,-0.067,1,1.468,1.465,0.204,5,5,2,68.505,1.027,93.33,68.505,-0.011,2,3,48.8,1,1.133,4.085,4.085,0.741,0.277,1,1,1.275,12.2,3.024,4.971,3.024,-0.019,2,1.607,3.11,3.11,3.11,0.121,-0.143,0.461,5.123,8.556,3.056,4,0,0.0,1.722,1.722,0,0,0.0,4,30.548,0.849,-0.11,2.553,6.608,10.398
4.633,4.078,1.118,1.095,3.355,1.312,0.057,68.334,0.597,-0.116,0.03,-0.079,2,1.443,1.441,0.203,3,3,3,54.032,1.014,94.81,54.032,-0.016,3,6,52.1,1,1.225,4.086,4.086,0.721,0.301,1,1,1.228,10.4,3.024,4.97,3.024,0.009,2,1.587,3.111,3.111,3.111,0.126,-0.127,0.481,5.125,8.29,2.79,4,1,4.749,1.604,1.604,0,0,0.0,4,30.589,0.882,-0.218,2.322,6.608,10.4
4.812,4.083,2.293,1.129,3.224,1.271,0.057,63.313,0.694,-0.034,0.032,-0.153,1,1.451,1.45,0.196,4,4,0,54.032,1.045,63.313,54.032,-0.092,2,2,43.3,1,1.267,4.073,4.073,0.822,0.246,0,0,1.302,16.7,3.01,4.956,3.01,-0.039,2,1.579,3.099,3.099,3.099,0.12,-0.19,0.493,5.111,8.824,3.324,3,0,0.0,1.807,1.807,0,0,0.0,1,30.421,0.77,-0.236,2.947,6.603,10.378
4.668,4.249,2.214,1.106,3.24,1.272,0.053,61.207,0.671,-0.032,0.038,-0.13,1,1.494,1.488,0.197,4,4,0,54.032,1.038,70.032,54.032,-0.049,2,5,45.5,1,1.268,4.078,4.078,0.801,0.256,0,0,1.292,15.2,3.015,4.961,3.015,-0.032,2,1.586,3.103,3.103,3.103,0.118,-0.201,0.484,5.115,8.741,3.241,4,0,0.0,1.766,1.766,0,0,0.0,2,30.444,0.795,-0.209,2.948,6.604,10.385
4.801,4.299,2.076,1.1,3.253,1.278,0.058,61.207,0.634,-0.029,0.038,-0.082,1,1.494,1.491,0.197,4,4,2,54.032,1.026,78.857,54.032,-0.015,2,3,48.7,1,1.058,4.083,4.083,0.772,0.277,1,1,1.262,12.8,3.021,4.968,3.021,-0.023,2,1.606,3.108,3.108,3.108,0.121,-0.117,0.463,5.121,8.583,3.083,4,0,0.0,1.693,1.693,0,0,0.0,4,30.54,0.843,-0.169,2.947,6.606,10.391
4.656,4.203,2.015,1.131,3.286,1.306,0.058,63.742,0.62,-0.027,0.037,-0.097,1,1.487,1.483,0.193,4,4,3,54.032,1.021,81.392,54.032,-0.036,2,4,50.0,1,1.096,4.079,4.079,0.763,0.286,1,1,1.283,11.9,3.017,4.963,3.017,-0.02,4,1.585,3.105,3.105,3.105,0.124,-0.077,0.45,5.117,8.508,3.008,4,0,0.0,1.661,1.661,0,0,0.0,3,30.472,0.865,-0.154,2.944,6.605,10.387
4.78,4.21,2.015,1.131,3.262,1.312,0.059,63.742,0.62,-0.027,0.035,-0.097,1,1.465,1.462,0.2,4,4,3,54.032,1.021,81.392,54.032,-0.036,2,3,50.0,1,1.038,4.084,4.084,0.763,0.289,1,1,1.283,11.9,3.023,4.97,3.023,-0.02,3,1.61,3.109,3.109,3.109,0.122,-0.108,0.45,5.122,8.508,3.008,4,0,0.0,1.661,1.661,0,0,0.0,4,30.58,0.865,-0.154,2.944,6.607,10.393
4.772,4.11,1.86,1.131,3.418,1.276,0.048,63.742,0.64,0.042,0.029,-0.13,1,1.477,1.473,0.194,4,4,3,54.032,1.024,63.742,54.032,-0.118,2,4,44.2,1,1.248,4.08,4.08,0.754,0.237,0,0,1.223,11.6,3.017,5.017,3.017,-0.014,6,1.543,3.105,3.105,3.105,0.123,-0.122,0.429,5.118,8.396,2.896,4,0,0.0,1.68,1.68,0,0,0.0,3,30.484,0.785,-0.046,2.954,6.605,10.387
4.851,3.953,3.786,1.235,3.323,1.326,0.052,103.814,0.623,0.019,0.029,-0.174,1,1.447,1.443,0.2,6,6,3,86.929,1.023,103.814,86.929,-0.125,2,6,50.0,1,1.17,4.079,4.079,0.818,0.289,0,0,1.394,11.4,3.016,4.963,3.016,-0.033,3,1.543,3.104,3.104,3.104,0.125,-0.116,0.476,5.117,8.515,3.015,4,0,0.0,1.691,1.691,0,0,0.0,4,30.465,0.886,-0.098,2.952,6.605,10.387
5.276,4.125,2.869,1.139,3.307,1.306,0.055,78.214,0.623,0.01,0.034,-0.084,1,1.463,1.459,0.2,5,5,3,68.505,1.023,95.865,68.505,-0.032,2,4,50.0,1,1.171,4.082,4.082,0.731,0.286,1,1,1.296,11.4,3.019,4.966,3.019,-0.016,4,1.588,3.107,3.107,3.107,0.123,-0.102,0.447,5.12,8.485,2.985,4,0,0.0,1.691,1.691,0,0,0.0,3,30.481,0.869,-0.097,2.551,6.606,10.394
4.419,4.005,1.012,1.088,3.422,1.276,0.048,68.334,0.615,-0.048,0.026,-0.093,2,1.457,1.455,0.197,3,3,3,54.032,1.016,77.159,54.032,-0.069,3,7,46.9,1,1.417,4.081,4.081,0.713,0.252,0,0,1.175,10.2,3.018,5.018,3.018,0.016,5,1.53,3.107,3.107,3.107,0.126,-0.146,0.466,5.121,8.212,2.712,4,1,4.77,1.626,1.626,0,0,0.0,3,30.494,0.802,-0.12,2.332,6.606,10.395
4.724,4.061,1.894,1.066,3.379,1.273,0.053,68.334,0.644,-0.119,0.027,-0.089,2,1.462,1.461,0.196,4,4,0,87.603,1.026,105.32,87.603,-0.047,3,5,45.7,1,1.393,4.081,4.081,0.781,0.254,0,0,1.187,10.9,3.018,4.965,3.018,0.015,1,1.529,3.107,3.107,3.107,0.125,-0.183,0.586,5.127,8.3,2.8,4,1,4.752,1.74,1.74,0,0,0.0,3,30.495,0.779,-0.295,2.341,6.606,10.395
5.036,4.132,2.869,1.139,3.294,1.312,0.055,78.214,0.623,0.01,0.031,-0.084,1,1.441,1.438,0.206,5,5,3,68.505,1.023,95.865,68.505,-0.032,2,3,50.0,1,1.117,4.086,4.086,0.731,0.289,1,1,1.296,11.4,3.026,4.972,3.026,-0.016,3,1.612,3.111,3.111,3.111,0.121,-0.132,0.447,5.124,8.485,2.985,4,0,0.0,1.691,1.691,0,0,0.0,4,30.588,0.869,-0.097,2.551,6.608,10.399
5.745,4.047,2.686,1.135,3.42,1.276,0.046,78.214,0.643,0.081,0.027,-0.112,1,1.457,1.453,0.2,5,5,3,68.505,1.025,78.214,68.505,-0.108,2,4,44.4,1,1.31,4.082,4.082,0.723,0.239,0,0,1.229,11.1,3.02,5.02,3.02,-0.012,6,1.546,3.107,3.107,3.107,0.122,-0.15,0.425,5.12,8.38,2.88,4,0,0.0,1.713,1.713,0,0,0.0,3,30.493,0.793,0.014,2.561,6.606,10.394
4.377,3.893,1.161,1.139,3.357,1.276,0.053,69.234,0.615,-0.026,0.026,-0.173,2,1.422,1.423,0.202,3,3,1,54.032,1.019,78.059,54.032,-0.076,3,5,50.0,1,1.415,4.081,4.081,0.732,0.32,0,0,1.365,10.9,3.017,4.963,3.017,0.041,2,1.542,3.106,3.106,3.106,0.127,-0.161,0.518,5.121,8.29,2.79,4,1,4.745,1.747,1.747,0,0,0.0,2,30.475,0.803,-0.17,2.321,6.606,10.394
4.684,4.262,1.697,1.034,3.486,1.276,0.051,68.334,0.621,-0.02,0.027,-0.049,2,1.489,1.488,0.186,4,4,3,70.818,1.017,93.945,70.818,-0.029,3,7,45.3,1,1.406,4.09,4.09,0.742,0.248,0,0,1.12,9.4,3.048,5.048,3.048,0.02,3,1.561,3.112,3.112,3.112,0.118,-0.153,0.491,5.133,8.132,2.632,4,1,4.794,1.651,1.651,0,0,0.0,6,31.101,0.782,-0.103,2.336,6.607,10.399
7.959,3.604,0.722,1.148,3.835,1.312,0.031,65.803,0.553,0.131,0.016,-0.161,0,1.408,1.413,0.206,3,3,4,50.908,0.991,65.803,50.908,-0.136,1,2,49.4,0,1.938,3.916,3.916,0.741,0.305,1,1,1.23,3.9,2.883,4.883,2.883,0.156,5,1.454,2.93,2.93,2.93,0.134,-0.114,0.337,5.001,7.662,2.162,5,1,5.64,1.533,1.533,0,0,0.0,2,29.106,0.712,0.087,2.112,6.176,9.148
8.319,4.25,2.278,1.115,3.776,1.403,0.046,59.505,0.586,0.08,0.029,-0.143,0,1.492,1.492,0.195,5,5,7,50.908,1.003,62.268,50.908,-0.094,0,3,46.0,0,1.362,4.419,4.419,0.877,0.23,1,1,1.397,7.9,3.406,5.406,3.406,0.125,8,1.54,3.425,3.425,3.425,0.122,-0.181,0.356,5.419,8.068,2.568,4,0,0.0,1.585,1.585,0,0,0.0,6,33.006,0.884,0.136,4.813,7.361,12.644
8.658,4.125,2.46,1.178,3.841,1.395,0.04,62.04,0.586,0.078,0.031,-0.162,0,1.475,1.474,0.202,5,5,6,50.908,1.005,64.802,50.908,-0.114,0,2,48.2,0,1.672,4.356,4.356,0.892,0.248,1,1,1.476,8.9,3.345,5.345,3.345,0.134,9,1.522,3.36,3.36,3.36,0.124,-0.221,0.374,5.368,8.171,2.671,4,0,0.0,1.625,1.625,0,0,0.0,5,32.418,0.913,0.122,4.581,7.229,12.082
6.075,4.179,3.681,1.121,3.691,1.325,0.049,104.832,0.581,-0.005,0.028,-0.078,1,1.477,1.478,0.193,7,7,9,123.625,1.005,168.294,123.625,-0.048,1,8,50.6,0,1.368,4.134,4.134,0.778,0.279,2,2,1.213,6.7,3.06,5.06,3.06,0.009,9,1.56,3.166,3.166,3.166,0.121,-0.149,0.551,5.187,8.045,2.545,6,0,0.0,1.578,1.578,0,0,0.0,10,31.372,0.899,-0.118,2.85,6.736,10.893
4.244,4.142,5.125,1.129,3.781,1.243,0.041,124.642,0.627,0.134,0.026,-0.131,1,1.476,1.479,0.191,9,9,8,141.636,1.017,152.803,141.636,-0.13,1,8,44.2,0,1.419,4.13,4.13,0.807,0.27,0,0,1.179,8.4,3.053,5.053,3.053,0.111,13,1.524,3.163,3.163,3.163,0.121,-0.193,0.729,5.218,8.101,2.601,5,0,0.0,1.77,1.77,0,0,0.0,8,31.269,0.687,-0.02,2.881,6.735,10.89
5.224,4.087,5.06,1.145,3.783,1.254,0.04,129.711,0.616,0.126,0.025,-0.135,1,1.472,1.472,0.192,9,9,8,141.636,1.014,157.872,141.636,-0.132,1,8,45.5,0,1.319,4.13,4.13,0.8,0.278,0,0,1.192,7.9,3.054,5.054,3.054,0.111,14,1.519,3.163,3.163,3.163,0.121,-0.191,0.708,5.208,8.061,2.561,7,0,0.0,1.739,1.739,0,0,0.0,10,31.269,0.705,-0.02,2.879,6.735,10.89
4.301,3.925,3.875,1.141,3.687,1.258,0.035,100.973,0.613,0.195,0.025,-0.125,0,1.448,1.447,0.199,7,7,9,86.929,1.013,100.973,86.929,-0.126,0,2,45.7,0,1.233,3.935,3.935,0.816,0.281,0,0,1.18,8.6,2.901,4.901,2.901,0.131,11,1.504,2.949,2.949,2.949,0.127,-0.138,0.452,5.01,8.105,2.605,4,0,0.0,1.733,1.733,0,0,0.0,9,29.686,0.685,0.112,2.637,6.197,9.205
5.445,3.925,3.875,1.141,3.687,1.258,0.035,100.973,0.613,0.195,0.025,-0.125,0,1.448,1.447,0.199,7,7,9,86.929,1.013,100.973,86.929,-0.126,0,2,45.7,0,1.233,3.935,3.935,0.816,0.281,0,0,1.18,8.6,2.901,4.901,2.901,0.131,11,1.504,2.949,2.949,2.949,0.127,-0.138,0.452,5.01,8.105,2.605,4,0,0.0,1.733,1.733,0,0,0.0,9,29.686,0.685,0.112,2.637,6.197,9.205
4.955,3.849,3.145,1.151,3.686,1.253,0.031,98.438,0.594,0.187,0.022,-0.145,0,1.444,1.442,0.204,6,6,6,86.929,1.006,98.438,86.929,-0.144,0,2,46.9,0,1.33,3.931,3.931,0.808,0.287,0,0,1.182,6.3,2.895,4.895,2.895,0.152,9,1.489,2.946,2.946,2.946,0.13,-0.192,0.283,5.006,7.946,2.446,3,0,0.0,1.699,1.699,0,0,0.0,8,29.221,0.682,0.102,2.242,6.193,9.188
4.775,3.864,3.427,1.124,3.541,1.252,0.036,96.332,0.604,0.199,0.024,-0.102,0,1.431,1.428,0.207,6,6,4,86.929,1.011,96.332,86.929,-0.093,0,2,48.1,0,1.216,3.929,3.929,0.829,0.309,0,0,1.163,7.4,2.893,4.893,2.893,0.161,7,1.513,2.944,2.944,2.944,0.128,-0.22,0.331,5.001,8.071,2.571,3,0,0.0,1.768,1.768,0,0,0.0,6,29.178,0.678,0.074,2.212,6.191,9.179
5.14,3.911,3.875,1.141,3.683,1.3,0.042,100.973,0.613,0.195,0.025,-0.125,0,1.446,1.446,0.198,7,7,9,86.929,1.013,100.973,86.929,-0.126,0,2,45.7,0,1.125,3.886,3.886,0.816,0.279,0,0,1.18,8.6,2.872,4.872,2.872,0.131,11,1.5,2.894,2.894,2.894,0.129,-0.091,0.452,4.968,8.105,2.605,2,0,0.0,1.733,1.733,0,0,0.0,7,29.402,0.685,0.112,2.631,6.163,9.131
