pXC50,nCsp2,AMW,C.,H.,Me,Mi
5.004,13,6.414,42.3,51.9,0.979,1.125
6.119,5,5.542,35.5,59.7,0.973,1.138
6.759,20,8.009,43.1,41.5,1.017,1.142
5.5,20,8.476,43.3,38.3,1.027,1.143
7.553,20,9.685,44.1,37.3,1.026,1.139
6.71,26,7.724,47.6,41.3,0.996,1.117
6.64,20,8.606,45.6,36.8,1.025,1.14
5.864,20,8.348,44.1,39.0,1.022,1.142
6.936,20,8.476,43.3,38.3,1.027,1.143
5.0,20,8.348,44.1,39.0,1.022,1.142
6.081,20,8.476,43.3,38.3,1.027,1.143
6.842,13,6.908,39.0,49.2,0.996,1.134
6.745,12,6.741,40.4,50.0,0.99,1.13
6.529,12,6.343,38.3,53.3,0.985,1.134
6.684,18,7.573,43.6,43.6,1.004,1.123
7.076,17,7.045,42.1,47.4,0.992,1.128
5.523,17,7.176,42.6,46.3,0.994,1.127
7.167,15,7.061,40.7,47.5,0.994,1.132
7.194,9,6.87,34.0,50.0,1.0,1.149
6.701,18,6.993,44.1,47.5,0.989,1.122
5.523,12,6.688,39.0,50.8,0.992,1.132
6.656,12,6.628,40.0,50.9,0.988,1.131
7.268,18,6.993,44.1,47.5,0.989,1.122
7.076,18,6.858,43.9,48.5,0.986,1.121
5.534,12,6.659,38.6,50.9,0.99,1.135
7.201,21,7.293,45.0,45.0,0.993,1.121
7.076,17,7.176,42.6,46.3,0.994,1.127
6.815,24,6.982,45.8,47.2,0.986,1.117
5.0,17,7.324,43.1,45.1,0.996,1.126
8.046,13,6.06,40.0,55.0,0.976,1.129
5.0,12,6.87,41.9,48.8,0.99,1.127
6.618,20,7.434,44.1,44.1,0.996,1.125
6.201,20,8.866,44.6,35.7,1.035,1.148
7.301,12,6.795,39.3,50.0,0.994,1.132
7.538,20,8.171,43.5,40.3,1.019,1.142
5.286,12,6.727,41.3,50.0,0.988,1.127
7.523,20,8.348,44.1,39.0,1.022,1.142
6.959,13,6.214,40.7,53.7,0.978,1.128
5.0,13,6.319,41.8,52.7,0.978,1.125
7.367,5,5.542,35.5,59.7,0.973,1.138
5.292,13,6.304,41.2,52.9,0.979,1.127
5.959,19,6.518,44.3,50.8,0.978,1.12
7.42,13,6.133,40.4,54.4,0.977,1.128
5.0,5,6.5,34.5,54.5,1.002,1.159
7.745,13,6.06,40.0,55.0,0.976,1.129
5.0,13,6.595,41.5,50.9,0.986,1.126
6.796,5,5.542,35.5,59.7,0.973,1.138
5.0,13,6.304,41.2,52.9,0.979,1.127
5.0,13,6.06,40.0,55.0,0.976,1.129
5.222,13,6.133,40.4,54.4,0.977,1.128
6.018,15,6.234,41.4,53.4,0.977,1.126
6.658,13,6.214,40.7,53.7,0.978,1.128
6.569,13,6.133,40.4,54.4,0.977,1.128
4.886,13,6.304,41.2,52.9,0.979,1.127
7.444,20,8.348,44.1,39.0,1.022,1.142
5.0,20,8.171,43.5,40.3,1.019,1.142
6.712,20,8.011,43.9,42.1,0.999,1.12
6.638,20,7.746,45.3,41.5,1.0,1.123
6.585,20,8.348,44.1,39.0,1.022,1.142
6.703,20,8.348,44.1,39.0,1.022,1.142
6.536,20,8.866,44.6,35.7,1.035,1.148
6.793,20,8.866,44.6,35.7,1.035,1.148
6.155,20,8.348,44.1,39.0,1.022,1.142
6.839,20,7.14,43.5,46.4,0.992,1.125
6.658,23,7.929,45.2,40.3,1.005,1.123
6.839,20,7.581,44.6,42.9,0.998,1.124
6.738,20,8.171,43.5,40.3,1.019,1.142
6.883,20,7.576,43.3,43.3,1.002,1.126
6.466,20,7.3,43.5,45.2,0.994,1.125
6.565,20,7.51,45.0,43.3,0.996,1.123
6.349,20,8.348,44.1,39.0,1.022,1.142
5.0,20,8.348,44.1,39.0,1.022,1.142
7.143,20,8.545,44.6,37.5,1.026,1.142
7.824,20,8.348,44.1,39.0,1.022,1.142
7.569,1,5.906,31.0,58.6,0.994,1.146
