pXC50,Eta_betaS_A,N.,Hy,Eig11_EA.dm.,GATS8v,ATSC7m,ATSC7v,JGI8,Eig12_EA.ed.,SM07_AEA.ri.,BIC0,SpMin5_Bh.i.,CATS2D_03_LL,ATSC5p,SpMax3_Bh.m.,Eig07_EA.bo.,GATS8p,ATSC1v,ATSC6p,Eta_FL,ATSC5v,P_VSA_i_4,P_VSA_LogP_7,ATS7i,SpMax5_Bh.v.,piPC04,SM04_EA.bo.,CATS2D_08_LL,X1Per,X1MulPer,piID,SpMax2_Bh.i.,Eig06_EA.bo.,ATS5p,Chi1_EA.bo.,Eig07_AEA.bo.,ATSC5i,Eta_beta,ATSC3p,ATS6s,SpMax6_Bh.v.,ATSC6v,P_VSA_s_3,Eig04_AEA.bo.,Eig05_EA.bo.,SM15_AEA.ri.,piPC02,SM02_EA.bo.,Eig06_AEA.bo.,GATS8m,ATS5m,SpMax4_Bh.m.,ATS6e,ATS6v,piPC03,ATS1v,nCt,SpMax6_Bh.p.,X5Av,Eta_betaP,Psi_i_s,ICR,Eig08_AEA.bo.,SpMax6_Bh.m.,Eig12_EA.dm.,piPC01,SCBO,X1Kup
5.32,0.67,4.1,-0.358,0.0,0.969,29.867,14.495,0.014,1.654,1.654,0.267,1.383,9,11.912,3.616,2.393,0.917,5.594,11.255,6.762,14.229,19.91,223.651,5.051,3.247,5.743,7.379,8,7.533,9.197,12.071,4.007,2.533,4.192,12.482,3.166,1.503,34.75,10.568,5.917,3.049,14.175,47.49,3.69,2.625,2.625,4.404,5.091,3.302,0.912,4.172,3.457,4.862,4.021,5.073,3.581,0,3.059,0.025,16.0,60.611,2.751,3.141,3.208,0.0,3.738,41.0,9.48
5.27,0.67,4.1,-0.358,0.0,0.994,28.871,14.48,0.015,1.586,1.586,0.267,1.383,9,11.765,3.668,2.386,0.952,5.594,11.106,6.746,14.202,19.91,223.651,5.052,3.248,5.734,7.373,7,7.525,9.189,12.056,4.007,2.402,4.174,12.503,3.174,1.514,34.75,10.568,5.925,3.041,14.141,47.49,3.724,2.905,2.905,4.404,5.091,3.241,1.021,4.123,3.468,4.861,4.009,5.063,3.581,0,3.049,0.025,16.0,60.611,2.907,3.12,3.144,0.0,3.738,41.0,9.474
5.44,0.681,3.8,-0.785,0.0,0.877,33.95,16.574,0.015,1.632,1.632,0.248,1.248,7,13.951,3.586,2.388,0.792,6.377,12.47,7.357,18.579,5.023,270.735,5.219,3.152,5.788,7.436,4,7.653,9.254,12.155,4.013,2.536,4.286,12.73,3.226,1.813,36.25,10.779,6.061,3.001,16.403,44.64,3.799,2.991,2.991,4.44,5.127,3.302,1.076,4.153,3.385,5.023,4.084,5.126,3.607,0,3.005,0.024,16.5,62.0,2.94,3.113,3.043,0.0,3.761,42.0,9.611
5.51,0.669,3.4,-0.799,0.0,0.933,39.024,19.991,0.014,1.73,1.73,0.237,1.406,8,15.605,3.598,2.395,0.865,7.473,14.739,7.249,20.887,5.023,317.82,5.374,3.289,5.82,7.447,5,8.61,10.415,12.283,4.014,2.576,4.414,13.722,3.234,2.016,37.25,12.287,6.202,3.102,19.652,51.767,3.804,2.993,2.993,4.463,5.15,3.331,1.074,4.27,3.424,5.188,4.251,5.15,3.687,0,3.115,0.024,16.5,65.0,2.955,3.148,3.108,0.0,3.807,44.0,10.768
6.32,0.655,2.9,-0.832,0.0,0.957,50.614,27.349,0.011,3.051,3.051,0.221,1.446,11,18.367,3.811,2.585,0.925,8.681,18.851,9.168,24.193,5.023,364.904,5.644,3.335,5.981,7.599,9,10.356,12.543,13.585,4.017,2.993,4.629,16.232,3.334,2.4,46.75,14.675,6.398,3.288,24.595,57.058,3.932,3.177,3.177,4.647,5.335,3.692,1.073,4.493,3.591,5.382,4.57,5.314,3.871,0,3.289,0.024,22.5,76.167,3.115,3.235,3.329,0.0,4.007,54.0,12.905
5.47,0.664,3.2,-0.805,0.0,1.038,44.645,22.215,0.013,2.175,2.175,0.232,1.434,8,15.976,3.605,2.395,0.993,8.014,15.976,7.249,21.574,5.023,341.362,5.496,3.32,5.828,7.451,6,9.038,10.902,12.342,4.014,2.584,4.465,14.282,3.236,2.106,37.75,13.1,6.27,3.203,21.427,54.302,3.804,2.993,2.993,4.474,5.162,3.339,1.111,4.327,3.425,5.252,4.337,5.155,3.725,0,3.212,0.024,16.5,66.5,2.977,3.153,3.22,0.0,3.829,45.0,11.268
4.71,0.675,5.3,-0.382,0.0,0.859,38.319,19.931,0.015,1.828,1.828,0.242,1.417,7,13.758,3.609,2.405,0.786,7.131,13.212,7.275,18.989,23.034,294.278,5.367,3.276,5.758,7.402,5,8.244,9.949,12.212,4.01,2.534,4.335,13.366,3.206,1.907,36.75,11.654,6.034,3.042,18.42,44.259,3.815,2.963,2.963,4.44,5.127,3.322,1.048,4.175,3.484,5.07,4.186,5.107,3.655,0,3.051,0.024,16.5,62.5,2.961,3.175,3.063,0.0,3.784,43.0,10.321
5.6,0.661,3.4,-0.393,0.0,0.987,34.972,17.83,0.012,2.218,2.218,0.237,1.434,7,13.448,3.59,2.395,0.935,7.477,12.653,7.137,17.727,19.91,306.049,5.26,3.302,5.754,7.389,8,8.705,10.506,12.273,4.01,2.409,4.282,13.925,3.175,1.776,37.0,12.452,6.061,3.077,16.956,54.302,3.748,2.949,2.949,4.44,5.127,3.267,1.101,4.167,3.499,5.019,4.15,5.095,3.692,0,3.067,0.024,16.5,65.0,3.072,3.131,3.18,0.0,3.807,44.0,10.826
5.43,0.675,3.6,-0.792,0.0,0.996,36.201,17.923,0.014,1.636,1.636,0.243,1.391,7,14.391,3.589,2.394,0.945,6.927,13.067,7.311,19.151,5.023,294.278,5.292,3.262,5.797,7.439,5,8.134,9.85,12.219,4.013,2.536,4.325,13.291,3.227,1.87,36.75,11.491,6.089,3.066,17.333,49.233,3.804,2.991,2.991,4.451,5.139,3.302,1.086,4.19,3.424,5.061,4.154,5.132,3.648,0,3.072,0.024,16.5,63.5,2.933,3.124,3.087,0.0,3.784,43.0,10.207
5.6,0.669,3.4,-0.799,0.0,0.959,40.197,19.357,0.014,1.718,1.718,0.237,1.397,7,15.619,3.595,2.394,0.888,7.473,14.898,7.294,20.897,5.023,317.82,5.384,3.288,5.822,7.447,6,8.614,10.434,12.286,4.014,2.552,4.418,13.723,3.231,2.018,37.25,12.05,6.172,3.167,20.238,51.338,3.82,2.993,2.993,4.463,5.15,3.312,1.114,4.25,3.433,5.177,4.243,5.15,3.687,0,3.189,0.024,16.5,65.0,2.955,3.124,3.149,0.0,3.807,44.0,10.787
4.55,0.67,4.0,0.212,0.0,1.013,29.663,14.804,0.015,1.586,1.586,0.254,1.383,7,11.491,3.573,2.386,0.981,5.808,11.01,6.914,14.399,19.91,223.651,5.098,3.246,5.734,7.373,5,7.564,9.221,12.056,4.007,2.402,4.154,12.503,3.174,1.558,35.25,10.475,5.98,3.041,14.472,43.989,3.724,2.905,2.905,4.404,5.091,3.241,1.057,4.067,3.409,4.891,4.006,5.063,3.576,0,3.049,0.023,16.5,62.5,2.907,3.12,3.051,0.0,3.738,41.0,9.463
5.2,0.615,4.3,0.251,0.0,1.149,26.875,9.455,0.009,0.155,0.155,0.287,1.215,13,10.436,3.784,1.798,1.153,5.594,9.352,5.775,13.499,65.942,223.651,4.761,3.074,5.182,6.969,9,6.846,8.324,9.391,3.951,2.017,3.937,11.334,2.768,1.497,29.5,11.427,5.953,2.912,10.96,35.735,3.486,2.634,2.634,4.143,4.828,2.862,1.133,3.95,3.34,4.688,3.796,4.663,3.482,2,2.911,0.03,13.5,66.694,2.662,2.678,3.049,0.0,3.584,35.0,8.55
5.3,0.615,4.5,0.255,0.0,1.178,23.96,9.814,0.007,0.273,0.273,0.282,1.064,12,8.816,3.712,1.631,1.122,5.322,8.204,5.526,11.119,50.982,211.88,4.67,2.91,5.134,6.86,5,6.565,7.956,9.367,3.922,2.154,3.828,10.425,2.619,1.249,28.25,10.413,5.926,2.908,10.017,38.269,3.461,2.463,2.463,4.06,4.745,2.961,1.065,3.928,3.362,4.564,3.706,4.595,3.422,1,2.912,0.032,13.5,56.944,2.69,2.5,2.954,0.0,3.526,33.0,8.13
5.8,0.615,4.8,0.255,0.0,1.152,22.924,8.565,0.005,-0.554,-0.554,0.287,1.005,12,8.264,3.739,1.766,1.104,4.739,7.947,6.016,10.164,50.982,188.338,4.604,2.903,5.187,6.935,7,6.293,7.626,9.469,3.912,2.017,3.795,9.979,2.698,1.227,29.25,9.259,5.814,2.871,8.888,38.92,3.481,2.627,2.627,4.111,4.796,2.862,1.176,3.833,3.329,4.528,3.692,4.644,3.404,0,2.88,0.028,14.5,57.778,2.69,2.561,2.942,0.0,3.555,34.0,7.809
6.1,0.604,4.3,0.214,0.0,1.213,25.023,11.173,0.006,0.271,0.271,0.251,1.136,17,9.48,3.713,1.701,1.218,6.162,8.423,5.363,13.078,36.022,247.193,4.718,3.037,5.107,6.86,8,6.819,8.2,9.329,3.924,1.95,3.889,10.416,2.654,1.191,28.0,10.938,5.663,2.91,11.094,32.334,3.483,2.427,2.427,4.06,4.745,2.821,1.011,3.76,3.334,4.566,3.733,4.595,3.458,1,2.941,0.034,13.5,50.944,2.752,2.588,2.996,0.0,3.526,33.0,8.466
5.0,0.636,7.5,0.348,0.0,1.224,22.093,8.232,0.005,-1.133,-1.133,0.308,1.178,6,8.11,3.711,1.537,1.148,4.74,7.235,4.67,9.923,52.807,207.844,4.466,2.91,5.033,6.736,4,5.961,7.217,8.816,3.913,1.636,3.724,9.702,2.525,1.05,25.5,9.541,5.482,2.895,8.578,57.741,3.401,2.305,2.305,3.966,4.649,2.623,1.033,3.821,3.44,4.356,3.529,4.496,3.344,1,2.89,0.04,11.5,48.111,2.681,2.465,2.953,0.0,3.45,30.5,7.466
6.3,0.61,4.3,0.233,0.0,1.165,27.001,9.963,0.007,-0.312,-0.312,0.273,1.215,13,10.405,3.75,1.775,1.149,5.881,9.321,5.517,13.792,50.982,235.422,4.748,3.074,5.165,6.889,10,6.883,8.302,9.349,3.943,2.017,3.939,10.889,2.707,1.446,28.75,11.275,5.894,2.907,11.31,35.735,3.482,2.619,2.619,4.094,4.779,2.862,1.121,3.877,3.338,4.679,3.779,4.625,3.47,2,2.912,0.032,13.5,58.778,2.68,2.579,3.047,0.0,3.555,34.0,8.54
5.0,0.604,4.3,0.214,0.0,1.168,25.665,10.854,0.007,-0.436,-0.436,0.251,1.215,15,10.328,3.745,1.668,1.144,6.162,9.196,5.297,14.414,36.022,247.193,4.729,3.074,5.085,6.803,10,6.824,8.2,9.299,3.943,1.845,3.943,10.497,2.645,1.31,28.0,11.199,5.715,2.907,12.268,26.614,3.481,2.409,2.409,4.043,4.727,2.739,1.04,3.774,3.338,4.646,3.743,4.564,3.458,2,2.912,0.034,13.5,51.111,2.69,2.5,3.047,0.0,3.526,33.0,8.46
5.0,0.609,4.5,0.235,0.0,1.155,23.842,10.288,0.005,-0.809,-0.809,0.259,1.064,14,8.714,3.712,1.63,1.128,5.61,8.133,5.307,11.856,36.022,223.651,4.659,2.91,5.066,6.771,7,6.507,7.854,9.206,3.921,1.844,3.834,10.036,2.617,1.116,27.5,10.34,5.64,2.907,10.595,29.148,3.432,2.393,2.393,4.007,4.691,2.737,1.035,3.732,3.334,4.535,3.677,4.533,3.409,1,2.912,0.034,13.5,49.278,2.703,2.5,2.954,0.0,3.497,32.0,8.049
6.081,0.664,6.5,-0.234,0.0,1.1,15.458,6.402,0.014,1.041,1.041,0.329,1.141,2,11.102,3.672,2.151,1.219,4.359,8.143,7.076,14.225,99.06,188.338,4.539,3.108,5.334,7.175,3,6.943,8.521,9.565,3.953,2.512,3.914,12.299,3.065,1.567,33.75,9.517,5.997,2.91,10.123,73.038,3.669,2.94,2.94,4.277,4.963,3.448,1.298,4.08,3.429,4.585,3.656,4.832,3.482,0,2.941,0.025,14.5,89.778,3.095,2.955,3.151,0.0,3.664,38.0,8.65
5.0,0.654,6.0,-0.332,0.0,1.098,18.497,8.94,0.013,0.731,0.731,0.268,1.214,4,12.176,3.672,1.836,1.127,6.14,8.794,6.451,16.831,24.259,270.735,4.55,3.131,5.089,6.886,5,7.005,8.444,9.217,3.927,2.107,4.017,11.214,2.799,1.292,32.0,9.519,5.66,2.91,12.424,32.676,3.62,2.504,2.504,4.111,4.796,3.007,1.52,3.804,3.417,4.633,3.651,4.62,3.483,0,2.941,0.03,15.0,56.611,3.123,2.597,3.159,0.0,3.584,35.0,8.724
5.387,0.652,6.1,-0.288,0.0,1.171,18.39,8.484,0.013,0.871,0.871,0.303,1.202,5,11.874,3.673,2.1,1.276,5.421,8.522,6.646,15.112,69.14,235.422,4.588,3.152,5.156,6.989,6,7.141,8.708,9.439,3.95,2.35,3.984,12.336,2.991,1.482,32.75,9.863,6.217,2.973,11.183,30.618,3.681,2.518,2.518,4.19,4.875,3.181,1.34,3.992,3.47,4.68,3.687,4.677,3.505,0,2.941,0.029,14.5,76.361,3.128,2.643,3.206,0.0,3.638,37.0,8.894
5.387,0.656,5.8,-0.248,0.0,1.128,23.463,8.333,0.014,2.275,2.275,0.316,1.23,5,12.938,3.673,2.321,1.203,5.169,9.494,7.341,15.241,114.02,223.651,4.854,3.186,5.312,7.159,6,7.66,9.417,9.821,3.968,2.509,4.059,14.272,3.17,1.92,35.5,10.642,6.398,3.078,11.202,33.804,3.909,2.858,2.858,4.317,5.004,3.442,1.279,4.297,3.517,4.795,3.855,4.808,3.582,0,3.04,0.026,14.5,101.278,3.093,2.991,3.24,0.0,3.738,41.0,9.552
5.0,0.656,5.8,-0.248,0.0,1.199,19.231,8.376,0.013,2.275,2.275,0.316,1.21,5,12.883,3.673,2.279,1.331,5.169,9.98,7.325,15.258,114.02,223.651,4.684,3.179,5.29,7.152,6,7.654,9.407,9.76,3.968,2.51,4.062,14.29,3.156,2.14,35.5,10.637,7.192,3.149,11.184,33.804,4.033,2.926,2.926,4.317,5.004,3.446,1.232,4.319,3.475,4.955,3.871,4.796,3.582,0,3.113,0.026,14.5,101.278,3.065,2.991,3.271,0.0,3.738,41.0,9.546
7.987,0.591,1.9,-0.444,0.0,1.074,32.79,18.949,0.004,-1.322,-1.322,0.205,1.095,14,13.722,3.664,1.496,1.056,8.175,13.18,2.757,19.995,3.124,353.133,5.313,2.981,4.518,6.305,13,7.5,9.061,7.294,3.9,1.5,4.183,10.873,2.496,1.646,19.0,13.361,5.761,2.91,19.439,32.313,3.054,1.687,1.687,3.726,4.407,2.5,1.039,3.72,3.335,5.073,3.976,4.139,3.468,2,2.941,0.054,6.0,40.25,2.379,2.17,2.866,0.0,3.332,27.0,9.245
5.886,0.654,6.0,-0.332,0.0,1.197,20.206,9.716,0.013,0.713,0.713,0.268,1.157,4,12.264,3.672,2.085,1.262,6.14,9.162,6.466,16.746,24.259,270.735,4.634,3.096,5.125,6.895,6,7.014,8.452,9.286,3.927,2.1,4.05,11.203,2.917,1.335,32.0,9.515,5.723,2.974,12.8,32.676,3.491,2.466,2.466,4.111,4.796,2.992,1.381,3.868,3.398,4.714,3.7,4.635,3.483,0,2.964,0.031,15.0,56.611,2.969,2.625,3.115,0.0,3.584,35.0,8.73
5.0,0.64,6.1,-0.356,0.0,1.084,19.359,8.921,0.013,0.132,0.132,0.257,1.254,7,11.714,3.672,1.806,1.142,6.247,8.283,6.007,16.095,24.259,270.735,4.576,3.152,5.061,6.872,8,6.937,8.346,9.104,3.941,2.107,3.974,10.792,2.774,1.243,30.5,9.743,5.574,2.91,11.571,30.618,3.593,2.503,2.503,4.094,4.779,3.005,1.447,3.764,3.417,4.561,3.625,4.59,3.47,0,2.941,0.032,14.5,53.111,3.113,2.595,3.15,0.0,3.555,34.0,8.653
5.456,0.64,6.1,-0.356,0.0,1.222,18.801,9.462,0.013,0.087,0.087,0.257,1.227,7,11.763,3.672,1.905,1.275,6.247,8.48,6.007,16.124,24.259,270.735,4.565,3.137,5.075,6.872,7,6.938,8.345,9.113,3.942,2.106,3.992,10.798,2.811,1.264,30.5,9.743,5.645,2.933,11.807,30.618,3.554,2.5,2.5,4.094,4.779,3.002,1.527,3.803,3.41,4.63,3.636,4.59,3.47,0,2.945,0.032,14.5,53.111,2.973,2.618,3.138,0.0,3.555,34.0,8.653
5.0,0.654,6.5,-0.294,0.0,1.128,16.78,7.944,0.014,0.294,0.294,0.301,1.145,3,11.018,3.672,1.953,1.211,5.15,8.07,6.389,14.772,54.18,223.651,4.499,3.105,5.116,6.952,4,6.74,8.203,9.226,3.936,2.107,3.92,11.178,2.824,1.22,31.5,9.282,5.808,2.91,10.849,45.675,3.642,2.504,2.504,4.143,4.828,3.006,1.473,3.856,3.421,4.553,3.602,4.649,3.446,0,2.941,0.029,14.5,66.778,3.123,2.773,3.144,0.0,3.584,35.0,8.397
5.638,0.65,6.5,-0.317,0.0,1.108,19.424,8.576,0.013,0.132,0.132,0.28,1.155,6,11.551,3.672,2.015,1.127,5.419,8.422,6.055,15.203,24.259,235.422,4.48,3.096,5.089,6.881,7,6.688,8.11,9.143,3.923,2.1,3.953,10.776,2.861,1.165,30.75,9.501,5.562,2.91,11.244,30.933,3.485,2.461,2.461,4.094,4.779,2.991,1.206,3.813,3.424,4.536,3.619,4.605,3.448,0,2.941,0.032,14.5,55.222,2.953,2.625,3.221,0.0,3.555,34.0,8.378
5.711,0.652,6.0,-0.358,0.0,1.038,24.598,11.667,0.006,2.146,2.146,0.266,1.215,6,10.841,3.713,2.007,0.956,5.821,9.808,7.007,14.766,39.219,247.193,4.895,3.173,5.254,7.005,5,7.594,9.241,10.068,3.961,2.318,3.991,12.279,2.897,1.412,35.25,10.233,5.847,3.0,13.699,43.907,3.659,2.65,2.65,4.248,4.934,3.263,1.169,3.762,3.466,4.776,3.737,4.745,3.552,0,2.981,0.028,17.0,67.167,3.074,2.851,3.088,0.0,3.714,40.0,9.395
6.14,0.682,7.9,-0.31,0.0,1.18,28.593,12.643,0.01,-0.103,-0.103,0.288,1.064,5,7.168,3.663,1.887,1.239,4.123,8.493,5.778,9.441,37.921,176.567,4.841,2.91,5.251,6.911,2,5.909,7.209,10.274,3.846,2.081,3.897,9.902,2.777,1.082,29.5,7.938,5.49,2.851,10.871,30.681,3.432,2.173,2.173,4.078,4.762,2.905,1.636,3.938,3.366,4.568,3.831,4.663,3.331,0,2.843,0.024,14.5,45.111,2.191,2.553,2.866,0.0,3.497,32.0,7.358
8.695,0.591,1.8,-0.851,0.0,0.976,29.084,15.146,0.008,-0.943,-0.943,0.209,1.256,14,13.512,3.57,1.0,0.917,8.678,11.859,1.638,19.994,3.124,411.989,5.251,3.089,3.97,5.932,6,7.738,9.289,6.215,3.826,1.196,4.173,10.924,2.047,1.568,14.5,13.313,5.795,3.055,17.729,43.446,2.972,1.538,1.538,3.497,4.174,2.212,1.067,3.723,3.317,5.113,3.832,3.807,3.454,1,3.077,0.061,1.5,41.75,2.517,2.0,3.035,0.0,3.219,24.0,9.543
5.719,0.704,6.4,-0.309,0.0,0.975,30.4,12.819,0.008,2.275,2.275,0.285,1.135,3,10.987,3.671,2.213,0.905,5.155,10.596,6.627,14.409,21.809,200.109,4.917,3.128,5.567,7.259,1,7.223,8.857,11.203,3.989,2.427,4.04,12.314,3.036,1.364,34.5,9.83,5.707,2.91,13.787,39.498,3.727,2.571,2.571,4.327,5.014,3.206,0.989,3.99,3.497,4.794,3.805,4.951,3.524,0,2.941,0.029,15.5,58.111,2.86,2.835,3.09,0.0,3.689,39.0,9.029
4.137,0.606,3.5,1.382,0.0,0.922,75.949,35.585,0.01,3.163,3.163,0.223,1.628,13,20.507,3.875,2.673,1.005,11.893,20.92,6.868,28.739,39.146,514.835,5.922,3.553,5.244,7.121,17,11.565,13.886,9.226,3.97,2.713,4.641,18.522,3.552,2.735,40.25,20.598,6.525,3.377,29.575,67.334,3.917,3.003,3.003,4.443,5.13,3.659,1.093,4.498,3.641,5.548,4.593,4.832,3.972,3,3.386,0.046,16.0,88.75,2.805,3.092,3.434,0.0,3.951,51.0,14.491
6.777,0.587,1.9,-0.858,0.0,1.154,26.222,12.708,0.007,-0.448,-0.448,0.22,1.343,11,11.178,3.569,1.5,1.124,7.525,9.793,4.135,15.954,3.124,341.362,4.962,3.215,4.669,6.406,11,7.202,8.565,7.861,3.825,1.659,3.994,10.16,2.5,1.339,22.5,10.946,5.837,3.037,14.044,34.61,3.201,1.815,1.815,3.795,4.477,2.651,1.123,3.728,3.369,4.867,3.774,4.23,3.436,1,3.033,0.035,9.0,46.833,2.736,2.381,3.068,0.0,3.401,29.0,8.824
8.21,0.688,11.1,-0.673,0.0,0.553,6.28,2.598,0.01,-3.112,-3.112,0.329,1.012,0,3.634,3.415,0.927,0.434,2.63,2.101,4.666,5.367,38.281,94.169,3.618,2.74,4.638,6.492,0,3.839,4.579,8.07,3.849,1.571,2.861,6.037,2.118,0.437,21.5,2.965,4.358,2.219,2.721,13.841,2.707,1.63,1.63,3.726,4.407,2.555,0.921,2.692,2.838,3.276,2.564,4.186,2.898,0,2.187,0.023,10.5,36.333,2.399,1.912,2.356,0.0,3.219,24.0,4.709
