pXC50,nAB,nO,MW,nSK,nAT,nBO,Si,nBT,nCsp2
4.341,12,0,339.55,24,49,26,54.982,51,13
4.1,12,3,345.46,24,43,26,48.365,45,13
4.097,21,1,374.25,25,38,28,42.665,41,15
4.1,11,3,308.31,22,36,23,41.211,37,12
4.315,12,0,381.64,27,58,29,65.228,60,13
4.1,6,3,336.37,22,37,22,42.886,37,8
4.1,17,2,320.42,24,44,27,49.152,47,15
4.1,11,2,300.4,22,42,23,47.734,43,11
4.097,17,1,321.46,24,47,26,52.856,49,14
4.0,18,3,387.47,29,50,31,55.86,52,21
4.097,16,4,278.27,21,31,24,33.914,34,17
4.0,6,1,264.43,18,38,19,42.863,39,7
4.0,12,5,456.58,31,51,33,56.62,53,18
4.0,17,2,432.34,25,35,27,38.256,37,15
4.097,17,1,264.35,20,36,22,40.112,38,15
4.1,10,4,236.21,17,25,18,28.661,26,7
5.192,18,4,432.88,31,48,33,53.1,50,22
5.63,12,4,458.97,30,45,33,49.525,48,18
4.1,11,0,192.66,13,22,14,24.601,23,8
5.396,12,6,495.36,32,48,34,53.383,50,18
4.187,22,2,459.62,33,58,37,64.982,62,19
4.097,12,4,480.52,36,56,41,62.734,61,23
4.0,11,2,359.51,24,41,25,45.66,42,12
4.1,10,1,291.5,20,45,21,50.61,46,8
4.368,12,5,482.62,33,55,35,61.036,57,20
4.1,22,1,445.55,33,57,37,64.774,61,18
4.1,15,3,341.37,25,41,28,46.369,44,14
4.679,6,1,412.1,27,61,28,69.212,62,7
4.465,12,4,440.58,30,50,32,55.411,52,18
4.097,12,4,329.36,23,34,25,37.913,36,14
4.097,17,1,348.49,26,50,29,56.355,53,14
5.472,18,4,477.33,31,48,33,52.997,50,22
4.1,12,2,296.36,22,38,24,42.903,40,12
4.097,22,0,329.44,25,44,28,49.398,47,17
4.097,23,2,370.44,28,46,31,51.318,49,20
4.0,18,7,483.54,34,55,36,61.618,57,21
4.1,6,4,337.36,25,40,29,44.824,44,11
4.1,0,4,297.44,21,48,22,54.734,49,2
4.097,12,0,284.17,18,29,19,33.04,30,10
4.0,12,2,314.36,22,33,24,36.751,35,16
4.348,12,6,416.49,29,49,31,54.91,51,16
4.0,16,1,350.52,25,47,28,52.278,50,15
5.821,12,7,490.95,33,52,35,58.063,54,18
4.0,12,6,414.47,29,47,31,52.495,49,17
6.153,17,6,452.49,31,43,34,47.169,46,21
4.0,12,0,325.28,20,34,21,37.711,35,13
4.0,6,6,367.43,24,37,25,41.086,38,12
4.0,6,5,324.36,21,29,22,32.129,30,11
4.1,12,5,496.67,36,72,39,81.683,75,13
4.1,6,6,378.44,26,44,28,49.495,46,11
4.117,12,4,454.61,31,53,33,58.826,55,18
5.419,12,6,527.03,36,59,39,65.684,62,20
4.1,12,1,359.25,22,37,25,41.535,40,11
4.468,12,7,536.65,38,66,41,73.78,69,20
4.1,12,3,442.0,31,59,34,66.465,62,14
4.354,18,4,495.03,34,57,38,63.265,61,21
4.1,11,4,397.35,28,42,30,48.839,44,11
4.503,12,5,535.76,36,69,39,78.191,72,13
4.0,5,3,268.37,18,34,19,38.451,35,6
5.49,12,6,513.0,35,56,38,62.269,59,20
5.35,17,4,407.83,29,43,32,47.768,46,21
4.097,17,0,288.42,22,42,25,46.733,45,15
4.097,23,0,326.43,25,43,28,47.9,46,19
4.0,11,5,302.32,21,31,23,34.043,33,14
5.277,12,6,461.29,29,46,31,51.416,48,17
4.0,6,1,319.28,19,35,20,39.336,36,7
4.1,12,1,291.16,17,28,18,31.124,29,12
4.109,11,1,245.29,17,24,19,27.036,26,10
5.092,12,6,440.47,31,47,34,52.661,50,17
4.221,21,2,336.35,25,38,28,42.828,41,17
4.1,6,3,354.23,21,37,22,41.871,38,9
4.0,12,5,386.81,27,42,30,46.894,45,15
4.266,17,3,356.44,25,41,27,46.033,43,15
5.478,12,6,472.58,32,52,34,57.83,54,18
4.097,23,1,355.47,27,48,30,53.441,51,20
4.1,16,0,237.33,18,33,20,36.986,35,13
4.889,16,5,371.4,26,39,28,43.538,41,15
4.1,17,3,373.44,26,42,28,47.289,44,15
4.1,11,3,318.13,19,27,21,29.629,29,14
4.1,11,5,421.92,29,53,31,60.053,55,10
4.0,6,3,294.38,19,29,20,32.126,30,11
4.1,12,7,388.41,28,48,29,54.199,49,15
4.1,16,1,329.82,23,39,25,44.136,41,13
5.539,18,3,452.29,29,44,31,48.629,46,21
4.1,12,6,396.78,27,41,28,46.443,42,14
4.1,6,4,338.82,23,42,24,47.515,43,9
4.1,16,3,379.52,24,37,26,40.959,39,14
4.177,12,4,426.55,29,47,31,51.996,49,18
4.1,17,3,323.38,24,41,26,46.03,43,16
4.004,11,7,498.57,34,52,37,57.624,55,19
4.536,16,4,292.3,22,34,25,37.329,37,17
4.1,6,3,283.3,20,35,21,40.128,36,8
4.1,11,6,457.59,32,59,35,66.072,62,13
4.097,23,2,370.44,28,46,31,51.318,49,20
4.1,6,2,281.41,20,44,20,50.239,44,7
4.049,22,1,406.57,28,46,31,50.949,49,18
4.1,0,1,246.39,18,40,19,45.358,41,3
5.363,23,5,530.65,38,64,41,71.527,67,24
4.1,6,2,294.68,19,29,19,33.87,29,8
4.1,12,1,251.31,19,32,21,35.78,34,13
4.1,23,4,441.52,33,56,36,62.485,59,23
4.0,12,4,377.21,23,36,24,40.167,37,15
4.587,17,4,471.65,32,57,35,63.74,60,17
4.097,18,4,486.38,33,54,35,60.373,56,21
4.355,22,2,379.83,27,41,30,45.93,44,18
4.1,5,3,315.46,20,37,21,41.87,38,4
4.1,12,2,283.36,21,38,22,42.82,39,14
4.0,11,0,347.6,23,48,24,53.902,49,11
5.046,17,5,496.61,34,54,37,60.202,57,20
4.097,17,1,366.48,27,50,30,56.694,53,14
4.0,11,5,261.25,19,30,20,33.621,31,12
4.1,11,3,398.32,26,47,28,53.163,49,10
4.355,12,3,360.84,24,37,25,40.98,38,17
4.1,11,2,286.41,21,43,22,48.567,44,10
4.0,6,0,303.28,18,34,19,38.126,35,7
4.1,12,3,470.62,33,60,36,67.864,63,15
4.009,12,6,486.61,33,55,35,61.245,57,18
4.0,6,1,329.29,18,35,19,39.289,36,7
4.097,17,1,348.49,26,50,29,56.355,53,14
4.393,12,4,466.62,32,54,34,59.826,56,20
4.931,6,2,283.32,21,34,23,38.571,36,11
4.0,12,3,243.28,18,31,19,34.618,32,13
4.345,6,1,250.4,17,35,18,39.448,36,7
4.509,12,6,416.49,29,49,31,54.91,51,16
4.1,12,2,319.83,21,35,23,38.688,37,13
4.1,6,2,283.36,21,38,21,42.82,38,6
5.362,15,4,430.56,28,42,31,46.085,45,16
4.1,11,4,450.63,31,62,33,70.322,64,11
4.1,16,2,319.79,21,31,23,34.439,33,13
4.1,11,4,314.77,20,31,21,34.774,32,11
4.1,15,6,384.42,28,48,31,53.99,51,14
4.1,12,4,398.51,29,55,30,62.398,56,14
4.629,12,3,373.22,23,36,25,39.958,38,16
4.1,11,6,422.55,29,55,31,62.155,57,10
4.017,12,1,308.39,22,34,25,37.783,37,15
4.1,6,2,370.55,27,57,30,64.81,60,8
4.0,6,1,327.92,21,43,22,48.72,44,7
4.1,12,2,292.36,22,38,25,42.322,41,14
4.383,12,1,382.06,19,29,20,31.965,30,14
4.0,12,2,324.39,23,35,26,38.993,38,15
4.525,22,4,436.88,31,48,34,53.681,51,20
4.1,17,3,438.95,31,54,33,60.717,56,18
4.421,17,0,333.48,25,48,28,54.228,51,14
4.1,12,1,333.86,23,43,25,48.967,45,9
4.13,17,3,374.21,23,35,25,39.041,37,15
4.1,22,1,373.51,27,46,30,50.946,49,19
4.987,12,5,491.39,30,49,32,54.542,51,17
5.122,6,3,231.27,17,30,19,33.618,32,9
4.0,6,0,346.58,22,40,25,44.078,43,11
4.097,17,1,362.52,27,53,30,59.77,56,14
4.639,21,2,405.88,28,40,31,43.854,43,20
4.0,12,3,380.53,28,56,30,63.022,58,14
4.296,12,7,441.49,31,50,33,55.621,52,18
4.746,18,7,445.41,33,48,36,53.452,51,22
4.036,12,5,442.55,30,48,32,53.205,50,18
4.449,22,4,400.43,29,41,33,44.83,45,22
4.184,12,6,470.56,32,50,35,55.415,53,18
5.368,0,5,297.45,19,44,18,50.738,43,1
4.097,12,3,432.35,27,49,28,55.117,50,15
4.1,11,1,316.86,22,43,24,48.302,45,10
4.1,11,1,442.44,28,56,32,62.944,60,10
4.1,16,2,350.46,26,48,29,54.149,51,14
5.417,11,8,542.63,37,59,40,65.664,62,19
4.1,12,1,294.15,19,28,20,31.253,29,13
4.0,6,3,425.64,28,55,30,62.527,57,8
4.0,12,3,470.7,33,67,35,75.769,69,14
4.122,11,5,378.45,26,44,27,49.867,45,10
4.1,6,1,247.42,18,43,19,48.69,44,6
4.414,16,2,487.12,33,64,36,72.089,67,15
4.097,17,2,363.5,27,52,30,58.481,55,14
4.1,12,5,396.48,29,53,31,59.611,55,15
4.1,6,2,299.88,20,46,20,52.259,46,6
4.1,6,1,300.46,21,41,21,45.863,41,14
4.282,16,5,510.05,32,48,35,53.152,51,17
4.1,11,3,331.43,23,40,25,44.95,42,11
4.446,17,2,436.39,28,47,31,52.459,50,15
4.049,12,5,386.85,27,46,29,51.143,48,16
5.251,18,5,462.91,33,52,35,57.724,54,22
4.117,12,7,502.61,34,56,36,62.454,58,18
4.1,6,6,363.41,26,47,26,53.488,47,12
4.1,5,4,336.8,23,40,25,45.1,42,9
4.0,16,2,487.12,33,64,36,72.089,67,15
4.097,17,0,307.4,23,41,26,46.156,44,14
4.102,12,6,470.56,32,50,35,55.415,53,18
4.745,18,5,442.5,33,55,35,61.196,57,22
4.1,0,6,428.57,31,63,35,70.9,67,7
4.1,21,2,433.58,31,54,35,60.567,58,17
4.1,12,2,266.32,20,34,22,37.907,36,13
5.258,18,4,416.43,31,48,33,53.496,50,22
4.398,22,2,499.68,37,70,42,79.305,75,16
4.1,11,4,417.5,29,49,32,55.329,52,13
4.1,11,3,411.31,24,39,25,43.874,40,12
4.1,12,4,420.95,28,49,30,54.85,51,14
4.367,12,5,446.94,30,49,33,54.644,52,14
4.1,11,5,333.34,24,39,25,44.615,40,10
4.662,11,5,280.32,19,31,20,34.458,32,11
4.86,12,6,497.59,34,53,37,58.913,56,19
4.1,6,4,324.44,22,42,24,47.491,44,7
4.1,6,4,297.81,17,29,17,32.611,29,6
4.1,11,0,323.45,24,45,27,51.395,48,8
4.0,15,2,253.29,18,25,21,27.083,28,14
4.1,5,2,266.4,18,36,19,40.657,37,6
4.1,10,0,231.39,16,33,18,36.74,35,8
4.112,17,4,427.57,30,55,33,61.82,58,15
4.65,16,5,396.84,28,45,31,49.728,48,18
4.0,12,4,468.64,32,56,34,62.241,58,18
4.068,12,7,486.56,33,51,36,56.624,54,18
4.1,6,2,332.33,23,39,24,45.511,40,9
4.1,6,4,489.38,30,47,33,52.499,50,17
4.0,17,3,282.28,21,31,23,34.867,33,14
4.1,11,2,339.5,21,34,22,37.75,35,10
4.0,27,2,411.51,30,47,34,51.74,51,23
4.1,16,2,315.78,22,36,24,40.349,38,13
5.293,12,6,524.66,36,60,39,66.66,63,20
5.155,0,26,1661.04,115,224,114,258.679,223,22
6.319,40,5,620.7,47,75,54,83.023,82,34
6.569,32,5,625.51,42,67,47,74.449,72,28
6.469,32,6,562.62,42,68,47,75.817,73,28
6.469,32,8,607.62,45,70,50,78.319,75,28
6.42,32,5,581.06,42,67,47,74.551,72,28
6.387,32,5,546.62,41,67,46,74.607,72,28
6.284,31,6,583.67,42,67,47,74.82,72,25
6.252,32,5,567.03,41,64,46,71.136,69,28
6.215,31,5,571.63,41,63,46,70.535,68,25
6.194,32,7,591.62,44,69,49,77.109,74,28
6.187,27,5,496.56,37,61,41,68.192,65,24
6.187,27,5,510.59,38,64,42,71.607,68,24
6.149,32,5,611.48,41,64,46,71.034,69,28
6.131,27,5,496.56,37,61,41,68.192,65,24
6.114,32,5,504.53,38,58,43,64.362,63,28
6.046,21,5,502.62,37,67,41,75.438,71,18
6.041,32,5,518.56,39,61,44,67.777,66,28
6.013,27,5,510.59,38,64,42,71.607,68,24
5.955,32,5,547.61,41,66,46,73.691,71,27
5.928,32,5,518.56,39,61,44,67.777,66,28
5.87,32,5,532.59,40,64,45,71.192,69,28
5.827,32,7,577.59,43,66,48,73.694,71,28
5.745,32,5,574.68,43,73,48,81.438,78,28
5.697,32,5,560.65,42,70,47,78.023,75,28
5.656,32,5,546.62,41,67,46,74.607,72,28
5.629,27,7,541.56,40,63,44,70.694,67,24
5.578,32,5,560.65,42,70,47,78.023,75,28
5.509,21,5,488.59,36,64,40,72.023,68,18
5.492,32,5,533.58,40,63,45,70.275,68,27
5.463,32,5,546.62,41,67,46,74.607,72,28
5.416,32,5,532.59,40,64,45,71.192,69,28
5.313,32,5,581.06,42,67,47,74.551,72,28
5.299,32,5,532.59,40,64,45,71.192,69,28
5.208,32,5,546.62,41,67,46,74.607,72,28
4.0,15,3,445.63,29,48,32,53.205,51,14
4.0,18,3,407.84,29,44,31,48.732,46,21
5.907,23,4,507.0,35,54,38,60.016,57,24
5.446,18,5,512.03,34,52,37,57.066,55,23
4.221,18,4,403.43,30,48,32,53.412,50,21
4.097,12,2,245.27,18,29,19,33.156,30,10
4.0,6,4,228.29,15,27,15,30.249,27,7
4.409,12,7,577.47,38,60,41,66.838,63,20
5.071,16,3,453.63,31,54,36,60.115,59,13
4.0,23,2,448.96,31,48,34,53.182,51,23
4.097,17,0,331.5,25,50,28,56.062,53,15
4.0,17,1,389.56,28,51,30,56.776,53,16
4.134,23,4,535.06,37,60,40,66.847,63,24
4.031,18,3,373.4,28,44,30,48.788,46,21
4.094,15,3,286.37,20,34,22,37.455,36,13
4.0,12,4,312.35,23,39,24,43.741,40,15
4.0,12,4,454.61,31,53,33,58.826,55,18
4.097,12,0,289.76,20,32,21,36.678,33,10
4.387,18,4,451.9,32,51,34,56.772,53,21
4.196,12,5,478.96,32,52,34,58.399,54,17
5.422,23,4,507.0,35,54,38,60.016,57,24
4.0,12,5,335.76,23,37,24,41.396,38,14
4.0,12,7,519.01,35,58,37,64.894,60,18
4.098,12,5,342.14,22,31,23,34.509,32,13
4.183,11,1,460.69,34,70,39,79.427,75,10
5.369,12,7,490.95,33,52,35,58.063,54,18
4.763,18,7,556.04,37,55,40,60.485,58,24
4.384,12,5,524.36,29,46,31,51.006,48,17
4.832,18,3,452.29,29,44,31,48.629,46,21
4.515,12,7,577.47,38,60,41,66.838,63,20
4.0,12,3,298.33,22,36,23,40.697,37,15
4.0,6,3,212.29,14,26,14,29.039,26,7
4.329,12,5,463.33,28,43,30,47.712,45,17
4.13,6,4,278.31,19,29,20,32.415,30,11
4.808,12,4,416.91,28,45,30,50.02,47,17
4.859,17,5,482.97,33,52,36,57.644,55,21
4.0,11,3,202.22,15,25,16,27.704,26,11
4.0,23,3,500.67,36,64,39,71.524,67,23
4.0,12,5,417.27,26,43,28,47.625,45,16
4.0,6,5,244.29,16,28,16,31.458,28,7
4.0,18,5,404.41,30,47,33,52.124,50,22
4.301,17,3,380.5,27,47,30,52.282,50,17
4.301,16,4,482.66,34,64,37,72.148,67,16
4.301,17,2,481.65,34,62,37,70.152,65,17
4.298,22,2,433.58,31,54,34,60.567,57,19
4.0,12,5,348.76,24,37,26,41.479,39,14
4.0,16,2,408.97,26,43,28,48.102,45,12
4.0,17,5,326.29,24,34,26,38.286,36,15
4.478,16,2,370.52,26,48,29,54.069,51,12
4.0,12,4,285.28,21,32,22,35.993,33,14
4.644,21,2,398.55,27,45,30,50.158,48,16
4.28,20,0,232.3,18,30,21,33.073,33,15
4.09,11,4,340.42,22,34,23,38.332,35,11
4.1,17,2,398.9,27,42,29,46.767,44,16
4.64,12,5,496.4,32,51,34,57.087,53,16
4.0,16,4,373.78,26,38,28,42.934,40,15
4.0,12,2,386.27,24,40,26,44.662,42,15
4.311,18,6,434.44,32,50,34,56.156,52,21
4.0,18,3,387.47,29,50,31,55.86,52,21
4.843,16,5,371.4,26,39,28,43.538,41,16
4.0,12,5,361.76,25,37,27,41.562,39,14
4.188,11,3,354.2,20,28,21,31.13,29,12
4.462,11,6,452.56,30,50,32,56.411,52,12
4.0,12,3,348.17,21,31,22,34.626,32,14
4.472,12,5,482.37,31,48,33,53.672,50,16
4.0,11,2,372.02,18,26,19,28.759,27,12
4.0,16,3,337.41,25,44,27,49.445,46,16
4.0,18,3,414.9,28,43,30,47.977,45,19
4.375,16,4,434.52,32,56,35,63.274,59,17
4.302,17,3,368.41,26,39,28,43.376,41,19
4.052,23,3,396.43,30,46,34,51.113,50,22
4.0,18,4,389.44,29,48,31,53.654,50,21
4.519,18,2,378.84,27,42,29,46.847,44,20
4.042,12,4,323.33,24,37,26,41.409,39,17
5.248,23,5,530.65,38,64,41,71.527,67,24
4.004,22,5,527.64,38,63,42,70.029,67,25
4.575,22,4,506.64,36,62,40,69.899,66,18
4.097,22,1,392.53,28,48,31,54.026,51,16
4.305,21,1,409.58,28,47,31,52.447,50,17
4.097,16,3,374.51,26,48,28,54.278,50,12
4.097,10,0,178.23,13,23,14,26.82,24,5
4.511,11,1,392.56,29,57,33,64.766,61,10
4.951,15,3,446.62,29,47,32,52.288,50,14
4.703,11,1,353.53,25,48,27,53.776,50,10
4.378,22,2,431.56,31,52,35,58.152,56,18
4.633,17,3,377.45,27,42,30,46.534,45,16
4.575,17,1,375.53,27,48,29,53.361,50,16
4.565,17,1,367.88,25,39,27,43.06,41,16
4.551,17,2,391.53,28,49,30,54.571,51,16
4.53,20,1,358.89,23,34,26,37.066,37,16
4.516,17,2,377.5,27,46,29,51.155,48,16
5.383,11,2,462.66,34,68,39,77.221,73,10
4.952,17,1,468.66,35,67,40,75.597,72,16
4.673,11,1,434.65,32,66,36,75.012,70,10
5.472,23,1,546.78,41,79,46,88.842,84,22
4.814,23,1,559.78,42,79,48,88.926,85,22
5.065,23,1,539.13,39,70,44,78.541,75,22
4.885,23,2,534.72,40,74,45,83.221,79,22
4.876,23,1,504.69,38,70,43,78.597,75,22
4.766,11,1,406.59,30,60,34,68.182,64,10
4.687,11,1,406.59,30,60,34,68.182,64,10
4.6,17,1,487.64,36,66,41,75.02,71,16
4.523,21,1,526.73,38,68,44,76.683,74,17
4.515,17,1,487.64,36,66,41,75.02,71,16
4.513,17,1,469.65,35,66,40,74.68,71,16
4.502,17,2,499.68,37,70,42,79.305,75,16
4.398,11,1,421.61,31,62,35,70.68,66,10
4.398,11,1,407.58,30,59,34,67.265,63,10
4.398,17,2,485.65,36,67,41,75.889,72,16
4.398,11,1,475.71,35,72,40,81.926,77,10
4.398,17,1,483.68,36,69,41,78.095,74,16
4.954,11,1,474.72,35,73,40,82.842,78,10
4.916,11,1,474.72,35,73,40,82.842,78,10
4.819,11,1,460.69,34,70,39,79.427,75,10
4.74,11,2,476.69,35,71,40,80.637,76,10
4.69,11,1,474.72,35,73,40,82.842,78,10
5.118,23,1,546.78,41,79,46,88.842,84,22
5.105,23,1,559.78,42,79,48,88.926,85,22
5.04,23,1,573.81,43,82,49,92.341,88,22
5.012,23,1,573.81,43,82,49,92.341,88,22
4.875,23,1,559.78,42,79,48,88.926,85,22
5.432,22,4,392.37,29,43,32,47.839,46,23
5.456,22,4,426.41,31,48,34,54.009,51,21
5.387,22,5,442.41,32,49,35,55.218,52,21
5.658,28,5,450.51,34,56,38,61.614,60,27
5.367,22,5,440.39,32,47,35,52.803,50,23
4.907,22,4,376.4,28,45,31,49.914,48,21
4.914,16,6,564.72,42,78,48,86.73,84,18
4.0,16,5,308.3,23,35,25,38.538,37,15
4.301,16,4,278.27,21,31,23,33.914,33,15
5.699,22,4,422.37,31,44,34,49.178,47,21
5.31,22,4,354.37,27,41,30,44.744,44,21
5.409,22,4,372.36,28,41,31,45.084,44,21
6.004,22,4,388.81,28,41,31,44.688,44,21
5.886,22,4,390.35,29,41,32,45.423,44,21
5.699,22,5,438.37,32,45,35,50.388,48,21
6.201,28,5,446.47,34,52,38,56.784,56,27
4.77,22,5,384.4,29,45,32,49.369,48,21
5.456,22,4,390.35,29,41,32,45.423,44,21
4.983,23,4,503.64,35,56,38,61.909,59,25
5.097,23,4,514.62,36,54,39,59.577,57,25
4.398,23,5,521.66,36,59,39,65.534,62,23
5.553,11,7,405.43,27,38,29,41.88,40,16
4.357,11,6,329.29,24,35,26,39.412,37,14
4.357,11,8,431.45,30,47,32,52.415,49,16
4.357,11,7,447.52,30,47,32,52.126,49,16
4.444,11,8,387.33,28,41,30,46.246,43,15
5.292,11,8,403.39,28,41,30,45.585,43,16
4.357,11,7,433.49,29,44,31,48.711,46,16
4.854,12,3,421.57,29,48,32,52.703,51,19
5.745,11,7,419.46,28,41,30,45.295,43,16
4.357,11,5,359.39,25,38,27,42.538,40,14
5.602,5,4,309.39,20,31,21,34.252,32,11
5.721,17,5,461.53,33,52,36,57.784,55,22
6.0,17,5,475.56,34,55,37,61.199,58,22
5.252,11,8,389.36,27,38,29,42.17,40,16
5.229,11,7,419.46,28,41,30,45.295,43,16
5.721,5,4,337.45,22,37,23,41.082,38,11
4.357,11,8,403.39,28,41,30,45.585,43,16
4.745,11,7,419.46,28,41,30,45.295,43,16
5.342,32,5,532.59,40,64,45,71.192,69,28
4.01,18,12,721.83,52,95,54,107.312,97,24
5.032,12,12,673.79,48,91,49,103.312,92,18
4.1,12,11,603.69,43,80,44,90.857,81,17
4.097,12,0,248.74,17,30,18,34.013,31,10
4.097,12,1,268.15,17,28,18,31.087,29,11
5.268,11,6,421.5,27,38,29,41.591,40,16
5.319,17,5,475.56,34,55,37,61.199,58,22
5.319,11,8,403.39,28,41,30,45.585,43,16
4.678,11,7,419.46,28,41,30,45.295,43,16
4.357,11,8,417.42,29,44,31,49.0,46,16
5.469,17,6,476.54,34,54,37,59.91,57,22
4.469,11,5,345.36,24,35,26,39.123,37,14
5.367,11,8,417.42,29,44,31,49.0,46,16
4.357,11,7,403.4,28,41,30,45.957,43,15
4.357,11,9,463.47,31,44,33,48.714,46,17
5.367,11,6,435.53,28,41,30,45.006,43,16
4.357,11,6,343.32,25,38,27,42.827,40,14
6.009,15,4,416.53,27,39,30,42.67,42,16
4.0,12,7,452.5,33,57,36,64.03,60,17
4.097,23,0,312.4,24,40,27,44.484,43,19
5.06,11,7,405.43,27,38,29,41.88,40,16
6.409,11,7,433.49,29,44,31,48.711,46,16
5.886,15,4,430.56,28,42,31,46.085,45,16
4.55,17,3,494.68,35,65,39,73.52,69,15
5.764,15,4,306.34,20,26,22,28.505,28,12
4.251,11,3,310.43,20,34,21,37.956,35,11
5.889,0,2,193.19,14,21,15,24.326,22,5
4.803,11,1,460.69,34,70,39,79.427,75,10
4.602,33,4,557.65,42,69,47,76.896,74,30
4.909,6,2,309.36,23,38,25,42.986,40,13
5.464,12,4,386.43,27,42,29,47.0,44,17
5.907,0,2,207.22,15,24,16,27.741,25,5
4.361,12,3,346.19,21,33,22,36.459,34,16
4.097,12,2,317.4,23,42,24,48.398,43,10
