pXC50,P_VSA_LogP_4,SpMin1_Bh.i.,ATSC1m,ATSC5v,MATS2p,MATS2v,GATS2i,SaasC,SpMax5_Bh.p.,SpMin5_Bh.i.,SpMin6_Bh.m.,SpMin8_Bh.m.,GATS7e,SpMax2_Bh.s.,ATS4i,ATS5i,ATS6e,ATS6i,ATS8e,ATS8i,ATSC1p,ATSC2p,ATSC6m,ATSC7i,ATSC7v,ATSC8m,ATSC8v,CIC0,Si,SpMaxA_EA.ed.,C.005,JGI2,JGI6,nArOR,SpMax4_Bh.s.,GATS2p,ATSC8i,ATSC8p,ATS3p,ATSC4i,SpMin3_Bh.m.,SpMax5_Bh.i.,SpMin5_Bh.v.,MATS7e,SpMaxA_AEA.dm.,ATSC4v,AAC,IC0,BLTA96,BLTD48,BLTF96,Eta_sh_y,MLOGP,P_VSA_LogP_1,SIC0,P_VSA_e_5,P_VSA_m_3,P_VSA_p_2,P_VSA_s_6,P_VSA_v_2,SAacc,Eta_FL,ATS4p,ATSC4p,CATS2D_09_DD,GATS2v,P_VSA_MR_5,ATSC4s,ATSC5s,TPSA.NO.,TPSA.Tot.,ATS4e,ATSC7m,SpMax5_Bh.m.,SpMax5_Bh.v.,SpMin1_Bh.s.,ATS6p,DELS,Eta_alpha_A,ATSC1s,ATSC3s,ATSC4e,H.050,Hy,nHDon,CATS2D_06_LL,PW5,Eta_B,SpMax6_Bh.s.,TIE,ATSC3e,MATS2i,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3s,ATS3v,ATS4m,ATS4s,ATS4v,ATS5e,ATS5m,ATS5p,ATS5s,ATS5v,ATS6m,ATS6s,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS7v,ATS8m,ATS8p,ATS8s,ATS8v,ATSC1e,ATSC1i,ATSC1v,ATSC2e,ATSC2i,ATSC2m,ATSC2s,ATSC2v,ATSC3i,ATSC3m,ATSC3p,ATSC3v,ATSC4m,ATSC5e,ATSC5i,ATSC5m,ATSC5p,ATSC6e,ATSC6i,ATSC6p,ATSC6s,ATSC6v,ATSC7e,ATSC7p,ATSC7s,ATSC8e,ATSC8s,BAC,BBI,BIC0,BIC1,BIC2,BIC3,BIC4,BIC5,BID,BLI,C.,C.001,C.002,C.003,C.004,C.006
4.42,163.572,1.891,4.201,3.874,-0.171,-0.087,1.146,0.448,2.742,0.824,1.041,0.629,0.867,6.493,4.368,4.149,3.808,3.927,3.643,3.78,2.767,4.281,7.886,0.401,3.294,6.743,3.21,3.448,33.123,0.518,0,0.069,0.021,1,6.445,1.118,0.379,3.117,3.537,0.682,1.513,2.964,1.107,0.014,0.171,6.151,1.459,1.459,-2.99,-3.0,-2.89,0.436,1.764,0.0,0.297,164.195,164.195,164.195,164.195,164.195,164.195,6.057,3.384,5.619,0,0.927,0.0,96.755,66.04,90.9,90.9,4.227,6.903,2.865,2.763,1.096,3.079,34.424,0.458,27.418,65.286,0.707,3,1.103,3,5,0.103,0.63,4.582,42.745,0.524,-0.184,8.55,2.334,5.449,72.129,9.008,0.545,3.564,3.613,3.255,3.132,4.933,3.165,3.969,4.026,3.648,3.494,5.372,3.528,4.237,4.332,3.685,5.683,3.564,3.579,5.812,3.394,4.012,3.272,3.17,5.394,3.192,3.163,5.33,3.083,3.695,3.821,3.048,2.993,5.121,2.982,2.916,2.832,5.195,2.821,0.186,0.347,2.308,0.204,0.531,5.825,24.926,3.955,0.683,10.721,5.492,4.898,13.153,0.501,0.542,11.086,4.382,0.396,0.444,3.607,62.156,3.39,0.33,3.285,47.0,0.315,46.962,17.0,32,0.274,0.58,0.715,0.817,0.859,0.872,3.058,0.796,50.0,0,0,0,0,0
4.0,85.367,1.932,7.21,8.84,0.155,0.148,0.884,2.864,2.908,1.055,1.14,0.985,0.801,6.467,4.54,4.576,4.163,4.359,3.966,4.158,3.566,5.371,14.624,0.605,6.821,12.146,5.576,3.778,40.159,0.418,2,0.063,0.012,2,4.783,0.861,0.519,4.357,3.621,0.817,1.601,3.22,1.397,0.005,0.145,8.933,1.392,1.392,-3.6,-3.57,-3.4,0.321,2.368,21.766,0.269,107.366,107.366,107.366,107.366,107.366,107.366,5.927,3.578,6.949,0,0.805,0.0,39.214,39.902,58.92,58.92,4.358,13.55,2.988,2.912,1.14,3.339,21.046,0.467,11.664,26.143,0.367,2,0.311,2,5,0.092,0.468,4.244,34.495,0.216,0.148,9.35,3.249,10.553,77.827,7.564,0.571,3.68,3.763,3.235,3.195,4.923,3.193,4.117,4.247,3.523,3.508,5.31,3.497,4.272,4.4,3.567,5.479,3.585,3.455,5.568,3.491,4.344,3.237,3.467,5.382,3.361,3.132,5.289,3.251,4.077,4.301,3.119,3.235,5.139,3.156,3.13,3.058,5.315,3.021,0.075,0.431,4.047,0.201,0.648,12.543,19.208,6.253,0.758,14.484,6.305,7.371,16.933,0.311,0.786,18.223,6.732,0.28,0.653,5.519,39.685,6.881,0.181,5.179,25.427,0.339,43.753,21.0,28,0.255,0.565,0.698,0.807,0.858,0.868,3.056,0.865,44.4,0,0,0,0,0
4.0,128.05,1.931,6.338,7.073,0.024,0.044,1.017,2.107,2.755,0.856,1.099,0.803,0.823,6.47,4.47,4.389,4.098,4.317,3.86,4.01,3.218,4.881,13.894,0.547,6.001,10.046,4.662,3.634,36.744,0.456,1,0.066,0.013,1,4.822,0.996,0.469,3.89,3.556,0.746,1.572,3.006,1.149,0.0,0.155,8.095,1.411,1.411,-3.35,-3.33,-3.19,0.34,2.118,10.883,0.28,139.05,139.05,139.05,139.05,139.05,139.05,5.682,3.471,6.34,0,0.902,0.0,48.335,41.054,69.92,69.92,4.28,12.224,2.897,2.78,1.138,3.262,23.523,0.465,16.057,36.078,0.404,3,1.096,3,5,0.09,0.506,4.303,35.527,0.25,0.015,8.105,2.998,8.986,73.058,7.827,0.6,3.604,3.682,3.175,3.135,4.902,3.137,4.006,4.117,3.485,3.46,5.289,3.45,4.23,4.36,3.506,5.486,3.52,3.401,5.565,3.399,4.192,3.14,3.365,5.329,3.271,3.062,5.187,3.167,3.977,4.193,3.1,3.15,5.083,3.095,3.09,2.998,5.298,2.973,0.107,0.392,3.474,0.147,0.588,10.082,13.622,5.557,0.718,13.474,5.954,6.769,15.836,0.316,0.678,14.874,5.738,0.263,0.62,5.301,39.959,6.811,0.203,4.658,26.76,0.326,30.025,18.0,27,0.263,0.57,0.701,0.804,0.843,0.858,3.009,0.85,45.5,0,0,0,0,0
4.0,85.367,1.932,7.21,8.806,0.155,0.148,0.884,3.083,2.951,1.103,1.109,0.989,0.722,6.468,4.54,4.563,4.246,4.45,3.972,4.139,3.566,5.371,15.932,0.656,7.677,11.698,5.542,3.778,40.159,0.435,2,0.063,0.012,2,4.771,0.861,0.53,4.434,3.621,0.817,1.586,3.277,1.441,0.042,0.147,8.933,1.392,1.392,-3.6,-3.57,-3.4,0.321,2.368,21.766,0.269,107.366,107.366,107.366,107.366,107.366,107.366,5.927,3.588,6.952,0,0.805,0.0,36.814,33.892,58.92,58.92,4.358,15.367,3.058,2.963,1.142,3.409,20.574,0.467,11.664,27.704,0.37,2,0.311,2,5,0.097,0.468,4.265,33.687,0.216,0.148,8.75,3.249,10.553,77.827,7.564,0.571,3.68,3.763,3.235,3.195,4.923,3.193,4.117,4.247,3.523,3.508,5.315,3.497,4.272,4.4,3.567,5.468,3.585,3.481,5.535,3.507,4.348,3.284,3.515,5.392,3.412,3.151,5.334,3.303,4.163,4.413,3.157,3.283,5.135,3.196,3.182,3.129,5.249,3.092,0.075,0.431,4.047,0.201,0.648,12.543,19.347,6.253,0.758,14.484,6.305,7.371,16.964,0.294,0.797,17.774,6.809,0.288,0.715,6.075,42.813,7.701,0.213,5.664,27.199,0.323,27.463,21.0,28,0.255,0.565,0.698,0.807,0.858,0.899,3.057,0.865,44.4,0,0,0,0,0
5.796,170.733,1.925,6.468,7.283,-0.131,-0.073,1.212,1.57,2.755,0.849,1.099,0.747,1.029,6.488,4.57,4.465,4.029,4.265,3.749,3.918,3.187,5.067,13.509,0.47,4.92,9.659,4.076,3.581,35.744,0.459,0,0.068,0.014,0,6.446,1.199,0.4,3.299,3.565,0.784,1.602,2.986,1.135,-0.078,0.163,8.901,1.419,1.419,-3.17,-3.16,-3.04,0.36,1.942,0.0,0.284,170.733,170.733,170.733,170.733,170.733,170.733,4.942,3.449,6.711,0,1.066,5.069,79.76,78.034,80.92,80.92,4.354,10.609,2.872,2.779,1.287,3.146,26.937,0.463,23.179,47.413,0.456,4,1.996,4,5,0.083,0.544,4.423,39.358,0.275,-0.141,8.056,3.191,10.184,67.173,7.696,0.632,3.576,3.657,3.119,3.105,4.87,3.102,3.989,4.104,3.456,3.468,5.268,3.44,4.305,4.462,3.458,5.526,3.506,3.313,5.635,3.348,4.24,2.995,3.287,5.333,3.175,2.99,5.142,3.062,3.855,4.047,3.005,3.016,5.113,2.979,2.97,2.784,5.387,2.783,0.126,0.388,3.491,0.081,0.604,9.728,11.996,6.054,0.773,15.413,6.478,7.809,17.992,0.43,0.677,16.935,5.734,0.276,0.561,4.797,48.315,6.318,0.2,3.946,33.633,0.337,52.519,17.0,26,0.268,0.55,0.649,0.776,0.847,0.863,2.959,0.88,43.8,0,2,0,0,0
4.0,0.0,1.935,8.976,12.075,0.335,0.278,0.685,4.961,2.987,1.145,1.542,1.099,0.668,4.893,4.667,4.84,4.487,4.685,4.385,4.646,4.246,6.25,20.758,0.849,10.054,19.417,9.548,4.036,46.99,0.399,4,0.059,0.01,4,4.58,0.66,0.792,6.845,3.741,0.967,1.605,3.337,1.546,0.021,0.136,10.754,1.357,1.357,-4.08,-4.03,-3.81,0.29,2.848,43.532,0.252,44.0,44.0,44.0,44.0,44.0,44.0,6.415,3.788,8.254,0,0.666,0.0,28.459,28.811,36.92,36.92,4.498,18.696,3.111,3.004,1.151,3.64,14.244,0.47,8.452,17.503,0.315,0,-0.807,0,5,0.102,0.392,4.173,30.123,0.165,0.333,9.5,3.751,14.067,87.366,7.152,0.522,3.817,3.909,3.344,3.305,4.964,3.295,4.309,4.466,3.595,3.598,5.364,3.584,4.351,4.476,3.678,5.427,3.703,3.623,5.538,3.695,4.601,3.498,3.751,5.486,3.632,3.354,5.434,3.533,4.4,4.638,3.296,3.561,5.276,3.435,3.317,3.425,5.3,3.32,0.013,0.509,5.134,0.298,0.757,16.953,26.199,7.534,0.842,16.432,7.033,8.564,19.584,0.241,1.03,23.175,8.894,0.359,0.896,7.563,33.09,9.654,0.156,7.358,21.889,0.381,30.661,33.0,30,0.24,0.489,0.587,0.678,0.72,0.773,3.146,0.891,42.9,0,0,0,0,0
4.0,0.0,1.93,9.939,13.687,0.288,0.241,0.746,5.545,2.992,1.149,1.546,1.105,0.66,4.894,4.803,4.988,4.631,4.848,4.49,4.775,4.526,6.771,24.498,0.95,11.638,21.563,10.577,4.117,49.405,0.399,4,0.059,0.01,4,4.577,0.725,0.849,7.375,3.804,1.081,1.654,3.342,1.556,0.028,0.139,12.427,1.342,1.342,-4.16,-4.1,-3.88,0.29,2.928,43.532,0.246,44.0,44.0,44.0,44.0,44.0,44.0,5.919,3.867,9.278,0,0.727,5.069,29.81,31.09,36.92,36.92,4.618,22.086,3.114,3.009,1.295,3.722,14.709,0.47,9.309,18.913,0.329,0,-0.807,0,5,0.102,0.392,4.175,32.08,0.155,0.286,9.5,4.195,17.6,86.249,6.873,0.522,3.857,3.956,3.35,3.333,4.954,3.315,4.38,4.551,3.605,3.647,5.373,3.617,4.453,4.6,3.691,5.441,3.746,3.645,5.567,3.755,4.74,3.527,3.839,5.548,3.702,3.382,5.504,3.598,4.548,4.812,3.312,3.637,5.346,3.488,3.323,3.478,5.347,3.352,0.003,0.54,5.644,0.282,0.814,18.59,26.384,8.551,0.936,19.066,7.891,10.073,22.884,0.287,1.148,26.907,9.907,0.411,1.004,8.506,35.935,11.287,0.187,8.267,25.054,0.393,33.178,33.0,30,0.237,0.47,0.589,0.675,0.723,0.773,3.146,0.93,40.9,0,2,0,0,0
4.519,53.683,1.851,7.648,7.543,-0.17,-0.136,1.38,0.364,2.735,0.821,1.03,0.699,0.749,6.47,4.77,4.644,4.242,4.436,4.044,4.278,3.387,5.239,16.761,0.545,6.465,14.545,5.499,3.619,39.787,0.525,0,0.095,0.024,1,6.433,1.348,0.427,3.637,3.535,0.731,1.551,2.937,1.107,0.014,0.178,8.107,1.51,1.51,-0.05,-0.2,-0.39,0.42,-1.175,0.0,0.294,235.416,235.416,235.416,235.416,235.416,235.416,4.112,3.428,5.94,1,1.157,0.0,165.754,129.002,119.61,119.61,4.595,14.817,2.799,2.715,1.261,3.256,41.092,0.439,45.533,157.283,1.356,5,2.995,5,0,0.095,0.562,4.826,49.44,1.351,-0.177,7.947,-0.609,0.371,61.877,7.779,0.3,3.703,3.772,3.238,3.051,4.955,3.103,4.222,4.314,3.629,3.424,5.469,3.47,4.595,4.737,3.798,6.054,3.573,3.582,5.97,3.436,4.443,3.407,3.318,5.782,3.295,3.244,5.528,3.219,4.147,4.347,3.113,3.165,5.425,3.101,2.821,2.874,5.362,2.797,0.299,0.427,3.761,0.593,0.657,13.743,70.875,6.169,0.786,23.488,6.331,8.258,24.885,1.174,0.645,21.879,5.355,0.733,0.588,4.899,86.028,6.676,0.589,4.606,64.943,0.615,79.654,27.0,28,0.286,0.618,0.75,0.847,0.906,0.916,3.01,0.868,34.3,0,0,0,0,1
5.699,235.891,1.757,8.934,9.259,-0.07,0.012,1.194,0.0,3.141,1.247,1.419,1.144,1.323,7.43,5.091,4.912,4.711,4.865,4.707,4.883,4.712,7.2,25.231,1.006,8.756,24.3,11.305,4.043,57.744,0.284,0,0.09,0.015,0,7.428,1.153,1.054,8.509,3.875,1.128,1.838,3.402,1.509,-0.25,0.124,11.376,1.63,1.63,-0.2,-0.35,-0.52,0.378,-1.025,17.65,0.287,229.946,229.946,247.957,229.946,247.957,247.957,6.874,3.785,8.538,1,0.98,47.38,197.058,176.32,165.51,165.51,4.892,26.527,3.339,3.179,1.309,3.703,62.41,0.441,39.432,162.117,1.567,3,0.999,3,1,0.088,0.935,6.46,122.224,1.517,-0.072,13.033,-0.661,0.437,103.668,8.302,0.0,4.051,4.123,3.659,3.436,5.353,3.492,4.561,4.681,4.012,3.762,5.919,3.808,4.821,4.958,4.092,6.292,3.896,3.942,6.167,3.798,4.747,3.988,3.692,6.274,3.731,3.89,6.083,3.737,4.745,4.899,3.863,3.733,6.182,3.755,3.923,3.806,6.112,3.776,0.359,0.65,5.023,0.898,0.964,18.379,82.174,8.425,1.141,26.199,8.693,10.585,32.804,1.628,1.004,26.74,7.092,1.345,0.976,7.314,156.272,8.769,1.471,7.44,197.27,1.257,139.781,67.0,42,0.276,0.657,0.789,0.796,0.816,0.829,3.44,0.858,37.3,2,1,1,0,2
7.222,235.891,1.895,7.674,9.582,-0.108,-0.092,1.165,0.723,3.144,1.251,1.431,1.181,1.326,7.43,5.016,4.914,4.712,4.856,4.735,4.868,4.829,7.469,22.225,1.143,8.355,21.855,9.867,4.078,58.329,0.254,0,0.08,0.014,0,7.428,1.139,1.129,8.812,3.956,1.214,1.838,3.408,1.513,-0.231,0.11,10.025,1.623,1.623,-0.65,-0.77,-0.9,0.339,-0.578,0.0,0.285,229.946,229.946,247.957,229.946,247.957,247.957,8.856,3.852,9.201,1,1.018,29.73,183.037,172.398,165.51,165.51,4.855,25.644,3.36,3.184,1.233,3.81,64.355,0.446,41.22,159.244,1.468,3,0.922,3,1,0.089,0.859,6.46,107.696,1.498,-0.083,13.061,-0.337,0.114,114.613,8.797,0.171,4.087,4.148,3.753,3.535,5.42,3.592,4.568,4.657,4.099,3.862,5.97,3.911,4.826,4.944,4.171,6.32,3.983,4.004,6.187,3.871,4.757,4.075,3.783,6.288,3.821,4.053,6.114,3.858,4.797,4.936,4.062,3.839,6.291,3.892,4.069,3.898,6.228,3.904,0.369,0.669,4.525,0.865,1.014,15.087,73.191,7.473,1.224,23.217,9.203,9.687,27.759,1.572,1.118,25.286,8.101,1.164,1.103,7.967,129.046,8.672,1.471,8.353,190.165,1.344,149.481,37.0,47,0.269,0.666,0.779,0.81,0.838,0.851,3.531,0.82,42.3,0,1,0,0,2
4.838,183.088,1.746,7.451,6.691,-0.073,-0.008,1.235,0.0,2.831,0.946,1.144,0.98,1.454,7.435,4.827,4.598,4.309,4.475,3.912,4.065,3.396,5.176,18.239,0.489,5.042,10.85,5.09,3.612,43.286,0.403,0,0.087,0.018,0,6.462,1.198,0.462,3.842,3.548,0.776,1.644,3.127,1.308,-0.27,0.181,8.76,1.636,1.636,-0.62,-0.74,-0.87,0.379,-0.61,17.65,0.312,182.801,182.801,200.812,182.801,200.812,200.812,4.456,3.448,5.841,0,1.04,42.788,152.973,151.97,126.07,126.07,4.6,17.061,3.043,2.893,1.307,3.172,42.296,0.44,31.255,118.452,1.071,3,1.203,3,0,0.086,0.709,4.754,84.104,0.988,-0.065,9.619,0.192,0.037,72.106,7.877,0.0,3.739,3.825,3.289,3.103,5.033,3.145,4.245,4.386,3.633,3.428,5.646,3.447,4.515,4.682,3.672,5.905,3.535,3.557,5.841,3.439,4.42,3.602,3.288,6.06,3.325,3.309,5.738,3.199,4.193,4.381,3.163,3.047,5.635,3.064,3.151,3.05,5.405,3.018,0.244,0.477,4.0,0.635,0.694,14.496,77.657,6.751,0.814,20.664,6.22,8.479,25.404,1.193,0.647,20.391,4.673,0.932,0.562,4.235,132.553,5.575,0.901,3.747,131.498,0.56,66.598,60.0,28,0.302,0.697,0.853,0.863,0.863,0.863,3.101,0.894,34.2,2,1,1,0,1
4.818,203.07,1.89,6.259,6.31,-0.091,-0.057,1.169,-1.027,2.755,0.856,1.099,0.799,1.205,6.562,4.594,4.439,4.079,4.271,3.845,3.987,3.411,5.26,14.153,0.486,4.521,9.559,4.223,3.64,39.163,0.434,0,0.089,0.019,0,6.446,1.156,0.46,3.78,3.58,0.776,1.662,3.006,1.149,-0.24,0.167,7.296,1.489,1.489,-2.6,-2.62,-2.56,0.368,1.371,0.0,0.29,206.878,206.878,206.878,206.878,206.878,206.878,5.922,3.421,6.367,0,1.017,7.127,120.081,130.041,107.22,107.22,4.425,11.422,2.897,2.78,1.21,3.118,38.726,0.452,34.981,89.112,0.765,4,1.921,4,4,0.082,0.617,4.643,58.619,0.63,-0.094,9.619,2.521,6.353,73.729,8.294,0.545,3.682,3.747,3.281,3.165,5.034,3.194,4.1,4.192,3.625,3.503,5.484,3.517,4.383,4.511,3.704,5.872,3.584,3.509,5.813,3.416,4.268,3.356,3.235,5.792,3.219,3.19,5.502,3.085,3.928,4.098,3.057,3.071,5.204,3.052,3.072,3.062,5.328,3.04,0.221,0.425,3.353,0.348,0.645,9.961,39.476,5.674,0.798,15.49,6.531,7.325,18.871,0.886,0.646,16.813,5.321,0.673,0.551,4.615,88.183,5.792,0.442,4.003,70.762,0.414,71.942,26.0,30,0.274,0.613,0.737,0.84,0.872,0.872,3.102,0.841,42.9,0,1,0,0,1
5.097,183.088,1.894,6.273,7.185,-0.116,-0.132,1.178,0.745,2.878,0.971,1.181,0.983,1.382,7.435,4.728,4.601,4.311,4.459,4.098,4.238,3.567,5.521,15.469,0.663,5.51,12.862,5.012,3.648,43.871,0.343,0,0.074,0.018,0,6.462,1.162,0.551,4.454,3.658,0.888,1.721,3.134,1.251,-0.218,0.152,7.831,1.638,1.638,-1.15,-1.24,-1.32,0.326,-0.081,0.0,0.31,182.801,182.801,200.812,182.801,200.812,200.812,6.439,3.539,6.653,0,1.075,25.138,138.975,144.867,126.07,126.07,4.55,17.464,3.043,2.91,1.231,3.356,44.127,0.447,33.112,116.208,0.982,3,1.08,3,0,0.089,0.634,4.764,70.77,0.972,-0.07,10.917,0.516,0.266,83.051,8.547,0.24,3.788,3.859,3.423,3.238,5.123,3.284,4.254,4.354,3.758,3.565,5.713,3.591,4.521,4.663,3.789,5.945,3.657,3.647,5.872,3.543,4.435,3.727,3.422,6.072,3.458,3.586,5.779,3.404,4.319,4.483,3.488,3.262,5.851,3.31,3.348,3.18,5.643,3.19,0.253,0.506,3.564,0.603,0.761,11.566,68.24,6.037,0.916,18.213,6.843,7.864,21.31,1.134,0.78,19.22,5.75,0.748,0.714,5.054,95.044,5.586,0.899,4.994,132.229,0.762,93.618,27.0,33,0.293,0.709,0.835,0.879,0.891,0.891,3.227,0.835,41.0,0,1,0,0,1
4.778,183.088,1.745,6.493,5.751,-0.052,0.02,1.212,0.0,2.817,0.939,1.091,0.709,0.941,7.435,4.729,4.52,4.064,4.229,3.957,4.165,3.059,4.614,14.452,0.431,4.245,12.672,5.367,3.465,39.871,0.462,0,0.099,0.019,0,6.462,1.165,0.437,3.73,3.459,0.71,1.505,3.124,1.308,-0.048,0.191,7.359,1.664,1.664,-0.35,-0.48,-0.64,0.401,-0.882,17.65,0.324,182.801,182.801,200.812,182.801,200.812,200.812,4.451,3.354,5.078,0,0.995,40.254,139.051,190.243,126.07,126.07,4.52,10.617,3.043,2.885,1.235,2.951,41.59,0.437,33.983,121.924,1.086,3,1.251,3,0,0.074,0.693,4.754,76.661,0.989,-0.048,9.0,-0.197,0.039,67.428,8.151,0.0,3.668,3.748,3.245,3.02,4.999,3.077,4.16,4.291,3.597,3.338,5.61,3.377,4.42,4.568,3.663,5.873,3.476,3.536,5.868,3.379,4.36,3.47,3.126,6.069,3.179,3.092,5.438,2.987,3.887,4.042,3.08,2.95,5.383,2.954,3.141,2.973,5.419,2.949,0.269,0.439,3.467,0.651,0.632,12.793,78.147,5.845,0.744,17.963,5.476,7.201,22.822,1.339,0.536,19.827,4.272,0.842,0.442,3.222,108.597,4.088,0.55,3.274,85.253,0.648,80.375,59.0,27,0.313,0.717,0.848,0.859,0.859,0.859,3.056,0.867,34.3,2,0,1,0,1
5.622,235.891,1.755,7.933,8.277,-0.055,0.033,1.176,0.0,3.133,1.238,1.417,1.088,0.929,7.43,5.017,4.856,4.557,4.691,4.637,4.801,4.381,6.639,20.036,0.953,9.187,22.612,9.697,3.937,54.329,0.316,0,0.098,0.018,0,7.428,1.129,0.954,7.583,3.812,1.065,1.836,3.387,1.501,-0.043,0.129,9.789,1.648,1.648,0.03,-0.13,-0.32,0.393,-1.258,17.65,0.295,229.946,229.946,247.957,229.946,247.957,247.957,6.868,3.72,7.735,1,0.946,44.846,186.007,201.615,165.51,165.51,4.833,24.222,3.264,3.162,1.239,3.607,61.614,0.439,42.045,164.239,1.575,3,1.028,3,1,0.083,0.918,6.46,114.743,1.512,-0.059,13.034,-1.05,1.102,98.99,8.529,0.0,3.999,4.066,3.628,3.377,5.328,3.444,4.5,4.611,3.987,3.698,5.892,3.76,4.752,4.873,4.086,6.271,3.856,3.928,6.177,3.756,4.704,3.917,3.597,6.276,3.65,3.767,5.937,3.635,4.656,4.837,3.819,3.668,6.065,3.678,3.871,3.707,6.096,3.698,0.387,0.612,4.474,0.922,0.901,16.575,83.276,7.467,1.068,23.201,7.936,9.201,29.721,1.783,0.898,26.224,6.786,1.21,0.869,6.4,142.87,7.2,1.26,7.201,170.429,1.342,141.234,66.0,41,0.282,0.668,0.781,0.788,0.809,0.824,3.407,0.838,37.5,2,0,1,0,2
5.519,235.891,1.747,5.902,6.145,-0.083,0.008,1.188,0.0,3.083,1.177,1.217,1.043,1.151,7.43,4.739,4.568,4.307,4.455,4.292,4.42,3.721,5.504,14.755,0.713,5.699,13.78,6.074,3.71,47.499,0.298,0,0.099,0.018,0,7.428,1.134,0.671,5.123,3.619,0.812,1.804,3.308,1.458,-0.171,0.137,6.282,1.682,1.682,0.51,0.33,0.09,0.384,-1.738,8.825,0.312,229.946,229.946,247.957,229.946,247.957,247.957,6.886,3.482,6.103,1,0.934,36.021,189.982,165.15,165.51,165.51,4.601,18.434,3.151,3.092,1.01,3.37,58.7,0.435,48.498,159.424,1.552,3,1.091,3,1,0.079,0.829,6.46,97.373,1.518,-0.084,13.185,-1.893,3.583,89.994,9.079,0.0,3.888,3.941,3.564,3.249,5.269,3.341,4.366,4.454,3.919,3.545,5.84,3.642,4.594,4.69,3.995,6.218,3.706,3.755,6.048,3.555,4.43,3.729,3.364,6.069,3.422,3.622,5.712,3.413,4.415,4.569,3.639,3.364,5.961,3.427,3.641,3.354,5.936,3.381,0.446,0.536,3.362,0.962,0.773,12.674,84.201,5.498,0.876,17.906,6.352,6.352,21.49,1.47,0.705,18.403,5.218,0.975,0.695,5.077,114.056,5.964,1.257,5.088,162.763,1.094,118.366,50.0,38,0.297,0.699,0.796,0.805,0.83,0.847,3.338,0.801,38.1,1,0,0,0,2
5.745,0.0,1.856,3.294,2.653,-0.251,-0.203,1.266,0.926,1.987,0.131,0.381,0.0,0.919,4.751,3.605,3.318,2.809,3.086,1.02,1.365,1.384,2.234,6.57,0.084,1.136,0.769,0.308,2.536,20.162,0.724,0,0.037,0.04,0,3.774,1.038,0.015,0.229,2.876,0.345,1.181,2.479,0.715,-0.05,0.374,3.506,1.634,1.634,-2.52,-2.55,-2.49,0.195,1.294,0.0,0.392,0.0,0.0,50.908,78.089,50.908,50.908,2.875,2.639,2.784,0,1.076,50.908,9.375,12.229,38.05,70.14,3.342,3.411,2.355,1.938,1.061,2.032,5.073,0.513,5.639,13.41,0.046,3,1.69,3,0,0.075,0.212,3.006,7.798,0.074,-0.304,4.8,1.64,2.688,45.808,8.458,0.6,2.973,3.114,2.631,2.576,4.179,2.516,3.341,3.496,2.95,2.843,4.578,2.75,3.524,3.743,2.665,4.544,2.697,2.566,4.339,2.442,3.087,2.401,2.465,4.251,2.223,1.781,3.836,1.729,2.145,2.478,0.418,1.165,2.813,0.84,0.014,0.255,1.099,0.13,0.03,0.269,1.792,0.06,0.394,5.87,10.548,3.061,0.441,10.259,3.435,3.942,7.416,0.051,0.287,7.645,2.501,0.043,0.2,2.027,10.917,2.161,0.026,0.994,5.75,0.006,1.125,7.0,12,0.366,0.587,0.681,0.776,0.811,0.811,2.438,0.994,38.9,0,0,0,0,0
4.634,183.088,1.743,4.526,3.7,-0.096,-0.014,1.238,0.0,2.632,0.814,0.981,0.574,0.954,7.435,4.34,4.092,3.632,3.757,3.576,3.702,2.387,3.467,7.131,0.335,3.333,7.268,2.912,3.135,33.04,0.463,0,0.102,0.022,0,6.462,1.177,0.294,2.383,3.172,0.47,1.454,3.037,1.211,-0.041,0.21,4.097,1.723,1.723,0.22,0.06,-0.15,0.388,-1.454,8.825,0.355,182.801,182.801,200.812,182.801,200.812,200.812,4.469,2.991,3.483,0,0.982,31.428,148.576,135.272,126.07,126.07,4.187,10.146,2.804,2.668,0.994,2.704,38.759,0.43,40.647,116.286,1.065,3,1.361,3,0,0.071,0.603,4.754,59.615,1.002,-0.09,8.778,-1.04,1.081,58.432,8.87,0.0,3.508,3.573,3.149,2.831,4.916,2.925,3.966,4.067,3.495,3.111,5.541,3.199,4.192,4.311,3.52,5.797,3.249,3.268,5.669,3.071,3.948,3.227,2.769,5.756,2.849,2.934,5.078,2.752,3.756,3.935,2.95,2.684,5.323,2.731,2.906,2.619,5.276,2.65,0.324,0.362,2.383,0.672,0.503,9.091,77.194,3.98,0.55,13.056,3.902,4.5,15.2,1.023,0.363,12.608,2.829,0.513,0.336,2.341,65.995,2.734,0.644,2.509,97.064,0.574,65.669,43.0,24,0.339,0.777,0.896,0.909,0.909,0.909,2.957,0.811,34.5,1,0,0,0,1
