pXC50,P_VSA_LogP_1,MATS2v,SsCH3,NsCH3,GATS5i,MATS3v,CATS2D_06_AL,Eta_betaS_A,H.051,N.072,GATS5p,GNar,DECC,MATS3p,Eta_sh_p,ICR,GATS3v,P_VSA_LogP_2,SpMAD_AEA.ed.,C.001,HNar,PDI,NsssN,SsssN,Vindex,X0A,Yindex,BAC,CATS2D_06_DA,P_VSA_MR_3,X1A,MATS5i,C.019,MATS2p,N.074,Xindex,nCp,Eig02_EA.bo.,SM12_AEA.ri.,LOC,nCrs,MCD,SsOH,SM02_EA.dm.,SM04_EA.dm.,HVcpx,IDE,ATS6m,NdssC,nCONN,nR.Cs,C.041,CATS2D_05_DL,MATS2m,ATS5m,SM06_EA.dm.,SM08_EA.dm.,SM10_EA.dm.,SM12_EA.dm.,SM14_EA.dm.,SpAD_EA.dm.,SpDiam_EA.dm.
4.592,8.825,0.0,1.458,1,0.93,-0.085,6,0.617,2,0,1.017,1.878,1.833,-0.076,0.221,2.886,1.058,2.535,1.555,1,1.69,0.912,0,0.0,0.268,0.749,0.731,108,0,0.0,0.452,-0.034,0,0.091,0,0.422,2,3.931,3.931,1.568,0,0.4,8.924,3.787,5.775,3.454,3.687,4.154,1,0,0,0,2,0.149,4.202,8.212,10.802,13.446,16.113,18.789,21.904,5.409
4.523,8.825,-0.018,1.571,1,0.855,-0.093,7,0.612,2,0,1.013,1.892,1.85,-0.074,0.203,2.879,1.076,2.535,1.533,1,1.714,0.911,0,0.0,0.26,0.745,0.703,91,0,0.0,0.453,-0.01,0,0.096,0,0.412,2,3.714,3.714,1.58,0,0.414,8.956,3.787,5.775,3.455,3.696,4.011,1,0,0,0,3,0.14,4.126,8.212,10.802,13.446,16.113,18.789,21.904,5.409
5.292,8.825,-0.024,1.536,1,0.851,-0.106,9,0.648,0,1,0.977,1.951,1.844,-0.095,0.185,2.902,1.078,18.011,1.57,1,1.77,0.947,0,0.0,0.206,0.733,0.556,78,0,0.0,0.443,-0.005,0,0.112,0,0.327,2,3.745,3.745,1.226,1,0.531,0.0,3.932,5.833,3.521,3.761,4.153,2,0,0,1,3,0.117,4.265,8.226,10.804,13.446,16.113,18.789,26.567,5.634
4.523,19.279,0.032,3.497,2,1.15,0.022,9,0.664,1,2,1.086,2.123,1.786,0.011,0.1,3.058,0.992,38.449,1.561,0,2.0,0.975,2,3.702,0.166,0.696,0.464,21,0,11.0,0.438,-0.138,0,0.074,0,0.258,0,3.622,3.622,1.09,4,0.686,0.0,2.558,3.203,3.608,3.746,4.381,3,0,2,0,2,-0.03,4.321,4.228,5.425,6.695,7.997,9.313,11.022,3.352
9.199,45.087,0.29,5.709,4,1.197,0.016,13,0.63,3,0,1.123,1.884,0.88,-0.03,0.295,2.04,0.965,0.0,1.665,2,1.685,0.888,0,0.0,0.377,0.749,1.204,78,3,61.747,0.455,-0.18,1,0.303,1,0.547,2,3.95,3.95,1.37,0,0.48,10.205,3.259,4.501,2.713,2.865,4.239,6,0,1,0,1,0.228,4.216,6.093,7.853,9.694,11.573,13.472,16.597,4.612
6.824,69.579,0.228,12.893,7,1.068,-0.028,9,0.606,0,0,1.041,1.905,1.888,-0.03,0.249,3.153,1.105,11.815,1.598,2,1.744,0.889,1,2.313,0.24,0.74,0.629,101,0,0.0,0.466,-0.061,0,0.273,1,0.387,2,3.909,3.909,1.096,0,0.364,0.0,3.023,4.455,3.705,3.925,4.041,0,0,0,0,0,0.088,4.101,6.24,8.078,9.923,11.769,13.615,13.514,5.034
4.699,8.825,0.047,1.719,1,0.889,-0.134,8,0.679,2,3,0.967,2.137,1.896,-0.121,0.106,3.03,1.09,58.564,1.647,1,1.976,0.999,1,1.459,0.127,0.697,0.348,37,1,0.0,0.419,-0.03,0,0.01,0,0.201,1,4.046,4.046,0.529,6,0.786,0.0,3.121,4.149,3.687,3.916,4.507,3,0,0,0,5,0.098,4.59,5.368,6.659,7.984,9.33,10.686,15.451,3.524
4.699,17.65,0.08,3.894,2,0.928,-0.066,8,0.673,0,2,0.918,2.108,2.435,-0.079,0.118,3.369,1.013,17.635,1.611,2,1.961,0.981,3,5.036,0.138,0.701,0.379,38,0,0.0,0.432,0.064,0,0.088,0,0.218,2,4.034,4.034,0.658,2,0.81,9.292,2.944,3.772,3.793,4.028,4.407,3,1,0,1,2,0.101,4.547,4.844,6.054,7.352,8.704,10.091,14.079,3.527
4.699,17.65,0.083,3.896,2,0.944,-0.072,11,0.673,0,2,0.939,2.108,2.435,-0.097,0.118,3.369,1.024,17.635,1.611,2,1.961,0.981,3,5.069,0.138,0.701,0.379,38,0,0.0,0.432,0.037,0,0.1,0,0.218,2,4.034,4.034,0.658,2,0.81,9.292,2.944,3.772,3.793,4.028,4.412,3,1,0,1,2,0.102,4.542,4.844,6.054,7.352,8.704,10.091,14.079,3.527
5.0,8.825,0.026,2.039,1,0.886,-0.054,10,0.679,0,2,0.854,2.148,2.229,-0.078,0.082,3.184,1.0,17.635,1.595,1,2.026,0.988,3,4.947,0.148,0.692,0.414,17,2,0.0,0.431,0.099,0,0.04,0,0.229,1,3.875,3.875,0.472,2,0.872,10.063,2.698,3.554,3.639,3.863,4.413,2,1,0,1,0,0.063,4.464,4.695,5.965,7.302,8.678,10.077,11.206,3.527
5.0,8.825,0.013,2.045,1,0.87,-0.057,10,0.667,0,2,0.829,2.148,2.229,-0.078,0.081,3.184,0.996,17.635,1.595,1,2.026,0.991,3,5.02,0.148,0.692,0.414,17,2,0.0,0.431,0.14,0,0.01,0,0.229,1,3.875,3.875,0.472,2,0.872,10.175,2.698,3.554,3.639,3.863,4.404,2,1,0,1,0,0.055,4.461,4.695,5.965,7.302,8.678,10.077,11.206,3.527
5.0,8.825,0.018,2.039,1,0.893,-0.04,10,0.679,0,2,0.863,2.148,2.229,-0.069,0.082,3.184,0.988,17.635,1.595,1,2.026,0.987,3,4.947,0.148,0.692,0.414,17,2,0.0,0.431,0.089,0,0.037,0,0.229,1,3.875,3.875,0.472,2,0.872,9.992,2.698,3.554,3.639,3.863,4.413,2,1,0,1,0,0.07,4.465,4.695,5.965,7.302,8.678,10.077,11.206,3.527
5.0,8.825,0.009,2.041,1,0.882,-0.048,9,0.667,0,2,0.851,2.148,2.258,-0.064,0.082,3.197,0.991,17.635,1.595,1,2.026,0.987,3,4.981,0.147,0.692,0.411,17,0,0.0,0.431,0.112,0,0.006,0,0.228,1,3.872,3.872,0.472,2,0.872,9.699,2.698,3.554,3.659,3.874,4.352,2,1,0,1,0,0.068,4.456,4.695,5.965,7.302,8.678,10.077,11.206,3.527
5.301,40.971,0.213,7.041,4,1.16,0.15,18,0.634,4,0,1.187,1.944,1.25,0.143,0.254,2.471,0.86,9.185,1.666,4,1.741,0.889,0,0.0,0.291,0.737,0.9,82,2,61.747,0.441,-0.143,0,0.215,1,0.428,4,3.915,3.915,1.577,1,0.464,10.547,3.868,5.746,3.03,3.205,4.314,4,0,0,0,1,0.25,4.353,7.859,10.053,12.286,14.542,16.812,22.7,6.302
6.602,40.971,0.213,6.951,4,1.16,0.182,16,0.634,4,0,1.114,1.944,1.074,0.168,0.254,2.377,0.828,9.185,1.672,4,1.741,0.889,0,0.0,0.302,0.737,0.952,82,2,61.747,0.442,-0.136,0,0.215,1,0.441,4,3.93,3.93,1.577,1,0.464,10.557,3.868,5.746,2.925,3.102,4.382,4,0,0,0,1,0.25,4.363,7.859,10.053,12.286,14.542,16.812,22.7,6.302
6.187,40.971,0.213,7.025,4,1.155,0.15,15,0.634,4,0,1.1,1.944,0.995,0.143,0.254,2.326,0.86,9.185,1.666,4,1.741,0.889,0,0.0,0.296,0.737,0.927,82,2,61.747,0.441,-0.141,0,0.215,1,0.434,4,3.905,3.905,1.577,1,0.464,10.557,3.868,5.746,2.943,3.119,4.405,4,0,0,0,1,0.25,4.334,7.859,10.053,12.286,14.542,16.812,22.7,6.302
5.301,35.301,0.189,7.415,4,1.133,0.156,13,0.62,4,0,1.094,1.982,1.008,0.158,0.221,2.292,0.845,9.185,1.647,4,1.796,0.899,0,0.0,0.308,0.728,0.977,49,2,11.0,0.442,-0.126,0,0.201,1,0.446,4,3.662,3.662,1.554,1,0.52,10.513,3.601,5.523,2.847,2.989,4.171,4,0,0,0,1,0.239,4.183,7.7,9.943,12.211,14.49,16.776,17.476,6.302
5.523,40.971,0.213,7.041,4,1.16,0.15,18,0.634,4,0,1.187,1.944,1.25,0.143,0.254,2.471,0.86,9.185,1.666,4,1.741,0.889,0,0.0,0.291,0.737,0.9,82,2,61.747,0.441,-0.143,0,0.215,1,0.428,4,3.915,3.915,1.577,1,0.464,10.547,3.868,5.746,3.03,3.205,4.314,4,0,0,0,1,0.25,4.353,7.859,10.053,12.286,14.542,16.812,22.7,6.302
5.222,40.971,0.213,6.951,4,1.16,0.182,16,0.634,4,0,1.114,1.944,1.074,0.168,0.254,2.377,0.828,9.185,1.672,4,1.741,0.889,0,0.0,0.302,0.737,0.952,82,2,61.747,0.442,-0.136,0,0.215,1,0.441,4,3.93,3.93,1.577,1,0.464,10.557,3.868,5.746,2.925,3.102,4.382,4,0,0,0,1,0.25,4.363,7.859,10.053,12.286,14.542,16.812,22.7,6.302
7.523,40.971,0.213,7.025,4,1.155,0.15,15,0.634,4,0,1.1,1.944,0.995,0.143,0.254,2.326,0.86,9.185,1.666,4,1.741,0.889,0,0.0,0.296,0.737,0.927,82,2,61.747,0.441,-0.141,0,0.215,1,0.434,4,3.905,3.905,1.577,1,0.464,10.557,3.868,5.746,2.943,3.119,4.405,4,0,0,0,1,0.25,4.334,7.859,10.053,12.286,14.542,16.812,22.7,6.302
6.301,35.301,0.189,7.415,4,1.133,0.156,13,0.62,4,0,1.094,1.982,1.008,0.158,0.221,2.292,0.845,9.185,1.647,4,1.796,0.899,0,0.0,0.308,0.728,0.977,49,2,11.0,0.442,-0.126,0,0.201,1,0.446,4,3.662,3.662,1.554,1,0.52,10.513,3.601,5.523,2.847,2.989,4.171,4,0,0,0,1,0.239,4.183,7.7,9.943,12.211,14.49,16.776,17.476,6.302
7.545,52.951,0.249,10.579,6,1.265,0.214,17,0.63,9,0,1.181,1.884,0.973,0.234,0.32,2.215,0.779,9.185,1.657,6,1.685,0.884,0,0.0,0.372,0.749,1.177,77,4,11.0,0.455,-0.191,1,0.154,1,0.541,6,3.879,3.879,1.586,0,0.44,10.462,2.697,3.31,2.773,2.955,4.319,6,0,1,0,0,0.308,4.218,4.106,5.002,5.957,6.944,7.949,11.372,3.349
5.495,30.591,0.106,5.065,3,1.02,0.001,6,0.632,0,0,1.341,1.947,1.945,-0.076,0.191,2.944,1.046,16.026,1.574,1,1.774,0.944,2,3.585,0.213,0.733,0.582,82,0,0.0,0.448,-0.184,0,0.174,0,0.336,2,4.022,4.022,1.154,3,0.529,0.0,3.244,5.434,3.524,3.78,4.354,0,0,0,0,0,0.15,4.502,8.058,10.734,13.416,16.1,18.783,14.068,5.335
4.345,14.381,0.074,3.986,2,1.007,-0.056,6,0.638,0,0,1.015,2.077,0.905,-0.034,0.132,2.066,0.929,4.592,1.579,0,1.935,0.951,0,0.0,0.3,0.706,0.934,14,0,11.0,0.443,-0.013,0,-0.085,2,0.438,0,3.718,3.718,0.959,1,0.75,9.972,3.97,6.199,2.722,2.818,3.984,4,0,0,1,1,-0.1,3.906,8.617,11.087,13.583,16.1,18.631,21.508,7.141
4.863,20.051,0.101,3.634,2,1.025,-0.036,6,0.652,0,0,1.047,2.016,0.968,-0.025,0.179,2.164,0.902,4.592,1.617,0,1.84,0.934,0,0.0,0.29,0.72,0.89,35,0,61.747,0.442,-0.003,0,-0.068,2,0.426,0,3.946,3.946,1.059,1,0.652,10.017,4.162,6.319,2.861,2.976,4.157,4,0,0,1,1,-0.099,4.106,8.684,11.123,13.603,16.11,18.637,26.733,7.141
4.5,26.476,0.094,5.808,3,0.625,-0.247,0,0.633,0,3,0.67,1.888,2.471,-0.223,0.27,3.089,1.253,69.63,1.56,3,1.714,0.886,1,2.254,0.227,0.745,0.586,74,1,42.683,0.452,0.294,0,0.126,0,0.369,4,3.345,3.345,1.75,2,0.4,9.979,2.197,2.65,3.667,3.941,3.877,2,1,0,1,5,0.078,4.059,3.357,4.206,5.133,6.1,7.087,7.523,2.912
5.569,39.759,0.19,6.774,4,1.07,-0.047,12,0.625,0,0,1.022,1.902,1.0,-0.061,0.256,2.189,0.974,0.0,1.618,1,1.714,0.918,0,0.0,0.35,0.744,1.074,67,2,50.747,0.457,-0.066,1,0.025,1,0.516,1,3.868,3.868,1.331,1,0.5,0.0,4.168,6.327,2.882,3.018,4.359,4,0,1,1,1,-0.005,4.171,8.684,11.118,13.595,16.1,18.623,26.352,7.135
4.301,16.016,0.031,4.163,2,1.035,0.085,7,0.62,0,0,1.128,2.067,1.278,0.049,0.115,2.475,0.891,10.561,1.543,1,1.944,0.942,0,0.0,0.267,0.706,0.791,17,0,11.0,0.45,0.019,0,-0.053,2,0.4,1,3.72,3.72,1.476,1,0.652,10.114,3.97,6.199,3.024,3.174,4.144,4,0,0,1,1,-0.015,4.038,8.617,11.087,13.583,16.1,18.631,21.508,7.141
8.301,21.686,0.036,3.669,2,1.02,0.124,13,0.63,3,0,1.013,2.014,0.927,0.069,0.152,2.179,0.861,13.096,1.553,1,1.862,0.926,0,0.0,0.283,0.718,0.865,30,0,61.747,0.449,0.015,0,-0.047,2,0.417,1,3.908,3.908,0.905,4,0.741,10.582,4.144,6.312,2.95,3.051,4.508,4,0,0,1,2,0.001,4.416,8.682,11.123,13.603,16.11,18.637,26.062,7.141
4.433,12.86,0.025,1.845,1,1.003,-0.144,4,0.667,0,0,1.131,2.045,1.011,-0.133,0.152,2.201,1.032,4.592,1.593,0,1.881,0.936,0,0.0,0.282,0.713,0.849,21,0,61.747,0.439,0.022,0,-0.098,2,0.419,0,3.901,3.901,0.988,1,0.714,9.86,3.846,6.0,2.87,2.988,3.685,4,0,0,1,2,-0.054,3.82,8.432,10.938,13.471,16.019,18.574,20.833,7.141
4.301,20.051,0.101,3.744,2,1.024,-0.093,8,0.652,0,0,1.01,2.016,0.968,-0.06,0.179,2.164,0.957,4.592,1.61,0,1.84,0.934,0,0.0,0.286,0.72,0.877,35,0,61.747,0.442,-0.024,0,-0.068,2,0.422,0,3.915,3.915,1.059,1,0.652,10.017,4.162,6.319,2.856,2.983,4.265,4,0,0,1,1,-0.099,4.104,8.684,11.123,13.603,16.11,18.637,26.733,7.141
5.456,44.126,0.038,8.635,5,1.042,-0.062,8,0.635,0,3,1.066,1.911,1.582,-0.022,0.246,2.799,1.061,46.749,1.555,5,1.721,0.912,1,1.621,0.226,0.742,0.638,137,3,44.88,0.443,-0.118,0,0.052,0,0.35,5,3.83,3.83,1.426,3,0.436,0.0,3.835,5.863,3.456,3.689,4.454,3,0,0,1,8,0.239,4.565,8.434,11.171,13.947,16.733,19.521,23.599,5.735
5.763,44.126,0.038,8.635,5,1.042,-0.062,8,0.635,0,3,1.066,1.911,1.582,-0.022,0.246,2.799,1.061,46.749,1.555,5,1.721,0.912,1,1.621,0.226,0.742,0.638,137,3,44.88,0.443,-0.118,0,0.052,0,0.35,5,3.83,3.83,1.426,3,0.436,0.0,3.835,5.863,3.456,3.689,4.454,3,0,0,1,8,0.239,4.565,8.434,11.171,13.947,16.733,19.521,23.599,5.735
6.059,21.686,0.036,3.669,2,1.009,0.091,12,0.63,3,0,0.996,2.014,1.037,0.045,0.152,2.269,0.894,13.096,1.547,1,1.862,0.926,0,0.0,0.277,0.718,0.844,30,0,61.747,0.449,0.011,0,-0.047,2,0.411,1,3.883,3.883,0.905,4,0.741,10.582,4.144,6.312,2.978,3.104,4.547,4,0,0,1,2,0.001,4.402,8.682,11.123,13.603,16.11,18.637,26.062,7.141
5.818,34.089,0.156,7.228,4,1.056,-0.021,11,0.607,0,0,1.017,1.941,0.925,-0.04,0.219,2.089,0.959,0.0,1.585,1,1.775,0.932,0,0.0,0.36,0.734,1.119,36,0,0.0,0.46,-0.058,1,0.012,1,0.526,1,3.693,3.693,1.312,1,0.571,0.0,3.978,6.208,2.749,2.871,4.104,4,0,1,1,1,-0.019,3.987,8.617,11.082,13.575,16.089,18.617,21.128,7.135
7.523,39.759,0.19,6.664,4,1.071,0.001,10,0.625,0,0,1.052,1.902,1.0,-0.029,0.256,2.189,0.927,0.0,1.625,1,1.714,0.918,0,0.0,0.354,0.744,1.088,67,2,50.747,0.458,-0.049,1,0.025,1,0.521,1,3.888,3.888,1.331,1,0.5,0.0,4.168,6.327,2.886,3.012,4.26,4,0,1,1,1,-0.005,4.173,8.684,11.118,13.595,16.1,18.623,26.352,7.135
6.319,32.569,0.144,4.862,3,1.035,-0.099,7,0.636,0,0,1.068,1.919,1.045,-0.137,0.241,2.22,1.037,0.0,1.602,1,1.737,0.918,0,0.0,0.341,0.74,1.031,47,2,50.747,0.455,-0.027,1,0.014,1,0.506,1,3.864,3.864,1.309,1,0.545,0.0,3.854,6.012,2.897,3.027,3.845,4,0,1,1,1,0.055,3.904,8.432,10.932,13.462,16.007,18.56,20.452,7.135
7.745,16.016,0.016,3.88,2,0.997,0.095,10,0.615,3,0,0.988,2.064,1.0,0.063,0.11,2.182,0.877,13.096,1.516,1,1.946,0.939,0,0.0,0.283,0.706,0.863,11,0,11.0,0.45,0.019,0,-0.059,2,0.417,1,3.695,3.695,0.757,4,0.833,10.537,3.948,6.191,2.91,2.977,4.343,4,0,0,1,2,-0.012,4.259,8.615,11.086,13.583,16.1,18.631,20.837,7.141
7.745,34.204,0.226,3.888,3,1.1,-0.005,12,0.63,3,0,1.069,1.854,0.88,-0.047,0.305,2.04,0.98,0.0,1.656,2,1.639,0.902,0,0.0,0.382,0.758,1.22,92,2,61.747,0.446,-0.131,2,0.244,1,0.552,3,3.923,3.923,1.269,0,0.48,10.014,3.709,5.711,2.683,2.838,4.281,5,0,2,0,2,0.295,4.251,8.182,10.79,13.442,16.111,18.788,20.994,5.825
6.979,34.204,0.236,4.706,3,1.096,0.134,8,0.652,3,0,1.06,1.922,1.081,0.026,0.241,2.403,0.824,4.592,1.577,2,1.747,0.911,0,0.0,0.335,0.738,1.005,48,0,50.747,0.457,-0.048,0,0.234,0,0.499,2,3.925,3.925,1.479,0,0.522,0.0,2.959,4.389,2.97,3.107,3.788,1,0,0,0,0,0.236,3.845,6.059,7.844,9.691,11.572,13.471,10.294,4.612
7.857,44.126,0.177,8.822,5,1.147,0.184,18,0.625,6,0,1.045,1.974,1.093,0.184,0.227,2.397,0.786,9.185,1.612,5,1.8,0.919,0,0.0,0.285,0.728,0.882,62,4,11.0,0.45,-0.096,1,0.12,1,0.42,5,3.969,3.969,1.435,0,0.567,10.733,2.697,3.31,3.006,3.177,4.536,6,0,1,0,0,0.228,4.421,4.106,5.002,5.957,6.944,7.949,11.372,3.349
7.0,26.476,0.131,5.439,3,1.102,0.073,13,0.613,3,0,1.024,2.065,1.29,0.102,0.15,2.639,0.867,4.592,1.59,3,1.918,0.971,0,0.0,0.222,0.708,0.66,32,2,11.0,0.443,-0.115,1,0.135,2,0.335,3,4.15,4.15,1.159,0,0.71,10.703,2.948,4.143,3.221,3.379,4.309,5,0,1,0,1,0.123,4.288,5.644,7.24,8.864,10.495,12.128,12.356,4.525
6.569,26.476,0.131,5.444,3,1.107,0.109,14,0.613,3,0,1.037,2.065,1.203,0.138,0.15,2.55,0.831,4.592,1.597,3,1.918,0.971,0,0.0,0.232,0.708,0.702,32,2,11.0,0.443,-0.116,1,0.135,2,0.346,3,4.129,4.129,1.159,0,0.71,10.733,2.948,4.143,3.132,3.274,4.359,5,0,1,0,1,0.123,4.345,5.644,7.24,8.864,10.495,12.128,12.356,4.525
6.602,26.476,0.129,5.419,3,1.144,0.103,13,0.611,3,0,1.05,2.014,1.056,0.129,0.174,2.35,0.846,4.592,1.583,3,1.862,0.941,0,0.0,0.281,0.718,0.864,32,2,11.0,0.451,-0.142,1,0.127,2,0.416,3,3.899,3.899,1.257,0,0.667,10.561,2.948,4.143,2.996,3.126,4.191,5,0,1,0,1,0.131,4.192,5.644,7.24,8.864,10.495,12.128,12.356,4.525
7.695,44.126,0.14,8.949,5,1.154,0.108,21,0.618,8,0,1.082,2.023,1.58,0.118,0.187,2.86,0.871,14.254,1.592,5,1.862,0.944,0,0.0,0.2,0.717,0.572,62,4,11.0,0.445,-0.136,1,0.103,1,0.308,5,4.251,4.251,1.298,0,0.583,10.87,2.697,3.31,3.434,3.664,4.609,6,0,1,0,0,0.185,4.489,4.106,5.002,5.957,6.944,7.949,11.372,3.349
7.64,44.126,0.13,8.924,5,1.173,0.126,21,0.617,8,0,1.085,1.976,1.438,0.126,0.212,2.672,0.861,14.254,1.585,5,1.811,0.917,0,0.0,0.259,0.727,0.768,62,4,11.0,0.452,-0.132,1,0.078,1,0.39,5,3.891,3.891,1.386,0,0.531,10.77,2.697,3.31,3.213,3.432,4.559,6,0,1,0,0,0.192,4.42,4.106,5.002,5.957,6.944,7.949,11.372,3.349
8.162,35.301,0.103,7.105,4,1.109,0.099,21,0.612,5,0,0.987,2.022,1.377,0.078,0.213,2.645,0.859,14.254,1.577,4,1.869,0.947,0,0.0,0.22,0.717,0.658,62,4,11.0,0.448,-0.075,1,0.082,1,0.33,4,3.973,3.973,1.258,0,0.605,11.066,2.697,3.31,3.264,3.489,4.812,6,0,1,0,0,0.069,4.669,4.106,5.002,5.957,6.944,7.949,11.372,3.349
6.328,61.183,0.148,10.915,6,1.123,0.025,7,0.607,0,0,1.1,1.971,1.966,0.022,0.204,3.189,1.032,14.778,1.605,2,1.818,0.902,0,0.0,0.205,0.726,0.552,86,2,0.0,0.457,-0.078,0,0.18,1,0.326,2,3.909,3.909,1.047,5,0.514,0.0,2.991,4.451,3.693,3.899,4.212,0,0,0,0,3,0.056,4.287,6.239,8.078,9.923,11.769,13.615,12.714,5.034
