pXC50,CATS2D_08_PP,SsssN,SpMin3_Bh.e.,SM05_EA.dm.,SdO,SpMax7_Bh.p.,SpMin1_Bh.s.,ATSC6p,Yindex,Vindex,ATS6p,SM13_EA.dm.,ATS8i,SM11_EA.dm.,ATSC6m,ATSC7p,ATSC7v,ATSC8m,ATSC6i,ATS8e,ATS6v,ATSC7m,ATS6i,Infective.50,ATS5p,ATS7e,ATS5i,ATS2i,Eta_C,ON1V,SM15_EA.dm.,ATSC6v,Eta_L,ATSC5i,ATS7p,ATS5e,DLS_04,SpMin8_Bh.v.,ATSC8i,Inflammat.80,ATS5v,SM03_EA.dm.,ATSC5v,ATSC5p,ATSC7i,MATS1i,ATS2e,ATS3e,ATS7i,ATS7v,ATS4e,ATSC4v,ATSC5m,Se,ATS4v,ATSC8v,ATSC3i,SpMax8_Bh.s.,ATS4p,Si,ATS6e,SM07_EA.dm.,SpMin8_Bh.p.,ATS4i,ATSC8p,ON0V,ATS1i,ATS8p,CATS2D_08_DP
8.523,0,2.408,1.817,3.476,13.187,3.171,1.412,20.398,0.606,0.208,4.67,9.544,5.684,8.057,56.411,21.046,31.087,51.143,2.727,5.408,4.517,56.297,5.769,0,4.629,5.503,5.667,5.076,36.663,4.661,11.024,30.216,8.841,2.584,4.651,5.419,1.0,1.542,2.48,0,4.493,1.858,27.533,18.6,2.691,-0.08,4.866,5.135,5.787,4.488,5.273,23.817,52.05,67.872,4.428,27.826,2.052,3.996,4.547,77.846,5.502,5.034,1.496,5.498,18.631,13.433,4.431,4.561,0
8.523,0,2.231,1.813,6.728,13.141,3.171,1.41,19.723,0.574,0.201,4.643,17.442,5.656,14.759,55.175,20.85,29.985,51.857,2.666,5.39,4.509,59.433,5.734,0,4.583,5.509,5.626,5.054,38.318,4.205,20.125,28.735,8.818,2.652,4.626,5.389,1.0,1.391,2.539,0,4.477,4.007,24.632,17.697,2.762,-0.064,4.863,5.104,5.788,4.487,5.274,21.031,50.269,66.527,4.421,25.77,2.238,4.224,4.498,75.45,5.474,9.401,1.387,5.491,18.01,12.612,4.402,4.525,0
7.921,0,2.376,1.808,3.476,13.139,3.171,1.41,20.059,0.63,0.214,4.638,9.544,5.601,8.057,56.814,20.78,29.995,50.51,2.609,5.335,4.489,57.699,5.72,0,4.568,5.46,5.568,4.978,34.573,4.072,11.024,28.803,8.213,2.399,4.613,5.331,0.8,1.387,2.306,0,4.444,1.858,24.574,17.121,2.568,-0.084,4.781,5.057,5.74,4.454,5.187,21.005,47.209,62.429,4.362,25.759,1.87,3.996,4.473,70.959,5.459,5.034,1.367,5.405,17.752,12.076,4.346,4.511,0
7.678,0,2.406,1.813,3.476,13.17,3.171,1.413,20.359,0.648,0.218,4.659,9.544,5.646,8.057,56.461,20.622,30.54,49.945,2.718,5.386,4.507,56.03,5.772,0,4.614,5.493,5.655,5.029,35.115,4.293,11.024,30.133,8.246,2.554,4.645,5.407,1.0,1.469,2.489,0,4.477,1.858,27.084,18.357,2.682,-0.082,4.822,5.086,5.778,4.492,5.244,22.956,51.343,64.989,4.407,27.359,1.974,3.908,4.523,74.431,5.501,5.034,1.418,5.466,18.464,12.933,4.39,4.584,0
7.721,0,2.404,1.814,3.476,13.161,3.171,1.411,20.379,0.638,0.216,4.657,9.544,5.645,8.057,56.461,20.758,30.682,49.556,2.714,5.373,4.503,55.805,5.772,0,4.601,5.491,5.608,5.029,34.868,4.286,11.024,30.144,8.245,2.496,4.631,5.37,1.0,1.437,2.428,0,4.47,1.858,26.055,17.704,2.656,-0.082,4.822,5.086,5.778,4.471,5.242,22.834,49.445,64.989,4.393,26.568,1.972,3.927,4.508,74.431,5.501,5.034,1.39,5.472,17.784,12.933,4.39,4.544,0
8.071,0,4.098,1.7,0.801,13.504,3.048,1.277,10.722,0.45,0.164,4.19,2.15,5.223,1.768,29.138,10.995,16.111,32.686,1.683,4.946,4.099,33.815,5.146,0,4.206,5.01,5.305,4.83,25.467,3.37,2.538,15.024,6.771,1.82,4.178,5.061,0.8,1.4,1.609,0,4.134,0.57,15.546,11.081,1.769,-0.184,4.646,4.92,5.266,4.06,5.04,15.024,36.427,54.109,4.169,16.227,1.749,3.84,4.232,61.019,4.928,1.074,1.352,5.264,10.946,10.067,4.235,4.073,0
7.495,0,3.851,1.701,0.801,13.5,3.028,1.278,10.784,0.434,0.159,4.191,2.15,5.261,1.768,28.782,11.062,15.38,34.966,1.831,4.992,4.121,32.254,5.177,0,4.221,5.009,5.336,4.84,28.28,3.338,2.538,14.359,7.149,1.942,4.174,5.095,0.8,1.396,1.793,0,4.167,0.57,15.749,11.538,1.837,-0.147,4.665,4.954,5.253,4.079,5.049,14.478,37.183,55.134,4.2,15.078,2.119,4.104,4.242,61.699,4.96,1.074,1.351,5.258,10.986,10.186,4.245,4.064,0
7.523,0,4.116,1.704,0.801,13.656,3.078,1.279,10.99,0.454,0.164,4.249,2.15,5.366,1.768,32.129,11.668,17.22,37.409,1.806,5.096,4.168,36.414,5.218,0,4.261,5.091,5.357,4.889,28.078,3.565,2.538,15.493,7.124,1.916,4.287,5.114,0.8,1.4,1.862,0,4.188,0.57,16.889,11.839,1.947,-0.179,4.698,4.962,5.34,4.174,5.109,16.837,38.416,56.992,4.224,19.47,1.831,3.84,4.297,64.434,5.002,1.074,1.358,5.34,13.163,10.983,4.284,4.232,0
7.569,0,3.965,1.7,0.801,13.501,3.048,1.277,10.735,0.438,0.16,4.19,2.15,5.227,1.768,28.403,10.98,15.981,32.892,1.713,4.953,4.105,33.532,5.148,0,4.205,5.014,5.311,4.836,26.792,3.35,2.538,14.753,6.961,1.899,4.177,5.072,0.8,1.398,1.65,0,4.145,0.57,15.216,11.086,1.775,-0.162,4.655,4.934,5.268,4.065,5.049,14.453,36.556,54.621,4.182,15.962,1.876,4.001,4.23,61.359,4.932,1.074,1.352,5.27,10.965,10.126,4.24,4.07,0
7.553,0,4.181,1.7,0.801,13.521,3.069,1.398,10.957,0.45,0.164,4.22,2.15,5.361,1.768,32.022,11.57,17.816,37.616,1.737,5.068,4.122,36.976,5.202,0,4.247,5.077,5.386,4.947,29.332,3.87,2.538,16.214,7.993,1.878,4.224,5.132,0.8,1.41,1.707,0,4.165,0.57,17.176,11.438,1.82,-0.192,4.747,5.04,5.339,4.095,5.139,17.6,40.104,57.876,4.213,18.775,1.883,3.807,4.294,65.85,4.978,1.074,1.362,5.378,12.146,10.733,4.303,4.149,0
7.244,0,4.056,1.706,0.801,13.615,3.026,1.277,10.579,0.466,0.168,4.214,2.15,5.344,1.768,29.963,11.714,16.951,36.999,1.706,5.068,4.142,36.068,5.153,0,4.202,5.077,5.305,4.86,27.577,3.448,2.538,14.519,7.051,1.774,4.251,5.073,0.8,1.346,1.772,1,4.14,0.57,15.794,11.407,1.867,-0.174,4.678,4.926,5.318,4.139,5.075,15.936,37.187,55.218,4.179,18.708,1.701,3.838,4.24,62.145,4.953,1.074,1.33,5.293,12.578,10.617,4.25,4.167,0
7.252,0,4.005,1.706,0.801,13.637,3.041,1.277,10.676,0.455,0.165,4.222,2.15,5.342,1.768,28.789,12.081,16.701,41.982,1.699,5.079,4.152,35.919,5.153,0,4.221,5.081,5.305,4.859,29.854,3.428,2.538,14.118,7.372,1.77,4.276,5.078,0.8,1.344,1.75,0,4.162,0.57,15.614,11.838,1.859,-0.173,4.684,4.935,5.318,4.165,5.082,15.684,38.048,55.542,4.204,18.828,1.68,3.905,4.265,62.089,4.955,1.074,1.329,5.292,13.382,10.676,4.25,4.213,0
7.745,0,4.098,1.7,0.801,13.504,3.048,1.277,10.722,0.45,0.164,4.19,2.15,5.223,1.768,29.138,10.995,16.111,32.686,1.683,4.946,4.099,33.815,5.146,0,4.206,5.01,5.305,4.83,25.467,3.37,2.538,15.024,6.771,1.82,4.178,5.061,0.8,1.4,1.609,0,4.134,0.57,15.546,11.081,1.769,-0.184,4.646,4.92,5.266,4.06,5.04,15.024,36.427,54.109,4.169,16.227,1.749,3.84,4.232,61.019,4.928,1.074,1.352,5.264,10.946,10.067,4.235,4.073,0
7.569,0,3.931,1.643,0.801,13.442,3.056,1.236,9.627,0.425,0.157,4.143,2.15,5.239,1.768,27.803,10.695,15.351,33.306,1.662,4.965,4.075,31.523,5.117,0,4.146,4.974,5.197,4.838,26.417,3.328,2.538,12.942,6.89,1.794,4.164,4.972,0.8,1.286,1.646,0,4.101,0.57,13.714,10.022,1.725,-0.162,4.655,4.911,5.219,4.051,5.029,14.115,31.601,54.621,4.144,17.024,1.848,3.978,4.192,61.359,4.906,1.074,1.315,5.258,11.692,10.21,4.24,4.071,0
7.272,0,4.248,1.767,0.801,13.612,2.954,1.392,10.01,0.415,0.15,4.203,2.15,5.266,1.768,29.159,11.159,15.792,33.711,1.707,4.999,4.136,31.682,5.14,0,4.173,4.991,5.134,4.879,27.109,3.398,2.538,13.322,7.223,1.717,4.234,4.925,0.8,1.388,1.723,0,4.133,0.57,12.86,9.429,1.794,-0.151,4.701,4.966,5.226,4.126,5.061,15.481,29.097,55.109,4.153,18.015,1.838,3.837,4.212,62.019,4.936,1.074,1.405,5.309,12.388,10.317,4.264,4.158,0
6.959,0,4.248,1.771,0.801,13.683,2.955,1.392,9.751,0.417,0.151,4.207,2.15,5.281,1.768,29.053,11.195,15.867,34.208,1.733,5.014,4.143,32.16,5.144,0,4.174,5.007,5.129,4.879,27.139,3.398,2.538,13.161,7.219,1.704,4.247,4.925,0.8,1.278,1.747,0,4.132,0.57,13.026,9.683,1.828,-0.151,4.701,4.966,5.241,4.141,5.061,15.472,29.096,55.109,4.155,18.05,1.838,3.834,4.214,62.019,4.936,1.074,1.29,5.309,12.435,10.317,4.264,4.17,0
5.0,0,4.154,1.765,0.801,13.677,3.053,1.384,10.111,0.407,0.148,4.221,2.15,5.292,1.768,27.394,11.481,16.197,34.465,1.764,5.028,4.157,32.869,5.134,0,4.198,5.035,5.216,4.883,28.661,3.428,2.538,13.295,7.436,1.876,4.256,5.0,0.8,1.384,1.8,0,4.163,0.57,13.463,10.202,1.88,-0.133,4.71,4.982,5.274,4.152,5.053,14.671,31.958,55.621,4.189,17.814,1.972,3.979,4.231,62.359,4.934,1.074,1.393,5.279,12.473,10.376,4.269,4.166,0
5.444,0,4.154,1.769,0.801,13.679,3.032,1.384,10.241,0.407,0.148,4.222,2.15,5.285,1.768,27.394,11.464,16.159,34.174,1.756,5.021,4.158,32.578,5.132,0,4.197,5.028,5.219,4.883,28.656,3.428,2.538,13.374,7.436,1.884,4.252,5.0,0.8,1.376,1.789,0,4.162,0.57,13.384,10.072,1.868,-0.133,4.71,4.982,5.266,4.149,5.053,14.671,31.959,55.621,4.189,17.776,1.972,3.981,4.231,62.359,4.934,1.074,1.355,5.279,12.455,10.376,4.269,4.162,0
9.222,0,4.03,1.76,0.801,13.55,2.932,1.392,9.914,0.404,0.147,4.185,2.15,5.097,1.768,25.233,11.161,14.374,32.997,1.585,4.862,4.118,33.324,5.063,0,4.136,4.924,5.075,4.824,28.338,3.164,2.538,12.087,7.381,1.709,4.198,4.883,0.8,1.378,1.51,0,4.118,0.57,10.537,8.788,1.601,-0.135,4.665,4.947,5.143,4.092,5.005,12.937,26.358,53.062,4.138,14.267,1.865,4.201,4.171,58.888,4.872,1.074,1.386,5.235,10.847,9.519,4.219,4.069,0
6.854,0,4.181,1.801,0.801,13.832,3.116,1.423,11.035,0.423,0.152,4.307,2.15,5.423,1.768,31.243,12.847,17.947,39.726,1.99,5.165,4.248,35.641,5.225,0,4.285,5.122,5.36,4.937,31.312,3.678,2.538,14.468,7.936,2.022,4.365,5.122,0.8,1.417,2.165,0,4.241,0.57,16.264,11.772,2.096,-0.13,4.76,5.072,5.353,4.266,5.186,17.653,37.844,58.505,4.284,19.794,2.147,4.017,4.351,65.774,5.029,1.074,1.438,5.42,14.24,10.876,4.315,4.306,0
6.131,0,4.181,1.801,0.801,13.832,3.116,1.423,11.035,0.423,0.152,4.307,2.15,5.423,1.768,31.243,12.847,17.947,39.726,1.99,5.165,4.248,35.641,5.225,0,4.285,5.122,5.36,4.937,31.312,3.678,2.538,14.468,7.936,2.022,4.365,5.122,0.8,1.417,2.165,0,4.241,0.57,16.264,11.772,2.096,-0.13,4.76,5.072,5.353,4.266,5.186,17.653,37.844,58.505,4.284,19.794,2.147,4.017,4.351,65.774,5.029,1.074,1.438,5.42,14.24,10.876,4.315,4.306,0
6.757,0,4.17,1.736,0.801,13.718,3.138,1.357,11.352,0.419,0.151,4.298,2.15,5.383,1.768,32.012,12.659,17.517,38.046,1.976,5.129,4.235,35.475,5.24,0,4.286,5.106,5.348,4.937,31.144,3.678,2.538,15.018,7.94,2.029,4.338,5.112,0.8,1.455,2.121,0,4.24,0.57,15.74,11.363,2.036,-0.13,4.76,5.058,5.338,4.238,5.164,17.23,36.95,58.505,4.274,19.392,2.108,4.014,4.333,65.774,5.038,1.074,1.473,5.396,13.981,10.876,4.315,4.279,0
6.845,0,4.17,1.738,0.801,13.903,3.085,1.357,11.082,0.422,0.151,4.305,2.15,5.423,1.768,31.779,12.463,17.509,39.626,2.017,5.167,4.247,36.293,5.242,0,4.289,5.133,5.339,4.937,31.213,3.678,2.538,14.862,7.932,2.005,4.363,5.112,0.8,1.423,2.154,0,4.241,0.57,16.061,11.875,2.126,-0.13,4.76,5.058,5.368,4.272,5.164,17.211,36.948,58.505,4.278,19.508,2.108,4.021,4.336,65.774,5.039,1.074,1.429,5.397,14.114,10.876,4.315,4.314,0
6.102,0,4.142,1.815,0.801,13.832,3.085,1.444,10.546,0.421,0.151,4.292,2.15,5.423,1.768,31.946,12.583,17.487,39.859,1.996,5.165,4.239,34.657,5.237,0,4.262,5.106,5.288,4.937,31.13,3.628,2.538,13.917,7.909,1.953,4.359,5.067,0.8,1.417,2.148,0,4.224,0.57,15.53,11.424,2.08,-0.13,4.76,5.069,5.332,4.263,5.202,17.913,34.638,58.505,4.266,19.779,2.144,4.019,4.334,65.774,5.035,1.074,1.435,5.451,14.239,10.876,4.315,4.312,0
5.839,0,4.181,1.806,0.801,13.83,3.144,1.423,10.904,0.423,0.152,4.305,2.15,5.429,1.768,31.243,12.863,17.987,40.017,1.998,5.171,4.247,35.933,5.227,0,4.286,5.128,5.357,4.937,31.317,3.678,2.538,14.39,7.936,2.014,4.368,5.122,0.8,1.314,2.176,0,4.241,0.57,16.342,11.903,2.108,-0.13,4.76,5.072,5.361,4.269,5.186,17.653,37.844,58.505,4.284,19.835,2.147,4.016,4.351,65.774,5.029,1.074,1.319,5.42,14.255,10.876,4.315,4.31,0
5.0,0,4.181,1.806,0.801,13.83,3.144,1.423,10.904,0.423,0.152,4.305,2.15,5.429,1.768,31.243,12.863,17.987,40.017,1.998,5.171,4.247,35.933,5.227,0,4.286,5.128,5.357,4.937,31.317,3.678,2.538,14.39,7.936,2.014,4.368,5.122,0.8,1.314,2.176,0,4.241,0.57,16.342,11.903,2.108,-0.13,4.76,5.072,5.361,4.269,5.186,17.653,37.844,58.505,4.284,19.835,2.147,4.016,4.351,65.774,5.029,1.074,1.319,5.42,14.255,10.876,4.315,4.31,0
6.432,0,4.142,1.815,0.801,13.832,3.085,1.444,10.546,0.421,0.151,4.292,2.15,5.423,1.768,31.946,12.583,17.487,39.859,1.996,5.165,4.239,34.657,5.237,0,4.262,5.106,5.288,4.937,31.13,3.628,2.538,13.917,7.909,1.953,4.359,5.067,0.8,1.417,2.148,0,4.224,0.57,15.53,11.424,2.08,-0.13,4.76,5.069,5.332,4.263,5.202,17.913,34.638,58.505,4.266,19.779,2.144,4.019,4.334,65.774,5.035,1.074,1.435,5.451,14.239,10.876,4.315,4.312,0
9.222,0,4.03,1.76,0.801,13.55,2.932,1.392,9.914,0.404,0.147,4.185,2.15,5.097,1.768,25.233,11.161,14.374,32.997,1.585,4.862,4.118,33.324,5.063,0,4.136,4.924,5.075,4.824,28.338,3.164,2.538,12.087,7.381,1.709,4.198,4.883,0.8,1.378,1.51,0,4.118,0.57,10.537,8.788,1.601,-0.135,4.665,4.947,5.143,4.092,5.005,12.937,26.358,53.062,4.138,14.267,1.865,4.201,4.171,58.888,4.872,1.074,1.386,5.235,10.847,9.519,4.219,4.069,0
4.052,0,0.0,1.593,0.0,12.299,3.073,1.294,7.401,0.306,0.122,3.741,0.0,4.287,0.0,18.925,6.626,6.243,15.188,0.99,4.114,3.65,17.711,4.587,0,3.888,4.258,4.829,4.595,22.452,2.821,0.0,7.224,6.466,1.257,3.669,4.655,0.4,1.225,0.746,0,3.839,0.0,8.978,9.188,0.887,0.05,4.495,4.617,4.426,3.549,4.678,8.68,24.2,49.549,3.982,6.8,1.164,4.178,4.015,53.95,4.406,0.0,1.291,4.826,6.22,9.067,4.104,3.583,0
8.801,0,0.0,1.545,3.522,12.503,2.93,1.185,12.292,0.486,0.178,4.096,13.65,4.893,11.074,36.35,10.05,10.565,30.88,1.513,4.688,3.975,29.839,5.055,0,4.088,4.684,4.983,4.721,25.653,2.951,16.206,14.357,6.515,1.519,3.957,4.793,0.8,1.367,1.249,1,4.009,1.593,11.255,9.427,1.264,-0.089,4.566,4.695,4.849,3.859,4.811,13.135,28.04,52.418,3.981,11.793,1.362,3.757,4.073,58.278,4.833,5.91,1.375,5.03,10.067,10.433,4.167,3.884,0
8.6,0,0.0,1.546,3.522,12.477,2.985,1.194,10.629,0.48,0.177,4.051,13.65,4.859,11.074,31.397,10.118,11.007,26.202,1.412,4.673,3.945,30.319,4.913,0,4.069,4.674,5.079,4.721,25.604,2.958,16.206,11.732,6.516,1.543,3.944,4.849,0.8,1.434,1.214,1,3.981,1.593,13.165,10.514,1.258,-0.089,4.566,4.695,4.85,3.852,4.814,12.999,32.612,52.418,3.986,10.662,1.363,3.759,4.087,58.278,4.725,5.91,1.406,5.02,9.11,10.433,4.167,3.88,0
6.2,0,1.869,1.719,3.586,13.703,3.125,1.258,18.292,0.453,0.163,4.541,13.674,5.507,11.099,55.013,17.028,20.806,53.413,2.333,5.254,4.411,53.297,5.475,0,4.475,5.249,5.392,5.025,36.495,3.868,16.229,22.425,8.611,2.211,4.461,5.191,0.7,1.557,2.162,0,4.389,1.668,18.261,14.252,2.22,-0.166,4.846,5.04,5.46,4.331,5.144,18.593,45.339,66.272,4.301,21.429,1.911,3.914,4.391,74.52,5.263,5.951,1.507,5.368,16.075,12.717,4.418,4.369,0
6.3,0,0.0,1.545,3.522,12.518,2.918,1.188,11.423,0.486,0.178,4.085,13.65,4.788,11.074,34.077,11.075,12.138,20.95,1.486,4.621,3.964,34.997,5.003,0,4.094,4.689,5.035,4.721,25.694,2.958,16.206,12.683,6.516,1.526,3.948,4.827,0.8,1.366,1.156,1,4.008,1.593,12.884,10.455,1.293,-0.089,4.566,4.695,4.885,3.84,4.817,12.724,30.289,52.418,3.992,9.52,1.365,3.758,4.087,58.278,4.803,5.91,1.366,5.029,7.935,10.433,4.167,3.849,0
6.4,0,0.0,1.545,3.522,12.544,2.88,1.186,11.364,0.492,0.18,4.109,13.65,4.825,11.074,31.754,11.868,13.089,25.628,1.469,4.637,3.992,37.677,4.956,0,4.093,4.77,5.044,4.721,25.771,2.958,16.206,12.402,6.516,1.535,3.986,4.83,0.8,1.318,1.19,1,4.015,1.593,12.608,10.228,1.367,-0.089,4.566,4.695,4.978,3.861,4.817,12.736,30.862,52.418,3.989,10.65,1.365,3.756,4.083,58.278,4.78,5.91,1.36,5.029,8.891,10.433,4.167,3.854,0
4.8,0,0.0,1.545,3.522,12.585,2.916,1.192,12.156,0.499,0.182,4.119,13.65,4.752,11.074,35.391,11.963,12.826,20.376,1.525,4.583,3.988,39.196,5.052,0,4.132,4.715,5.083,4.721,25.98,2.965,16.206,13.472,6.518,1.584,3.966,4.871,0.8,1.365,1.131,1,4.042,1.593,13.718,11.03,1.333,-0.089,4.566,4.695,4.918,3.837,4.823,12.342,31.626,52.418,4.016,9.507,1.367,3.757,4.105,58.278,4.851,5.91,1.359,5.028,7.715,10.433,4.167,3.822,0
4.8,0,0.0,1.545,3.522,12.544,2.985,1.198,11.363,0.493,0.18,4.086,13.65,4.825,11.074,32.711,11.007,11.696,25.628,1.451,4.637,3.97,34.518,4.966,0,4.108,4.7,5.125,4.721,25.89,2.965,16.206,12.521,6.517,1.602,3.961,4.892,0.8,1.454,1.19,1,4.016,1.593,13.999,11.089,1.299,-0.089,4.566,4.695,4.884,3.848,4.819,12.617,33.949,52.418,4.01,10.65,1.366,3.759,4.106,58.278,4.777,5.91,1.412,5.019,8.891,10.433,4.167,3.854,0
7.8,0,0.0,1.545,3.522,12.605,2.88,1.136,12.047,0.487,0.178,4.131,13.65,4.995,11.074,35.454,11.053,11.757,34.392,1.527,4.775,4.029,32.623,5.046,0,4.12,4.763,5.059,4.74,26.148,2.916,16.206,13.253,6.611,1.576,4.018,4.86,0.8,1.384,1.319,0,4.053,1.593,12.205,10.113,1.355,-0.128,4.592,4.699,4.933,3.91,4.815,12.003,30.369,53.745,4.015,13.255,1.347,3.757,4.085,59.488,4.856,5.91,1.37,5.007,10.921,10.6,4.189,3.92,0
