pXC50,RBN,nCsp2,nBM,nCsp3,nBT,H.,nSK,nHet,nDB,RBF,Se,Si,nO,nAT,nH,Mv,nBO
4.0,1,14,14,2,35,39.4,20,4,2,0.029,33.156,36.641,1,33,13,0.689,22
4.442,16,19,21,10,80,46.2,42,13,5,0.2,78.905,88.394,6,78,36,0.622,44
5.07,4,14,14,11,60,48.2,29,4,2,0.067,55.571,62.524,3,56,27,0.625,33
8.362,18,20,22,14,93,48.4,47,13,6,0.194,91.69,103.344,7,91,44,0.606,49
8.87,22,21,23,18,110,49.1,55,16,7,0.2,108.981,122.922,9,108,53,0.599,57
5.0,7,15,15,18,83,49.4,39,6,3,0.084,76.418,86.308,4,77,38,0.615,45
6.842,7,21,21,9,74,46.5,38,8,3,0.095,70.967,79.793,3,71,33,0.633,41
5.0,6,15,15,14,77,50.0,37,8,3,0.078,73.734,83.624,3,74,37,0.608,40
7.149,7,21,21,10,77,47.3,39,8,3,0.091,73.85,83.209,3,74,35,0.628,42
7.114,6,21,21,9,74,46.5,38,8,3,0.081,70.967,79.793,3,71,33,0.633,41
6.331,6,21,21,11,79,46.7,40,8,3,0.076,74.85,84.209,3,75,35,0.633,44
6.767,6,15,15,14,77,50.0,37,8,3,0.078,73.734,83.624,3,74,37,0.608,40
6.78,7,21,21,9,75,47.2,38,8,3,0.093,71.97,81.059,4,72,34,0.623,41
6.499,6,21,21,9,74,46.5,38,8,3,0.081,70.967,79.793,3,71,33,0.633,41
8.377,6,21,21,9,74,46.5,38,8,3,0.081,70.967,79.793,3,71,33,0.633,41
6.541,6,21,21,9,74,47.9,37,7,3,0.081,70.643,79.849,3,71,34,0.622,40
5.0,7,21,21,10,77,47.3,39,8,3,0.091,73.85,83.209,3,74,35,0.628,42
5.834,6,21,21,9,74,47.9,37,7,3,0.081,70.643,79.849,3,71,34,0.622,40
4.0,2,14,16,2,37,34.3,23,7,4,0.054,36.218,39.539,3,35,12,0.692,25
5.38,8,23,23,19,103,45.3,52,10,5,0.078,95.269,106.265,7,95,43,0.638,60
6.31,11,39,40,7,100,39.8,56,10,5,0.11,93.618,103.019,7,93,37,0.678,63
5.99,10,28,28,17,106,45.9,53,8,4,0.094,97.498,109.261,5,98,45,0.64,61
5.79,11,39,40,7,100,39.8,56,10,5,0.11,93.618,103.019,7,93,37,0.678,63
5.13,9,27,27,19,109,48.5,52,6,3,0.083,99.61,112.673,3,101,49,0.627,60
5.92,11,23,23,23,115,47.7,56,10,5,0.096,106.803,119.926,7,107,51,0.623,64
5.74,11,27,28,17,106,43.9,55,11,5,0.104,98.345,109.185,7,98,43,0.651,63
5.398,19,20,22,15,97,48.4,49,14,6,0.196,95.901,107.969,8,95,46,0.604,51
5.745,19,20,22,14,95,47.3,49,15,6,0.2,94.094,105.474,8,93,44,0.613,51
5.42,11,25,27,13,93,43.7,49,11,5,0.118,87.72,97.517,7,87,38,0.644,55
5.4,11,25,27,14,96,44.4,50,11,5,0.115,90.603,100.933,7,90,40,0.64,56
7.4,8,29,29,5,80,40.8,45,11,5,0.1,76.96,85.146,6,76,31,0.661,49
6.3,6,28,28,3,71,40.3,40,9,4,0.085,67.538,74.896,4,67,27,0.668,44
7.201,15,9,9,18,80,55.7,35,8,3,0.188,78.388,90.135,4,79,44,0.563,36
5.337,13,17,19,10,69,49.3,34,7,3,0.188,66.869,75.561,4,67,33,0.609,36
4.056,10,11,13,9,55,50.0,27,7,3,0.182,54.218,61.315,4,54,27,0.597,28
8.367,22,27,29,17,120,47.9,61,17,7,0.183,117.967,132.836,9,117,56,0.609,64
6.932,22,27,29,18,123,48.3,62,17,7,0.179,120.85,136.251,9,120,58,0.606,65
4.796,17,15,15,14,78,51.9,37,8,3,0.218,76.727,87.165,4,77,40,0.594,38
6.149,15,9,9,14,68,54.4,31,8,3,0.221,67.963,77.6,5,68,37,0.568,31
5.013,15,9,9,14,68,54.4,31,8,3,0.221,67.963,77.6,5,68,37,0.568,31
4.523,11,17,19,16,85,50.6,40,7,3,0.129,80.403,91.221,4,81,41,0.604,44
6.669,14,11,13,13,67,53.0,31,7,3,0.209,65.752,74.976,4,66,35,0.581,32
5.541,11,20,22,14,92,47.2,47,13,6,0.12,89.807,100.929,7,89,42,0.614,50
5.656,11,20,22,15,95,47.8,48,13,6,0.116,92.69,104.344,7,92,44,0.61,51
5.607,11,20,22,16,98,48.4,49,13,6,0.112,95.574,107.76,7,95,46,0.607,52
7.149,24,28,30,16,120,46.2,63,19,8,0.2,118.738,132.839,11,117,54,0.617,66
5.301,19,20,22,16,100,49.0,50,14,6,0.19,98.785,111.384,8,98,48,0.601,52
7.788,20,26,28,13,105,47.1,54,15,6,0.19,102.778,115.756,7,102,48,0.615,57
4.319,14,9,9,13,62,51.6,30,8,3,0.226,62.298,70.365,4,62,32,0.597,30
5.398,19,20,22,15,97,48.4,49,14,6,0.196,95.901,107.969,8,95,46,0.604,51
8.377,23,29,30,16,118,47.0,61,16,8,0.195,116.09,130.049,10,115,54,0.617,64
6.523,24,26,28,17,120,48.7,60,17,6,0.2,117.741,133.125,8,117,57,0.603,63
7.469,24,28,30,16,120,46.2,63,19,8,0.2,118.738,132.839,11,117,54,0.617,66
8.432,22,27,29,17,118,47.8,60,16,7,0.186,115.865,130.338,9,115,55,0.611,63
7.796,23,29,30,15,115,46.4,60,16,8,0.2,113.207,126.633,10,112,52,0.62,63
5.62,18,30,33,12,106,45.1,56,14,6,0.17,102.901,114.969,8,102,46,0.631,60
8.237,23,27,31,15,116,45.1,62,20,9,0.198,115.072,128.507,11,113,51,0.621,65
7.854,23,27,29,16,118,47.0,61,18,7,0.195,116.41,130.63,10,115,54,0.612,64
7.705,24,28,30,16,120,46.2,63,19,8,0.2,118.738,132.839,11,117,54,0.617,66
8.027,23,27,29,16,118,47.0,61,18,7,0.195,116.41,130.63,10,115,54,0.612,64
7.276,22,27,29,16,117,47.4,60,17,7,0.188,115.083,129.421,9,114,54,0.612,63
5.656,11,20,22,15,95,47.8,48,13,6,0.116,92.69,104.344,7,92,44,0.61,51
4.0,3,22,24,3,54,40.0,30,5,2,0.056,49.909,55.385,1,50,20,0.687,34
4.0,3,20,20,2,46,39.5,26,4,2,0.065,42.923,47.472,1,43,17,0.693,29
4.0,5,28,30,3,65,40.0,36,5,2,0.077,59.676,66.216,1,60,24,0.69,41
4.097,3,22,24,2,51,38.3,29,5,2,0.059,47.214,52.366,1,47,18,0.689,33
4.0,7,22,24,7,66,45.2,34,5,2,0.106,61.632,69.442,1,62,28,0.645,38
4.0,4,22,24,4,57,35.8,34,8,2,0.07,54.52,60.215,1,53,19,0.69,38
5.0,3,22,24,3,54,40.0,30,5,2,0.056,50.098,55.781,1,50,20,0.678,34
4.0,3,22,24,6,64,43.3,34,6,2,0.047,60.076,67.236,2,60,26,0.653,38
4.959,6,23,25,4,60,39.3,34,7,3,0.1,56.636,62.615,3,56,22,0.676,38
4.523,5,22,25,4,58,38.9,33,6,2,0.086,54.2,60.279,1,54,21,0.684,37
4.0,4,29,31,3,67,37.1,39,7,3,0.06,62.516,68.765,2,62,23,0.702,44
4.0,4,28,30,5,72,40.3,40,7,2,0.056,67.283,74.595,2,67,27,0.68,45
4.0,3,21,21,3,52,37.5,30,6,3,0.058,48.353,53.179,2,48,18,0.699,34
4.201,3,22,24,4,57,43.4,30,4,2,0.053,52.469,58.856,1,53,23,0.661,34
4.18,5,23,25,3,58,38.9,33,7,3,0.086,54.527,60.489,2,54,21,0.679,37
4.0,3,21,23,3,53,40.8,29,5,1,0.057,48.909,54.385,1,49,20,0.681,33
4.0,5,28,30,4,68,41.3,37,5,2,0.074,62.56,69.631,1,63,26,0.681,42
4.638,5,23,25,3,57,37.7,33,7,3,0.088,53.752,59.2,3,53,20,0.686,37
4.77,3,22,24,4,57,41.5,31,5,2,0.053,52.981,59.196,1,53,22,0.668,35
4.0,7,23,25,5,63,40.7,35,7,3,0.111,59.52,66.03,3,59,24,0.668,39
5.0,3,22,24,3,54,42.0,29,4,2,0.056,49.585,55.441,1,50,21,0.67,33
4.0,6,26,26,3,61,40.4,34,5,2,0.098,56.902,62.927,2,57,23,0.686,38
4.0,6,22,24,6,65,44.3,34,6,2,0.092,60.85,68.525,1,61,27,0.648,38
4.097,5,20,20,3,50,40.4,28,5,2,0.1,47.134,52.096,2,47,19,0.682,31
4.796,4,23,25,2,54,38.0,31,6,3,0.074,50.356,55.445,3,50,19,0.688,35
4.222,3,14,14,5,44,45.2,23,4,2,0.068,41.807,46.887,1,42,19,0.651,25
4.523,5,22,24,6,62,42.1,33,5,2,0.081,56.865,63.611,1,57,24,0.666,38
4.0,3,21,23,3,52,41.7,28,4,1,0.058,47.771,53.571,0,48,20,0.671,32
4.0,2,16,18,3,43,42.5,23,4,2,0.047,39.818,44.611,1,40,17,0.662,26
4.301,3,22,24,2,51,40.4,28,4,2,0.059,46.702,52.026,1,47,19,0.681,32
4.0,3,22,24,2,51,36.2,30,6,2,0.059,47.349,51.914,1,47,17,0.716,34
4.523,4,22,24,4,57,41.5,31,5,2,0.07,52.981,59.196,1,53,22,0.668,35
4.0,3,22,24,2,51,38.3,29,5,2,0.059,46.774,51.681,0,47,18,0.708,33
4.0,5,28,30,3,65,40.0,36,5,2,0.077,59.676,66.216,1,60,24,0.69,41
4.444,3,22,24,2,51,38.3,29,5,2,0.059,47.214,52.366,1,47,18,0.689,33
4.0,3,22,24,2,51,38.3,29,5,2,0.059,47.025,51.97,1,47,18,0.698,33
4.0,3,21,23,3,53,40.8,29,5,1,0.057,48.909,54.385,1,49,20,0.681,33
6.53,7,17,19,9,64,47.5,32,6,2,0.109,60.774,68.521,3,61,29,0.624,35
6.91,7,17,19,16,83,50.0,39,6,2,0.084,77.192,87.597,3,78,39,0.611,44
6.24,7,11,13,18,77,51.4,35,6,2,0.091,71.309,81.182,3,72,37,0.6,40
5.63,7,11,13,15,68,49.2,32,6,2,0.103,62.658,70.936,3,63,31,0.612,37
5.84,7,11,13,15,69,50.8,32,6,2,0.101,64.541,73.351,3,65,33,0.602,36
6.9,7,11,13,19,80,52.0,36,6,2,0.088,74.192,84.597,3,75,39,0.596,41
6.18,7,17,19,13,74,47.8,36,6,2,0.095,68.541,77.351,3,69,33,0.625,41
6.14,7,17,19,15,80,49.3,38,6,2,0.088,74.309,84.182,3,75,37,0.616,43
6.18,7,17,19,6,56,46.3,29,6,2,0.125,54.007,60.69,3,54,25,0.63,31
5.54,7,11,13,16,72,51.5,33,6,2,0.097,67.425,76.766,3,68,35,0.598,37
5.6,6,21,24,8,68,45.3,35,6,2,0.088,63.774,71.521,3,64,29,0.642,39
6.27,7,17,19,14,78,47.9,38,7,2,0.09,72.752,81.976,4,73,35,0.621,43
6.52,9,17,19,15,80,49.3,38,6,2,0.113,74.309,84.182,3,75,37,0.616,43
6.25,7,17,19,13,74,46.4,37,7,2,0.095,69.054,77.691,3,69,32,0.63,42
6.11,7,11,13,19,80,50.0,37,7,2,0.088,73.636,83.391,4,74,37,0.606,43
6.1,8,17,19,15,82,49.4,39,7,2,0.098,76.41,86.68,3,77,38,0.613,44
6.49,7,11,13,20,82,51.3,37,6,2,0.085,75.192,85.597,3,76,39,0.601,43
4.481,2,20,20,1,44,39.0,25,4,3,0.045,40.793,45.032,1,41,16,0.698,28
4.785,7,23,25,2,56,39.6,32,7,3,0.125,53.567,59.069,4,53,21,0.673,35
6.489,31,29,33,22,147,47.2,76,25,11,0.211,146.301,163.875,14,144,68,0.609,79
4.0,3,18,19,2,43,37.5,25,5,2,0.07,40.305,44.372,1,40,15,0.7,28
4.215,3,24,25,2,53,38.8,30,4,2,0.057,48.807,53.887,1,49,19,0.701,34
6.2,13,18,20,17,92,48.3,45,10,4,0.141,87.159,98.138,6,87,42,0.614,50
5.0,7,12,13,13,64,50.0,30,5,2,0.109,59.556,67.438,3,60,30,0.609,34
5.1,7,19,20,8,65,45.2,34,7,3,0.108,62.327,69.441,5,62,28,0.637,37
5.4,11,25,27,13,93,43.7,49,11,5,0.118,87.72,97.517,7,87,38,0.644,55
5.5,7,22,25,8,71,43.3,38,8,3,0.099,67.429,74.94,5,67,29,0.649,42
5.0,11,24,27,14,95,43.8,50,12,5,0.116,89.821,100.016,7,89,39,0.641,56
5.5,7,20,23,10,73,47.8,36,6,1,0.096,68.541,77.351,3,69,33,0.625,40
5.3,7,20,24,8,69,43.1,37,9,3,0.101,65.647,73.023,5,65,28,0.646,41
5.1,7,19,20,11,72,44.8,37,7,3,0.097,67.211,74.856,5,67,30,0.642,42
5.6,7,23,25,8,72,44.1,38,7,3,0.097,68.211,75.856,5,68,30,0.647,42
5.5,7,18,20,11,71,43.9,37,8,3,0.099,66.429,73.94,5,66,29,0.644,42
5.4,11,24,27,14,95,43.8,50,12,5,0.116,89.821,100.016,7,89,39,0.641,56
5.8,11,24,27,13,92,43.0,49,12,5,0.12,86.938,96.601,7,86,37,0.646,55
5.6,6,21,24,8,68,45.3,35,6,2,0.088,63.774,71.521,3,64,29,0.642,39
5.3,8,19,20,12,75,45.7,38,7,3,0.107,70.094,78.272,5,70,32,0.636,43
5.3,10,23,26,13,89,44.6,46,10,4,0.112,83.283,93.182,5,83,37,0.64,52
5.5,11,23,23,13,88,44.6,46,10,5,0.125,83.618,93.019,7,83,37,0.639,51
5.2,8,18,20,12,74,44.9,38,8,3,0.108,69.312,77.355,5,69,31,0.638,43
5.1,7,18,20,8,64,44.3,34,8,3,0.109,61.545,68.524,5,61,27,0.639,37
6.1,11,27,28,13,95,43.8,50,10,5,0.116,89.501,99.434,7,89,39,0.647,56
5.7,11,24,27,14,95,43.8,50,12,5,0.116,89.821,100.016,7,89,39,0.641,56
5.4,11,22,25,15,94,46.6,47,10,3,0.117,88.05,99.012,5,88,41,0.627,53
5.7,11,29,29,17,109,44.6,56,10,5,0.101,101.152,112.68,7,101,45,0.645,64
5.4,6,22,24,8,69,46.2,35,5,2,0.087,64.556,72.438,3,65,30,0.639,39
4.0,9,22,22,13,87,48.2,43,8,4,0.103,82.621,93.304,4,83,40,0.62,47
4.0,9,22,22,13,87,47.0,44,9,4,0.103,83.134,93.644,4,83,39,0.624,48
4.268,3,20,20,4,53,42.9,28,4,2,0.057,48.585,54.441,1,49,21,0.664,32
4.0,3,20,20,4,53,40.8,29,5,2,0.057,49.098,54.781,1,49,20,0.672,33
4.0,9,22,22,13,87,47.0,44,9,4,0.103,83.134,93.644,4,83,39,0.624,48
4.553,3,20,20,4,53,42.9,28,4,2,0.057,48.585,54.441,1,49,21,0.664,32
4.032,3,20,20,6,59,45.5,30,4,2,0.051,54.352,61.272,1,55,25,0.647,34
4.319,3,20,20,4,53,40.8,29,5,2,0.057,49.098,54.781,1,49,20,0.672,33
5.824,10,22,22,9,77,45.9,40,9,4,0.13,74.298,83.268,5,74,34,0.629,43
5.066,30,36,38,20,151,46.3,79,23,10,0.199,148.897,166.746,13,147,68,0.618,83
5.066,30,36,38,20,151,46.3,79,23,10,0.199,148.897,166.746,13,147,68,0.618,83
6.699,15,13,15,12,75,48.6,38,13,5,0.2,75.156,84.684,7,74,36,0.595,39
6.0,30,36,38,20,151,46.3,79,23,10,0.199,148.897,166.746,13,147,68,0.618,83
5.921,30,36,38,20,151,46.3,79,23,10,0.199,148.897,166.746,13,147,68,0.618,83
6.721,31,30,32,19,139,45.6,74,25,10,0.223,138.399,154.34,13,136,62,0.622,77
9.553,29,30,34,15,131,42.2,74,29,12,0.221,131.923,145.228,16,128,54,0.639,77
5.796,40,31,35,30,177,48.3,90,29,13,0.226,176.679,198.035,18,174,84,0.602,93
8.699,34,31,35,23,155,46.1,82,28,13,0.219,155.167,172.919,17,152,70,0.614,85
5.0,4,13,19,5,48,37.8,28,10,3,0.083,45.956,50.209,3,45,17,0.696,31
8.523,34,31,35,23,155,46.1,82,28,13,0.219,155.167,172.919,17,152,70,0.614,85
4.0,2,18,19,1,40,35.1,24,5,2,0.05,37.422,40.957,1,37,13,0.716,27
7.759,30,29,33,21,141,47.1,73,23,11,0.213,139.988,156.753,13,138,65,0.612,76
7.481,32,29,33,23,149,47.3,77,25,11,0.215,148.41,166.002,15,146,69,0.609,80
8.678,25,28,32,18,128,45.2,68,22,10,0.195,126.352,140.593,13,124,56,0.623,72
8.137,25,28,32,23,142,46.7,73,22,10,0.176,138.887,155.254,13,137,64,0.616,78
4.785,5,37,41,1,76,36.2,44,6,3,0.066,69.007,75.69,3,69,25,0.71,51
5.365,4,31,35,1,65,35.6,38,6,3,0.062,59.24,64.86,3,59,21,0.711,44
5.83,11,24,27,13,92,43.0,49,12,5,0.12,86.938,96.601,7,86,37,0.646,55
5.658,14,9,9,13,62,51.6,30,8,3,0.226,62.298,70.365,4,62,32,0.597,30
6.1,11,25,27,13,92,43.0,49,11,5,0.12,86.694,95.939,7,86,37,0.654,55
5.9,6,17,19,11,68,46.0,34,6,2,0.088,62.774,70.521,3,63,29,0.636,39
5.7,11,25,27,13,93,42.5,50,12,5,0.118,87.789,97.238,7,87,37,0.659,56
9.14,19,21,23,13,93,46.2,49,15,7,0.204,92.461,103.348,9,91,42,0.616,51
7.222,33,31,35,25,160,46.2,84,28,13,0.206,159.05,177.334,17,156,72,0.615,88
8.633,30,29,33,21,141,47.1,73,23,11,0.213,139.988,156.753,13,138,65,0.612,76
7.276,22,27,29,16,117,47.4,60,17,7,0.188,115.083,129.421,9,114,54,0.612,63
7.208,29,28,32,19,134,46.6,70,23,10,0.216,133.221,148.922,13,131,61,0.614,73
6.886,25,28,29,16,120,47.9,61,17,7,0.208,117.967,132.836,9,117,56,0.609,64
9.004,29,28,32,20,135,47.0,70,22,10,0.215,134.003,149.839,13,132,62,0.613,73
5.602,28,31,35,30,177,48.0,90,29,13,0.158,175.57,196.908,17,173,83,0.604,94
7.658,23,29,30,15,117,46.5,61,17,8,0.197,115.308,129.132,10,114,53,0.618,64
6.77,22,21,23,19,115,49.6,57,17,7,0.191,113.967,128.836,9,113,56,0.595,59
7.699,34,31,35,23,155,46.1,82,28,13,0.219,155.167,172.919,17,152,70,0.614,85
5.415,28,31,35,30,177,48.0,90,29,13,0.158,175.57,196.908,17,173,83,0.604,94
5.509,28,31,35,30,177,48.0,90,29,13,0.158,175.57,196.908,17,173,83,0.604,94
6.174,13,16,18,12,72,50.0,35,7,2,0.181,69.629,78.86,2,70,35,0.616,37
7.796,22,27,29,16,117,47.4,60,17,7,0.188,115.083,129.421,9,114,54,0.612,63
9.301,29,28,32,20,135,47.0,70,22,10,0.215,134.003,149.839,13,132,62,0.613,73
7.276,34,31,35,23,155,46.1,82,28,13,0.219,155.167,172.919,17,152,70,0.614,85
7.337,23,28,30,16,119,46.6,62,18,8,0.193,117.41,131.63,10,116,54,0.616,65
5.7,26,31,33,30,173,49.1,86,25,11,0.15,170.512,192.36,14,169,83,0.599,90
5.75,11,34,36,6,89,45.2,46,6,2,0.124,83.083,93.47,2,84,38,0.648,51
8.2,4,19,20,3,49,39.1,28,6,3,0.082,46.582,51.156,4,46,18,0.676,31
5.1,17,19,21,15,93,49.5,46,12,5,0.183,91.472,103.261,7,91,45,0.601,48
8.347,22,31,34,15,120,45.7,63,17,7,0.183,117.308,131.132,10,116,53,0.624,67
6.9,21,26,28,16,114,48.6,57,15,6,0.184,111.428,126.002,7,111,54,0.606,60
4.469,2,20,20,1,44,39.0,25,4,3,0.045,40.793,45.032,1,41,16,0.698,28
7.721,23,28,30,16,119,46.6,62,18,8,0.193,117.41,131.63,10,116,54,0.616,65
7.638,23,27,29,16,118,47.0,61,18,7,0.195,116.41,130.63,10,115,54,0.612,64
5.47,11,25,27,13,93,43.7,49,11,5,0.118,87.72,97.517,7,87,38,0.644,55
5.429,9,17,19,18,91,45.9,46,11,3,0.099,85.705,95.528,6,85,39,0.635,52
4.0,4,22,22,9,75,42.0,40,9,4,0.053,69.421,77.312,4,69,29,0.656,46
4.0,3,22,24,2,51,38.3,29,5,2,0.059,47.025,51.97,1,47,18,0.698,33
6.125,18,26,28,18,119,48.7,59,15,6,0.151,115.312,130.417,7,115,56,0.607,63
5.975,11,17,19,16,85,47.5,42,9,3,0.129,80.17,89.96,5,80,38,0.624,47
5.8,9,14,16,4,47,39.1,28,10,4,0.191,47.516,51.588,5,46,18,0.678,29
6.851,20,26,28,16,114,48.6,57,15,6,0.175,111.428,126.002,7,111,54,0.606,60
5.875,24,26,28,20,126,50.4,61,15,6,0.19,122.963,139.663,7,123,62,0.597,64
6.5,10,18,21,5,58,41.1,33,10,4,0.172,57.287,62.684,6,56,23,0.663,35
6.6,9,18,21,4,54,40.4,31,9,4,0.167,53.265,58.455,5,52,21,0.663,33
5.6,8,19,20,4,53,43.1,29,6,3,0.151,51.349,56.986,4,51,22,0.65,31
6.475,9,18,21,4,54,42.3,30,8,4,0.167,52.753,58.116,5,52,22,0.655,32
6.124,9,17,19,17,88,45.1,45,11,3,0.102,82.821,92.113,6,82,37,0.64,51
6.126,22,26,28,17,117,49.1,58,15,6,0.188,114.312,129.417,7,114,56,0.604,61
7.721,22,26,28,19,123,50.0,60,15,6,0.179,120.079,136.247,7,120,60,0.599,63
5.5,11,14,16,6,53,46.2,28,8,4,0.208,52.636,58.531,5,52,24,0.627,29
7.77,20,26,28,20,125,49.6,61,15,6,0.16,121.079,137.247,7,121,60,0.602,65
6.1,10,18,21,5,57,43.6,31,8,4,0.175,55.636,61.531,5,55,24,0.647,33
5.0,10,18,23,4,59,40.4,34,12,6,0.169,58.585,63.953,7,57,23,0.662,36
6.6,10,18,21,5,58,42.9,32,9,4,0.172,56.963,62.74,6,56,24,0.648,34
5.928,23,26,28,19,123,50.0,60,15,6,0.187,120.079,136.247,7,120,60,0.599,63
7.208,21,26,28,17,117,49.1,58,15,6,0.179,114.312,129.417,7,114,56,0.604,61
