pXC50,Eig03_AEA.dm.,P_VSA_s_5,H.051,NssNH,X2A,SM02_EA.dm.,SM04_EA.dm.,Eig02_EA.bo.,MATS4s,NaasC,SM08_EA.bo.,SM12_AEA.ri.,MCD,SM11_EA.bo.,SM12_EA.bo.,SM14_EA.bo.,SM15_EA.bo.,X1A,SM07_EA.bo.,SM09_EA.bo.,SM10_EA.bo.,C.008,Eta_beta_A,C.026,C.039,DBI,nArCO,nArOH,nCb.,CATS2D_04_DD,SM03_EA.dm.,Eig01_EA.bo.,SM06_EA.bo.,SM11_AEA.ri.,SpMax1_Bh.e.,SpMax_EA.bo.,Eig01_AEA.bo.,SpDiam_AEA.bo.,SpMax_AEA.bo.,MATS4e,SM03_EA.bo.,Mv,MPC09,nCIC,nCIR,Rperim,TRS,NsssCH,C.040,nDB,Eta_C_A,Eta_FL_A,O.057,NdssC,GNar,ATS6i,SpMax1_Bh.s.,DLS_05,GATS1v,N.072,D.Dtr10,nR10,Eig03_EA.ed.,Qindex,SM12_AEA.dm.
4.398,3.292,18.011,3,1,0.303,3.04,4.351,3.092,-0.108,0,10.681,3.092,0.238,14.379,15.642,18.171,19.441,0.458,9.404,11.879,13.139,5,0.786,0,0,4.583,0,0,0,4,2.795,3.632,8.309,3.632,3.931,3.632,4.543,5.513,4.543,-0.098,4.369,0.58,2.944,1,1,5,5,5,2,2,1.054,0.173,1,2,1.758,5.04,7.476,1.0,1.075,1,0.0,0,7.699,13,7.699
5.804,3.368,36.022,3,2,0.309,3.058,4.026,3.442,-0.096,1,11.017,3.442,0.48,14.356,15.776,18.197,19.292,0.457,9.423,11.891,13.378,3,1.03,0,0,3.937,0,0,1,1,2.472,3.46,8.72,3.46,3.953,3.46,4.273,5.22,4.273,-0.053,4.311,0.602,3.829,2,2,12,12,4,2,3,0.916,0.222,0,3,1.928,5.115,7.432,1.0,0.999,2,0.0,0,7.052,14,7.052
9.409,3.394,18.011,3,1,0.305,3.087,4.047,3.134,-0.121,0,10.557,3.134,0.286,14.065,15.312,17.739,18.948,0.467,9.221,11.64,12.913,3,0.833,0,0,4.123,0,0,0,0,2.504,3.487,8.278,3.487,3.934,3.487,4.309,5.244,4.309,-0.094,4.205,0.566,3.045,1,1,6,6,4,2,3,1.055,0.178,0,3,1.792,5.169,7.431,1.0,1.202,2,0.0,0,7.836,11,7.836
6.509,3.388,18.011,3,1,0.315,3.087,4.047,3.107,-0.151,0,10.521,3.107,0.316,14.023,15.269,17.692,18.9,0.46,9.189,11.603,12.874,3,0.868,0,0,3.873,0,0,0,0,2.504,3.48,8.241,3.48,3.927,3.48,4.3,5.234,4.3,-0.118,4.205,0.575,2.565,1,1,6,6,4,2,3,0.94,0.198,0,3,1.772,4.94,7.431,1.0,1.157,2,0.0,0,7.583,11,7.583
7.0,3.152,18.011,3,1,0.309,2.643,3.463,2.933,-0.07,0,10.32,2.933,0.3,13.746,14.986,17.376,18.563,0.464,8.988,11.361,12.628,5,0.763,0,0,4.0,0,0,0,2,2.071,3.42,8.093,3.42,3.93,3.42,4.261,5.196,4.261,-0.062,4.111,0.57,2.833,1,1,6,6,6,1,2,1.036,0.173,0,2,1.783,5.08,7.43,1.0,1.073,1,0.0,0,7.728,11,7.728
7.398,3.152,18.011,3,1,0.309,2.643,3.463,2.933,-0.07,0,10.32,2.933,0.3,13.746,14.986,17.376,18.563,0.464,8.988,11.361,12.628,5,0.763,0,0,4.0,0,0,0,2,2.071,3.42,8.093,3.42,3.93,3.42,4.261,5.196,4.261,-0.062,4.111,0.57,2.833,1,1,6,6,6,1,2,1.036,0.173,0,2,1.783,5.08,7.43,1.0,1.073,1,0.0,0,7.728,11,7.728
5.772,3.368,36.022,3,2,0.314,3.058,4.026,3.021,-0.12,0,10.425,3.021,0.316,13.896,15.141,17.552,18.752,0.466,9.083,11.486,12.76,3,0.855,0,0,3.742,0,0,0,1,2.472,3.457,8.167,3.457,3.924,3.457,4.273,5.208,4.273,-0.105,4.111,0.575,2.639,1,1,6,6,4,2,3,0.944,0.189,0,3,1.799,4.915,7.432,1.0,1.114,2,0.0,0,7.017,10,7.017
4.62,3.367,36.022,3,2,0.312,3.058,4.026,3.016,-0.153,0,10.418,3.016,0.333,13.89,15.135,17.546,18.746,0.465,9.08,11.481,12.754,3,0.875,0,0,3.606,0,0,0,1,2.472,3.456,8.158,3.456,3.921,3.456,4.272,5.207,4.272,-0.139,4.111,0.581,2.303,1,1,6,6,4,2,3,0.89,0.202,0,3,1.788,4.827,7.432,1.0,1.081,2,0.0,0,6.959,10,6.959
9.187,3.395,18.011,3,1,0.305,3.087,4.047,3.442,-0.095,1,11.096,3.442,0.429,14.47,15.875,18.304,19.417,0.46,9.525,12.0,13.468,3,0.982,0,0,4.416,0,0,1,0,2.504,3.492,8.79,3.492,3.967,3.492,4.311,5.262,4.311,-0.052,4.388,0.587,4.174,2,2,12,12,4,2,3,1.062,0.203,0,3,1.916,5.439,7.431,1.0,1.094,2,0.0,0,7.861,15,7.861
6.678,3.533,18.011,3,1,0.297,3.032,3.955,3.33,-0.058,0,10.871,3.33,0.478,14.471,15.737,18.217,19.455,0.447,9.53,11.997,13.283,4,0.924,0,0,3.674,0,0,0,0,2.179,3.58,8.54,3.58,3.961,3.58,4.37,5.352,4.37,-0.015,4.443,0.587,4.043,2,2,11,11,4,3,4,1.032,0.191,1,4,1.874,5.142,7.475,1.0,1.135,2,0.0,0,7.961,16,7.961
4.562,3.07,18.011,4,1,0.33,2.895,4.056,2.936,-0.164,0,10.062,2.936,0.294,13.315,14.499,16.764,17.886,0.465,8.768,11.042,12.261,1,0.897,0,0,3.674,0,0,0,0,2.653,3.237,7.926,3.237,3.956,3.237,4.113,5.052,4.113,-0.152,4.007,0.569,2.303,1,1,5,5,3,2,3,0.901,0.182,1,3,1.807,4.708,7.474,1.0,1.107,1,0.0,0,5.468,9,5.468
7.151,3.13,18.011,4,1,0.324,2.895,4.056,2.938,-0.095,0,10.199,2.938,0.238,13.486,14.676,16.963,18.099,0.469,8.903,11.194,12.416,2,0.821,0,0,4.301,0,0,0,0,2.653,3.282,8.051,3.282,3.981,3.282,4.183,5.146,4.183,-0.083,4.111,0.554,3.135,1,1,5,5,4,2,3,1.13,0.146,1,3,1.817,5.317,7.474,1.0,1.206,1,0.0,0,6.611,10,6.611
9.0,3.27,18.011,3,1,0.308,2.728,3.624,2.958,-0.126,0,10.515,2.958,0.273,14.074,15.351,17.831,19.066,0.474,9.145,11.601,12.905,4,0.807,0,0,4.123,0,0,0,0,1.593,3.549,8.225,3.549,3.955,3.549,4.265,5.225,4.265,-0.162,4.111,0.555,3.555,1,1,6,6,4,2,3,1.15,0.15,0,3,1.825,5.285,7.434,1.0,1.279,1,0.0,0,6.923,10,6.923
9.0,3.166,18.011,4,1,0.313,2.895,4.056,2.951,-0.091,0,10.297,2.951,0.227,13.604,14.793,17.09,18.234,0.468,9.011,11.306,12.524,2,0.807,0,0,4.528,0,0,0,0,2.653,3.306,8.138,3.306,3.992,3.306,4.223,5.188,4.223,-0.088,4.205,0.551,2.996,1,1,5,5,5,2,3,1.221,0.139,1,3,1.801,5.538,7.474,1.0,1.223,1,0.0,0,7.149,11,7.149
7.886,3.13,18.011,4,1,0.324,2.895,4.056,2.938,-0.095,0,10.199,2.938,0.238,13.486,14.676,16.963,18.099,0.469,8.903,11.194,12.416,2,0.821,0,0,4.301,0,0,0,0,2.653,3.282,8.051,3.282,3.981,3.282,4.183,5.146,4.183,-0.083,4.111,0.554,3.135,1,1,5,5,4,2,3,1.13,0.146,1,3,1.817,5.317,7.474,1.0,1.206,1,0.0,0,6.611,10,6.611
4.836,3.13,18.011,4,1,0.324,2.895,4.056,2.938,-0.095,0,10.199,2.938,0.238,13.486,14.676,16.963,18.099,0.469,8.903,11.194,12.416,2,0.821,0,0,4.301,0,0,0,0,2.653,3.282,8.051,3.282,3.981,3.282,4.183,5.146,4.183,-0.083,4.111,0.554,3.135,1,1,5,5,4,2,3,1.13,0.146,1,3,1.817,5.317,7.474,1.0,1.206,1,0.0,0,6.611,10,6.611
8.854,3.244,18.011,4,1,0.307,2.895,4.056,2.973,0.044,0,10.445,2.973,0.217,13.851,15.062,17.427,18.609,0.466,9.154,11.497,12.729,3,0.804,0,0,4.583,0,0,0,2,2.653,3.409,8.239,3.409,3.997,3.409,4.342,5.308,4.342,0.074,4.29,0.554,3.178,1,1,5,5,6,2,3,1.24,0.145,1,3,1.787,5.574,7.474,1.0,1.195,1,0.0,0,7.333,12,7.333
6.445,3.13,18.011,4,1,0.324,2.895,4.056,2.938,-0.095,0,10.199,2.938,0.238,13.486,14.676,16.963,18.099,0.469,8.903,11.194,12.416,2,0.821,0,0,4.301,0,0,0,0,2.653,3.282,8.051,3.282,3.981,3.282,4.183,5.146,4.183,-0.083,4.111,0.554,3.135,1,1,5,5,4,2,3,1.13,0.146,1,3,1.817,5.317,7.474,1.0,1.206,1,0.0,0,6.611,10,6.611
8.481,3.4,18.011,3,1,0.32,3.194,4.102,3.125,-0.155,0,10.729,3.125,0.273,14.207,15.466,17.892,19.097,0.46,9.364,11.782,13.074,3,0.92,0,0,4.359,0,0,0,0,2.573,3.518,8.457,3.518,3.938,3.518,4.324,5.262,4.324,-0.121,4.369,0.579,3.258,1,1,6,6,4,2,4,0.967,0.213,0,4,1.778,5.151,7.431,1.0,1.119,2,0.0,0,7.854,12,7.854
5.0,3.41,18.011,3,1,0.313,2.771,3.544,3.07,0.012,0,10.722,3.07,0.261,14.287,15.545,18.013,19.248,0.456,9.406,11.837,13.109,5,0.761,0,0,4.69,0,0,0,2,2.248,3.572,8.413,3.572,3.992,3.572,4.475,5.42,4.475,0.044,4.443,0.553,3.258,1,1,6,6,6,1,2,1.177,0.173,0,2,1.756,5.473,7.43,1.0,1.256,1,0.0,0,8.108,14,8.108
9.187,3.406,18.011,3,1,0.31,3.194,4.102,3.445,-0.099,1,11.219,3.445,0.387,14.591,15.987,18.417,19.539,0.46,9.654,12.124,13.583,3,1.008,0,0,4.848,0,0,1,0,2.573,3.526,8.92,3.526,3.973,3.526,4.333,5.286,4.333,-0.055,4.527,0.589,4.431,2,2,12,12,4,2,4,1.089,0.213,0,4,1.906,5.572,7.431,1.0,1.075,2,0.0,0,7.925,16,7.925
5.398,3.153,18.011,3,1,0.309,2.687,3.48,2.933,-0.087,0,10.32,2.933,0.3,13.746,14.986,17.376,18.563,0.464,8.988,11.361,12.628,5,0.763,0,0,4.0,0,0,0,2,2.071,3.42,8.093,3.42,3.924,3.42,4.261,5.196,4.261,-0.067,4.111,0.576,2.833,1,1,6,6,6,1,2,1.027,0.175,0,2,1.783,5.002,7.43,1.0,1.069,1,0.0,0,7.728,11,7.728
9.0,3.32,36.022,3,2,0.315,2.726,3.405,3.037,-0.067,0,10.649,3.037,0.261,14.168,15.428,17.884,19.109,0.464,9.314,11.73,13.01,5,0.913,0,0,4.472,0,0,0,2,1.755,3.545,8.378,3.545,3.941,3.545,4.303,5.246,4.303,-0.056,4.369,0.588,3.466,1,1,6,6,5,2,4,0.974,0.208,1,4,1.787,5.192,7.475,1.0,1.006,1,0.0,0,7.893,12,7.893
6.62,3.532,36.022,3,2,0.306,3.062,3.98,3.233,-0.099,0,10.761,3.233,0.25,14.345,15.613,18.089,19.324,0.473,9.406,11.873,13.164,3,0.885,0,0,4.472,0,0,0,0,2.221,3.572,8.439,3.572,3.946,3.572,4.335,5.278,4.335,-0.068,4.29,0.568,3.638,1,1,6,6,3,3,4,1.088,0.181,1,4,1.817,5.395,7.475,1.0,1.255,2,0.0,0,7.905,11,7.905
8.155,3.532,18.011,3,1,0.305,3.077,3.986,3.446,-0.096,1,11.206,3.446,0.429,14.651,16.043,18.502,19.651,0.46,9.654,12.154,13.606,3,1.054,0,0,4.416,0,0,1,0,2.221,3.567,8.872,3.567,3.963,3.567,4.328,5.278,4.328,-0.038,4.46,0.605,4.174,2,2,12,12,3,3,4,0.992,0.219,1,4,1.916,5.323,7.475,1.0,1.075,2,0.0,0,7.861,15,7.861
8.222,3.534,18.011,3,1,0.297,3.047,3.976,3.33,-0.058,0,10.871,3.33,0.478,14.471,15.737,18.217,19.455,0.447,9.53,11.997,13.283,5,0.913,0,0,3.674,0,0,0,0,2.221,3.58,8.54,3.58,3.975,3.58,4.37,5.352,4.37,-0.016,4.443,0.585,4.043,2,2,11,11,5,3,4,1.082,0.177,1,4,1.874,5.162,7.475,1.0,1.126,2,0.0,0,7.961,16,7.961
8.046,3.531,18.011,3,1,0.307,3.047,3.976,3.446,-0.122,1,11.252,3.446,0.4,14.652,16.059,18.512,19.651,0.462,9.654,12.155,13.634,3,1.092,0,0,4.637,0,0,1,0,2.221,3.567,8.944,3.567,3.966,3.567,4.328,5.279,4.328,-0.064,4.46,0.619,4.344,2,2,12,12,3,3,6,0.94,0.241,1,4,1.921,5.326,7.475,1.0,1.027,2,0.0,0,7.861,15,7.861
4.721,3.525,36.022,3,2,0.307,3.016,3.954,3.14,-0.046,0,10.683,3.14,0.522,14.227,15.493,17.957,19.186,0.453,9.325,11.77,13.061,4,0.902,0,0,3.674,0,0,0,1,2.179,3.554,8.396,3.554,3.949,3.554,4.3,5.3,4.3,-0.017,4.29,0.585,3.912,2,2,12,12,4,3,4,1.024,0.172,1,4,1.922,5.002,7.475,1.0,1.093,2,0.0,0,7.492,14,7.492
5.523,3.531,18.011,3,1,0.306,3.047,3.976,3.446,-0.098,1,11.207,3.446,0.414,14.651,16.043,18.502,19.651,0.461,9.654,12.155,13.607,3,1.043,0,0,4.528,0,0,1,0,2.221,3.567,8.875,3.567,3.967,3.567,4.328,5.28,4.328,-0.039,4.46,0.601,4.277,2,2,12,12,3,3,4,0.993,0.222,1,4,1.919,5.378,7.475,1.0,1.053,2,0.0,0,7.861,15,7.861
7.921,3.531,18.011,3,1,0.305,3.047,3.976,3.446,-0.097,1,11.206,3.446,0.429,14.651,16.043,18.502,19.651,0.46,9.654,12.154,13.606,3,1.063,0,0,4.416,0,0,1,0,2.221,3.567,8.872,3.567,3.965,3.567,4.328,5.278,4.328,-0.051,4.46,0.607,4.174,2,2,12,12,3,3,4,0.955,0.229,1,4,1.916,5.309,7.475,1.0,1.032,2,0.0,0,7.861,15,7.861
6.509,3.533,18.011,3,1,0.298,3.047,3.976,3.281,-0.092,0,10.811,3.281,0.5,14.398,15.663,18.138,19.373,0.448,9.466,11.928,13.215,4,0.932,0,0,3.606,0,0,0,0,2.221,3.572,8.487,3.572,3.963,3.572,4.345,5.326,4.345,-0.045,4.369,0.59,3.912,2,2,11,11,4,3,4,1.005,0.186,1,4,1.894,5.01,7.475,1.0,1.104,2,0.0,0,7.938,15,7.938
7.854,3.531,18.011,3,1,0.311,3.047,3.976,3.446,-0.067,1,11.216,3.446,0.414,14.658,16.048,18.507,19.655,0.456,9.67,12.164,13.613,3,1.034,0,0,4.637,0,0,1,0,2.221,3.568,8.888,3.568,3.97,3.568,4.329,5.281,4.329,-0.027,4.527,0.595,4.29,2,2,12,12,4,3,4,1.062,0.21,1,4,1.9,5.452,7.475,1.0,1.092,2,0.0,0,7.877,16,7.877
4.328,3.531,18.011,3,1,0.305,3.047,3.976,3.446,-0.099,1,11.206,3.446,0.429,14.651,16.043,18.502,19.651,0.46,9.654,12.154,13.606,3,1.063,0,0,4.416,0,0,1,0,2.221,3.567,8.872,3.567,3.965,3.567,4.328,5.278,4.328,-0.052,4.46,0.601,4.174,2,2,12,12,3,3,4,0.961,0.228,1,4,1.916,5.344,7.475,1.0,1.032,2,0.0,0,7.861,15,7.861
5.538,3.531,18.011,3,1,0.3,3.047,3.976,3.237,-0.13,0,10.753,3.237,0.524,14.335,15.601,18.075,19.309,0.45,9.402,11.865,13.155,3,0.952,0,0,3.536,0,0,0,0,2.221,3.567,8.431,3.567,3.952,3.567,4.329,5.311,4.329,-0.082,4.29,0.596,3.761,2,2,11,11,3,3,4,0.93,0.196,1,4,1.915,4.931,7.475,1.0,1.078,2,0.0,0,7.86,14,7.86
8.523,3.531,18.011,3,1,0.306,3.047,3.976,3.566,-0.089,2,11.371,3.566,0.414,14.928,16.309,18.824,20.027,0.457,9.846,12.386,13.82,3,1.06,1,0,4.472,0,1,2,0,2.221,3.649,8.995,3.649,3.969,3.649,4.328,5.279,4.328,-0.057,4.605,0.601,4.248,2,2,12,12,3,3,4,1.007,0.218,2,4,1.9,5.393,7.475,1.0,1.053,2,0.0,0,7.863,16,7.863
7.398,3.531,18.011,3,1,0.31,3.098,3.995,3.237,-0.114,0,10.758,3.237,0.261,14.334,15.602,18.075,19.309,0.47,9.396,11.863,13.157,3,0.978,0,0,4.359,0,0,0,0,2.221,3.567,8.445,3.567,3.937,3.567,4.328,5.262,4.328,-0.096,4.29,0.6,3.497,1,1,6,6,3,3,6,0.902,0.226,1,4,1.81,5.131,7.475,1.0,1.093,2,0.0,0,7.856,11,7.856
8.046,3.531,18.011,3,1,0.305,3.047,3.976,3.566,-0.103,2,11.357,3.566,0.414,14.888,16.267,18.768,19.959,0.457,9.835,12.361,13.792,3,1.06,1,0,4.472,0,1,2,0,2.221,3.616,8.992,3.616,3.969,3.616,4.328,5.278,4.328,-0.068,4.605,0.601,4.263,2,2,12,12,3,3,4,1.004,0.218,2,4,1.9,5.373,7.475,1.0,1.053,2,0.0,0,7.861,16,7.861
6.569,3.531,18.011,3,1,0.3,3.09,3.984,3.567,-0.076,3,11.66,3.567,0.514,15.139,16.574,19.077,20.242,0.453,10.036,12.59,14.098,3,1.129,0,0,4.637,0,0,3,0,2.221,3.677,9.288,3.677,4.013,3.677,4.328,5.279,4.328,-0.018,4.732,0.611,4.635,3,3,18,18,3,3,4,1.023,0.23,1,4,1.978,5.538,7.475,1.0,1.023,2,0.0,0,7.865,20,7.865
6.538,3.534,18.011,3,1,0.291,3.047,3.976,3.343,-0.065,0,10.894,3.343,0.44,14.493,15.759,18.24,19.479,0.454,9.55,12.018,13.304,5,0.88,0,0,3.937,0,0,0,0,2.221,3.583,8.567,3.583,3.987,3.583,4.378,5.36,4.378,-0.039,4.443,0.576,4.29,2,2,11,11,5,3,4,1.166,0.162,1,4,1.884,5.399,7.475,1.0,1.164,2,0.0,0,7.972,16,7.972
6.237,3.313,34.796,4,1,0.308,2.905,4.152,3.105,-0.042,1,10.823,3.105,0.455,14.395,15.701,18.207,19.452,0.451,9.392,11.889,13.233,3,0.966,0,0,4.0,0,0,0,0,2.591,3.629,8.507,3.629,4.008,3.629,4.287,5.249,4.287,-0.027,4.227,0.582,3.892,2,2,10,10,5,2,2,1.045,0.18,1,2,1.919,5.253,7.474,1.0,1.149,1,0.0,0,7.898,14,7.898
4.039,3.024,0.0,0,0,0.277,1.382,1.115,3.756,0.134,7,12.401,3.756,0.786,16.624,18.128,21.062,22.527,0.434,10.789,13.698,15.232,1,1.25,4,1,2.55,1,3,7,1,0.325,4.466,9.684,4.466,4.051,4.466,4.716,5.716,4.716,0.215,4.879,0.644,5.278,4,5,22,24,1,0,2,0.859,0.248,3,2,2.072,4.948,7.428,0.5,0.866,0,115.891,1,8.707,23,8.707
4.001,3.058,0.0,0,0,0.274,1.382,1.115,3.756,0.207,7,12.406,3.756,0.786,16.627,18.13,21.063,22.528,0.434,10.796,13.702,15.235,1,1.241,4,1,2.55,1,3,7,1,0.325,4.466,9.69,4.466,4.054,4.466,4.717,5.717,4.717,0.274,4.879,0.635,5.278,4,5,22,24,1,0,2,0.911,0.237,3,2,2.072,5.041,7.428,0.5,0.912,0,113.561,1,8.917,23,8.917
4.168,3.026,0.0,0,0,0.277,1.382,1.115,3.756,0.149,7,12.401,3.756,0.786,16.625,18.128,21.062,22.527,0.434,10.789,13.698,15.232,1,1.25,4,1,2.55,1,3,7,1,0.325,4.466,9.684,4.466,4.052,4.466,4.716,5.716,4.716,0.204,4.879,0.644,5.288,4,5,22,24,1,0,2,0.861,0.247,3,2,2.072,4.988,7.428,0.5,0.866,0,114.628,1,8.716,23,8.716
4.079,2.971,0.0,0,0,0.278,1.382,1.115,3.729,0.231,6,12.241,3.729,0.786,16.373,17.863,20.743,22.177,0.438,10.618,13.489,15.02,0,1.223,3,1,2.646,1,2,6,1,0.325,4.357,9.574,4.357,4.05,4.357,4.646,5.646,4.646,0.293,4.771,0.635,5.226,4,5,22,24,1,0,2,0.877,0.24,2,2,2.094,4.951,7.428,0.5,0.912,0,117.484,1,8.596,22,8.596
4.201,3.101,0.0,0,0,0.279,1.382,1.115,3.95,0.182,8,12.39,3.95,0.786,16.531,18.009,20.878,22.308,0.433,10.796,13.659,15.172,0,1.268,5,1,2.55,1,4,8,1,0.325,4.358,9.705,4.358,4.05,4.358,4.647,5.647,4.647,0.23,4.934,0.644,5.283,4,5,22,24,0,0,2,0.845,0.246,4,2,2.072,4.915,7.428,0.5,0.866,0,116.172,1,8.631,23,8.631
4.198,3.101,0.0,0,0,0.281,1.382,1.115,3.95,0.132,8,12.395,3.95,0.759,16.532,18.01,20.878,22.308,0.432,10.804,13.663,15.174,1,1.25,5,1,2.646,1,4,8,1,0.325,4.358,9.714,4.358,4.051,4.358,4.647,5.647,4.647,0.171,4.977,0.646,5.342,4,5,22,24,1,0,2,0.862,0.247,4,2,2.049,4.966,7.428,0.5,0.846,0,121.351,1,8.649,24,8.649
4.191,3.101,0.0,0,0,0.278,1.382,1.115,3.95,0.121,8,12.396,3.95,0.733,16.532,18.01,20.878,22.308,0.435,10.805,13.663,15.174,0,1.225,5,1,2.828,1,4,8,1,0.325,4.358,9.718,4.358,4.053,4.358,4.647,5.647,4.647,0.164,4.977,0.638,5.361,4,5,22,24,1,0,2,0.895,0.24,4,2,2.048,4.988,7.428,1.0,0.874,0,129.293,1,8.636,24,8.636
4.089,3.101,0.0,0,0,0.279,1.698,1.422,3.95,0.164,8,12.39,3.95,0.786,16.531,18.009,20.878,22.308,0.433,10.796,13.659,15.172,0,1.286,5,1,2.55,1,4,8,1,0.325,4.358,9.705,4.358,4.048,4.358,4.647,5.647,4.647,0.196,4.934,0.655,5.283,4,5,22,24,0,0,2,0.799,0.264,4,2,2.072,4.856,7.428,0.5,0.851,0,116.172,1,8.631,23,8.631
