pXC50,MW,nBO,SCBO,AMW,C.,H.,Me,Mi,Mp,Mv,N.,nAB,nAT,nB,nBM,nBR,nBT,nC,nCL,nCsp,nCsp2,nCsp3
5.1,371.47,31,42.0,7.581,46.9,42.9,0.998,1.115,0.689,0.658,6.1,18,49,0,20,0,52,23,0,0,20,3
5.1,371.47,31,42.0,7.581,46.9,42.9,0.998,1.115,0.689,0.658,6.1,18,49,0,20,0,52,23,0,0,20,3
5.1,357.44,30,41.0,7.77,47.8,41.3,1.001,1.114,0.696,0.668,6.5,18,46,0,20,0,49,22,0,0,20,2
5.0,498.71,40,52.5,7.556,42.4,45.5,0.994,1.123,0.686,0.642,9.1,23,66,0,24,0,70,28,0,0,21,7
7.432,481.65,40,53.0,7.189,43.3,46.3,0.995,1.124,0.669,0.633,7.5,22,67,0,24,0,71,29,0,0,22,7
5.0,634.74,51,63.5,7.741,41.5,43.9,1.017,1.134,0.653,0.635,4.9,17,82,0,21,0,87,34,0,0,21,13
5.0,543.67,42,53.5,8.237,40.9,42.4,1.019,1.14,0.671,0.647,7.6,21,66,0,22,0,70,27,0,0,18,9
5.77,460.64,37,47.5,6.979,39.4,48.5,0.996,1.133,0.649,0.612,9.1,11,66,0,15,0,69,26,0,1,13,12
5.0,480.59,37,49.0,8.286,41.4,41.4,1.016,1.123,0.682,0.657,6.9,22,58,0,23,0,61,24,0,0,19,5
7.26,332.44,28,38.0,7.388,44.4,44.4,0.996,1.123,0.679,0.645,8.9,16,45,0,18,0,48,20,0,0,16,4
5.553,394.4,29,40.5,10.113,38.5,30.8,1.057,1.151,0.691,0.701,15.4,17,39,0,20,0,41,15,0,0,15,0
5.0,419.67,30,42.5,11.342,54.1,27.0,1.036,1.105,0.799,0.778,5.4,23,37,0,24,0,40,20,3,0,20,0
5.1,270.37,22,28.0,7.115,39.5,47.4,0.998,1.134,0.653,0.618,10.5,6,38,0,9,0,40,15,0,0,9,6
5.1,375.49,30,42.0,8.534,45.5,38.6,1.005,1.116,0.72,0.686,11.4,22,44,0,23,0,47,20,0,0,19,1
5.6,307.39,25,34.5,7.685,42.5,42.5,1.003,1.13,0.676,0.65,12.5,17,40,0,18,0,42,17,0,0,15,2
5.1,411.34,32,42.5,10.283,45.0,27.5,1.072,1.176,0.681,0.714,12.5,21,40,0,21,0,43,18,0,0,15,3
5.1,346.34,27,36.5,9.114,44.7,34.2,1.041,1.15,0.68,0.687,10.5,17,38,0,18,0,40,17,0,0,15,2
5.1,278.32,20,28.5,9.597,37.9,34.5,1.038,1.131,0.701,0.69,13.8,11,29,0,14,0,30,11,0,0,10,1
5.7,415.56,34,46.0,8.148,45.1,41.2,1.0,1.117,0.71,0.671,9.8,22,51,0,23,0,55,23,0,0,19,4
6.4,426.44,34,46.0,8.884,43.8,35.4,1.035,1.148,0.68,0.681,12.5,22,48,0,23,0,51,21,0,0,19,2
5.1,288.32,22,31.0,9.942,48.3,31.0,1.034,1.115,0.743,0.729,6.9,16,29,0,17,0,31,14,0,0,14,0
5.1,343.44,26,36.5,8.377,41.5,41.5,1.013,1.121,0.692,0.661,7.3,17,41,0,19,0,43,17,0,0,14,3
5.1,362.47,30,40.0,7.397,42.9,44.9,1.0,1.125,0.669,0.638,8.2,16,49,0,18,0,52,21,0,0,16,5
5.1,379.28,26,36.0,10.536,47.2,33.3,1.025,1.103,0.774,0.735,5.6,16,36,0,18,0,38,17,2,0,16,1
5.1,418.55,34,44.0,7.343,40.4,45.6,1.002,1.133,0.659,0.629,10.5,18,57,0,19,0,60,23,0,0,16,7
5.1,405.54,33,45.5,8.276,44.9,40.8,1.003,1.124,0.708,0.671,10.2,25,49,0,25,0,53,22,0,0,18,4
5.1,418.52,33,46.0,8.719,43.8,37.5,1.013,1.121,0.712,0.686,12.5,22,48,0,24,0,51,21,0,0,20,1
5.1,444.52,36,50.5,9.072,49.0,34.7,1.017,1.114,0.732,0.71,8.2,27,49,0,28,0,53,24,0,0,24,0
5.1,408.45,34,45.0,8.509,43.8,37.5,1.024,1.141,0.681,0.673,12.5,22,48,0,22,0,52,21,0,0,16,5
5.1,375.48,31,42.5,7.663,40.8,42.9,1.005,1.135,0.67,0.644,14.3,21,49,0,22,0,52,20,0,0,16,4
5.9,348.21,25,34.5,10.241,44.1,32.4,1.03,1.125,0.742,0.723,14.7,17,34,0,18,0,36,15,2,0,15,0
5.3,442.48,35,46.0,8.349,43.4,39.6,1.027,1.143,0.667,0.659,7.5,22,53,0,22,0,56,23,0,0,18,5
5.1,376.5,31,41.0,7.24,42.3,46.2,0.998,1.126,0.664,0.63,7.7,16,52,0,18,0,55,22,0,0,16,6
5.4,427.57,34,48.0,8.222,46.2,40.4,1.0,1.114,0.716,0.677,9.6,22,52,0,24,0,55,24,0,2,20,2
5.1,293.35,24,33.0,7.928,45.9,40.5,1.007,1.119,0.689,0.666,8.1,12,37,0,15,0,39,17,0,0,15,2
5.1,267.36,22,29.0,7.226,43.2,45.9,0.995,1.125,0.67,0.634,8.1,12,37,0,13,0,39,16,0,0,12,4
5.1,477.59,37,51.0,8.379,42.1,40.4,1.015,1.123,0.69,0.665,8.8,18,57,0,23,0,60,24,0,0,21,3
5.1,256.34,21,28.5,7.324,40.0,45.7,1.001,1.134,0.658,0.627,11.4,15,35,0,15,0,37,14,0,0,10,4
5.1,442.56,37,49.0,7.501,44.1,44.1,1.002,1.122,0.674,0.644,6.8,22,59,0,23,0,63,26,0,0,20,6
5.7,444.52,36,50.5,9.072,49.0,34.7,1.017,1.114,0.732,0.71,8.2,27,49,0,28,0,53,24,0,0,24,0
6.0,308.43,26,34.0,7.173,39.5,46.5,0.995,1.137,0.66,0.624,14.0,16,43,0,16,0,46,17,0,0,11,6
5.1,325.42,27,34.5,7.396,43.2,45.5,1.002,1.131,0.665,0.634,6.8,11,44,0,13,0,47,19,0,0,12,7
7.0,411.94,30,41.0,8.955,45.7,39.1,1.009,1.111,0.729,0.69,6.5,18,46,0,20,0,48,21,1,0,20,1
5.1,323.41,27,36.0,8.984,44.4,36.1,1.012,1.119,0.727,0.698,13.9,16,36,0,17,0,40,16,0,0,12,4
5.4,350.3,27,36.5,10.009,45.7,28.6,1.063,1.161,0.687,0.713,11.4,17,35,0,18,0,37,16,0,0,15,1
5.1,367.88,28,39.5,9.433,48.7,35.9,1.009,1.104,0.758,0.717,7.7,21,39,0,22,0,42,19,1,0,18,1
5.1,454.6,37,51.5,8.265,45.5,40.0,1.002,1.117,0.713,0.677,10.9,27,55,0,28,0,59,25,0,0,23,2
5.1,398.5,34,46.0,7.663,46.2,42.3,1.0,1.118,0.688,0.659,7.7,22,52,0,23,0,56,24,0,0,20,4
5.3,361.46,29,41.0,8.816,46.3,36.6,1.008,1.115,0.73,0.699,12.2,22,41,0,23,0,44,19,0,0,19,0
5.1,497.67,40,56.0,7.9,44.4,42.9,0.999,1.117,0.698,0.659,7.9,28,63,0,30,0,67,28,0,0,24,4
5.1,522.73,42,50.0,6.878,35.5,50.0,1.001,1.143,0.629,0.595,10.5,12,76,0,14,0,80,27,0,0,12,15
5.1,254.32,21,29.5,7.707,42.4,42.4,1.005,1.13,0.675,0.65,12.1,15,33,0,16,0,35,14,0,0,11,3
5.1,529.65,42,57.5,8.543,43.5,38.7,1.015,1.127,0.7,0.676,11.3,27,62,0,29,0,66,27,0,0,24,3
5.1,451.61,37,45.0,7.168,38.1,47.6,1.002,1.143,0.644,0.612,11.1,12,63,0,14,0,67,24,0,0,13,11
5.1,268.35,22,30.0,7.454,41.7,44.4,1.001,1.13,0.668,0.638,11.1,16,36,0,16,0,38,15,0,0,12,3
5.1,408.53,33,43.5,7.428,40.0,45.5,1.005,1.14,0.655,0.627,10.9,21,55,0,21,0,58,22,0,0,15,7
5.1,269.31,22,31.0,10.358,46.2,26.9,1.031,1.117,0.765,0.751,19.2,16,26,0,17,0,29,12,0,0,12,0
5.2,521.74,42,50.0,6.776,36.4,50.6,0.998,1.14,0.631,0.594,9.1,12,77,0,14,0,81,28,0,0,12,16
5.7,415.56,34,46.0,8.148,45.1,41.2,1.0,1.117,0.71,0.671,9.8,22,51,0,23,0,55,23,0,0,19,4
5.1,380.53,29,41.0,9.06,45.2,38.1,1.004,1.108,0.746,0.698,9.5,20,42,0,22,0,45,19,0,0,17,2
5.1,535.71,45,59.5,7.338,42.5,45.2,0.998,1.127,0.669,0.636,9.6,27,73,0,28,0,78,31,0,0,22,9
5.1,467.67,40,51.0,6.877,42.6,48.5,0.988,1.125,0.664,0.621,7.4,22,68,0,22,0,73,29,0,0,18,11
5.1,268.37,21,29.5,8.657,45.2,38.7,1.001,1.115,0.733,0.69,12.9,17,31,0,17,0,33,14,0,0,13,1
5.1,359.41,30,41.5,8.168,47.7,38.6,1.011,1.114,0.698,0.679,6.8,23,44,0,23,0,47,21,0,0,21,0
5.1,346.46,28,38.0,7.218,45.8,45.8,0.994,1.116,0.678,0.64,4.2,18,48,0,19,0,50,22,0,0,18,4
5.1,379.4,32,44.5,8.823,46.5,34.9,1.027,1.137,0.696,0.692,11.6,25,43,0,25,0,47,20,0,0,17,3
5.2,410.41,33,45.0,8.922,45.7,34.8,1.035,1.135,0.687,0.689,8.7,22,46,0,23,0,49,21,0,0,20,1
5.8,457.63,37,49.0,7.04,41.5,47.7,0.995,1.128,0.659,0.621,7.7,16,65,0,19,0,68,27,0,1,15,11
5.1,364.42,30,41.0,8.282,43.2,38.6,1.017,1.137,0.682,0.668,13.6,22,44,0,22,0,47,19,0,0,16,3
5.1,344.4,30,41.0,8.2,47.6,38.1,1.009,1.117,0.702,0.683,9.5,16,42,0,19,0,46,20,0,0,17,3
5.1,497.58,38,52.0,8.579,39.7,39.7,1.026,1.128,0.677,0.661,8.6,16,58,0,22,0,61,23,0,0,18,5
5.1,379.51,30,39.0,7.161,39.6,47.2,1.0,1.133,0.652,0.619,9.4,12,53,0,15,0,55,21,0,0,14,7
6.3,320.46,24,33.0,11.445,39.3,28.6,1.026,1.113,0.812,0.758,21.4,18,28,0,18,0,32,11,0,0,8,3
5.1,374.49,31,42.5,7.49,42.0,44.0,1.0,1.13,0.672,0.641,12.0,21,50,0,22,0,53,21,0,0,16,5
5.5,334.83,27,38.0,8.585,48.7,38.5,1.001,1.114,0.729,0.694,10.3,22,39,0,22,0,42,19,1,0,18,1
5.1,334.41,28,38.0,7.777,44.2,41.9,1.006,1.124,0.681,0.656,9.3,16,43,0,17,0,46,19,0,1,13,5
5.1,426.92,33,44.0,8.538,42.0,40.0,1.017,1.136,0.688,0.665,12.0,22,50,0,22,0,53,21,1,0,16,5
5.1,350.42,28,38.0,7.787,46.7,42.2,1.007,1.122,0.682,0.658,4.4,18,45,0,19,0,47,21,0,0,18,3
5.1,283.37,24,31.5,7.457,39.5,44.7,1.004,1.137,0.659,0.631,13.2,15,38,0,15,0,41,15,0,0,9,6
5.1,303.41,24,30.0,7.056,34.9,48.8,1.005,1.145,0.629,0.599,11.6,10,43,0,11,0,45,15,0,0,7,8
5.1,346.46,26,36.0,8.249,35.7,42.9,1.015,1.139,0.67,0.641,14.3,16,42,0,18,0,44,15,0,0,12,3
5.8,410.43,33,45.0,8.733,46.8,36.2,1.029,1.139,0.689,0.684,8.5,22,47,0,23,0,50,22,0,0,20,2
5.8,290.4,25,35.0,7.26,45.0,45.0,0.99,1.122,0.684,0.644,10.0,20,40,0,20,0,43,18,0,0,14,4
5.6,525.69,42,57.5,8.088,43.1,41.5,1.004,1.123,0.696,0.662,10.8,27,65,0,29,0,69,28,0,0,24,4
5.1,286.74,22,30.5,9.25,45.2,35.5,1.019,1.123,0.722,0.701,12.9,11,31,0,13,0,33,14,1,1,11,2
5.6,432.55,34,47.0,8.481,43.1,39.2,1.01,1.122,0.704,0.675,11.8,22,51,0,24,0,54,22,0,0,20,2
5.1,346.46,28,38.0,7.218,45.8,45.8,0.994,1.116,0.678,0.64,4.2,18,48,0,19,0,50,22,0,0,18,4
5.1,263.32,22,31.5,7.979,48.5,39.4,1.002,1.115,0.705,0.679,9.1,17,33,0,18,0,35,16,0,0,16,0
5.1,226.25,19,27.0,8.38,48.1,37.0,1.015,1.114,0.702,0.688,7.4,16,27,0,16,0,29,13,0,0,13,0
5.1,339.39,28,37.5,8.081,40.5,40.5,1.019,1.134,0.666,0.653,11.9,15,42,0,17,0,45,17,0,0,12,5
5.2,326.4,25,34.0,8.822,45.9,37.8,1.015,1.109,0.719,0.69,5.4,12,37,0,15,0,39,17,0,0,16,1
5.1,345.22,23,32.0,10.154,44.1,38.2,1.011,1.121,0.725,0.69,11.8,16,34,0,17,1,36,15,0,0,14,1
5.1,234.29,17,23.0,7.558,35.5,45.2,1.015,1.145,0.637,0.618,12.9,6,31,0,8,0,31,11,0,1,6,4
5.1,323.41,27,36.0,8.984,44.4,36.1,1.012,1.119,0.727,0.698,13.9,16,36,0,17,0,40,16,0,0,12,4
5.9,397.52,34,47.0,7.5,45.3,43.4,0.996,1.121,0.686,0.652,9.4,26,53,0,26,0,57,24,0,0,20,4
5.1,310.39,25,34.5,7.57,41.5,43.9,1.006,1.13,0.665,0.639,9.8,15,41,0,17,0,43,17,0,0,12,5
5.5,439.47,35,46.0,8.451,46.2,38.5,1.026,1.136,0.68,0.671,5.8,18,52,0,20,0,55,24,0,0,20,4
6.7,590.56,40,52.0,9.086,36.9,43.1,1.016,1.133,0.681,0.646,10.8,18,65,0,21,1,68,24,0,0,17,7
5.1,345.43,28,39.0,7.676,46.7,42.2,1.001,1.116,0.689,0.66,6.7,18,45,0,20,0,47,21,0,0,20,1
5.1,438.48,35,47.0,8.432,42.3,38.5,1.026,1.142,0.671,0.664,11.5,22,52,0,23,0,55,22,0,0,17,5
5.1,378.45,32,42.5,8.052,42.6,40.4,1.014,1.137,0.676,0.658,12.8,21,47,0,21,0,51,20,0,0,15,5
5.1,428.55,36,48.0,7.653,41.1,42.9,1.004,1.134,0.671,0.645,14.3,22,56,0,23,0,60,23,0,0,18,5
5.1,425.58,35,47.0,7.213,44.1,45.8,0.992,1.123,0.676,0.638,8.5,18,59,0,21,0,62,26,0,0,21,5
5.1,387.45,32,44.5,8.244,46.8,38.3,1.011,1.127,0.697,0.679,10.6,23,47,0,24,0,50,22,0,0,21,1
5.1,282.38,20,26.5,8.305,35.3,44.1,1.018,1.146,0.666,0.633,11.8,11,34,0,12,0,35,12,0,0,8,4
5.1,402.82,31,42.0,9.825,43.9,31.7,1.042,1.144,0.708,0.709,14.6,22,41,0,22,0,44,18,1,0,17,1
5.1,417.43,33,42.5,8.696,41.7,37.5,1.037,1.151,0.663,0.665,10.4,17,48,0,18,0,51,20,0,0,15,5
5.1,462.59,39,54.0,7.583,47.5,42.6,0.996,1.114,0.694,0.661,6.6,28,61,0,29,0,65,29,0,0,26,3
5.1,327.41,28,40.0,7.795,50.0,40.5,0.996,1.11,0.71,0.678,7.1,22,42,0,23,0,45,21,0,0,20,1
5.1,259.31,21,28.5,9.604,44.4,33.3,1.025,1.114,0.735,0.713,11.1,15,27,0,15,0,30,12,0,0,10,2
5.1,366.46,32,45.5,7.967,47.8,39.1,0.998,1.119,0.709,0.68,13.0,27,46,0,27,0,50,22,0,0,21,1
5.1,296.45,24,30.0,6.445,41.3,52.2,0.984,1.126,0.649,0.599,4.3,12,46,0,12,0,48,19,0,0,11,8
5.1,386.52,29,40.0,7.888,38.8,44.9,1.009,1.128,0.671,0.636,8.2,16,49,0,19,0,51,19,0,0,14,5
5.1,255.35,20,27.0,7.093,41.7,47.2,0.995,1.128,0.661,0.624,8.3,12,36,0,13,0,37,15,0,0,12,3
5.1,366.52,29,38.0,6.915,37.7,49.1,0.996,1.139,0.643,0.606,11.3,16,53,0,17,0,55,20,0,0,13,7
5.3,271.72,21,30.0,9.37,48.3,34.5,1.017,1.114,0.737,0.714,10.3,16,29,0,17,0,31,14,1,0,14,0
5.1,212.27,17,24.0,7.581,46.4,42.9,0.998,1.117,0.688,0.657,7.1,12,28,0,13,0,29,13,0,0,12,1
5.4,418.52,33,46.0,8.719,43.8,37.5,1.013,1.121,0.712,0.686,12.5,22,48,0,24,0,51,21,0,0,20,1
5.1,591.79,50,65.0,7.306,40.7,45.7,0.999,1.132,0.662,0.63,11.1,26,81,0,28,0,87,33,0,0,21,12
5.1,358.47,30,40.5,7.316,46.9,44.9,0.994,1.114,0.684,0.648,4.1,17,49,0,19,0,52,23,0,0,18,5
5.1,283.25,23,32.0,9.442,50.0,30.0,1.042,1.107,0.711,0.723,3.3,12,30,0,15,0,32,15,0,0,15,0
5.1,410.42,34,46.5,8.922,43.5,34.8,1.035,1.143,0.682,0.684,13.0,25,46,0,25,0,50,20,0,0,16,4
5.1,310.4,24,33.0,8.622,47.2,38.9,1.007,1.106,0.726,0.689,5.6,12,36,0,15,0,38,17,0,0,16,1
5.1,267.35,18,24.0,10.283,42.3,34.6,1.03,1.101,0.758,0.717,3.8,6,26,0,9,0,27,11,0,0,10,1
5.1,303.18,19,26.0,11.661,42.3,30.8,1.043,1.111,0.782,0.747,7.7,10,26,0,12,0,27,11,2,0,10,1
5.2,390.51,31,43.0,8.489,43.5,39.1,1.007,1.122,0.711,0.678,13.0,22,46,0,23,0,49,20,0,0,19,1
5.7,481.67,39,53.0,7.769,45.2,43.5,0.994,1.116,0.702,0.658,8.1,22,62,0,24,0,66,28,0,2,20,6
5.1,497.03,40,55.0,8.148,47.5,41.0,1.002,1.113,0.708,0.674,6.6,28,61,0,29,0,65,29,1,0,26,3
5.8,400.31,30,39.5,10.534,44.7,26.3,1.082,1.177,0.676,0.717,10.5,17,38,0,18,0,40,17,0,0,15,2
6.0,449.55,35,51.0,9.773,45.7,32.6,1.023,1.109,0.75,0.723,10.9,26,46,0,29,0,50,21,0,0,21,0
5.1,271.72,21,30.0,9.37,48.3,34.5,1.017,1.114,0.737,0.714,10.3,16,29,0,17,0,31,14,1,0,14,0
5.1,270.38,21,29.0,8.193,45.5,42.4,0.997,1.11,0.718,0.67,6.1,16,33,0,16,0,35,15,0,0,13,2
5.2,372.49,28,39.0,8.098,39.1,43.5,1.012,1.127,0.677,0.644,8.7,16,46,0,19,0,48,18,0,0,14,4
5.7,436.34,31,43.0,9.486,45.7,39.1,1.005,1.118,0.721,0.686,10.9,22,46,0,23,1,49,21,0,0,20,1
5.1,484.63,39,53.5,8.214,44.1,40.7,1.005,1.12,0.702,0.669,10.2,27,59,0,28,0,63,26,0,0,23,3
5.1,318.4,26,36.0,7.581,47.6,42.9,0.998,1.113,0.691,0.659,4.8,18,42,0,19,0,44,20,0,0,18,2
5.1,272.32,21,30.0,9.726,50.0,32.1,1.023,1.112,0.753,0.73,7.1,16,28,0,17,0,30,14,0,0,14,0
5.1,340.48,27,34.0,6.949,36.7,49.0,0.998,1.142,0.64,0.604,12.2,12,49,0,13,0,51,18,0,0,11,7
5.1,349.36,29,41.0,8.958,51.3,33.3,1.025,1.125,0.716,0.71,7.7,22,39,0,23,0,42,20,0,0,20,0
5.1,347.41,29,40.5,8.079,44.2,39.5,1.011,1.126,0.686,0.667,11.6,21,43,0,22,0,46,19,0,0,17,2
5.1,330.59,19,26.0,15.027,50.0,22.7,1.047,1.085,0.866,0.821,4.5,10,22,0,12,1,24,11,1,0,10,1
5.2,356.59,24,32.0,11.886,50.0,26.7,1.049,1.101,0.792,0.776,3.3,12,30,0,14,0,32,15,3,0,15,0
5.3,392.92,31,42.0,8.019,44.9,42.9,1.0,1.12,0.698,0.661,8.2,22,49,0,22,0,52,22,1,0,18,4
5.1,370.49,31,43.0,7.41,46.0,44.0,0.994,1.119,0.687,0.651,8.0,22,50,0,23,0,53,23,0,0,20,3
5.1,332.43,27,37.0,7.387,46.7,44.4,0.996,1.114,0.684,0.649,4.4,18,45,0,19,0,47,21,0,0,18,3
5.1,416.25,26,36.5,11.562,44.4,36.1,1.006,1.121,0.771,0.71,16.7,21,36,0,21,0,39,16,0,0,15,1
6.4,395.49,30,41.0,8.598,45.7,39.1,1.013,1.119,0.709,0.68,6.5,18,46,0,20,0,48,21,0,0,20,1
5.4,348.37,27,34.5,8.295,38.1,40.5,1.034,1.145,0.645,0.643,9.5,11,42,0,13,0,44,16,0,0,10,6
5.8,317.76,23,32.0,9.346,41.2,35.3,1.03,1.133,0.701,0.69,14.7,12,34,0,14,0,35,14,1,1,11,2
5.1,386.46,29,41.0,10.735,38.9,27.8,1.042,1.129,0.75,0.736,22.2,20,36,0,22,0,39,14,0,0,14,0
5.1,365.52,30,38.5,6.769,40.7,50.0,0.992,1.128,0.649,0.608,5.6,15,54,0,16,0,57,22,0,0,12,10
5.1,414.5,35,47.0,7.821,45.3,41.5,1.006,1.12,0.684,0.66,7.5,22,53,0,23,0,57,24,0,0,20,4
5.1,460.53,37,49.0,7.94,43.1,41.4,1.015,1.124,0.671,0.654,6.9,18,58,0,21,0,61,25,0,0,21,4
