pXC50,nS,nCsp2,nAB,Sp,nBT,Sv,Si,nH,nBO,nHet,nBM,nC,nHM,Se,nDB,MW,nCsp3,SCBO,C.,nSK,RBF,nO,nAT,AMW
4.317,0,13,12,20.483,31,19.612,33.408,13,18,3,13,14,0,30.058,1,227.28,1,25.0,46.7,17,0.097,2,30,7.576
4.987,0,13,12,25.767,40,24.192,43.654,19,21,3,13,17,0,38.709,1,269.37,4,28.0,43.6,20,0.1,2,39,6.907
4.228,0,13,12,22.091,34,22.251,37.12,12,22,7,15,14,0,34.258,3,288.28,1,31.0,42.4,21,0.147,5,33,8.736
4.307,0,13,12,22.245,34,21.139,36.824,15,19,3,13,15,0,32.942,1,241.31,2,26.0,45.5,18,0.088,2,33,7.312
4.156,0,13,12,23.154,36,22.568,39.242,15,21,5,13,15,0,35.596,1,273.31,2,28.0,42.9,20,0.139,4,35,7.809
5.893,0,13,12,20.938,32,20.327,34.618,13,19,4,13,14,0,31.385,1,243.28,1,26.0,45.2,18,0.125,3,31,7.848
6.292,0,13,12,19.875,30,20.009,32.495,10,20,6,15,13,0,30.047,3,258.25,0,29.0,44.8,19,0.133,4,29,8.905
5.81,0,14,12,21.938,33,21.327,35.618,13,20,4,14,15,0,32.385,2,255.29,1,28.0,46.9,19,0.121,3,32,7.978
6.398,0,14,12,21.938,33,21.327,35.618,13,20,4,14,15,0,32.385,2,255.29,1,28.0,46.9,19,0.121,3,32,7.978
6.387,0,13,12,19.58,28,18.913,29.937,10,18,4,13,13,1,27.498,1,247.69,0,25.0,48.1,17,0.107,2,27,9.174
5.836,0,13,12,20.483,31,19.612,33.408,13,18,3,13,14,0,30.058,1,227.28,1,25.0,46.7,17,0.097,2,30,7.576
5.971,0,13,12,25.767,40,24.192,43.654,19,21,3,13,17,0,38.709,1,269.37,4,28.0,43.6,20,0.1,2,39,6.907
5.487,0,14,12,20.631,31,20.515,33.412,11,20,5,14,14,0,30.829,2,257.26,0,28.0,46.7,19,0.129,4,30,8.575
6.036,0,13,12,22.091,34,22.251,37.12,12,22,7,15,14,0,34.258,3,288.28,1,31.0,42.4,21,0.147,5,33,8.736
5.469,0,13,12,23.154,36,22.568,39.242,15,21,5,13,15,0,35.596,1,273.31,2,28.0,42.9,20,0.139,4,35,7.809
5.627,0,13,12,22.245,34,21.139,36.824,15,19,3,13,15,0,32.942,1,241.31,2,26.0,45.5,18,0.088,2,33,7.312
6.658,0,13,12,22.512,35,23.003,39.052,12,23,7,13,15,0,35.807,1,311.28,2,30.0,44.1,22,0.114,3,34,9.155
5.827,0,13,12,20.938,32,20.327,34.618,13,19,4,13,14,0,31.385,1,243.28,1,26.0,45.2,18,0.125,3,31,7.848
5.62,0,13,12,23.154,36,22.568,39.242,15,21,5,13,15,0,35.596,1,273.31,2,28.0,42.9,20,0.139,4,35,7.809
6.721,0,13,12,22.091,34,22.251,37.12,12,22,7,15,14,0,34.258,3,288.28,1,31.0,42.4,21,0.147,5,33,8.736
6.553,0,13,12,21.796,32,21.154,34.562,12,20,5,13,14,1,31.709,1,277.72,1,27.0,45.2,19,0.125,3,31,8.959
5.833,0,13,12,23.154,36,22.568,39.242,15,21,5,13,15,0,35.596,1,273.31,2,28.0,42.9,20,0.139,4,35,7.809
6.06,0,13,12,22.699,35,21.853,38.033,15,20,4,13,15,0,34.269,1,257.31,2,27.0,44.1,19,0.114,3,34,7.568
5.077,0,14,12,22.847,35,22.756,38.037,13,22,6,14,15,0,35.04,2,287.29,1,30.0,44.1,21,0.143,5,34,8.45
6.721,0,13,12,22.091,34,22.251,37.12,12,22,7,15,14,0,34.258,3,288.28,1,31.0,42.4,21,0.147,5,33,8.736
6.569,0,14,12,24.154,37,23.568,40.242,15,22,5,14,16,0,36.596,2,285.32,2,30.0,44.4,21,0.135,4,36,7.926
6.538,0,13,12,21.796,32,21.154,34.562,12,20,5,13,14,1,31.709,1,277.72,1,27.0,45.2,19,0.125,3,31,8.959
6.268,0,13,12,22.29,32,21.352,34.459,12,20,5,13,14,1,31.614,1,322.17,1,27.0,45.2,19,0.125,3,31,10.393
6.041,0,13,12,23.154,36,22.568,39.242,15,21,5,13,15,0,35.596,1,273.31,2,28.0,42.9,20,0.139,4,35,7.809
5.955,0,13,12,22.699,35,21.853,38.033,15,20,4,13,15,0,34.269,1,257.31,2,27.0,44.1,19,0.114,3,34,7.568
4.807,0,14,12,22.619,32,23.133,34.886,8,24,9,16,14,1,33.116,4,383.14,0,34.0,45.2,23,0.125,5,31,12.359
4.318,0,14,12,20.631,31,20.515,33.412,11,20,5,14,14,0,30.829,2,257.26,0,28.0,46.7,19,0.097,4,30,8.575
4.299,0,14,12,21.489,31,21.342,33.356,10,21,6,14,14,1,31.153,2,291.7,0,29.0,46.7,20,0.097,4,30,9.723
4.523,0,14,12,25.063,39,24.998,42.661,15,24,7,14,16,0,39.251,2,317.32,2,32.0,42.1,23,0.128,6,38,8.351
4.381,0,14,12,21.784,33,22.439,35.914,10,23,8,16,14,0,33.702,4,302.26,0,33.0,43.8,22,0.121,6,32,9.446
4.201,0,14,12,21.983,31,21.54,33.254,10,21,6,14,14,1,31.058,2,336.15,0,29.0,46.7,20,0.097,4,30,11.205
4.767,0,14,12,25.506,37,24.593,40.084,14,23,6,14,16,1,36.825,2,364.21,2,31.0,44.4,22,0.135,4,36,10.117
5.31,0,14,12,29.029,43,27.647,46.914,18,25,6,14,18,1,42.593,2,392.27,4,33.0,42.9,24,0.163,4,42,9.34
5.187,0,14,12,28.83,45,28.546,49.575,18,27,8,16,18,0,45.236,4,358.38,4,37.0,40.9,26,0.178,6,44,8.145
4.523,1,13,12,26.563,40,25.282,43.578,17,23,6,15,16,1,39.556,3,319.41,3,32.0,41.0,22,0.15,4,39,8.19
4.523,1,13,12,30.182,45,28.636,47.937,18,27,7,15,18,2,43.764,3,379.89,5,36.0,41.9,25,0.089,4,43,8.835
4.523,1,13,12,30.182,45,28.636,47.937,18,27,7,15,18,2,43.764,3,379.89,5,36.0,41.9,25,0.089,4,43,8.835
4.523,1,15,16,31.324,48,29.809,49.993,19,29,6,19,20,1,45.44,3,369.47,5,40.0,44.4,26,0.063,4,45,8.21
4.523,1,19,18,36.847,56,34.862,58.823,23,33,6,21,24,1,53.207,3,421.55,5,45.0,45.3,30,0.089,4,53,7.954
4.523,1,14,12,28.261,43,27.492,45.87,16,27,8,16,17,1,42.102,4,360.42,3,37.0,41.5,25,0.093,5,41,8.791
4.523,1,13,17,27.392,42,26.358,43.906,15,27,8,19,16,1,39.658,2,341.43,3,37.5,41.0,24,0.071,2,39,8.755
4.523,1,13,12,26.352,40,25.062,42.451,16,24,6,15,16,1,38.447,3,316.41,3,33.0,42.1,22,0.075,3,38,8.327
4.523,1,13,12,33.091,52,31.357,54.906,22,30,7,15,20,1,49.425,3,386.51,7,39.0,40.8,27,0.058,4,49,7.888
4.523,2,13,12,34.284,52,31.829,54.617,22,30,7,15,20,2,49.174,3,402.58,7,39.0,40.8,27,0.058,3,49,8.216
4.523,1,13,12,34.404,54,32.191,58.61,25,29,7,15,20,1,52.083,3,387.55,7,38.0,38.5,27,0.111,3,52,7.453
4.523,1,13,12,28.114,43,26.589,45.866,18,25,6,15,17,1,41.331,3,330.44,4,34.0,41.5,23,0.07,3,41,8.06
4.523,1,13,12,29.875,46,28.116,49.282,20,26,6,15,18,1,44.214,3,344.47,5,35.0,40.9,24,0.065,3,44,7.829
4.523,1,13,12,34.091,54,32.357,55.906,22,32,7,15,21,1,50.425,3,398.52,8,41.0,42.0,28,0.056,4,50,7.97
4.523,1,18,18,36.642,56,34.664,59.195,23,33,7,21,23,1,53.2,3,421.56,5,45.0,43.4,30,0.107,3,53,7.954
4.523,1,13,12,30.875,48,29.116,50.282,20,28,6,15,19,1,45.214,3,356.48,6,37.0,42.2,25,0.063,3,45,7.922
5.523,1,11,11,26.563,41,25.282,43.578,17,24,6,14,16,1,39.556,3,319.41,5,32.5,41.0,22,0.073,4,39,8.19
4.523,1,11,11,26.563,41,25.282,43.578,17,24,6,14,16,1,39.556,3,319.41,5,32.5,41.0,22,0.073,4,39,8.19
4.523,1,11,11,24.801,38,23.755,40.162,15,23,6,14,15,1,36.673,3,305.38,4,31.5,41.7,21,0.079,4,36,8.483
4.523,1,14,16,22.523,33,22.196,34.415,10,23,7,19,14,1,32.124,3,302.33,0,34.0,45.2,21,0.091,4,31,9.753
4.523,1,14,17,29.301,45,28.787,47.325,15,30,10,20,17,1,43.313,3,385.44,3,41.5,40.5,27,0.089,4,42,9.177
4.523,1,13,12,26.955,41,26.68,43.664,14,27,9,17,16,1,40.545,5,362.39,3,38.0,41.0,25,0.098,6,39,9.292
4.523,1,13,12,25.739,39,25.139,41.502,14,25,7,15,16,1,38.185,3,335.38,3,34.0,43.2,23,0.077,4,37,9.064
4.523,1,13,12,26.659,39,25.583,41.106,14,25,7,15,16,2,37.996,3,351.83,3,34.0,43.2,23,0.077,4,37,9.509
4.523,1,13,12,27.154,39,25.781,41.004,14,25,7,15,16,2,37.902,3,396.28,3,34.0,43.2,23,0.077,4,37,10.71
4.523,1,13,12,28.46,39,26.072,40.883,14,25,7,15,16,2,37.742,3,443.28,3,34.0,43.2,23,0.077,4,37,11.981
4.523,1,13,12,27.046,40,26.25,42.245,14,26,7,16,17,1,38.891,3,342.4,3,37.0,44.7,24,0.075,4,38,9.011
4.523,1,13,12,28.017,43,26.997,45.787,17,26,7,15,17,1,41.884,3,347.42,4,35.0,41.5,24,0.093,5,41,8.474
4.917,1,13,12,26.659,39,25.583,41.106,14,25,7,15,16,2,37.996,3,351.83,3,34.0,43.2,23,0.077,4,37,9.509
4.523,1,13,12,30.233,47,29.239,50.412,19,28,8,15,18,1,46.094,3,377.45,5,37.0,40.0,26,0.106,6,45,8.388
4.523,1,12,12,25.046,38,24.25,40.245,14,24,7,15,15,1,36.891,3,318.38,3,33.0,41.7,22,0.079,4,36,8.844
4.523,1,13,12,24.739,37,24.139,40.502,14,23,7,15,15,1,37.185,3,323.37,2,32.0,41.7,22,0.162,4,36,8.982
4.523,1,13,12,25.659,37,24.583,40.106,14,23,7,15,15,2,36.996,3,339.82,2,32.0,41.7,22,0.162,4,36,9.439
4.523,1,13,12,25.659,37,24.583,40.106,14,23,7,15,15,2,36.996,3,339.82,2,32.0,41.7,22,0.162,4,36,9.439
4.523,1,13,12,27.017,41,25.997,44.787,17,24,7,15,16,1,40.884,3,335.41,3,33.0,40.0,23,0.171,5,40,8.385
4.523,1,13,12,27.017,41,25.997,44.787,17,24,7,15,16,1,40.884,3,335.41,3,33.0,40.0,23,0.171,5,40,8.385
4.523,1,19,18,32.779,49,31.524,52.202,19,30,7,21,21,1,47.767,3,397.48,2,42.0,44.7,28,0.163,5,47,8.457
4.523,1,13,12,26.563,40,25.282,43.578,17,23,6,15,16,1,39.556,3,319.41,3,32.0,41.0,22,0.15,4,39,8.19
4.523,1,13,12,25.801,39,24.755,41.162,15,24,6,15,16,1,37.673,3,317.39,3,33.0,43.2,22,0.077,4,37,8.578
4.523,1,17,17,26.04,38,25.229,39.747,13,25,6,20,17,1,36.789,3,327.38,0,36.5,47.2,23,0.105,4,36,9.094
4.523,1,15,16,24.631,34,23.727,35.174,10,24,7,19,15,2,33.135,3,380.23,0,35.0,46.9,22,0.088,4,32,11.882
4.523,1,13,12,27.563,42,26.282,44.578,17,25,6,15,17,1,40.556,3,331.42,4,34.0,42.5,23,0.071,4,40,8.285
4.523,1,13,12,27.563,42,26.282,44.578,17,25,6,15,17,1,40.556,3,331.42,4,34.0,42.5,23,0.071,4,40,8.285
4.523,1,13,12,26.807,41,25.777,43.661,16,25,7,15,16,1,39.774,3,332.41,3,34.0,41.0,23,0.073,4,39,8.523
4.523,1,13,12,26.955,41,26.68,43.664,14,27,9,17,16,1,40.545,5,362.39,3,38.0,41.0,25,0.098,6,39,9.292
5.031,1,13,12,26.659,39,25.583,41.106,14,25,7,15,16,2,37.996,3,351.83,3,34.0,43.2,23,0.077,4,37,9.509
4.523,1,13,12,27.154,39,25.781,41.004,14,25,7,15,16,2,37.902,3,396.28,3,34.0,43.2,23,0.077,4,37,10.71
4.523,1,13,12,28.46,39,26.072,40.883,14,25,7,15,16,2,37.742,3,443.28,3,34.0,43.2,23,0.077,4,37,11.981
4.523,1,13,12,26.256,40,25.47,42.372,15,25,7,15,16,1,39.0,3,333.39,3,34.0,42.1,23,0.075,5,38,8.773
4.523,1,13,12,28.017,43,26.997,45.787,17,26,7,15,17,1,41.884,3,347.42,4,35.0,41.5,24,0.093,5,41,8.474
4.523,1,13,12,27.563,42,26.282,44.578,17,25,6,15,17,1,40.556,3,331.42,4,34.0,42.5,23,0.071,4,40,8.285
4.523,1,13,12,26.955,41,26.68,43.664,14,27,9,17,16,1,40.545,5,362.39,3,38.0,41.0,25,0.098,6,39,9.292
4.523,1,13,12,27.046,40,26.25,42.245,14,26,7,16,17,1,38.891,3,342.4,3,37.0,44.7,24,0.075,4,38,9.011
4.523,1,13,12,26.659,39,25.583,41.106,14,25,7,15,16,2,37.996,3,351.83,3,34.0,43.2,23,0.077,4,37,9.509
4.523,1,13,12,27.154,39,25.781,41.004,14,25,7,15,16,2,37.902,3,396.28,3,34.0,43.2,23,0.077,4,37,10.71
4.523,1,13,12,28.46,39,26.072,40.883,14,25,7,15,16,2,37.742,3,443.28,3,34.0,43.2,23,0.077,4,37,11.981
4.523,1,13,12,26.256,40,25.47,42.372,15,25,7,15,16,1,39.0,3,333.39,3,34.0,42.1,23,0.075,5,38,8.773
4.523,1,13,12,28.017,43,26.997,45.787,17,26,7,15,17,1,41.884,3,347.42,4,35.0,41.5,24,0.093,5,41,8.474
4.523,1,13,12,27.563,42,26.282,44.578,17,25,6,15,17,1,40.556,3,331.42,4,34.0,42.5,23,0.071,4,40,8.285
