pXC50,nPyrroles,SaaNH,Chi0_EA.dm.,SpMax2_Bh.i.,Chi1_EA.dm.,SpMin4_Bh.v.,P_VSA_LogP_6,NaaNH,SpMin4_Bh.p.,SpMax2_Bh.e.,SpMax1_Bh.e.,CATS2D_06_DL,Hy,D.Dtr09,H.050,nHDon,GMTI,N.073,SpMin3_Bh.v.,IC5,Eta_beta,C.025,SpMax1_Bh.p.,P_VSA_e_3,SaaaC,SpMax6_Bh.m.,Eig07_AEA.bo.,ATSC5p,SpMin3_Bh.p.,Eig07_EA.bo.,CATS2D_02_DL,XMOD,SpMax8_Bh.p.,X2sol,SpMin7_Bh.s.,SpMax8_Bh.m.,ATSC5m,Eig09_EA.ed.,SM04_AEA.ri.,SpMin7_Bh.m.,C.034,piPC09,piPC06,piPC07,ATS5i,CATS2D_04_DD,SpMAD_EA.ri.,piPC08,GATS4p,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e
5.2,0,0.0,19.544,3.924,28.736,1.585,14.099,0,1.59,3.894,4.129,1,0.96,114.293,3,3,9979.0,2,1.87,5.182,43.25,2,3.972,102.551,0.67,3.07,2.991,7.975,1.894,2.22,2,89.964,2.851,12.444,0.274,2.901,24.827,3.177,3.177,1.386,0,8.028,6.668,7.165,4.985,1,1.411,7.64,1.174,1.687,10.241,2.323,5.394,105.109,8.307,0.688,3.988,4.1,3.643,3.472,5.231,3.503,4.459,4.61,3.994,3.823,5.702,3.846,4.592
5.1,0,0.0,19.118,3.915,21.577,1.504,29.92,0,1.522,3.897,4.021,0,-0.671,0.0,0,0,9437.0,0,1.848,4.993,38.0,1,3.958,36.45,0.0,3.16,3.232,6.115,1.849,2.474,0,94.793,2.733,12.874,0.105,2.916,12.655,3.648,3.648,1.0,0,7.537,6.353,6.709,4.505,0,1.384,7.156,1.072,2.02,10.857,5.899,34.795,108.721,11.791,0.387,3.774,3.838,3.754,3.491,5.111,3.475,4.233,4.313,4.208,3.877,5.662,3.854,4.482
5.0,1,2.728,9.931,4.013,6.141,1.691,41.691,1,1.702,4.02,4.134,2,0.377,109.256,2,2,7608.0,1,1.906,5.095,36.25,3,4.042,49.976,0.617,3.155,3.073,7.732,1.88,2.306,3,92.697,2.594,13.071,0.19,2.808,17.657,2.556,2.556,1.068,0,7.379,6.447,6.841,4.696,0,1.427,7.227,1.031,2.082,10.0,3.768,14.197,98.861,10.094,0.552,3.85,3.929,3.793,3.455,5.092,3.441,4.377,4.493,4.109,3.831,5.867,3.816,4.639
5.2,0,0.0,29.266,3.912,45.306,1.599,34.147,0,1.625,3.884,4.008,0,-0.252,0.0,1,1,10193.0,0,1.927,4.985,36.0,1,3.863,54.706,0.0,2.964,3.272,6.784,1.936,2.364,2,87.067,2.733,11.297,0.321,2.866,21.053,3.039,3.039,1.228,0,7.188,6.109,6.435,4.811,0,1.399,6.843,0.835,1.817,11.893,2.065,4.265,100.648,8.444,0.387,3.972,4.075,3.634,3.442,5.174,3.477,4.524,4.679,4.021,3.817,5.755,3.846,4.782
5.0,0,0.0,6.656,4.063,4.873,1.593,11.771,0,1.568,4.029,4.118,0,-0.684,94.739,0,0,8952.0,2,1.778,5.163,40.0,2,4.02,86.378,2.776,3.007,3.118,5.982,1.802,2.427,0,84.097,2.633,12.401,0.204,2.736,16.434,3.15,3.15,1.125,0,8.185,6.764,7.269,4.491,0,1.437,7.785,1.032,1.623,10.731,3.403,11.578,103.098,9.217,0.867,3.829,3.94,3.642,3.455,5.026,3.437,4.294,4.44,4.046,3.831,5.445,3.809,4.428
5.2,0,0.0,24.987,4.008,29.433,1.851,2.144,0,1.853,3.984,4.134,1,0.27,143.629,2,2,12885.0,1,1.933,5.07,41.75,1,3.998,42.365,1.153,3.293,3.21,8.317,1.922,2.487,2,96.504,2.795,14.551,0.469,2.878,23.973,3.621,3.621,1.417,1,7.481,6.5,6.939,4.94,0,1.46,7.299,0.621,1.671,11.656,3.609,13.026,115.911,7.866,0.471,4.128,4.235,3.718,3.601,5.357,3.608,4.648,4.805,4.103,3.989,5.954,3.982,4.908
6.31,2,0.0,30.107,4.046,42.947,2.003,32.119,0,1.999,4.019,4.368,7,0.081,439.111,2,2,27782.0,2,2.005,5.827,57.5,7,4.286,24.933,6.983,3.432,3.744,23.585,2.019,3.089,3,133.695,3.132,20.482,0.735,3.228,60.228,7.212,7.212,1.583,4,9.927,7.988,8.698,5.88,0,1.537,9.367,0.977,1.529,10.955,4.94,24.402,162.643,7.928,0.577,4.452,4.549,4.09,4.028,5.543,4.027,5.039,5.174,4.574,4.499,6.116,4.496,5.354
8.1,0,0.0,34.859,3.936,58.25,1.565,4.227,0,1.647,3.919,4.026,4,1.694,0.0,4,4,12596.0,2,1.919,5.042,46.75,1,3.889,108.16,0.0,3.144,3.355,8.507,1.962,2.604,5,100.015,2.868,13.517,0.261,2.976,29.422,3.112,3.112,1.404,0,7.323,6.313,6.628,5.12,2,1.384,6.977,1.185,1.779,11.25,3.059,9.357,115.249,8.47,0.529,4.084,4.19,3.734,3.498,5.398,3.546,4.547,4.689,4.064,3.826,5.937,3.87,4.678
5.0,1,3.313,11.643,4.051,8.663,1.659,7.229,1,1.669,4.008,4.187,5,1.865,156.45,4,4,5166.0,2,1.876,4.785,32.75,2,4.072,101.693,3.268,2.868,3.02,5.797,1.885,2.158,6,69.379,2.618,10.627,0.15,2.499,18.105,2.718,2.718,1.184,2,8.215,6.861,7.364,4.702,0,1.489,7.905,0.904,1.606,8.043,2.744,7.527,89.221,7.907,0.769,3.809,3.94,3.427,3.316,4.998,3.326,4.295,4.466,3.836,3.718,5.44,3.717,4.504
5.5,0,0.0,23.019,3.966,29.077,1.705,7.962,0,1.702,3.932,4.141,8,1.629,166.043,4,4,11869.0,0,1.896,5.319,42.0,5,4.135,102.49,1.862,3.118,3.256,9.665,1.914,2.533,5,91.156,2.811,13.856,0.315,2.921,27.29,4.549,4.549,1.226,1,8.054,6.762,7.214,4.965,0,1.453,7.735,1.228,1.618,11.759,3.933,15.471,117.722,8.365,0.667,3.997,4.111,3.709,3.639,5.142,3.602,4.493,4.639,4.132,4.064,5.633,3.999,4.721
5.1,0,0.0,40.814,3.964,55.107,1.938,6.604,0,1.94,3.933,4.087,0,-0.376,0.0,1,1,33017.0,0,2.011,5.432,48.0,1,3.977,60.955,1.721,3.419,3.477,17.276,2.017,2.522,2,126.469,3.02,17.611,0.825,3.216,52.247,4.53,4.53,1.59,0,7.519,6.493,6.88,5.647,0,1.386,7.216,1.02,1.513,18.659,4.674,21.849,160.828,6.781,0.378,4.504,4.634,3.996,3.959,5.494,3.939,5.097,5.3,4.334,4.349,6.041,4.305,5.358
6.1,0,0.0,26.612,4.002,26.644,1.808,2.757,0,1.819,3.971,4.05,0,-0.705,0.0,0,0,20406.0,1,1.865,5.302,52.0,3,3.957,83.928,0.0,3.336,3.705,13.481,1.881,2.958,0,115.626,2.892,14.641,0.539,3.055,35.066,4.752,4.752,1.425,1,7.471,6.454,6.837,5.335,0,1.406,7.15,1.14,1.79,13.0,4.813,23.163,134.423,8.957,0.415,4.181,4.273,3.887,3.716,5.486,3.746,4.716,4.852,4.321,4.087,6.373,4.111,4.858
6.523,0,0.0,38.907,3.981,60.338,1.881,4.227,0,1.868,3.952,4.095,4,0.809,0.0,3,3,24047.0,2,1.942,5.203,46.5,1,4.071,89.122,0.0,3.491,3.53,13.074,1.937,2.599,8,118.193,2.976,18.598,0.787,3.055,44.316,4.64,4.64,1.511,0,7.231,6.102,6.499,5.392,1,1.412,6.833,1.079,1.604,16.351,5.318,28.281,147.876,7.188,0.45,4.371,4.497,4.019,3.889,5.369,3.842,4.938,5.128,4.328,4.271,6.08,4.207,5.195
5.0,0,3.076,7.851,3.935,5.913,1.705,2.757,1,1.735,3.914,4.114,3,0.212,111.673,2,2,10784.0,1,1.933,5.42,40.75,2,4.04,68.122,1.916,3.169,3.003,8.362,1.928,2.214,3,89.029,2.789,12.52,0.241,2.789,21.084,3.112,3.112,1.196,1,7.784,6.473,6.95,4.712,0,1.417,7.425,1.247,1.585,12.286,4.493,20.186,114.788,8.402,0.71,3.933,4.041,3.653,3.596,5.11,3.55,4.385,4.525,4.009,3.968,5.533,3.895,4.58
5.15,0,0.0,27.261,3.946,35.352,1.678,4.276,0,1.68,3.924,3.988,0,0.946,0.0,3,3,15376.0,0,1.924,5.22,43.5,1,3.891,70.818,0.0,3.356,3.361,7.271,1.931,2.613,4,100.132,2.786,12.882,0.238,2.861,18.246,3.427,3.427,1.196,0,6.755,5.977,6.322,4.809,0,1.379,6.484,1.179,1.965,14.281,4.176,17.437,110.459,9.685,0.529,4.003,4.1,3.755,3.517,5.316,3.555,4.496,4.622,4.2,3.853,6.254,3.888,4.687
5.3,0,0.0,12.138,3.962,17.319,1.591,2.328,0,1.573,3.929,4.114,3,-0.342,94.217,1,1,7092.0,1,1.931,4.803,35.75,3,3.947,69.164,0.731,2.834,2.82,5.746,1.93,1.97,2,73.065,2.735,10.446,0.218,2.687,18.259,2.275,2.275,1.181,0,7.583,6.406,6.84,4.66,0,1.449,7.306,0.971,1.411,10.75,4.302,18.507,98.445,7.693,0.815,3.828,3.956,3.445,3.417,4.958,3.397,4.304,4.471,3.778,3.779,5.374,3.741,4.504
5.2,0,0.0,13.497,3.899,14.329,1.566,3.257,0,1.532,3.878,3.978,1,0.393,0.0,2,2,5193.0,0,1.692,4.879,31.5,0,3.939,83.254,0.0,2.952,2.841,5.906,1.687,1.972,0,73.512,2.596,10.623,0.068,2.637,17.508,2.358,2.358,0.955,1,6.723,5.77,6.08,4.365,0,1.345,6.454,1.447,1.852,9.5,3.44,11.836,89.112,9.51,0.708,3.682,3.781,3.504,3.314,4.882,3.277,4.143,4.278,3.912,3.661,5.35,3.603,4.267
5.2,0,0.0,11.313,3.939,16.489,1.498,2.328,0,1.496,3.911,4.113,3,-0.301,94.217,1,1,7092.0,1,1.922,4.774,36.0,2,3.945,69.164,0.714,2.893,2.82,5.149,1.922,1.97,2,76.24,2.708,10.854,0.218,2.687,15.282,2.275,2.275,1.181,0,7.583,6.406,6.84,4.537,0,1.418,7.306,0.968,1.564,10.75,4.48,20.072,98.209,8.837,0.815,3.771,3.887,3.497,3.387,4.941,3.373,4.235,4.379,3.858,3.753,5.376,3.721,4.452
5.2,0,0.0,12.198,3.921,8.953,1.654,7.413,0,1.718,3.878,4.056,4,1.059,0.0,3,3,9905.0,1,1.716,4.919,42.25,2,3.916,158.407,0.0,2.952,2.929,4.245,1.757,2.105,0,88.097,2.735,11.865,0.218,2.687,13.716,2.611,2.611,1.181,1,7.442,6.353,6.768,4.644,0,1.446,7.135,0.946,1.745,10.607,1.666,2.776,104.153,9.156,0.71,3.886,4.007,3.62,3.366,5.241,3.412,4.287,4.427,3.93,3.702,5.592,3.738,4.444
5.15,0,0.0,32.957,3.959,53.106,1.659,6.014,0,1.655,3.92,3.993,0,0.922,0.0,3,3,16711.0,1,1.898,5.315,41.75,1,3.912,92.627,0.0,3.265,3.232,13.007,1.911,2.478,3,107.355,2.957,15.485,0.605,2.993,45.193,3.876,3.876,1.513,1,7.016,6.035,6.261,5.295,0,1.362,6.662,1.061,1.781,14.515,3.439,11.829,130.334,8.272,0.472,4.186,4.31,3.868,3.71,5.289,3.681,4.723,4.911,4.273,4.092,5.802,4.04,4.941
5.2,0,2.827,9.147,3.942,11.354,1.434,17.104,1,1.473,3.917,4.099,0,0.393,74.713,2,2,3488.0,1,1.598,4.858,28.0,2,3.99,51.337,1.792,2.792,2.603,3.79,1.648,1.65,5,58.128,2.05,7.741,0.0,2.175,10.744,1.116,1.116,0.998,1,6.534,5.927,6.289,4.118,0,1.455,6.592,1.027,1.71,8.053,2.464,6.071,69.544,8.802,0.762,3.511,3.621,3.211,3.099,4.792,3.112,3.955,4.078,3.558,3.456,5.282,3.458,4.17
5.0,0,0.0,24.833,3.936,38.665,1.812,4.227,0,1.814,3.901,4.109,6,0.974,107.706,3,3,7233.0,1,1.913,5.003,32.5,1,3.925,88.277,1.526,3.093,2.908,6.812,1.9,2.069,2,79.084,2.735,10.91,0.469,2.717,30.377,2.389,2.389,1.417,0,7.196,6.273,6.662,5.117,1,1.391,7.062,0.986,1.5,9.462,3.181,10.12,106.143,6.817,0.571,4.034,4.18,3.519,3.496,5.088,3.472,4.572,4.785,3.856,3.869,5.559,3.815,4.81
5.9,1,0.0,10.682,3.988,13.192,1.601,13.915,0,1.621,3.953,4.153,1,-0.338,141.07,1,1,4340.0,1,1.814,4.948,31.5,2,4.071,36.695,2.272,2.724,2.839,5.886,1.82,1.97,2,63.522,2.394,9.406,0.181,2.539,13.753,2.52,2.52,1.053,1,7.63,6.448,6.939,4.444,0,1.5,7.397,1.031,1.489,7.905,2.508,6.292,81.405,8.098,0.667,3.659,3.768,3.318,3.282,4.818,3.273,4.149,4.294,3.699,3.685,5.289,3.664,4.328
5.0,0,0.0,18.997,3.915,21.153,1.729,17.104,0,1.742,3.893,4.134,2,1.055,114.279,3,3,7560.0,2,1.766,5.184,34.0,1,4.012,103.275,0.549,3.238,2.878,7.175,1.788,2.019,3,94.181,2.615,12.426,0.172,2.813,17.834,3.006,3.006,1.129,1,7.528,6.5,6.891,4.713,2,1.364,7.294,0.893,2.039,9.815,3.234,10.461,102.384,10.898,0.552,3.88,3.977,3.747,3.406,5.143,3.419,4.367,4.502,4.17,3.789,5.626,3.787,4.575
5.2,0,3.078,16.683,3.901,16.542,1.678,17.717,1,1.711,3.863,4.083,1,0.296,0.0,2,2,9839.0,1,1.892,5.127,36.75,2,3.976,70.021,0.0,3.236,2.924,10.036,1.906,2.095,2,92.242,2.733,12.369,0.374,2.8,29.916,3.125,3.125,1.278,1,7.569,6.354,6.772,5.156,0,1.416,7.194,1.049,1.819,10.621,2.832,8.02,107.681,8.664,0.531,3.998,4.11,3.681,3.537,5.19,3.539,4.532,4.692,4.061,3.948,5.693,3.928,4.804
8.523,2,0.0,28.268,4.046,43.083,1.944,20.348,0,1.937,4.019,4.366,10,0.134,304.128,2,2,14300.0,2,2.003,5.566,44.25,6,4.286,39.82,8.778,3.272,3.521,19.901,2.019,2.862,3,106.923,2.985,16.322,0.67,3.042,52.426,5.664,5.664,1.577,4,9.871,7.931,8.645,5.717,0,1.536,9.319,0.967,1.512,8.057,3.82,14.59,131.874,7.649,0.571,4.263,4.37,3.882,3.832,5.286,3.826,4.873,5.021,4.374,4.318,5.859,4.309,5.178
5.2,0,0.0,29.209,4.017,44.125,1.585,61.307,0,1.611,3.983,4.098,1,0.966,0.0,3,3,10746.0,1,1.762,5.136,38.25,1,3.973,55.931,0.0,3.049,3.245,8.416,1.778,2.462,3,91.681,2.645,12.384,0.162,2.822,20.404,3.973,3.973,1.121,0,7.77,6.514,6.948,4.904,0,1.491,7.351,0.738,1.88,10.033,2.188,4.787,101.04,9.253,0.353,3.98,4.077,3.703,3.501,5.283,3.545,4.501,4.633,4.124,3.904,5.894,3.941,4.792
5.6,0,2.941,13.601,3.983,17.212,1.587,13.915,1,1.606,3.94,4.124,0,-0.291,81.465,1,1,5126.0,2,1.646,4.793,31.25,2,4.004,68.306,2.08,2.788,2.751,4.401,1.675,1.863,2,64.73,2.259,9.203,0.154,2.332,13.014,2.136,2.136,1.104,1,7.47,6.278,6.767,4.364,0,1.46,7.231,0.982,1.449,9.381,3.215,10.334,83.612,8.098,0.875,3.669,3.796,3.333,3.262,4.836,3.253,4.131,4.282,3.657,3.641,5.22,3.615,4.307
6.1,0,2.945,8.381,3.998,13.558,1.593,13.915,1,1.643,3.947,4.12,0,-0.291,81.465,1,1,5126.0,2,1.676,4.793,31.25,3,4.013,68.306,2.098,2.789,2.751,4.169,1.701,1.863,2,64.768,2.268,9.203,0.139,2.332,13.199,2.136,2.136,1.101,1,7.47,6.278,6.767,4.372,0,1.461,7.231,1.018,1.449,9.381,3.187,10.155,83.897,8.098,0.875,3.669,3.796,3.333,3.262,4.835,3.253,4.133,4.287,3.654,3.643,5.219,3.618,4.303
5.8,0,2.78,11.544,4.0,16.058,1.67,11.771,1,1.695,3.948,4.122,0,1.069,85.729,3,3,5655.0,2,1.697,4.837,32.5,3,4.013,101.203,1.744,2.786,2.78,4.522,1.748,1.906,2,67.475,2.349,9.731,0.072,2.456,14.76,2.136,2.136,1.059,0,7.595,6.352,6.843,4.482,0,1.469,7.319,1.054,1.481,9.5,2.702,7.299,87.602,8.066,0.84,3.729,3.865,3.378,3.289,4.92,3.287,4.184,4.342,3.717,3.677,5.299,3.657,4.367
5.4,0,2.94,7.276,3.972,10.294,1.588,7.593,1,1.604,3.94,4.119,1,-0.338,81.465,1,1,5126.0,1,1.631,4.793,31.25,3,4.017,52.923,2.08,2.791,2.751,4.906,1.655,1.863,2,64.609,2.284,9.203,0.154,2.325,12.958,2.136,2.136,1.105,2,7.47,6.278,6.767,4.337,0,1.474,7.231,0.997,1.489,9.381,3.719,13.834,81.842,8.098,0.875,3.666,3.769,3.327,3.289,4.837,3.276,4.126,4.256,3.652,3.667,5.217,3.638,4.306
5.4,0,2.928,3.638,3.895,1.471,1.501,7.593,1,1.481,3.86,4.116,1,-0.256,61.84,1,1,2507.0,1,1.602,4.615,22.75,2,4.013,52.923,2.109,2.527,2.213,3.732,1.652,1.115,2,52.504,1.956,7.252,0.0,2.077,11.388,0.969,0.969,0.972,2,7.164,6.107,6.568,4.154,0,1.466,7.002,0.931,1.541,7.765,3.143,9.881,66.348,7.576,0.789,3.529,3.647,3.129,3.082,4.655,3.066,4.019,4.185,3.444,3.452,5.038,3.417,4.174
5.3,0,2.955,10.227,3.955,13.229,1.595,7.593,1,1.639,3.899,4.118,1,-0.291,81.465,1,1,5126.0,1,1.671,4.67,26.0,2,4.013,56.047,2.119,2.866,2.537,5.871,1.666,1.551,2,65.222,2.399,9.203,0.393,2.414,17.957,2.136,2.136,1.216,2,7.271,6.168,6.642,4.61,0,1.454,7.084,0.899,1.515,9.381,3.157,9.967,82.841,7.241,0.625,3.79,3.917,3.359,3.317,4.819,3.298,4.346,4.531,3.689,3.73,5.268,3.686,4.576
5.2,0,2.937,0.0,4.065,0.0,1.481,25.686,1,1.496,4.009,4.153,0,-0.225,117.108,1,1,3145.0,2,1.604,4.755,28.75,2,4.031,68.184,2.818,2.727,2.741,3.15,1.653,1.858,2,55.785,2.031,8.06,0.0,2.045,8.33,0.995,0.995,0.929,1,7.849,6.54,7.049,3.993,0,1.461,7.575,0.968,1.487,7.222,2.054,4.218,68.032,8.714,0.952,3.479,3.597,3.204,3.059,4.673,3.077,3.939,4.084,3.565,3.452,5.108,3.457,4.059
5.2,0,2.956,9.487,3.951,17.5,1.462,13.915,1,1.486,3.914,4.113,2,0.331,81.465,2,2,5126.0,2,1.601,4.802,32.0,2,4.03,68.122,2.134,2.829,2.751,6.12,1.65,1.863,5,68.605,2.262,9.78,0.165,2.48,17.168,2.136,2.136,1.091,1,7.47,6.278,6.767,4.251,0,1.419,7.231,0.864,1.559,9.381,3.968,15.745,85.95,8.86,0.875,3.639,3.748,3.425,3.322,4.795,3.278,4.083,4.207,3.783,3.684,5.204,3.628,4.238
5.2,0,2.962,9.712,3.956,15.848,1.595,13.915,1,1.606,3.92,4.112,2,0.304,88.391,2,2,6023.0,1,1.618,4.892,32.5,3,4.029,68.122,2.144,2.835,2.817,6.615,1.654,1.951,4,71.651,2.458,10.122,0.218,2.521,17.698,2.136,2.136,1.091,1,7.375,6.231,6.69,4.409,0,1.422,7.151,1.016,1.537,10.182,3.81,14.517,92.27,8.512,0.84,3.712,3.826,3.463,3.384,4.837,3.334,4.176,4.316,3.81,3.751,5.252,3.685,4.337
