pXC50,P_VSA_e_1,P_VSA_m_1,P_VSA_MR_1,P_VSA_p_1,P_VSA_s_2,P_VSA_v_1,SpMin4_Bh.m.,ATSC3v,P_VSA_LogP_7,SpMin5_Bh.m.,SpMin6_Bh.s.,ATSC1v,ATSC2v,SpMin3_Bh.v.,SpMin8_Bh.m.,CATS2D_07_LL,SpMin2_Bh.m.,SpMin2_Bh.s.,SpMin2_Bh.v.,GATS5s,DECC,SpMin4_Bh.v.,ATS4p,ATS5i,ATS5p,ATSC3p,ATSC4i,ATSC4p,ATSC5i,ATSC5p,ATSC6i,X4v,X5v,SM10_EA.bo.,SpDiam_AEA.dm.,X3Av,C.002,H.046,SpMin6_Bh.m.,CATS2D_06_LL,ATS2p,ATS3p,ATS3v,ATSC2i,ATSC2p,ATSC3i,P_VSA_MR_5,ATS4v,ATS5e,ATS5v,ATS6e,ATS6i,ATS6p,ATS6v,ATS7e,ATS7i,ATS7p,ATS7v,ATS8e,ATS8i,ATS8p,ATSC1p,ATSC2s,ATSC6p
4.0,435.531,435.531,435.531,435.531,435.531,435.531,1.823,18.833,435.531,1.746,0.926,9.43,15.422,1.885,1.508,9,2.027,1.377,1.971,0.997,2.486,1.796,4.124,5.372,4.088,12.807,1.468,12.7,1.436,12.398,1.331,3.536,2.237,13.89,5.896,0.132,14,29,1.653,10,4.021,4.13,3.979,1.26,10.848,1.478,44.309,3.977,5.102,3.915,5.06,5.34,4.003,3.811,4.953,5.254,3.922,3.711,4.876,5.174,3.852,6.913,31.468,11.509
5.522,200.109,200.109,200.109,200.109,200.109,200.109,1.876,10.138,200.109,1.574,0.408,4.532,7.745,1.976,1.21,12,1.977,1.109,1.997,1.123,2.022,1.864,4.261,5.067,4.231,9.779,1.542,10.536,1.522,10.622,1.421,4.451,3.088,15.805,5.992,0.071,0,0,1.369,16,4.167,4.283,4.29,1.118,7.588,1.388,10.288,4.269,4.921,4.231,4.872,5.009,4.19,4.192,4.857,4.996,4.097,4.096,4.67,4.814,4.011,4.641,44.113,10.232
6.097,235.422,235.422,235.422,280.302,245.239,235.422,1.856,12.531,235.422,1.775,0.565,5.521,9.49,1.976,1.294,11,1.999,1.153,2.02,1.044,2.45,1.861,4.432,5.354,4.403,12.121,2.215,13.579,2.351,14.194,2.122,4.97,3.424,15.851,6.437,0.071,0,0,1.53,13,4.28,4.417,4.43,2.135,9.957,1.965,16.987,4.444,5.182,4.414,5.115,5.271,4.353,4.374,5.071,5.215,4.332,4.343,5.05,5.197,4.345,6.074,200.986,12.795
5.7,247.193,247.193,247.193,247.193,247.193,247.193,1.876,13.242,247.193,1.775,0.565,5.844,9.974,1.976,1.294,11,1.999,1.153,2.02,1.163,2.018,1.864,4.373,5.235,4.347,11.566,1.836,12.563,1.804,12.553,1.734,4.751,3.288,15.811,5.984,0.073,0,0,1.53,14,4.253,4.378,4.367,1.375,9.038,1.702,16.987,4.357,5.062,4.327,5.024,5.18,4.316,4.31,5.021,5.178,4.289,4.274,4.958,5.118,4.281,5.497,51.42,11.698
6.048,176.567,176.567,206.487,206.487,176.567,176.567,1.832,8.614,176.567,1.573,0.394,4.076,7.001,1.976,1.206,11,1.977,1.109,1.997,1.034,2.217,1.849,4.261,5.078,4.218,9.955,1.894,10.728,1.733,10.926,1.724,4.553,3.103,15.869,5.984,0.069,0,0,1.354,14,4.163,4.279,4.318,1.359,7.7,1.743,10.288,4.295,4.936,4.24,4.893,5.027,4.15,4.193,4.831,4.955,4.085,4.119,4.704,4.831,4.043,4.712,74.916,9.99
5.349,188.338,188.338,188.338,188.338,188.338,188.338,1.845,9.662,188.338,1.574,0.408,4.23,7.324,1.976,1.21,13,1.977,1.109,1.997,1.101,2.132,1.849,4.282,5.067,4.243,9.707,1.522,10.59,1.516,10.615,1.408,4.589,3.243,15.828,5.992,0.073,0,0,1.369,17,4.193,4.315,4.318,1.1,7.378,1.358,10.288,4.287,4.923,4.243,4.877,5.008,4.216,4.217,4.867,4.994,4.136,4.13,4.679,4.812,4.042,4.434,49.333,10.213
5.523,223.651,223.651,253.571,253.571,223.651,223.651,1.832,11.705,223.651,1.775,0.565,5.292,9.089,1.976,1.294,11,1.999,1.153,2.02,0.992,2.109,1.849,4.369,5.246,4.343,11.739,2.177,12.684,2.019,12.666,2.022,4.841,3.323,15.87,5.984,0.071,0,0,1.53,14,4.25,4.374,4.391,1.605,9.144,2.026,16.987,4.38,5.081,4.35,5.05,5.197,4.312,4.336,5.042,5.191,4.286,4.296,4.974,5.127,4.278,5.565,71.326,11.854
5.888,223.651,223.651,188.338,223.651,223.651,223.651,1.876,11.493,223.651,1.785,0.401,5.113,8.91,1.976,1.207,11,1.979,1.114,2.0,1.201,2.079,1.864,4.298,5.103,4.285,10.802,1.569,10.897,1.57,11.337,1.567,4.567,3.162,15.811,5.984,0.071,0,0,1.36,14,4.202,4.311,4.315,1.196,8.293,1.498,23.706,4.3,4.956,4.272,4.947,5.097,4.24,4.235,4.924,5.077,4.168,4.164,4.763,4.904,4.138,5.022,44.407,10.967
6.399,188.338,188.338,188.338,233.218,198.155,188.338,1.856,9.509,188.338,1.574,0.408,4.321,7.386,1.976,1.21,12,1.977,1.109,1.997,1.043,2.506,1.861,4.327,5.208,4.294,10.422,1.946,11.582,2.099,12.376,1.848,4.67,3.224,15.845,6.437,0.069,0,0,1.369,15,4.196,4.326,4.358,1.935,8.659,1.696,10.288,4.364,5.058,4.326,4.977,5.116,4.232,4.263,4.917,5.04,4.148,4.177,4.792,4.919,4.095,5.265,196.099,11.468
5.522,188.338,188.338,188.338,188.338,188.338,188.338,1.872,9.57,188.338,1.574,0.408,4.235,7.311,1.976,1.226,12,1.977,1.109,1.997,1.086,2.166,1.869,4.305,5.089,4.273,9.584,1.618,10.545,1.579,10.615,1.476,4.589,3.186,15.847,6.058,0.07,0,0,1.369,16,4.195,4.323,4.335,1.134,7.402,1.422,41.348,4.318,4.946,4.279,4.9,5.03,4.238,4.245,4.893,5.029,4.145,4.151,4.704,4.846,4.05,4.502,54.776,10.167
5.602,235.422,235.422,235.422,235.422,235.422,235.422,1.85,12.718,235.422,1.775,0.565,5.476,9.474,1.976,1.294,11,1.999,1.153,2.02,1.152,2.067,1.851,4.399,5.234,4.373,11.661,1.818,12.712,1.788,12.738,1.71,4.979,3.444,15.838,5.984,0.075,0,0,1.53,15,4.277,4.408,4.393,1.357,8.933,1.675,16.987,4.38,5.068,4.352,5.033,5.179,4.347,4.338,5.027,5.177,4.313,4.297,4.963,5.118,4.298,5.338,53.156,11.92
5.222,282.506,282.506,258.964,282.506,282.506,282.506,1.891,15.108,282.506,1.876,0.696,6.555,11.439,1.976,1.295,11,2.02,1.195,2.035,1.089,2.025,1.864,4.451,5.324,4.446,12.495,1.98,13.599,1.959,14.325,1.981,5.084,3.387,15.826,5.984,0.075,1,3,1.614,16,4.295,4.433,4.41,1.452,9.439,1.799,23.754,4.421,5.147,4.402,5.149,5.338,4.402,4.369,5.078,5.252,4.359,4.325,5.022,5.189,4.361,5.748,44.477,13.697
6.099,176.567,176.567,206.487,206.487,176.567,176.567,1.837,8.801,176.567,1.574,0.408,4.076,7.001,1.976,1.21,11,1.977,1.109,1.997,1.012,2.141,1.85,4.256,5.082,4.227,9.965,1.964,10.707,1.739,10.745,1.652,4.532,3.116,15.889,5.992,0.068,0,0,1.369,15,4.163,4.278,4.32,1.359,7.7,1.75,10.288,4.298,4.942,4.251,4.892,5.021,4.187,4.215,4.882,5.011,4.093,4.122,4.69,4.826,4.008,4.712,75.862,10.324
5.699,235.422,235.422,235.422,280.302,243.182,235.422,1.87,12.829,235.422,1.775,0.565,5.608,9.625,1.976,1.295,11,1.999,1.153,2.02,0.986,2.341,1.877,4.419,5.315,4.376,12.319,2.378,13.965,2.163,13.6,1.913,4.972,3.424,15.884,6.46,0.072,0,0,1.53,14,4.288,4.423,4.437,2.181,9.931,2.104,24.746,4.431,5.139,4.375,5.053,5.204,4.345,4.355,5.078,5.224,4.338,4.351,5.071,5.23,4.333,5.964,185.424,12.038
6.221,188.338,188.338,188.338,188.338,188.338,188.338,1.85,9.662,188.338,1.574,0.408,4.23,7.324,1.976,1.21,12,1.977,1.109,1.997,1.118,2.069,1.851,4.29,5.066,4.26,9.707,1.522,10.576,1.505,10.702,1.396,4.679,3.244,15.832,5.992,0.072,0,0,1.369,17,4.193,4.315,4.318,1.1,7.378,1.358,10.288,4.295,4.927,4.257,4.882,5.007,4.226,4.223,4.865,4.994,4.125,4.123,4.677,4.813,4.034,4.434,49.445,10.314
5.57,247.193,247.193,247.193,247.193,248.272,247.193,1.563,17.676,211.88,1.536,0.851,5.629,11.688,1.964,1.216,0,1.902,1.31,2.007,0.849,1.998,1.797,4.993,6.269,5.162,25.507,3.101,32.64,3.656,40.316,4.134,11.095,8.899,17.289,6.939,0.106,0,0,1.49,0,4.493,4.777,4.813,1.867,18.128,2.508,13.777,5.051,6.238,5.251,6.318,6.345,5.29,5.364,6.45,6.467,5.362,5.46,6.523,6.537,5.399,14.119,783.178,47.391
6.62,415.132,411.989,411.989,411.989,413.786,411.989,1.875,29.59,353.133,1.853,0.911,9.583,19.553,2.003,1.536,0,1.93,1.33,2.028,0.811,2.924,1.974,5.488,6.776,5.667,41.8,5.096,53.377,6.07,65.584,7.089,17.92,14.343,17.677,6.942,0.105,0,0,1.563,0,4.982,5.268,5.303,3.042,29.824,4.102,22.962,5.544,6.738,5.754,6.831,6.869,5.829,5.889,6.991,7.02,5.943,6.025,7.123,7.145,6.026,22.832,1254.58,80.437
5.0,188.338,188.338,188.338,188.338,188.338,188.338,1.687,10.503,188.338,1.529,0.407,4.634,8.208,1.961,1.181,8,1.986,1.102,1.983,1.386,2.275,1.758,4.071,4.973,3.921,9.752,1.484,10.241,1.37,8.867,1.229,3.726,2.605,15.036,5.873,0.082,0,3,1.424,2,4.046,4.154,4.119,1.16,7.149,1.437,66.617,4.036,4.792,3.936,4.656,4.833,3.878,3.872,4.603,4.772,3.952,3.939,4.68,4.806,4.04,4.29,25.632,7.681
5.822,141.253,141.253,141.253,186.134,151.071,141.253,1.635,7.452,160.76,1.449,0.299,3.466,6.142,1.743,1.101,8,1.951,1.063,1.952,1.133,2.774,1.667,4.036,4.875,4.002,9.016,1.464,9.393,1.56,10.347,1.268,4.107,2.468,15.094,6.437,0.087,1,0,1.27,10,3.999,4.061,4.043,1.691,7.542,1.339,24.232,4.045,4.723,3.983,4.55,4.693,3.857,3.832,4.467,4.606,3.846,3.813,4.522,4.658,3.821,4.418,183.474,8.336
5.522,211.88,211.88,211.88,211.88,211.88,211.88,1.641,10.306,211.88,1.564,0.573,5.083,8.558,1.985,1.181,14,2.017,1.131,2.018,1.17,2.563,1.671,4.022,4.905,3.922,9.14,1.338,9.723,1.225,9.116,1.058,3.148,2.098,15.354,5.636,0.079,1,0,1.535,13,3.986,4.075,4.041,1.054,7.476,1.288,27.709,3.968,4.706,3.873,4.569,4.743,3.816,3.778,4.462,4.64,3.746,3.695,4.39,4.583,3.727,4.655,45.81,7.828
5.26,176.567,176.567,191.527,191.527,176.567,176.567,1.636,9.397,176.567,1.536,0.337,4.306,7.431,1.984,1.148,9,2.017,1.106,2.018,1.095,2.497,1.658,3.921,4.766,3.81,8.78,1.402,8.983,1.263,7.787,1.116,3.041,2.018,15.399,5.636,0.076,1,0,1.304,11,3.943,4.013,3.991,1.081,6.783,1.405,27.709,3.901,4.597,3.815,4.486,4.637,3.739,3.739,4.418,4.592,3.669,3.656,4.336,4.504,3.628,4.204,43.42,6.959
6.7,153.024,153.024,167.984,167.984,153.024,153.024,1.619,8.363,153.024,1.535,0.278,3.636,6.508,1.958,1.107,14,2.01,1.121,2.015,1.355,2.584,1.654,3.983,4.763,3.858,8.995,1.389,9.363,1.222,8.089,1.073,3.409,2.262,15.518,5.636,0.084,1,0,1.271,11,4.008,4.107,4.079,1.042,6.355,1.335,27.709,3.96,4.606,3.86,4.497,4.628,3.804,3.804,4.445,4.593,3.746,3.728,4.322,4.487,3.704,3.825,55.282,7.119
6.7,164.795,164.795,179.756,179.756,164.795,164.795,1.624,9.008,164.795,1.535,0.291,3.933,6.973,1.97,1.108,14,2.012,1.121,2.017,1.389,2.557,1.658,3.973,4.761,3.865,9.473,1.416,9.565,1.239,8.537,1.089,3.503,2.224,15.451,5.636,0.083,1,0,1.28,12,3.995,4.078,4.039,1.053,6.681,1.362,27.709,3.943,4.599,3.853,4.488,4.627,3.794,3.789,4.434,4.592,3.732,3.7,4.312,4.486,3.692,4.021,46.367,7.328
6.158,176.567,176.567,176.567,176.567,176.567,176.567,1.632,9.676,176.567,1.535,0.284,4.188,7.389,1.972,1.181,15,2.017,1.132,2.018,1.289,2.524,1.659,3.971,4.748,3.837,9.392,1.222,9.647,1.071,7.89,0.937,3.271,2.309,15.348,5.636,0.087,1,0,1.271,13,3.997,4.081,4.017,0.936,6.624,1.199,27.709,3.905,4.57,3.807,4.464,4.613,3.797,3.749,4.395,4.568,3.74,3.673,4.284,4.469,3.696,3.987,38.812,7.299
6.7,235.422,235.422,211.88,235.422,235.422,235.422,1.889,13.816,235.422,1.845,0.532,5.561,10.107,1.976,1.288,12,2.01,1.193,2.024,1.158,2.118,1.849,4.379,5.19,4.354,12.048,1.8,12.313,1.726,12.297,1.701,4.861,3.472,15.833,5.984,0.075,1,3,1.428,17,4.285,4.406,4.384,1.339,8.805,1.698,23.754,4.359,5.027,4.329,5.008,5.159,4.346,4.326,5.028,5.191,4.318,4.284,4.948,5.115,4.276,5.197,45.798,11.58
4.523,153.024,153.024,153.024,153.024,153.024,153.024,1.636,8.048,172.531,1.452,0.319,3.671,6.502,1.743,1.104,10,1.959,1.064,1.956,1.148,2.387,1.667,3.947,4.673,3.916,8.521,1.098,8.424,0.999,8.516,0.856,3.888,2.329,15.007,5.636,0.092,1,0,1.29,10,3.964,4.005,3.95,0.91,6.344,1.129,24.232,3.913,4.525,3.846,4.383,4.525,3.797,3.727,4.376,4.531,3.799,3.721,4.362,4.517,3.763,3.759,38.986,6.98
5.523,200.109,200.109,200.109,200.109,200.109,200.109,1.638,9.8,200.109,1.563,0.573,4.727,8.12,1.971,1.181,14,2.017,1.131,2.018,1.263,2.579,1.669,4.068,4.902,3.97,9.284,1.311,9.97,1.194,9.606,1.047,3.476,2.194,15.436,5.636,0.081,1,0,1.535,13,4.017,4.115,4.083,1.037,7.39,1.263,27.709,4.014,4.722,3.912,4.577,4.742,3.843,3.81,4.469,4.639,3.773,3.721,4.398,4.582,3.755,4.505,47.072,7.973
6.399,164.795,164.795,179.756,179.756,164.795,164.795,1.621,9.008,164.795,1.535,0.284,3.933,6.973,1.97,1.138,14,2.012,1.121,2.017,1.362,2.541,1.657,3.967,4.764,3.832,9.473,1.419,9.723,1.244,7.978,1.089,3.335,2.32,15.446,5.636,0.084,1,0,1.271,11,3.995,4.078,4.039,1.053,6.681,1.362,27.709,3.934,4.595,3.836,4.487,4.627,3.792,3.778,4.435,4.592,3.735,3.711,4.312,4.486,3.692,4.021,46.256,7.376
6.097,153.024,153.024,167.984,167.984,153.024,153.024,1.597,8.456,153.024,1.536,0.332,3.636,6.508,1.966,1.11,9,1.991,1.105,2.01,1.094,2.643,1.644,3.989,4.764,3.861,8.986,1.37,9.397,1.245,8.111,1.092,3.399,2.298,15.506,5.636,0.084,1,0,1.297,12,4.008,4.107,4.077,1.042,6.355,1.358,27.709,3.962,4.61,3.86,4.5,4.635,3.794,3.788,4.435,4.589,3.722,3.713,4.354,4.501,3.683,3.825,55.23,7.072
5.071,164.795,164.795,164.795,164.795,164.795,164.795,1.602,9.224,164.795,1.536,0.335,3.858,6.914,1.971,1.151,14,2.005,1.115,2.011,1.256,2.336,1.641,4.019,4.744,3.91,9.391,1.189,9.894,1.079,7.919,0.992,3.532,2.527,15.447,5.636,0.089,1,0,1.309,12,4.028,4.129,4.065,0.917,6.347,1.173,27.709,3.961,4.587,3.885,4.535,4.67,3.888,3.856,4.479,4.615,3.865,3.809,4.373,4.524,3.802,3.771,39.632,7.575
6.399,164.795,164.795,164.795,164.795,164.795,164.795,1.605,9.224,164.795,1.536,0.342,3.858,6.914,1.971,1.139,14,2.005,1.114,2.011,1.35,2.57,1.646,4.02,4.745,3.91,9.391,1.184,9.835,1.048,8.23,0.938,3.595,2.47,15.445,5.636,0.089,1,0,1.304,15,4.028,4.129,4.065,0.917,6.347,1.173,27.709,3.962,4.586,3.871,4.484,4.618,3.852,3.811,4.421,4.57,3.803,3.735,4.32,4.473,3.732,3.771,39.632,7.311
6.301,176.567,176.567,176.567,176.567,176.567,176.567,1.634,9.676,176.567,1.535,0.292,4.188,7.389,1.972,1.181,15,2.017,1.132,2.018,1.327,2.512,1.661,3.977,4.745,3.87,9.392,1.218,9.49,1.065,8.446,0.937,3.439,2.214,15.354,5.636,0.086,1,0,1.28,14,3.997,4.081,4.017,0.936,6.624,1.199,27.709,3.915,4.574,3.824,4.465,4.613,3.799,3.76,4.394,4.568,3.738,3.661,4.284,4.469,3.696,3.987,38.854,7.252
5.522,211.88,211.88,211.88,211.88,211.88,211.88,1.646,10.306,211.88,1.542,0.553,5.083,8.558,1.988,1.181,13,2.017,1.111,2.018,1.174,2.598,1.671,4.022,4.904,3.918,9.14,1.338,9.723,1.226,9.101,1.069,3.148,2.097,15.354,5.636,0.079,1,0,1.535,14,3.986,4.075,4.041,1.054,7.476,1.288,27.709,3.968,4.705,3.872,4.571,4.747,3.815,3.775,4.459,4.636,3.739,3.691,4.404,4.589,3.713,4.655,45.81,7.827
5.601,164.795,164.795,179.756,179.756,164.795,164.795,1.635,8.886,164.795,1.536,0.336,3.944,6.954,1.976,1.115,8,2.009,1.105,2.014,1.126,2.531,1.657,3.973,4.765,3.843,8.91,1.375,9.337,1.249,8.03,1.1,3.279,2.139,15.472,5.636,0.08,1,0,1.304,11,3.976,4.064,4.04,1.062,6.598,1.379,27.709,3.947,4.607,3.842,4.495,4.636,3.761,3.768,4.425,4.591,3.699,3.683,4.344,4.503,3.673,4.026,48.652,6.993
4.523,176.567,176.567,176.567,176.567,176.567,176.567,1.633,9.509,176.567,1.536,0.344,4.216,7.386,1.978,1.153,14,2.017,1.109,2.018,1.348,2.497,1.656,3.976,4.746,3.882,8.838,1.196,9.16,1.049,8.048,0.947,3.32,2.135,15.412,5.636,0.082,1,0,1.309,14,3.979,4.067,4.019,0.946,6.541,1.199,27.709,3.932,4.583,3.85,4.479,4.621,3.812,3.782,4.416,4.574,3.761,3.704,4.312,4.477,3.697,3.992,39.064,7.041
6.128,153.024,153.024,182.945,182.945,153.024,153.024,1.603,8.221,153.024,1.536,0.331,3.709,6.563,1.971,1.111,9,1.995,1.098,2.012,0.939,2.643,1.648,3.958,4.767,3.841,9.018,1.477,9.275,1.275,8.044,1.176,3.282,2.162,15.506,5.636,0.077,1,0,1.298,11,3.974,4.051,4.051,1.186,6.655,1.512,27.709,3.949,4.612,3.851,4.505,4.643,3.765,3.775,4.439,4.598,3.69,3.699,4.36,4.512,3.657,4.061,65.691,7.079
6.099,164.795,164.795,179.756,179.756,164.795,164.795,1.636,8.787,164.795,1.536,0.335,3.949,6.939,1.985,1.168,9,2.017,1.113,2.018,1.094,2.65,1.665,3.975,4.801,3.847,8.723,1.482,9.096,1.32,7.906,1.14,3.146,2.108,15.454,6.057,0.075,1,0,1.306,11,3.979,4.065,4.051,1.102,6.608,1.452,58.769,3.961,4.631,3.856,4.501,4.645,3.774,3.779,4.446,4.616,3.712,3.704,4.367,4.53,3.668,4.076,53.884,6.935
6.128,164.795,164.795,164.795,164.795,164.795,164.795,1.616,9.224,164.795,1.536,0.343,3.858,6.914,1.971,1.09,14,2.003,1.115,2.011,1.366,2.563,1.649,4.035,4.742,3.93,9.391,1.184,9.76,1.037,8.682,0.938,3.784,2.376,15.451,5.636,0.088,1,0,1.308,14,4.028,4.129,4.065,0.917,6.347,1.173,27.709,3.976,4.59,3.882,4.484,4.618,3.852,3.811,4.423,4.57,3.794,3.74,4.318,4.473,3.742,3.771,39.734,7.311
6.221,164.795,164.795,164.795,209.676,174.613,164.795,1.643,8.519,184.302,1.612,0.529,3.982,6.958,1.743,1.167,9,1.969,1.096,1.979,1.056,3.037,1.67,4.108,4.943,4.061,9.785,1.539,10.324,1.644,11.213,1.351,4.232,2.554,15.065,6.437,0.088,1,0,1.428,7,4.062,4.128,4.095,1.762,8.106,1.42,24.232,4.095,4.784,4.033,4.638,4.794,3.886,3.869,4.519,4.665,3.868,3.84,4.543,4.678,3.91,4.799,182.19,8.958
