pXC50,P_VSA_LogP_4,SsssCH,TPSA.NO.,TPSA.Tot.,P_VSA_p_2,IC1,LLS_01,MATS4s,BAC,CATS2D_08_AL,Eta_FL,Eta_sh_p,HNar,HVcpx,JGI5,JGT,nDB,NdssC,SM05_EA.bo.,JGI6,C.040,N.072,NdO,O.058,Psi_e_A,Psi_i_A,P_VSA_e_5,P_VSA_v_2,SAacc,SdO,SpMax2_Bh.s.,IC3,SpMax7_Bh.s.,ZM1Kup,AECC,ATSC5s,BIC3,Eig01_AEA.dm.,Eig04_AEA.dm.,Eig05_AEA.bo.,Eig05_EA.bo.,Eig06_EA.bo.,Eta_epsi_A,Eta_F_A,GGI1,GNar,IVDE,JGI1,SM03_EA.bo.,SM15_AEA.ri.,SpDiam_AEA.dm.,SPI,SpMax_AEA.dm.,X0A,ZM2Kup,ZM2MulPer,ZM2Per,ZM2V,ICR,IDE,MSD,AAC
6.067,307.535,-9.374,356.36,381.66,536.438,3.632,0.17,-0.109,383.0,13,12.837,0.209,1.722,4.352,0.022,0.465,9,9,7.798,0.016,9,8,9,9,8.217,2.717,311.671,536.438,536.438,117.782,7.447,5.921,7.424,1063.05,22.364,551.481,0.821,4.093,3.803,3.895,3.183,3.08,0.596,1.291,15.0,1.88,1.538,0.224,5.215,3.183,6.093,50.558,4.093,0.745,836.724,844.245,1207.11,789.0,3.852,4.56,12.57,1.662
4.975,179.097,-4.657,205.82,231.12,291.831,3.413,0.17,-0.127,164.0,14,9.61,0.175,1.793,4.019,0.021,0.428,6,6,7.588,0.017,6,6,6,6,7.955,2.455,150.87,291.831,291.831,80.011,7.433,5.615,5.007,746.875,17.538,326.554,0.812,4.093,3.736,3.823,3.11,2.979,0.566,1.08,10.5,1.942,1.491,0.194,4.956,3.11,6.093,34.51,4.093,0.732,632.171,643.529,926.45,603.0,3.472,4.218,10.114,1.577
4.0,0.0,1.964,24.5,24.5,32.135,3.084,0.5,-0.013,3.0,2,5.398,0.041,2.113,3.222,0.02,0.312,0,0,6.998,0.011,0,0,0,0,7.34,1.84,11.0,32.135,32.135,0.0,4.753,4.749,3.674,275.714,9.36,25.664,0.798,3.366,2.454,2.994,2.116,2.082,0.518,0.717,3.5,2.179,1.078,0.125,4.182,2.116,5.366,6.538,3.366,0.682,280.419,288.555,420.7,272.0,2.695,3.376,5.808,1.299
4.0,0.0,1.788,29.26,29.26,36.022,2.927,0.83,0.01,2.0,0,4.693,0.037,2.129,2.724,0.013,0.284,0,0,6.846,0.011,0,0,0,0,7.348,1.848,0.0,36.022,36.022,0.0,4.795,4.099,3.674,212.957,6.5,30.833,0.709,3.581,2.361,3.052,2.115,1.908,0.509,0.729,2.5,2.205,1.143,0.1,4.06,2.115,5.581,5.369,3.581,0.679,238.099,246.539,364.07,235.0,2.084,2.866,4.476,1.209
4.0,0.0,1.655,15.27,15.27,21.135,2.99,0.5,0.012,2.0,1,7.042,0.02,2.143,3.177,0.014,0.289,0,0,7.299,0.01,0,0,0,0,7.5,2.0,0.0,36.095,36.095,0.0,4.811,4.506,3.83,380.089,9.5,40.427,0.73,3.592,2.456,3.248,2.381,2.169,0.536,0.886,3.5,2.207,1.075,0.103,4.443,2.381,5.592,7.179,3.592,0.678,362.207,367.175,540.43,349.0,2.644,3.367,5.918,1.285
4.0,0.0,2.096,15.27,15.27,21.135,2.985,0.5,0.0,2.0,3,6.935,0.046,2.138,3.279,0.012,0.287,0,0,7.299,0.01,0,0,0,0,7.358,1.858,0.0,21.135,21.135,0.0,4.806,4.612,3.832,324.181,10.387,37.868,0.74,3.591,2.456,3.25,2.381,2.162,0.524,0.83,3.5,2.2,1.058,0.1,4.443,2.381,5.591,7.458,3.591,0.679,349.736,370.854,545.31,353.0,2.7,3.499,6.352,1.274
5.8,149.248,-4.907,149.84,149.84,227.464,3.519,0.17,-0.058,114.0,14,11.806,0.182,1.819,3.597,0.023,0.447,5,5,8.152,0.019,5,4,5,5,7.989,2.489,168.408,227.464,225.565,66.018,7.428,5.462,4.903,731.116,13.0,245.707,0.81,3.886,3.647,3.878,3.194,3.186,0.589,1.296,10.0,1.981,1.524,0.2,5.223,3.194,5.886,29.925,3.886,0.725,650.06,657.049,950.48,617.0,2.982,3.823,8.353,1.54
5.0,149.248,-5.243,149.84,149.84,227.464,3.475,0.17,-0.055,135.0,14,11.777,0.2,1.8,3.602,0.023,0.454,5,5,8.184,0.02,5,4,5,5,7.976,2.476,168.408,227.464,225.565,66.41,7.428,5.513,4.903,737.116,13.0,266.417,0.813,3.902,3.653,3.878,3.195,3.189,0.584,1.297,10.0,1.97,1.544,0.196,5.255,3.195,5.902,31.758,3.902,0.728,662.412,668.494,969.46,629.0,2.975,3.821,8.372,1.528
5.6,0.0,1.991,24.5,24.5,32.135,3.011,0.5,0.035,3.0,3,7.323,0.033,2.138,3.213,0.014,0.282,0,0,7.314,0.009,0,0,0,0,7.355,1.855,11.0,32.135,32.135,0.0,4.8,4.613,3.83,341.714,9.581,36.195,0.738,3.592,2.456,3.249,2.381,2.17,0.522,0.892,3.5,2.2,1.058,0.1,4.443,2.381,5.592,7.539,3.592,0.679,359.419,371.126,544.46,351.0,2.66,3.411,6.089,1.269
4.921,46.513,0.0,61.46,61.46,75.719,3.278,0.33,-0.123,6.0,6,7.502,0.065,2.051,3.517,0.024,0.359,1,1,7.534,0.022,1,1,1,1,7.648,2.148,36.145,75.719,59.056,12.811,4.996,4.587,3.691,402.739,11.704,52.577,0.772,3.7,2.618,3.313,2.474,2.178,0.584,0.973,4.0,2.142,1.218,0.133,4.527,2.474,5.7,9.45,3.7,0.69,400.267,405.218,591.71,381.0,2.936,3.691,6.933,1.526
5.432,46.513,0.0,50.6,50.6,60.833,3.386,0.33,-0.119,18.0,4,7.705,0.146,1.955,3.574,0.029,0.435,1,1,7.774,0.021,1,1,1,1,7.682,2.182,36.145,60.833,59.056,13.086,4.995,4.787,4.247,448.255,12.31,56.969,0.796,3.72,2.84,3.487,2.714,2.43,0.597,0.994,5.5,2.09,1.416,0.172,4.783,2.714,5.72,14.165,3.72,0.703,442.492,457.319,668.56,429.0,3.069,3.753,7.18,1.621
5.469,46.513,0.0,50.6,50.6,60.833,3.386,0.33,-0.168,18.0,4,7.705,0.146,1.955,3.584,0.027,0.437,1,1,7.774,0.026,1,1,1,1,7.682,2.182,36.145,60.833,59.056,13.003,4.988,4.787,4.249,448.255,12.345,52.67,0.796,3.704,2.867,3.417,2.613,2.448,0.597,0.994,5.5,2.09,1.416,0.172,4.783,2.613,5.704,14.205,3.704,0.703,442.492,457.319,668.56,429.0,3.099,3.758,7.21,1.621
6.602,46.513,0.0,61.46,61.46,75.719,3.47,0.33,-0.152,11.0,4,7.575,0.115,2.0,3.583,0.026,0.405,1,1,7.645,0.023,1,1,1,1,7.706,2.206,36.145,75.719,59.056,12.844,5.022,4.742,4.25,436.943,12.357,55.227,0.798,3.7,2.761,3.417,2.586,2.378,0.607,0.97,5.0,2.115,1.333,0.161,4.663,2.586,5.7,12.174,3.7,0.697,427.13,441.728,644.97,415.0,3.084,3.761,7.214,1.646
5.398,46.513,0.0,61.46,61.46,75.719,3.524,0.17,-0.105,11.0,4,7.631,0.111,2.0,3.666,0.024,0.403,1,1,7.625,0.018,1,1,1,1,7.682,2.182,36.145,75.719,59.056,12.848,5.022,4.994,4.26,440.943,13.138,51.026,0.831,3.699,2.799,3.485,2.605,2.371,0.597,0.945,5.5,2.111,1.314,0.172,4.663,2.605,5.699,12.556,3.699,0.697,424.425,440.941,641.48,413.0,3.125,3.855,7.668,1.621
5.678,388.045,-13.261,519.13,544.43,724.285,3.467,0.17,-0.155,666.0,26,17.624,0.192,1.769,4.749,0.023,0.449,14,14,8.324,0.015,13,13,13,13,8.1,2.6,326.884,724.285,724.285,179.681,7.435,6.31,7.428,1504.21,29.732,738.745,0.81,4.093,3.879,4.061,3.275,3.223,0.585,1.415,20.5,1.932,1.539,0.203,5.682,3.275,6.093,75.083,4.093,0.735,1248.53,1253.41,1810.01,1177.0,4.277,4.963,16.323,1.637
6.745,388.045,-13.183,519.13,544.43,724.285,3.467,0.17,-0.155,666.0,26,17.624,0.192,1.769,4.751,0.023,0.449,14,14,8.324,0.015,13,13,13,13,8.1,2.6,326.884,724.285,724.285,179.599,7.435,6.31,7.428,1504.21,29.794,738.912,0.81,4.093,3.871,4.058,3.26,3.225,0.585,1.414,20.5,1.932,1.539,0.203,5.682,3.26,6.093,75.096,4.093,0.735,1248.53,1253.41,1810.01,1177.0,4.282,4.967,16.369,1.637
5.658,388.045,-13.261,519.13,544.43,724.285,3.467,0.17,-0.155,666.0,26,17.624,0.192,1.769,4.749,0.023,0.449,14,14,8.324,0.015,13,13,13,13,8.1,2.6,326.884,724.285,724.285,179.681,7.435,6.31,7.428,1504.21,29.732,738.745,0.81,4.093,3.879,4.061,3.275,3.223,0.585,1.415,20.5,1.932,1.539,0.203,5.682,3.275,6.093,75.083,4.093,0.735,1248.53,1253.41,1810.01,1177.0,4.277,4.963,16.323,1.637
6.959,388.045,-13.183,519.13,544.43,724.285,3.467,0.17,-0.155,666.0,26,17.624,0.192,1.769,4.751,0.023,0.449,14,14,8.324,0.015,13,13,13,13,8.1,2.6,326.884,724.285,724.285,179.599,7.435,6.31,7.428,1504.21,29.794,738.912,0.81,4.093,3.871,4.058,3.26,3.225,0.585,1.414,20.5,1.932,1.539,0.203,5.682,3.26,6.093,75.096,4.093,0.735,1248.53,1253.41,1810.01,1177.0,4.282,4.967,16.369,1.637
5.0,388.045,-13.139,519.13,544.43,724.285,3.465,0.17,-0.154,666.0,26,17.65,0.192,1.769,4.749,0.024,0.454,14,14,8.314,0.015,13,13,13,13,8.1,2.6,326.884,724.285,724.285,179.499,7.435,6.259,7.428,1504.21,29.753,744.301,0.804,4.093,3.868,4.061,3.292,3.223,0.585,1.41,21.0,1.932,1.539,0.208,5.682,3.292,6.093,75.106,4.093,0.735,1246.53,1252.03,1806.28,1175.0,4.277,4.965,16.357,1.637
6.249,404.409,-15.436,463.47,488.77,699.004,3.709,0.17,-0.086,629.0,13,14.682,0.246,1.687,4.612,0.023,0.497,11,11,8.043,0.017,11,10,11,11,8.266,2.766,404.644,699.004,682.218,146.007,7.45,6.306,7.426,1319.31,26.582,739.504,0.845,4.093,3.81,4.01,3.223,3.202,0.603,1.353,19.0,1.858,1.573,0.237,5.447,3.223,6.093,65.817,4.093,0.751,1035.37,1038.25,1489.54,970.0,4.105,4.857,15.16,1.687
7.18,71.78,0.0,80.76,80.76,109.965,3.273,0.17,-0.036,22.0,13,9.753,0.111,1.959,3.285,0.023,0.358,2,2,8.041,0.016,1,2,2,2,7.859,2.359,72.29,109.965,109.965,25.989,7.426,4.718,4.497,538.565,10.125,94.478,0.771,3.801,2.707,3.573,2.902,2.818,0.622,1.261,4.5,2.082,1.366,0.129,4.934,2.902,5.801,14.409,3.801,0.703,517.04,525.072,770.58,491.0,2.671,3.428,6.153,1.556
5.2,62.186,-1.199,71.19,71.19,96.086,3.767,0.17,-0.18,92.0,6,8.188,0.198,1.737,3.435,0.037,0.583,2,2,8.107,0.013,2,1,2,2,8.793,3.293,61.29,185.847,169.061,24.145,8.509,4.947,7.436,952.539,11.424,244.206,0.828,4.482,3.493,3.711,2.965,2.727,0.751,1.171,10.5,1.928,1.797,0.3,5.156,2.965,6.482,22.9,4.482,0.739,617.671,584.433,889.15,545.0,2.843,3.693,7.273,1.84
5.125,388.045,-12.587,519.13,544.43,724.285,3.461,0.17,-0.161,666.0,24,17.658,0.197,1.754,4.759,0.022,0.451,14,14,8.209,0.015,13,13,13,13,8.128,2.628,326.884,724.285,724.285,178.19,7.435,6.129,7.428,1484.21,29.8,730.309,0.79,4.093,3.856,4.045,3.252,3.223,0.587,1.423,20.5,1.914,1.536,0.209,5.613,3.252,6.093,74.289,4.093,0.738,1216.53,1221.15,1755.64,1145.0,4.288,4.973,16.427,1.644
4.523,179.097,-4.694,205.82,231.12,291.831,3.386,0.17,-0.126,166.0,15,9.61,0.171,1.797,4.009,0.021,0.417,6,6,7.588,0.015,6,6,6,6,7.937,2.437,150.87,291.831,291.831,80.616,7.433,5.667,5.007,750.875,17.434,339.064,0.815,4.093,3.756,3.82,3.117,2.971,0.562,1.079,10.5,1.943,1.482,0.191,4.956,3.117,6.093,34.875,4.093,0.731,636.171,647.689,932.17,607.0,3.481,4.204,10.045,1.565
4.949,179.097,-3.887,214.61,239.91,306.718,3.431,0.17,-0.122,169.0,11,9.528,0.182,1.765,4.041,0.021,0.428,6,6,7.464,0.014,6,6,6,6,8.007,2.507,150.87,306.718,306.718,78.025,7.433,5.575,5.007,723.562,17.66,312.995,0.813,4.093,3.689,3.813,3.006,2.948,0.569,1.083,10.5,1.908,1.476,0.206,4.868,3.006,6.093,33.902,4.093,0.738,595.692,607.938,865.4,568.0,3.464,4.237,10.274,1.591
5.0,388.045,-14.951,510.34,535.64,709.398,3.481,0.17,-0.154,663.0,31,19.665,0.178,1.793,4.724,0.021,0.426,14,14,8.369,0.015,13,13,13,13,8.048,2.548,326.884,709.398,709.398,184.226,7.435,6.047,7.428,1577.52,29.865,756.543,0.766,4.093,3.913,4.109,3.384,3.298,0.581,1.517,20.5,1.951,1.522,0.188,5.722,3.384,6.093,77.885,4.093,0.731,1336.01,1343.49,1946.21,1263.0,4.247,4.951,16.275,1.616
7.187,388.045,-12.469,519.13,544.43,724.285,3.359,0.17,-0.134,831.0,23,15.667,0.239,1.701,4.735,0.024,0.496,14,14,8.23,0.016,13,13,13,13,8.149,2.649,326.884,724.285,724.285,177.28,7.435,6.184,7.428,1438.21,29.728,755.882,0.801,4.093,3.896,4.057,3.242,3.221,0.582,1.345,22.0,1.874,1.637,0.234,5.651,3.242,6.093,77.335,4.093,0.748,1166.53,1172.07,1684.44,1095.0,4.273,4.975,16.367,1.637
5.0,390.801,-11.218,519.13,544.43,724.285,3.596,0.17,-0.16,666.0,24,18.086,0.197,1.754,4.759,0.022,0.451,15,15,8.258,0.015,13,13,13,13,8.137,2.637,326.884,724.285,724.285,177.994,7.435,6.354,7.428,1496.21,29.8,720.717,0.82,4.093,3.825,4.047,3.289,3.223,0.59,1.454,20.5,1.914,1.536,0.209,5.635,3.289,6.093,74.289,4.093,0.738,1234.81,1240.78,1784.28,1163.0,4.288,4.973,16.427,1.651
5.509,388.045,-13.854,519.13,544.43,724.285,3.566,0.17,-0.155,666.0,28,19.487,0.184,1.788,4.725,0.023,0.438,14,14,8.479,0.015,13,13,13,13,8.079,2.579,326.884,724.285,724.285,181.493,7.435,6.285,7.428,1564.21,29.663,729.236,0.802,4.093,3.905,4.061,3.298,3.282,0.588,1.512,20.5,1.95,1.533,0.193,5.77,3.298,6.093,76.717,4.093,0.731,1325.53,1333.94,1933.56,1254.0,4.259,4.948,16.21,1.636
5.0,238.797,-5.681,302.4,327.7,427.825,3.514,0.17,-0.136,239.0,22,12.522,0.177,1.781,4.056,0.02,0.43,9,9,7.768,0.015,8,8,8,8,8.033,2.533,201.159,427.825,427.825,108.97,7.434,5.916,7.423,981.969,18.585,433.436,0.82,4.093,3.789,3.875,3.182,2.991,0.579,1.265,14.0,1.927,1.487,0.209,5.182,3.182,6.093,44.68,4.093,0.734,813.134,823.202,1175.05,770.0,3.578,4.268,10.717,1.623
5.699,268.646,-5.847,331.5,356.8,470.981,3.493,0.17,-0.137,424.0,20,13.652,0.202,1.739,4.252,0.02,0.439,10,10,7.818,0.016,9,9,9,9,8.054,2.554,226.304,470.981,470.981,120.11,7.434,6.068,7.424,1070.04,21.085,441.323,0.825,4.093,3.789,3.875,3.182,2.99,0.575,1.278,15.5,1.888,1.506,0.215,5.247,3.182,6.093,52.902,4.093,0.743,870.178,880.662,1249.83,822.0,3.757,4.463,12.168,1.611
5.921,388.045,-12.319,519.13,569.73,724.285,3.352,0.17,-0.158,762.0,21,15.324,0.211,1.728,4.759,0.023,0.457,14,14,8.141,0.015,13,13,13,13,8.133,2.633,326.884,724.285,724.285,177.316,7.435,6.167,7.428,1451.07,29.785,733.149,0.798,4.093,3.913,4.029,3.224,3.18,0.584,1.314,20.0,1.89,1.547,0.211,5.563,3.224,6.093,75.083,4.093,0.744,1169.56,1179.92,1694.24,1103.0,4.289,4.977,16.446,1.665
4.932,390.801,-11.218,519.13,544.43,724.285,3.596,0.17,-0.16,666.0,24,18.086,0.197,1.754,4.759,0.022,0.451,15,15,8.258,0.015,13,13,13,13,8.137,2.637,326.884,724.285,724.285,177.994,7.435,6.354,7.428,1496.21,29.8,720.717,0.82,4.093,3.825,4.047,3.289,3.223,0.59,1.454,20.5,1.914,1.536,0.209,5.635,3.289,6.093,74.289,4.093,0.738,1234.81,1240.78,1784.28,1163.0,4.288,4.973,16.427,1.651
4.9,208.947,-7.12,224.69,249.99,318.875,3.72,0.17,-0.139,144.0,20,11.476,0.161,1.846,3.708,0.022,0.441,8,7,8.156,0.016,7,7,7,7,8.0,2.5,176.014,318.875,302.09,96.336,7.434,5.865,7.42,879.964,14.375,376.647,0.841,4.094,3.81,3.926,3.203,3.006,0.595,1.277,12.0,2.003,1.504,0.2,5.301,3.203,6.094,34.921,4.094,0.721,771.68,782.492,1137.55,735.0,3.031,3.864,8.595,1.646
5.7,208.947,-7.054,215.9,241.2,303.989,3.74,0.17,-0.139,167.0,22,11.646,0.176,1.829,3.703,0.024,0.448,8,7,8.187,0.017,7,7,7,7,7.982,2.482,176.014,303.989,287.203,97.289,7.434,6.003,7.42,891.276,14.351,388.453,0.856,4.094,3.823,3.927,3.239,3.035,0.59,1.299,12.0,1.993,1.525,0.197,5.33,3.239,6.094,36.666,4.094,0.723,784.525,796.696,1159.48,747.0,3.023,3.856,8.556,1.633
5.581,307.535,-10.401,338.78,364.08,506.665,3.624,0.17,-0.103,368.0,19,13.035,0.196,1.765,4.332,0.023,0.455,9,9,7.964,0.017,9,8,9,9,8.129,2.629,311.671,506.665,506.665,121.802,7.447,6.097,7.424,1109.67,22.286,585.285,0.835,4.093,3.842,3.962,3.253,3.154,0.591,1.286,15.0,1.931,1.547,0.205,5.338,3.253,6.093,52.043,4.093,0.736,906.4,913.227,1324.88,856.0,3.823,4.536,12.351,1.641
4.6,208.947,-8.096,339.69,339.69,466.024,3.637,0.17,-0.159,281.0,19,15.561,0.177,1.815,4.226,0.022,0.444,8,8,8.523,0.016,7,7,7,7,7.954,2.454,176.014,466.024,432.453,97.319,7.434,5.886,7.421,1041.71,21.042,414.916,0.796,3.871,3.715,4.022,3.247,3.158,0.575,1.374,15.5,1.97,1.509,0.204,5.585,3.247,5.871,49.537,3.871,0.727,940.511,949.327,1371.58,894.0,3.725,4.444,11.964,1.56
5.0,388.045,-13.588,510.34,535.64,709.398,3.413,0.17,-0.162,663.0,27,17.74,0.19,1.771,4.752,0.022,0.443,14,14,8.27,0.016,13,13,13,13,8.087,2.587,326.884,709.398,709.398,181.177,7.435,5.997,7.428,1511.52,29.827,754.995,0.768,4.093,3.913,4.054,3.383,3.248,0.583,1.42,20.5,1.932,1.535,0.201,5.656,3.383,6.093,75.457,4.093,0.735,1257.01,1260.9,1822.41,1184.0,4.276,4.966,16.365,1.63
5.131,388.045,-12.299,519.13,569.73,724.285,3.352,0.17,-0.158,759.0,21,15.324,0.211,1.728,4.766,0.023,0.457,14,14,8.141,0.015,13,13,13,13,8.133,2.633,326.884,724.285,724.285,177.264,7.435,6.15,7.428,1451.07,29.849,733.177,0.796,4.093,3.913,4.045,3.223,3.17,0.584,1.311,20.0,1.89,1.547,0.211,5.563,3.223,6.093,75.065,4.093,0.744,1169.56,1179.92,1694.24,1103.0,4.292,4.982,16.498,1.665
5.4,281.48,-7.454,258.23,283.53,387.929,3.698,0.17,-0.141,192.0,16,11.869,0.181,1.794,3.807,0.021,0.464,9,8,7.865,0.017,8,8,8,8,8.129,2.629,243.843,387.929,387.929,108.338,7.434,5.885,7.421,955.849,15.155,424.99,0.841,4.093,3.793,3.966,3.19,3.081,0.605,1.321,13.5,1.955,1.53,0.221,5.223,3.19,6.093,39.271,4.093,0.73,797.065,804.905,1161.3,754.0,2.848,3.94,9.057,1.674
5.6,268.646,-7.693,288.09,288.09,405.187,3.53,0.17,-0.178,190.0,20,15.284,0.148,1.858,4.27,0.023,0.419,9,9,8.348,0.015,9,9,9,9,8.017,2.517,226.304,405.187,388.401,122.187,7.435,6.044,7.424,1093.53,21.1,490.951,0.826,4.011,3.746,4.045,3.282,3.225,0.59,1.371,13.5,2.009,1.485,0.18,5.497,3.282,6.011,45.121,4.011,0.719,958.586,959.652,1397.94,906.0,3.736,4.489,12.124,1.581
6.721,432.357,-13.84,553.27,586.95,768.597,3.454,0.17,-0.17,952.0,24,16.533,0.246,1.686,4.736,0.024,0.515,16,14,8.649,0.017,13,13,15,15,8.223,2.723,371.197,768.597,768.597,204.788,7.459,6.274,7.43,1552.54,29.737,857.82,0.809,5.403,3.913,4.059,3.272,3.227,0.594,1.434,23.5,1.864,1.686,0.242,5.876,3.272,7.403,81.497,5.403,0.751,1244.25,1279.56,1834.73,1193.0,4.277,4.966,16.319,1.687
5.481,42.27,0.0,37.83,37.83,40.494,3.285,0.33,-0.103,30.0,6,7.871,0.161,1.949,3.419,0.028,0.47,2,1,8.449,0.015,0,0,0,0,7.424,1.924,0.0,40.494,36.695,0.0,4.811,4.797,4.044,388.913,11.188,45.857,0.762,4.009,2.724,3.555,2.95,2.901,0.539,0.992,6.0,2.108,1.617,0.167,5.255,2.95,6.009,16.337,4.009,0.702,466.141,475.895,711.5,451.0,2.827,3.623,6.812,1.322
5.8,149.248,-3.301,143.71,143.71,202.791,3.502,0.17,-0.123,37.0,16,11.786,0.09,2.0,3.804,0.024,0.396,5,5,8.142,0.017,5,5,5,5,7.807,2.307,125.725,202.791,186.006,68.77,7.43,5.535,4.765,751.299,14.843,260.029,0.806,4.036,3.584,3.908,3.243,3.093,0.58,1.202,9.5,2.127,1.379,0.167,5.247,3.243,6.036,23.997,4.036,0.696,703.055,710.312,1041.96,671.0,3.213,4.02,9.227,1.515
