pXC50,P_VSA_MR_7,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4e,ATS4i,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS7v,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATS8v,ATSC1e,ATSC1i,ATSC1m,ATSC1p,ATSC1s,ATSC1v,ATSC2e,ATSC2i,ATSC2m,ATSC2p,ATSC2s,ATSC2v,ATSC3e,ATSC3i,ATSC3m,ATSC3p,ATSC3s,ATSC3v,ATSC4e,ATSC4i,ATSC4m,ATSC4p,ATSC4s,ATSC4v,ATSC5e,ATSC5i,ATSC5m,ATSC5p,ATSC5s,ATSC5v,ATSC6e,ATSC6i,ATSC6m,ATSC6p,ATSC6s,ATSC6v,ATSC7e,ATSC7i,ATSC7m,ATSC7p,ATSC7s,ATSC7v,ATSC8e,ATSC8i,ATSC8m,ATSC8p,ATSC8s,ATSC8v,BAC,BBI,BIC0,BIC1,BIC2,BIC3,BIC4,BIC5,BID,BLI,BLTA96,BLTD48,BLTF96,Br.094,C.,C.001,C.002,C.003,C.004,C.005,C.006,C.007,C.008,C.009,C.011,C.012
5.0,33.571,1.513,18.659,4.674,21.849,160.828,6.781,0.378,4.504,4.634,3.996,3.959,5.494,3.939,5.097,5.3,4.334,4.349,6.041,4.305,5.358,5.586,4.406,4.521,6.247,4.445,5.406,5.651,4.362,4.536,6.305,4.436,5.403,5.647,4.34,4.538,6.32,4.425,5.395,5.648,4.265,4.494,6.233,4.371,5.334,5.596,4.214,4.386,6.216,4.276,5.196,5.433,4.174,4.308,6.094,4.223,0.024,1.222,19.498,7.398,11.437,10.634,0.525,1.928,37.858,11.851,41.638,17.627,0.686,2.317,49.892,15.383,52.388,23.063,0.658,2.371,52.334,16.533,64.144,24.92,0.805,2.338,52.247,17.276,75.439,25.516,0.566,2.283,51.688,16.851,57.591,25.38,0.884,2.115,49.652,14.519,73.048,22.414,0.548,1.914,42.617,12.756,48.867,19.345,22,61,0.229,0.508,0.715,0.799,0.824,0.824,3.741,0.984,-4.15,-4.09,-3.87,0,37.3,2,4,0,0,1,8,0,1,0,0,0
5.0,39.378,1.604,16.351,5.318,28.281,147.876,7.188,0.45,4.371,4.497,4.019,3.889,5.369,3.842,4.938,5.128,4.328,4.271,6.08,4.207,5.195,5.411,4.346,4.419,6.197,4.302,5.303,5.572,4.288,4.382,6.295,4.254,5.17,5.392,4.201,4.294,6.317,4.214,5.038,5.252,4.156,4.306,6.029,4.205,5.106,5.353,4.197,4.337,6.073,4.205,5.076,5.315,4.098,4.27,6.039,4.136,0.096,1.121,19.611,6.83,18.6,9.228,0.49,1.759,33.291,11.432,69.127,15.683,0.453,2.131,45.659,14.336,62.867,19.753,0.609,2.129,58.518,16.676,88.167,22.658,0.859,1.86,44.316,13.074,119.388,17.925,0.37,1.832,35.993,12.133,53.078,17.495,0.467,1.916,39.463,13.852,57.019,19.972,0.319,1.843,41.493,13.165,49.703,18.833,40,57,0.249,0.563,0.739,0.802,0.808,0.808,3.641,1.052,-4.36,-4.3,-4.05,0,37.0,4,2,0,0,0,4,0,0,0,1,0
5.854,52.401,1.585,12.286,4.493,20.186,114.788,8.402,0.71,3.933,4.041,3.653,3.596,5.11,3.55,4.385,4.525,4.009,3.968,5.533,3.895,4.58,4.752,4.064,4.071,5.68,3.961,4.574,4.747,4.008,3.986,5.713,3.882,4.522,4.712,3.866,3.941,5.584,3.83,4.549,4.75,3.804,3.926,5.609,3.818,4.533,4.753,3.746,3.841,5.597,3.752,4.411,4.634,3.583,3.705,5.489,3.601,0.044,0.663,7.861,3.899,7.206,4.667,0.109,1.04,14.352,6.503,16.07,7.766,0.116,1.248,23.017,9.306,23.968,10.629,0.237,1.254,24.376,8.717,35.504,9.532,0.169,1.163,21.084,8.362,26.663,10.076,0.138,1.195,22.736,8.907,26.506,10.807,0.162,1.168,20.446,7.871,30.645,9.879,0.226,1.051,18.187,6.853,31.972,8.636,7,42,0.266,0.591,0.757,0.886,0.91,0.91,3.374,0.931,-4.38,-4.31,-4.07,0,47.8,0,0,0,0,1,0,0,0,0,0,0
5.0,55.934,1.965,14.281,4.176,17.437,110.459,9.685,0.529,4.003,4.1,3.755,3.517,5.316,3.555,4.496,4.622,4.2,3.853,6.254,3.888,4.687,4.837,4.212,3.955,6.089,3.972,4.729,4.888,4.278,3.87,6.302,3.909,4.633,4.809,4.034,3.794,6.141,3.811,4.604,4.799,3.841,3.776,5.894,3.752,4.507,4.685,3.977,3.684,6.22,3.67,4.383,4.577,3.681,3.61,5.663,3.582,0.311,0.902,5.104,4.001,37.643,3.787,1.055,1.686,11.815,6.648,147.525,6.555,0.943,1.452,18.483,8.178,99.294,8.02,1.323,1.452,26.239,8.848,158.001,8.205,1.117,1.415,18.246,7.271,116.513,7.605,1.027,1.273,21.288,8.134,142.434,8.546,1.184,1.129,18.324,6.854,152.715,8.195,0.73,1.053,16.236,6.388,91.483,6.945,55,48,0.331,0.647,0.756,0.856,0.873,0.88,3.501,0.833,-3.51,-3.48,-3.33,0,43.8,0,0,0,0,1,0,0,0,0,0,0
5.21,89.505,1.781,14.515,3.439,11.829,130.334,8.272,0.472,4.186,4.31,3.868,3.71,5.289,3.681,4.723,4.911,4.273,4.092,5.802,4.04,4.941,5.151,4.314,4.218,5.982,4.141,5.006,5.228,4.28,4.257,6.04,4.143,5.048,5.295,4.247,4.219,6.107,4.099,4.913,5.139,4.3,4.148,5.979,4.032,4.818,5.046,4.105,4.07,5.861,3.938,4.729,4.975,3.899,3.905,5.736,3.791,0.095,0.941,11.465,5.069,10.998,6.429,0.43,1.487,24.882,8.224,31.59,10.997,0.6,1.695,35.684,10.349,45.533,13.753,0.546,1.729,37.657,12.51,51.32,16.654,0.76,1.693,45.193,13.007,79.856,17.006,0.671,1.578,38.884,11.058,68.555,13.89,0.533,1.499,38.483,11.075,49.188,13.638,0.487,1.324,32.202,9.003,43.612,11.771,28,50,0.289,0.627,0.771,0.863,0.863,0.863,3.531,0.988,-4.5,-4.42,-4.17,0,37.3,2,0,0,0,0,6,0,0,0,0,0
5.0,86.378,1.5,9.462,3.181,10.12,106.143,6.817,0.571,4.034,4.18,3.519,3.496,5.088,3.472,4.572,4.785,3.856,3.869,5.559,3.815,4.81,5.061,3.912,3.985,5.757,3.906,4.882,5.147,3.89,3.981,5.84,3.892,4.843,5.117,3.806,3.913,5.833,3.834,4.671,4.9,3.827,3.894,5.652,3.838,4.764,4.999,3.846,3.969,5.745,3.896,4.877,5.132,3.736,4.031,5.779,3.9,0.052,0.803,12.071,4.161,11.302,6.38,0.304,1.233,21.878,6.999,27.887,10.721,0.365,1.431,28.413,8.106,37.986,13.299,0.425,1.463,31.008,8.473,44.897,13.926,0.557,1.385,30.377,6.812,60.496,12.199,0.263,1.314,24.475,6.143,29.225,10.697,0.429,1.397,27.167,6.888,37.375,11.79,0.346,1.421,30.375,9.501,43.03,14.901,28,38,0.252,0.595,0.767,0.831,0.84,0.84,3.305,0.966,-4.72,-4.63,-4.35,0,36.5,3,1,0,0,0,2,0,2,0,0,0
5.0,55.934,2.039,9.815,3.234,10.461,102.384,10.898,0.552,3.88,3.977,3.747,3.406,5.143,3.419,4.367,4.502,4.17,3.789,5.626,3.787,4.575,4.72,4.313,3.908,5.974,3.885,4.605,4.779,4.414,3.873,5.96,3.844,4.549,4.713,4.164,3.765,6.036,3.785,4.562,4.689,4.272,3.821,6.169,3.842,4.586,4.746,4.239,3.795,5.983,3.784,4.555,4.749,4.302,3.728,5.806,3.674,0.255,0.679,3.015,3.461,19.199,3.449,0.538,1.037,9.729,5.922,42.845,5.857,0.872,1.262,23.78,7.869,71.232,7.961,0.832,1.321,33.428,8.205,63.717,8.272,0.944,1.243,17.834,7.175,108.942,7.332,1.045,1.235,16.589,7.522,112.204,6.621,0.901,1.128,16.171,7.214,90.926,6.667,0.973,1.017,26.345,8.19,84.24,7.949,42,41,0.356,0.753,0.855,0.905,0.905,0.905,3.341,0.929,-4.17,-4.11,-3.89,1,40.5,0,0,0,0,1,2,0,0,0,0,0
9.71,0.0,1.512,8.057,3.82,14.59,131.874,7.649,0.571,4.263,4.37,3.882,3.832,5.286,3.826,4.873,5.021,4.374,4.318,5.859,4.309,5.178,5.337,4.61,4.573,6.149,4.556,5.369,5.531,4.757,4.756,6.333,4.727,5.532,5.717,4.778,4.847,6.495,4.794,5.585,5.797,4.686,4.848,6.518,4.761,5.533,5.767,4.425,4.709,6.463,4.58,5.314,5.575,3.935,4.389,6.201,4.21,0.027,0.917,12.149,5.573,11.265,6.965,0.37,1.627,25.463,9.887,30.97,12.55,0.571,2.159,35.68,13.607,40.408,17.155,0.443,2.615,42.815,17.103,43.837,21.674,0.654,3.038,52.426,19.901,53.811,25.674,0.548,3.117,57.473,22.265,66.036,29.664,0.67,2.864,56.948,21.781,84.94,29.533,0.536,2.232,47.876,17.849,74.079,24.601,21,68,0.238,0.589,0.78,0.837,0.857,0.878,3.592,0.875,-3.69,-3.66,-3.48,0,45.9,1,1,0,0,2,1,0,2,1,0,1
6.886,9.476,1.672,13.219,1.477,2.182,119.219,7.501,0.314,4.185,4.306,3.74,3.66,5.304,3.661,4.749,4.924,4.121,4.065,5.87,4.049,4.994,5.19,4.166,4.207,6.128,4.159,5.082,5.314,4.121,4.214,6.167,4.135,5.078,5.306,4.098,4.128,6.304,4.069,5.032,5.27,4.038,4.095,6.228,4.026,4.95,5.189,4.002,4.053,6.049,3.982,4.921,5.134,3.934,3.971,6.219,3.912,0.129,0.935,12.267,5.279,17.348,6.821,0.457,1.484,24.332,8.676,43.105,11.737,0.745,1.768,32.893,11.091,76.178,14.938,0.645,1.804,36.882,12.412,78.284,17.496,0.989,1.7,38.43,11.551,138.129,16.051,0.998,1.624,36.999,11.059,136.547,15.668,0.68,1.529,33.085,10.501,72.144,15.142,0.893,1.494,32.436,9.999,129.414,13.339,37,50,0.272,0.637,0.797,0.866,0.866,0.866,3.502,0.91,-2.31,-2.34,-2.31,0,39.0,2,0,0,0,0,6,0,1,0,0,0
5.0,50.234,1.454,8.217,2.741,7.514,87.719,7.473,0.577,3.83,3.964,3.419,3.379,4.917,3.361,4.393,4.579,3.766,3.812,5.342,3.761,4.662,4.912,3.726,3.893,5.519,3.793,4.671,4.931,3.794,3.896,5.617,3.814,4.649,4.893,3.712,3.876,5.675,3.777,4.555,4.837,3.475,3.656,5.585,3.543,4.166,4.425,3.14,3.392,5.114,3.28,4.06,4.274,3.265,3.408,5.073,3.326,0.041,0.682,8.241,3.401,9.986,4.712,0.131,1.111,15.972,6.023,16.474,8.592,0.168,1.289,23.327,7.929,29.134,11.904,0.319,1.31,24.085,7.725,35.496,11.607,0.191,1.284,22.816,7.672,37.649,11.491,0.341,1.111,22.197,6.431,46.383,9.929,0.152,0.763,14.408,4.675,28.391,7.021,0.105,0.743,11.964,4.393,18.547,6.355,4,36,0.253,0.65,0.797,0.84,0.84,0.84,3.189,0.93,-3.52,-3.5,-3.34,0,41.5,0,5,1,0,0,0,0,1,0,0,0
6.569,91.672,1.64,15.75,5.095,25.957,155.746,8.074,0.535,4.323,4.436,3.953,3.866,5.504,3.856,4.823,4.99,4.287,4.211,5.95,4.188,5.034,5.207,4.416,4.356,6.189,4.313,5.116,5.33,4.384,4.375,6.215,4.307,5.087,5.277,4.401,4.408,6.257,4.343,5.11,5.304,4.487,4.433,6.295,4.382,5.143,5.327,4.498,4.435,6.404,4.376,5.1,5.3,4.403,4.344,6.311,4.271,0.063,0.996,12.243,5.847,13.293,7.294,0.342,1.527,24.666,9.35,31.741,11.878,0.569,1.813,33.334,11.829,56.824,14.934,0.594,1.909,38.801,13.573,68.673,17.944,0.671,1.869,38.318,13.487,71.405,17.429,0.482,1.956,36.057,13.018,59.248,17.037,0.673,1.965,39.088,13.007,100.549,16.255,0.668,1.79,42.208,13.335,93.345,17.149,54,58,0.254,0.623,0.82,0.883,0.883,0.883,3.717,0.905,-2.49,-2.52,-2.46,0,43.5,1,0,0,0,2,3,0,0,0,0,0
5.0,33.571,1.54,16.667,4.475,20.029,146.666,7.556,0.575,4.28,4.407,3.903,3.864,5.339,3.817,4.812,4.999,4.255,4.246,5.814,4.182,5.037,5.241,4.236,4.383,6.005,4.278,5.175,5.434,4.202,4.381,6.092,4.232,5.086,5.353,4.21,4.309,5.994,4.17,4.875,5.072,4.12,4.257,5.876,4.129,4.947,5.191,3.976,4.197,5.882,4.063,4.807,5.025,3.998,4.113,5.832,4.011,0.043,1.016,13.973,5.934,9.96,7.836,0.303,1.668,27.936,9.47,24.758,13.038,0.251,1.964,33.846,12.832,34.462,17.464,0.369,2.105,42.94,15.603,55.382,21.355,0.403,1.937,44.21,14.615,51.009,19.32,0.315,1.685,33.664,12.227,36.653,15.636,0.338,1.669,35.001,12.794,42.861,17.207,0.283,1.47,28.205,10.532,40.085,14.224,10,55,0.242,0.57,0.746,0.823,0.855,0.855,3.615,0.972,-4.35,-4.29,-4.05,0,42.4,1,0,0,0,1,5,0,0,0,0,0
8.046,0.0,1.468,14.139,4.725,22.326,143.007,7.189,0.55,4.296,4.422,3.839,3.839,5.374,3.814,4.829,5.017,4.193,4.236,5.841,4.191,5.082,5.287,4.266,4.404,6.091,4.326,5.194,5.429,4.24,4.417,6.189,4.315,5.191,5.436,4.277,4.386,6.24,4.315,5.107,5.294,4.281,4.439,6.214,4.362,5.207,5.442,4.18,4.463,6.186,4.337,5.154,5.421,3.926,4.318,6.018,4.158,0.05,0.996,14.24,5.91,11.343,8.044,0.309,1.633,26.445,9.271,23.903,13.296,0.387,1.987,35.058,12.805,38.967,17.929,0.358,2.094,40.579,15.014,57.73,21.288,0.497,2.048,41.823,13.987,72.416,19.646,0.429,1.978,35.939,13.536,64.075,18.251,0.348,2.119,40.822,15.806,62.944,22.335,0.384,1.941,40.207,14.942,58.33,21.447,17,56,0.23,0.542,0.68,0.797,0.838,0.838,3.616,0.916,-4.14,-4.09,-3.87,0,43.3,0,0,0,0,2,5,0,0,0,0,0
5.959,47.971,1.667,20.217,3.792,14.379,168.034,7.741,0.333,4.52,4.625,4.112,4.011,5.635,4.019,5.08,5.239,4.456,4.378,6.203,4.372,5.337,5.525,4.583,4.5,6.516,4.488,5.359,5.562,4.48,4.493,6.572,4.447,5.34,5.554,4.478,4.514,6.429,4.459,5.335,5.522,4.52,4.524,6.537,4.482,5.379,5.593,4.468,4.472,6.584,4.422,5.262,5.485,4.382,4.361,6.46,4.315,0.166,1.298,15.93,7.845,19.124,9.393,0.692,2.065,32.94,12.666,64.573,15.58,1.234,2.512,46.336,15.613,111.312,19.578,1.411,2.441,48.588,16.33,155.365,20.867,1.157,2.373,48.211,17.455,115.804,22.674,1.093,2.488,45.714,17.118,133.185,21.413,1.484,2.589,50.732,16.613,165.059,21.527,1.227,2.366,45.289,15.112,150.791,19.548,27,72,0.251,0.603,0.802,0.876,0.879,0.879,3.853,0.904,-3.05,-3.05,-2.93,0,41.5,0,4,0,1,1,6,0,1,0,0,0
