pXC50,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.,nAB,nAT,nB,nBM,nBO,nBR
4.469,6.817,36.5,50.0,0.996,1.141,0.637,0.598,354.51,11.5,16,52,0,16,28,0
5.0,10.898,40.5,35.7,1.039,1.135,0.711,0.694,457.71,9.5,16,42,0,17,29,1
5.0,8.699,41.3,39.7,1.031,1.144,0.67,0.66,548.01,7.9,22,63,0,23,41,0
5.293,7.649,45.9,42.6,1.002,1.118,0.685,0.656,466.58,6.6,24,61,0,25,42,0
4.789,6.377,38.8,53.1,0.986,1.132,0.637,0.589,624.96,6.1,6,98,0,11,53,0
5.854,7.55,39.6,45.8,1.021,1.126,0.637,0.621,362.41,0.0,6,48,0,10,27,0
4.0,7.183,41.3,47.8,1.008,1.122,0.645,0.617,330.41,0.0,6,46,0,10,25,0
4.0,6.926,39.6,50.0,1.005,1.126,0.634,0.602,332.43,0.0,6,48,0,9,25,0
5.0,7.501,39.0,45.8,1.014,1.138,0.643,0.621,442.54,6.8,11,59,0,14,35,0
5.0,9.181,42.9,36.7,1.039,1.137,0.682,0.679,449.87,6.1,12,49,0,16,33,0
5.699,7.176,39.4,47.0,1.0,1.135,0.653,0.62,473.64,10.6,12,66,0,16,39,0
5.0,9.028,46.2,34.6,1.04,1.136,0.683,0.689,469.45,5.8,23,52,0,24,37,0
5.0,8.663,46.5,37.2,1.002,1.116,0.732,0.697,372.49,14.0,18,43,0,20,30,0
5.0,7.473,41.5,43.9,0.998,1.134,0.673,0.641,306.41,14.6,15,41,0,16,26,0
5.0,8.074,43.5,42.0,1.008,1.124,0.687,0.658,557.1,8.7,23,69,0,26,43,0
5.0,7.556,42.4,45.5,0.994,1.123,0.686,0.642,498.71,9.1,23,66,0,24,40,0
5.0,7.189,43.3,46.3,0.995,1.124,0.669,0.633,481.65,7.5,22,67,0,24,40,0
5.0,7.741,41.5,43.9,1.017,1.134,0.653,0.635,634.74,4.9,17,82,0,21,51,0
5.0,8.237,40.9,42.4,1.019,1.14,0.671,0.647,543.67,7.6,21,66,0,22,42,0
5.0,6.979,39.4,48.5,0.996,1.133,0.649,0.612,460.64,9.1,11,66,0,15,37,0
5.0,8.286,41.4,41.4,1.016,1.123,0.682,0.657,480.59,6.9,22,58,0,23,37,0
5.0,7.388,44.4,44.4,0.996,1.123,0.679,0.645,332.44,8.9,16,45,0,18,28,0
5.0,10.113,38.5,30.8,1.057,1.151,0.691,0.701,394.4,15.4,17,39,0,20,29,0
4.523,8.038,36.2,47.8,1.007,1.133,0.669,0.623,554.6,7.2,11,69,0,14,38,0
5.0,8.498,44.2,40.4,1.018,1.126,0.688,0.667,441.92,5.8,18,52,0,19,34,0
6.0,10.12,45.0,30.0,1.047,1.151,0.713,0.718,404.81,15.0,22,40,0,22,31,0
6.319,8.155,38.2,41.8,1.03,1.156,0.643,0.636,448.5,10.9,16,55,0,16,36,0
6.523,9.792,43.5,28.3,1.048,1.158,0.699,0.716,450.43,21.7,22,46,0,24,36,0
5.0,8.771,40.7,37.3,1.043,1.148,0.656,0.663,517.51,8.5,22,59,0,23,40,0
4.602,8.259,45.3,39.1,1.02,1.124,0.681,0.669,528.58,6.3,23,64,0,26,43,0
5.699,7.688,37.7,45.3,1.021,1.156,0.635,0.618,407.49,9.4,12,53,0,13,31,0
5.0,8.701,41.7,40.0,1.012,1.125,0.705,0.672,522.08,11.7,26,60,0,27,40,0
5.036,7.866,35.7,42.9,1.021,1.145,0.642,0.629,220.26,14.3,6,28,0,8,16,0
4.301,7.428,38.1,48.8,0.999,1.127,0.665,0.617,623.92,6.0,17,84,0,20,46,0
5.036,8.139,45.2,38.7,1.009,1.125,0.694,0.674,252.3,12.9,12,31,0,14,20,0
5.036,7.748,39.1,43.5,1.017,1.134,0.651,0.634,356.42,8.7,12,46,0,14,27,0
5.036,8.705,35.3,43.1,1.03,1.133,0.664,0.64,443.95,5.9,12,51,0,15,30,0
5.036,8.356,36.5,42.3,1.027,1.133,0.659,0.64,434.52,7.7,12,52,0,16,31,0
6.398,9.285,40.4,40.4,1.013,1.124,0.722,0.678,436.4,10.6,17,47,0,18,30,0
5.0,9.073,40.3,40.3,1.02,1.124,0.703,0.671,562.52,8.1,22,62,0,25,40,0
5.0,7.577,38.8,44.8,1.012,1.141,0.649,0.627,507.63,10.4,22,67,0,23,40,0
6.0,7.911,43.1,41.2,1.011,1.126,0.676,0.656,403.48,9.8,21,51,0,21,35,0
5.0,9.048,43.8,37.5,1.021,1.125,0.71,0.687,579.1,9.4,22,64,0,25,44,0
5.0,7.489,43.8,43.8,0.998,1.125,0.679,0.647,359.47,10.4,21,48,0,22,30,0
5.0,8.249,35.7,42.9,1.015,1.139,0.67,0.641,346.46,14.3,16,42,0,18,26,0
5.0,7.266,37.2,46.5,1.003,1.142,0.647,0.617,312.42,14.0,10,43,0,12,25,0
5.0,8.162,45.7,39.1,1.012,1.129,0.69,0.672,375.44,10.9,22,46,0,23,31,0
5.0,8.659,45.0,35.0,1.02,1.127,0.7,0.692,346.38,15.0,23,40,0,23,29,0
5.005,8.139,48.1,38.9,1.011,1.112,0.698,0.679,439.5,5.6,24,54,0,25,40,0
5.0,7.818,47.9,41.1,1.003,1.113,0.695,0.668,570.69,5.5,30,73,0,32,51,0
5.479,7.872,36.4,45.5,1.014,1.14,0.652,0.625,432.96,10.9,16,55,0,17,32,0
6.0,7.905,37.7,45.3,1.012,1.144,0.658,0.629,418.95,11.3,16,53,0,16,32,0
5.046,7.48,36.5,48.1,1.002,1.14,0.653,0.614,388.95,11.5,16,52,0,16,29,0
5.941,8.982,48.6,32.4,1.025,1.116,0.714,0.712,332.34,10.8,17,37,0,21,28,0
5.0,8.913,43.9,38.6,1.015,1.118,0.715,0.684,508.04,8.8,22,57,0,24,39,0
5.0,9.07,47.1,35.3,1.01,1.111,0.74,0.709,308.39,11.8,17,34,0,18,25,0
5.0,8.804,40.7,44.4,1.01,1.133,0.678,0.643,475.4,7.4,17,54,0,17,33,1
5.0,7.093,38.9,47.2,0.995,1.138,0.655,0.619,255.36,13.9,15,36,0,15,21,0
5.0,8.681,45.9,36.1,1.025,1.139,0.691,0.685,529.57,11.5,29,61,0,30,43,0
5.959,9.247,50.0,40.0,1.003,1.102,0.727,0.689,462.36,2.0,18,50,0,21,33,1
5.959,9.539,51.1,38.3,1.006,1.1,0.736,0.701,448.33,2.1,18,47,0,21,32,1
4.959,9.933,47.2,37.7,1.017,1.103,0.734,0.7,526.43,1.9,18,53,0,23,36,1
5.0,9.732,51.0,30.6,1.033,1.121,0.735,0.731,476.89,8.2,24,49,0,26,38,0
5.959,8.807,46.0,44.0,1.001,1.111,0.702,0.66,440.36,2.0,12,50,0,15,31,1
6.509,8.615,47.4,34.2,1.01,1.125,0.719,0.703,327.38,18.4,26,38,0,26,29,0
5.959,8.573,45.3,45.3,0.998,1.112,0.695,0.651,454.39,1.9,12,53,0,15,32,1
5.0,9.582,45.7,34.3,1.035,1.141,0.716,0.702,335.38,8.6,12,35,0,14,24,0
5.0,7.479,40.8,44.9,1.007,1.13,0.658,0.632,366.46,8.2,18,49,0,18,29,0
5.262,8.252,57.6,36.4,0.999,1.088,0.742,0.715,272.31,0.0,17,33,0,19,24,0
4.0,8.078,42.5,41.1,1.019,1.141,0.667,0.652,589.68,9.6,24,73,0,26,47,0
5.0,8.497,51.3,35.9,1.011,1.116,0.717,0.701,331.37,7.7,23,39,0,23,28,0
4.563,7.46,37.5,45.0,1.006,1.142,0.651,0.625,298.39,15.0,16,40,0,16,24,0
5.0,8.162,40.0,44.6,1.01,1.129,0.677,0.642,530.5,7.7,17,65,0,18,39,0
5.0,7.767,34.7,49.0,1.001,1.131,0.67,0.615,380.59,8.2,10,49,0,11,27,0
4.699,10.555,51.6,35.5,1.006,1.101,0.762,0.723,327.19,6.5,16,31,0,17,23,1
4.0,11.302,44.4,33.3,1.023,1.122,0.745,0.719,305.15,14.8,16,27,0,16,20,1
5.0,7.583,47.1,42.6,0.997,1.116,0.692,0.66,515.66,7.4,26,68,0,29,45,0
5.0,9.044,46.3,38.9,1.019,1.127,0.712,0.685,488.39,5.6,18,54,0,19,37,0
5.0,8.237,40.7,42.4,1.018,1.135,0.671,0.648,485.99,8.5,17,59,0,19,37,0
5.0,7.991,48.0,42.0,0.993,1.107,0.719,0.674,399.55,6.0,23,50,0,24,32,0
6.125,11.231,45.0,30.0,1.045,1.148,0.725,0.723,449.26,15.0,22,40,0,22,31,1
6.0,9.1,43.2,34.1,1.04,1.152,0.679,0.685,400.4,13.6,22,44,0,22,32,0
5.0,8.053,41.3,41.3,1.021,1.137,0.661,0.648,370.42,8.7,20,46,0,20,30,0
5.036,8.155,36.4,43.6,1.023,1.133,0.655,0.633,448.55,7.3,12,55,0,16,32,0
5.0,7.316,44.9,44.9,0.994,1.121,0.68,0.644,358.48,8.2,22,49,0,22,30,0
4.301,8.657,35.3,41.2,1.037,1.15,0.651,0.64,441.51,9.8,12,51,0,15,32,0
5.0,9.853,46.7,35.6,1.014,1.109,0.759,0.718,443.38,8.9,18,45,0,20,32,0
5.0,9.599,47.1,32.4,1.025,1.121,0.738,0.72,326.38,11.8,17,34,0,18,26,0
5.0,8.151,42.0,42.0,1.006,1.123,0.694,0.659,407.54,10.0,17,50,0,18,33,0
4.081,10.346,50.0,28.6,1.045,1.105,0.74,0.743,289.68,3.6,6,28,0,11,22,0
5.0,8.367,53.6,35.7,1.002,1.102,0.733,0.709,234.27,7.1,20,28,0,20,21,0
5.959,8.36,45.1,47.1,0.992,1.113,0.694,0.643,426.38,2.0,12,51,0,14,30,1
5.959,8.988,49.1,41.5,1.001,1.104,0.719,0.679,476.39,1.9,18,53,0,21,34,1
4.0,7.581,44.3,42.9,0.998,1.125,0.684,0.653,530.69,11.4,28,70,0,29,46,0
5.0,8.372,43.8,41.7,1.019,1.118,0.682,0.66,401.87,2.1,12,48,0,14,31,0
5.0,8.543,48.9,35.6,1.015,1.114,0.71,0.698,384.42,8.9,23,45,0,24,33,0
5.0,9.102,38.1,40.5,1.024,1.136,0.69,0.664,382.28,11.9,11,42,0,13,27,0
4.0,7.855,42.3,42.3,1.014,1.131,0.665,0.647,612.72,7.7,23,78,0,26,50,0
5.0,8.333,41.6,44.2,1.008,1.121,0.693,0.652,641.67,5.2,17,77,0,22,48,0
4.0,7.971,43.0,41.8,1.018,1.132,0.666,0.65,629.72,6.3,23,79,0,26,51,0
4.0,7.821,43.5,42.0,1.011,1.123,0.673,0.652,539.64,7.2,23,69,0,26,44,0
5.213,7.568,32.4,47.1,1.029,1.158,0.607,0.596,257.3,8.8,0,34,0,4,18,0
5.0,7.833,39.7,42.6,1.015,1.14,0.658,0.64,532.64,11.8,22,68,0,24,43,0
5.0,8.255,38.6,40.4,1.03,1.142,0.651,0.646,470.51,10.5,18,57,0,19,37,0
5.0,8.103,38.9,42.6,1.009,1.132,0.679,0.648,437.58,13.0,22,54,0,24,34,0
5.0,7.827,40.9,42.4,1.015,1.13,0.662,0.644,516.61,9.1,22,66,0,25,41,0
5.0,7.574,43.5,43.5,1.003,1.124,0.674,0.646,469.59,8.1,23,62,0,25,38,0
5.0,7.509,41.7,45.0,1.008,1.132,0.658,0.632,450.56,6.7,21,60,0,21,37,0
5.0,7.337,36.2,46.6,1.009,1.143,0.638,0.613,425.55,12.1,15,58,0,16,34,0
5.605,15.07,48.1,22.2,1.07,1.095,0.875,0.835,406.89,0.0,12,27,0,12,22,0
6.924,7.578,43.2,43.2,1.0,1.127,0.678,0.648,333.43,11.4,17,44,0,18,28,0
6.245,7.575,43.5,43.5,1.003,1.125,0.674,0.646,348.44,8.7,17,46,0,18,29,0
5.62,8.176,44.4,38.9,1.013,1.125,0.687,0.671,294.34,11.1,16,36,0,17,25,0
6.0,7.79,43.9,41.5,1.003,1.127,0.684,0.658,319.4,12.2,17,41,0,18,27,0
6.479,7.176,42.6,46.3,0.994,1.127,0.668,0.631,387.53,9.3,17,54,0,18,33,0
7.319,7.49,44.0,44.0,1.0,1.123,0.676,0.645,374.48,8.0,17,50,0,18,32,0
6.097,8.009,45.0,40.0,1.009,1.123,0.688,0.667,320.38,10.0,17,40,0,18,27,0
5.824,8.036,44.7,39.5,1.007,1.126,0.692,0.67,305.37,13.2,17,38,0,18,26,0
4.699,7.929,43.2,40.5,1.007,1.129,0.684,0.661,293.36,13.5,17,37,0,18,24,0
7.658,7.754,42.6,42.6,1.01,1.126,0.67,0.648,364.44,8.5,17,47,0,18,30,0
6.217,7.23,42.0,46.0,0.996,1.129,0.667,0.631,361.49,10.0,17,50,0,18,30,0
6.611,7.49,44.0,44.0,1.0,1.123,0.676,0.645,374.48,8.0,17,50,0,18,32,0
8.155,7.33,43.4,45.3,0.998,1.124,0.671,0.637,388.51,7.5,17,53,0,18,33,0
4.745,7.693,46.3,41.5,0.995,1.122,0.697,0.665,315.41,12.2,22,41,0,22,27,0
6.767,7.754,42.6,42.6,1.01,1.126,0.67,0.648,364.44,8.5,17,47,0,18,30,0
7.699,7.393,42.6,44.7,0.998,1.128,0.672,0.639,347.46,10.6,17,47,0,18,29,0
6.914,7.085,41.5,47.2,0.994,1.129,0.662,0.624,375.52,9.4,17,53,0,18,31,0
5.0,7.79,43.9,41.5,1.003,1.127,0.684,0.658,319.4,12.2,17,41,0,18,27,0
8.0,7.176,42.6,46.3,0.994,1.127,0.668,0.631,387.53,9.3,17,54,0,18,33,0
7.745,7.045,42.1,47.4,0.992,1.128,0.664,0.625,401.56,8.8,17,57,0,18,34,0
7.276,8.065,47.2,38.9,1.004,1.119,0.702,0.679,290.35,11.1,17,36,0,18,25,0
7.481,7.805,46.2,41.0,1.001,1.12,0.693,0.666,304.38,10.3,17,39,0,18,26,0
6.783,7.805,46.2,41.0,1.001,1.12,0.693,0.666,304.38,10.3,17,39,0,18,26,0
7.745,7.581,45.2,42.9,0.998,1.122,0.686,0.654,318.41,9.5,17,42,0,18,27,0
7.244,7.316,44.9,44.9,0.994,1.121,0.68,0.644,358.48,8.2,17,49,0,18,31,0
4.0,7.634,43.8,43.8,1.009,1.125,0.668,0.643,610.74,5.0,23,80,0,26,50,0
5.392,9.777,43.7,29.9,1.069,1.117,0.671,0.704,1701.28,0.0,60,174,0,70,132,0
6.367,7.491,36.6,48.8,1.001,1.135,0.657,0.613,614.29,8.5,18,82,0,20,46,0
5.0,8.142,41.7,40.0,1.02,1.13,0.669,0.657,488.55,10.0,22,60,0,25,39,0
5.0,6.776,36.4,50.6,0.998,1.14,0.631,0.594,521.74,9.1,12,77,0,14,42,0
5.0,8.97,49.0,34.7,1.011,1.109,0.738,0.712,439.53,10.2,27,49,0,28,36,0
7.77,7.33,43.4,45.3,0.998,1.124,0.671,0.637,388.51,7.5,17,53,0,18,33,0
5.0,8.286,37.1,43.5,1.011,1.131,0.682,0.644,513.71,11.3,20,62,0,22,40,0
5.0,7.85,42.0,42.0,1.01,1.137,0.67,0.649,392.48,12.0,16,50,0,18,33,0
5.721,8.036,48.7,38.5,0.998,1.117,0.714,0.686,313.39,12.8,22,39,0,22,28,0
6.812,7.176,42.6,46.3,0.994,1.127,0.668,0.631,387.53,9.3,17,54,0,18,33,0
7.432,7.49,44.0,44.0,1.0,1.123,0.676,0.645,374.48,8.0,17,50,0,18,32,0
7.252,8.036,44.7,39.5,1.007,1.126,0.692,0.67,305.37,13.2,17,38,0,18,26,0
5.0,7.777,44.2,41.9,1.006,1.124,0.681,0.656,334.41,9.3,17,43,0,18,28,0
8.046,7.324,43.1,45.1,0.996,1.126,0.673,0.638,373.5,9.8,17,51,0,18,32,0
7.585,7.575,43.5,43.5,1.003,1.125,0.674,0.646,348.44,8.7,17,46,0,18,29,0
5.0,7.117,39.3,48.2,1.003,1.138,0.643,0.611,398.53,7.1,11,56,0,14,31,0
4.398,7.574,43.5,43.5,1.003,1.124,0.674,0.646,469.59,8.1,20,62,0,23,40,0
5.0,7.567,42.3,44.2,1.009,1.125,0.662,0.638,393.48,5.8,17,52,0,18,31,0
5.0,8.805,43.9,39.4,1.019,1.121,0.703,0.677,581.11,6.1,28,66,0,30,44,0
4.398,8.45,48.0,36.0,1.011,1.118,0.71,0.694,422.48,12.0,25,50,0,28,37,0
5.0,9.782,45.3,30.2,1.058,1.161,0.683,0.705,518.46,11.3,27,53,0,27,41,0
4.398,9.725,47.2,35.8,1.013,1.116,0.729,0.703,515.4,11.3,25,53,0,28,39,1
5.0,7.617,37.7,45.9,1.001,1.136,0.668,0.629,464.66,13.1,17,61,0,18,37,0
5.0,7.324,43.1,45.1,0.996,1.126,0.673,0.638,373.5,9.8,18,51,0,19,31,0
5.0,8.295,45.2,38.1,1.016,1.122,0.689,0.676,348.39,9.5,21,42,0,21,30,0
5.0,7.789,38.2,44.1,1.02,1.152,0.642,0.626,529.63,10.3,18,68,0,19,41,0
5.0,7.788,40.3,44.4,1.007,1.127,0.672,0.639,560.74,8.3,25,72,0,26,45,0
5.0,8.661,40.4,42.3,1.016,1.136,0.688,0.656,450.38,9.6,17,52,0,17,33,0
5.359,7.78,41.9,44.6,1.008,1.12,0.673,0.641,575.74,4.1,22,74,0,26,45,0
5.0,8.357,42.9,41.1,1.015,1.131,0.685,0.661,467.97,8.9,17,56,0,20,35,0
5.0,8.947,46.3,36.6,1.017,1.118,0.716,0.695,366.83,9.8,21,41,0,22,29,0
5.258,10.451,31.3,31.3,1.037,1.151,0.73,0.706,167.22,31.3,10,16,0,10,12,0
4.745,7.226,43.2,45.9,0.995,1.125,0.67,0.634,267.36,8.1,16,37,0,16,22,0
4.046,6.677,33.3,51.3,0.995,1.151,0.625,0.585,260.39,15.4,10,39,0,11,20,0
5.279,22.053,50.0,27.8,1.012,1.077,1.003,0.831,396.95,5.6,11,18,0,11,14,0
5.0,7.438,44.4,44.4,1.0,1.121,0.675,0.644,468.6,6.3,20,63,0,23,40,0
5.0,8.126,40.0,43.6,1.017,1.136,0.665,0.641,446.95,7.3,17,55,0,17,34,0
5.0,7.26,42.6,45.6,0.995,1.128,0.671,0.635,493.67,10.3,24,68,0,25,41,0
5.821,8.239,27.8,55.6,0.985,1.123,0.707,0.598,296.6,5.6,0,36,0,2,15,0
