pXC50,Sv,X.,MW,nSK,AMW,C.,H.,Me,Mi,Mp,Mv,N.,nAB,nAT,nB
4.125,22.156,9.7,313.16,20,10.102,48.4,35.5,1.032,1.115,0.738,0.715,0.0,12,31,0
4.174,22.742,2.9,274.31,20,7.837,45.7,42.9,1.016,1.123,0.668,0.65,0.0,12,35,0
7.097,36.851,1.7,466.45,30,8.042,44.8,48.3,0.989,1.113,0.688,0.635,1.7,18,58,0
7.42,29.487,0.0,327.46,24,6.683,40.8,51.0,0.994,1.125,0.643,0.602,2.0,12,49,0
7.488,27.961,0.0,313.43,23,6.814,41.3,50.0,0.996,1.124,0.647,0.608,2.2,12,46,0
4.621,23.156,9.4,325.17,21,10.162,50.0,34.4,1.031,1.111,0.747,0.724,0.0,12,32,0
4.016,24.688,2.9,312.38,22,8.925,51.4,37.1,1.012,1.102,0.738,0.705,0.0,16,35,0
4.5,29.269,2.3,348.39,26,8.102,51.2,39.5,1.01,1.109,0.701,0.681,0.0,18,43,0
4.959,36.956,1.6,410.57,30,6.731,42.6,50.8,0.994,1.125,0.647,0.606,0.0,12,61,0
4.456,28.269,2.4,336.38,25,8.009,50.0,40.5,1.011,1.112,0.694,0.673,0.0,18,42,0
7.824,26.102,2.4,301.39,22,7.176,42.9,47.6,1.003,1.129,0.654,0.621,2.4,12,42,0
8.959,21.951,0.0,239.34,18,6.838,45.7,48.6,0.986,1.115,0.673,0.627,2.9,12,35,0
8.284,59.609,0.0,655.97,48,6.495,38.6,52.5,0.99,1.132,0.635,0.59,5.0,18,101,0
5.004,57.136,0.0,621.96,45,6.22,36.0,55.0,0.989,1.137,0.619,0.571,5.0,12,100,0
6.745,49.622,1.2,560.78,41,6.839,40.2,50.0,0.996,1.132,0.644,0.605,4.9,18,82,0
5.174,56.83,0.0,622.94,45,6.292,36.4,54.5,0.991,1.136,0.619,0.574,4.0,12,99,0
6.131,57.136,0.0,621.96,45,6.22,36.0,55.0,0.989,1.137,0.619,0.571,5.0,12,100,0
5.222,47.149,1.2,526.77,38,6.503,37.0,53.1,0.995,1.139,0.624,0.582,4.9,12,81,0
6.733,24.196,0.0,326.35,23,9.889,48.5,30.3,1.034,1.103,0.743,0.733,6.1,17,33,0
7.668,27.048,2.4,327.45,23,7.987,46.3,43.9,0.999,1.115,0.705,0.66,2.4,17,41,0
8.252,23.611,0.0,281.4,20,8.04,48.6,42.9,0.991,1.101,0.727,0.675,2.9,17,35,0
8.398,21.778,0.0,268.35,19,8.656,51.6,38.7,1.001,1.091,0.746,0.703,0.0,17,31,0
6.699,46.647,0.0,523.74,38,6.63,38.0,51.9,0.997,1.132,0.63,0.59,3.8,12,79,0
8.553,22.139,0.0,253.32,19,7.451,47.1,44.1,0.998,1.112,0.684,0.651,2.9,16,34,0
5.523,58.567,0.0,637.94,47,6.51,40.8,52.0,0.988,1.125,0.644,0.598,3.1,18,98,0
9.155,20.612,0.0,239.29,18,7.719,48.4,41.9,1.002,1.11,0.693,0.665,3.2,16,31,0
6.204,24.831,0.0,296.41,21,8.011,48.6,43.2,0.995,1.099,0.72,0.671,0.0,17,37,0
8.638,20.612,0.0,239.29,18,7.719,48.4,41.9,1.002,1.11,0.693,0.665,3.2,16,31,0
6.664,27.694,2.3,308.43,23,7.01,45.5,47.7,0.99,1.125,0.672,0.629,4.5,12,44,0
5.523,52.701,0.0,587.83,43,6.68,39.8,51.1,0.994,1.128,0.64,0.599,3.4,17,88,0
7.733,24.514,0.0,311.38,22,8.897,48.6,37.1,1.013,1.101,0.731,0.7,2.9,17,35,0
7.506,23.611,0.0,281.4,20,8.04,48.6,42.9,0.991,1.101,0.727,0.675,2.9,17,35,0
5.301,52.04,0.0,563.86,41,6.265,37.8,54.4,0.988,1.132,0.626,0.578,3.3,12,90,0
8.018,22.084,0.0,267.37,19,8.355,50.0,40.6,0.994,1.097,0.74,0.69,3.1,17,32,0
5.398,26.063,0.0,322.34,24,8.483,47.4,36.8,1.021,1.114,0.695,0.686,5.3,12,38,0
7.824,46.239,0.0,506.76,37,6.415,38.0,53.2,0.99,1.133,0.631,0.585,5.1,12,79,0
6.818,48.669,0.0,550.77,40,6.717,37.8,51.2,0.998,1.133,0.631,0.594,4.9,12,82,0
8.409,25.521,2.6,313.42,22,8.248,47.4,42.1,1.002,1.113,0.714,0.672,2.6,17,38,0
5.167,38.879,0.0,431.64,31,6.348,35.3,54.4,0.995,1.138,0.614,0.572,4.4,6,68,0
8.108,40.669,0.0,586.43,37,8.499,24.6,46.4,1.056,1.149,0.601,0.589,0.0,0,69,0
5.097,25.135,2.6,293.37,22,7.72,47.4,42.1,1.0,1.125,0.692,0.661,7.9,11,38,0
8.886,22.139,0.0,253.32,19,7.451,47.1,44.1,0.998,1.112,0.684,0.651,2.9,16,34,0
7.131,47.314,0.0,513.81,37,6.117,34.5,56.0,0.989,1.141,0.612,0.563,6.0,6,84,0
7.77,47.766,0.0,520.79,38,6.351,37.8,53.7,0.989,1.133,0.629,0.583,4.9,12,82,0
6.426,24.257,0.0,262.38,20,6.905,47.4,47.4,0.981,1.114,0.687,0.638,5.3,12,38,0
6.914,27.311,0.0,290.44,22,6.601,45.5,50.0,0.978,1.117,0.673,0.621,4.5,12,44,0
7.77,47.45,2.5,559.19,39,7.078,38.0,50.6,1.0,1.137,0.641,0.601,5.1,12,79,0
8.028,31.874,2.1,494.3,28,10.517,44.7,40.4,1.018,1.109,0.723,0.678,0.0,12,47,0
6.019,22.984,2.7,280.32,20,7.576,40.5,45.9,1.021,1.133,0.638,0.621,0.0,6,37,0
7.569,17.622,3.8,318.12,15,12.235,42.3,42.3,1.014,1.109,0.754,0.678,0.0,6,26,0
6.5,24.511,2.5,294.35,21,7.359,40.0,47.5,1.016,1.133,0.634,0.613,0.0,6,40,0
7.604,20.864,3.2,360.16,18,11.618,41.9,41.9,1.018,1.112,0.736,0.673,0.0,6,31,0
7.478,22.622,3.2,378.17,20,12.199,51.6,35.5,1.011,1.092,0.793,0.73,0.0,12,31,0
6.0,24.708,0.0,283.45,20,7.268,43.6,48.7,0.982,1.114,0.696,0.634,5.1,16,39,0
7.585,22.929,3.1,377.19,20,11.787,50.0,37.5,1.004,1.098,0.786,0.717,3.1,12,32,0
6.167,41.555,1.5,522.12,35,7.793,37.3,47.8,1.009,1.129,0.66,0.62,4.5,12,67,0
6.0,44.894,1.4,546.19,37,7.482,38.4,49.3,1.0,1.127,0.661,0.615,4.1,12,73,0
6.108,39.313,1.6,492.09,33,7.811,38.1,47.6,1.006,1.127,0.667,0.624,4.8,12,63,0
7.222,46.42,1.3,560.22,38,7.371,38.2,50.0,0.999,1.127,0.658,0.611,3.9,12,76,0
7.137,43.367,1.4,532.16,36,7.602,38.6,48.6,1.002,1.126,0.665,0.62,4.3,12,70,0
6.187,39.281,1.6,503.07,34,8.247,39.3,44.3,1.012,1.126,0.68,0.644,6.6,17,61,0
6.276,40.84,1.5,506.12,34,7.668,37.9,48.5,1.004,1.128,0.663,0.619,4.5,12,66,0
6.658,42.367,1.4,520.15,35,7.538,37.7,49.3,1.002,1.128,0.66,0.614,4.3,12,69,0
6.268,40.028,1.6,508.09,34,7.939,37.5,46.9,1.011,1.128,0.663,0.625,4.7,12,64,0
6.921,44.894,1.4,546.19,37,7.482,38.4,49.3,1.0,1.127,0.661,0.615,4.1,12,73,0
7.066,40.808,1.6,517.1,35,8.08,39.1,45.3,1.009,1.126,0.676,0.638,6.3,17,64,0
6.745,46.42,1.3,560.22,38,7.371,38.2,50.0,0.999,1.127,0.658,0.611,3.9,12,76,0
6.854,46.367,1.4,568.19,39,7.783,41.1,46.6,1.002,1.121,0.678,0.635,4.1,18,73,0
6.745,44.894,1.4,546.19,37,7.482,38.4,49.3,1.0,1.127,0.661,0.615,4.1,12,73,0
6.046,46.367,1.4,568.19,39,7.783,41.1,46.6,1.002,1.121,0.678,0.635,4.1,18,73,0
7.886,41.608,1.4,514.15,34,7.345,34.3,51.4,1.005,1.135,0.639,0.594,4.3,6,70,0
7.797,41.608,1.4,514.15,34,7.345,34.3,51.4,1.005,1.135,0.639,0.594,4.3,6,70,0
8.121,43.135,1.4,528.18,35,7.235,34.2,52.1,1.003,1.135,0.637,0.591,4.1,6,73,0
7.602,42.691,1.4,511.73,35,7.01,34.2,52.1,1.006,1.141,0.624,0.585,4.1,6,73,0
7.602,42.164,1.4,509.71,35,7.179,35.2,50.7,1.008,1.139,0.631,0.594,4.2,6,71,0
6.939,44.503,1.3,521.77,36,6.865,35.5,52.6,1.0,1.138,0.63,0.586,3.9,6,76,0
7.699,43.074,2.7,529.72,36,7.256,34.2,50.7,1.013,1.145,0.624,0.59,4.1,6,73,0
7.569,42.547,2.8,527.7,36,7.432,35.2,49.3,1.015,1.144,0.63,0.599,4.2,6,71,0
7.347,44.886,2.6,539.76,37,7.102,35.5,51.3,1.007,1.142,0.629,0.591,3.9,6,76,0
7.092,43.074,2.7,529.72,36,7.256,34.2,50.7,1.013,1.145,0.624,0.59,4.1,6,73,0
7.646,42.608,1.4,526.16,35,7.411,35.2,50.7,1.005,1.133,0.644,0.6,4.2,6,71,0
7.824,41.894,1.4,510.16,34,7.288,35.7,51.4,1.001,1.132,0.647,0.598,4.3,6,70,0
5.615,41.894,1.4,510.16,34,7.288,35.7,51.4,1.001,1.132,0.647,0.598,4.3,6,70,0
6.983,37.533,1.6,471.07,31,7.598,35.5,50.0,1.008,1.131,0.649,0.605,3.2,6,62,0
6.721,40.587,1.5,499.13,33,7.34,35.3,51.5,1.004,1.132,0.643,0.597,2.9,6,68,0
8.62,44.848,4.2,584.14,39,8.227,38.0,45.1,1.021,1.137,0.66,0.632,4.2,12,71,0
8.602,46.474,1.3,552.25,37,6.991,35.4,53.2,0.996,1.133,0.64,0.588,3.8,6,79,0
8.456,44.947,1.3,538.22,36,7.082,35.5,52.6,0.997,1.133,0.642,0.591,3.9,6,76,0
9.523,49.714,3.8,622.24,42,7.778,38.8,47.5,1.01,1.135,0.659,0.621,3.8,12,80,0
7.569,41.082,1.5,512.13,34,7.531,35.3,50.0,1.007,1.133,0.647,0.604,4.4,6,68,0
7.921,40.082,1.5,500.12,33,7.464,34.3,50.7,1.007,1.135,0.641,0.598,4.5,6,67,0
7.854,41.231,6.0,554.09,36,8.27,34.3,46.3,1.03,1.15,0.639,0.615,4.5,6,67,0
7.77,40.773,4.8,541.06,36,8.588,39.7,42.9,1.026,1.133,0.672,0.647,3.2,12,63,0
7.328,37.533,1.6,471.07,31,7.598,35.5,50.0,1.008,1.131,0.649,0.605,3.2,6,62,0
7.252,36.007,1.7,457.04,30,7.746,35.6,49.2,1.01,1.131,0.652,0.61,3.4,6,59,0
4.508,29.135,2.1,326.44,24,6.946,44.7,48.9,0.995,1.122,0.659,0.62,0.0,12,47,0
6.796,48.481,0.0,536.79,39,6.467,37.3,53.0,0.993,1.134,0.627,0.584,4.8,12,83,0
5.38,22.94,0.0,265.34,20,7.581,45.7,42.9,0.998,1.12,0.687,0.655,8.6,12,35,0
6.0,37.4,1.9,556.37,33,10.303,48.1,38.9,1.014,1.103,0.736,0.693,0.0,18,54,0
9.796,38.062,0.0,482.48,36,8.935,48.1,33.3,1.029,1.114,0.705,0.705,7.4,24,54,0
9.721,34.055,2.1,481.31,31,10.027,50.0,35.4,1.024,1.101,0.728,0.709,0.0,18,48,0
6.47,22.25,3.0,316.22,19,9.582,45.5,42.4,0.995,1.116,0.725,0.674,9.1,16,33,0
5.745,25.816,2.3,311.46,21,7.243,37.2,51.2,1.002,1.134,0.648,0.6,2.3,6,43,0
5.699,23.859,6.1,489.11,20,14.822,45.5,39.4,0.992,1.104,0.846,0.723,9.1,16,33,0
5.699,22.542,3.0,363.22,19,11.007,45.5,42.4,0.99,1.112,0.765,0.683,9.1,16,33,0
5.301,25.816,2.3,311.46,21,7.243,37.2,51.2,1.002,1.134,0.648,0.6,2.3,6,43,0
5.699,21.225,0.0,237.33,18,7.192,45.5,45.5,0.988,1.121,0.684,0.643,9.1,16,33,0
8.721,23.632,0.0,284.41,20,7.9,44.4,44.4,0.994,1.112,0.707,0.656,5.6,16,36,0
8.77,20.889,3.4,319.24,18,11.008,48.3,37.9,0.997,1.098,0.787,0.72,6.9,16,29,0
7.194,22.918,0.0,268.41,19,7.669,45.7,45.7,0.985,1.109,0.714,0.655,5.7,16,35,0
8.0,21.391,0.0,254.38,18,7.949,46.9,43.8,0.987,1.106,0.726,0.668,6.3,16,32,0
4.611,34.631,0.0,417.57,29,7.457,39.3,48.2,1.005,1.123,0.658,0.618,1.8,12,56,0
5.456,33.932,1.9,437.98,29,8.264,39.6,45.3,1.014,1.121,0.678,0.64,1.9,12,53,0
4.013,33.104,0.0,403.54,28,7.614,39.6,47.2,1.008,1.122,0.662,0.625,1.9,12,53,0
7.229,33.541,0.0,367.53,27,6.563,41.1,51.8,0.99,1.124,0.643,0.599,1.8,12,56,0
4.337,33.188,1.9,366.51,27,6.787,44.4,50.0,0.991,1.122,0.658,0.615,0.0,12,54,0
4.474,29.652,4.7,366.38,27,8.52,51.2,37.2,1.022,1.117,0.7,0.69,0.0,18,43,0
7.843,24.455,2.9,391.22,21,11.178,48.6,40.0,1.0,1.101,0.769,0.699,2.9,12,35,0
8.125,25.138,0.0,295.43,21,7.774,47.4,44.7,0.989,1.104,0.716,0.662,2.6,17,38,0
5.155,30.364,0.0,318.5,24,6.37,44.0,52.0,0.976,1.12,0.663,0.607,4.0,12,50,0
6.967,24.831,0.0,296.41,21,8.011,48.6,43.2,0.995,1.099,0.72,0.671,0.0,17,37,0
5.248,26.698,0.0,292.4,22,6.962,47.6,47.6,0.988,1.109,0.679,0.636,0.0,12,42,0
7.939,19.085,0.0,225.26,17,8.045,50.0,39.3,1.006,1.107,0.704,0.682,3.6,16,28,0
4.387,29.849,2.1,342.44,25,7.134,43.8,47.9,1.002,1.124,0.655,0.622,0.0,12,48,0
5.222,53.04,0.0,575.87,42,6.328,38.5,53.8,0.988,1.131,0.63,0.583,3.3,12,91,0
8.572,20.424,0.0,225.31,17,7.041,46.9,46.9,0.988,1.113,0.681,0.638,3.1,12,32,0
6.752,24.662,2.6,283.38,21,7.266,43.6,46.2,0.997,1.132,0.668,0.632,7.7,16,39,0
6.824,23.644,0.0,264.34,20,7.343,50.0,44.4,0.992,1.104,0.694,0.657,0.0,12,36,0
8.215,23.304,0.0,282.38,20,8.305,50.0,41.2,0.998,1.095,0.732,0.685,0.0,17,34,0
8.215,22.391,0.0,266.39,19,8.072,48.5,42.4,0.987,1.103,0.734,0.679,6.1,17,33,0
7.316,26.189,2.4,297.41,22,7.081,42.9,47.6,0.995,1.133,0.662,0.624,7.1,16,42,0
4.092,30.037,2.1,356.42,26,7.583,44.7,44.7,1.012,1.122,0.662,0.639,0.0,12,47,0
7.538,47.067,1.3,541.2,38,6.851,38.0,51.9,0.994,1.132,0.642,0.596,5.1,12,79,0
7.921,23.665,0.0,267.35,20,7.226,45.9,45.9,0.995,1.115,0.676,0.64,2.7,16,37,0
10.155,35.52,1.8,428.49,31,7.652,42.9,44.6,1.017,1.125,0.653,0.634,0.0,12,56,0
6.076,21.269,2.9,252.31,18,7.209,40.0,48.6,1.013,1.134,0.633,0.608,0.0,6,35,0
6.633,19.742,3.1,238.28,17,7.446,40.6,46.9,1.018,1.134,0.637,0.617,0.0,6,32,0
7.126,21.095,3.6,364.14,19,13.005,53.6,32.1,1.017,1.087,0.815,0.753,0.0,12,28,0
6.553,39.281,1.6,503.07,34,8.247,39.3,44.3,1.012,1.126,0.68,0.644,6.6,17,61,0
5.721,37.786,1.7,478.06,32,7.968,38.3,46.7,1.008,1.127,0.671,0.63,5.0,12,60,0
6.721,47.894,1.3,582.22,40,7.661,40.8,47.4,1.0,1.122,0.675,0.63,3.9,18,76,0
7.888,41.608,1.4,514.15,34,7.345,34.3,51.4,1.005,1.135,0.639,0.594,4.3,6,70,0
8.285,42.608,1.4,526.16,35,7.411,35.2,50.7,1.005,1.133,0.644,0.6,4.2,6,71,0
8.431,40.587,1.5,499.13,33,7.34,35.3,51.5,1.004,1.132,0.643,0.597,2.9,6,68,0
7.665,44.135,1.4,540.19,36,7.3,35.1,51.4,1.003,1.134,0.642,0.596,4.1,6,74,0
7.699,42.829,1.4,529.16,35,7.349,34.7,51.4,1.007,1.133,0.638,0.595,2.8,6,72,0
6.444,44.894,1.4,546.19,37,7.482,38.4,49.3,1.0,1.127,0.661,0.615,4.1,12,73,0
6.222,40.84,1.5,506.12,34,7.668,37.9,48.5,1.004,1.128,0.663,0.619,4.5,12,66,0
6.347,37.786,1.7,478.06,32,7.968,38.3,46.7,1.008,1.127,0.671,0.63,5.0,12,60,0
7.796,46.42,1.3,560.22,38,7.371,38.2,50.0,0.999,1.127,0.658,0.611,3.9,12,76,0
7.337,37.007,1.7,469.05,31,7.817,36.7,48.3,1.01,1.129,0.657,0.617,3.3,6,60,0
8.553,45.947,1.3,550.23,37,7.146,36.4,51.9,0.997,1.131,0.647,0.597,3.9,6,77,0
7.268,48.481,0.0,536.79,39,6.467,37.3,53.0,0.993,1.134,0.627,0.584,4.8,12,83,0
5.097,34.347,2.1,528.31,31,11.006,50.0,35.4,1.021,1.098,0.755,0.716,0.0,18,48,0
5.745,10.725,0.0,138.13,10,8.633,43.8,37.5,1.04,1.117,0.665,0.67,0.0,6,16,0
7.523,48.916,3.7,574.76,41,7.009,37.8,50.0,1.007,1.146,0.627,0.597,4.9,12,82,0
6.0,25.776,0.0,328.55,21,8.88,48.6,43.2,0.981,1.083,0.785,0.697,0.0,17,37,0
4.699,46.843,1.3,527.75,38,6.597,37.5,52.5,0.997,1.137,0.625,0.586,3.8,12,80,0
6.056,40.028,1.6,508.09,34,7.939,37.5,46.9,1.011,1.128,0.663,0.625,4.7,12,64,0
4.237,29.321,7.1,368.37,27,8.771,52.4,35.7,1.027,1.123,0.704,0.698,0.0,18,42,0
6.842,44.886,2.6,539.76,37,7.102,35.5,51.3,1.007,1.142,0.629,0.591,3.9,6,76,0
7.244,40.082,1.5,500.12,33,7.464,34.3,50.7,1.007,1.135,0.641,0.598,4.5,6,67,0
6.0,49.533,0.0,652.76,46,9.325,45.7,34.3,1.024,1.112,0.727,0.708,8.6,34,70,0
4.752,33.526,7.7,422.45,30,8.124,44.2,42.3,1.029,1.142,0.654,0.645,0.0,12,52,0
6.301,26.665,0.0,309.46,22,7.548,46.3,46.3,0.987,1.106,0.706,0.65,2.4,17,41,0
8.456,46.097,5.3,592.19,39,7.792,35.5,48.7,1.018,1.146,0.64,0.607,3.9,6,76,0
5.441,24.665,0.0,279.36,21,7.352,47.4,44.7,0.995,1.112,0.684,0.649,2.6,16,38,0
5.53,21.612,0.0,251.3,19,7.853,50.0,40.6,1.002,1.107,0.703,0.675,3.1,16,32,0
6.699,24.778,2.7,297.8,21,8.049,48.6,43.2,0.995,1.107,0.714,0.67,2.7,16,37,0
5.014,68.071,0.0,761.06,56,6.795,41.1,50.0,0.994,1.125,0.648,0.608,3.6,23,112,0
5.569,24.093,0.0,299.5,19,7.487,35.0,52.5,0.994,1.123,0.671,0.602,2.5,5,40,0
6.796,28.434,0.0,323.42,24,7.187,44.4,46.7,0.998,1.117,0.666,0.632,2.2,16,45,0
5.703,24.334,2.7,281.35,21,7.604,48.6,43.2,1.0,1.118,0.689,0.658,2.7,16,37,0
6.328,24.976,2.7,342.25,21,9.25,48.6,43.2,0.993,1.105,0.727,0.675,2.7,16,37,0
6.097,24.665,0.0,279.36,21,7.352,47.4,44.7,0.995,1.112,0.684,0.649,2.6,16,38,0
5.493,24.778,2.7,297.8,21,8.049,48.6,43.2,0.995,1.107,0.714,0.67,2.7,16,37,0
5.873,24.976,2.7,342.25,21,9.25,48.6,43.2,0.993,1.105,0.727,0.675,2.7,16,37,0
5.264,23.139,0.0,265.33,20,7.581,48.6,42.9,0.998,1.109,0.693,0.661,2.9,16,35,0
5.666,23.139,0.0,265.33,20,7.581,48.6,42.9,0.998,1.109,0.693,0.661,2.9,16,35,0
6.796,24.665,0.0,279.36,21,7.352,47.4,44.7,0.995,1.112,0.684,0.649,2.6,16,38,0
5.463,25.477,0.0,277.39,21,6.935,47.5,47.5,0.985,1.111,0.683,0.637,2.5,16,40,0
5.66,24.334,2.7,281.35,21,7.604,48.6,43.2,1.0,1.118,0.689,0.658,2.7,16,37,0
5.553,25.267,2.7,389.25,21,10.52,48.6,43.2,0.988,1.101,0.762,0.683,2.7,16,37,0
6.086,23.139,0.0,265.33,20,7.581,48.6,42.9,0.998,1.109,0.693,0.661,2.9,16,35,0
5.638,23.951,0.0,263.36,20,7.118,48.6,45.9,0.986,1.109,0.691,0.647,2.7,16,37,0
6.092,26.192,0.0,293.39,22,7.156,46.3,46.3,0.993,1.114,0.677,0.639,2.4,16,41,0
6.886,25.477,0.0,277.39,21,6.935,47.5,47.5,0.985,1.111,0.683,0.637,2.5,16,40,0
4.523,29.878,4.0,366.47,26,7.329,34.0,48.0,1.016,1.161,0.62,0.598,12.0,6,50,0
6.276,28.434,0.0,323.42,24,7.187,44.4,46.7,0.998,1.117,0.666,0.632,2.2,16,45,0
7.097,24.665,0.0,279.36,21,7.352,47.4,44.7,0.995,1.112,0.684,0.649,2.6,16,38,0
6.77,25.267,2.7,389.25,21,10.52,48.6,43.2,0.988,1.101,0.762,0.683,2.7,16,37,0
7.155,26.192,0.0,293.39,22,7.156,46.3,46.3,0.993,1.114,0.677,0.639,2.4,16,41,0
5.5,22.708,3.1,380.27,19,11.883,46.9,40.6,0.989,1.098,0.809,0.71,6.3,16,32,0
5.611,22.416,3.1,333.27,19,10.415,46.9,40.6,0.994,1.102,0.768,0.7,6.3,16,32,0
5.66,27.491,2.4,388.36,23,9.472,43.9,43.9,0.992,1.112,0.734,0.671,7.3,16,41,0
8.301,27.629,2.2,315.42,23,7.009,42.2,48.9,1.0,1.129,0.65,0.614,2.2,12,45,0
6.532,24.708,0.0,283.45,20,7.268,43.6,48.7,0.982,1.114,0.696,0.634,5.1,16,39,0
5.699,27.783,2.4,435.36,23,10.619,43.9,43.9,0.988,1.109,0.766,0.678,7.3,16,41,0
4.796,25.773,0.0,290.4,22,7.26,45.0,45.0,0.99,1.122,0.684,0.644,10.0,12,40,0
5.987,26.101,0.0,277.46,20,5.903,34.0,57.4,0.984,1.142,0.609,0.555,6.4,0,47,0
6.745,34.025,0.0,394.52,29,7.173,40.0,47.3,1.002,1.131,0.65,0.619,7.3,11,55,0
6.092,24.52,0.0,271.4,20,6.62,39.0,51.2,0.99,1.133,0.642,0.598,7.3,6,41,0
9.569,34.055,2.1,481.31,31,10.027,50.0,35.4,1.024,1.101,0.728,0.709,0.0,18,48,0
9.959,34.055,2.1,481.31,31,10.027,50.0,35.4,1.024,1.101,0.728,0.709,0.0,18,48,0
4.959,26.26,2.3,327.91,21,7.626,37.2,51.2,0.997,1.124,0.67,0.611,2.3,6,43,0
5.0,26.458,2.3,372.36,21,8.66,37.2,51.2,0.995,1.122,0.681,0.615,2.3,6,43,0
9.886,34.055,2.1,481.31,31,10.027,50.0,35.4,1.024,1.101,0.728,0.709,0.0,18,48,0
7.824,22.542,3.0,363.22,19,11.007,45.5,42.4,0.99,1.112,0.765,0.683,9.1,16,33,0
5.699,21.225,0.0,237.33,18,7.192,45.5,45.5,0.988,1.121,0.684,0.643,9.1,16,33,0
6.616,22.752,0.0,251.36,19,6.982,44.4,47.2,0.986,1.122,0.676,0.632,8.3,16,36,0
