pXC50,RBF,nBM,nCsp2,RBN,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.
8.075,0.103,11,10,7,7.594,35.4,47.7,1.016,1.134,0.639,0.61,493.64,4.6
6.818,0.097,10,8,7,7.401,33.3,49.3,1.015,1.139,0.627,0.597,510.68,5.8
6.971,0.097,12,10,7,7.72,36.2,46.4,1.017,1.133,0.645,0.618,532.68,5.8
7.616,0.055,8,8,3,7.556,36.5,48.1,1.008,1.137,0.647,0.613,392.93,7.7
5.958,0.063,8,8,4,6.567,36.1,52.5,0.996,1.138,0.624,0.584,400.58,6.6
7.198,0.067,10,11,4,7.255,38.6,47.4,1.01,1.132,0.639,0.613,413.52,5.3
7.49,0.053,9,10,3,6.843,38.9,50.0,0.998,1.132,0.639,0.602,369.51,5.6
6.876,0.099,11,10,7,7.466,35.3,48.5,1.014,1.134,0.636,0.605,507.67,4.4
7.594,0.096,11,8,7,7.653,34.3,47.1,1.018,1.138,0.636,0.61,535.69,7.1
6.712,0.069,9,10,4,7.009,38.2,49.1,1.004,1.133,0.636,0.604,385.51,5.5
6.64,0.063,9,10,4,6.626,38.3,51.7,0.994,1.132,0.634,0.593,397.57,5.0
7.025,0.057,8,8,3,6.869,38.0,50.0,1.0,1.134,0.635,0.6,343.47,6.0
7.069,0.05,9,10,3,6.729,38.6,50.9,0.996,1.132,0.636,0.597,383.54,5.3
7.527,0.07,10,11,4,7.398,38.9,46.3,1.012,1.132,0.642,0.619,399.49,5.6
7.771,0.095,10,8,7,7.165,33.8,50.7,1.008,1.138,0.628,0.591,508.71,5.6
7.238,0.1,10,8,7,7.666,34.3,47.8,1.021,1.141,0.63,0.605,513.65,4.5
6.366,0.085,16,17,6,7.308,41.8,46.3,1.005,1.125,0.656,0.627,489.62,4.5
5.699,0.099,11,8,7,7.657,35.3,47.1,1.017,1.135,0.64,0.613,520.67,5.9
7.271,0.051,10,11,3,7.099,39.3,48.2,1.004,1.131,0.642,0.612,397.52,5.4
6.226,0.051,9,8,3,7.099,37.5,48.2,1.004,1.137,0.639,0.608,397.53,8.9
7.554,0.104,10,8,8,7.064,33.8,51.4,1.006,1.138,0.626,0.588,522.74,5.4
7.622,0.104,10,8,8,7.064,33.8,51.4,1.006,1.138,0.626,0.588,522.74,5.4
8.114,0.103,11,8,8,7.303,34.7,49.3,1.009,1.137,0.634,0.6,547.75,6.7
7.566,0.096,10,8,7,7.281,34.3,50.0,1.012,1.136,0.629,0.595,509.69,4.3
7.799,0.103,11,8,8,7.303,34.7,49.3,1.009,1.137,0.634,0.6,547.75,6.7
6.437,0.051,8,8,3,6.634,37.5,51.8,0.996,1.134,0.63,0.59,371.53,5.4
5.0,0.088,18,15,5,8.564,40.7,38.9,1.039,1.148,0.653,0.655,462.47,7.4
5.699,0.096,11,9,8,7.26,33.8,50.0,1.013,1.138,0.625,0.593,580.78,5.0
6.857,0.062,8,8,4,6.445,37.1,53.2,0.993,1.135,0.626,0.582,399.59,4.8
7.519,0.105,12,10,8,7.476,35.6,47.9,1.011,1.136,0.641,0.609,545.73,6.8
7.888,0.095,11,8,7,7.531,35.2,47.9,1.014,1.135,0.638,0.608,534.7,5.6
7.262,0.099,11,8,7,7.657,35.3,47.1,1.017,1.135,0.64,0.613,520.67,5.9
7.722,0.056,9,10,3,7.676,39.2,45.1,1.02,1.145,0.64,0.623,391.46,5.9
7.131,0.091,11,8,7,7.415,35.1,48.6,1.012,1.135,0.636,0.604,548.73,5.4
7.702,0.092,10,8,7,7.174,34.2,50.7,1.01,1.136,0.627,0.592,523.72,4.1
6.735,0.108,11,10,7,7.736,35.5,46.8,1.019,1.134,0.641,0.615,479.61,4.8
6.312,0.092,10,8,7,7.174,34.2,50.7,1.01,1.136,0.627,0.592,523.72,4.1
6.515,0.104,10,8,7,7.525,34.4,48.4,1.016,1.136,0.633,0.604,481.63,4.7
6.051,0.157,15,12,8,7.87,36.0,46.0,1.017,1.132,0.651,0.622,393.51,6.0
4.979,0.158,14,13,6,8.603,40.5,37.8,1.04,1.128,0.657,0.662,318.31,5.4
4.979,0.158,15,15,6,10.627,43.2,35.1,1.037,1.118,0.708,0.697,393.21,5.4
7.613,0.056,9,10,3,6.97,39.2,49.0,1.0,1.131,0.642,0.608,355.48,5.9
6.886,0.068,11,10,4,7.402,37.5,46.4,1.014,1.136,0.637,0.615,414.51,7.1
7.762,0.059,9,10,3,7.114,39.6,47.9,1.003,1.131,0.646,0.614,341.45,6.3
6.509,0.052,8,8,3,6.773,36.4,50.9,1.0,1.138,0.628,0.592,372.52,7.3
7.671,0.105,12,10,8,7.476,35.6,47.9,1.011,1.136,0.641,0.609,545.73,6.8
7.855,0.101,10,8,7,7.525,33.3,48.5,1.017,1.139,0.629,0.601,496.65,6.1
7.886,0.093,11,8,7,7.413,34.7,48.6,1.011,1.137,0.636,0.604,533.72,6.9
7.162,0.067,11,10,4,7.607,36.8,47.4,1.011,1.131,0.65,0.617,433.58,5.3
6.62,0.067,9,10,4,6.729,38.6,50.9,0.996,1.132,0.636,0.597,383.54,5.3
7.004,0.056,9,10,3,8.321,39.2,45.1,1.013,1.129,0.676,0.64,424.36,5.9
6.79,0.065,9,10,4,6.82,39.7,50.0,0.996,1.13,0.643,0.604,395.55,5.2
6.824,0.087,10,11,6,6.903,37.9,50.0,1.003,1.133,0.632,0.599,455.61,4.5
6.889,0.049,10,10,3,7.044,39.7,48.3,1.0,1.131,0.647,0.613,408.55,6.9
6.539,0.068,9,9,4,7.17,37.5,48.2,1.01,1.134,0.633,0.606,401.51,5.4
6.732,0.052,8,8,3,6.773,36.4,50.9,1.0,1.138,0.628,0.592,372.52,7.3
6.429,0.063,10,10,4,6.928,39.3,49.2,0.998,1.131,0.644,0.608,422.58,6.6
7.606,0.1,10,8,7,7.398,34.3,49.3,1.014,1.136,0.631,0.599,495.66,4.5
6.481,0.035,8,8,2,6.991,37.7,49.1,1.002,1.136,0.637,0.604,370.5,7.5
5.985,0.096,10,8,7,8.052,34.3,45.7,1.034,1.151,0.626,0.612,563.66,4.3
7.509,0.068,9,9,5,7.053,36.2,49.3,1.009,1.137,0.626,0.598,486.63,5.8
7.444,0.067,10,11,4,7.255,38.6,47.4,1.01,1.132,0.639,0.613,413.52,5.3
7.756,0.089,10,8,7,7.076,34.2,51.3,1.008,1.136,0.626,0.589,537.75,3.9
6.851,0.096,10,8,7,7.538,34.3,48.6,1.019,1.141,0.628,0.601,527.68,4.3
7.796,0.092,10,8,7,7.174,34.2,50.7,1.01,1.136,0.627,0.592,523.72,4.1
6.772,0.065,9,9,4,7.043,37.3,49.2,1.007,1.135,0.63,0.601,415.54,5.1
6.52,0.157,16,16,14,6.905,37.2,50.0,1.003,1.135,0.63,0.598,593.8,5.8
7.458,0.066,10,8,4,7.527,34.5,48.3,1.012,1.137,0.639,0.606,436.59,6.9
5.963,0.171,10,7,7,8.351,34.1,43.9,1.032,1.134,0.646,0.628,342.41,4.9
7.585,0.096,11,8,7,7.653,34.3,47.1,1.018,1.138,0.636,0.61,535.69,7.1
5.523,0.1,19,17,7,7.114,40.3,47.8,1.001,1.129,0.649,0.617,476.63,6.0
7.721,0.074,9,9,5,6.825,35.4,50.8,1.003,1.141,0.623,0.59,443.61,7.7
6.793,0.139,9,9,10,6.567,34.3,52.9,0.999,1.142,0.615,0.577,459.66,7.1
6.777,0.07,9,9,5,6.73,35.3,51.5,1.001,1.141,0.622,0.586,457.64,7.4
7.114,0.068,9,9,5,6.643,35.2,52.1,0.999,1.14,0.62,0.583,471.67,7.0
5.811,0.059,8,8,3,6.764,36.7,51.0,1.0,1.137,0.628,0.592,331.46,6.1
7.824,0.069,9,9,5,6.618,36.2,52.2,0.998,1.137,0.624,0.585,456.65,5.8
6.783,0.069,9,9,5,6.618,36.2,52.2,0.998,1.137,0.624,0.585,456.65,5.8
7.081,0.071,9,9,5,6.845,35.8,50.7,1.004,1.138,0.623,0.59,458.62,6.0
7.678,0.073,9,9,6,6.301,36.7,54.4,0.991,1.135,0.621,0.575,497.75,3.8
7.237,0.069,9,9,5,6.618,36.2,52.2,0.998,1.137,0.624,0.585,456.65,5.8
6.955,0.071,9,9,5,6.845,35.8,50.7,1.004,1.138,0.623,0.59,458.62,6.0
7.523,0.068,9,9,5,6.643,35.2,52.1,0.999,1.14,0.62,0.583,471.67,7.0
6.039,0.073,9,9,6,6.301,36.7,54.4,0.991,1.135,0.621,0.575,497.75,3.8
7.013,0.05,8,7,3,7.746,35.1,45.6,1.029,1.16,0.62,0.609,441.51,8.8
6.708,0.054,8,8,3,6.745,37.7,50.9,0.998,1.134,0.632,0.595,357.5,5.7
7.194,0.072,9,9,5,6.706,36.4,51.5,1.0,1.137,0.625,0.589,442.62,6.1
7.959,0.076,9,9,5,7.073,34.9,49.2,1.01,1.142,0.622,0.596,445.58,7.9
4.0,0.201,17,17,36,6.599,32.6,53.4,1.006,1.144,0.601,0.569,1174.62,5.1
6.86,0.078,9,9,5,6.719,35.5,51.6,1.001,1.139,0.621,0.586,416.58,6.5
7.237,0.078,9,9,5,6.993,33.9,50.0,1.01,1.144,0.616,0.589,433.57,8.1
7.222,0.081,10,11,5,7.263,37.3,47.5,1.011,1.136,0.634,0.61,428.54,6.8
6.793,0.13,9,9,9,6.651,34.3,52.2,1.001,1.143,0.616,0.58,445.63,7.5
4.059,0.203,17,17,37,6.567,32.6,53.6,1.006,1.144,0.601,0.568,1188.65,5.0
7.77,0.075,10,11,5,6.884,37.5,50.0,1.001,1.135,0.633,0.599,440.6,6.3
8.046,0.077,10,11,5,7.138,37.1,48.4,1.009,1.136,0.632,0.605,442.57,6.5
6.903,0.072,9,9,5,7.509,34.8,47.0,1.023,1.152,0.619,0.603,495.59,7.6
4.0,0.196,15,15,30,6.496,32.9,53.9,1.003,1.144,0.603,0.567,987.4,5.3
7.638,0.077,10,11,5,6.803,36.5,50.8,1.001,1.137,0.627,0.592,428.59,6.3
7.921,0.075,16,17,5,7.228,40.6,46.9,1.003,1.129,0.652,0.622,462.6,6.3
7.585,0.064,9,9,5,6.689,34.7,52.0,1.002,1.141,0.617,0.582,501.7,6.7
7.523,0.075,10,11,5,7.15,35.9,48.4,1.01,1.14,0.628,0.602,457.59,7.8
7.959,0.091,10,11,6,6.947,35.9,50.0,1.006,1.138,0.624,0.594,444.59,6.3
7.456,0.067,9,9,5,6.773,34.7,51.4,1.004,1.141,0.618,0.585,487.67,6.9
7.854,0.076,9,9,5,6.803,36.5,50.8,1.001,1.137,0.627,0.592,428.59,6.3
8.018,0.069,9,9,5,6.864,34.8,50.7,1.006,1.142,0.619,0.588,473.64,7.2
7.004,0.075,9,9,5,6.947,35.9,50.0,1.006,1.138,0.624,0.594,444.59,6.3
7.699,0.076,9,9,5,7.073,34.9,49.2,1.01,1.142,0.622,0.596,445.58,7.9
7.076,0.076,15,15,5,7.152,39.7,47.6,1.003,1.131,0.647,0.616,450.59,6.3
7.745,0.072,9,9,5,6.964,34.8,50.0,1.008,1.142,0.621,0.592,459.61,7.6
7.108,0.077,10,11,5,7.138,37.1,48.4,1.009,1.136,0.632,0.605,442.57,6.5
7.699,0.083,10,10,6,7.299,34.8,47.8,1.017,1.142,0.621,0.601,503.62,7.2
6.73,0.069,9,9,4,7.318,36.4,47.3,1.014,1.138,0.63,0.608,402.5,7.3
7.538,0.132,13,12,7,8.294,39.2,45.1,1.012,1.123,0.681,0.641,422.97,3.9
6.134,0.105,18,16,6,7.565,42.6,44.4,1.01,1.122,0.66,0.637,408.49,3.7
4.602,0.134,19,18,9,7.479,42.2,46.9,0.999,1.118,0.674,0.632,478.66,3.1
6.398,0.127,13,12,7,8.264,37.7,45.3,1.014,1.128,0.674,0.636,437.99,5.7
