pXC50,MW,nSK,nBO,nAT,nBT,nCsp3,nC,nHet,Sp,nH,SCBO
7.174,443.64,33,37,66,70,11,28,5,43.347,33,46.5
7.018,443.64,33,37,66,70,11,28,5,43.347,33,46.5
8.387,443.64,33,37,66,70,11,28,5,43.347,33,46.5
6.9,443.64,33,37,66,70,11,28,5,43.347,33,46.5
5.145,498.73,37,42,75,80,14,31,6,48.876,38,51.5
7.638,409.5,29,32,55,58,13,21,8,34.637,26,37.0
9.886,476.44,32,35,59,62,9,24,8,39.995,27,44.0
6.818,499.72,37,42,74,79,15,30,7,48.12,37,51.5
7.796,498.73,37,42,75,80,15,31,6,48.876,38,51.5
6.738,498.73,37,42,75,80,15,31,6,48.876,38,51.5
8.013,498.73,37,42,75,80,15,31,6,48.876,38,51.5
8.292,497.74,37,42,76,81,15,32,5,49.631,39,51.5
7.319,498.73,37,42,75,80,15,31,6,48.876,38,51.5
8.276,412.55,29,31,60,62,15,22,7,36.915,31,35.0
8.721,397.54,28,30,58,60,14,21,7,35.705,30,34.0
8.481,410.58,29,31,62,64,16,23,6,38.222,33,35.0
8.721,422.55,30,32,59,61,14,22,8,36.949,29,38.0
9.046,458.61,31,33,60,62,14,21,10,38.052,29,40.0
8.319,433.6,29,31,59,61,14,20,9,36.807,30,36.0
7.959,447.63,30,32,62,64,15,21,9,38.569,32,37.0
8.292,441.6,31,33,65,67,16,23,8,39.682,34,37.0
9.387,452.39,29,31,55,57,13,20,9,35.66,26,35.0
9.538,398.42,26,28,55,57,13,20,6,35.847,29,32.0
9.319,434.48,27,29,56,58,13,19,8,36.949,29,34.0
9.585,412.45,27,29,58,60,14,21,6,37.608,31,33.0
8.796,427.47,28,30,60,62,14,21,7,38.614,32,34.0
9.469,427.47,28,30,60,62,14,21,7,38.614,32,34.0
9.208,455.53,30,32,66,68,16,23,7,42.137,36,36.0
9.495,399.41,26,28,54,56,12,19,7,35.091,28,32.0
7.799,358.59,26,28,60,62,14,21,5,36.898,34,32.0
8.796,393.03,27,29,60,62,14,21,6,37.756,33,33.0
8.305,393.03,27,29,60,62,14,21,6,37.756,33,33.0
7.883,393.03,27,29,60,62,14,21,6,37.756,33,33.0
8.268,427.47,28,30,60,62,14,21,7,38.614,32,34.0
9.18,427.47,28,30,60,62,14,21,7,38.614,32,34.0
8.481,427.47,28,30,60,62,14,21,7,38.614,32,34.0
9.357,427.47,28,30,60,62,14,21,7,38.614,32,34.0
8.732,333.92,22,25,42,45,7,17,5,29.375,20,30.5
6.07,299.48,21,24,42,45,7,17,4,28.517,21,29.5
6.39,317.47,22,25,42,45,7,17,5,28.455,20,30.5
5.896,451.67,33,36,70,73,16,27,6,44.324,37,44.0
7.131,433.6,32,36,63,67,11,26,6,41.04,31,45.0
6.071,354.5,26,28,52,54,8,20,6,33.307,26,35.0
9.854,462.48,30,33,55,58,8,23,7,38.972,25,42.0
9.208,446.41,30,33,55,58,8,23,7,37.779,25,42.0
8.959,511.22,33,36,68,71,15,24,9,45.267,35,43.5
9.42,512.21,33,36,67,70,15,23,10,44.512,34,43.5
8.699,550.85,39,43,81,85,18,30,9,52.296,42,52.0
8.456,548.83,39,44,79,84,18,30,9,51.535,40,53.0
8.824,536.82,38,42,78,82,17,29,9,50.535,40,51.0
9.137,522.79,37,41,75,79,16,28,9,48.773,38,50.0
8.824,526.84,36,40,74,78,15,28,8,49.171,38,50.0
8.824,526.84,36,40,74,78,15,28,8,49.171,38,50.0
9.102,476.78,32,35,68,71,15,24,8,44.41,36,42.5
7.387,552.88,38,42,78,82,15,30,8,51.932,40,52.5
9.143,494.77,33,36,68,71,15,24,9,44.347,35,43.5
9.108,506.81,34,37,72,75,16,25,9,46.625,38,44.5
9.022,511.22,33,36,68,71,15,24,9,45.267,35,43.5
9.167,511.22,33,36,68,71,15,24,9,45.267,35,43.5
9.051,490.81,33,36,71,74,16,25,8,46.171,38,43.5
8.347,518.87,35,38,77,80,18,27,8,49.694,42,45.5
8.301,532.9,36,39,80,83,19,28,8,51.455,44,46.5
9.201,512.21,33,36,67,70,15,23,10,44.512,34,43.5
9.032,512.21,33,36,67,70,15,23,10,44.512,34,43.5
9.0,484.75,34,37,71,74,15,27,7,46.006,37,44.5
8.004,484.75,34,37,71,74,15,27,7,46.006,37,44.5
8.538,484.75,34,37,71,74,15,27,7,46.006,37,44.5
8.602,501.2,34,37,71,74,15,27,7,46.927,37,44.5
8.921,501.2,34,37,71,74,15,27,7,46.927,37,44.5
8.921,501.2,34,37,71,74,15,27,7,46.927,37,44.5
8.174,496.79,35,38,75,78,16,28,7,48.285,40,45.5
8.032,496.79,35,38,75,78,16,28,7,48.285,40,45.5
8.092,496.79,35,38,75,78,16,28,7,48.285,40,45.5
8.796,491.77,35,39,72,76,15,28,7,47.313,37,48.0
8.796,491.77,35,39,72,76,15,28,7,47.313,37,48.0
8.229,491.77,35,39,72,76,15,28,7,47.313,37,48.0
8.699,506.79,36,40,74,78,15,28,8,48.319,38,49.0
8.721,506.79,36,40,74,78,15,28,8,48.319,38,49.0
8.523,507.78,36,40,73,77,15,27,9,47.563,37,49.0
8.959,506.79,36,40,74,78,15,28,8,48.319,38,49.0
8.523,506.79,36,40,74,78,15,28,8,48.319,38,49.0
8.62,507.78,36,40,73,77,15,27,9,47.563,37,49.0
8.886,522.79,37,41,75,79,16,28,9,48.773,38,50.0
8.678,536.82,38,42,78,82,17,29,9,50.535,40,51.0
8.38,446.7,33,37,71,75,14,28,5,45.421,38,45.0
8.261,446.7,33,37,71,75,14,28,5,45.421,38,45.0
8.495,446.7,33,37,71,75,14,28,5,45.421,38,45.0
8.717,438.71,31,35,65,69,13,24,7,42.341,34,42.5
8.66,438.71,31,35,65,69,13,24,7,42.341,34,42.5
7.799,438.71,31,35,65,69,13,24,7,42.341,34,42.5
7.983,432.67,32,36,68,72,13,27,5,43.66,36,44.0
8.338,466.72,33,37,67,71,13,25,8,43.796,34,45.5
8.735,466.72,33,37,67,71,13,25,8,43.796,34,45.5
7.267,466.72,33,37,67,71,13,25,8,43.796,34,45.5
8.556,480.75,34,38,70,74,14,26,8,45.557,36,46.5
8.759,494.78,35,39,73,77,15,27,8,47.319,38,47.5
8.38,466.72,33,37,67,71,13,25,8,43.796,34,45.5
8.963,466.72,33,37,67,71,13,25,8,43.796,34,45.5
7.317,466.72,33,37,67,71,13,25,8,43.796,34,45.5
8.387,466.72,33,37,67,71,13,25,8,43.796,34,45.5
8.854,466.72,33,37,67,71,13,25,8,43.796,34,45.5
7.277,466.72,33,37,67,71,13,25,8,43.796,34,45.5
7.775,482.72,34,38,68,72,13,25,9,44.25,34,46.5
8.093,452.74,32,36,68,72,14,25,7,44.103,36,43.5
8.572,425.96,30,34,54,58,8,22,8,36.409,24,42.0
8.137,331.6,24,25,61,62,16,22,2,37.165,37,28.0
9.032,506.78,36,40,74,78,15,29,7,48.523,38,49.0
9.387,462.72,33,37,67,71,13,27,6,44.546,34,46.0
9.456,462.72,33,37,67,71,13,27,6,44.546,34,46.0
9.398,478.72,34,38,68,72,13,27,7,45.0,34,47.0
9.301,478.72,34,38,68,72,13,27,7,45.0,34,47.0
8.796,506.78,36,40,74,78,15,29,7,48.523,38,49.0
9.046,534.91,39,42,93,96,23,35,4,57.717,54,48.0
8.745,548.94,40,43,96,99,24,36,4,59.478,56,49.0
8.0,577.0,42,45,102,105,26,38,4,63.001,60,51.0
7.509,605.06,44,47,108,111,28,40,4,66.524,64,53.0
7.638,407.7,30,32,71,73,16,28,2,44.688,41,38.0
8.959,436.7,32,35,72,75,16,28,4,45.387,40,41.0
8.398,464.76,34,37,78,81,18,30,4,48.91,44,43.0
8.444,478.79,35,38,81,84,19,31,4,50.671,46,44.0
8.658,492.82,36,39,84,87,20,32,4,52.433,48,45.0
8.959,506.85,37,40,87,90,21,33,4,54.194,50,46.0
5.0,310.48,23,27,49,53,12,20,3,31.603,26,32.0
5.31,379.54,28,31,57,60,11,24,4,37.029,29,38.0
5.377,276.41,21,24,41,44,5,19,2,27.864,20,32.0
8.585,564.8,38,42,73,77,15,29,9,48.733,35,52.0
8.481,599.57,37,40,67,70,13,26,11,45.165,30,50.0
9.301,566.62,35,38,71,74,14,26,9,46.779,36,46.0
8.699,528.57,34,37,66,69,13,25,9,44.409,32,45.0
9.301,574.78,40,44,77,81,15,30,10,50.097,37,54.5
9.155,589.75,41,45,75,79,15,29,12,49.035,34,56.0
9.0,581.72,40,44,74,78,15,28,12,47.694,34,53.0
9.699,497.54,32,35,62,65,12,23,9,41.955,30,43.0
8.509,219.37,16,18,37,39,10,13,3,22.87,21,20.5
8.377,535.7,37,40,69,72,14,26,11,44.819,32,50.0
9.34,537.8,39,44,74,79,11,31,8,50.347,35,57.5
7.695,417.6,31,34,62,65,9,26,5,40.586,31,43.5
6.971,345.43,25,27,48,50,7,19,6,30.654,23,33.0
6.77,267.35,20,23,37,40,5,17,3,25.006,17,29.0
8.721,458.43,31,34,56,59,8,23,8,38.574,25,43.5
6.0,353.48,25,28,44,47,5,19,6,30.665,19,36.5
7.06,498.73,37,42,75,80,15,31,6,48.876,38,51.5
5.0,326.86,23,26,42,45,5,18,5,28.972,19,34.0
8.866,247.42,18,19,43,44,10,16,2,26.597,25,22.0
5.301,259.38,19,20,40,41,6,16,3,25.529,21,25.5
8.866,247.42,18,19,43,44,10,16,2,26.597,25,22.0
9.796,387.95,27,29,53,55,8,21,6,34.921,26,36.0
5.0,310.41,23,26,42,45,5,18,5,28.052,19,34.0
5.772,320.48,24,27,48,51,7,20,4,31.637,24,35.0
5.0,360.42,26,29,45,48,6,19,7,29.688,19,37.0
6.903,371.29,19,20,41,42,8,16,3,28.495,22,24.0
8.584,247.42,18,19,43,44,10,16,2,26.597,25,22.0
5.0,322.45,24,27,46,49,6,19,5,30.33,22,35.0
7.34,338.52,24,27,46,49,6,19,5,31.523,22,35.0
6.839,369.51,27,29,54,56,8,21,6,34.517,27,36.0
8.097,537.31,32,35,56,59,7,24,8,40.131,24,44.5
5.0,368.52,28,32,52,56,5,24,4,35.637,24,43.0
6.036,334.51,25,28,51,54,8,21,4,33.398,26,36.0
5.0,310.41,23,26,42,45,5,18,5,28.052,19,34.0
6.203,507.47,32,34,63,65,11,24,8,41.057,31,41.0
5.0,318.46,24,27,46,49,5,20,4,30.875,22,36.0
8.721,417.38,26,29,51,54,10,21,5,34.41,25,35.5
7.387,499.54,32,36,67,71,16,27,5,44.216,35,42.5
8.796,439.38,28,31,51,54,6,23,5,35.648,23,40.5
8.284,373.52,27,30,55,58,13,21,6,34.762,28,35.0
8.907,494.5,34,38,63,67,9,28,6,43.847,29,48.0
8.825,508.48,35,39,62,66,8,28,7,43.54,27,50.0
9.347,211.37,14,15,31,32,7,10,4,19.995,17,17.5
7.879,471.48,30,34,61,65,14,25,5,40.694,31,40.5
7.301,459.47,29,32,60,63,13,24,5,39.694,31,38.5
8.585,497.52,32,37,65,70,16,27,5,43.455,33,43.5
7.658,270.46,20,22,46,48,10,18,2,29.148,26,27.0
7.523,270.46,20,22,46,48,10,18,2,29.148,26,27.0
6.171,366.47,26,28,51,53,11,20,6,32.177,25,34.0
6.807,207.32,15,16,33,34,7,13,2,20.796,18,19.0
8.854,532.28,28,30,52,54,8,21,7,37.983,24,37.0
7.073,411.59,31,35,60,64,8,27,4,40.37,29,45.0
6.967,374.57,28,31,58,61,10,25,3,38.125,30,40.0
7.824,304.9,21,23,46,48,10,18,3,30.006,25,28.0
9.389,344.94,23,26,44,47,7,19,4,31.131,21,32.0
6.569,214.34,16,18,34,36,6,14,2,22.103,18,23.0
8.42,427.37,27,30,50,53,6,22,5,34.648,23,38.5
6.799,425.01,30,33,59,62,10,25,5,39.438,29,42.0
7.155,298.47,22,24,48,50,10,19,3,30.603,26,30.0
8.387,288.45,21,23,46,48,10,18,3,29.086,25,28.0
8.229,492.48,34,38,61,65,7,28,6,43.086,27,49.0
8.222,492.48,34,38,61,65,7,28,6,43.086,27,49.0
7.092,360.54,27,30,55,58,9,24,3,36.364,28,39.0
6.886,296.45,22,24,46,48,8,19,3,29.841,24,31.0
8.187,492.48,34,38,61,65,7,28,6,43.086,27,49.0
8.347,494.5,34,38,63,67,9,28,6,43.847,29,48.0
8.939,482.49,33,36,62,65,8,27,6,42.847,29,46.0
7.75,419.35,26,28,49,51,7,20,6,33.103,23,35.0
8.796,288.45,21,23,46,48,10,18,3,29.086,25,28.0
7.076,404.6,30,33,62,65,11,26,4,40.341,32,42.0
6.939,228.37,17,19,37,39,7,15,2,23.864,20,24.0
8.0,376.59,28,31,60,63,11,25,3,38.887,32,39.0
8.252,446.41,30,33,55,58,9,23,7,37.779,25,41.0
7.26,316.56,22,24,50,52,11,19,3,32.557,28,29.0
6.124,298.47,22,24,48,50,10,19,3,30.603,26,30.0
7.955,494.5,34,38,63,67,9,28,6,43.847,29,48.0
7.347,295.47,22,24,47,49,10,19,3,30.393,25,31.0
7.367,494.45,34,38,59,63,7,27,7,41.779,25,49.0
7.114,268.44,20,22,44,46,8,18,2,28.387,24,28.0
5.886,352.52,26,29,54,57,10,22,4,34.819,28,35.0
7.456,257.33,18,19,36,37,8,14,4,22.432,18,22.0
6.0,267.43,18,19,39,40,8,14,4,25.176,21,24.0
6.0,190.32,14,15,32,33,7,12,2,20.103,18,18.0
6.0,197.3,15,17,30,32,4,14,1,20.336,15,22.5
7.444,442.0,31,34,59,62,10,24,7,39.137,28,42.0
6.199,217.26,15,16,29,30,7,11,4,17.909,14,18.0
9.387,401.98,28,30,56,58,9,22,6,36.682,28,37.0
7.0,442.0,31,34,59,62,10,24,7,39.137,28,42.0
7.222,427.97,30,33,56,59,9,23,7,37.375,26,41.0
9.62,406.02,28,31,60,63,15,22,6,38.205,32,35.0
6.0,289.49,20,22,43,45,9,16,4,28.279,23,27.0
8.721,359.89,25,27,47,49,6,19,6,31.398,22,34.0
7.678,427.97,30,33,56,59,9,23,7,37.375,26,41.0
9.237,359.89,25,27,47,49,6,19,6,31.398,22,34.0
8.292,455.9,31,33,52,54,7,21,10,34.426,21,41.0
5.0,319.44,24,28,45,49,8,20,4,30.324,21,36.5
7.661,317.47,22,25,42,45,7,17,5,28.455,20,30.5
6.989,299.48,21,24,42,45,7,17,4,28.517,21,29.5
7.743,331.5,23,26,45,48,8,18,5,30.216,22,31.5
8.131,392.4,23,26,45,48,8,18,5,31.631,22,31.5
5.699,376.37,24,27,43,46,6,20,4,31.983,19,35.0
9.745,445.43,30,33,56,59,8,23,7,38.33,26,42.0
8.367,422.63,31,34,65,68,12,25,6,41.353,34,41.0
9.18,457.44,31,34,57,60,8,24,7,39.33,26,43.5
6.12,432.57,32,36,60,64,8,25,7,39.523,28,46.5
6.517,352.49,26,29,51,54,9,22,4,33.54,25,36.0
6.222,352.49,25,28,45,48,6,20,5,31.421,20,38.0
7.108,345.55,24,26,51,53,10,20,4,33.461,27,31.5
5.0,296.45,22,26,46,50,11,19,3,29.841,24,31.0
7.469,407.52,29,31,57,59,11,23,6,36.148,28,37.0
5.56,338.46,25,28,48,51,8,21,4,31.779,23,35.0
6.0,374.91,26,28,49,51,7,19,7,32.404,23,35.0
9.222,486.48,33,36,62,65,9,26,7,42.301,29,45.5
7.155,389.54,29,32,56,59,7,24,5,37.063,27,41.5
9.208,445.43,30,33,56,59,8,23,7,38.33,26,42.0
8.523,450.45,30,32,59,61,10,23,7,39.301,29,39.0
7.076,247.42,18,19,43,44,10,16,2,26.597,25,22.0
6.907,383.54,28,30,57,59,9,22,6,36.279,29,37.0
8.237,443.64,33,37,66,70,11,28,5,43.347,33,46.5
6.738,213.35,16,18,35,37,7,15,1,22.858,19,22.0
6.613,443.64,33,37,66,70,11,28,5,43.347,33,46.5
6.991,325.47,23,26,42,45,5,18,5,29.211,19,33.5
8.585,443.64,33,37,66,70,11,28,5,43.347,33,46.5
7.357,443.64,33,37,66,70,11,28,5,43.347,33,46.5
8.244,497.74,37,42,76,81,15,32,5,49.631,39,51.5
8.569,315.45,22,25,40,43,5,17,5,27.694,18,31.5
8.081,297.46,21,24,40,43,5,17,4,27.756,19,30.5
7.18,432.04,29,33,55,59,10,21,8,37.364,26,39.5
6.947,327.49,23,26,44,47,6,18,5,29.972,21,32.5
6.556,369.58,26,29,53,56,9,21,5,35.256,27,35.5
6.96,333.92,22,25,42,45,7,17,5,29.375,20,30.5
4.639,411.59,31,35,60,64,8,27,4,40.37,29,45.0
9.602,376.35,22,25,40,43,5,17,5,29.108,18,31.5
8.032,443.64,33,37,66,70,11,28,5,43.347,33,46.5
7.292,498.73,37,42,75,80,15,31,6,48.876,38,51.5
5.631,176.24,13,14,25,26,2,10,3,16.273,12,19.0
8.553,511.67,35,38,67,70,14,25,10,43.023,32,46.0
9.523,496.66,34,37,65,68,13,24,10,41.813,31,45.0
8.237,545.69,38,41,68,71,13,27,11,45.057,30,53.0
9.046,577.74,40,43,74,77,14,28,12,48.035,34,54.0
8.523,544.14,36,39,69,72,14,26,10,45.188,33,47.0
8.42,543.15,36,39,70,73,15,27,9,45.944,34,47.0
7.821,354.93,24,25,51,52,10,17,7,31.927,27,29.0
7.845,400.37,24,25,50,51,10,16,8,31.665,26,29.0
6.417,214.34,16,18,34,36,6,14,2,22.103,18,23.0
5.126,324.43,24,27,45,48,7,20,4,30.017,21,34.0
8.947,400.37,24,25,50,51,10,16,8,31.665,26,29.0
7.523,431.41,27,30,54,57,11,22,5,36.171,27,36.5
7.921,471.48,30,34,61,65,14,25,5,40.694,31,40.5
6.498,326.86,23,26,42,45,5,18,5,28.972,19,33.0
6.939,346.51,26,29,52,55,8,23,3,34.603,26,38.0
9.06,432.62,32,36,64,68,11,26,6,41.591,32,45.0
7.699,397.0,28,31,57,60,10,24,4,37.983,29,39.0
7.347,247.42,18,19,43,44,10,16,2,26.597,25,22.0
7.333,408.55,30,33,58,61,9,23,7,37.523,28,42.0
7.319,485.51,31,35,64,68,15,26,5,42.455,33,41.5
6.347,451.67,33,36,70,73,16,27,6,44.324,37,44.0
6.466,295.44,21,22,47,48,11,17,4,28.75,26,25.0
7.658,439.65,33,37,66,70,10,29,4,43.893,33,47.0
8.481,443.64,33,37,66,70,11,28,5,43.347,33,46.5
8.699,331.9,22,25,40,43,5,17,5,28.614,18,31.5
7.796,413.61,31,35,62,66,10,27,4,41.131,31,44.5
9.398,521.67,36,39,66,69,13,25,11,43.057,30,49.0
9.155,512.74,36,39,72,75,14,27,9,46.671,36,49.0
9.77,395.6,29,31,62,64,11,24,5,39.347,33,38.0
8.081,443.64,33,37,66,70,11,28,5,43.347,33,46.5
9.387,446.41,30,33,55,58,8,23,7,37.779,25,42.0
6.175,322.45,24,27,46,49,6,19,5,30.33,22,35.0
7.149,441.58,33,37,60,64,8,26,7,40.313,27,50.0
7.495,339.52,25,27,54,56,10,22,3,34.574,29,33.0
7.187,316.46,23,25,48,50,10,19,4,30.54,25,31.0
7.018,245.4,18,20,41,43,10,16,2,25.836,23,23.0
6.403,245.4,18,20,41,43,10,16,2,25.836,23,23.0
6.991,419.67,31,35,68,72,15,27,4,43.415,37,41.0
7.141,391.61,29,33,62,66,13,25,4,39.893,33,39.0
8.382,399.67,28,31,61,64,13,22,6,39.336,33,36.5
7.357,399.67,28,31,61,64,13,22,6,39.336,33,36.5
8.752,393.63,29,32,64,67,13,25,4,40.654,35,38.0
6.775,460.49,31,35,62,66,13,25,6,41.608,31,41.0
9.084,393.63,29,32,64,67,13,25,4,40.654,35,38.0
7.735,393.63,29,32,64,67,13,25,4,40.654,35,38.0
7.413,393.63,29,32,64,67,13,25,4,40.654,35,38.0
7.833,343.45,26,30,47,51,5,23,3,32.529,21,39.0
8.591,359.45,27,31,48,52,5,23,4,32.983,21,40.0
6.75,386.53,29,33,55,59,7,25,4,37.057,26,42.0
5.0,293.4,22,25,41,44,6,18,4,27.563,19,33.5
6.378,391.61,29,33,62,66,13,25,4,39.893,33,39.0
6.325,391.61,29,33,62,66,13,25,4,39.893,33,39.0
6.592,460.49,31,35,62,66,13,25,6,41.608,31,41.0
