pXC50,O.059,nROR,SpDiam_EA.ed.,ATS6s,Eig01_AEA.ed.,SpMax_AEA.ed.,nBnz,Mi,Eig01_EA.ed.,SM10_AEA.dm.,SpMax_EA.ed.,Eig01_EA,SM09_AEA.bo.,SpDiam_EA,SpMax_EA,SpDiam_EA.bo.,Chi1_EA.bo.,ATS8m,Eig01_AEA.ri.,SpMax_AEA.ri.,Eta_betaS,SpMin6_Bh.i.,Chi0_AEA.bo.,Chi0_AEA.dm.,Chi0_AEA.ed.,Chi0_AEA.ri.,Chi0_EA,Chi0_EA.bo.,Eig14_AEA.ri.,CATS2D_02_AA,Chi0_EA.ri.,SpMaxA_EA.ri.,SpMin5_Bh.m.,SpMin6_Bh.e.,Eig15_AEA.ri.,Eig01_EA.bo.,SM11_AEA.ri.,SpMax_EA.bo.,C.,X1Per,IDM,X1Kup,CID,X1,SpMin6_Bh.p.,IVDM,Psi_i_0,Eig15_EA,SM09_AEA.dm.,RDSQ,Chi1_AEA.bo.,Chi1_AEA.dm.,Chi1_AEA.ed.,Chi1_AEA.ri.,Chi1_EA,Eig15_EA.bo.,SpMaxA_AEA.ed.,S0K,HDcpx,X1Mad,MPC01,MWC01,nBO,SRW02,SM15_EA.ed.,SM14_EA.ed.,Eig14_AEA.ed.,BID,SpMaxA_AEA.bo.,nN.C.N.,SpMaxA_AEA.ri.,P_VSA_MR_5,ATS7m,GMTI,ATSC7m,SM13_EA.ed.,CATS2D_06_LL,LPRS,Psi_i_1,MPC07,Xu,IDDM,Eig06_EA.ri.,nSK,MPC08,P_VSA_e_3,Eig09_EA.ed.,SM04_AEA.ri.,ATS7v,Psi_e_0,SMTI,nRNHR,Eig11_EA.ed.,SM06_AEA.ri.,Eig02_EA.bo.,SM12_AEA.ri.,Eig11_AEA.ri.,SpAD_EA.ri.,SpDiam_AEA.ri.,X0,VvdwZAZ,CATS2D_05_LL,ATS7p,SpMin5_Bh.e.,X0sol,Psi_e_1,GGI10,GGI6,SpMax7_Bh.p.,N.067,Eig11_AEA.bo.,ATSC8s,C.027,SpMaxA_EA.bo.,CATS2D_08_AA,Eig11_AEA.ed.,IC4,S1K,SpMax7_Bh.v.,MWC10,N.074,ON0,MW,ATSC6i,TWC,ATS6v,Eig06_EA.ed.,SM15_AEA.dm.,Eig11_EA.bo.,IC5,piPC06,Eig01_AEA.dm.,SpMax_AEA.dm.,SpMin3_Bh.s.,D.Dtr06,TIC3,Eig09_AEA.dm.,SpDiam_AEA.dm.
4.06,0,0,16.665,5.603,6.467,6.467,1,1.128,10.023,10.023,10.023,3.017,3.017,5.017,3.017,6.974,8.111,3.144,4.007,4.007,10.75,0.965,13.113,13.113,13.113,13.113,13.113,11.971,-0.169,0,13.151,0.149,1.516,1.035,-0.285,3.974,3.974,3.974,38.6,5.857,7.341,7.165,3.692,9.541,1.303,4.228,14.191,-1.243,-1.243,128.978,9.837,9.837,9.837,9.837,9.837,-1.559,0.323,86.439,1.621,9.325,3.045,3.045,20,3.714,34.571,32.273,1.348,3.056,0.217,0,0.2,30.323,3.298,3254.0,23.873,29.959,12,89.738,11.014,3.584,20.178,4.282,1.119,20,3.466,0.0,0.32,0.32,3.507,7.423,3558.0,0,-1.072,-1.072,2.883,2.883,0.532,27.863,5.007,14.958,292.57,13,3.669,1.214,14.958,2.957,0.033,0.366,2.729,0,0.681,81.07,0,0.199,0,2.0,5.016,16.612,2.732,11.104,0,11.667,276.41,1.043,11.667,3.603,2.54,2.54,-0.611,5.016,5.182,3.613,3.613,0.972,75.79,216.705,0.647,5.613
9.481,0,0,20.478,6.13,7.152,7.152,1,1.143,12.478,12.478,12.478,3.416,3.416,5.416,3.416,7.374,13.988,4.218,4.36,4.36,21.25,1.226,20.947,20.947,20.947,20.947,20.947,19.347,1.249,6,21.473,0.095,1.632,1.298,0.959,4.374,4.374,4.374,37.3,8.719,8.664,10.741,4.164,14.939,1.531,4.866,21.979,0.03,0.03,297.902,16.606,16.606,16.606,16.606,16.606,0.033,0.21,149.58,1.748,14.233,3.555,3.555,34,4.234,37.889,35.379,3.076,3.473,0.138,0,0.128,46.687,4.235,11005.0,43.316,32.861,3,156.918,18.485,5.165,28.308,4.923,2.1,31,5.357,42.944,3.521,3.521,4.266,11.659,10716.0,0,2.192,2.192,3.866,3.866,2.0,48.467,5.437,22.121,386.88,0,4.343,1.463,21.25,5.168,0.21,0.99,2.977,0,2.247,124.64,0,0.129,0,3.651,5.145,21.94,2.981,12.419,0,16.5,429.55,1.929,12.923,4.23,6.666,6.666,1.122,5.247,6.219,3.999,3.999,1.071,266.746,292.056,1.863,5.999
6.251,0,0,20.029,5.985,7.128,7.128,0,1.138,12.451,12.451,12.451,3.399,3.399,5.399,3.399,7.938,9.389,3.265,4.336,4.336,16.5,1.088,15.704,15.704,15.704,15.704,15.704,13.635,0.349,4,16.25,0.122,1.584,1.167,0.081,4.938,4.938,4.938,34.9,5.965,7.92,7.556,3.903,11.336,1.437,4.469,16.704,-0.877,-0.877,207.804,12.774,12.774,12.774,12.774,12.774,-1.159,0.274,108.039,1.681,10.004,3.296,3.296,26,3.97,37.882,35.376,2.323,3.23,0.187,0,0.167,32.95,3.696,4941.0,30.416,32.867,4,110.137,13.617,5.024,22.485,4.551,1.623,24,5.136,68.048,1.72,1.72,3.723,9.042,5066.0,0,0.06,0.06,4.429,4.429,0.935,36.873,5.413,17.483,282.32,2,3.865,1.312,17.733,4.011,0.0,1.053,2.836,0,1.3,77.083,0,0.19,0,2.894,4.844,16.932,2.835,12.256,0,13.417,349.46,1.365,12.751,3.919,5.07,5.07,0.032,4.844,6.938,4.312,4.312,0.957,95.735,208.31,1.065,6.312
6.037,0,0,19.899,5.413,7.107,7.107,0,1.134,12.348,12.348,12.348,3.374,3.374,5.374,3.374,7.93,7.969,2.359,4.313,4.313,13.75,1.088,13.602,13.602,13.602,13.602,13.602,11.857,0.065,3,14.049,0.144,1.562,1.167,-0.247,4.93,4.93,4.93,39.5,5.433,7.385,6.737,3.735,9.651,1.429,4.231,14.271,-1.213,-1.213,161.349,10.759,10.759,10.759,10.759,10.759,-1.513,0.323,86.439,1.628,9.226,3.135,3.135,22,3.807,37.71,35.203,1.863,3.061,0.22,0,0.196,44.532,3.0,3089.0,19.174,32.69,5,85.318,11.486,4.762,19.073,4.29,1.584,20,4.812,51.643,0.919,0.919,3.299,7.362,3145.0,0,-0.584,-0.584,3.928,3.928,0.663,31.15,5.389,14.276,235.23,4,3.483,1.194,14.276,3.042,0.0,0.501,2.649,0,1.047,26.9,0,0.224,0,2.659,4.484,13.166,2.627,12.085,0,10.667,270.37,1.037,12.583,3.549,4.731,4.731,-0.362,4.642,6.798,3.446,3.446,0.858,71.985,168.402,0.92,5.446
9.161,0,0,20.478,6.107,7.152,7.152,1,1.143,12.478,12.478,12.478,3.417,3.417,5.417,3.417,7.374,13.914,4.193,4.36,4.36,21.5,1.365,21.11,21.11,21.11,21.11,21.11,19.563,1.551,6,21.775,0.095,1.805,1.43,1.051,4.374,4.374,4.374,37.3,8.59,8.659,10.604,4.162,14.977,1.656,4.866,21.996,0.096,0.096,297.794,16.544,16.544,16.544,16.544,16.544,0.112,0.21,149.58,1.747,14.185,3.555,3.555,34,4.234,37.891,35.382,3.0,3.473,0.138,0,0.128,44.152,4.207,11042.0,42.091,32.865,3,157.144,18.294,5.176,28.337,4.922,2.128,31,5.361,42.944,3.691,3.691,4.237,11.634,10777.0,0,2.097,2.097,3.886,3.886,1.909,48.104,5.44,22.121,386.88,0,4.318,1.487,21.25,5.088,0.185,0.954,2.919,0,2.149,117.777,0,0.129,1,3.628,5.098,21.94,2.937,12.436,0,16.5,429.55,1.924,12.939,4.226,6.804,6.804,1.067,5.2,6.248,3.999,3.999,1.173,176.783,294.811,1.863,5.999
8.009,1,1,18.948,6.119,6.942,6.942,0,1.169,11.75,11.75,11.75,3.299,3.299,5.299,3.299,7.712,14.448,4.198,4.249,4.249,23.25,1.345,21.43,21.43,21.43,21.43,21.43,19.536,1.324,4,22.436,0.09,1.769,1.399,0.976,4.712,4.712,4.712,33.9,8.094,8.729,10.003,4.199,15.405,1.719,4.929,22.063,0.051,0.051,296.217,17.365,17.365,17.365,17.365,17.365,0.064,0.198,155.245,1.752,14.311,3.584,3.584,35,4.263,37.056,34.614,3.188,3.503,0.135,0,0.121,101.097,4.254,13227.0,31.753,32.17,0,166.591,17.77,5.063,29.668,4.962,1.939,32,5.247,124.728,3.133,3.133,4.156,12.225,12809.0,1,2.877,2.877,3.485,3.485,2.192,47.218,5.329,22.554,362.64,0,4.188,1.549,20.054,5.547,0.175,1.02,3.094,1,2.483,76.502,1,0.135,5,3.585,5.352,22.654,3.076,12.203,0,16.417,451.52,1.717,12.721,4.103,6.059,6.059,1.483,5.352,6.496,4.27,4.27,1.098,179.108,299.702,1.604,6.27
8.699,1,1,19.044,6.07,6.952,6.952,0,1.145,11.813,11.813,11.813,3.299,3.299,5.299,3.299,7.715,14.66,4.225,4.252,4.252,22.5,1.371,22.781,22.781,22.781,22.781,22.781,20.891,1.556,1,23.562,0.087,1.789,1.455,1.367,4.715,4.715,4.715,34.8,9.664,8.825,11.955,4.23,16.105,1.683,4.982,24.109,0.398,0.398,308.448,17.679,17.679,17.679,17.679,17.679,0.452,0.193,160.465,1.761,15.362,3.611,3.611,36,4.29,37.044,34.581,2.998,3.532,0.131,0,0.118,99.271,4.248,14175.0,41.571,32.112,0,173.434,19.517,5.088,30.394,5.006,1.979,33,5.293,107.942,4.197,4.197,4.297,12.231,13793.0,0,2.591,2.591,3.66,3.66,2.139,49.248,5.33,23.209,419.93,0,4.373,1.504,23.209,5.016,0.23,0.936,3.144,0,2.595,52.195,1,0.131,1,3.483,5.398,23.871,3.134,12.241,0,16.833,452.68,1.961,12.758,4.231,6.236,6.236,1.601,5.398,6.545,3.379,3.379,1.075,295.883,372.469,1.806,5.379
10.06,1,1,19.077,6.119,6.96,6.96,0,1.145,11.839,11.839,11.839,3.312,3.312,5.312,3.312,7.717,14.695,4.254,4.262,4.262,22.75,1.302,22.463,22.463,22.463,22.463,22.463,20.597,1.634,3,23.245,0.087,1.78,1.393,1.343,4.717,4.717,4.717,34.8,9.468,8.835,11.751,4.227,15.995,1.659,4.971,24.075,0.376,0.376,314.272,17.696,17.696,17.696,17.696,17.696,0.426,0.193,162.465,1.763,15.218,3.611,3.611,36,4.29,37.119,34.663,3.153,3.532,0.132,0,0.118,88.34,4.307,13635.0,44.29,32.201,0,172.228,19.485,5.147,30.167,5.008,1.977,33,5.328,93.056,4.197,4.197,4.373,12.224,13287.0,0,2.591,2.591,3.66,3.66,2.139,49.958,5.341,23.372,419.93,0,4.454,1.504,23.372,5.011,0.234,1.154,3.087,0,2.597,56.161,1,0.131,2,3.595,5.358,23.871,3.08,12.311,0,17.167,452.68,2.091,12.824,4.298,6.07,6.07,1.602,5.358,6.589,3.407,3.407,1.076,294.138,369.714,1.819,5.407
8.585,1,1,18.95,5.927,6.942,6.942,0,1.146,11.75,11.75,11.75,3.299,3.299,5.299,3.299,7.712,13.313,4.039,4.25,4.25,21.25,1.199,20.386,20.386,20.386,20.386,20.386,18.468,1.005,3,21.185,0.095,1.739,1.284,0.82,4.712,4.712,4.712,35.0,8.279,8.552,10.304,4.138,14.546,1.529,4.839,21.685,-0.122,-0.122,275.416,16.302,16.302,16.302,16.302,16.302,-0.131,0.21,143.207,1.737,13.768,3.526,3.526,33,4.205,36.98,34.526,2.868,3.441,0.143,0,0.129,84.948,4.138,10770.0,36.133,32.067,0,151.866,17.451,5.063,27.905,4.87,1.918,30,5.263,93.056,3.831,3.831,4.178,11.088,10441.0,0,2.588,2.588,3.659,3.659,2.13,45.686,5.328,21.087,368.03,0,4.246,1.457,21.087,4.563,0.132,0.925,2.961,0,2.497,43.031,1,0.143,4,3.482,5.157,20.978,2.97,12.216,0,15.333,410.59,1.702,12.731,4.114,5.923,5.923,1.496,5.157,6.533,3.386,3.386,1.049,256.023,309.394,1.529,5.386
9.051,1,1,19.069,5.979,6.958,6.958,0,1.146,11.835,11.835,11.835,3.308,3.308,5.308,3.308,7.717,13.741,4.142,4.26,4.26,21.75,1.257,21.256,21.256,21.256,21.256,21.256,19.39,1.357,3,22.047,0.093,1.771,1.346,0.954,4.717,4.717,4.717,34.9,8.754,8.655,10.864,4.17,15.084,1.594,4.888,22.502,0.029,0.029,288.948,16.739,16.739,16.739,16.739,16.739,0.035,0.205,147.58,1.747,14.311,3.555,3.555,34,4.234,37.087,34.626,2.869,3.473,0.139,0,0.125,87.482,4.22,11529.0,40.849,32.16,0,158.295,18.113,5.124,28.603,4.917,1.934,31,5.328,93.056,3.885,3.885,4.27,11.471,11217.0,0,2.59,2.59,3.66,3.66,2.138,46.786,5.338,21.794,385.33,0,4.341,1.497,21.794,4.708,0.144,0.965,2.961,0,2.504,46.251,1,0.139,4,3.483,5.231,21.94,2.97,12.257,0,15.833,424.62,1.844,12.77,4.196,5.93,5.93,1.504,5.231,6.586,3.399,3.399,1.075,266.023,329.549,1.598,5.399
9.301,1,1,18.948,5.871,6.942,6.942,0,1.147,11.75,11.75,11.75,3.299,3.299,5.299,3.299,7.712,12.436,3.861,4.249,4.249,20.0,1.183,19.491,19.491,19.491,19.491,19.491,17.597,0.998,3,20.248,0.101,1.739,1.266,0.655,4.712,4.712,4.712,35.2,7.709,8.353,9.533,4.076,13.758,1.504,4.76,20.129,-0.263,-0.263,249.985,15.352,15.352,15.352,15.352,15.352,-0.288,0.224,130.606,1.72,13.016,3.466,3.466,31,4.143,36.978,34.524,2.844,3.376,0.153,0,0.137,91.009,4.04,9052.0,32.482,32.064,0,138.234,16.186,5.011,26.328,4.77,1.614,28,5.176,107.942,2.967,2.967,4.08,10.338,8703.0,1,2.136,2.136,3.485,3.485,1.967,42.641,5.327,19.347,333.43,0,4.153,1.456,19.347,4.275,0.058,0.847,2.941,1,2.215,44.214,1,0.152,2,3.247,5.097,19.062,2.91,12.135,0,13.667,382.53,1.583,12.65,4.043,4.352,4.352,1.194,5.097,6.48,3.385,3.385,0.973,234.539,275.254,1.368,5.385
