pXC50,nX,nF,Mi,Si,nBT,nAT,nHet,Se,Sp,MW,X.,nC,nCsp,RBN,N.,SCBO,nTB,nCsp3,nN,nBO,nH,Sv,nSK,Mp,nS,nBM,C.,nHM
4.604,1,1,1.13,80.239,73.0,71.0,11,72.112,46.75,557.7,1.4,28,0,11,4.2,54.0,0,8,3,41,32,44.825,39,0.658,1,22,39.4,1
6.31,2,2,1.144,85.774,77.0,75.0,9,75.319,46.966,516.7,2.7,28,0,11,5.3,47.0,0,14,4,39,38,44.479,37,0.626,0,14,37.3,0
5.159,0,0,1.133,90.637,81.0,80.0,7,79.287,50.063,509.76,0.0,30,0,14,3.8,47.0,0,15,3,38,43,46.459,37,0.626,0,15,37.5,0
4.803,0,0,1.136,93.138,83.0,82.0,10,82.159,51.216,554.76,0.0,30,0,15,4.9,52.0,0,15,4,41,42,48.384,40,0.625,0,17,36.6,0
5.362,2,2,1.141,67.33,61.0,59.0,10,60.203,38.256,467.59,3.4,22,0,7,5.1,43.0,0,9,3,34,27,36.725,32,0.648,1,15,37.3,1
5.093,0,0,1.133,94.055,85.0,83.0,9,82.941,51.972,553.77,0.0,31,0,14,3.6,51.0,0,16,3,42,43,48.889,40,0.626,0,15,37.3,0
5.398,0,0,1.146,91.679,79.0,80.0,10,79.676,47.932,502.81,0.0,24,0,17,5.0,37.0,0,20,4,33,46,43.909,34,0.599,1,4,30.0,1
4.0,1,1,1.133,82.734,75.0,73.0,10,73.443,47.608,542.74,1.4,28,0,12,5.5,52.0,0,9,4,40,35,44.944,38,0.652,1,21,38.4,1
6.377,1,0,1.115,61.299,58.0,55.0,6,54.894,38.949,442.98,1.8,26,1,8,7.3,48.5,1,4,4,35,23,36.896,32,0.708,0,24,47.3,1
6.77,1,0,1.124,77.584,72.0,69.0,7,68.64,46.211,505.11,1.4,29,0,12,5.8,50.5,0,8,4,39,33,43.245,36,0.67,0,23,42.0,1
6.658,1,0,1.125,80.999,75.0,72.0,7,71.523,47.972,519.14,1.4,30,0,13,5.6,51.5,0,9,4,40,35,44.771,37,0.666,0,23,41.7,1
5.939,1,0,1.115,60.216,57.0,54.0,5,53.676,37.705,417.97,1.9,25,0,7,5.6,44.5,0,4,3,33,24,35.401,30,0.698,0,23,46.3,1
6.201,0,0,1.12,45.903,44.0,41.0,6,41.363,28.5,332.39,0.0,19,0,3,9.8,38.5,0,2,4,28,16,27.676,25,0.695,0,19,46.3,0
7.155,0,0,1.126,47.275,45.0,42.0,7,42.356,29.296,344.41,0.0,19,0,3,14.3,40.0,0,2,6,29,16,28.477,26,0.698,0,20,45.2,0
7.523,1,1,1.129,48.532,46.0,43.0,7,43.651,29.989,361.41,2.3,20,0,3,11.6,41.0,0,2,5,30,16,29.366,27,0.697,0,20,46.5,0
4.0,1,1,1.131,84.86,77.0,75.0,10,75.552,48.819,557.75,1.3,29,0,13,4.0,53.0,0,10,3,41,36,46.164,39,0.651,1,21,38.7,1
5.783,1,0,1.116,63.631,60.0,57.0,5,56.56,39.466,432.0,1.8,26,0,8,5.3,45.5,0,5,3,34,26,36.928,31,0.692,0,23,45.6,1
5.648,0,0,1.118,60.355,57.0,54.0,5,53.571,37.091,396.53,0.0,25,0,6,7.4,45.5,0,3,4,33,24,35.068,30,0.687,0,24,46.3,0
5.523,0,0,1.119,63.77,60.0,57.0,5,56.454,38.853,410.56,0.0,26,0,7,7.0,46.5,0,4,4,34,26,36.595,31,0.682,0,24,45.6,0
5.523,0,0,1.12,67.185,63.0,60.0,5,59.338,40.614,424.59,0.0,27,0,8,6.7,47.5,0,5,4,35,28,38.122,32,0.677,0,24,45.0,0
4.788,1,1,1.133,79.275,73.0,70.0,11,70.669,46.881,550.72,1.4,28,0,9,8.6,56.5,0,7,6,42,31,44.692,39,0.67,1,26,40.0,1
7.398,1,0,1.118,68.216,65.0,61.0,9,61.651,42.864,514.02,1.6,28,0,9,8.2,55.5,0,3,5,41,24,41.347,37,0.703,0,29,45.9,1
7.155,1,0,1.121,69.505,66.0,62.0,9,62.425,43.415,513.04,1.6,28,0,9,9.7,55.5,0,3,6,41,25,41.653,37,0.7,0,29,45.2,1
6.229,1,0,1.109,59.883,58.0,54.0,6,54.011,39.188,452.97,1.9,27,0,6,7.4,51.5,0,1,4,37,21,37.369,33,0.726,0,29,50.0,1
6.387,1,0,1.109,59.883,58.0,54.0,6,54.011,39.188,452.97,1.9,27,0,6,7.4,51.5,0,1,4,37,21,37.369,33,0.726,0,29,50.0,1
6.071,1,0,1.105,60.8,59.0,55.0,5,54.792,39.943,451.98,1.8,28,0,6,5.5,51.5,0,1,3,37,22,37.874,33,0.726,0,29,50.9,1
6.62,0,0,1.113,45.614,44.0,41.0,6,41.113,29.693,348.46,0.0,19,0,3,9.8,38.5,0,2,4,28,16,28.148,25,0.724,1,19,46.3,1
7.222,2,2,1.132,49.788,47.0,44.0,7,44.945,30.682,378.41,4.5,21,0,3,9.1,42.0,0,2,4,31,16,30.255,28,0.697,0,20,47.7,0
6.092,1,0,1.109,59.883,58.0,54.0,6,54.011,39.188,452.97,1.9,27,0,6,7.4,51.5,0,1,4,37,21,37.369,33,0.726,0,29,50.0,1
7.0,1,0,1.113,58.967,57.0,53.0,7,53.229,38.432,453.96,1.9,26,0,6,9.4,51.5,0,1,5,37,20,36.864,33,0.725,0,29,49.1,1
6.337,1,0,1.113,58.967,57.0,53.0,7,53.229,38.432,453.96,1.9,26,0,6,9.4,51.5,0,1,5,37,20,36.864,33,0.725,0,29,49.1,1
7.523,0,0,1.119,53.734,51.0,48.0,6,48.131,33.023,372.46,0.0,22,0,4,8.3,42.0,0,3,4,31,20,31.73,28,0.688,0,20,45.8,0
6.602,3,3,1.141,54.753,51.0,48.0,9,49.669,32.836,426.43,6.3,22,0,4,8.3,45.0,0,3,4,34,17,32.88,31,0.684,0,20,45.8,0
7.699,1,1,1.124,79.82,74.0,71.0,9,71.458,47.841,549.72,1.4,30,0,9,4.2,56.5,0,7,3,42,32,45.396,39,0.674,1,26,42.3,1
5.324,1,1,1.133,79.275,73.0,70.0,11,70.669,46.881,550.72,1.4,28,0,9,8.6,56.5,0,7,6,42,31,44.692,39,0.67,1,26,40.0,1
4.0,1,1,1.127,81.155,74.0,72.0,10,72.418,48.25,559.79,1.4,28,0,12,4.2,52.0,0,9,3,40,34,45.11,38,0.67,2,21,38.9,2
6.229,0,0,1.116,61.355,58.0,55.0,5,54.571,38.091,408.54,0.0,26,0,7,7.3,47.5,0,2,4,34,24,36.068,31,0.693,0,25,47.3,0
5.75,0,0,1.119,63.77,60.0,57.0,5,56.454,38.853,410.56,0.0,26,0,6,7.0,46.5,0,4,4,34,26,36.595,31,0.682,0,24,45.6,0
7.398,0,0,1.115,50.192,48.0,45.0,6,45.138,32.051,367.44,0.0,22,1,3,11.1,44.0,1,2,5,31,17,30.983,28,0.712,0,21,48.9,0
7.301,1,1,1.124,49.449,47.0,44.0,6,44.432,30.745,360.42,2.3,21,0,3,9.1,41.0,0,2,4,30,17,29.871,27,0.699,0,20,47.7,0
6.097,0,0,1.138,97.882,87.0,86.0,7,84.937,52.347,515.82,0.0,30,0,14,3.5,44.0,0,21,3,38,49,48.04,37,0.609,0,9,34.9,0
7.398,2,2,1.132,49.788,47.0,44.0,7,44.945,30.682,378.41,4.5,21,0,3,9.1,42.0,0,2,4,31,16,30.255,28,0.697,0,20,47.7,0
7.5,2,2,1.132,49.788,47.0,44.0,7,44.945,30.682,378.41,4.5,21,0,3,9.1,42.0,0,2,4,31,16,30.255,28,0.697,0,20,47.7,0
7.699,2,2,1.132,49.788,47.0,44.0,7,44.945,30.682,378.41,4.5,21,0,3,9.1,42.0,0,2,4,31,16,30.255,28,0.697,0,20,47.7,0
5.284,0,0,1.109,48.817,47.0,44.0,3,43.374,31.108,325.44,0.0,22,0,4,6.8,39.5,0,1,3,28,19,29.279,25,0.707,0,23,50.0,0
6.387,1,0,1.113,58.967,57.0,53.0,7,53.229,38.432,453.96,1.9,26,0,6,9.4,51.5,0,1,5,37,20,36.864,33,0.725,0,29,49.1,1
6.538,1,0,1.102,57.305,56.0,52.0,6,51.985,38.83,458.01,1.9,26,0,6,5.8,50.0,0,1,3,36,20,36.535,32,0.747,1,28,50.0,2
5.419,2,2,1.132,49.788,47.0,44.0,7,44.945,30.682,378.41,4.5,21,0,3,9.1,42.0,0,2,4,31,16,30.255,28,0.697,0,20,47.7,0
4.996,1,1,1.13,76.82,70.0,68.0,9,68.458,44.841,513.69,1.5,27,0,11,4.4,50.0,0,8,3,38,32,42.396,36,0.659,1,21,39.7,1
5.921,0,0,1.116,61.355,59.0,55.0,5,54.571,38.091,408.54,0.0,26,0,6,7.3,47.5,0,4,4,35,24,36.068,31,0.693,0,24,47.3,0
5.469,0,0,1.117,64.77,62.0,58.0,5,57.454,39.853,422.57,0.0,27,0,6,6.9,48.5,0,5,4,36,26,37.595,32,0.687,0,24,46.6,0
5.611,1,0,1.112,53.385,51.0,48.0,5,47.909,34.182,389.91,2.1,23,0,5,6.3,42.5,0,2,3,31,20,32.348,28,0.712,0,23,47.9,1
5.432,0,0,1.138,94.467,84.0,83.0,7,82.054,50.586,501.79,0.0,29,0,13,3.6,43.0,0,20,3,37,47,46.513,36,0.609,0,9,34.9,0
4.658,1,1,1.13,83.651,76.0,74.0,9,74.225,48.364,541.75,1.4,29,0,12,4.1,52.0,0,10,3,40,36,45.449,38,0.654,1,21,39.2,1
6.183,2,2,1.135,80.575,73.0,71.0,10,71.854,46.54,545.71,2.8,28,0,11,4.2,52.0,0,9,3,40,33,44.306,38,0.655,1,21,39.4,1
6.26,1,0,1.117,67.046,63.0,60.0,5,59.443,41.228,446.03,1.7,27,0,9,5.0,46.5,0,6,3,35,28,38.455,32,0.687,0,23,45.0,1
6.009,1,0,1.116,60.255,58.0,54.0,7,54.003,38.983,452.98,1.9,26,0,6,11.1,51.5,0,1,6,37,21,37.17,33,0.722,0,29,48.1,1
6.959,1,0,1.122,76.295,71.0,68.0,7,67.865,45.659,506.09,1.5,29,0,12,4.4,50.5,0,8,3,39,32,42.938,36,0.671,0,23,42.6,1
8.102,1,1,1.145,117.89,106.0,103.0,21,105.709,65.245,808.92,1.0,37,0,18,9.7,77.0,0,14,10,61,45,64.228,58,0.633,0,22,35.9,0
8.0,0,0,1.137,119.384,108.0,105.0,18,106.759,66.819,788.95,0.0,39,0,18,7.6,76.0,0,14,8,60,48,64.855,57,0.636,0,25,37.1,0
7.991,1,1,1.142,117.601,106.0,103.0,21,105.458,66.438,824.99,1.0,37,0,18,9.7,77.5,0,14,10,61,45,64.7,58,0.645,1,25,35.9,1
7.975,0,0,1.134,119.095,108.0,105.0,18,106.509,68.012,805.02,0.0,39,0,18,7.6,76.5,0,14,8,60,48,65.327,57,0.648,1,28,37.1,1
7.523,1,1,1.133,90.641,85.0,80.0,7,79.363,51.336,532.77,1.3,32,0,2,5.0,52.0,0,18,4,44,41,47.908,39,0.642,0,14,40.0,0
7.683,0,0,1.13,94.925,89.0,84.0,7,83.061,53.614,544.81,0.0,33,0,3,4.8,53.0,0,19,4,45,44,49.766,40,0.638,0,14,39.3,0
8.228,0,0,1.131,89.384,84.0,79.0,7,78.068,50.643,515.77,0.0,31,0,2,6.3,51.0,0,18,5,43,41,47.019,38,0.641,0,14,39.2,0
5.686,1,1,1.13,77.986,72.0,69.0,11,69.894,46.33,551.7,1.4,28,0,9,7.2,56.5,0,7,5,42,30,44.385,39,0.671,1,26,40.6,1
4.524,1,1,1.126,77.697,72.0,69.0,11,69.643,47.523,567.77,1.4,28,0,9,7.2,56.5,0,7,5,42,30,44.857,39,0.689,2,26,40.6,2
8.228,1,1,1.127,78.903,73.0,70.0,10,70.676,47.086,550.71,1.4,29,0,9,5.7,56.5,0,7,4,42,31,44.89,39,0.673,1,26,41.4,1
6.432,0,0,1.145,98.51,85.0,86.0,10,85.443,51.455,530.87,0.0,26,0,18,4.7,39.0,0,22,4,35,50,46.963,36,0.598,1,4,30.2,1
7.454,0,0,1.129,88.095,83.0,78.0,7,77.294,50.091,516.75,0.0,31,0,2,5.1,51.0,0,17,4,43,40,46.712,38,0.642,0,14,39.7,0
6.164,0,0,1.13,80.265,75.0,71.0,7,70.527,45.569,476.68,0.0,28,0,2,5.6,47.0,0,14,4,39,36,42.659,35,0.642,0,14,39.4,0
6.509,0,0,1.129,93.72,88.0,83.0,8,82.505,53.307,558.79,0.0,33,0,3,4.8,55.0,0,18,4,46,42,49.954,41,0.642,0,15,39.8,0
6.0,0,0,1.129,93.72,88.0,83.0,8,82.505,53.307,558.79,0.0,33,0,3,4.8,55.0,0,18,4,46,42,49.954,41,0.642,0,15,39.8,0
5.939,2,2,1.136,98.814,90.0,87.0,10,87.414,55.944,620.81,2.3,35,0,12,4.6,60.0,0,14,4,48,42,53.247,45,0.643,0,21,40.2,0
6.921,2,2,1.136,99.944,91.0,88.0,12,88.818,57.046,656.87,2.3,34,0,13,4.5,62.0,0,14,4,49,42,54.149,46,0.648,1,22,38.6,1
7.194,2,2,1.136,103.359,94.0,91.0,12,91.701,58.807,670.9,2.2,35,0,13,4.4,63.0,0,15,4,50,44,55.676,47,0.646,1,22,38.5,1
7.319,2,2,1.136,103.359,94.0,91.0,12,91.701,58.807,670.9,2.2,35,0,13,4.4,63.0,0,15,4,50,44,55.676,47,0.646,1,22,38.5,1
5.886,2,2,1.136,103.359,94.0,91.0,12,91.701,58.807,670.9,2.2,35,0,13,4.4,63.0,0,15,4,50,44,55.676,47,0.646,1,22,38.5,1
6.398,3,2,1.135,99.888,91.0,88.0,13,89.141,57.904,691.31,3.4,34,0,13,4.5,63.0,0,14,4,50,41,54.977,47,0.658,1,22,38.6,2
6.62,3,2,1.135,99.888,91.0,88.0,13,89.141,57.904,691.31,3.4,34,0,13,4.5,63.0,0,14,4,50,41,54.977,47,0.658,1,22,38.6,2
5.77,3,2,1.135,99.888,91.0,88.0,13,89.141,57.904,691.31,3.4,34,0,13,4.5,63.0,0,14,4,50,41,54.977,47,0.658,1,22,38.6,2
6.357,2,2,1.137,104.568,95.0,92.0,13,93.028,59.262,686.9,2.2,35,0,14,4.3,64.0,0,15,4,51,44,56.391,48,0.644,1,22,38.0,1
6.921,2,2,1.137,104.568,95.0,92.0,13,93.028,59.262,686.9,2.2,35,0,14,4.3,64.0,0,15,4,51,44,56.391,48,0.644,1,22,38.0,1
6.509,2,2,1.135,101.027,92.0,89.0,13,90.036,58.29,681.88,2.2,35,1,13,5.6,66.0,1,14,5,51,41,55.644,48,0.655,1,23,39.3,1
5.824,4,2,1.134,99.832,91.0,88.0,14,89.465,58.762,725.75,4.5,34,0,13,4.5,64.0,0,14,4,51,40,55.804,48,0.668,1,22,38.6,3
5.886,2,2,1.137,109.193,99.0,96.0,14,97.239,61.478,716.93,2.1,36,0,15,4.2,66.0,0,16,4,53,46,58.632,50,0.64,1,22,37.5,1
7.244,2,2,1.142,103.94,94.0,91.0,14,92.021,58.057,674.9,2.2,33,0,13,6.6,62.5,0,16,6,50,44,55.192,47,0.638,1,21,36.3,1
7.0,2,2,1.142,100.525,91.0,88.0,14,89.138,56.296,660.87,2.3,32,0,13,6.8,61.5,0,15,6,49,42,53.665,46,0.64,1,21,36.4,1
7.081,2,2,1.135,96.448,88.0,85.0,13,86.01,55.932,662.9,2.4,32,0,13,4.7,60.5,0,14,4,48,40,52.81,45,0.658,2,21,37.6,2
6.398,2,2,1.138,99.027,90.0,87.0,13,88.036,56.29,657.86,2.3,33,0,13,5.7,62.0,0,14,5,49,41,53.644,46,0.647,1,22,37.9,1
5.538,2,2,1.141,99.236,90.0,87.0,14,88.363,55.745,661.85,2.3,32,0,13,5.7,61.5,0,15,5,49,41,53.359,46,0.641,1,21,36.8,1
6.62,2,2,1.137,102.362,93.0,90.0,14,90.996,58.699,691.95,2.2,33,0,13,5.6,62.5,0,16,5,50,43,55.358,47,0.652,2,21,36.7,2
6.013,2,2,1.142,107.355,97.0,94.0,14,94.905,59.819,688.93,2.1,34,0,13,6.4,63.5,0,17,6,51,46,56.719,48,0.636,1,21,36.2,1
5.921,2,2,1.141,102.651,93.0,90.0,14,91.247,57.506,675.88,2.2,33,0,13,5.6,62.5,0,16,5,50,43,54.885,47,0.639,1,21,36.7,1
5.237,2,2,1.138,99.027,90.0,87.0,13,88.036,56.29,657.86,2.3,33,0,13,5.7,62.0,0,14,5,49,41,53.644,46,0.647,1,22,37.9,1
5.638,2,2,1.142,92.528,83.0,81.0,12,81.934,51.285,594.8,2.5,29,0,12,4.9,53.0,0,15,4,43,40,48.622,41,0.633,1,16,35.8,1
5.745,2,2,1.142,99.359,89.0,87.0,12,87.701,54.807,622.86,2.3,31,0,14,4.6,55.0,0,17,4,45,44,51.676,43,0.63,1,16,35.6,1
8.155,2,2,1.135,102.153,94.0,90.0,13,91.145,58.5,684.88,2.2,35,0,11,4.4,65.0,0,15,4,52,42,55.864,48,0.65,1,22,38.9,1
6.569,2,2,1.141,98.153,89.0,86.0,13,87.145,54.5,636.84,2.3,31,0,13,4.7,57.0,0,17,4,47,42,51.864,44,0.634,1,16,36.0,1
8.097,2,2,1.131,114.196,106.0,101.0,16,102.534,67.37,810.04,2.0,40,0,12,5.0,79.0,0,14,5,61,45,64.314,56,0.667,2,30,39.6,2
7.208,2,2,1.137,101.156,93.0,89.0,15,90.439,58.392,705.93,2.2,33,0,11,5.6,66.0,0,14,5,52,41,55.546,48,0.656,2,23,37.1,2
7.42,2,2,1.138,96.741,88.0,85.0,15,86.556,55.631,679.89,2.4,31,0,12,5.9,63.0,0,12,5,49,39,53.019,46,0.654,2,23,36.5,2
5.87,2,2,1.141,90.113,82.0,79.0,12,80.05,50.523,592.78,2.5,29,0,11,5.1,54.0,0,15,4,44,38,48.096,41,0.64,1,16,36.7,1
7.886,2,2,1.135,98.738,91.0,87.0,13,88.261,56.739,670.85,2.3,34,0,11,4.6,64.0,0,14,4,51,40,54.337,47,0.652,1,22,39.1,1
7.658,3,2,1.134,98.682,91.0,87.0,14,88.585,57.597,705.29,3.4,34,0,11,4.6,65.0,0,14,4,52,39,55.165,48,0.662,1,22,39.1,2
7.155,2,2,1.137,97.821,90.0,86.0,14,87.479,55.983,671.84,2.3,33,0,11,5.8,64.0,0,14,5,51,39,53.832,47,0.651,1,22,38.4,1
7.167,3,2,1.133,95.187,88.0,84.0,15,85.778,56.483,711.32,3.6,32,0,11,4.8,63.5,0,14,4,51,37,53.825,47,0.672,2,21,38.1,3
7.276,2,2,1.142,99.319,91.0,87.0,15,88.581,55.989,674.85,2.3,32,0,11,6.9,63.5,0,15,6,51,40,53.853,47,0.644,1,21,36.8,1
7.854,2,2,1.135,102.153,94.0,90.0,13,91.145,58.5,684.88,2.2,35,0,12,4.4,65.0,0,15,4,52,42,55.864,48,0.65,1,22,38.9,1
7.0,2,2,1.14,95.738,88.0,84.0,13,85.261,53.739,634.82,2.4,31,0,11,4.8,58.0,0,17,4,48,40,51.337,44,0.64,1,16,36.9,1
6.658,2,2,1.142,91.323,83.0,80.0,13,81.378,50.978,608.78,2.5,29,0,10,5.0,55.0,0,15,4,45,38,48.81,42,0.637,1,16,36.3,1
6.921,2,2,1.137,100.02,91.0,88.0,9,87.97,56.251,606.83,2.3,35,0,13,4.5,58.0,0,15,4,47,44,53.059,44,0.639,0,20,39.8,0
7.276,0,0,1.145,101.925,88.0,89.0,10,88.327,53.217,544.9,0.0,27,0,19,4.5,40.0,0,23,4,36,52,48.49,37,0.598,1,4,30.3,1
7.046,0,0,1.13,82.47,77.0,73.0,6,72.083,46.876,474.71,0.0,29,0,2,5.5,47.0,0,15,4,39,38,43.471,35,0.642,0,14,39.7,0
4.709,3,3,1.144,99.486,88.0,87.0,10,87.592,54.398,603.8,3.4,33,0,15,3.4,54.0,0,16,3,44,44,51.663,43,0.625,0,16,37.9,0
7.77,0,0,1.129,90.301,85.0,80.0,6,78.85,51.398,514.78,0.0,32,0,2,5.0,51.0,0,18,4,43,42,47.524,38,0.642,0,14,40.0,0
7.489,0,0,1.129,93.716,88.0,83.0,6,81.734,53.16,528.81,0.0,33,0,2,4.8,52.0,0,19,4,44,44,49.051,39,0.64,0,14,39.8,0
6.455,0,0,1.129,93.716,88.0,83.0,6,81.734,53.16,528.81,0.0,33,0,2,4.8,52.0,0,19,4,44,44,49.051,39,0.64,0,14,39.8,0
5.421,3,3,1.146,101.988,90.0,89.0,13,90.465,55.552,648.8,3.4,33,0,16,4.5,59.0,0,16,4,47,43,53.587,46,0.624,0,18,37.1,0
5.578,0,0,1.139,95.64,85.0,84.0,13,85.032,52.37,599.76,0.0,30,0,16,6.0,57.0,0,15,5,44,41,50.308,43,0.623,0,19,35.7,0
5.419,0,0,1.138,102.388,91.0,90.0,12,90.581,55.648,614.82,0.0,32,0,17,4.4,56.0,0,17,4,45,46,52.867,44,0.618,0,17,35.6,0
5.373,2,0,1.134,93.026,83.0,82.0,12,82.807,52.932,623.64,2.4,30,0,15,4.9,54.0,0,15,4,43,40,50.039,42,0.646,0,17,36.6,2
5.636,0,0,1.142,116.46,102.0,102.0,10,101.228,61.308,618.96,0.0,34,0,19,3.9,51.0,0,24,4,44,58,56.598,44,0.601,0,10,33.3,0
5.046,0,0,1.137,122.756,110.0,108.0,14,108.545,67.154,737.99,0.0,39,0,20,4.6,67.0,0,21,5,55,55,63.71,53,0.622,0,18,36.1,0
5.886,0,0,1.136,124.962,113.0,110.0,13,110.101,68.461,736.02,0.0,40,0,19,4.5,67.0,0,23,5,56,57,64.522,53,0.622,0,17,36.4,0
4.792,0,0,1.129,67.733,62.0,60.0,9,60.396,39.625,456.62,0.0,23,0,8,6.7,45.5,0,8,4,34,28,37.453,32,0.66,1,20,38.3,1
7.293,0,0,1.127,77.769,72.0,69.0,8,68.72,45.455,494.72,0.0,27,0,10,5.8,49.5,0,11,4,38,34,42.319,35,0.659,1,20,39.1,1
