pXC50,P_VSA_LogP_4,SaaN,N.075,NaaN,C.039,nArCO,D.Dtr10,nArOCON,C.041,H.051,SM10_EA.dm.,SM12_EA.dm.,X5A,X4A,NaaaC,NNRS,nR10,Rbrid,RCI,RFD,SaaaC,SpMin1_Bh.p.,SpMin1_Bh.v.,JGI6,Eig01_EA.dm.,SM03_EA.dm.,SM05_EA.dm.,SM07_EA.dm.,SM09_EA.dm.,SM11_EA.dm.,SM13_EA.dm.,SM14_EA.dm.,SM15_EA.dm.,SpMax_EA.dm.,Eig01_EA.bo.,SM11_AEA.ri.,SpDiam_EA.bo.,SpMax1_Bh.p.,SpMax_EA.bo.,C.034,MATS2i,SpMAD_EA.dm.,GATS4e,MATS4p,JGI7,GATS2p,GATS2v,MATS2p,SIC5,nOxazoles,SM04_EA.dm.,SM06_EA.dm.,SM08_EA.dm.,SpDiam_EA.dm.,JGI2,Eta_sh_p,SpMin1_Bh.m.,GATS2i,Eig01_AEA.bo.,SpMax_AEA.bo.,SM09_EA.bo.,SM10_EA.bo.,CIC5
4.377,25.145,0.0,0,0,0,0,83.654,1,1,0,7.994,9.549,0.079,0.121,2,0.667,1,1,1.125,0.125,2.175,2.112,2.121,0.017,2.208,1.847,3.656,5.37,7.028,8.654,10.263,11.116,11.862,2.208,4.491,4.491,7.491,4.054,4.491,0,0.104,0.272,1.693,0.096,0.012,0.796,0.909,0.038,0.882,0,3.527,4.955,6.458,3.912,0.081,0.16,2.122,0.981,4.558,4.558,13.556,15.124,0.611
5.268,47.145,0.0,0,0,0,0,0.0,1,1,0,7.902,9.436,0.094,0.138,0,1.0,0,0,1.0,0.0,0.0,2.054,2.077,0.01,2.186,1.784,3.59,5.289,6.93,8.539,10.13,10.981,11.71,2.186,3.787,3.787,6.787,3.829,3.787,0,-0.077,0.305,1.183,-0.074,0.008,1.209,1.18,-0.098,0.883,0,3.555,4.917,6.389,3.889,0.065,0.089,2.117,1.112,4.185,4.185,11.993,13.512,0.691
5.846,25.145,0.0,0,0,0,0,69.473,1,1,0,7.994,9.549,0.076,0.116,2,0.5,1,1,1.2,0.2,2.126,2.11,2.12,0.023,2.208,1.847,3.656,5.37,7.028,8.654,10.263,11.116,11.862,2.208,4.491,4.491,7.491,4.053,4.491,0,0.526,0.333,1.946,0.245,0.02,0.534,0.626,0.281,0.876,0,3.527,4.955,6.458,3.912,0.098,0.3,2.121,0.579,4.558,4.558,13.549,15.119,0.604
4.0,25.145,0.0,0,0,0,0,65.022,1,1,0,7.994,9.549,0.08,0.121,2,0.5,1,1,1.2,0.2,2.193,2.124,2.132,0.028,2.208,1.847,3.656,5.37,7.028,8.654,10.263,11.116,11.862,2.208,4.337,4.337,7.337,4.034,4.337,0,0.466,0.352,1.942,0.152,0.02,0.702,0.742,0.254,0.862,0,3.527,4.955,6.458,3.912,0.077,0.176,2.148,0.642,4.41,4.41,13.216,14.786,0.673
4.26,25.145,0.0,0,0,0,0,70.108,1,1,0,7.994,9.549,0.077,0.116,2,0.5,1,1,1.2,0.2,2.14,2.114,2.123,0.025,2.208,1.847,3.656,5.37,7.028,8.654,10.263,11.116,11.862,2.208,4.4,4.4,7.4,4.048,4.4,0,0.526,0.333,1.89,0.255,0.02,0.534,0.626,0.281,0.862,0,3.527,4.955,6.458,3.912,0.089,0.3,2.129,0.579,4.48,4.48,13.394,14.954,0.673
6.036,25.145,0.0,0,0,0,0,70.108,1,1,0,7.994,9.549,0.078,0.118,2,0.5,1,1,1.2,0.2,2.14,2.114,2.123,0.032,2.208,1.847,3.656,5.37,7.028,8.654,10.263,11.116,11.862,2.208,4.372,4.372,7.372,4.048,4.372,0,0.526,0.333,1.871,0.206,0.021,0.534,0.626,0.281,0.876,0,3.527,4.955,6.458,3.912,0.08,0.3,2.125,0.579,4.44,4.44,13.319,14.881,0.604
4.0,25.145,0.0,0,0,0,0,0.0,1,1,0,7.994,9.549,0.091,0.131,0,1.0,0,0,1.0,0.0,0.0,1.958,1.962,0.015,2.208,1.847,3.656,5.37,7.028,8.654,10.263,11.116,11.862,2.208,3.79,3.79,6.79,3.849,3.79,0,0.557,0.46,2.277,0.316,0.028,0.507,0.604,0.3,0.832,0,3.527,4.955,6.458,3.912,0.105,0.386,1.948,0.571,4.197,4.197,11.985,13.505,0.761
4.62,25.145,0.0,0,0,0,0,0.0,1,1,0,7.994,9.549,0.079,0.121,0,1.0,0,0,1.0,0.0,0.0,2.001,2.012,0.026,2.208,1.847,3.656,5.37,7.028,8.654,10.263,11.116,11.862,2.208,4.124,4.124,7.124,3.911,4.124,0,0.588,0.399,1.846,-0.026,0.02,0.471,0.536,0.373,0.808,0,3.527,4.955,6.458,3.912,0.127,0.464,2.013,0.525,4.428,4.428,12.794,14.284,0.932
4.638,25.145,0.0,0,0,0,0,69.473,1,1,0,7.994,9.549,0.076,0.116,2,0.5,1,1,1.2,0.2,2.256,2.133,2.141,0.023,2.208,1.847,3.656,5.37,7.028,8.654,10.263,11.116,11.862,2.208,4.491,4.491,7.491,4.05,4.491,0,0.491,0.333,2.098,0.091,0.02,0.663,0.695,0.312,0.861,0,3.527,4.955,6.458,3.912,0.098,0.227,2.157,0.614,4.558,4.558,13.549,15.119,0.696
5.167,25.145,0.0,0,0,0,0,74.484,1,1,0,7.994,9.549,0.076,0.115,2,0.5,1,1,1.2,0.2,2.308,2.137,2.145,0.027,2.208,1.847,3.656,5.37,7.028,8.654,10.263,11.116,11.862,2.208,4.501,4.501,7.501,4.055,4.501,0,0.422,0.315,2.065,0.075,0.017,0.735,0.763,0.255,0.865,0,3.527,4.955,6.458,3.912,0.094,0.214,2.161,0.684,4.573,4.573,13.57,15.141,0.693
5.469,25.145,0.0,0,0,0,0,79.951,1,1,0,7.994,9.549,0.076,0.113,2,0.5,1,1,1.2,0.2,2.337,2.139,2.147,0.026,2.208,1.847,3.656,5.37,7.028,8.654,10.263,11.116,11.862,2.208,4.501,4.501,7.501,4.057,4.501,0,0.365,0.299,1.988,0.141,0.02,0.795,0.819,0.209,0.868,0,3.527,4.955,6.458,3.912,0.091,0.202,2.163,0.743,4.574,4.574,13.571,15.142,0.691
5.125,25.145,0.0,0,0,0,0,85.798,1,1,0,7.994,9.549,0.075,0.113,2,0.5,1,1,1.2,0.2,2.355,2.139,2.148,0.023,2.208,1.847,3.656,5.37,7.028,8.654,10.263,11.116,11.862,2.208,4.501,4.501,7.501,4.058,4.501,0,0.318,0.285,1.931,0.132,0.019,0.846,0.866,0.171,0.871,0,3.527,4.955,6.458,3.912,0.087,0.192,2.164,0.794,4.575,4.575,13.571,15.142,0.689
4.678,25.145,0.0,0,0,0,0,79.495,1,1,0,7.994,9.549,0.074,0.112,2,0.5,1,1,1.2,0.2,2.303,2.141,2.15,0.029,2.208,1.847,3.656,5.37,7.028,8.654,10.263,11.116,11.862,2.208,4.518,4.518,7.518,4.061,4.518,0,0.424,0.299,1.842,0.136,0.014,0.733,0.756,0.273,0.824,0,3.527,4.955,6.458,3.912,0.087,0.257,2.166,0.687,4.608,4.608,13.611,15.181,0.922
4.161,25.145,0.0,0,0,0,0,69.473,1,1,0,7.994,9.549,0.076,0.116,2,0.5,1,1,1.2,0.2,1.909,2.13,2.134,0.023,2.208,1.847,3.656,5.37,7.028,8.654,10.263,11.116,11.862,2.208,4.491,4.491,7.491,4.038,4.491,0,0.391,0.333,2.018,0.087,0.02,0.717,0.727,0.276,0.873,0,3.527,4.955,6.458,3.912,0.098,0.218,2.141,0.717,4.558,4.558,13.549,15.119,0.629
4.959,55.423,0.0,0,0,1,1,79.495,1,1,3,8.002,9.552,0.074,0.112,2,0.5,1,1,1.2,0.2,1.733,2.135,2.138,0.029,2.208,1.847,3.656,5.37,7.028,8.654,10.263,11.117,11.862,2.208,4.541,4.541,7.541,4.055,4.541,0,0.453,0.427,1.582,0.12,0.014,0.691,0.689,0.287,0.871,0,3.673,5.015,6.48,3.912,0.087,0.243,2.148,0.649,4.626,4.626,13.669,15.238,0.655
4.0,41.747,0.0,0,0,0,0,74.484,1,1,0,8.593,10.09,0.076,0.115,2,0.5,1,1,1.2,0.2,1.725,2.127,2.132,0.027,2.208,1.847,3.656,5.37,7.028,8.654,10.263,11.599,11.862,2.208,4.523,4.523,7.523,4.05,4.523,0,0.47,0.529,1.838,0.23,0.017,0.639,0.674,0.317,0.881,0,4.224,5.649,7.111,4.243,0.094,0.205,2.142,0.587,4.596,4.596,13.619,15.193,0.584
6.051,25.145,0.0,0,0,0,0,79.495,1,1,0,9.841,11.688,0.074,0.112,2,0.5,1,1,1.2,0.2,1.162,2.174,2.156,0.029,2.612,2.769,4.854,6.822,8.746,10.654,12.558,13.559,14.463,2.612,4.59,4.59,7.59,4.048,4.59,0,0.39,0.561,1.419,0.113,0.014,0.718,0.71,0.279,0.873,0,4.572,6.261,8.027,4.612,0.087,0.232,2.145,0.717,4.652,4.652,13.807,15.371,0.629
6.481,25.145,0.0,0,0,0,0,69.473,1,1,0,7.994,9.549,0.076,0.116,2,0.5,1,1,1.2,0.2,2.235,2.105,2.118,0.023,2.208,1.847,3.656,5.37,7.028,8.654,10.263,11.116,11.862,2.208,4.491,4.491,7.491,4.139,4.491,0,0.52,0.333,1.965,0.144,0.02,0.505,0.595,0.167,0.876,0,3.527,4.955,6.458,3.912,0.098,0.323,2.119,0.536,4.558,4.558,13.549,15.119,0.604
4.538,54.995,0.0,0,0,0,0,91.718,1,1,0,7.995,9.55,0.072,0.113,2,0.5,1,1,1.2,0.2,1.749,2.12,2.125,0.026,2.208,1.847,3.656,5.37,7.028,8.654,10.263,11.116,11.862,2.208,4.523,4.523,7.523,4.065,4.523,0,0.564,0.368,1.857,0.211,0.021,0.509,0.584,0.34,0.88,0,3.599,4.975,6.463,3.912,0.108,0.329,2.118,0.562,4.585,4.585,13.699,15.253,0.618
5.77,54.995,0.0,0,0,0,0,133.236,1,1,0,7.995,9.55,0.076,0.12,2,0.5,1,1,1.2,0.2,1.789,2.12,2.126,0.02,2.208,1.847,3.656,5.37,7.028,8.654,10.263,11.116,11.862,2.208,4.523,4.523,7.523,4.066,4.523,0,0.223,0.289,1.608,0.179,0.016,0.799,0.884,0.125,0.89,0,3.599,4.975,6.463,3.912,0.09,0.257,2.119,0.908,4.586,4.586,13.7,15.254,0.635
4.77,54.995,0.0,0,0,0,0,103.111,1,1,0,7.995,9.55,0.071,0.112,2,0.667,1,1,1.154,0.154,1.794,2.119,2.124,0.022,2.208,1.847,3.656,5.37,7.028,8.654,10.263,11.116,11.862,2.208,4.523,4.523,7.523,4.067,4.523,0,0.264,0.324,1.801,0.204,0.018,0.698,0.784,0.157,0.871,0,3.599,4.975,6.463,3.912,0.103,0.258,2.117,0.847,4.586,4.586,13.708,15.26,0.688
5.824,54.995,0.0,0,0,0,0,113.346,1,1,0,7.995,9.55,0.073,0.116,2,0.667,1,1,1.133,0.133,1.803,2.12,2.125,0.02,2.208,1.847,3.656,5.37,7.028,8.654,10.263,11.116,11.862,2.208,4.523,4.523,7.523,4.067,4.523,0,0.233,0.3,1.658,0.286,0.017,0.748,0.833,0.136,0.852,0,3.599,4.975,6.463,3.912,0.088,0.237,2.118,0.888,4.586,4.586,13.706,15.258,0.815
6.036,54.995,0.0,0,0,0,0,122.914,1,1,0,7.995,9.55,0.075,0.118,2,0.667,1,1,1.118,0.118,1.81,2.121,2.126,0.019,2.208,1.847,3.656,5.37,7.028,8.654,10.263,11.116,11.862,2.208,4.523,4.523,7.523,4.067,4.523,0,0.178,0.279,1.43,0.103,0.015,0.812,0.896,0.098,0.84,0,3.599,4.975,6.463,3.912,0.083,0.22,2.119,0.949,4.586,4.586,13.705,15.258,0.914
5.886,54.995,0.0,0,0,0,0,118.552,1,1,0,7.995,9.55,0.075,0.117,2,0.667,1,1,1.125,0.125,1.715,2.122,2.126,0.019,2.208,1.847,3.656,5.37,7.028,8.654,10.263,11.116,11.862,2.208,4.524,4.524,7.524,4.067,4.524,0,0.283,0.289,1.736,0.189,0.016,0.678,0.748,0.166,0.891,0,3.599,4.975,6.463,3.912,0.085,0.228,2.119,0.801,4.586,4.586,13.756,15.326,0.593
4.959,54.995,0.0,0,0,0,0,97.708,1,1,0,7.997,9.55,0.071,0.112,2,0.5,1,1,1.2,0.2,1.767,2.121,2.126,0.027,2.208,1.905,3.679,5.378,7.031,8.655,10.263,11.116,11.862,2.208,4.524,4.524,7.524,4.065,4.524,0,0.671,0.39,1.857,0.287,0.022,0.432,0.507,0.416,0.83,0,3.626,4.988,6.468,3.912,0.108,0.359,2.119,0.478,4.588,4.588,13.716,15.267,0.898
6.509,54.995,0.0,0,0,0,0,148.502,1,1,0,7.997,9.55,0.073,0.115,2,0.75,1,1,1.091,0.091,1.791,2.127,2.13,0.023,2.208,1.961,3.687,5.379,7.031,8.655,10.263,11.116,11.862,2.208,4.524,4.524,7.524,4.068,4.524,0,0.294,0.311,1.632,0.071,0.017,0.672,0.752,0.186,0.857,0,3.638,4.99,6.468,3.912,0.093,0.193,2.121,0.857,4.589,4.589,13.797,15.358,0.827
6.824,41.747,0.0,0,0,0,0,80.143,1,1,0,8.593,10.09,0.073,0.114,2,0.5,1,1,1.2,0.2,1.804,2.113,2.12,0.026,2.208,1.847,3.656,5.37,7.028,8.654,10.263,11.599,11.862,2.208,4.52,4.52,7.52,4.063,4.52,0,0.523,0.503,1.894,0.269,0.02,0.496,0.569,0.329,0.881,0,4.224,5.649,7.111,4.243,0.095,0.313,2.116,0.53,4.579,4.579,13.656,15.219,0.584
6.886,25.145,0.0,0,0,0,0,86.133,1,1,0,7.994,9.549,0.073,0.116,2,0.5,1,1,1.2,0.2,2.196,2.123,2.134,0.026,2.208,1.847,3.656,5.37,7.028,8.654,10.263,11.116,11.862,2.208,4.516,4.516,7.516,4.068,4.516,0,0.407,0.285,1.7,0.2,0.02,0.627,0.718,0.239,0.868,0,3.527,4.955,6.458,3.912,0.092,0.304,2.14,0.694,4.576,4.576,13.634,15.197,0.691
7.301,25.145,0.0,0,0,0,0,74.559,1,1,0,7.994,9.549,0.074,0.114,2,0.5,1,1,1.2,0.2,2.072,2.1,2.11,0.026,2.208,1.847,3.656,5.37,7.028,8.654,10.263,11.116,11.862,2.208,4.514,4.514,7.514,4.065,4.514,0,0.59,0.315,1.901,0.245,0.021,0.451,0.534,0.3,0.876,0,3.527,4.955,6.458,3.912,0.099,0.391,2.094,0.518,4.574,4.574,13.624,15.189,0.604
6.824,41.747,0.0,0,0,0,0,80.143,1,1,0,8.593,10.09,0.073,0.114,2,0.5,1,1,1.2,0.2,1.568,2.117,2.122,0.026,2.208,1.847,3.656,5.37,7.028,8.654,10.263,11.599,11.862,2.208,4.52,4.52,7.52,4.054,4.52,0,0.496,0.503,1.858,0.295,0.02,0.53,0.588,0.374,0.881,0,4.224,5.649,7.111,4.243,0.095,0.267,2.121,0.566,4.579,4.579,13.656,15.219,0.584
6.824,25.145,0.0,0,0,0,0,86.133,1,1,0,7.994,9.549,0.073,0.116,2,0.5,1,1,1.2,0.2,1.959,2.126,2.135,0.026,2.208,1.847,3.656,5.37,7.028,8.654,10.263,11.116,11.862,2.208,4.516,4.516,7.516,4.06,4.516,0,0.385,0.285,1.66,0.202,0.02,0.691,0.742,0.256,0.868,0,3.527,4.955,6.458,3.912,0.092,0.26,2.144,0.728,4.576,4.576,13.634,15.197,0.691
7.097,25.145,0.0,0,0,0,0,74.559,1,1,0,7.994,9.549,0.074,0.114,2,0.5,1,1,1.2,0.2,1.836,2.103,2.112,0.026,2.208,1.847,3.656,5.37,7.028,8.654,10.263,11.116,11.862,2.208,4.514,4.514,7.514,4.057,4.514,0,0.558,0.315,1.869,0.265,0.021,0.465,0.549,0.328,0.876,0,3.527,4.955,6.458,3.912,0.099,0.352,2.1,0.557,4.574,4.574,13.624,15.189,0.604
5.699,25.145,0.0,0,0,0,0,73.826,1,1,0,7.994,9.549,0.076,0.117,2,0.667,1,1,1.143,0.143,2.166,2.113,2.121,0.019,2.208,1.847,3.656,5.37,7.028,8.654,10.263,11.116,11.862,2.208,4.491,4.491,7.491,4.054,4.491,0,0.194,0.299,1.885,0.089,0.014,0.732,0.859,0.07,0.918,0,3.527,4.955,6.458,3.912,0.09,0.177,2.122,0.87,4.558,4.558,13.558,15.126,0.4
4.432,25.145,0.0,0,0,0,0,83.677,1,1,0,7.902,9.436,0.08,0.123,2,0.5,1,1,1.2,0.2,2.134,2.11,2.12,0.019,2.186,1.784,3.59,5.289,6.93,8.539,10.13,10.981,11.71,2.186,4.491,4.491,7.491,4.053,4.491,0,0.08,0.255,1.362,0.064,0.011,0.824,0.929,0.037,0.94,0,3.49,4.905,6.387,3.889,0.077,0.219,2.121,0.981,4.557,4.557,13.536,15.11,0.307
4.553,25.145,0.0,0,0,0,0,76.368,1,1,0,7.902,9.436,0.077,0.124,2,0.5,1,1,1.2,0.2,2.119,2.11,2.12,0.026,2.186,1.784,3.59,5.289,6.93,8.539,10.13,10.981,11.71,2.186,4.491,4.491,7.491,4.053,4.491,0,0.085,0.269,1.177,0.075,0.012,0.763,0.841,0.081,0.891,0,3.49,4.905,6.387,3.889,0.077,0.284,2.121,0.968,4.557,4.557,13.539,15.112,0.547
4.569,25.145,0.0,0,0,0,0,99.442,1,1,0,7.906,9.44,0.082,0.123,2,0.667,1,1,1.125,0.125,2.099,2.11,2.12,0.017,2.187,1.784,3.59,5.291,6.934,8.544,10.136,10.987,11.717,2.187,4.491,4.491,7.491,4.054,4.491,0,0.061,0.252,1.391,-0.025,0.012,0.82,0.927,-0.014,0.946,0,3.5,4.909,6.39,3.89,0.069,0.146,2.121,0.939,4.557,4.557,13.598,15.189,0.278
4.0,109.013,8.219,2,2,1,1,0.0,0,0,2,7.807,9.221,0.085,0.129,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.012,2.035,0.0,0.0,0.0,0.0,0.0,0.0,10.64,0.0,2.035,4.043,4.043,7.043,3.884,4.043,1,-0.153,0.228,1.145,-0.014,0.01,1.161,1.08,-0.159,0.925,1,3.704,5.021,6.401,4.069,0.06,0.057,2.084,1.175,4.371,4.371,12.972,14.516,0.417
4.0,92.412,8.379,2,2,1,1,0.0,0,0,2,3.184,3.658,0.085,0.13,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.013,1.277,0.0,0.0,0.0,0.0,0.0,0.0,4.138,0.0,1.277,4.032,4.032,7.032,3.884,4.032,1,-0.131,0.091,1.097,-0.026,0.009,1.139,1.062,-0.119,0.912,1,1.845,2.271,2.72,2.555,0.062,0.067,2.084,1.19,4.362,4.362,12.91,14.456,0.495
4.0,93.705,3.775,1,1,1,1,0.0,0,0,2,3.25,3.698,0.091,0.135,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.011,1.277,0.0,0.0,0.0,0.0,0.0,0.0,4.162,0.0,1.277,3.93,3.93,6.93,3.873,3.93,1,-0.148,0.196,0.955,-0.027,0.008,1.254,1.148,-0.182,0.903,1,2.1,2.439,2.827,2.555,0.069,0.104,2.084,1.235,4.309,4.309,12.577,14.079,0.524
4.0,132.593,3.978,1,1,1,1,0.0,0,0,2,4.596,5.265,0.082,0.126,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.012,1.437,0.0,0.0,0.0,0.0,0.0,0.0,5.945,0.0,1.437,4.08,4.08,7.08,3.88,4.08,3,-0.181,0.187,0.993,-0.031,0.012,1.227,1.106,-0.194,0.925,1,2.698,3.306,3.941,2.873,0.07,0.08,2.084,1.24,4.399,4.399,13.105,14.598,0.417
4.0,149.379,8.01,2,2,1,1,0.0,0,0,2,4.596,5.265,0.084,0.127,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.012,1.437,0.0,0.0,0.0,0.0,0.0,0.0,5.945,0.0,1.437,4.053,4.053,7.053,3.882,4.053,1,-0.208,0.181,1.011,-0.02,0.011,1.203,1.108,-0.179,0.929,1,2.698,3.306,3.941,2.873,0.068,0.076,2.084,1.275,4.38,4.38,13.044,14.572,0.4
4.0,161.15,8.07,2,2,1,1,0.0,0,0,2,4.596,5.265,0.083,0.129,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.016,1.437,0.0,0.0,0.0,0.0,0.0,0.0,5.945,0.0,1.437,4.033,4.033,7.033,3.883,4.033,1,-0.149,0.181,1.031,-0.022,0.008,1.174,1.091,-0.149,0.929,1,2.698,3.306,3.941,2.873,0.074,0.076,2.084,1.217,4.364,4.364,13.027,14.553,0.4
4.71,63.855,3.855,1,1,1,1,0.0,0,0,2,3.184,3.658,0.1,0.145,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.009,1.277,0.0,0.0,0.0,0.0,0.0,0.0,4.138,0.0,1.277,3.697,3.697,6.697,3.873,3.697,0,-0.165,0.128,0.926,-0.044,0.004,1.225,1.167,-0.184,0.9,1,1.845,2.271,2.72,2.555,0.056,0.037,2.084,1.234,4.155,4.155,12.054,13.601,0.526
4.0,124.748,8.237,2,2,1,1,0.0,0,0,2,5.915,6.918,0.083,0.127,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.013,1.674,0.0,0.0,0.0,0.0,0.0,0.0,7.932,0.0,1.674,4.054,4.054,7.054,3.884,4.054,1,-0.069,0.19,1.249,-0.011,0.01,1.076,1.017,-0.055,0.918,1,3.093,3.985,4.933,3.349,0.072,0.086,2.084,1.13,4.383,4.383,13.056,14.583,0.467
4.0,97.426,12.343,3,3,1,1,0.0,0,0,2,3.22,3.675,0.083,0.125,0,1.0,0,0,1.0,0.0,0.0,2.02,2.043,0.012,1.277,0.0,0.0,0.0,0.0,0.0,0.0,4.146,0.0,1.277,4.078,4.078,7.078,3.876,4.078,1,0.05,0.193,0.96,-0.012,0.013,1.0,0.956,0.023,0.905,1,2.142,2.426,2.796,2.555,0.056,0.099,2.084,1.022,4.393,4.393,13.077,14.606,0.546
