pXC50,RBN,PHI,DBI,GGI1,Eig11_AEA.dm.,SAtot,MAXDP,ATSC8e,Eta_alpha,S1K,SpMaxA_EA.ri.,Eig03_EA.ed.,SM12_AEA.dm.,SM05_EA.bo.,MATS8p,RDCHI,MATS8v,SpAD_EA.bo.,S3K,Chi0_EA.ri.,Chi1_EA.ri.,SMTI,X1,SpMax8_Bh.e.,MSD,TIC2,MDDD,SssO,S2K,Chi1_AEA.bo.,Chi1_AEA.dm.,Chi1_AEA.ed.,Chi1_AEA.ri.,Chi1_EA,Eig03_EA,SM11_AEA.bo.,AMR,ON0V,CENT,SpMax7_Bh.i.,TIC1,LOC,X0v,SM02_AEA.bo.,TIC3,SMTIV,SpAD_AEA.dm.,Chi1_EA.ed.,Eig08_AEA.ed.,IDMT,Xu,SpAD_AEA.bo.,MPC01,MWC01,nBO,SRW02,IDET,Eig07_AEA.ed.,MW,piPC01,SCBO,GMTI,S0K,JGT,DLS_03,Chi0_EA.ed.
7.102,7,6.089,4.183,7.0,1.28,551.82,6.32,0.692,15.3,21.394,0.087,9.485,9.485,8.272,-0.024,4.315,-0.052,64.989,4.828,21.732,18.502,12643.0,15.003,3.111,6.85,268.056,31.74,5.484,8.823,17.291,17.291,17.291,17.291,17.291,2.951,2.951,121.61,10.283,1911.0,3.245,205.524,0.486,19.142,5.08,299.076,20172.0,56.098,5.792,4.403,24172.6,29.07,53.229,3.584,3.584,35,4.263,1680.45,4.873,460.67,3.795,43.5,13796.0,141.58,0.441,1.0,12.192
5.87,7,6.263,4.123,7.0,1.2,534.156,6.169,0.759,14.3,20.804,0.095,9.377,9.377,8.14,-0.02,4.101,-0.059,60.197,5.578,19.965,16.932,10334.0,13.898,3.073,6.584,252.001,29.025,5.452,8.73,15.817,15.817,15.817,15.817,15.817,2.951,2.951,114.107,9.867,1634.0,3.206,196.317,0.729,18.098,4.996,271.22,17317.0,51.394,5.365,4.381,19870.9,27.515,48.798,3.497,3.497,32,4.174,1441.28,4.594,434.63,3.726,40.5,10916.0,128.881,0.453,1.0,11.234
6.509,7,7.338,4.416,7.5,1.2,570.279,6.154,0.776,14.3,22.236,0.098,8.568,8.568,8.12,-0.021,3.947,-0.073,58.669,6.019,19.517,16.413,9882.0,13.736,3.068,6.584,268.7,29.106,5.446,9.57,15.297,15.297,15.297,15.297,15.297,2.832,2.832,115.909,10.867,1636.0,3.206,204.003,0.904,18.684,4.961,278.21,16865.0,49.544,5.232,3.867,19881.6,27.433,47.135,3.466,3.466,31,4.143,1440.82,4.575,436.65,3.701,39.5,9978.0,128.881,0.498,1.0,11.003
5.983,8,8.022,4.301,8.0,1.383,620.846,6.387,0.839,16.633,24.839,0.082,9.239,9.239,8.256,-0.003,4.463,-0.032,71.649,6.452,23.583,19.517,16280.0,16.33,3.111,7.8,298.141,40.599,10.676,10.981,18.211,18.211,18.211,18.211,18.211,2.912,2.912,133.344,11.533,2434.0,3.293,232.817,0.797,20.824,5.149,319.65,28227.0,58.386,6.264,4.584,33770.3,31.623,55.729,3.638,3.638,37,4.317,2162.57,4.976,500.69,3.902,48.5,16958.0,158.974,0.451,0.83,13.304
5.544,7,6.79,4.243,8.0,1.692,597.797,6.46,0.71,16.2,23.258,0.083,9.551,9.551,8.281,-0.019,4.434,-0.034,68.275,5.44,22.996,19.647,14900.0,15.897,3.127,7.211,312.026,35.407,5.5,9.634,18.274,18.274,18.274,18.274,18.274,2.96,2.96,130.479,11.483,2258.0,3.274,230.179,0.522,20.589,5.128,331.245,23676.0,59.133,6.118,4.818,29434.5,30.62,56.593,3.638,3.638,37,4.317,1953.35,4.987,489.72,3.839,45.5,16119.0,154.465,0.464,1.0,12.829
7.215,7,6.58,4.183,7.0,1.395,577.897,6.406,0.711,15.8,22.343,0.085,9.461,9.461,8.268,-0.018,4.383,-0.057,66.554,5.224,22.439,19.002,13726.0,15.503,3.111,7.01,277.857,33.563,5.496,9.423,17.791,17.791,17.791,17.791,17.791,2.94,2.94,126.211,10.783,2080.0,3.259,211.412,0.476,19.849,5.098,315.16,21603.0,57.29,6.039,4.414,26665.5,29.843,54.762,3.611,3.611,36,4.29,1809.14,4.871,474.7,3.818,44.5,14930.0,148.0,0.432,1.0,12.692
5.33,7,6.215,4.123,7.0,1.28,524.901,6.014,0.813,14.133,20.741,0.096,7.679,7.679,8.128,-0.039,4.075,-0.047,58.821,5.156,20.057,16.912,10228.0,13.931,3.107,6.513,240.361,28.756,5.421,8.69,15.786,15.786,15.786,15.786,15.786,2.684,2.684,110.873,9.2,1586.0,3.206,189.26,0.562,17.636,4.994,259.58,18023.0,53.989,5.36,4.391,19670.9,27.45,48.639,3.497,3.497,32,4.174,1433.42,4.599,436.6,3.714,40.0,10808.0,128.881,0.471,1.0,11.278
6.801,8,6.829,4.472,7.5,1.279,578.285,6.25,0.744,15.3,22.479,0.09,8.569,8.569,8.241,-0.012,4.212,-0.058,64.438,5.56,21.294,17.948,12282.0,14.841,3.111,6.924,279.102,32.701,5.466,9.418,16.754,16.754,16.754,16.754,16.754,2.834,2.834,122.923,10.617,1940.0,3.263,217.376,0.744,19.305,5.067,298.321,20334.0,54.328,5.632,4.406,24432.7,29.072,52.172,3.555,3.555,34,4.234,1689.96,4.909,460.67,3.795,43.5,12878.0,141.58,0.478,1.0,11.921
7.585,8,7.025,4.472,7.5,1.209,591.7,6.272,0.746,15.3,22.729,0.09,8.569,8.569,8.208,-0.016,4.212,-0.067,63.348,5.673,21.294,17.948,12282.0,14.841,3.111,6.924,283.046,32.701,5.474,9.581,16.754,16.754,16.754,16.754,16.754,2.834,2.834,123.12,11.2,1940.0,3.264,214.517,0.744,19.676,5.048,302.265,19851.0,54.274,5.632,4.406,24432.7,29.072,52.036,3.555,3.555,34,4.234,1689.96,4.909,462.69,3.773,42.5,12878.0,139.58,0.478,1.0,11.921
5.533,7,7.24,4.743,9.0,1.2,602.647,6.234,0.807,14.8,23.214,0.102,10.05,10.05,8.203,-0.011,3.98,-0.078,60.743,6.278,19.781,16.914,10785.0,14.037,3.07,6.738,274.865,30.333,5.455,9.357,15.803,15.803,15.803,15.803,15.803,3.002,3.002,120.41,11.783,1770.0,3.206,211.255,0.914,19.607,5.009,284.374,18113.0,51.9,5.246,4.398,22032.6,28.2,49.415,3.497,3.497,32,4.174,1556.31,4.599,450.68,3.726,40.5,10861.0,132.452,0.552,1.0,11.001
6.921,7,6.58,4.183,7.0,1.395,577.897,6.406,0.711,15.8,22.343,0.085,9.461,9.461,8.268,-0.018,4.383,-0.057,66.554,5.224,22.439,19.002,13726.0,15.503,3.111,7.01,277.857,33.563,5.496,9.423,17.791,17.791,17.791,17.791,17.791,2.94,2.94,126.211,10.783,2080.0,3.259,211.412,0.476,19.849,5.098,315.16,21603.0,57.29,6.039,4.414,26665.5,29.843,54.762,3.611,3.611,36,4.29,1809.14,4.871,474.7,3.818,44.5,14930.0,148.0,0.432,1.0,12.692
5.456,6,6.192,4.123,7.5,1.0,516.918,5.963,0.888,13.267,20.537,0.101,7.613,7.613,8.053,-0.023,3.826,-0.102,56.437,5.21,18.607,15.586,8750.0,13.236,2.98,6.216,243.694,26.429,0.0,8.442,14.796,14.796,14.796,14.796,14.796,2.635,2.635,105.497,9.767,1432.0,3.055,188.145,0.82,16.776,4.959,262.913,15371.0,48.308,5.025,4.233,17307.1,26.485,45.487,3.434,3.434,30,4.111,1312.38,4.616,404.54,3.689,39.0,8851.0,128.606,0.522,1.0,10.53
5.6,5,5.389,3.162,5.0,1.064,448.426,5.156,0.227,13.614,18.355,0.102,7.788,7.788,8.046,0.02,3.96,0.164,61.871,3.979,19.158,16.207,9003.0,13.114,2.877,6.779,196.122,26.856,0.0,7.927,14.819,14.819,14.819,14.819,14.819,2.734,2.734,109.37,7.726,1137.0,2.955,168.861,0.528,16.476,4.972,204.122,16863.0,48.534,5.153,4.148,16704.8,26.15,45.572,3.434,3.434,30,4.111,1284.68,4.472,416.95,3.75,41.5,9540.0,128.382,0.395,1.0,10.844
7.398,11,9.323,4.637,9.0,1.746,637.108,5.919,1.184,16.086,26.296,0.078,7.7,7.7,7.697,0.099,4.52,0.046,69.211,8.144,23.675,19.169,17519.0,16.728,3.147,8.145,302.366,45.794,17.048,12.409,18.243,18.243,18.243,18.243,18.243,2.681,2.681,126.618,11.876,2646.0,3.3,236.808,1.287,19.656,5.115,330.896,32216.0,56.665,6.551,4.756,37948.5,32.551,54.707,3.638,3.638,37,4.317,2325.91,4.955,482.55,3.892,48.0,17703.0,173.525,0.474,0.83,13.785
7.155,12,9.967,4.743,8.5,1.734,675.466,5.989,1.098,16.633,27.304,0.076,8.233,8.233,7.737,0.133,4.56,0.111,70.276,8.131,24.707,19.656,18596.0,17.282,3.227,8.167,323.381,46.336,22.66,13.141,18.676,18.676,18.676,18.676,18.676,2.779,2.779,132.865,12.9,2774.0,3.315,242.613,1.333,20.686,5.133,361.91,32833.0,57.678,6.694,4.661,40789.5,33.195,55.792,3.664,3.664,38,4.344,2456.71,4.876,494.59,3.912,49.0,18748.0,186.117,0.454,0.83,14.361
7.301,11,9.483,4.69,10.0,1.888,639.942,5.914,1.265,16.371,27.215,0.076,8.084,8.084,7.792,0.089,4.552,0.096,70.862,8.366,24.185,19.796,18699.0,17.121,3.146,8.222,304.896,46.747,16.884,12.544,18.76,18.76,18.76,18.76,18.76,2.775,2.775,126.834,11.936,2788.0,3.3,242.027,1.288,19.957,5.145,330.896,35736.0,58.357,6.663,4.74,41006.1,33.228,56.29,3.664,3.664,38,4.344,2463.64,4.992,500.54,3.912,49.0,18852.0,180.117,0.498,0.67,13.995
7.523,11,9.213,4.637,9.0,1.737,627.215,5.895,1.243,15.848,25.875,0.081,7.856,7.856,7.731,0.102,4.437,0.056,67.303,7.923,23.042,18.827,16088.0,16.228,3.145,7.908,293.16,43.121,17.013,12.106,17.76,17.76,17.76,17.76,17.76,2.737,2.737,123.393,11.376,2450.0,3.3,232.821,1.308,19.666,5.089,316.811,30480.0,55.204,6.337,4.696,34480.8,31.737,53.646,3.611,3.611,36,4.29,2164.61,4.889,488.96,3.861,46.5,16253.0,172.974,0.484,0.83,13.332
7.046,11,9.244,4.583,8.0,1.634,640.93,5.91,0.943,15.3,25.161,0.083,7.685,7.685,7.501,0.023,4.381,-0.014,61.809,7.812,22.458,18.077,14821.0,15.834,3.146,7.706,310.36,40.839,17.24,12.123,17.277,17.277,17.277,17.277,17.277,2.65,2.65,122.856,12.233,2267.0,3.3,230.686,1.304,19.374,5.017,341.189,24594.0,53.07,6.265,4.559,31348.1,30.959,51.355,3.584,3.584,35,4.263,2014.06,4.789,456.59,3.784,43.0,15010.0,162.465,0.451,0.83,13.199
5.0,11,8.991,4.899,9.5,1.71,666.642,6.002,1.039,16.3,26.36,0.081,8.229,8.229,7.711,0.12,4.473,0.058,69.111,8.179,23.437,19.049,17109.0,16.647,3.15,7.917,308.196,43.822,17.482,11.939,18.266,18.266,18.266,18.266,18.266,2.776,2.776,131.039,12.733,2617.0,3.33,237.939,1.287,20.278,5.127,345.679,29487.0,56.586,6.457,4.591,37061.7,32.411,55.162,3.638,3.638,37,4.317,2292.77,5.059,478.59,3.892,48.0,17287.0,173.525,0.496,0.83,13.658
5.0,9,8.481,4.062,7.5,1.699,624.227,6.008,0.934,16.3,24.864,0.076,7.736,7.736,7.597,0.03,4.633,-0.009,70.391,7.365,24.113,19.632,17804.0,16.958,3.111,7.967,301.84,44.204,17.733,11.939,18.828,18.828,18.828,18.828,18.828,2.64,2.64,129.415,11.317,2630.0,3.206,232.692,0.651,19.477,5.133,333.059,30340.0,57.841,6.908,4.579,37269.7,32.486,56.094,3.664,3.664,38,4.344,2297.9,4.945,476.57,3.912,49.0,18638.0,171.525,0.393,0.83,14.287
7.155,11,9.167,4.583,7.5,1.636,636.332,5.905,0.892,15.8,25.378,0.081,8.23,8.23,7.613,0.01,4.463,-0.006,67.676,7.654,23.197,18.503,16200.0,16.351,3.156,7.949,296.921,43.059,17.051,12.282,17.738,17.738,17.738,17.738,17.738,2.769,2.769,126.455,11.817,2456.0,3.301,227.284,1.281,19.355,5.085,336.141,28216.0,54.857,6.456,4.283,34656.6,31.779,53.177,3.611,3.611,36,4.29,2167.9,4.719,464.56,3.871,47.0,16406.0,168.974,0.435,0.83,13.671
7.523,11,8.881,4.899,9.0,1.636,612.167,6.587,1.498,15.871,26.232,0.082,8.231,8.231,7.757,0.054,4.466,0.049,69.779,7.556,23.645,19.27,17159.0,16.674,3.148,7.953,283.592,43.102,16.156,11.849,18.223,18.223,18.223,18.223,18.223,2.779,2.779,121.897,11.019,2575.0,3.3,225.749,1.287,19.034,5.127,316.811,32559.0,56.651,6.439,4.707,37178.2,32.414,55.477,3.638,3.638,37,4.317,2297.47,4.906,486.51,3.892,48.0,17327.0,173.525,0.494,0.83,13.678
7.0,7,6.542,4.0,8.0,1.694,556.958,5.86,0.745,14.967,22.003,0.085,8.232,8.232,7.744,0.068,4.329,0.018,67.393,5.543,21.649,17.939,13892.0,15.368,2.964,7.465,255.173,36.137,12.046,9.514,17.333,17.333,17.333,17.333,17.333,2.778,2.778,118.667,10.567,1958.0,3.144,204.444,0.981,17.87,5.091,281.702,23673.0,54.441,6.05,4.414,28032.0,30.084,52.894,3.584,3.584,35,4.263,1877.48,4.843,432.51,3.85,46.0,14530.0,150.0,0.453,1.0,12.556
6.678,7,6.6,3.873,7.0,1.0,513.153,5.697,0.754,13.467,20.525,0.094,7.692,7.692,7.561,0.081,4.043,0.017,60.427,5.882,19.547,15.957,10364.0,13.902,2.874,6.965,213.637,31.377,11.578,9.326,15.345,15.345,15.345,15.345,15.345,2.591,2.591,106.098,9.317,1535.0,3.009,173.441,1.038,15.956,4.973,244.856,18616.0,47.552,5.548,4.025,20758.8,27.711,46.278,3.466,3.466,31,4.143,1494.08,4.378,392.44,3.761,42.0,10525.0,134.881,0.442,1.0,11.509
6.796,9,7.733,4.123,7.0,1.483,554.346,5.798,0.963,14.3,22.439,0.088,7.704,7.704,7.566,0.074,4.214,0.045,62.884,6.622,21.285,17.084,12359.0,14.94,2.977,7.276,248.096,36.031,16.821,10.684,16.294,16.294,16.294,16.294,16.294,2.591,2.591,112.394,9.983,1890.0,3.151,195.023,1.319,17.071,5.014,279.315,22435.0,50.04,5.977,4.036,25533.4,29.304,48.594,3.526,3.526,33,4.205,1734.34,4.685,422.47,3.807,44.0,12503.0,149.58,0.422,0.83,12.583
7.398,10,8.519,4.301,8.0,1.635,595.538,5.878,1.086,15.133,24.359,0.083,7.921,7.921,7.684,0.023,4.335,0.008,65.889,7.102,22.782,18.181,14529.0,15.872,3.153,7.583,271.681,39.62,22.136,11.541,17.204,17.204,17.204,17.204,17.204,2.693,2.693,118.857,11.067,2227.0,3.3,211.707,1.373,18.402,5.066,308.21,26625.0,53.24,6.173,4.653,30889.1,30.827,51.234,3.584,3.584,35,4.263,2001.05,4.861,452.5,3.85,46.0,14625.0,166.465,0.447,0.83,13.205
7.222,10,8.519,4.301,8.0,1.635,595.538,5.865,1.044,15.133,24.359,0.083,7.753,7.753,7.684,0.066,4.358,0.03,65.972,7.102,22.782,18.169,14737.0,15.872,3.147,7.715,267.681,40.986,22.046,11.541,17.187,17.187,17.187,17.187,17.187,2.663,2.663,118.857,11.067,2261.0,3.299,211.707,1.373,18.402,5.066,302.21,27021.0,53.172,6.151,4.672,31310.6,30.922,51.383,3.584,3.584,35,4.263,2020.98,4.936,452.5,3.85,46.0,14841.0,162.465,0.451,0.83,13.168
6.959,9,8.195,4.183,8.0,1.634,575.748,5.831,1.095,15.014,23.697,0.085,7.821,7.821,7.674,0.11,4.259,0.091,64.716,7.03,21.869,17.833,13379.0,15.334,2.982,7.407,259.541,37.438,16.814,11.067,16.777,16.777,16.777,16.777,16.777,2.667,2.667,117.198,10.043,2050.0,3.151,204.547,1.328,18.128,5.047,290.07,25481.0,51.975,6.027,4.596,28052.9,30.05,50.247,3.555,3.555,34,4.234,1860.35,4.767,456.91,3.829,45.0,13496.0,160.0,0.458,0.83,12.703
7.0,9,8.195,4.183,8.0,1.634,575.748,5.825,1.074,15.014,23.697,0.085,7.729,7.729,7.674,0.081,4.272,0.04,64.965,7.03,21.869,17.827,13483.0,15.334,2.99,7.476,255.541,38.0,16.814,11.067,16.76,16.76,16.76,16.76,16.76,2.641,2.641,117.198,10.043,2068.0,3.151,204.547,1.328,18.128,5.047,282.07,25779.0,52.219,6.012,4.656,28262.3,30.101,50.375,3.555,3.555,34,4.234,1872.24,4.841,456.91,3.829,45.0,13604.0,154.0,0.462,0.83,12.67
