pXC50,RBF,nC,Sp,Sv,nCsp3,nBT,Si,nN,Se,nAT,nH,nSK,MW,nO,C.
8.886,0.069,31,45.83,43.364,9,72.0,74.81,4,66.549,67.0,30.0,37.0,490.65,2,46.3
9.161,0.069,31,45.705,44.13,9,72.0,75.489,4,67.574,67.0,28.0,39.0,526.63,2,46.3
10.0,0.067,32,47.591,44.89,10,75.0,78.225,4,69.432,70.0,32.0,38.0,504.68,2,45.7
9.921,0.067,32,47.466,45.657,10,75.0,78.904,4,70.458,70.0,30.0,40.0,540.66,2,45.7
9.523,0.041,32,46.705,45.13,10,74.0,76.489,4,68.574,68.0,28.0,40.0,538.64,2,47.1
8.708,0.053,28,45.966,44.689,13,76.0,80.067,8,71.098,70.0,30.0,40.0,548.66,2,40.0
9.643,0.053,28,45.535,45.344,12,75.0,81.003,7,72.418,70.0,28.0,42.0,589.63,2,40.0
8.342,0.043,26,42.199,41.141,10,69.0,73.154,7,65.112,64.0,27.0,37.0,507.6,2,40.6
8.276,0.053,28,45.535,45.344,12,75.0,81.003,7,72.418,70.0,28.0,42.0,589.63,2,40.0
7.753,0.055,27,44.415,43.382,11,73.0,77.778,7,69.323,68.0,29.0,39.0,537.63,3,39.7
8.229,0.042,27,43.961,42.668,11,72.0,76.569,7,67.996,67.0,29.0,38.0,521.63,2,40.3
8.523,0.042,27,43.961,42.668,11,72.0,76.569,7,67.996,67.0,29.0,38.0,521.63,2,40.3
8.352,0.055,27,44.415,43.382,11,73.0,77.778,7,69.323,68.0,29.0,39.0,537.63,3,39.7
7.873,0.075,29,48.489,46.743,13,80.0,85.897,8,75.865,75.0,34.0,41.0,564.71,2,38.7
8.387,0.051,29,48.182,46.931,12,79.0,84.692,8,75.309,74.0,32.0,42.0,578.69,3,39.2
8.772,0.05,32,49.722,48.194,10,80.0,83.984,7,74.879,74.0,31.0,43.0,583.7,2,43.2
8.702,0.053,29,47.853,46.349,10,76.0,79.572,8,71.29,70.0,28.0,42.0,590.72,2,41.4
9.185,0.051,29,47.483,45.721,13,78.0,83.399,7,73.763,73.0,33.0,40.0,549.69,2,39.7
9.311,0.066,28,46.177,44.909,12,76.0,81.193,7,72.207,71.0,31.0,40.0,551.66,3,39.4
9.362,0.061,30,49.699,47.963,14,82.0,88.024,7,77.974,77.0,35.0,42.0,579.72,3,39.0
9.121,0.041,28,44.529,44.323,12,73.0,78.505,6,70.316,68.0,27.0,41.0,574.61,2,41.2
8.46,0.038,30,47.29,46.85,14,78.0,82.92,6,74.199,72.0,29.0,43.0,600.65,2,41.7
8.569,0.054,28,45.171,43.888,12,74.0,78.695,6,70.105,69.0,30.0,39.0,536.64,3,40.6
9.242,0.05,30,48.694,46.941,14,80.0,85.525,6,75.872,75.0,34.0,41.0,564.7,3,40.0
8.699,0.041,28,44.983,45.038,12,74.0,79.714,6,71.643,69.0,27.0,42.0,590.61,3,40.6
8.604,0.042,27,43.773,43.817,12,72.0,77.588,7,69.534,67.0,26.0,41.0,575.6,2,40.3
9.401,0.041,27,44.228,44.532,12,73.0,78.797,7,70.861,68.0,26.0,42.0,591.6,3,39.7
9.535,0.053,28,45.625,44.603,12,75.0,79.904,6,71.432,70.0,30.0,40.0,552.64,4,40.0
9.411,0.049,30,49.148,47.656,14,81.0,86.735,6,77.199,76.0,34.0,42.0,580.7,4,39.5
9.302,0.038,29,47.387,46.129,13,78.0,83.32,6,74.316,73.0,32.0,41.0,566.67,4,39.7
8.538,0.06,31,50.91,49.183,15,84.0,90.15,6,80.083,79.0,36.0,43.0,594.73,4,39.2
9.492,0.06,31,50.722,50.333,15,84.0,91.169,6,81.621,79.0,33.0,46.0,648.7,4,39.2
9.49,0.069,32,52.671,50.71,16,87.0,93.565,6,82.967,82.0,38.0,44.0,608.76,4,39.0
9.399,0.036,31,50.148,48.656,15,83.0,87.735,6,78.199,77.0,34.0,43.0,592.71,4,40.3
6.368,0.235,136,269.019,258.84,88,447.0,511.895,39,453.143,445.0,223.0,222.0,3189.12,45,30.6
7.854,0.23,143,283.218,271.899,90,470.0,537.585,46,474.641,467.0,234.0,233.0,3334.37,42,30.6
6.646,0.129,36,64.251,60.332,16,101.0,110.021,8,97.581,97.0,46.0,51.0,830.7,5,37.1
6.602,0.127,37,65.006,60.837,17,102.0,110.938,7,98.363,98.0,47.0,51.0,829.71,5,37.8
10.373,0.113,38,67.256,63.353,17,106.0,114.519,9,101.683,101.0,47.0,54.0,869.74,5,37.6
6.0,0.16,34,60.484,56.783,14,94.0,103.107,7,91.596,91.0,43.0,48.0,789.64,5,37.4
4.77,0.2,33,56.012,52.004,12,85.0,93.403,4,82.963,83.0,40.0,43.0,716.57,4,39.8
4.987,0.163,34,59.575,55.354,14,92.0,100.688,7,88.941,89.0,43.0,46.0,757.64,3,38.2
7.357,0.118,37,64.944,61.52,16,102.0,109.815,8,98.025,97.0,44.0,53.0,856.69,6,38.1
4.886,0.193,33,57.472,53.741,12,88.0,97.111,5,86.392,86.0,41.0,45.0,747.59,5,38.4
6.8,0.16,34,60.484,56.783,14,94.0,103.107,7,91.596,91.0,43.0,48.0,789.64,5,37.4
6.658,0.194,44,78.756,76.182,22,129.0,145.002,9,129.145,127.0,61.0,66.0,924.14,13,34.6
6.155,0.086,33,55.87,52.303,19,93.0,100.005,7,87.483,88.0,45.0,43.0,587.85,3,37.5
6.42,0.081,36,59.631,55.83,19,99.0,105.42,7,92.367,93.0,47.0,46.0,625.9,3,38.7
6.705,0.082,35,58.876,55.325,19,98.0,104.503,8,91.585,92.0,46.0,46.0,626.89,3,38.0
5.347,0.071,33,57.603,53.577,24,98.0,105.962,6,92.359,93.0,50.0,43.0,594.89,4,35.5
6.367,0.075,34,56.194,53.763,18,93.0,100.396,6,88.734,88.0,42.0,46.0,636.82,4,38.6
6.229,0.084,32,56.296,52.765,22,95.0,103.756,6,90.803,91.0,48.0,43.0,596.86,5,35.2
6.553,0.085,34,56.773,53.712,18,94.0,100.926,6,89.036,89.0,44.0,45.0,616.84,5,38.2
7.013,0.074,34,59.04,55.673,18,95.0,102.103,7,90.458,90.0,43.0,47.0,684.74,4,37.8
7.444,0.074,34,59.04,55.673,18,95.0,102.103,7,90.458,90.0,43.0,47.0,684.74,4,37.8
7.347,0.074,34,57.262,54.401,18,95.0,102.554,7,90.323,90.0,44.0,46.0,633.85,4,37.8
7.0,0.074,34,58.182,54.846,18,95.0,102.159,7,90.134,90.0,44.0,46.0,650.3,4,37.8
7.173,0.079,31,54.211,51.099,18,89.0,95.617,8,84.141,84.0,41.0,43.0,609.25,3,36.9
5.854,0.079,31,53.353,50.271,18,89.0,95.673,8,83.818,84.0,42.0,42.0,574.81,3,36.9
7.495,0.086,33,56.875,54.034,18,93.0,99.953,7,88.578,88.0,42.0,46.0,652.27,5,37.5
6.602,0.075,32,56.461,53.615,18,93.0,99.198,10,87.461,87.0,41.0,46.0,649.28,3,36.8
7.097,0.083,32,57.273,54.744,19,96.0,104.088,10,91.676,91.0,44.0,47.0,648.86,5,35.2
6.921,0.074,32,56.609,53.809,19,95.0,101.753,11,89.239,89.0,43.0,46.0,629.86,3,36.0
6.745,0.073,35,57.87,54.303,18,96.0,102.005,7,89.483,90.0,45.0,45.0,611.87,3,38.9
6.704,0.074,34,57.114,53.798,18,95.0,101.088,8,88.701,89.0,44.0,45.0,612.86,3,38.2
6.051,0.072,36,58.87,55.303,18,97.0,103.005,7,90.483,91.0,45.0,46.0,623.88,3,39.6
6.921,0.071,37,60.978,56.834,18,98.0,103.764,6,91.494,92.0,45.0,47.0,701.78,3,40.2
6.658,0.071,37,59.626,55.809,18,98.0,103.922,6,91.265,92.0,46.0,46.0,622.89,3,40.2
9.318,0.063,35,57.319,53.997,19,95.0,100.716,6,88.708,89.0,44.0,45.0,612.85,4,39.3
10.149,0.071,36,59.631,55.83,20,99.0,105.42,7,92.367,93.0,47.0,46.0,625.9,3,38.7
9.745,0.071,36,59.569,56.213,20,99.0,105.76,7,92.879,93.0,46.0,47.0,643.89,3,38.7
9.463,0.063,35,57.87,54.303,19,96.0,102.005,7,89.483,90.0,45.0,45.0,611.87,3,38.9
9.824,0.08,37,60.631,56.83,19,100.0,106.42,7,93.367,94.0,47.0,47.0,637.91,3,39.4
9.722,0.071,37,59.626,55.809,19,98.0,103.922,6,91.265,92.0,46.0,46.0,622.89,3,40.2
8.366,0.067,33,54.25,51.658,17,90.0,95.095,6,84.269,84.0,40.0,44.0,600.79,5,39.3
8.143,0.058,32,51.938,49.825,16,86.0,90.391,5,80.61,80.0,37.0,43.0,587.74,6,40.0
8.634,0.07,32,52.341,49.228,16,86.0,91.676,6,80.614,81.0,40.0,41.0,556.78,3,39.5
7.595,0.063,30,48.267,45.868,14,79.0,83.557,5,74.072,74.0,35.0,39.0,529.7,4,40.5
8.297,0.072,31,50.58,47.702,15,83.0,88.261,6,77.73,78.0,38.0,40.0,542.75,3,39.7
7.55,0.065,34,55.557,52.47,18,92.0,97.301,6,85.825,86.0,42.0,44.0,598.82,4,39.5
6.495,0.069,32,52.489,50.131,16,87.0,91.68,6,81.385,81.0,38.0,43.0,586.76,5,39.5
6.337,0.06,31,50.176,48.298,15,83.0,86.976,5,77.727,77.0,35.0,42.0,573.71,6,40.3
10.472,0.071,36,59.631,55.83,20,99.0,105.42,7,92.367,93.0,47.0,46.0,625.9,3,38.7
7.959,0.071,36,59.631,55.83,20,99.0,105.42,7,92.367,93.0,47.0,46.0,625.9,3,38.7
9.699,0.071,36,59.569,56.213,20,99.0,105.76,7,92.879,93.0,46.0,47.0,643.89,3,38.7
8.256,0.071,36,59.569,56.213,20,99.0,105.76,7,92.879,93.0,46.0,47.0,643.89,3,38.7
7.538,0.092,30,47.443,46.024,9,76.0,80.019,6,71.851,71.0,30.0,41.0,554.66,5,42.3
8.357,0.101,31,49.205,47.551,10,79.0,83.434,6,74.734,74.0,32.0,42.0,568.69,5,41.9
8.523,0.081,30,46.779,45.089,9,74.0,77.684,7,69.414,69.0,29.0,40.0,535.66,3,43.5
9.481,0.084,32,51.517,49.384,11,83.0,88.139,7,78.392,78.0,35.0,43.0,581.74,4,41.0
9.569,0.084,34,52.302,50.143,9,83.0,86.514,7,77.181,77.0,33.0,44.0,587.74,3,44.2
9.553,0.077,35,56.04,53.438,14,91.0,95.969,7,85.159,85.0,39.0,46.0,621.81,4,41.2
10.35,0.087,35,56.347,53.25,15,92.0,97.175,7,85.716,86.0,41.0,45.0,607.83,3,40.7
7.921,0.083,30,45.529,43.573,8,72.0,75.102,5,67.094,67.0,29.0,38.0,507.64,3,44.8
9.796,0.088,36,56.341,53.228,14,91.0,95.676,6,84.614,85.0,40.0,45.0,604.82,3,42.4
9.62,0.091,35,54.58,51.702,13,88.0,92.261,6,81.73,82.0,38.0,44.0,590.79,3,42.7
8.921,0.09,35,55.035,52.416,13,89.0,93.471,6,83.058,83.0,38.0,45.0,606.79,4,42.2
10.2,0.085,37,58.103,54.755,15,94.0,99.092,6,87.498,88.0,42.0,46.0,618.85,3,42.0
9.481,0.082,29,46.887,44.62,9,73.0,76.442,6,68.425,68.0,29.0,39.0,589.54,3,42.6
9.409,0.082,29,46.392,44.422,9,73.0,76.544,6,68.52,68.0,29.0,39.0,545.09,3,42.6
9.62,0.083,35,53.057,50.648,9,84.0,87.431,6,77.963,78.0,34.0,44.0,586.75,3,44.9
8.886,0.093,30,46.989,45.309,9,75.0,78.81,6,70.523,70.0,30.0,40.0,538.66,4,42.9
8.18,0.087,35,56.347,53.25,15,92.0,97.175,7,85.716,86.0,41.0,45.0,607.83,3,40.7
8.721,0.089,34,55.04,52.438,14,90.0,94.969,7,84.159,84.0,39.0,45.0,609.8,4,40.5
8.167,0.09,34,54.586,51.723,14,89.0,93.76,7,82.832,83.0,39.0,44.0,593.8,3,41.0
9.511,0.085,33,52.37,50.19,10,82.0,86.584,6,77.614,77.0,33.0,44.0,613.17,4,42.9
10.154,0.085,33,52.37,50.19,10,82.0,86.584,6,77.614,77.0,33.0,44.0,613.17,4,42.9
10.032,0.081,33,54.137,51.738,12,86.0,91.498,7,81.6,81.0,36.0,45.0,630.21,4,40.7
10.149,0.089,30,49.858,48.179,10,79.0,83.75,8,75.051,74.0,31.0,43.0,603.14,4,40.5
8.063,0.08,30,46.841,44.406,10,75.0,78.806,6,69.752,70.0,32.0,38.0,508.68,2,42.9
7.578,0.08,30,46.779,44.79,10,75.0,79.146,6,70.265,70.0,31.0,39.0,526.67,2,42.9
7.886,0.086,32,50.364,47.46,12,81.0,85.637,6,75.519,76.0,36.0,40.0,536.74,2,42.1
8.222,0.077,31,48.603,45.933,11,78.0,82.221,6,72.636,73.0,34.0,39.0,522.71,2,42.5
7.833,0.077,31,48.603,45.933,11,78.0,82.221,6,72.636,73.0,34.0,39.0,522.71,2,42.5
8.162,0.089,31,49.057,46.648,11,79.0,83.431,6,73.963,74.0,34.0,40.0,538.71,3,41.9
8.959,0.091,31,48.296,46.121,10,77.0,81.016,6,72.08,72.0,32.0,40.0,536.69,3,43.1
8.816,0.085,36,57.654,54.062,16,94.0,99.381,7,87.272,88.0,43.0,45.0,605.86,2,40.9
7.572,0.081,31,46.836,44.385,9,74.0,77.308,5,68.65,69.0,31.0,38.0,505.67,2,44.9
8.448,0.068,29,46.086,43.901,9,74.0,77.889,7,68.97,69.0,31.0,38.0,509.67,2,42.0
8.773,0.082,29,45.534,43.594,9,73.0,76.6,6,68.196,68.0,30.0,38.0,510.65,3,42.6
9.198,0.068,29,47.438,44.926,9,74.0,77.731,7,69.2,69.0,30.0,39.0,588.56,2,42.0
9.379,0.082,29,46.887,44.62,9,73.0,76.442,6,68.425,68.0,29.0,39.0,589.54,3,42.6
8.777,0.062,33,50.847,48.428,9,81.0,84.305,7,74.854,75.0,33.0,42.0,559.73,2,44.0
8.587,0.075,33,50.296,48.121,9,80.0,83.016,6,74.08,74.0,32.0,42.0,560.71,3,44.6
9.043,0.062,33,50.847,48.428,9,81.0,84.305,7,74.854,75.0,33.0,42.0,559.73,2,44.0
9.269,0.075,33,50.296,48.121,9,80.0,83.016,6,74.08,74.0,32.0,42.0,560.71,3,44.6
7.888,0.071,35,53.608,50.955,9,85.0,88.72,7,78.738,79.0,35.0,44.0,585.77,2,44.3
8.445,0.065,30,47.847,45.428,10,77.0,81.305,7,71.854,72.0,33.0,39.0,523.7,2,41.7
8.689,0.091,30,47.75,45.836,10,77.0,81.225,6,72.407,72.0,32.0,40.0,540.68,4,41.7
9.616,0.093,30,46.989,45.309,9,75.0,78.81,6,70.523,70.0,30.0,40.0,538.66,4,42.9
9.731,0.051,31,48.171,46.888,12,78.0,81.695,6,73.105,72.0,30.0,42.0,572.67,3,43.1
5.62,0.07,29,50.864,47.282,20,86.0,93.507,6,81.381,82.0,44.0,38.0,524.79,3,35.4
6.523,0.068,32,53.103,49.755,17,88.0,94.092,6,82.498,83.0,42.0,41.0,558.8,3,38.6
6.0,0.059,31,51.341,48.228,16,85.0,90.676,6,79.614,80.0,40.0,40.0,544.77,3,38.8
6.0,0.077,33,54.864,51.282,18,91.0,97.507,6,85.381,86.0,44.0,42.0,572.83,3,38.4
8.602,0.067,32,53.557,50.47,17,89.0,95.301,6,83.825,84.0,42.0,42.0,574.8,4,38.1
5.678,0.076,33,55.319,51.997,18,92.0,98.716,6,86.708,87.0,44.0,43.0,588.83,4,37.9
5.854,0.076,33,55.319,51.997,18,92.0,98.716,6,86.708,87.0,44.0,43.0,588.83,4,37.9
9.187,0.067,32,56.262,52.52,17,89.0,94.984,6,84.283,84.0,40.0,44.0,732.58,4,38.1
6.0,0.067,32,56.262,52.52,17,89.0,94.984,6,84.283,84.0,40.0,44.0,732.58,4,38.1
6.125,0.067,32,54.109,50.777,17,90.0,96.59,7,84.599,85.0,43.0,42.0,573.82,3,37.6
5.721,0.074,34,57.324,54.018,18,95.0,102.215,7,89.81,90.0,45.0,45.0,615.86,4,37.8
8.143,0.063,36,57.864,54.282,17,95.0,100.507,6,88.381,89.0,44.0,45.0,608.86,3,40.4
6.638,0.063,36,57.864,54.282,17,95.0,100.507,6,88.381,89.0,44.0,45.0,608.86,3,40.4
6.602,0.071,38,60.626,56.809,17,99.0,104.922,6,92.265,93.0,46.0,47.0,634.9,3,40.9
7.076,0.065,34,56.109,52.777,17,93.0,98.59,7,86.599,87.0,43.0,44.0,597.84,3,39.1
7.796,0.063,35,57.87,54.303,18,96.0,102.005,7,89.483,90.0,45.0,45.0,611.87,3,38.9
7.495,0.065,34,56.109,52.777,17,93.0,98.59,7,86.599,87.0,43.0,44.0,597.84,3,39.1
7.167,0.065,33,55.353,52.271,17,92.0,97.673,8,85.818,86.0,42.0,44.0,598.83,3,38.4
6.0,0.084,28,49.25,46.658,18,83.0,90.095,6,79.269,79.0,40.0,39.0,540.74,5,35.4
6.0,0.083,28,49.802,46.965,18,84.0,91.384,7,80.043,80.0,41.0,39.0,539.76,4,35.0
6.602,0.063,34,57.114,53.798,18,95.0,101.088,8,88.701,89.0,44.0,45.0,612.86,3,38.2
9.569,0.063,34,57.018,54.206,18,95.0,101.009,7,89.254,89.0,43.0,46.0,629.84,5,38.2
9.187,0.062,35,58.324,55.018,19,97.0,103.215,7,90.81,91.0,45.0,46.0,627.87,4,38.5
9.26,0.064,33,56.359,53.293,18,94.0,100.171,9,87.919,88.0,43.0,45.0,613.85,3,37.5
7.553,0.061,35,58.876,55.325,19,98.0,104.503,8,91.585,92.0,46.0,46.0,626.89,3,38.0
8.046,0.065,34,56.751,52.942,17,92.0,97.012,6,85.574,86.0,42.0,44.0,614.89,3,39.5
8.398,0.065,34,56.751,52.942,17,92.0,97.012,6,85.574,86.0,42.0,44.0,614.89,3,39.5
6.77,0.056,34,55.745,51.921,17,90.0,94.513,5,83.472,84.0,41.0,43.0,599.87,3,40.5
7.78,0.054,35,57.506,53.448,18,93.0,97.929,5,86.356,87.0,43.0,44.0,613.9,3,40.2
7.681,0.054,35,57.506,53.448,18,93.0,97.929,5,86.356,87.0,43.0,44.0,613.9,3,40.2
6.855,0.054,35,57.506,53.448,18,93.0,97.929,5,86.356,87.0,43.0,44.0,613.9,3,40.2
6.066,0.053,35,58.512,54.469,18,95.0,100.427,6,88.458,89.0,44.0,45.0,628.92,3,39.3
7.793,0.065,35,57.751,53.942,17,93.0,98.012,6,86.574,87.0,42.0,45.0,626.9,3,40.2
6.481,0.063,35,58.512,54.469,18,95.0,100.427,6,88.458,89.0,44.0,45.0,628.92,3,39.3
5.071,0.061,35,60.035,55.523,23,99.0,105.257,6,92.225,93.0,48.0,45.0,632.96,3,37.6
5.854,0.065,34,56.995,53.437,17,92.0,97.095,7,85.792,86.0,41.0,45.0,627.89,3,39.5
6.678,0.065,34,56.995,53.437,17,92.0,97.095,7,85.792,86.0,41.0,45.0,627.89,3,39.5
7.604,0.055,34,56.199,52.636,17,91.0,95.723,5,84.799,85.0,41.0,44.0,615.87,4,40.0
8.412,0.054,34,56.751,52.942,17,92.0,97.012,6,85.574,86.0,42.0,44.0,614.89,3,39.5
9.658,0.057,28,43.404,42.34,10,70.0,73.782,5,66.12,65.0,27.0,38.0,519.6,3,43.1
6.027,0.057,28,43.404,42.34,10,70.0,73.782,5,66.12,65.0,27.0,38.0,519.6,3,43.1
10.777,0.113,38,67.256,63.353,17,106.0,114.519,9,101.683,101.0,47.0,54.0,869.74,5,37.6
6.676,0.056,28,44.836,44.733,8,72.0,76.786,8,69.17,67.0,25.0,42.0,578.61,3,41.8
5.0,0.054,30,47.205,46.572,8,74.0,78.564,6,71.058,69.0,26.0,43.0,611.07,3,43.5
6.37,0.053,30,47.353,46.766,9,76.0,81.118,7,72.836,71.0,28.0,43.0,591.65,3,42.3
6.204,0.06,26,41.586,41.217,8,67.0,72.204,6,64.85,63.0,25.0,38.0,526.57,3,41.3
4.699,0.07,27,43.801,43.459,9,71.0,76.829,6,69.061,67.0,27.0,40.0,556.6,4,40.3
7.269,0.059,26,42.04,41.932,9,68.0,73.414,6,66.178,64.0,25.0,39.0,542.57,4,40.6
7.648,0.064,32,49.046,48.654,8,78.0,83.374,6,75.13,73.0,28.0,45.0,620.66,3,43.8
5.215,0.052,31,48.108,47.271,9,77.0,82.035,6,73.618,72.0,29.0,43.0,590.66,3,43.1
6.701,0.073,33,51.324,50.513,9,82.0,87.659,6,78.829,77.0,31.0,46.0,632.7,4,42.9
6.119,0.063,31,49.114,48.292,10,79.0,84.533,7,75.719,74.0,30.0,44.0,605.68,3,41.9
6.122,0.059,27,42.83,42.712,8,68.0,73.287,7,66.069,64.0,24.0,40.0,551.58,3,42.2
6.427,0.054,30,46.284,46.128,8,74.0,78.959,6,71.247,69.0,26.0,43.0,594.62,3,43.5
6.286,0.063,32,49.87,48.798,10,80.0,85.45,6,76.501,75.0,31.0,44.0,604.69,3,42.7
6.0,0.054,29,46.046,45.954,8,74.0,78.912,7,71.28,69.0,26.0,43.0,593.62,4,42.0
6.971,0.064,32,49.046,48.654,8,78.0,83.374,6,75.13,73.0,28.0,45.0,620.66,3,43.8
7.071,0.062,33,50.87,49.798,9,81.0,86.45,6,77.501,76.0,31.0,45.0,616.7,3,43.4
5.736,0.053,30,47.353,46.766,9,76.0,81.118,7,72.836,71.0,28.0,43.0,591.65,3,42.3
7.907,0.064,32,49.108,48.271,8,78.0,83.035,6,74.618,73.0,29.0,44.0,602.67,3,43.8
4.699,0.052,31,48.108,47.271,9,77.0,82.035,6,73.618,72.0,29.0,43.0,590.66,3,43.1
5.301,0.202,54,98.824,96.201,29,163.0,184.162,11,164.497,161.0,77.0,84.0,1184.42,19,33.5
5.0,0.206,58,108.825,106.055,31,180.0,204.195,15,181.999,178.0,85.0,93.0,1312.58,20,32.6
5.921,0.202,54,98.921,95.793,29,163.0,184.241,12,163.945,161.0,78.0,83.0,1167.44,17,33.5
10.18,0.069,28,44.898,44.35,10,72.0,76.446,8,68.658,67.0,26.0,41.0,560.62,3,41.8
9.174,0.056,28,43.858,43.054,10,71.0,74.991,5,67.447,66.0,27.0,39.0,535.6,4,42.4
9.854,0.056,28,44.409,43.361,10,72.0,76.28,6,68.221,67.0,28.0,39.0,534.62,3,41.8
8.367,0.056,28,43.858,43.054,10,71.0,74.991,5,67.447,66.0,27.0,39.0,535.6,4,42.4
10.092,0.056,28,43.858,43.054,10,71.0,74.991,5,67.447,66.0,27.0,39.0,535.6,4,42.4
6.31,0.187,46,81.972,79.423,23,134.0,150.627,9,134.356,132.0,63.0,69.0,966.18,14,34.8
6.367,0.066,26,38.938,38.181,4,61.0,62.651,5,56.887,56.0,21.0,35.0,467.52,4,46.4
6.456,0.058,21,32.625,32.347,5,52.0,53.947,4,49.229,48.0,18.0,30.0,406.43,5,43.8
7.457,0.062,25,39.915,38.949,9,65.0,67.691,5,60.982,60.0,25.0,35.0,475.55,5,41.7
7.301,0.065,25,39.188,38.697,5,62.0,64.232,7,58.207,57.0,21.0,36.0,483.53,4,43.9
5.538,0.061,20,30.864,30.82,4,49.0,50.531,4,46.345,45.0,16.0,29.0,392.4,5,44.4
7.546,0.075,27,42.159,41.444,6,67.0,69.774,6,63.2,62.0,24.0,38.0,512.57,5,43.5
6.94,0.057,21,33.176,32.654,5,53.0,55.236,5,50.003,49.0,19.0,30.0,405.45,4,42.9
5.854,0.058,21,32.625,32.347,5,52.0,53.947,4,49.229,48.0,18.0,30.0,406.43,5,43.8
5.979,0.058,21,32.625,32.347,5,52.0,53.947,4,49.229,48.0,18.0,30.0,406.43,5,43.8
7.678,0.063,26,39.943,39.202,5,63.0,65.149,6,58.989,58.0,22.0,36.0,482.54,4,44.8
7.558,0.065,25,39.188,38.697,5,62.0,64.232,7,58.207,57.0,21.0,36.0,483.53,4,43.9
6.357,0.06,20,31.415,31.127,4,50.0,51.82,5,47.12,46.0,17.0,29.0,391.42,4,43.5
10.824,0.062,34,58.12,54.819,19,97.0,103.587,9,90.803,91.0,45.0,46.0,627.88,3,37.4
9.854,0.063,34,58.37,55.231,18,95.0,100.85,7,89.483,89.0,42.0,47.0,708.73,5,38.2
9.553,0.063,34,57.875,55.034,18,95.0,100.953,7,89.578,89.0,42.0,47.0,664.28,5,38.2
7.959,0.063,35,58.262,55.701,18,96.0,102.092,8,90.472,90.0,42.0,48.0,654.85,5,38.9
10.26,0.063,34,59.677,55.523,18,95.0,100.729,7,89.323,89.0,42.0,47.0,755.73,5,38.2
10.638,0.063,34,58.37,55.231,18,95.0,100.85,7,89.483,89.0,42.0,47.0,708.73,5,38.2
10.409,0.063,34,57.875,55.034,18,95.0,100.953,7,89.578,89.0,42.0,47.0,664.28,5,38.2
10.495,0.061,35,59.734,56.152,19,98.0,104.447,8,91.908,92.0,45.0,47.0,661.33,3,38.0
10.319,0.067,37,62.398,58.378,21,104.0,111.334,8,97.352,98.0,50.0,48.0,654.95,3,37.8
