pXC50,GGI3,ATS7s,ATS7i,ATS8s,ATS5e,SpMin5_Bh.v.,GGI5,ATS6e,SM06_EA.ri.,SM04_EA.ri.,ATS5m,ATS6s,ATS7m,SpMin3_Bh.s.,CATS2D_07_AL,SpMin5_Bh.p.,SM05_EA.ri.,ATSC6p,SM05_AEA.ed.,ATS5i,ATS6m,Eig12_EA,SM06_AEA.dm.,TIE,Eig03_EA.ri.,P_VSA_e_5,P_VSA_m_3,Pol,CIC0,ATSC4p,SM10_EA.ri.,nO,ATSC3v,SM04_AEA.ed.,Eig12_AEA.ri.,ATSC7v,SM06_AEA.ed.,Eig12_EA.ri.,SM03_EA.ri.,TPSA.NO.,SM02_EA.ed.,SpMin8_Bh.p.,Eig13_EA.ri.,SM03_AEA.ed.,ATSC8e,SM12_EA.ri.,Eig11_AEA.ri.,ATSC1p,Eig14_AEA.dm.,SM11_EA.ri.,GGI6,SM02_AEA.ed.,ATSC5p,Eig12_AEA.ed.,IC5,X1MulPer,Eig14_EA.ed.,SM09_AEA.ri.,Eig11_EA.ri.,SpMax6_Bh.e.,NsssCH,Eig13_EA.ed.,SM08_AEA.ri.,ATSC7e,DELS,Eig13_EA,SM07_AEA.dm.,HDcpx,ATS3s,Ram,Eig12_EA.bo.,C.008,GGI7,Eig11_EA,SM05_AEA.dm.,Eig08_AEA.dm.,Eig04_AEA.dm.,ATSC5s,SM13_EA.ri.,SIC0,GGI8,SsOH,SpMin7_Bh.p.,Eig03_EA,SM11_AEA.bo.,nC,VvdwZAZ,P_VSA_p_2,P_VSA_v_2,SAacc,GGI4,Eig12_EA.ed.,SM07_AEA.ri.,IC4,Eig09_AEA.ri.,SM04_EA,ATSC5e,S1K,SpMaxA_EA.bo.,Eig03_AEA.ri.,SPI,Eig15_EA.ri.,TIC4,ATS1p,Eig15_EA,SM09_AEA.dm.,P_VSA_s_6,Uindex,Eta_epsi,Eig11_EA.bo.,Eig11_AEA.bo.,Eig11_AEA.dm.,TIC3,SpMax7_Bh.i.,ATSC6v,Eig15_EA.bo.,ATSC7s,NsOH,Eig15_AEA.ri.,SAdon,Psi_e_1,TIC5,Eig12_AEA.bo.,SM05_AEA.bo.,SpMax8_Bh.v.,ATS1v,BIC0,SpMin8_Bh.e.,SM04_AEA.bo.,P_VSA_MR_2,DLS_06,P_VSA_MR_7,ATSC4s,SpMax8_Bh.p.,Psi_i_s,Eig06_AEA.dm.,Sv,N.
6.409,3.722,6.575,5.839,6.56,5.491,1.795,1.834,5.458,8.305,6.353,4.574,6.5,4.596,1.169,12,1.791,6.841,19.071,11.286,5.737,4.621,1.329,1.329,67.139,2.865,61.29,61.29,67,4.648,18.338,12.761,3,20.401,9.523,2.325,30.988,13.094,1.319,4.36,75.5,7.109,1.528,1.211,7.824,1.028,15.104,2.473,6.358,1.237,13.907,1.406,6.232,18.422,3.818,5.509,12.688,2.783,2.783,1.402,3.514,0,2.827,2.827,0.567,33.347,1.231,1.231,1.798,6.144,14,1.791,0,0.854,1.586,1.586,2.31,3.154,68.637,16.281,0.244,0.729,0.0,1.618,2.941,2.941,30,462.13,89.347,89.347,85.549,2.154,3.324,3.324,5.255,2.878,6.469,0.742,25.079,0.11,3.916,16.33,1.016,373.122,3.892,1.03,1.03,61.29,52.505,40.8,1.922,2.844,1.908,351.612,3.468,26.229,1.335,93.111,0,2.019,18.011,6.188,391.122,2.723,9.229,3.084,3.873,0.232,1.293,7.856,50.29,0.83,0.0,67.283,3.073,80.667,2.612,44.627,7.0
5.1,2.875,5.21,4.708,5.252,4.902,1.528,0.851,4.751,7.814,5.809,3.92,5.851,3.283,1.174,0,1.476,6.418,8.975,10.973,5.105,3.491,-0.277,-0.277,46.67,2.251,44.313,44.313,42,3.791,13.116,12.305,2,13.579,9.116,0.678,11.726,12.882,-0.263,3.952,62.3,6.627,0.982,-0.48,7.34,0.132,14.637,0.76,4.37,-0.646,13.453,0.428,5.694,12.051,2.432,4.973,7.241,-1.77,-1.77,-0.207,3.129,1,-1.427,-1.427,0.057,28.663,-0.503,-0.503,1.654,5.724,8,-0.285,1,0.183,-0.213,-0.213,1.275,2.142,106.788,15.807,0.301,0.09,0.0,1.29,2.399,2.399,16,282.37,80.628,80.628,80.628,1.764,-0.643,-0.643,4.973,1.935,6.009,0.562,15.417,0.204,3.343,10.621,-1.0,213.82,3.427,-1.0,-1.0,61.098,34.076,24.7,-0.28,1.18,0.157,213.82,3.142,12.306,-1.097,16.046,0,0.0,18.011,3.852,213.82,1.0,8.803,2.492,3.36,0.286,0.708,7.373,103.168,1.0,22.593,67.944,2.516,50.417,1.692,26.422,7.0
5.2,3.417,6.151,5.061,6.417,4.942,1.64,1.459,4.961,8.137,6.227,4.237,6.312,4.216,0.979,1,1.67,6.783,10.189,11.322,5.154,4.17,1.298,1.298,98.569,2.955,69.458,114.338,56,3.779,9.548,12.349,3,9.892,9.522,2.219,10.729,13.165,1.181,4.439,129.21,7.052,1.434,0.737,7.789,1.225,14.535,2.446,4.813,0.82,13.415,0.894,6.168,10.813,3.784,5.413,9.716,1.456,1.456,1.422,3.285,0,1.913,1.913,1.095,69.355,0.793,0.793,1.77,6.214,14,1.794,0,0.849,1.483,1.483,2.162,3.099,143.801,15.628,0.346,0.689,0.0,1.452,3.009,3.009,21,403.41,175.365,220.246,220.246,2.084,3.12,3.12,5.413,2.592,6.491,1.09,24.864,0.12,3.993,22.665,0.486,297.71,3.651,0.507,0.507,164.695,59.334,39.21,2.007,2.874,1.629,295.71,3.297,12.01,0.604,145.429,0,1.469,54.032,6.844,297.71,2.712,9.25,2.903,3.667,0.327,1.114,7.85,114.338,0.83,74.175,160.785,2.92,101.667,2.812,36.846,12.7
5.1,2.694,6.127,5.289,6.056,5.193,1.834,1.074,5.178,8.065,6.299,4.516,6.228,4.409,1.124,7,1.833,6.564,15.103,11.167,5.404,4.48,1.419,1.419,59.813,2.695,36.145,36.145,67,4.569,14.089,12.057,2,16.76,9.463,2.341,16.898,12.915,1.326,4.225,96.68,7.084,1.43,1.274,7.822,0.388,14.182,2.427,6.182,1.411,13.06,0.974,6.282,14.663,4.344,5.642,13.69,2.71,2.71,1.418,3.657,0,2.987,2.987,0.443,30.152,1.353,1.353,1.817,6.154,13,1.987,0,0.522,1.447,1.447,2.321,2.838,58.807,15.241,0.259,0.545,0.0,1.62,2.759,2.759,33,498.39,126.934,126.934,125.647,1.864,3.85,3.85,5.642,2.892,6.494,0.449,27.566,0.096,3.735,9.183,1.016,406.235,3.997,1.147,1.147,86.501,58.258,43.4,2.081,2.905,1.561,392.625,3.497,18.506,1.666,48.287,0,2.041,36.022,6.831,406.235,2.874,9.268,3.081,3.973,0.243,1.35,7.933,25.145,0.83,50.357,41.244,3.103,90.167,2.601,48.561,9.7
5.1,2.819,6.189,5.365,6.116,5.198,1.835,1.074,5.205,8.067,6.299,4.539,6.263,4.456,1.124,8,1.833,6.564,15.256,11.168,5.405,4.524,1.423,1.423,59.941,2.695,36.145,36.145,67,4.569,14.149,12.065,2,16.76,9.463,2.344,18.259,12.917,1.327,4.225,96.68,7.086,1.43,1.282,7.822,0.435,14.193,2.427,6.182,1.4,13.069,0.955,6.282,14.309,4.336,5.753,13.689,2.811,2.811,1.418,3.659,0,2.987,2.987,0.46,30.368,1.354,1.354,1.818,6.152,13,1.982,0,0.454,1.448,1.448,2.315,2.825,57.17,15.253,0.259,0.493,0.0,1.62,2.758,2.758,33,498.39,126.934,126.934,125.647,1.864,3.846,3.846,5.725,2.892,6.494,0.446,27.566,0.096,3.735,9.164,1.135,412.235,3.997,1.172,1.172,86.501,58.174,43.4,2.084,2.905,1.561,397.87,3.497,18.633,1.706,53.153,0,2.145,36.022,6.832,414.235,2.864,9.268,3.081,3.973,0.243,1.35,7.933,25.145,0.83,50.357,40.819,3.104,90.167,2.601,48.561,9.7
5.444,3.083,5.988,4.983,5.831,4.858,1.567,1.393,4.895,8.013,6.057,4.292,6.141,4.068,1.034,9,1.606,6.556,10.264,11.014,5.039,4.218,0.959,0.959,58.052,2.497,50.29,50.29,48,4.007,11.044,12.47,2,12.638,9.243,1.935,12.331,12.828,0.933,4.094,70.99,6.819,1.239,0.664,7.536,0.459,14.81,2.136,4.254,0.74,13.614,0.88,5.938,10.324,3.578,5.174,9.006,-0.099,-0.099,1.126,3.207,0,1.698,1.698,0.403,30.774,0.69,0.69,1.728,5.856,11,1.221,0,0.66,1.158,1.158,1.864,3.077,54.358,15.985,0.29,0.264,0.0,1.337,2.642,2.642,22,357.41,90.11,90.11,88.21,1.744,2.39,2.39,5.134,2.347,6.176,0.427,19.683,0.146,3.594,15.607,-0.185,256.683,3.59,-0.202,-0.202,106.224,44.328,30.419,1.582,2.595,1.257,252.683,3.009,13.123,-0.228,62.231,0,0.739,18.011,4.673,258.683,2.323,8.973,2.74,3.571,0.273,0.934,7.599,73.832,1.0,55.934,65.441,2.734,67.111,2.394,33.084,8.0
5.06,2.958,6.136,5.091,5.984,4.907,1.536,1.456,4.961,8.043,6.078,4.241,6.245,4.036,1.032,7,1.602,6.571,10.717,11.008,5.072,4.207,0.966,0.966,62.265,2.597,86.435,86.435,50,4.011,9.453,12.513,4,11.492,9.233,1.962,12.462,12.827,0.955,4.06,106.08,6.815,1.312,0.706,7.527,0.663,14.857,2.134,4.233,0.923,13.66,0.935,5.932,10.353,3.56,5.429,9.153,0.754,0.754,1.124,3.249,0,1.592,1.592,0.661,37.018,0.724,0.724,1.736,5.872,10,1.274,0,0.557,1.145,1.145,1.899,3.016,61.376,16.033,0.289,0.306,0.0,1.506,2.679,2.679,22,357.14,141.141,141.141,139.242,1.784,2.216,2.216,5.389,2.451,6.168,0.595,20.019,0.142,3.65,14.319,0.142,269.438,3.562,0.143,0.143,103.22,46.657,31.667,1.581,2.602,1.292,265.438,3.241,13.556,0.176,88.246,0,1.149,36.022,4.802,271.438,2.394,8.972,2.744,3.571,0.271,1.046,7.601,109.977,1.0,16.786,71.03,2.734,74.0,2.403,33.159,8.0
5.1,1.132,4.921,4.06,4.712,3.876,1.107,0.434,3.903,7.2,5.448,3.586,5.342,3.523,0.685,0,1.069,5.762,3.68,10.416,4.03,3.611,-0.882,-0.882,27.937,2.367,36.145,36.145,29,2.96,5.641,11.123,2,4.95,8.711,0.058,4.734,12.156,-0.652,3.505,65.21,6.308,0.723,-0.913,7.062,0.135,13.187,0.493,2.166,-1.0,12.095,0.403,5.509,4.257,2.0,4.513,5.557,-2.873,-2.873,-0.243,2.854,0,-2.347,-2.347,0.238,19.205,-1.0,-1.0,1.618,5.398,7,-1.101,0,0.283,-0.356,-0.356,1.0,2.65,16.019,14.208,0.391,0.158,0.0,0.901,2.495,2.495,14,237.23,85.828,85.828,85.828,1.286,-2.0,-2.0,4.513,1.545,5.727,0.202,13.525,0.206,3.454,9.617,-1.011,130.881,3.235,-1.0,-1.0,85.828,29.947,19.367,-0.46,1.014,0.119,130.881,2.773,3.733,-1.5,24.043,0,-0.065,32.897,3.12,130.881,0.514,8.588,2.038,3.191,0.357,0.496,7.234,36.145,1.0,16.786,24.202,2.074,47.75,1.703,21.792,6.9
5.1,1.875,6.071,5.071,5.934,5.056,1.621,1.243,4.874,7.825,6.046,4.148,5.927,4.182,1.083,3,1.611,6.37,11.197,11.033,5.324,4.175,1.0,1.0,64.181,2.696,0.0,29.92,57,4.201,13.53,11.779,0,15.406,9.306,1.967,12.756,12.796,0.965,4.061,47.53,6.887,1.376,0.955,7.635,0.547,13.848,2.17,4.977,1.0,12.758,0.813,6.061,12.472,3.468,5.328,10.591,2.275,2.275,1.158,3.192,0,2.275,2.275,0.712,38.264,1.0,1.0,1.751,6.12,12,1.5,0,0.439,1.211,1.211,2.175,2.857,100.919,14.87,0.283,0.41,0.0,1.399,2.889,2.889,24,398.85,60.955,90.875,90.875,1.836,2.319,2.319,5.293,2.563,6.29,0.858,22.331,0.112,3.822,15.698,0.351,307.008,3.704,0.444,0.444,102.64,47.937,35.914,1.534,2.528,1.464,297.498,3.267,14.585,0.484,72.513,0,1.312,18.011,5.397,309.008,2.5,8.962,2.91,3.696,0.269,1.153,7.621,0.0,1.0,90.73,82.692,2.935,76.111,2.603,37.517,10.3
5.1,2.167,5.48,4.657,5.284,4.682,1.563,0.948,4.578,7.876,5.944,3.818,5.547,3.345,1.062,2,1.575,6.413,8.787,10.805,4.893,3.504,0.0,0.0,40.631,2.486,25.145,40.105,44,3.822,9.327,12.243,1,11.613,9.052,0.967,9.128,12.598,0.0,3.96,56.92,6.642,1.062,-0.143,7.361,0.205,14.546,1.551,3.738,0.028,13.362,0.484,5.771,8.934,2.943,4.946,7.745,-1.102,-1.102,0.544,3.051,0,-0.303,-0.303,0.278,26.305,-0.15,-0.15,1.672,5.741,9,0.0,0,0.319,0.551,0.551,1.52,2.763,76.776,15.702,0.291,0.174,0.0,1.173,2.501,2.501,19,281.86,77.952,92.912,76.127,1.637,0.0,0.0,4.946,2.0,6.009,0.505,15.218,0.175,3.496,10.799,-0.592,207.722,3.432,-0.629,-0.629,40.105,33.773,25.281,0.739,1.977,1.0,207.722,2.997,11.831,-0.76,43.858,0,0.317,52.807,3.939,207.722,1.225,8.801,2.715,3.416,0.273,0.886,7.426,48.687,1.0,0.0,41.093,2.735,56.0,2.087,27.377,7.1
5.1,1.063,4.894,4.172,4.764,4.16,1.252,0.333,4.002,7.176,5.423,3.227,4.998,3.023,0.576,2,1.254,5.636,4.395,10.21,4.401,3.13,-0.618,-0.618,18.03,2.046,11.0,11.0,28,3.483,4.968,11.121,1,6.356,8.524,0.346,5.997,11.939,-0.593,3.313,47.04,6.146,0.791,-0.723,6.901,0.153,13.197,0.433,2.649,-0.894,12.089,0.183,5.38,4.869,2.0,4.851,5.728,-2.337,-2.337,-0.497,2.852,0,-1.776,-1.776,0.076,10.068,-0.781,-0.781,1.604,5.255,5,-0.927,0,0.161,-0.523,-0.523,0.941,1.983,19.334,14.218,0.303,0.086,0.0,0.968,2.191,2.191,15,218.95,62.582,62.582,62.582,0.778,-1.478,-1.478,4.851,1.295,5.58,0.171,11.785,0.211,3.127,5.45,-1.163,155.245,3.156,-1.209,-1.209,44.571,27.765,19.167,-0.719,0.9,-0.372,150.49,2.827,6.017,-1.737,13.445,0,-0.247,18.011,2.849,155.245,0.882,8.426,2.471,3.15,0.28,0.61,7.091,11.0,1.0,33.571,19.084,2.474,40.333,1.328,21.413,9.4
