pXC50,H.047,Eig03_EA.bo.,SM13_AEA.ri.,P_VSA_s_4,P_VSA_p_3,P_VSA_v_3,P_VSA_e_2,SpMaxA_EA.ed.,ALOGP,ALOGP2,D.Dtr06,P_VSA_MR_6,Chi1_EA.dm.,HVcpx,Eta_beta,SpMin2_Bh.i.,SpMin3_Bh.e.,X3A,SpMin2_Bh.e.,S3K,Eig01_EA.bo.,SM11_AEA.ri.,SpMax_EA.bo.,NaasC,SpMax3_Bh.i.,H.051,SaasC,C.034,BLTA96,BLTD48,BLTF96,MATS1e,MLOGP,MLOGP2,SaaaC,SM11_EA.bo.,SM12_EA.bo.,SM13_EA.bo.,SM14_EA.bo.,SM15_EA.bo.,P_VSA_i_2,SpMaxA_EA.dm.,MATS5i,Eta_FL,Eig03_AEA.bo.,D.Dtr10,IDE,AECC,SpMax1_Bh.m.,SpMin2_Bh.p.,SpMax3_Bh.e.,RBN,SpMaxA_EA,Eta_F_A,S2K,SpMax1_Bh.e.,nCsp2,nPyrroles,SM09_EA.bo.,SM10_EA.bo.,SpMax1_Bh.i.,SpMin3_Bh.i.,nAB,Eta_L_A,nCar
4.301,14,3.367,3.367,53.602,97.53,97.53,97.53,0.291,1.999,3.998,968.141,10.377,50.663,4.273,39.25,1.802,1.813,0.166,1.829,7.005,4.044,4.044,4.044,0,3.941,0,0.0,0,-2.19,-2.23,-2.2,-0.08,0.957,0.915,0.0,15.799,17.145,18.484,19.841,21.198,97.53,0.028,-0.005,5.672,4.099,433.963,4.53,21.418,4.056,2.042,3.914,7,0.065,0.614,15.181,4.141,3,0,13.152,14.492,4.172,1.784,0,0.37,0
4.301,19,2.654,2.654,61.983,104.645,104.645,104.645,0.38,1.466,2.15,0.0,72.085,24.185,3.466,21.5,1.589,1.568,0.206,1.647,8.113,3.735,3.735,3.735,2,3.642,0,1.909,2,-1.89,-1.95,-1.95,0.139,0.658,0.434,0.0,14.988,16.334,17.597,18.922,20.206,72.425,0.156,0.061,4.311,3.462,0.0,3.665,11.19,3.99,1.882,3.565,10,0.132,0.698,9.839,3.95,6,0,12.373,13.767,3.967,1.539,5,0.271,4
5.699,25,3.574,3.574,129.561,182.198,182.198,182.198,0.436,5.535,30.636,274.664,152.733,33.058,3.705,37.0,1.892,1.716,0.189,1.912,6.633,4.077,4.077,4.077,6,3.785,0,5.007,0,-4.46,-4.39,-4.14,0.022,3.23,10.431,0.0,16.057,17.498,18.821,20.236,21.586,182.198,0.074,-0.061,7.291,4.161,0.0,3.925,14.061,3.956,2.021,3.738,13,0.105,0.924,12.84,4.014,12,0,13.293,14.782,4.041,1.674,12,0.259,12
5.0,16,3.069,3.069,70.436,105.505,105.505,105.505,0.417,2.734,7.474,293.219,75.557,23.156,3.18,27.0,1.901,1.533,0.172,1.947,2.685,4.48,4.48,4.48,2,3.587,0,1.743,0,-3.42,-3.4,-3.25,-0.024,2.192,4.805,1.875,16.524,18.05,19.51,21.021,22.502,105.505,0.032,0.028,5.085,3.781,94.138,3.267,9.167,4.058,2.079,3.555,4,0.12,0.778,6.286,4.103,11,0,13.547,15.111,4.132,1.5,11,0.276,9
6.155,27,3.692,3.692,161.896,276.266,276.266,197.969,0.262,6.467,41.82,776.899,147.082,65.52,4.266,61.0,1.889,1.879,0.177,1.901,7.406,4.082,4.082,4.082,7,3.953,0,5.482,0,-6.36,-6.19,-5.75,0.021,5.127,26.29,0.0,16.227,17.662,18.936,20.342,21.656,197.969,0.034,-0.051,11.865,4.158,0.0,4.546,21.184,4.118,1.989,3.914,11,0.065,1.081,14.849,4.05,22,0,13.526,15.019,4.09,1.853,23,0.244,20
6.588,26,3.742,3.742,166.383,219.168,219.168,219.168,0.223,5.906,34.878,710.644,198.957,47.718,4.125,54.75,1.926,1.919,0.186,1.95,7.036,4.078,4.078,4.078,10,3.948,0,8.519,0,-4.94,-4.85,-4.55,-0.02,3.714,13.794,0.0,16.328,17.789,19.075,20.501,21.827,219.168,0.024,0.124,11.16,4.159,221.134,4.325,18.415,3.99,2.053,3.92,9,0.068,1.142,13.135,4.048,26,0,13.581,15.107,4.079,1.893,24,0.214,24
4.79,19,3.467,3.467,65.554,117.768,117.768,117.768,0.362,4.262,18.165,332.504,87.357,33.835,3.576,39.5,1.835,1.819,0.171,1.885,3.888,4.807,4.807,4.807,5,3.863,2,5.102,2,-3.97,-3.93,-3.72,0.025,2.744,7.528,1.878,17.338,18.912,20.451,22.019,23.574,117.768,0.058,-0.021,7.367,4.053,0.0,3.786,12.677,4.144,2.022,3.799,5,0.097,0.896,8.864,4.169,12,1,14.241,15.838,4.212,1.775,16,0.255,12
5.959,29,3.851,3.851,138.888,173.334,173.334,173.334,0.265,4.52,20.432,531.973,165.501,55.842,3.69,52.25,1.943,1.879,0.176,1.966,5.446,4.208,4.208,4.208,9,3.938,0,6.191,0,-4.5,-4.43,-4.17,0.107,3.271,10.696,0.0,16.638,18.091,19.441,20.873,22.251,173.334,0.061,0.074,10.592,4.247,358.224,3.894,13.462,4.048,2.082,3.906,8,0.076,1.211,11.246,4.082,20,0,13.84,15.337,4.113,1.852,18,0.21,18
5.469,20,3.539,3.539,82.671,140.849,140.849,140.849,0.293,4.88,23.815,544.238,96.528,38.567,3.87,49.0,1.835,1.856,0.175,1.883,5.389,4.818,4.818,4.818,7,3.923,2,2.53,2,-4.88,-4.78,-4.49,-0.027,3.647,13.302,1.64,17.424,18.994,20.521,22.085,23.635,140.849,0.025,-0.032,9.535,4.102,0.0,4.084,15.769,4.152,2.023,3.876,7,0.078,1.025,11.374,4.177,18,1,14.351,15.944,4.219,1.816,22,0.245,17
4.301,15,3.523,3.523,45.195,98.51,98.51,98.51,0.358,3.813,14.537,343.917,68.1,31.27,3.573,38.25,1.834,1.822,0.17,1.883,4.013,4.817,4.817,4.817,6,3.867,2,1.546,2,-4.65,-4.57,-4.3,-0.046,3.418,11.681,1.561,17.403,18.971,20.508,22.072,23.626,98.51,0.027,-0.041,7.354,4.086,0.0,3.802,12.781,4.148,2.022,3.801,5,0.096,0.926,8.762,4.173,13,1,14.318,15.904,4.215,1.781,16,0.255,12
5.883,17,3.794,3.794,73.624,144.35,144.35,144.35,0.303,5.159,26.614,491.783,102.135,29.8,3.619,49.0,1.878,1.846,0.172,1.906,4.537,4.83,4.83,4.83,8,3.902,2,3.266,2,-5.03,-4.93,-4.62,-0.014,3.797,14.415,1.691,17.477,19.046,20.573,22.137,23.687,144.35,0.048,0.053,9.259,4.209,0.0,3.859,13.486,4.16,2.023,3.859,5,0.082,1.051,10.075,4.181,17,1,14.405,15.997,4.223,1.797,22,0.239,17
4.886,17,3.444,3.444,64.148,113.653,113.653,113.653,0.373,4.735,22.417,323.619,80.707,30.486,3.559,38.0,1.838,1.822,0.171,1.889,3.805,4.807,4.807,4.807,4,3.879,2,4.34,2,-4.46,-4.39,-4.14,0.06,3.235,10.465,1.908,17.313,18.892,20.434,22.005,23.564,113.653,0.06,-0.08,6.882,3.898,0.0,3.781,12.667,4.144,2.02,3.812,5,0.1,0.845,8.658,4.169,12,1,14.203,15.808,4.212,1.776,16,0.266,12
4.978,15,3.467,3.467,45.195,110.408,110.408,110.408,0.362,4.69,21.991,333.755,79.997,29.8,3.573,39.0,1.834,1.819,0.172,1.883,3.746,4.807,4.807,4.807,6,3.866,2,1.916,2,-5.0,-4.9,-4.6,-0.015,3.771,14.22,1.758,17.377,18.945,20.479,22.043,23.595,110.408,0.058,-0.031,7.304,4.055,0.0,3.786,12.677,4.144,2.021,3.801,4,0.097,0.917,8.439,4.169,12,1,14.292,15.88,4.212,1.775,16,0.253,12
5.222,17,3.446,3.446,81.798,148.489,148.489,148.489,0.332,5.208,27.126,352.174,65.464,28.35,3.618,41.75,1.835,1.822,0.169,1.886,4.194,4.83,4.83,4.83,7,3.875,8,8.713,3,-5.0,-4.9,-4.6,0.071,3.773,14.232,2.303,17.468,19.036,20.57,22.135,23.688,117.211,0.021,0.037,7.518,3.995,0.0,3.824,13.206,4.296,2.02,3.836,5,0.089,0.827,9.392,4.184,15,1,14.387,15.975,4.224,1.783,21,0.27,15
4.301,16,3.467,3.467,60.341,104.399,104.399,104.399,0.352,4.173,17.413,343.159,73.988,31.428,3.523,42.75,1.836,1.82,0.168,1.888,3.868,4.807,4.807,4.807,5,3.88,2,3.685,2,-4.37,-4.31,-4.06,0.188,3.143,9.881,1.764,17.447,19.008,20.538,22.096,23.643,104.399,0.073,-0.008,7.924,4.055,0.0,3.764,12.125,4.145,2.077,3.809,5,0.095,0.99,8.859,4.17,12,1,14.372,15.953,4.213,1.776,16,0.242,12
5.432,26,3.869,3.869,95.39,164.483,164.483,164.483,0.269,5.569,31.018,607.828,131.967,44.869,3.942,52.5,1.884,1.883,0.173,1.902,6.025,4.818,4.818,4.818,9,3.95,2,3.665,2,-4.7,-4.62,-4.34,-0.029,3.472,12.052,1.592,17.518,19.075,20.594,22.148,23.69,164.483,0.023,-0.047,10.45,4.215,0.0,4.174,16.628,4.153,2.026,3.929,9,0.072,1.076,13.067,4.178,19,1,14.466,16.044,4.22,1.834,22,0.245,18
4.888,16,3.467,3.467,60.341,104.399,104.399,104.399,0.352,4.173,17.413,353.679,73.988,33.02,3.651,42.75,1.837,1.82,0.171,1.888,3.981,4.807,4.807,4.807,5,3.886,2,4.002,2,-4.37,-4.31,-4.06,0.188,3.143,9.881,1.799,17.407,18.97,20.501,22.061,23.611,104.399,0.073,-0.029,7.908,4.055,0.0,3.887,13.5,4.145,2.077,3.815,5,0.095,0.974,8.859,4.169,12,1,14.332,15.914,4.213,1.776,16,0.242,12
5.015,16,3.467,3.467,60.341,104.399,104.399,104.399,0.352,4.173,17.413,348.061,73.988,34.937,3.6,42.75,1.836,1.82,0.17,1.888,3.981,4.807,4.807,4.807,5,3.884,2,3.873,2,-4.37,-4.31,-4.06,0.188,3.143,9.881,1.784,17.412,18.975,20.506,22.066,23.615,104.399,0.073,-0.036,7.908,4.055,0.0,3.825,12.781,4.145,2.077,3.814,5,0.095,0.981,8.859,4.169,12,1,14.337,15.919,4.213,1.776,16,0.242,12
4.301,17,3.445,3.445,72.973,111.009,111.009,111.009,0.369,4.806,23.101,323.268,69.239,29.586,3.527,37.0,1.836,1.838,0.17,1.886,3.962,4.818,4.818,4.818,4,3.862,4,4.431,2,-4.67,-4.59,-4.32,0.041,3.443,11.851,1.937,17.344,18.923,20.467,22.039,23.599,111.009,0.036,-0.01,6.751,3.903,0.0,3.733,12.452,4.151,2.021,3.797,6,0.098,0.841,8.999,4.176,13,1,14.236,15.837,4.218,1.801,16,0.274,12
5.301,22,3.446,3.446,102.91,155.394,155.394,155.394,0.318,5.899,34.792,453.425,131.274,27.877,3.528,47.0,1.892,1.857,0.17,1.923,4.282,4.83,4.83,4.83,6,3.917,2,5.951,2,-5.52,-5.39,-5.03,0.061,4.288,18.385,1.869,17.42,18.998,20.532,22.103,23.658,155.394,0.051,0.053,8.756,3.995,0.0,3.76,12.629,4.16,2.023,3.884,5,0.086,1.0,9.72,4.182,18,1,14.327,15.933,4.224,1.806,22,0.245,18
4.975,16,3.467,3.467,54.671,144.291,144.291,105.142,0.373,4.943,24.432,315.257,74.732,27.751,3.483,38.25,1.835,1.819,0.17,1.885,3.672,4.807,4.807,4.807,5,3.86,2,4.926,2,-4.73,-4.65,-4.37,0.016,3.503,12.271,1.869,17.354,18.926,20.463,22.029,23.583,105.142,0.06,-0.029,6.97,4.055,0.0,3.703,11.933,4.145,2.013,3.797,4,0.1,0.863,8.453,4.168,12,1,14.26,15.855,4.212,1.775,16,0.26,12
5.268,9,3.41,3.41,57.899,104.762,104.762,104.762,0.433,3.221,10.377,188.441,77.583,15.933,3.204,37.75,1.818,1.803,0.166,1.867,3.166,4.809,4.809,4.809,4,3.783,2,2.36,2,-3.04,-3.04,-2.93,0.09,1.811,3.278,1.104,17.678,19.236,20.769,22.322,23.867,98.955,0.07,-0.138,6.857,3.911,0.0,3.357,9.5,4.726,2.007,3.777,4,0.118,1.048,6.625,4.179,12,1,14.596,16.172,4.214,1.77,16,0.22,12
4.481,12,3.431,3.431,69.42,111.092,111.092,111.092,0.452,4.321,18.673,178.06,89.104,19.127,3.203,34.25,1.818,1.803,0.169,1.869,2.846,4.807,4.807,4.807,4,3.743,2,4.094,2,-4.37,-4.3,-4.06,0.044,3.139,9.854,1.82,17.31,18.89,20.432,22.004,23.562,111.092,0.073,-0.09,6.356,3.891,0.0,3.365,9.52,4.142,2.002,3.674,4,0.122,0.909,6.762,4.165,12,1,14.198,15.805,4.208,1.767,16,0.237,12
4.745,19,3.869,3.869,83.307,157.218,157.218,157.218,0.296,6.796,46.182,505.092,124.273,31.271,3.614,49.0,1.884,1.861,0.171,1.912,4.666,4.831,4.831,4.831,9,3.94,2,4.6,2,-6.17,-6.01,-5.59,-0.003,4.939,24.392,1.734,17.522,19.086,20.61,22.169,23.716,157.218,0.047,0.057,9.235,4.215,0.0,3.864,13.553,4.162,2.026,3.909,5,0.08,1.041,10.351,4.184,18,1,14.459,16.044,4.226,1.809,22,0.245,18
