pXC50,D.Dtr07,nR07,X5A,Eig04_AEA.bo.,nCrs,SM06_AEA.bo.,SM07_AEA.bo.,SM04_EA.bo.,X4A,ATS7m,SM05_AEA.bo.,X3A,Eig06_EA.bo.,ZM2Per,Eig03_EA.bo.,SM13_AEA.ri.,Chi1_EA.ed.,ZM2MulPer,Chi0_EA.ed.,ZM2V,SpMax1_Bh.e.,IC4,Eig06_AEA.bo.,ZM1Per,ATS6m,IC3,SM02_AEA.bo.,ZM2Kup,SpAD_EA.bo.,ATS5m,SM03_EA.ri.,P_VSA_LogP_7,Eig04_AEA.ri.,SpMax3_Bh.p.,Eig04_EA.ri.,SssCH2,Eta_F,Eig01_AEA.ri.,SpMax_AEA.ri.,nCsp3,ZM1MulPer,CATS2D_07_NL,CATS2D_08_AL,ATS8i,CATS2D_08_DL,SpMax6_Bh.e.,MWC03,ZM2,GGI4,ZM1Mad,SpMax3_Bh.v.,SpAD_EA.ed.,ZM1V,Eig01_EA.ed.,SM10_AEA.dm.,SpMax_EA.ed.,SRW04,D.Dtr05,CATS2D_07_AL,NssCH2,CATS2D_05_LL,CATS2D_02_LL,piPC04,Eta_beta,BBI,MPC02,SM02_EA,ZM1Kup
6.105,0.0,0,0.073,3.941,0,10.537,11.958,7.498,0.114,4.144,9.137,0.178,3.092,834.79,3.785,3.785,5.987,557.716,12.718,523.0,4.158,5.427,3.737,813.39,4.047,5.231,5.19,566.444,75.128,4.143,4.321,211.88,3.64,3.855,2.607,0.171,40.514,4.219,4.219,4,624.945,0,4,5.142,2,3.321,6.061,214.0,1.786,210.128,3.854,168.954,576.0,11.693,11.693,11.693,5.673,78.389,6,1,13,18,5.753,44.25,54,4.007,4.691,727.932
6.585,0.0,0,0.071,4.025,0,10.563,11.972,7.531,0.116,4.279,9.174,0.176,3.111,943.01,3.785,3.785,6.36,630.32,13.359,589.0,4.157,5.459,3.764,935.7,4.404,5.41,5.234,632.579,77.823,4.289,4.314,200.109,3.674,3.843,2.597,0.148,43.331,4.213,4.213,4,725.831,0,4,5.11,0,3.39,6.103,223.0,1.879,241.679,3.84,175.974,668.0,11.555,11.555,11.555,5.727,84.127,9,1,13,17,5.788,46.5,57,4.06,4.745,809.871
6.237,0.0,0,0.072,3.944,0,10.536,11.957,7.498,0.115,4.076,9.137,0.179,3.11,834.55,3.785,3.785,5.957,557.581,12.675,523.0,4.158,5.281,3.744,813.37,4.001,5.058,5.19,566.444,75.017,4.065,4.321,211.88,3.641,3.854,2.609,0.304,40.218,4.215,4.215,4,624.88,0,4,5.081,2,3.323,6.061,214.0,1.688,210.128,3.853,168.695,576.0,11.658,11.658,11.658,5.673,81.135,6,1,13,18,5.746,44.25,54,4.007,4.691,727.932
5.108,0.0,0,0.064,3.897,1,10.712,12.197,7.671,0.1,4.426,9.258,0.162,2.999,860.25,3.454,3.454,6.399,580.083,13.497,547.0,4.226,5.5,3.63,768.75,4.501,5.196,5.234,539.028,78.51,4.524,4.354,270.735,3.468,3.811,2.382,0.125,40.831,4.637,4.637,5,563.397,1,9,5.367,1,3.405,6.133,230.0,2.398,245.662,3.808,178.371,522.0,14.703,14.703,14.703,5.707,126.699,16,3,9,15,5.89,46.75,56,4.043,4.727,567.242
6.959,0.0,0,0.072,3.925,0,10.425,11.831,7.471,0.114,4.233,9.042,0.178,3.06,753.33,3.655,3.655,5.827,516.194,12.267,485.0,4.158,5.417,3.653,736.1,4.105,5.325,5.133,486.169,71.584,4.241,4.147,200.109,3.6,3.843,2.549,0.554,35.262,4.231,4.231,3,560.749,0,3,5.023,1,3.254,5.994,200.0,1.919,212.15,3.833,154.251,518.0,11.614,11.614,11.614,5.602,73.057,6,1,13,18,5.749,43.0,50,3.932,4.615,512.006
6.298,0.0,0,0.072,3.925,0,10.425,11.831,7.471,0.114,4.166,9.042,0.178,3.06,753.33,3.655,3.655,5.827,516.194,12.267,485.0,4.159,5.417,3.653,736.1,4.054,5.364,5.133,502.64,71.584,4.143,4.175,200.109,3.601,3.842,2.552,0.474,36.26,4.233,4.233,3,560.749,0,3,5.042,1,3.256,5.994,200.0,1.919,200.461,3.832,154.251,518.0,11.614,11.614,11.614,5.602,73.057,6,1,13,16,5.749,43.0,50,3.932,4.615,571.913
5.602,0.0,0,0.073,3.925,0,10.375,11.779,7.429,0.116,4.087,8.993,0.18,2.797,699.46,3.652,3.652,5.703,479.408,12.078,451.0,4.156,5.417,3.45,664.71,3.996,5.272,5.103,459.307,69.787,4.023,4.108,211.88,3.595,3.842,2.547,0.598,34.154,4.213,4.213,3,498.527,0,3,5.026,1,3.25,5.958,193.0,1.488,190.63,3.832,148.043,462.0,11.555,11.555,11.555,5.565,70.2,6,1,13,18,5.709,42.25,48,3.892,4.575,477.802
5.222,0.0,0,0.075,3.739,0,10.26,11.66,7.362,0.115,3.867,8.883,0.185,2.679,664.56,3.616,3.616,5.521,455.571,11.741,427.0,4.135,5.11,3.386,624.17,3.887,4.987,5.021,436.073,64.745,3.857,3.844,223.651,3.398,3.833,2.371,1.271,30.516,4.139,4.139,3,461.336,0,1,4.851,1,3.188,5.878,178.0,1.347,179.411,3.824,133.988,432.0,11.11,11.11,11.11,5.485,65.374,2,2,4,14,5.623,40.75,44,3.807,4.489,443.298
5.824,0.0,0,0.075,3.668,0,10.212,11.61,7.325,0.115,3.944,8.838,0.183,2.677,621.54,3.616,3.616,5.367,423.809,11.239,399.0,4.126,5.11,3.383,577.59,3.946,4.875,4.98,390.531,62.793,3.964,3.802,267.642,3.35,3.834,2.296,1.574,26.0,4.128,4.128,4,424.074,0,1,4.869,0,3.109,5.849,173.0,1.347,193.875,3.824,131.451,398.0,11.11,11.11,11.11,5.46,61.822,2,2,10,16,5.596,37.75,43,3.784,4.466,374.504
5.889,0.0,0,0.069,4.094,2,10.742,12.19,7.604,0.108,4.349,9.315,0.17,3.157,931.95,3.835,3.835,6.178,619.924,13.156,582.0,4.166,5.222,3.771,910.36,4.174,5.053,5.281,618.588,80.39,4.319,4.61,200.109,3.733,3.856,2.724,1.689,41.853,4.583,4.583,5,701.424,0,4,5.123,2,3.339,6.188,243.0,2.249,245.98,3.855,192.748,646.0,14.282,14.282,14.282,5.784,86.356,7,3,15,19,5.831,46.0,61,4.127,4.812,776.135
5.215,0.0,0,0.076,3.631,0,10.156,11.552,7.297,0.114,3.807,8.783,0.184,2.658,617.72,3.614,3.614,5.108,422.006,10.604,397.0,4.125,4.916,3.362,590.65,3.924,4.773,4.924,395.591,59.486,3.906,3.642,220.557,3.165,3.833,2.022,1.466,24.575,4.128,4.128,2,440.225,0,1,4.719,0,3.034,5.778,161.0,1.267,185.602,3.824,121.399,412.0,11.11,11.11,11.11,5.389,54.906,0,2,8,13,5.562,36.75,40,3.714,4.394,418.465
5.42,0.0,0,0.075,3.719,0,10.247,11.647,7.353,0.115,3.938,8.871,0.183,2.679,641.56,3.616,3.616,5.367,439.4,11.239,413.0,4.126,5.028,3.385,601.73,3.943,4.9,5.001,405.894,63.881,3.959,3.854,255.87,3.371,3.834,2.348,1.533,27.253,4.128,4.128,3,444.359,0,1,4.828,0,3.108,5.849,173.0,1.347,193.875,3.824,131.451,416.0,11.11,11.11,11.11,5.46,61.822,3,2,10,16,5.612,39.25,43,3.784,4.466,396.09
4.509,0.0,0,0.072,3.897,0,10.335,11.715,7.371,0.112,4.256,8.974,0.178,2.723,767.29,3.535,3.535,6.039,527.865,12.616,497.0,4.061,4.798,3.506,771.09,4.259,4.668,5.118,536.948,70.943,4.262,4.088,176.567,3.461,3.751,2.412,-0.343,39.331,4.172,4.172,2,592.586,3,3,5.05,3,3.157,5.974,196.0,1.76,187.751,3.75,149.834,548.0,11.24,11.24,11.24,5.587,0.0,3,1,17,18,5.664,45.25,49,3.912,4.595,689.509
4.131,0.0,0,0.075,3.888,0,10.373,11.774,7.5,0.113,4.009,8.996,0.18,2.789,781.72,3.616,3.616,6.051,534.87,12.593,503.0,4.127,5.149,3.476,708.21,4.037,5.029,5.122,507.098,72.76,4.08,3.917,255.87,3.475,3.834,2.428,1.561,31.156,4.128,4.128,3,512.781,0,2,4.897,0,3.183,5.984,198.0,1.437,219.255,3.824,150.273,482.0,11.11,11.11,11.11,5.587,159.959,4,2,11,15,5.794,44.75,49,3.912,4.595,469.38
5.824,0.0,0,0.077,3.697,0,10.251,11.642,7.356,0.115,3.954,8.884,0.186,2.682,683.42,3.616,3.616,5.806,469.454,12.228,439.0,4.126,5.148,3.395,653.61,4.023,4.922,5.04,436.44,65.934,4.07,3.823,279.413,3.366,3.834,2.321,1.821,29.468,4.128,4.128,4,486.35,0,5,4.909,0,3.199,5.894,181.0,1.467,204.974,3.824,135.831,456.0,11.11,11.11,11.11,5.509,69.101,2,3,9,17,5.616,40.75,45,3.829,4.511,447.825
5.328,0.0,0,0.075,3.719,0,10.247,11.647,7.353,0.115,3.953,8.871,0.183,2.679,668.68,3.616,3.616,5.367,457.016,11.239,429.0,4.125,5.047,3.385,633.17,3.945,4.914,5.001,424.925,63.881,3.959,3.823,220.557,3.361,3.834,2.321,1.418,28.036,4.128,4.128,2,472.341,0,1,4.763,0,3.077,5.849,173.0,1.347,196.199,3.824,131.451,440.0,11.11,11.11,11.11,5.46,61.822,3,2,9,15,5.612,39.5,43,3.784,4.466,428.239
5.699,0.0,0,0.075,3.793,0,10.299,11.7,7.38,0.114,3.991,8.922,0.185,2.68,686.58,3.616,3.616,5.653,470.397,11.881,439.0,4.126,4.979,3.388,639.87,4.005,4.864,5.053,434.007,66.9,4.05,3.928,291.184,3.448,3.834,2.406,1.511,30.335,4.128,4.128,4,472.721,0,1,4.844,0,3.185,5.916,185.0,1.507,205.734,3.824,141.038,442.0,11.11,11.11,11.11,5.525,68.925,4,2,9,15,5.634,41.0,46,3.85,4.533,425.735
6.046,0.0,0,0.074,3.778,0,10.255,11.657,7.358,0.113,3.847,8.876,0.183,2.661,664.8,3.616,3.616,5.321,455.309,11.296,427.0,4.137,5.029,3.36,620.17,3.881,4.985,5.001,436.636,63.251,3.866,3.831,200.109,3.403,3.832,2.343,0.653,30.039,4.145,4.145,2,457.475,0,1,4.778,1,3.097,5.855,174.0,1.347,175.744,3.823,130.999,428.0,11.131,11.131,11.131,5.46,61.161,0,1,4,12,5.634,40.25,43,3.784,4.466,439.298
4.137,0.0,0,0.074,3.828,0,10.354,11.772,7.375,0.114,4.059,8.958,0.181,2.68,753.08,3.616,3.616,5.375,500.315,11.235,469.0,4.125,4.942,3.387,739.33,3.983,4.686,5.027,486.258,64.84,4.002,3.929,220.557,3.465,3.834,2.377,1.162,29.367,4.171,4.171,3,566.643,0,1,4.747,0,3.08,5.9,182.0,1.387,216.788,3.824,142.297,526.0,11.657,11.657,11.657,5.517,65.281,2,2,9,15,5.612,38.75,46,3.85,4.533,608.687
5.377,0.0,0,0.077,3.619,0,10.089,11.485,7.247,0.115,3.773,8.72,0.183,2.435,564.46,3.447,3.447,5.072,385.496,10.518,363.0,4.124,4.916,3.145,519.3,3.836,4.592,4.887,352.258,57.715,3.876,3.526,232.328,3.146,3.833,2.01,1.694,22.994,4.128,4.128,2,378.133,0,1,4.711,0,3.028,5.733,154.0,1.076,175.771,3.824,115.175,356.0,11.11,11.11,11.11,5.342,51.553,2,2,9,15,5.536,36.0,38,3.664,4.344,324.354
6.022,0.0,0,0.076,3.689,0,10.233,11.628,7.333,0.115,3.866,8.862,0.184,2.676,627.24,3.616,3.616,5.247,431.403,11.102,405.0,4.125,4.961,3.385,585.97,3.914,4.822,5.001,395.666,61.995,3.922,3.688,220.557,3.213,3.834,2.152,1.545,26.704,4.128,4.128,2,432.046,0,1,4.718,0,3.062,5.808,166.0,1.307,186.465,3.824,124.446,404.0,11.11,11.11,11.11,5.416,58.364,3,2,9,15,5.612,40.25,41,3.738,4.419,375.999
4.125,0.0,0,0.075,3.808,0,10.284,11.684,7.392,0.115,3.842,8.908,0.185,2.692,664.39,3.616,3.616,5.521,456.165,11.741,428.0,4.141,5.111,3.397,622.45,3.868,4.986,5.04,435.383,65.778,3.831,3.854,223.651,3.408,3.833,2.395,0.693,31.118,4.145,4.145,2,459.361,0,1,4.769,0,3.197,5.878,178.0,1.347,177.579,3.824,133.988,430.0,11.11,11.11,11.11,5.485,65.374,4,1,12,17,5.681,41.25,44,3.807,4.489,438.965
7.959,74.334,1,0.073,3.838,0,10.511,11.97,7.473,0.114,4.152,9.08,0.179,2.75,750.38,3.786,3.786,5.563,513.653,11.837,482.0,4.096,5.329,3.491,690.89,4.073,5.092,5.091,470.661,67.843,4.078,4.164,200.109,3.459,3.765,2.436,0.375,35.634,4.29,4.29,2,514.638,2,10,4.889,2,3.315,5.938,189.0,1.589,210.546,3.762,145.802,474.0,12.402,12.402,12.402,5.541,0.0,8,2,13,20,5.56,42.75,47,3.871,4.554,514.285
8.215,76.412,1,0.069,3.84,0,10.514,11.94,7.557,0.107,4.131,9.112,0.171,2.842,809.09,3.786,3.786,6.037,549.822,13.153,514.0,4.137,5.427,3.494,736.04,4.124,5.318,5.179,540.846,74.762,4.198,4.195,235.422,3.46,3.765,2.437,0.911,39.001,4.204,4.204,4,535.647,2,10,5.132,2,3.297,6.08,218.0,2.11,197.919,3.762,164.978,504.0,11.306,11.306,11.306,5.659,60.278,10,2,13,17,5.892,46.25,53,3.989,4.673,566.382
8.398,65.476,1,0.07,3.838,0,10.447,11.873,7.501,0.108,4.093,9.046,0.17,2.734,739.02,3.786,3.786,5.648,499.024,11.979,471.0,4.131,5.502,3.466,660.41,4.013,5.293,5.115,492.49,70.641,4.028,4.105,188.338,3.459,3.765,2.436,0.763,34.886,4.203,4.203,2,479.083,2,7,4.939,6,3.269,5.999,201.0,1.523,181.153,3.762,152.949,448.0,11.271,11.271,11.271,5.58,52.091,7,2,14,18,5.822,43.5,49,3.912,4.595,495.061
8.167,82.222,1,0.073,3.851,1,10.52,11.972,7.466,0.113,4.393,9.094,0.18,2.787,819.67,3.84,3.84,5.891,559.203,12.476,524.0,4.082,5.393,3.473,790.19,4.52,5.34,5.121,494.109,69.585,4.62,4.164,244.099,3.479,3.784,2.427,1.093,32.107,4.289,4.289,4,601.363,1,7,4.966,4,3.335,5.994,200.0,1.941,308.7,3.773,154.552,554.0,12.402,12.402,12.402,5.602,0.0,6,3,12,17,5.517,42.25,50,3.932,4.615,547.8
8.469,77.533,1,0.069,3.994,0,10.513,11.937,7.555,0.108,4.116,9.112,0.172,2.785,809.01,3.786,3.786,6.007,549.792,13.122,514.0,4.136,5.39,3.507,736.04,4.131,5.281,5.179,540.846,74.798,4.186,4.195,235.422,3.572,3.765,2.448,0.935,38.858,4.201,4.201,4,535.63,2,10,5.107,2,3.304,6.08,218.0,2.145,197.919,3.762,165.061,504.0,11.268,11.268,11.268,5.659,61.833,9,2,13,16,5.872,46.25,53,3.989,4.673,566.382
7.222,77.372,1,0.068,4.169,0,10.59,12.022,7.56,0.107,4.122,9.179,0.171,2.815,878.41,3.786,3.786,5.921,582.42,12.544,547.0,4.139,5.469,3.525,834.71,4.227,5.349,5.201,592.755,75.895,4.181,4.299,176.567,3.779,3.765,2.68,0.55,39.976,4.224,4.224,3,631.553,2,7,4.974,2,3.314,6.094,221.0,1.914,213.179,3.762,173.246,586.0,11.737,11.737,11.737,5.687,62.087,7,2,14,18,5.848,45.0,55,4.025,4.71,739.244
7.036,101.17,1,0.073,3.921,1,10.416,11.819,7.368,0.113,4.113,9.034,0.178,2.604,846.07,3.771,3.771,6.48,576.302,14.369,536.0,4.048,5.239,3.355,816.29,4.295,5.131,5.173,558.798,73.055,4.426,4.199,326.497,3.588,3.765,2.533,1.393,39.668,4.174,4.174,7,611.578,2,7,5.234,4,3.308,6.094,221.0,2.625,228.824,3.762,165.756,574.0,11.265,11.265,11.265,5.687,0.0,4,3,12,14,5.618,45.75,54,4.007,4.691,637.756
8.215,85.714,1,0.076,3.825,1,10.187,11.56,7.173,0.117,4.047,8.838,0.185,2.477,687.59,3.448,3.448,6.326,469.902,13.272,442.0,4.045,5.414,3.324,660.94,4.181,5.136,5.066,442.587,66.468,4.303,3.895,279.413,3.455,3.765,2.421,2.637,30.711,4.174,4.174,5,493.822,2,2,5.053,7,3.33,5.943,190.0,1.652,211.675,3.762,141.547,462.0,11.265,11.265,11.265,5.557,0.0,2,4,11,19,5.411,40.5,47,3.871,4.554,464.007
8.495,70.503,1,0.07,3.839,0,10.447,11.866,7.503,0.109,4.057,9.051,0.173,2.755,747.31,3.786,3.786,5.776,508.14,12.404,477.0,4.132,5.501,3.493,675.03,4.033,5.383,5.133,499.3,71.728,4.049,4.12,211.88,3.46,3.765,2.436,1.004,35.533,4.2,4.2,3,489.344,2,8,4.985,2,3.296,6.019,205.0,1.674,185.04,3.762,155.236,460.0,11.267,11.267,11.267,5.602,55.865,8,2,14,17,5.821,44.25,50,3.932,4.615,510.647
7.699,98.483,1,0.071,4.162,1,10.661,12.121,7.532,0.114,4.365,9.225,0.178,2.779,954.73,3.771,3.771,6.114,637.374,13.054,596.0,4.092,5.368,3.469,938.85,4.362,5.222,5.207,604.375,74.846,4.36,4.375,244.099,3.778,3.765,2.765,0.643,40.166,4.304,4.304,5,727.716,2,8,5.038,4,3.34,6.094,221.0,1.963,277.846,3.762,175.309,668.0,12.409,12.409,12.409,5.707,0.0,6,3,11,17,5.561,44.5,56,4.043,4.727,805.479
7.481,83.52,1,0.073,3.825,1,10.524,11.987,7.448,0.113,4.16,9.09,0.181,2.478,789.92,3.771,3.771,5.855,537.795,12.505,503.0,4.091,5.368,3.327,734.98,4.19,5.157,5.121,482.517,69.721,4.31,4.211,291.184,3.455,3.765,2.421,1.239,34.875,4.415,4.415,5,549.86,2,10,5.085,2,3.335,6.004,202.0,1.829,246.53,3.762,155.987,508.0,13.428,13.428,13.428,5.602,0.0,10,3,11,17,5.497,42.5,50,3.932,4.615,532.458
8.114,85.714,1,0.076,3.825,1,10.187,11.56,7.173,0.117,3.972,8.838,0.185,2.477,709.79,3.448,3.448,6.326,484.016,13.272,454.0,4.045,5.381,3.324,686.7,4.112,5.025,5.066,468.617,66.468,4.217,3.931,279.413,3.455,3.765,2.421,1.692,32.159,4.174,4.174,5,514.89,2,8,5.036,4,3.316,5.943,190.0,1.652,202.063,3.762,141.547,482.0,11.265,11.265,11.265,5.557,0.0,7,4,11,19,5.411,41.25,47,3.871,4.554,522.285
7.523,79.657,1,0.074,3.825,3,10.474,11.928,7.424,0.115,4.089,9.048,0.18,2.478,725.39,3.771,3.771,5.808,495.887,12.337,466.0,4.089,5.273,3.325,675.7,4.119,4.97,5.091,440.921,67.734,4.252,4.155,279.413,3.468,3.768,2.459,2.591,31.517,4.289,4.289,5,505.486,2,10,5.05,4,3.406,5.958,193.0,1.669,233.286,3.764,148.195,466.0,12.402,12.402,12.402,5.565,0.0,7,4,15,25,5.48,40.75,48,3.892,4.575,477.41
7.276,70.161,1,0.069,3.927,0,10.494,11.917,7.54,0.107,4.114,9.092,0.173,2.781,801.06,3.786,3.786,5.701,541.891,12.077,510.0,4.132,5.469,3.505,758.08,4.078,5.342,5.145,513.481,72.561,4.207,4.12,164.795,3.462,3.765,2.436,0.921,34.552,4.2,4.2,2,567.263,2,7,4.902,2,3.265,6.033,208.0,1.985,215.201,3.762,159.3,528.0,11.267,11.267,11.267,5.617,55.611,7,2,13,18,5.838,43.75,51,3.951,4.635,523.318
