pXC50,CATS2D_07_DA,MATS2p,MPC10,SpMin1_Bh.p.,CATS2D_04_DA,SpMin7_Bh.i.,Eig06_EA.ri.,Eig15_AEA.ed.,GATS2i,Eig02_EA.ed.,SM11_AEA.dm.,GGI5,MPC07,MATS4e,Eig02_EA.ri.,P_VSA_LogP_5,MATS2i,SpMin7_Bh.e.,MPC06,GATS1e,piPC05,Eig06_EA.bo.,ATS4v,SpMin6_Bh.i.,piID,SpMin1_Bh.i.,SpMin8_Bh.i.,SpMin6_Bh.e.,SpMin8_Bh.p.,SpMin6_Bh.m.,SpMin8_Bh.v.,SM02_EA.ri.,CATS2D_04_AA,X4,SpMin1_Bh.e.,SpMax8_Bh.p.,nHAcc,MATS2v,Eig06_AEA.ri.,MPC04,Eig02_AEA.ri.,Eig15_AEA.bo.,TIC1,Eig06_AEA.bo.,Eig05_AEA.bo.,piPC10,piPC09,nO,GGI6,Eig02_AEA.bo.,ATS4p,ATS2i,SpMax8_Bh.v.,Eig03_EA.ri.,P_VSA_p_2,MPC05,ATSC5i,ATS3v,SpMaxA_AEA.dm.,SM02_EA.ed.,Eig06_EA.ed.,SM15_AEA.dm.,TIC2,ATSC6e,SpDiam_EA.ed.,SpMin8_Bh.e.,TPC,ATS2e
5.301,1,0.14,4.836,2.052,1,1.022,1.815,2.414,0.908,8.398,8.398,0.743,4.71,0.094,2.638,34.911,0.187,1.075,4.564,0.853,6.144,2.69,3.836,1.137,11.145,1.926,0.821,1.187,1.102,1.361,1.128,4.368,1,8.225,1.949,2.735,5,0.108,2.855,4.304,3.688,0.735,165.834,3.33,3.512,7.828,7.548,2,0.611,4.063,3.91,4.548,2.715,2.557,89.358,4.489,1.178,3.88,0.123,6.6,5.538,5.538,198.299,0.417,18.69,0.886,7.461,4.391
7.456,1,0.121,5.481,2.04,1,1.222,2.178,3.31,0.964,10.912,10.912,1.195,5.136,0.034,3.074,94.079,0.153,1.263,4.97,0.886,6.36,2.955,4.274,1.266,14.058,1.92,1.149,1.308,1.473,1.513,1.457,4.706,1,12.285,1.941,2.941,9,0.081,3.259,4.7,4.126,2.182,252.758,3.573,3.771,8.408,7.995,4,0.789,4.467,4.329,4.976,2.91,2.666,129.775,4.868,1.941,4.249,0.09,6.974,6.897,6.897,320.162,0.928,18.296,1.211,8.907,4.817
6.699,1,0.017,4.771,2.046,1,1.055,1.722,2.248,1.002,8.087,8.087,0.625,4.585,0.105,2.66,49.798,0.067,1.095,4.477,0.882,6.047,2.417,3.731,1.11,11.116,1.922,0.84,1.175,1.099,1.372,1.107,4.326,0,8.094,1.945,2.634,5,-0.007,2.732,4.248,3.707,0.886,153.279,3.164,3.446,7.772,7.443,2,0.392,4.084,3.786,4.452,2.64,2.551,104.245,4.369,1.072,3.794,0.127,6.518,4.733,4.733,187.253,0.328,18.08,0.889,7.386,4.313
7.959,1,0.017,4.762,2.046,1,1.017,1.772,2.249,1.002,8.078,8.078,0.57,4.605,0.09,2.637,49.798,0.067,1.062,4.466,0.882,6.057,2.457,3.722,1.101,11.106,1.922,0.821,1.156,1.062,1.349,1.107,4.326,0,7.885,1.945,2.735,5,-0.007,2.782,4.234,3.688,0.713,153.279,3.226,3.488,7.769,7.446,2,0.474,4.062,3.783,4.452,2.715,2.542,104.245,4.382,1.046,3.794,0.127,6.515,4.876,4.876,182.498,0.352,18.08,0.886,7.386,4.313
7.398,1,-0.071,4.727,2.042,1,0.842,1.568,2.239,1.049,8.076,8.076,0.514,4.564,0.069,2.607,46.612,0.016,0.889,4.419,0.89,6.017,2.393,3.644,1.072,10.984,1.921,0.821,1.106,1.062,1.276,1.106,4.271,0,7.743,1.943,2.618,5,-0.114,2.593,4.205,3.664,0.693,128.613,3.107,3.363,7.756,7.434,2,0.392,4.031,3.681,4.359,2.628,2.487,104.245,4.331,0.968,3.713,0.132,6.45,4.477,4.477,159.911,0.349,18.08,0.886,7.29,4.235
7.42,1,0.043,5.176,2.033,1,1.125,1.71,2.885,0.918,10.014,10.014,0.699,4.852,0.044,3.005,91.383,0.122,1.205,4.691,0.943,6.243,2.422,3.865,1.149,12.771,1.92,1.065,1.212,1.377,1.397,1.344,4.444,0,9.319,1.941,2.701,5,0.025,2.732,4.431,4.018,1.208,158.869,3.151,3.574,8.314,7.897,2,0.388,4.393,3.912,4.514,2.696,2.575,87.382,4.564,1.217,3.884,0.103,6.691,5.032,5.032,200.923,0.361,18.081,1.094,7.988,4.385
6.117,0,0.186,3.045,2.053,0,0.872,1.021,1.3,0.949,7.76,7.76,0.535,3.434,-0.115,2.452,21.74,0.14,0.977,3.689,0.825,5.186,1.099,3.833,0.943,7.562,1.968,0.694,1.057,1.144,1.486,1.127,3.984,0,4.46,1.988,2.518,3,0.209,2.026,3.638,3.462,-0.137,131.419,2.136,3.48,5.364,5.455,2,0.367,3.808,4.038,4.488,2.532,2.304,100.725,3.761,1.246,3.807,0.18,6.26,2.511,2.511,164.703,0.314,19.17,0.753,5.861,4.285
7.456,1,0.017,4.779,2.047,1,1.071,1.57,2.249,1.002,8.711,8.711,0.514,4.595,0.032,2.773,49.798,0.067,1.105,4.454,0.882,6.052,2.394,3.754,1.127,11.145,1.923,0.84,1.207,1.1,1.379,1.107,4.326,0,8.011,1.945,2.645,5,-0.007,2.594,4.248,3.816,0.785,153.279,3.108,3.389,7.776,7.456,2,0.474,4.189,3.808,4.452,2.647,2.562,104.245,4.382,1.107,3.802,0.127,6.535,4.513,4.513,187.253,0.43,18.081,0.889,7.386,4.313
6.538,0,0.092,3.714,2.032,1,0.744,1.498,1.531,0.944,7.76,7.76,0.639,3.761,0.144,2.642,59.187,0.088,0.81,3.829,0.819,5.456,2.14,3.497,0.984,8.559,1.893,0.714,1.034,0.977,1.175,1.003,4.019,1,5.684,1.921,2.622,5,0.071,2.545,3.784,3.682,0.441,125.305,3.112,3.237,5.994,5.593,2,0.323,4.073,3.558,4.279,2.606,2.34,103.226,3.892,0.838,3.598,0.185,6.142,4.102,4.102,148.956,0.376,15.407,0.769,6.269,4.123
6.575,1,0.185,5.176,2.042,1,1.266,2.066,2.947,0.896,10.908,10.908,1.199,4.898,-0.055,3.071,99.573,0.188,1.289,4.762,0.788,6.305,2.856,4.132,1.27,12.745,1.921,1.055,1.331,1.377,1.467,1.41,4.57,2,9.965,1.944,2.867,8,0.179,3.113,4.511,4.123,2.028,218.529,3.56,3.696,8.136,7.737,4,0.719,4.467,4.169,4.76,2.858,2.632,141.676,4.7,1.608,4.103,0.113,6.858,6.153,6.153,264.848,0.806,18.306,1.105,8.155,4.606
6.42,5,0.119,5.352,2.029,11,1.285,2.585,4.069,0.978,11.93,11.93,1.907,5.303,0.127,3.293,55.833,0.177,1.313,5.187,1.07,6.327,3.323,4.54,1.449,12.409,1.935,1.194,1.491,1.523,1.587,1.533,4.932,7,14.855,1.945,3.099,17,0.137,3.641,4.92,4.342,2.291,343.328,3.977,4.133,7.319,7.216,13,1.581,4.642,4.582,5.201,3.102,3.043,399.981,5.075,2.287,4.499,0.076,7.398,9.164,9.164,444.979,2.714,20.111,1.227,8.761,5.08
5.658,5,0.148,5.489,2.03,9,1.25,2.327,3.67,1.026,11.613,11.613,1.529,5.328,0.0,3.045,57.181,0.136,1.261,5.198,0.958,6.353,3.054,4.407,1.342,13.407,1.929,1.147,1.393,1.525,1.61,1.51,4.801,4,14.374,1.939,2.993,14,0.15,3.359,4.905,4.224,2.225,306.082,3.695,3.968,7.425,7.23,7,0.974,4.642,4.413,5.115,3.013,2.825,324.338,5.069,2.027,4.374,0.083,7.241,7.876,7.876,394.785,1.706,20.111,1.216,9.217,4.959
7.469,4,0.155,5.481,2.031,9,1.283,2.377,4.067,1.01,11.613,11.613,1.807,5.366,0.019,3.045,60.366,0.146,1.311,5.242,0.943,6.391,3.096,4.492,1.425,14.086,1.935,1.185,1.481,1.551,1.657,1.532,4.865,4,14.937,1.946,3.086,14,0.16,3.404,4.934,4.224,2.36,336.726,3.768,3.978,7.512,7.355,7,1.143,4.642,4.516,5.198,3.099,2.825,324.338,5.1,2.265,4.455,0.078,7.281,7.882,7.882,437.523,1.594,20.111,1.231,9.28,5.036
6.699,3,0.171,5.476,2.034,7,1.26,2.323,3.664,0.992,11.609,11.609,1.48,5.308,-0.006,3.042,57.181,0.146,1.272,5.187,0.95,6.347,3.054,4.39,1.356,13.401,1.93,1.144,1.407,1.523,1.596,1.515,4.795,5,14.348,1.94,2.963,14,0.168,3.356,4.898,4.221,2.216,299.275,3.693,3.965,7.523,7.338,8,0.939,4.641,4.387,5.097,2.99,2.808,317.327,5.056,1.947,4.362,0.083,7.239,7.927,7.927,387.224,1.792,20.111,1.21,9.21,4.952
7.357,3,0.175,5.442,2.033,7,1.287,2.357,4.069,0.979,11.609,11.609,1.696,5.323,0.025,3.042,60.366,0.155,1.323,5.215,0.934,6.394,3.092,4.478,1.407,14.084,1.936,1.197,1.454,1.54,1.624,1.536,4.859,5,15.035,1.946,3.091,14,0.175,3.387,4.934,4.221,2.289,329.781,3.753,3.975,7.544,7.349,8,1.035,4.641,4.493,5.182,3.091,2.808,317.327,5.088,2.191,4.443,0.078,7.281,7.933,7.933,429.823,1.687,20.111,1.236,9.274,5.03
6.398,0,0.048,4.394,2.007,1,0.821,1.498,1.764,0.887,9.114,9.114,0.577,4.22,0.037,2.803,97.587,0.109,0.886,4.127,0.895,5.734,2.141,3.527,0.973,10.036,1.884,0.734,1.009,0.991,1.181,1.029,4.113,1,6.508,1.906,2.637,5,0.018,2.545,3.989,3.852,0.558,122.241,3.067,3.236,7.316,6.982,2,0.319,4.274,3.559,4.249,2.615,2.338,86.363,4.127,0.839,3.603,0.17,6.282,4.047,4.047,144.015,0.375,15.561,0.803,6.797,4.123
6.678,2,0.248,5.165,2.041,1,1.225,2.018,2.95,0.792,9.348,9.348,0.973,4.844,-0.045,2.921,103.126,0.323,1.264,4.71,0.874,6.258,2.833,4.101,1.27,12.602,1.921,1.082,1.328,1.407,1.539,1.414,4.558,1,9.859,1.944,2.966,8,0.178,3.099,4.454,3.942,2.134,240.874,3.575,3.656,8.12,7.727,3,0.62,4.327,4.177,4.896,2.961,2.508,134.542,4.635,1.503,4.138,0.11,6.779,6.052,6.052,298.233,0.544,17.849,1.166,8.212,4.716
6.62,2,0.11,5.153,2.041,1,1.191,2.003,2.945,0.881,9.348,9.348,0.862,4.836,-0.112,2.921,131.061,0.174,1.231,4.691,0.851,6.26,2.833,4.026,1.27,12.658,1.921,1.054,1.327,1.351,1.465,1.336,4.528,2,9.728,1.944,2.824,8,0.051,3.051,4.443,3.942,2.17,222.87,3.577,3.658,8.121,7.728,3,0.579,4.327,4.069,4.727,2.859,2.508,162.477,4.625,1.394,4.059,0.113,6.742,6.041,6.041,273.173,0.661,17.849,1.102,8.155,4.58
6.377,1,0.106,5.242,2.041,1,1.266,2.027,3.03,0.903,10.246,10.246,1.015,4.92,-0.079,3.026,100.001,0.17,1.289,4.771,0.862,6.276,2.859,4.097,1.27,12.968,1.922,1.218,1.331,1.473,1.545,1.459,4.593,1,10.905,1.944,2.808,8,0.05,3.094,4.564,4.041,2.175,237.274,3.562,3.743,8.12,7.722,4,0.634,4.409,4.14,4.852,2.839,2.505,142.418,4.7,1.535,4.129,0.107,6.849,6.315,6.315,294.068,0.653,17.849,1.274,8.409,4.707
6.31,1,0.144,4.92,2.041,1,1.044,1.899,2.298,0.849,9.321,9.321,0.66,4.654,0.043,2.913,89.002,0.191,1.093,4.522,0.892,6.2,2.646,3.787,1.076,11.74,1.921,0.749,1.149,1.033,1.397,1.065,4.343,1,8.206,1.944,2.65,4,0.133,2.943,4.304,3.934,0.73,155.969,3.353,3.577,8.027,7.624,1,0.496,4.322,3.865,4.468,2.641,2.472,77.262,4.477,1.067,3.853,0.146,6.603,5.63,5.63,190.498,0.326,17.849,0.823,7.546,4.314
6.585,2,0.13,4.963,2.041,1,0.998,1.929,2.342,0.868,9.256,9.256,0.803,4.7,-0.005,2.902,89.002,0.192,1.057,4.575,0.992,6.213,2.767,3.826,1.068,11.85,1.921,0.821,1.14,1.062,1.359,1.107,4.366,1,8.365,1.944,2.704,5,0.102,2.985,4.317,3.925,0.82,168.784,3.433,3.602,8.043,7.671,1,0.465,4.313,3.902,4.514,2.715,2.494,110.159,4.5,1.134,3.89,0.14,6.624,5.922,5.922,200.923,0.278,17.849,0.886,7.644,4.359
7.076,2,0.049,5.425,2.134,1,1.27,2.302,3.484,0.898,10.689,10.689,1.021,5.124,-0.052,3.11,97.333,0.137,1.327,4.977,0.805,6.663,3.198,4.278,1.343,15.698,2.061,1.208,1.384,1.442,1.57,1.429,4.777,1,12.728,2.078,3.051,6,0.019,3.316,4.736,4.109,2.533,224.107,3.765,3.82,8.359,8.084,2,0.699,4.548,4.343,4.851,3.066,2.92,120.418,4.942,1.775,4.321,0.095,7.024,6.92,6.92,283.717,0.537,18.037,1.244,9.099,4.714
6.174,1,0.12,4.331,2.052,1,0.783,1.746,2.0,0.932,7.813,7.813,0.691,4.317,0.12,2.652,47.416,0.135,0.846,4.263,0.799,5.993,2.398,3.675,1.039,10.108,1.924,0.731,1.102,1.03,1.319,1.064,4.211,1,7.078,1.948,2.624,4,0.102,2.761,4.111,3.697,0.673,140.969,3.23,3.465,7.153,6.949,1,0.404,4.079,3.762,4.403,2.605,2.428,94.125,4.263,0.979,3.773,0.163,6.435,4.905,4.905,168.969,0.274,17.849,0.808,6.925,4.236
6.377,1,0.11,5.159,2.041,1,1.264,1.964,2.945,0.881,10.246,10.246,1.022,4.86,-0.101,3.026,131.061,0.174,1.289,4.718,0.851,6.267,2.823,4.056,1.27,12.806,1.922,1.055,1.33,1.351,1.467,1.337,4.528,2,9.859,1.944,2.826,8,0.051,3.022,4.466,4.041,2.178,222.87,3.559,3.653,8.112,7.715,3,0.62,4.409,4.093,4.727,2.861,2.503,162.477,4.644,1.466,4.068,0.113,6.76,6.053,6.053,271.173,0.636,17.849,1.104,8.155,4.58
8.222,3,0.013,4.263,2.037,1,1.11,1.947,2.536,1.015,7.937,7.937,0.84,4.19,-0.039,2.68,101.247,0.05,1.184,4.159,0.818,5.605,2.398,3.951,1.221,9.556,1.895,1.002,1.274,1.266,1.558,1.234,4.342,2,7.892,1.923,2.94,9,-0.013,2.983,4.094,3.719,1.315,208.6,3.478,3.531,6.298,6.057,4,0.569,4.099,3.988,4.724,2.968,2.406,188.441,4.205,1.367,3.977,0.127,6.457,5.315,5.315,267.603,0.791,15.408,1.045,7.059,4.563
6.357,1,0.144,4.92,2.041,1,1.054,1.738,2.299,0.849,10.013,10.013,0.765,4.654,0.051,3.004,89.002,0.191,1.104,4.522,0.892,6.2,2.409,3.816,1.125,11.773,1.921,0.749,1.206,1.033,1.429,1.065,4.343,1,8.303,1.944,2.654,4,0.133,2.763,4.317,4.018,0.722,155.969,3.238,3.559,8.027,7.623,1,0.4,4.393,3.89,4.468,2.645,2.484,77.262,4.477,1.123,3.865,0.146,6.621,5.117,5.117,188.498,0.311,17.849,0.823,7.546,4.314
7.027,2,0.114,5.056,2.041,1,1.06,2.027,2.731,0.913,9.257,9.257,0.942,4.771,-0.034,2.903,89.002,0.161,1.118,4.635,0.833,6.24,2.799,3.931,1.269,12.223,1.921,0.924,1.311,1.275,1.463,1.285,4.462,1,8.815,1.944,2.735,6,0.104,3.06,4.369,3.925,1.267,193.897,3.528,3.618,8.091,7.733,2,0.546,4.313,4.005,4.634,2.715,2.513,120.418,4.564,1.274,3.978,0.127,6.688,5.939,5.939,232.917,0.342,17.849,0.998,7.893,4.475
6.745,2,0.184,5.165,2.042,1,1.077,2.047,2.942,0.885,10.953,10.953,1.164,4.82,-0.172,3.11,89.002,0.202,1.148,4.691,0.82,6.246,2.875,4.08,1.27,12.433,1.921,1.027,1.326,1.346,1.464,1.324,4.592,1,9.164,1.944,2.735,6,0.184,3.087,4.407,4.166,1.781,224.236,3.604,3.79,8.123,7.755,2,0.709,4.377,4.175,4.827,2.741,2.902,120.418,4.595,1.454,4.155,0.116,6.884,6.58,6.58,268.784,0.354,18.234,1.072,8.095,4.652
