pXC50,NNRS,Eig04_EA.ri.,MWC08,Eig04_AEA.ri.,GGI3,ATSC8v,GGI5,MPC05,GGI7,ATSC8p,SpMax3_Bh.e.,MWC10,Eig03_EA.ri.,SpMax3_Bh.i.,Ram,SM10_EA.ri.,MPC08,SpMin3_Bh.e.,SpMin3_Bh.i.,Eig03_AEA.ri.,Eig04_EA,SM12_AEA.bo.,ATS4p,ATS7v,Eta_C_A,Eig03_AEA.ed.,Eig03_EA.ed.,SM07_EA.ed.,SM08_EA.ed.,SM10_EA.ed.,SM11_EA,SM12_AEA.dm.,SM12_AEA.ed.,SM12_EA,SM15_AEA.ed.,MPC09,MPC10,ATSC6p,GGI4,Eig04_EA.ed.,SM13_AEA.dm.,Chi0_EA.dm.,SM11_EA.ri.,SM12_EA.ri.,SM13_EA.ri.,SM14_EA.ri.,SM15_EA.ri.,ATSC4v,Eig07_EA,SM15_AEA.bo.,SpMax3_Bh.m.,Eig05_AEA.ed.,SM05_EA.ed.,SM06_EA.ed.,SM09_EA,SM09_EA.ed.,SM10_AEA.ed.,SM10_EA,SM11_AEA.ed.,SM11_EA.ed.,SM13_AEA.ed.,SM13_EA,SM14_AEA.ed.,SM14_EA
6.741,0.667,3.104,11.01,4.129,4.479,39.898,2.827,5.236,1.126,27.245,3.97,12.852,3.131,4.007,17,13.467,5.684,1.946,1.92,4.182,3.14,3.14,4.919,4.805,1.344,6.92,11.656,19.357,21.994,27.201,14.816,11.656,25.373,16.055,31.388,5.778,5.924,26.398,2.977,10.933,10.933,33.956,14.659,15.884,17.096,18.321,19.543,35.587,2.232,2.232,3.899,5.849,14.132,16.854,12.362,24.578,21.392,13.612,23.379,29.812,27.374,17.28,29.379,18.518
5.955,0.667,2.876,10.887,4.101,3.701,27.112,2.15,5.094,0.817,19.452,3.937,12.714,3.061,3.969,15,13.359,5.537,1.905,1.879,4.171,3.119,3.119,4.647,4.562,1.112,7.111,11.657,19.356,21.989,27.198,14.858,11.657,25.398,16.098,31.424,5.598,5.762,18.132,2.07,10.984,10.984,28.06,14.552,15.78,16.995,18.223,19.449,25.643,2.12,2.12,3.888,5.561,14.131,16.838,12.398,24.577,21.404,13.649,23.398,29.81,27.403,17.325,29.412,18.564
5.733,0.667,2.958,10.963,3.981,4.139,32.674,2.546,5.209,0.997,23.441,3.957,12.787,3.062,3.979,16,13.392,5.652,1.922,1.906,4.101,2.99,2.99,4.786,4.759,1.19,6.731,10.984,19.269,21.91,27.134,14.73,10.984,25.282,15.968,31.307,5.737,5.846,22.642,2.461,9.381,9.381,32.29,14.58,15.805,17.017,18.243,19.466,28.78,2.21,2.21,3.9,5.868,14.039,16.758,12.281,24.504,21.298,13.53,23.285,29.754,27.285,17.192,29.294,18.431
5.407,0.667,2.516,10.778,3.568,3.139,31.141,1.796,5.03,0.661,21.108,3.88,12.61,3.061,3.939,12,13.3,5.481,1.875,1.822,4.101,2.597,2.597,4.674,4.565,1.24,6.731,10.984,19.237,21.886,27.123,14.653,10.984,25.228,15.902,31.278,5.553,5.677,18.551,1.759,7.379,7.379,23.605,14.501,15.737,16.958,18.192,19.422,29.455,2.059,2.059,3.77,5.487,13.973,16.7,12.179,24.49,21.218,13.441,23.219,29.747,27.241,17.136,29.258,18.382
5.0,0.667,2.712,10.918,3.987,3.576,25.954,2.365,5.153,0.935,19.841,3.984,12.75,3.061,4.012,16,13.355,5.583,1.913,1.885,4.101,3.114,3.114,4.655,4.59,1.031,6.731,10.984,19.323,21.955,27.169,14.828,10.984,25.335,16.065,31.353,5.663,5.805,19.134,2.572,10.83,10.83,31.71,14.547,15.773,16.988,18.216,19.442,24.21,2.211,2.211,3.951,5.931,14.111,16.809,12.377,24.545,21.353,13.623,23.34,29.785,27.336,17.292,29.343,18.531
5.644,0.667,2.847,10.846,3.833,3.576,27.839,2.032,5.088,0.723,19.85,3.938,12.673,3.062,3.967,14,13.35,5.517,1.917,1.893,4.101,2.827,2.827,4.683,4.573,1.104,6.731,10.984,19.248,21.894,27.127,14.684,10.984,25.249,15.927,31.289,5.609,5.733,19.229,2.03,8.502,8.502,26.033,14.544,15.773,16.989,18.218,19.444,27.237,2.117,2.117,3.881,5.561,13.999,16.721,12.222,24.494,21.251,13.477,23.246,29.749,27.258,17.157,29.272,18.4
5.059,0.667,2.727,10.831,3.814,3.326,27.904,1.914,5.075,0.754,19.875,3.915,12.661,3.062,3.944,13,13.322,5.517,1.884,1.858,4.101,2.859,2.859,4.664,4.566,1.095,6.731,10.984,19.254,21.898,27.129,14.684,10.984,25.253,15.928,31.293,5.595,5.724,19.463,2.07,9.083,9.083,26.149,14.52,15.753,16.971,18.203,19.431,26.599,2.11,2.11,3.86,5.561,14.004,16.726,12.218,24.498,21.253,13.475,23.25,29.751,27.262,17.158,29.276,18.402
5.517,0.667,2.604,10.879,3.9,3.701,26.967,1.997,5.106,0.723,19.779,3.917,12.701,3.061,3.946,15,13.317,5.553,1.883,1.857,4.101,3.119,3.119,4.657,4.56,1.104,6.731,10.984,19.287,21.924,27.144,14.777,10.984,25.288,16.014,31.316,5.628,5.743,18.876,2.31,10.195,10.195,28.793,14.513,15.746,16.965,18.197,19.426,25.819,2.206,2.206,3.866,5.562,14.065,16.769,12.328,24.517,21.3,13.575,23.29,29.762,27.293,17.237,29.302,18.474
5.0,1.0,2.314,10.138,3.335,1.722,16.563,0.903,4.431,0.418,11.698,3.785,11.874,2.528,3.819,8,11.801,4.654,1.735,1.676,3.551,2.345,2.345,4.261,3.95,0.94,5.617,7.403,16.886,19.309,23.898,12.943,7.403,23.257,14.071,28.805,4.691,4.727,12.567,1.499,6.948,6.948,13.915,12.815,13.937,14.997,16.106,17.19,18.459,1.63,1.63,3.714,5.178,12.224,14.815,10.754,21.531,19.589,11.921,21.419,26.185,25.101,15.137,26.951,16.25
5.155,1.0,2.377,9.913,3.402,1.257,11.277,0.747,4.127,0.184,7.737,3.764,11.607,2.544,3.815,7,12.032,4.22,1.761,1.72,3.629,2.415,2.415,4.092,3.511,0.897,5.618,7.78,17.052,19.444,24.12,13.207,7.78,23.306,14.354,28.903,4.277,4.357,8.104,0.773,6.905,6.905,9.346,13.11,14.254,15.367,16.509,17.64,18.294,1.183,1.183,3.674,4.842,12.366,14.859,10.963,21.748,19.606,12.133,21.452,26.468,25.166,15.464,27.032,16.605
5.0,1.0,2.459,10.165,3.553,2.319,11.975,1.31,4.277,0.512,8.551,3.781,11.909,2.793,3.82,10,12.533,4.431,1.765,1.731,3.834,2.609,2.609,4.14,3.643,0.967,6.142,9.052,17.979,20.492,25.436,13.937,9.052,24.219,15.126,30.064,4.522,4.595,9.756,1.194,7.684,7.684,13.884,13.655,14.818,15.963,17.125,18.282,19.453,1.701,1.701,3.719,5.07,13.05,15.638,11.59,22.934,20.36,12.788,22.285,27.919,26.161,16.3,28.11,17.49
7.119,0.8,2.957,10.749,3.979,3.917,37.293,2.292,4.97,1.043,25.704,3.97,12.538,2.997,4.004,15,12.948,5.215,1.943,1.919,4.022,2.989,2.989,4.791,4.722,1.267,6.521,10.243,18.505,21.064,26.071,14.249,10.243,24.701,15.449,30.569,5.226,5.333,24.186,2.679,10.165,10.165,27.941,14.079,15.26,16.42,17.601,18.777,32.496,2.198,2.198,3.895,5.849,13.488,16.155,11.884,23.531,20.827,13.099,22.759,28.588,26.651,16.628,28.607,17.828
7.854,0.6,2.963,10.74,3.988,3.792,33.676,2.216,4.956,0.993,23.342,3.981,12.534,3.009,4.012,15,12.952,5.215,1.943,1.92,4.03,2.999,2.999,4.717,4.627,1.208,6.522,10.251,18.505,21.065,26.072,14.254,10.251,24.702,15.454,30.57,5.252,5.318,21.386,2.781,10.175,10.175,28.18,14.085,15.267,16.428,17.609,18.785,29.407,2.121,2.121,3.918,5.849,13.488,16.156,11.888,23.532,20.827,13.103,22.76,28.589,26.651,16.635,28.608,17.834
6.509,1.0,2.797,11.049,3.828,5.278,62.96,3.101,5.263,2.036,41.957,3.929,12.761,2.905,3.971,25,12.633,5.481,1.917,1.892,3.946,2.841,2.841,5.189,5.348,1.486,6.224,9.307,17.624,20.034,24.539,13.836,9.307,24.123,14.944,29.611,5.553,5.58,35.513,5.329,8.897,8.897,50.14,13.613,14.693,15.715,16.784,17.829,47.286,2.659,2.659,3.861,6.089,13.057,15.64,11.691,22.189,20.496,12.831,22.306,26.781,25.946,15.993,27.776,17.091
8.796,0.8,2.897,11.502,3.937,8.569,106.026,5.479,5.707,3.963,67.077,3.927,13.216,2.926,3.982,41,13.127,5.966,1.813,1.763,3.962,2.953,2.953,5.668,5.87,1.83,6.371,9.563,18.106,20.512,25.014,14.313,9.563,24.596,15.418,30.082,5.981,6.033,56.502,8.524,9.238,9.238,93.428,14.123,15.202,16.236,17.308,18.362,74.355,2.828,2.828,3.865,6.205,13.534,16.113,12.165,22.67,20.968,13.301,22.779,27.254,26.42,16.472,28.249,17.568
8.699,0.75,2.836,11.103,3.872,5.889,68.783,3.406,5.323,2.29,43.469,3.934,12.801,2.897,3.982,27,12.675,5.549,1.815,1.765,3.936,2.886,2.886,5.326,5.422,1.554,6.204,9.238,17.538,19.915,24.341,13.817,9.238,24.057,14.914,29.493,5.545,5.58,38.992,5.274,9.09,9.09,64.46,13.656,14.729,15.751,16.816,17.86,55.213,2.725,2.725,3.869,6.03,13.031,15.588,11.695,22.032,20.463,12.829,22.256,26.542,25.864,15.948,27.676,17.032
7.951,0.8,2.897,11.502,3.937,8.569,106.732,5.479,5.707,3.963,66.897,3.927,13.216,2.926,3.982,41,13.127,5.966,1.818,1.768,3.962,2.953,2.953,5.669,5.872,1.821,6.371,9.563,18.106,20.512,25.014,14.313,9.563,24.596,15.418,30.082,5.981,6.033,56.143,8.524,9.238,9.238,91.682,14.123,15.202,16.236,17.308,18.362,74.974,2.828,2.828,3.864,6.205,13.534,16.113,12.165,22.67,20.968,13.301,22.779,27.254,26.42,16.472,28.249,17.568
8.678,1.0,2.833,10.982,3.87,5.09,63.819,2.767,5.165,2.517,42.253,3.912,12.699,2.901,3.964,25,12.588,5.429,1.828,1.779,3.944,2.885,2.885,5.103,5.326,1.538,6.232,9.33,17.576,19.969,24.432,13.806,9.33,24.087,14.906,29.559,5.434,5.472,32.017,5.348,9.027,9.027,44.885,13.575,14.647,15.671,16.733,17.776,43.56,2.659,2.659,3.844,6.103,13.029,15.599,11.667,22.106,20.467,12.797,22.274,26.648,25.906,15.954,27.73,17.044
4.733,0.75,2.568,10.405,3.589,2.354,23.093,1.323,4.691,0.691,17.596,3.912,12.114,2.671,3.942,12,11.962,4.868,1.913,1.889,3.693,2.605,2.605,4.444,4.484,0.989,5.923,8.278,16.857,19.249,23.744,13.085,8.278,23.301,14.199,28.766,4.905,4.997,15.433,1.831,7.414,7.414,25.765,12.934,14.035,15.06,16.145,17.199,21.174,2.172,2.172,3.846,5.34,12.301,14.867,10.942,21.411,19.694,12.099,21.493,25.987,25.116,15.239,26.938,16.338
5.585,0.75,2.404,10.148,3.496,1.576,12.896,0.792,4.394,0.413,9.883,3.897,11.857,2.514,3.949,8,11.65,4.605,1.706,1.661,3.519,2.516,2.516,4.061,4.004,0.788,5.371,7.044,16.649,19.046,23.58,12.831,7.044,23.053,13.954,28.546,4.585,4.654,9.57,1.053,6.965,6.965,17.413,12.638,13.744,14.784,15.878,16.945,14.021,1.591,1.591,3.831,5.111,12.056,14.623,10.671,21.238,19.428,11.838,21.236,25.845,24.877,15.002,26.709,16.109
5.569,0.75,2.404,10.148,3.496,1.576,12.896,0.792,4.394,0.413,9.883,3.897,11.857,2.514,3.949,8,11.65,4.605,1.706,1.661,3.519,2.516,2.516,4.061,4.004,0.788,5.371,7.044,16.649,19.046,23.58,12.831,7.044,23.053,13.954,28.546,4.585,4.654,9.57,1.053,6.965,6.965,17.413,12.638,13.744,14.784,15.878,16.945,14.021,1.591,1.591,3.831,5.111,12.056,14.623,10.671,21.238,19.428,11.838,21.236,25.845,24.877,15.002,26.709,16.109
7.432,0.833,2.463,10.906,3.558,4.104,28.014,1.324,5.147,0.768,20.679,3.828,12.746,2.727,3.873,14,13.329,5.472,1.824,1.794,3.768,2.612,2.612,4.769,4.672,0.976,6.05,8.704,19.931,22.78,28.444,14.834,8.704,25.722,16.145,32.075,5.412,5.403,24.321,2.129,7.694,7.694,29.007,14.576,15.863,17.142,18.436,19.729,26.364,2.273,2.273,3.771,5.58,14.281,17.18,12.249,25.602,21.531,13.562,23.619,31.282,27.833,17.449,29.951,18.768
5.585,0.75,2.496,10.158,3.511,1.542,14.195,0.851,4.466,0.463,11.1,3.901,11.864,2.515,3.931,8,11.684,4.625,1.904,1.876,3.526,2.514,2.514,4.138,4.056,0.796,5.36,7.015,16.646,19.045,23.58,12.822,7.015,23.051,13.95,28.545,4.625,4.673,10.377,1.079,6.965,6.965,17.413,12.658,13.772,14.803,15.899,16.961,15.839,1.594,1.594,3.826,5.111,12.052,14.623,10.658,21.236,19.427,11.836,21.235,25.844,24.876,14.994,26.708,16.105
5.409,0.667,2.219,10.033,3.232,1.639,13.928,0.813,4.234,0.41,9.577,3.79,11.75,2.405,3.852,8,11.572,4.477,1.685,1.635,3.499,2.248,2.248,4.004,3.941,0.901,5.371,7.044,16.612,19.016,23.565,12.784,7.044,23.009,13.904,28.517,4.431,4.443,8.756,1.062,5.966,5.966,15.607,12.58,13.683,14.736,15.831,16.908,14.873,1.546,1.546,3.691,4.972,11.999,14.571,10.618,21.217,19.373,11.774,21.186,25.834,24.839,14.963,26.675,16.071
5.0,0.5,2.168,9.901,3.186,1.542,15.412,0.781,4.143,0.544,10.48,3.705,11.628,2.239,3.764,8,11.528,4.357,1.7,1.64,3.314,2.199,2.199,3.97,3.897,1.008,5.114,6.092,16.571,18.986,23.549,12.726,6.092,22.962,13.848,28.486,4.22,4.19,8.299,1.177,5.919,5.919,13.454,12.547,13.652,14.713,15.811,16.892,15.113,1.546,1.546,3.561,4.668,11.934,14.516,10.548,21.195,19.313,11.702,21.133,25.823,24.798,14.917,26.639,16.03
5.0,0.5,1.967,9.788,2.979,1.417,8.055,0.67,4.025,0.357,5.759,3.534,11.53,2.092,3.59,6,11.474,4.174,1.515,1.451,3.179,1.989,1.989,3.697,3.538,0.762,5.112,5.945,16.557,18.974,23.544,12.679,5.945,22.936,13.808,28.474,3.989,3.871,6.55,0.857,5.737,5.737,11.685,12.505,13.619,14.687,15.79,16.875,9.314,1.197,1.197,3.42,4.243,11.895,14.485,10.476,21.189,19.27,11.64,21.099,25.82,24.777,14.886,26.624,16.002
5.0,0.5,2.209,10.321,3.254,2.333,12.155,0.952,4.554,0.513,9.85,3.772,12.065,2.723,3.818,10,12.016,4.762,1.72,1.674,3.763,2.287,2.287,4.166,4.016,0.851,6.049,8.7,17.115,19.536,24.127,13.215,8.7,23.471,14.35,29.028,4.691,4.71,10.521,1.039,6.089,6.089,16.917,13.049,14.168,15.239,16.346,17.434,14.807,1.976,1.976,3.699,5.112,12.43,15.023,11.001,21.767,19.793,12.174,21.628,26.414,25.319,15.431,27.172,16.552
5.432,0.6,2.404,10.395,3.499,2.181,13.533,0.816,4.615,0.525,10.515,3.905,12.137,2.722,3.968,10,12.039,4.86,1.722,1.674,3.763,2.555,2.555,4.191,4.077,0.817,6.049,8.7,17.14,19.555,24.137,13.253,8.7,23.5,14.385,29.047,4.804,4.89,10.631,1.164,7.044,7.044,17.413,13.068,14.186,15.253,16.359,17.444,15.027,1.968,1.968,3.847,5.133,12.471,15.056,11.047,21.78,19.83,12.218,21.661,26.42,25.344,15.461,27.193,16.579
5.0,0.5,2.009,9.864,3.042,1.542,12.069,0.67,4.111,0.451,8.32,3.682,11.595,2.226,3.741,7,11.501,4.304,1.686,1.628,3.303,2.053,2.053,3.859,3.778,0.906,5.113,6.087,16.565,18.981,23.547,12.705,6.087,22.95,13.831,28.481,4.159,4.111,7.43,1.097,5.892,5.892,12.764,12.525,13.635,14.699,15.8,16.882,12.583,1.544,1.544,3.542,4.583,11.917,14.504,10.515,21.193,19.294,11.676,21.118,25.822,24.789,14.903,26.633,16.018
5.0,0.5,2.204,9.912,3.216,1.667,15.704,0.781,4.143,0.451,10.543,3.716,11.635,2.238,3.772,8,11.532,4.357,1.708,1.652,3.308,2.221,2.221,4.031,3.937,1.04,5.113,6.088,16.571,18.985,23.548,12.724,6.088,22.961,13.847,28.485,4.277,4.234,8.855,1.097,5.898,5.898,13.454,12.547,13.653,14.712,15.81,16.89,16.403,1.546,1.546,3.572,4.661,11.934,14.516,10.547,21.194,19.314,11.703,21.133,25.823,24.797,14.915,26.639,16.027
5.409,0.667,2.219,10.033,3.232,1.639,13.928,0.813,4.234,0.41,9.577,3.79,11.75,2.405,3.852,8,11.572,4.477,1.685,1.635,3.499,2.248,2.248,4.004,3.941,0.901,5.371,7.044,16.612,19.016,23.565,12.784,7.044,23.009,13.904,28.517,4.431,4.443,8.756,1.062,5.966,5.966,15.607,12.58,13.683,14.736,15.831,16.908,14.873,1.546,1.546,3.691,4.972,11.999,14.571,10.618,21.217,19.373,11.774,21.186,25.834,24.839,14.963,26.675,16.071
5.0,0.5,2.1,10.265,3.183,2.083,11.642,0.785,4.5,0.472,8.982,3.748,12.019,2.721,3.793,9,11.998,4.7,1.721,1.672,3.761,2.225,2.225,4.102,3.901,0.804,6.048,8.695,17.111,19.532,24.125,13.2,8.695,23.462,14.336,29.024,4.605,4.644,9.887,0.959,6.02,6.02,14.182,13.036,14.158,15.232,16.341,17.43,13.933,1.546,1.546,3.679,5.11,12.418,15.011,10.978,21.766,19.778,12.151,21.617,26.413,25.312,15.421,27.167,16.544
5.0,0.667,2.09,10.037,3.167,1.479,15.258,0.816,4.331,0.491,10.918,3.785,11.75,2.497,3.846,7,11.587,4.522,1.758,1.698,3.521,2.201,2.201,4.097,4.009,0.886,5.36,7.014,16.604,19.013,23.564,12.756,7.014,22.998,13.888,28.512,4.477,4.489,9.771,1.088,5.964,5.964,17.188,12.582,13.698,14.744,15.845,16.917,16.099,1.546,1.546,3.687,4.969,11.978,14.562,10.574,21.214,19.356,11.753,21.172,25.833,24.83,14.945,26.668,16.06
5.0,0.5,1.967,9.856,2.979,1.542,11.739,0.726,4.111,0.388,7.934,3.684,11.586,2.122,3.751,6,11.482,4.304,1.681,1.618,3.218,1.989,1.989,3.885,3.794,0.882,5.112,6.012,16.56,18.978,23.546,12.684,6.012,22.94,13.817,28.476,4.19,4.143,7.711,0.937,5.866,5.866,14.345,12.507,13.623,14.688,15.792,16.877,12.461,1.543,1.543,3.539,4.249,11.899,14.494,10.481,21.191,19.276,11.655,21.104,25.822,24.781,14.89,26.626,16.008
5.0,0.667,2.09,9.978,3.176,1.479,10.967,0.761,4.248,0.36,8.342,3.735,11.699,2.514,3.777,7,11.589,4.394,1.705,1.659,3.516,2.218,2.218,3.959,3.814,0.774,5.34,6.966,16.601,19.008,23.561,12.75,6.966,22.993,13.878,28.509,4.331,4.331,8.821,0.848,5.945,5.945,14.182,12.588,13.702,14.75,15.849,16.922,12.872,1.546,1.546,3.668,4.96,11.975,14.553,10.568,21.212,19.35,11.739,21.167,25.832,24.826,14.938,26.665,16.051
5.051,0.5,2.126,10.308,3.22,2.208,15.49,0.841,4.554,0.504,11.253,3.768,12.054,2.722,3.815,9,12.002,4.779,1.725,1.677,3.762,2.269,2.269,4.232,4.085,0.908,6.049,8.699,17.112,19.534,24.127,13.203,8.699,23.464,14.341,29.026,4.718,4.779,10.996,1.039,6.029,6.029,16.842,13.037,14.161,15.233,16.342,17.431,17.353,1.714,1.714,3.69,5.111,12.42,15.016,10.981,21.767,19.782,12.16,21.62,26.414,25.314,15.424,27.168,16.547
5.0,0.667,2.225,10.031,3.301,1.639,13.769,0.75,4.234,0.451,9.602,3.76,11.747,2.421,3.806,8,11.574,4.477,1.693,1.633,3.493,2.346,2.346,3.996,3.945,0.899,5.353,6.998,16.612,19.016,23.565,12.784,6.998,23.009,13.903,28.517,4.431,4.443,8.502,1.062,6.086,6.086,15.26,12.582,13.686,14.739,15.834,16.91,14.274,1.546,1.546,3.682,5.038,11.999,14.571,10.618,21.217,19.373,11.773,21.186,25.834,24.839,14.963,26.675,16.07
5.0,0.5,1.967,9.856,2.98,1.792,11.031,0.726,4.06,0.419,7.565,3.631,11.591,2.219,3.684,7,11.492,4.263,1.603,1.546,3.342,1.99,1.99,3.812,3.747,0.874,5.177,6.436,16.572,18.989,23.552,12.717,6.436,22.957,13.842,28.487,4.127,4.06,7.63,0.857,5.91,5.91,13.842,12.52,13.631,14.696,15.798,16.882,11.35,1.523,1.523,3.505,4.391,11.923,14.514,10.526,21.198,19.301,11.685,21.125,25.825,24.796,14.915,26.639,16.028
6.357,0.75,2.634,10.501,3.657,3.042,28.608,1.802,4.736,0.726,19.187,3.907,12.256,2.819,3.96,13,12.301,4.89,1.906,1.853,3.856,2.668,2.668,4.633,4.462,1.264,6.14,8.981,17.448,19.895,24.533,13.49,8.981,23.82,14.625,29.405,4.913,5.017,18.484,2.142,8.311,8.311,23.96,13.344,14.465,15.543,16.656,17.752,28.791,1.985,1.985,3.785,5.849,12.731,15.345,11.268,22.143,20.123,12.435,21.968,26.845,25.677,15.716,27.539,16.842
