pXC50,SCBO,MW,nSK,nBO,nCsp3,nO,nCsp2,AMW,C.,H.,Me
4.842,28.0,300.48,22,25,14,2,6,6.01,40.0,56.0,0.981
7.602,41.0,418.67,31,35,17,2,12,6.068,42.0,55.1,0.977
6.284,36.0,412.72,30,33,22,2,6,5.577,37.8,59.5,0.974
4.708,27.0,286.45,21,24,13,2,6,6.095,40.4,55.3,0.982
8.708,33.0,349.49,24,27,11,4,7,7.436,38.3,48.9,1.004
6.886,38.0,380.54,28,32,13,2,12,6.676,43.9,50.9,0.99
4.301,42.0,403.56,30,34,12,3,14,6.84,44.1,49.2,0.991
4.301,40.0,427.59,31,34,16,5,9,6.681,39.1,51.6,0.998
6.377,30.0,298.41,22,25,11,3,8,6.782,43.2,50.0,0.993
4.301,32.0,327.46,24,27,12,3,8,6.683,40.8,51.0,0.994
4.138,35.5,336.48,25,29,12,1,8,6.867,40.8,49.0,0.991
4.367,33.0,380.48,25,28,12,4,7,7.61,38.0,50.0,0.997
5.457,30.0,328.54,24,27,16,2,6,5.867,39.3,57.1,0.978
8.387,43.0,441.64,31,35,13,4,12,7.123,40.3,50.0,0.996
5.418,36.0,348.52,26,30,12,2,12,6.454,44.4,51.9,0.982
5.553,31.0,317.42,23,26,12,4,6,6.9,39.1,50.0,1.003
6.921,44.5,412.61,31,36,13,2,16,6.549,46.0,50.8,0.981
4.301,31.0,295.41,22,25,11,2,7,6.87,44.2,48.8,0.991
4.301,31.0,312.44,23,26,12,3,8,6.648,42.6,51.1,0.991
4.301,31.0,329.5,23,26,11,2,8,7.163,41.3,50.0,0.99
7.097,39.0,431.43,29,33,13,2,12,7.569,43.9,49.1,0.992
4.244,35.0,384.48,26,29,12,4,7,8.01,39.6,45.8,1.021
4.463,32.0,364.48,24,27,12,3,7,7.438,38.8,51.0,0.99
5.222,38.0,440.78,32,35,24,2,6,5.51,37.5,60.0,0.973
4.301,31.0,313.43,23,26,11,3,8,6.814,41.3,50.0,0.996
5.538,50.5,446.53,32,35,1,3,20,8.931,44.0,36.0,1.019
5.538,51.5,525.42,33,36,1,3,20,10.508,44.0,34.0,1.024
7.77,50.5,446.53,32,35,1,3,20,8.931,44.0,36.0,1.019
8.638,51.5,464.52,33,36,1,3,20,9.29,44.0,34.0,1.03
9.081,51.5,480.97,33,36,1,3,20,9.619,44.0,34.0,1.026
9.886,51.5,525.42,33,36,1,3,20,10.508,44.0,34.0,1.024
7.658,52.5,476.56,34,37,2,4,20,8.825,42.6,37.0,1.022
7.26,51.5,464.52,33,36,1,3,20,9.29,44.0,34.0,1.03
6.62,54.5,471.54,34,37,1,3,20,9.246,45.1,33.3,1.023
4.648,31.0,292.28,20,22,0,6,13,10.439,46.4,28.6,1.056
5.9,35.0,437.38,27,28,9,5,8,8.926,34.7,44.9,1.026
7.753,34.5,522.3,27,28,9,5,6,11.354,32.6,41.3,1.037
5.721,37.0,428.56,29,30,11,7,8,7.519,33.3,49.1,1.019
4.0,41.0,437.94,29,31,5,5,14,8.938,38.8,40.8,1.026
4.0,34.0,402.94,26,27,9,5,8,8.223,34.7,46.9,1.02
4.991,36.0,451.41,28,29,10,5,8,8.681,34.6,46.2,1.022
5.038,34.0,402.94,26,27,9,5,8,8.223,34.7,46.9,1.02
6.658,41.0,504.5,33,34,11,5,8,9.173,34.5,40.0,1.063
5.747,34.0,382.53,26,27,10,5,8,7.356,34.6,50.0,1.01
6.9,41.0,430.55,31,35,14,2,12,7.176,43.3,48.3,1.006
5.824,30.0,298.41,22,25,11,3,8,6.782,43.2,50.0,0.993
4.071,40.0,390.56,29,33,13,3,13,6.62,44.1,50.8,0.987
5.319,28.0,349.29,21,24,11,2,7,8.316,42.9,50.0,0.991
5.481,28.0,288.39,21,24,11,2,7,6.866,42.9,50.0,0.997
5.174,31.0,295.41,22,25,11,2,7,6.87,44.2,48.8,0.991
5.737,32.0,315.4,23,26,11,4,7,7.168,40.9,47.7,1.006
4.77,32.0,315.4,23,26,11,4,7,7.168,40.9,47.7,1.006
4.585,37.0,360.4,26,29,11,6,7,7.835,39.1,43.5,1.024
7.285,38.0,380.54,28,32,13,2,12,6.676,43.9,50.9,0.99
5.824,34.0,309.39,23,27,9,3,10,7.366,45.2,45.2,1.001
4.412,34.0,323.42,24,28,10,3,10,7.187,44.4,46.7,0.998
5.027,34.0,324.4,24,28,10,4,10,7.373,45.5,45.5,1.003
4.412,35.0,338.43,25,29,11,4,10,7.201,44.7,46.8,1.001
6.511,34.0,340.47,24,28,10,3,10,7.738,45.5,45.5,0.998
6.585,31.0,281.38,21,25,9,2,9,7.034,45.0,47.5,0.993
4.523,35.0,338.43,25,29,11,4,10,7.201,44.7,46.8,1.001
4.91,37.0,352.41,26,30,10,5,11,7.661,45.7,43.5,1.01
5.0,34.0,363.52,25,28,12,4,7,7.27,38.0,50.0,1.002
4.398,28.0,349.29,21,24,11,2,7,8.316,42.9,50.0,0.991
4.611,33.0,308.4,23,27,10,3,10,7.172,46.5,46.5,0.996
5.745,35.0,377.55,26,29,13,4,7,7.124,37.7,50.9,1.0
7.633,34.0,381.54,26,29,13,5,6,7.199,35.8,50.9,1.006
6.467,42.0,425.64,30,34,13,3,12,6.978,41.0,50.8,0.99
6.533,42.0,426.62,30,34,13,4,12,7.11,41.7,50.0,0.994
6.465,41.0,411.61,29,33,12,3,12,7.097,41.4,50.0,0.992
6.439,42.0,425.64,30,34,13,3,12,6.978,41.0,50.8,0.99
6.583,43.0,439.67,31,35,14,3,12,6.87,40.6,51.6,0.989
6.684,42.0,425.64,30,34,13,3,12,6.978,41.0,50.8,0.99
7.357,44.0,453.7,32,36,15,3,12,6.772,40.3,52.2,0.988
7.585,45.0,467.73,33,37,16,3,12,6.682,40.0,52.9,0.987
7.292,46.0,481.76,34,38,17,3,12,6.599,39.7,53.4,0.986
7.208,44.0,453.7,32,36,15,3,12,6.772,40.3,52.2,0.988
7.745,45.0,467.73,33,37,16,3,12,6.682,40.0,52.9,0.987
8.046,51.0,487.71,35,40,12,3,18,7.172,44.1,48.5,0.99
7.409,52.0,503.71,36,41,12,4,18,7.3,43.5,47.8,0.995
7.699,48.5,461.67,33,38,12,3,16,7.214,43.8,48.4,0.991
6.307,42.0,490.5,30,34,12,3,12,8.457,41.4,48.3,0.996
7.62,42.0,490.5,30,34,12,3,12,8.457,41.4,48.3,0.996
6.721,42.0,490.5,30,34,12,3,12,8.457,41.4,48.3,0.996
7.174,42.0,446.05,30,34,12,3,12,7.691,41.4,48.3,0.997
6.567,42.0,446.05,30,34,12,3,12,7.691,41.4,48.3,0.997
7.046,46.0,456.61,32,36,12,5,12,7.61,40.0,46.7,1.007
6.863,45.0,436.62,31,35,12,3,12,7.4,42.4,47.5,0.996
6.951,42.0,429.6,30,34,12,3,12,7.407,41.4,48.3,1.001
6.32,42.0,429.6,30,34,12,3,12,7.407,41.4,48.3,1.001
7.638,45.0,479.61,33,37,13,3,12,7.862,41.0,45.9,1.016
7.137,45.0,479.61,33,37,13,3,12,7.862,41.0,45.9,1.016
7.187,42.0,425.64,30,34,13,3,12,6.978,41.0,50.8,0.99
6.714,43.0,441.64,31,35,13,4,12,7.123,40.3,50.0,0.996
7.131,46.0,495.61,34,38,13,4,12,7.994,40.3,45.2,1.021
6.126,43.0,443.55,32,36,13,2,13,7.392,43.3,46.7,1.009
7.456,47.0,438.65,33,38,13,2,18,6.547,46.3,50.7,0.98
6.921,44.5,412.61,31,36,13,2,16,6.549,46.0,50.8,0.981
7.155,38.0,394.49,27,30,11,6,7,8.051,36.7,44.9,1.022
9.097,38.0,394.49,27,30,11,6,7,8.051,36.7,44.9,1.022
5.602,37.0,389.56,27,30,12,4,9,7.214,38.9,50.0,1.0
5.0,41.0,429.63,30,33,13,4,11,7.043,39.3,50.8,0.996
5.538,36.0,391.58,27,30,14,4,7,6.992,37.5,51.8,0.997
5.0,36.0,391.58,27,30,14,4,7,6.992,37.5,51.8,0.997
5.0,39.0,433.67,30,33,17,4,7,6.672,36.9,53.8,0.992
8.252,34.0,367.48,25,28,11,4,7,7.819,38.3,46.8,1.015
8.469,34.0,383.93,25,28,11,4,7,8.169,38.3,46.8,1.011
8.603,37.0,374.5,26,29,11,4,7,7.802,39.6,45.8,1.009
5.921,34.0,428.38,25,28,11,4,7,9.114,38.3,46.8,1.009
6.701,31.0,335.51,23,26,12,3,6,6.99,37.5,52.1,0.995
5.0,34.0,347.47,24,28,11,4,7,7.722,40.0,46.7,1.007
5.0,35.0,361.5,25,29,12,4,7,7.531,39.6,47.9,1.004
5.0,34.0,347.47,24,28,11,4,7,7.722,40.0,46.7,1.007
10.0,36.0,399.5,27,30,12,4,7,7.99,38.0,46.0,1.022
7.409,40.0,460.63,30,33,13,7,6,7.942,32.8,48.3,1.02
6.495,40.0,476.7,30,33,13,6,6,8.219,32.8,48.3,1.015
7.796,32.0,351.51,24,27,12,4,6,7.174,36.7,51.0,1.002
5.301,32.0,351.51,24,27,12,4,6,7.174,36.7,51.0,1.002
7.745,38.0,430.6,28,31,12,6,6,7.974,33.3,48.1,1.017
6.42,42.5,400.46,28,30,2,4,14,9.101,38.6,36.4,1.032
5.0,44.5,395.44,28,30,1,3,14,9.645,41.5,31.7,1.035
6.229,41.5,388.42,27,29,1,3,14,9.71,40.0,32.5,1.043
5.0,41.5,449.32,27,29,1,3,14,11.233,40.0,32.5,1.036
5.0,42.5,400.46,28,30,2,4,14,9.101,38.6,36.4,1.032
4.222,30.0,333.5,23,24,8,2,9,7.25,37.0,50.0,0.997
4.0,31.0,299.38,21,22,0,2,15,8.805,44.1,38.2,1.013
4.921,27.0,307.46,21,21,6,2,9,7.32,35.7,50.0,1.0
4.699,27.0,291.41,20,21,5,2,9,7.876,37.8,45.9,1.006
4.62,28.0,305.44,21,22,6,2,9,7.636,37.5,47.5,1.003
4.538,29.0,321.44,22,23,6,3,9,7.84,36.6,46.3,1.011
6.602,29.0,321.44,22,23,6,3,9,7.84,36.6,46.3,1.011
5.301,31.0,349.5,24,25,8,3,9,7.436,36.2,48.9,1.004
4.0,27.0,305.25,21,22,6,2,8,7.445,34.1,48.8,0.997
6.092,32.5,329.48,23,25,6,0,9,7.845,35.7,45.2,1.002
4.0,25.0,263.35,18,19,3,2,9,8.495,38.7,41.9,1.015
4.886,29.0,319.47,22,23,7,2,9,7.43,37.2,48.8,1.0
4.0,30.0,335.47,23,24,7,3,9,7.624,36.4,47.7,1.007
5.602,30.0,335.47,23,24,7,3,9,7.624,36.4,47.7,1.007
4.699,31.0,351.47,24,25,7,4,9,7.81,35.6,46.7,1.014
5.347,30.0,337.44,23,24,6,4,9,8.034,35.7,45.2,1.018
5.638,25.0,277.43,19,20,6,1,8,7.301,36.8,50.0,0.994
4.0,28.0,289.37,21,22,6,3,9,7.234,37.5,47.5,1.009
4.0,29.0,319.47,22,23,7,2,9,7.43,37.2,48.8,1.0
4.886,29.0,319.47,22,23,7,2,9,7.43,37.2,48.8,1.0
7.398,36.0,394.54,27,30,12,5,7,7.444,35.8,49.1,1.01
5.398,28.0,305.44,21,22,6,2,9,7.636,37.5,47.5,1.003
4.569,65.0,645.74,46,51,10,9,23,8.386,42.9,40.3,1.022
5.398,66.0,659.77,47,52,11,9,23,8.247,42.5,41.3,1.02
5.155,65.0,629.67,46,51,10,10,23,8.178,42.9,40.3,1.025
4.0,69.0,674.12,47,52,4,9,29,9.495,46.5,33.8,1.033
4.721,32.0,368.54,25,28,16,5,3,6.954,35.8,52.8,1.002
6.0,21.0,227.31,15,16,4,3,6,8.118,35.7,46.4,1.016
5.097,64.0,631.71,45,50,9,9,23,8.537,43.2,39.2,1.025
6.678,37.0,391.55,26,30,10,4,9,8.331,40.4,44.7,1.009
4.0,68.0,623.61,46,51,4,10,29,8.783,46.5,35.2,1.032
5.319,68.0,639.68,46,51,4,9,29,9.01,46.5,35.2,1.029
4.0,68.0,640.66,46,51,4,10,29,9.152,47.1,34.3,1.032
5.854,66.0,659.77,47,52,11,9,23,8.247,42.5,41.3,1.02
4.602,62.0,619.7,44,48,8,9,23,8.489,42.5,39.7,1.025
4.638,70.0,669.71,48,53,5,10,29,8.929,45.3,36.0,1.03
4.0,68.0,624.59,46,51,4,11,29,8.923,47.1,34.3,1.036
5.495,64.0,631.71,45,50,9,9,23,8.537,43.2,39.2,1.025
4.921,69.0,653.71,47,52,5,9,29,8.834,45.9,36.5,1.026
7.208,37.0,362.55,27,31,13,2,12,6.361,43.9,52.6,0.981
4.658,62.0,603.65,43,48,7,9,23,8.877,44.1,36.8,1.03
4.721,67.0,689.85,49,53,13,9,23,7.839,40.9,44.3,1.014
5.046,65.0,661.79,47,51,11,9,23,8.071,41.5,42.7,1.018
4.824,67.0,673.8,48,53,12,9,23,8.118,42.2,42.2,1.018
5.745,66.0,659.77,47,52,11,9,23,8.247,42.5,41.3,1.02
4.796,60.0,591.64,42,46,6,9,23,8.83,43.3,37.3,1.031
4.699,61.0,605.67,43,47,7,9,23,8.652,42.9,38.6,1.028
4.538,59.0,577.61,41,45,5,9,23,9.025,43.8,35.9,1.034
4.959,62.0,619.7,44,48,8,9,23,8.489,42.5,39.7,1.025
4.0,58.0,563.58,40,44,4,9,23,9.239,44.3,34.4,1.037
5.222,65.0,646.73,46,51,9,9,23,8.51,42.1,39.5,1.025
4.301,70.0,731.94,52,56,16,9,23,7.546,40.2,46.4,1.009
5.222,62.0,619.7,44,48,8,9,23,8.489,42.5,39.7,1.025
4.62,61.0,605.67,43,47,7,9,23,8.652,42.9,38.6,1.028
4.745,63.0,633.73,45,49,9,9,23,8.339,42.1,40.8,1.022
6.567,30.0,309.37,21,23,5,5,9,8.594,38.9,41.7,1.028
5.097,64.0,647.76,46,50,10,9,23,8.199,41.8,41.8,1.02
4.886,63.0,633.73,45,49,9,9,23,8.339,42.1,40.8,1.022
4.201,29.0,277.32,19,20,0,4,13,9.244,43.3,36.7,1.03
5.149,31.0,307.35,21,22,1,5,13,9.04,41.2,38.2,1.033
4.65,30.0,357.52,24,24,10,5,7,7.01,33.3,52.9,1.006
5.229,25.0,287.37,19,19,5,5,7,7.982,33.3,47.2,1.025
4.5,21.0,231.25,15,15,1,5,7,9.635,33.3,37.5,1.056
5.252,26.0,299.43,20,20,7,4,7,7.303,34.1,51.2,1.008
4.68,23.0,257.34,17,17,4,4,7,8.042,34.4,46.9,1.021
7.699,41.5,404.87,27,29,1,3,14,10.122,40.0,32.5,1.038
5.29,40.5,370.43,26,28,1,3,14,9.261,40.0,35.0,1.03
4.749,45.0,461.96,31,33,6,5,14,9.058,41.2,39.2,1.025
7.098,51.0,564.55,38,41,10,5,14,9.409,40.0,36.7,1.058
5.127,47.0,496.55,34,37,9,5,14,8.711,40.4,40.4,1.036
5.416,45.0,478.01,32,35,8,5,14,8.536,39.3,42.9,1.019
4.951,28.0,311.44,21,23,9,4,6,7.415,35.7,50.0,1.008
8.252,37.0,375.48,26,30,10,5,9,7.989,40.4,44.7,1.014
4.614,29.0,327.44,22,24,9,5,6,7.615,34.9,48.8,1.015
5.699,38.0,466.8,32,35,25,4,2,5.985,34.6,59.0,0.983
6.873,30.0,309.37,21,23,5,5,9,8.594,38.9,41.7,1.028
5.032,26.0,285.35,19,20,5,5,7,8.393,35.3,44.1,1.029
6.301,28.0,313.41,21,22,7,5,7,7.835,35.0,47.5,1.019
7.959,39.0,419.59,29,32,13,5,9,7.234,37.9,50.0,1.003
5.553,35.0,398.53,27,28,10,6,8,7.519,34.0,49.1,1.016
5.11,35.0,437.38,27,28,9,5,8,8.926,34.7,44.9,1.026
4.88,34.0,403.93,26,27,8,5,8,8.415,33.3,45.8,1.025
4.412,34.0,321.47,23,27,10,1,9,7.654,47.6,45.2,0.987
4.412,35.0,338.43,25,29,11,4,10,7.201,44.7,46.8,1.001
6.921,35.0,395.59,26,29,12,4,7,7.757,37.3,49.0,1.003
8.783,34.0,428.38,25,28,11,4,7,9.114,38.3,46.8,1.009
4.495,32.0,310.42,23,27,11,3,9,6.898,44.4,48.9,0.993
8.215,34.0,475.38,25,28,11,4,7,10.114,38.3,46.8,1.006
6.0,34.0,379.57,26,29,14,4,6,6.901,36.4,52.7,0.997
4.523,13.0,122.13,9,9,0,2,7,8.142,46.7,40.0,1.02
5.0,29.0,316.48,23,26,16,3,4,6.205,39.2,54.9,0.987
6.051,36.0,393.55,27,30,13,5,7,7.288,37.0,50.0,1.006
4.149,34.0,402.94,26,27,9,5,8,8.223,34.7,46.9,1.02
7.377,35.0,379.52,26,29,12,5,7,7.442,37.3,49.0,1.008
6.137,30.0,335.47,23,24,7,3,9,7.624,36.4,47.7,1.007
4.456,31.0,349.5,24,25,8,3,9,7.436,36.2,48.9,1.004
4.237,25.0,279.4,19,19,4,2,9,7.761,36.1,47.2,1.006
5.398,29.0,319.47,22,23,7,2,9,7.43,37.2,48.8,1.0
6.721,48.0,570.9,38,41,22,6,6,6.796,33.3,54.8,0.997
5.398,25.0,277.43,19,20,6,1,8,7.301,36.8,50.0,0.994
4.367,27.0,291.41,20,21,5,2,9,7.876,37.8,45.9,1.006
6.284,38.0,424.57,29,32,13,6,7,7.449,35.1,49.1,1.013
5.398,30.0,341.5,22,23,6,3,8,8.329,34.1,46.3,1.012
4.509,29.0,321.44,22,23,6,3,9,7.84,36.6,46.3,1.011
5.337,31.0,357.5,23,24,6,4,8,8.512,33.3,45.2,1.02
5.0,41.5,404.87,27,29,1,3,14,10.122,40.0,32.5,1.038
6.721,41.5,496.32,27,29,1,3,14,12.408,40.0,32.5,1.032
6.271,43.5,434.9,29,31,2,4,14,9.884,38.6,34.1,1.04
4.0,32.0,365.5,25,26,8,4,9,7.615,35.4,47.9,1.011
5.854,38.0,402.61,28,31,15,3,6,6.942,37.9,51.7,0.994
6.886,38.0,404.58,28,31,14,4,6,7.225,37.5,50.0,1.001
4.0,31.0,349.5,24,25,8,3,9,7.436,36.2,48.9,1.004
5.469,27.0,315.43,21,21,7,5,7,7.51,33.3,50.0,1.015
5.301,28.0,329.46,22,22,8,5,7,7.321,33.3,51.1,1.012
4.387,53.0,490.44,36,41,5,10,21,9.082,48.1,33.3,1.041
6.0,40.0,458.66,30,33,14,6,6,7.644,33.3,50.0,1.012
5.377,29.0,321.44,22,23,6,3,9,7.84,36.6,46.3,1.011
5.886,28.0,305.44,21,22,6,2,9,7.636,37.5,47.5,1.003
4.0,37.0,428.98,28,30,11,5,8,8.094,35.8,47.2,1.016
6.601,40.5,370.43,26,28,1,3,14,9.261,40.0,35.0,1.03
5.161,31.0,307.35,21,22,1,5,13,9.04,41.2,38.2,1.033
7.959,39.0,419.59,29,32,13,5,9,7.234,37.9,50.0,1.003
5.472,44.0,507.44,31,34,8,5,14,9.397,40.7,42.6,1.016
5.77,27.0,299.38,20,21,6,5,7,8.091,35.1,45.9,1.024
7.253,35.0,426.69,29,29,15,4,7,6.369,32.8,56.7,0.992
5.097,25.0,277.43,19,20,6,1,8,7.301,36.8,50.0,0.994
6.036,40.5,389.85,26,28,1,3,14,10.259,42.1,31.6,1.038
5.334,40.5,434.3,26,28,1,3,14,11.429,42.1,31.6,1.035
6.322,44.5,583.27,30,32,1,6,14,13.564,34.9,30.2,1.058
5.0,42.5,425.49,28,30,1,6,14,9.895,34.9,34.9,1.048
6.257,40.5,434.3,26,28,1,3,14,11.429,42.1,31.6,1.035
6.602,37.0,362.55,27,31,13,2,12,6.361,43.9,52.6,0.981
4.678,33.0,350.47,24,27,11,5,7,7.619,39.1,47.8,1.009
5.585,40.5,434.3,26,28,1,3,14,11.429,42.1,31.6,1.035
7.87,41.0,418.67,31,35,17,2,12,6.068,42.0,55.1,0.977
8.26,40.5,389.85,26,28,1,3,14,10.259,42.1,31.6,1.038
7.788,34.0,299.33,21,22,0,3,12,9.978,46.7,30.0,1.034
6.854,39.5,355.41,25,27,1,3,14,9.353,42.1,34.2,1.029
5.0,41.5,383.47,27,29,3,3,14,8.715,40.9,38.6,1.02
5.0,42.5,397.5,28,30,4,3,14,8.457,40.4,40.4,1.016
6.796,36.5,364.84,24,26,1,3,14,9.861,40.5,35.1,1.033
7.456,39.5,355.41,25,27,1,3,14,9.353,42.1,34.2,1.029
7.538,40.5,389.85,26,28,1,3,14,10.259,42.1,31.6,1.038
5.0,40.5,389.85,26,28,1,3,14,10.259,42.1,31.6,1.038
5.0,39.5,355.41,25,27,1,3,14,9.353,42.1,34.2,1.029
5.198,40.5,389.85,26,28,1,3,14,10.259,42.1,31.6,1.038
5.26,35.5,330.4,23,25,1,3,14,8.93,40.5,37.8,1.024
5.0,42.5,417.91,28,30,3,3,14,9.498,40.9,36.4,1.027
5.0,40.5,389.85,26,28,1,3,14,10.259,42.1,31.6,1.038
7.487,40.5,389.85,26,28,1,3,14,10.259,42.1,31.6,1.038
7.544,39.5,355.41,25,27,1,3,14,9.353,42.1,34.2,1.029
5.0,39.5,355.41,25,27,1,3,14,9.353,42.1,34.2,1.029
5.284,31.0,307.35,21,22,1,5,13,9.04,41.2,38.2,1.033
5.161,30.0,293.32,20,21,0,5,13,9.462,41.9,35.5,1.04
5.301,30.0,293.32,20,21,0,5,13,9.462,41.9,35.5,1.04
5.244,29.0,277.32,19,20,0,4,13,9.244,43.3,36.7,1.03
5.495,36.0,372.41,24,25,0,7,13,10.345,36.1,33.3,1.057
6.108,36.0,372.41,24,25,0,7,13,10.345,36.1,33.3,1.057
5.337,30.0,293.32,20,21,0,5,13,9.462,41.9,35.5,1.04
5.319,31.0,307.35,21,22,1,5,13,9.04,41.2,38.2,1.033
6.721,36.0,372.41,24,25,0,7,13,10.345,36.1,33.3,1.057
4.979,24.0,273.34,18,18,4,5,7,8.283,33.3,45.5,1.03
4.879,23.0,259.31,17,17,3,5,7,8.644,33.3,43.3,1.037
5.42,26.0,301.4,20,20,6,5,7,7.728,33.3,48.7,1.02
4.5,22.0,245.28,16,16,2,5,7,9.084,33.3,40.7,1.046
5.319,29.0,343.49,23,23,9,5,7,7.156,33.3,52.1,1.009
4.886,28.0,327.49,22,22,9,4,7,6.968,34.0,53.2,1.002
5.301,25.0,285.4,19,19,6,4,7,7.511,34.2,50.0,1.012
5.469,27.0,313.46,21,21,8,4,7,7.124,34.1,52.3,1.005
4.481,30.0,291.35,20,21,1,4,13,8.829,42.4,39.4,1.024
4.4,22.0,243.31,16,16,3,4,7,8.39,34.5,44.8,1.027
