pXC50,Cl.090,nPyrroles,SaaNH,nBnz,nCb.,nCbH,CATS2D_06_DD,P_VSA_LogP_6,Eig01_EA.bo.,SM11_AEA.ri.,SpDiam_EA.bo.,SpMax_EA.bo.,NaaNH,SpMax1_Bh.e.,P_VSA_MR_8,N.,D.Dtr09,SM09_EA.bo.,SpDiam_EA.ed.,JGI2,JGI5,SaaaC,nR09,C.026,SM11_EA.bo.,MATS7i,C.033,GGI5,CATS2D_05_LL,SpMax1_Bh.s.,MAXDP,Eig01_EA.ed.,SM10_AEA.dm.,SpMax_EA.ed.,SM13_EA.bo.,SM12_EA.bo.,SsCl,GATS6v,PDI,SRW07,SRW09,nCrs,H.048,Eig01_AEA.ed.,SpMax_AEA.ed.,Chi1_EA.dm.,Eig01_AEA.dm.,SpDiam_AEA.dm.,SpMax_AEA.dm.,Chi0_EA.dm.,ATSC4s,ATSC4e,NaaaC,CATS2D_04_DL,CATS2D_07_DA,nN,ATS7m,GGI8,SM10_EA.bo.,Eig01_EA,SM09_AEA.bo.,SpDiam_EA,SpMax_EA,N.075,NaaN,SM14_EA.ed.,PCD,SM15_EA.ed.,CATS2D_02_DL
5.0,0,0,0.0,1,3,3,0,11.771,4.523,4.523,7.523,4.523,0,4.118,32.22,17.9,94.739,14.21,17.234,0.067,0.021,2.776,1,1,17.177,0.223,1,0.688,4,5.211,1.682,10.474,10.474,10.474,20.145,18.695,0.0,0.92,1.066,5.352,7.391,0,1,6.574,6.574,4.873,4.573,6.573,4.573,6.656,19.77,0.225,3,0,0,7,3.696,0.172,15.772,3.134,3.134,5.134,3.134,5,5,33.151,5.042,35.464,0
5.5,0,0,0.0,2,5,7,1,2.144,4.595,4.595,7.595,4.595,0,4.134,0.0,7.1,143.629,14.101,18.499,0.086,0.032,1.153,1,2,17.056,-0.03,0,1.553,9,7.815,5.709,11.371,11.371,11.371,20.033,18.569,0.0,1.13,0.913,4.844,7.034,0,0,7.058,7.058,29.433,4.017,6.017,4.017,24.987,156.867,1.347,2,4,0,4,4.008,0.527,15.636,3.296,3.296,5.296,3.296,1,1,34.612,3.297,37.025,2
5.0,0,2,0.0,4,11,13,0,32.119,5.289,5.289,8.289,5.289,0,4.368,0.0,5.4,439.111,15.397,24.424,0.07,0.027,6.983,6,0,18.63,-0.086,0,3.362,21,7.431,6.891,15.536,15.536,15.536,21.888,20.267,0.0,1.067,1.044,6.043,8.367,4,2,8.024,8.024,42.947,4.043,6.043,4.043,30.107,96.563,0.778,8,4,2,4,4.881,0.966,17.042,3.793,3.793,5.793,3.793,0,0,38.599,6.054,41.316,3
7.7,0,0,0.0,2,6,6,0,4.227,4.164,4.164,7.164,4.164,0,4.026,0.0,11.5,0.0,13.733,17.186,0.076,0.03,0.0,0,6,16.549,-0.132,0,1.41,0,7.815,4.681,10.266,10.266,10.266,19.365,18.009,0.0,1.108,0.947,0.0,0.0,0,0,6.524,6.524,58.25,3.805,5.805,3.805,34.859,74.64,1.037,0,3,1,6,4.111,0.385,15.241,3.083,3.083,5.083,3.083,2,2,33.384,3.487,35.686,5
6.456,0,1,3.313,1,3,3,0,7.229,4.748,4.748,7.748,4.748,1,4.187,0.0,15.4,156.45,14.44,19.606,0.074,0.022,3.268,2,1,17.507,0.08,0,0.674,2,6.471,3.629,12.1,12.1,12.1,20.577,19.061,0.0,1.199,1.016,5.476,7.662,0,0,7.042,7.042,8.663,3.382,5.382,3.382,11.643,37.848,0.4,4,1,1,6,3.399,0.24,16.023,3.347,3.347,5.347,3.347,3,3,34.96,4.053,37.439,6
5.5,0,0,0.0,2,5,7,0,7.962,4.724,4.724,7.724,4.724,0,4.141,31.278,10.4,166.043,14.214,19.834,0.056,0.023,1.862,2,2,17.247,0.101,0,0.91,3,7.431,5.384,12.368,12.368,12.368,20.299,18.799,0.0,0.995,1.067,4.844,7.081,2,0,7.107,7.107,29.077,3.565,5.565,3.565,23.019,28.39,0.166,2,10,0,5,3.578,0.246,15.797,3.368,3.368,5.368,3.368,2,2,35.235,4.253,37.742,5
5.0,0,0,0.0,2,6,6,0,6.604,4.523,4.523,7.523,4.523,0,4.087,0.0,7.2,0.0,13.8,18.176,0.066,0.022,1.721,0,4,16.747,0.046,0,1.25,6,7.429,5.911,10.984,10.984,10.984,19.716,18.27,0.0,1.075,0.964,0.0,0.0,3,0,6.725,6.725,55.107,3.691,5.691,3.691,40.814,64.144,0.658,2,0,1,6,4.214,0.448,15.361,3.185,3.185,5.185,3.185,2,2,33.664,3.332,36.034,2
5.5,0,0,0.0,2,4,8,0,2.757,4.093,4.093,7.093,4.093,0,4.05,0.0,8.6,0.0,13.575,18.808,0.087,0.024,0.0,0,1,16.311,0.001,0,1.476,3,8.516,5.778,11.204,11.204,11.204,19.051,17.745,0.0,1.162,0.97,4.595,6.555,0,0,6.821,6.821,26.644,4.437,6.437,4.437,26.612,143.946,1.003,0,0,0,5,4.365,0.828,15.064,3.233,3.233,5.233,3.233,1,1,34.429,2.779,36.807,0
6.0,0,0,0.0,2,4,8,0,4.227,4.71,4.71,7.71,4.71,0,4.095,0.0,8.2,0.0,14.232,20.441,0.062,0.022,0.0,0,4,17.241,-0.006,0,1.08,9,7.717,5.733,12.764,12.764,12.764,20.277,18.78,0.0,1.074,0.964,4.443,6.26,2,0,7.355,7.355,60.338,4.691,6.691,4.691,38.907,88.167,0.609,0,3,1,6,4.197,0.432,15.788,3.462,3.462,5.462,3.462,2,2,35.684,3.545,38.221,8
5.0,0,0,3.076,2,5,7,0,2.757,4.514,4.514,7.514,4.514,1,4.114,32.22,8.7,111.673,13.87,17.118,0.069,0.022,1.916,1,2,16.821,-0.08,0,0.761,10,7.429,5.075,10.339,10.339,10.339,19.78,18.345,0.0,1.067,1.026,4.727,6.823,0,0,6.542,6.542,5.913,4.574,6.574,4.574,7.851,35.504,0.237,2,4,0,4,3.746,0.271,15.445,3.099,3.099,5.099,3.099,2,2,33.179,4.876,35.493,3
5.77,0,0,0.0,2,5,7,0,4.276,4.049,4.049,7.049,4.049,0,3.988,0.0,8.3,0.0,13.275,19.593,0.074,0.024,0.0,0,5,15.999,0.153,0,0.979,4,8.513,5.121,12.181,12.181,12.181,18.729,17.455,5.568,1.054,0.976,0.0,0.0,0,0,7.24,7.24,35.352,4.475,6.475,4.475,27.261,158.001,1.323,0,4,1,4,3.977,0.411,14.794,3.377,3.377,5.377,3.377,1,1,35.013,3.315,37.507,4
5.5,0,0,0.0,2,3,9,0,2.328,4.554,4.554,7.554,4.554,0,4.114,0.0,12.2,94.217,13.806,18.07,0.066,0.019,0.731,1,0,16.789,0.125,0,0.525,6,5.218,1.625,10.943,10.943,10.943,19.784,18.33,0.0,1.077,1.035,4.727,6.843,0,0,6.718,6.718,17.319,3.177,5.177,3.177,12.138,26.555,0.193,1,2,0,5,3.322,0.189,15.397,3.169,3.169,5.169,3.169,3,3,33.514,4.014,35.898,2
5.6,0,0,0.0,1,2,4,0,3.257,4.151,4.151,7.151,4.151,0,3.978,31.278,11.4,0.0,13.229,16.988,0.074,0.024,0.0,0,2,16.024,0.086,0,0.57,1,5.234,2.209,10.196,10.196,10.196,18.817,17.49,6.067,0.885,0.997,4.727,6.804,0,0,6.506,6.506,14.329,3.273,5.273,3.273,13.497,18.997,0.228,0,1,0,4,3.359,0.147,14.757,3.078,3.078,5.078,3.078,3,3,32.602,3.018,34.902,0
5.5,0,0,0.0,1,1,5,0,7.413,4.386,4.386,7.386,4.386,0,4.056,0.0,22.0,0.0,13.627,19.471,0.069,0.021,0.0,0,0,16.51,-0.02,0,0.9,0,7.43,5.653,11.974,11.974,11.974,19.405,18.005,0.0,1.023,1.002,5.352,7.413,0,0,7.009,7.009,8.953,3.615,5.615,3.615,12.198,36.881,0.618,0,3,3,9,3.856,0.206,15.173,3.297,3.297,5.297,3.297,5,5,34.79,3.566,37.263,0
5.25,0,0,0.0,1,3,3,0,6.014,4.012,4.012,7.012,4.012,0,3.993,31.278,11.9,0.0,13.348,16.37,0.071,0.026,0.0,0,2,16.092,-0.048,0,1.181,1,7.429,5.693,9.81,9.81,9.81,18.834,17.529,6.22,0.852,0.966,4.595,6.581,0,0,6.427,6.427,53.106,3.598,5.598,3.598,32.957,51.32,0.546,0,2,2,7,4.105,0.28,14.841,3.025,3.025,5.025,3.025,3,3,32.531,3.184,34.773,3
5.5,0,0,2.827,2,5,7,0,17.104,4.366,4.366,7.366,4.366,1,4.099,0.0,10.3,74.713,13.492,15.639,0.069,0.019,1.792,1,2,16.398,-0.093,0,0.351,6,8.201,5.041,9.289,9.289,9.289,19.307,17.9,0.0,0.979,1.04,4.595,6.581,0,0,6.202,6.202,11.354,3.577,5.577,3.577,9.147,39.805,0.335,2,1,1,3,3.046,0.103,15.046,2.963,2.963,4.963,2.963,1,1,31.588,3.019,33.787,5
5.6,0,1,0.0,1,2,4,0,13.915,4.611,4.611,7.611,4.611,0,4.153,0.0,8.8,141.07,14.03,18.184,0.076,0.028,2.272,2,1,17.042,-0.241,1,0.674,5,7.429,5.152,11.122,11.122,11.122,20.056,18.576,0.0,0.785,1.069,5.533,7.711,0,1,6.773,6.773,13.192,3.655,5.655,3.655,10.682,26.022,0.18,2,1,0,3,3.316,0.089,15.6,3.235,3.235,5.235,3.235,1,1,34.203,3.909,36.594,2
5.0,0,0,0.0,2,8,4,0,17.104,4.67,4.67,7.67,4.67,0,4.134,45.954,9.5,114.279,14.125,19.207,0.092,0.031,0.549,1,5,17.135,-0.075,0,1.285,4,8.201,7.137,11.539,11.539,11.539,20.163,18.671,6.201,0.967,0.962,4.727,6.823,0,0,6.907,6.907,21.153,4.038,6.038,4.038,18.997,63.717,0.832,2,0,0,4,4.239,0.417,15.684,3.294,3.294,5.294,3.294,1,1,34.328,3.269,36.751,3
5.5,0,0,3.078,1,3,3,0,17.717,4.366,4.366,7.366,4.366,1,4.083,0.0,10.4,0.0,13.564,19.548,0.084,0.027,0.0,0,2,16.444,-0.136,0,1.254,6,8.201,6.624,12.022,12.022,12.022,19.338,17.935,5.901,0.979,0.972,4.727,6.862,2,0,7.017,7.017,16.542,3.728,5.728,3.728,16.683,97.697,0.765,0,2,1,5,4.083,0.439,15.098,3.304,3.304,5.304,3.304,3,3,34.862,2.765,37.335,2
6.721,0,2,0.0,3,10,8,0,20.348,5.285,5.285,8.285,5.285,0,4.366,0.0,6.6,304.128,15.361,24.331,0.069,0.027,8.778,6,0,18.606,-0.123,0,2.588,19,7.429,6.322,15.502,15.502,15.502,21.871,20.245,0.0,1.062,1.089,6.009,8.32,4,1,8.018,8.018,43.083,4.031,6.031,4.031,28.268,43.837,0.443,8,3,1,4,4.425,0.411,17.009,3.785,3.785,5.785,3.785,0,0,38.547,5.329,41.264,3
5.5,0,0,0.0,1,3,3,0,61.307,4.272,4.272,7.272,4.272,0,4.098,0.0,8.9,0.0,13.646,19.693,0.11,0.036,0.0,0,4,16.45,0.025,0,1.879,7,8.212,6.835,11.988,11.988,11.988,19.268,17.899,0.0,0.958,1.006,6.33,8.304,1,1,7.027,7.027,44.125,3.797,5.797,3.797,29.209,225.799,1.439,0,1,0,4,4.23,0.522,15.128,3.395,3.395,5.395,3.395,1,1,35.409,2.605,37.87,3
5.8,0,0,2.775,2,4,8,0,5.449,4.511,4.511,7.511,4.511,1,4.122,0.0,11.1,85.729,13.815,16.761,0.063,0.022,1.726,1,0,16.771,0.248,0,0.521,5,5.267,1.967,10.235,10.235,10.235,19.735,18.29,0.0,0.973,1.063,5.352,7.391,0,0,6.522,6.522,12.794,3.138,5.138,3.138,10.438,25.769,0.218,2,4,2,4,3.147,0.056,15.378,3.107,3.107,5.107,3.107,2,2,32.741,3.955,35.04,2
5.7,0,0,2.937,1,3,3,0,25.686,4.475,4.475,7.475,4.475,1,4.153,0.0,18.5,117.108,14.025,16.669,0.067,0.018,2.818,2,0,17.005,0.044,2,0.292,1,5.16,1.495,9.982,9.982,9.982,19.978,18.524,0.0,0.962,1.111,5.352,7.413,0,2,6.402,6.402,0.0,3.091,5.091,3.091,0.0,16.383,0.168,3,1,1,5,2.772,0.054,15.59,3.091,3.091,5.091,3.091,3,3,32.521,4.042,34.79,2
5.5,0,0,2.956,2,4,8,0,13.915,4.392,4.392,7.392,4.392,1,4.113,31.278,12.1,81.465,13.615,16.128,0.054,0.016,2.134,1,1,16.521,-0.13,1,0.348,4,5.104,1.644,9.639,9.639,9.639,19.429,18.023,0.0,1.053,1.08,5.283,7.273,0,1,6.306,6.306,17.5,3.043,5.043,3.043,9.487,17.113,0.121,2,3,0,4,3.18,0.056,15.173,3.027,3.027,5.027,3.027,2,2,31.976,3.946,34.209,5
5.5,0,0,2.962,2,4,8,0,13.915,4.392,4.392,7.392,4.392,1,4.112,31.278,11.1,88.391,13.611,16.12,0.059,0.017,2.144,1,0,16.515,-0.178,1,0.382,4,5.104,1.664,9.635,9.635,9.635,19.423,18.017,0.0,0.876,1.067,5.283,7.273,0,1,6.305,6.305,15.848,3.038,5.038,3.038,9.712,20.638,0.154,2,4,0,4,3.348,0.076,15.168,3.025,3.025,5.025,3.025,2,2,31.952,3.907,34.187,4
6.6,0,0,3.002,1,3,3,0,13.915,4.621,4.621,7.621,4.621,1,4.167,0.0,13.3,171.152,14.231,18.873,0.06,0.021,2.849,2,0,17.255,0.03,1,0.743,3,5.156,1.798,11.5,11.5,11.5,20.277,18.791,0.0,1.034,1.064,5.416,7.535,6,1,6.866,6.866,17.5,3.31,5.31,3.31,9.487,29.007,0.282,3,5,2,6,3.775,0.186,15.804,3.265,3.265,5.265,3.265,3,3,34.256,4.143,36.682,4
6.4,0,0,2.968,1,3,3,0,13.915,4.621,4.621,7.621,4.621,1,4.164,0.0,15.8,150.002,14.229,18.865,0.068,0.027,2.773,2,0,17.254,0.014,1,0.848,3,5.156,1.686,11.492,11.492,11.492,20.276,18.79,0.0,1.2,1.042,5.416,7.535,0,1,6.864,6.864,17.5,3.306,5.306,3.306,9.487,24.269,0.22,3,4,2,6,3.397,0.162,15.802,3.263,3.263,5.263,3.263,3,3,34.246,4.101,36.671,4
7.0,0,0,2.978,1,3,3,0,13.915,4.62,4.62,7.62,4.62,1,4.164,0.0,14.6,160.604,14.227,18.838,0.068,0.018,2.803,2,0,17.252,0.044,1,0.545,2,5.155,1.712,11.465,11.465,11.465,20.275,18.789,0.0,1.045,1.044,5.416,7.535,0,1,6.859,6.859,12.5,3.295,5.295,3.295,7.906,24.934,0.234,3,5,2,6,3.559,0.151,15.801,3.257,3.257,5.257,3.257,3,3,34.214,4.109,36.637,3
5.5,0,0,2.995,2,5,7,0,19.861,4.444,4.444,7.444,4.444,1,4.144,0.0,9.8,109.726,13.942,18.858,0.068,0.019,2.046,1,1,16.877,-0.099,0,0.781,8,8.201,5.445,11.635,11.635,11.635,19.812,18.379,0.0,1.014,1.04,5.352,7.413,0,0,6.911,6.911,13.238,3.274,5.274,3.274,13.2,35.278,0.295,2,1,1,5,4.032,0.258,15.489,3.248,3.248,5.248,3.248,2,2,34.402,3.733,36.843,2
7.036,0,1,3.144,1,3,3,0,20.474,4.332,4.332,7.332,4.332,1,4.086,0.0,6.8,145.076,13.711,18.421,0.076,0.023,0.0,1,2,16.593,-0.01,0,1.022,5,8.201,5.816,11.258,11.258,11.258,19.481,18.064,0.0,0.906,0.959,5.533,7.703,0,0,6.845,6.845,32.432,3.668,5.668,3.668,27.43,78.284,0.645,0,3,1,4,4.002,0.43,15.212,3.256,3.256,5.256,3.256,0,0,34.397,2.828,36.8,8
5.5,0,0,3.425,2,4,8,0,17.717,4.3,4.3,7.3,4.3,1,4.088,32.22,7.1,0.0,13.49,18.235,0.072,0.031,0.0,0,2,16.333,-0.135,0,1.14,14,8.201,5.329,11.08,11.08,11.08,19.186,17.83,0.0,0.914,1.039,4.727,6.862,0,0,6.747,6.747,2.018,4.327,6.327,4.327,3.956,28.229,0.17,0,4,0,3,3.832,0.326,15.052,3.203,3.203,5.203,3.203,2,2,33.725,3.348,36.114,2
5.5,0,1,0.0,1,3,3,0,32.719,4.749,4.749,7.749,4.749,0,4.211,0.0,9.8,237.546,14.643,20.512,0.069,0.022,2.553,2,0,17.695,-0.032,2,1.56,6,7.45,6.216,12.69,12.69,12.69,20.755,19.242,0.0,0.989,1.066,5.938,8.138,0,2,7.195,7.195,28.026,3.839,5.839,3.839,24.126,97.655,0.77,3,1,0,6,4.349,0.432,16.214,3.432,3.432,5.432,3.432,1,1,35.857,4.497,38.366,2
6.0,0,1,3.103,0,0,0,0,23.542,4.516,4.516,7.516,4.516,1,4.127,0.0,14.6,89.897,13.744,18.123,0.074,0.02,1.817,1,0,16.718,0.088,2,0.647,2,6.818,3.18,10.904,10.904,10.904,19.698,18.234,0.0,0.954,1.004,5.638,7.609,4,2,6.708,6.708,4.471,4.046,6.046,4.046,6.822,35.496,0.319,2,1,0,6,3.14,0.136,15.294,3.169,3.169,5.169,3.169,3,3,33.782,3.068,36.144,2
5.0,0,0,0.0,2,7,5,0,0.0,4.576,4.576,7.576,4.576,0,4.107,0.0,8.7,0.0,14.032,18.277,0.069,0.024,1.217,0,6,16.981,0.017,0,1.528,9,7.43,5.613,11.049,11.049,11.049,19.951,18.508,6.517,0.889,0.969,0.0,0.0,0,0,6.741,6.741,48.297,4.073,6.073,4.073,36.005,68.673,0.594,2,2,2,6,4.498,0.639,15.601,3.204,3.204,5.204,3.204,2,2,33.749,4.651,36.124,6
5.45,0,0,0.0,1,4,2,0,29.059,4.165,4.165,7.165,4.165,0,4.05,0.0,9.6,0.0,13.581,18.081,0.09,0.026,0.0,0,4,16.392,-0.124,1,1.039,5,8.201,5.882,10.939,10.939,10.939,19.203,17.846,12.314,0.946,0.991,4.595,6.605,3,1,6.78,6.78,28.517,3.623,5.623,3.623,23.489,68.091,0.761,0,1,2,5,4.129,0.396,15.081,3.167,3.167,5.167,3.167,2,2,33.727,3.154,36.084,2
5.5,0,0,0.0,3,8,10,0,4.276,4.243,4.243,7.243,4.243,0,4.072,0.0,6.1,122.249,13.503,18.555,0.076,0.027,0.0,1,2,16.318,-0.018,0,0.959,8,7.432,5.322,11.18,11.18,11.18,19.139,17.793,0.0,0.911,1.023,4.727,6.823,0,0,6.795,6.795,31.302,3.65,5.65,3.65,22.487,40.179,0.189,0,10,0,3,3.571,0.286,15.033,3.207,3.207,5.207,3.207,0,0,33.869,3.388,36.263,6
7.2,0,0,0.0,3,8,10,0,4.276,4.224,4.224,7.224,4.224,0,4.066,0.0,6.1,124.748,13.489,18.516,0.081,0.027,0.0,1,2,16.296,-0.008,0,0.903,6,7.432,5.254,11.163,11.163,11.163,19.11,17.769,0.0,0.909,1.023,4.727,6.823,0,0,6.792,6.792,32.701,3.65,5.65,3.65,22.751,40.04,0.153,0,10,0,3,3.469,0.29,15.017,3.198,3.198,5.198,3.198,0,0,33.827,3.44,36.223,6
