pXC50,nROR,C.009,P_VSA_LogP_3,TPC,Wap,MPC09,MPC10,piID,ATS3s,H.048,SsssCH,IDDE,Eig03_AEA.ed.,Eig03_EA,Eig03_EA.ed.,SM11_AEA.bo.,SM12_AEA.dm.,CIC2,P_VSA_MR_4,CATS2D_09_DL,Eig04_EA.ed.,Eig05_EA.ed.,SM13_AEA.dm.,SM14_AEA.dm.,ATS4s,P_VSA_LogP_6,CATS2D_08_DD,GATS6s,ATSC3e,CATS2D_05_DA,GGI2,SpMaxA_AEA.dm.,SpMaxA_EA.dm.,Eig04_AEA.ed.,MATS6i,MATS6p,MATS6s,ATS2v,ATS3p,ATS3v,ATSC2p,SpMax5_Bh.v.,nROH,NsOH,O.056,P_VSA_MR_3,SsOH,MPC08,ATS7m,ATS7v,CATS2D_08_AA,PHI,RBN,S2K,MATS7s,Hy,CIC0,Eta_C_A,SpMin5_Bh.p.,Uindex,TIE,BIC1,GATS6p,Eta_F_A,Eta_alpha_A,MATS1e,ATSC2s,Eig03_AEA.ri.,piPC10,SM08_AEA.ed.,SM09_AEA.ed.,SM09_EA.ri.,SM10_EA,SM10_EA.ri.,SM11_EA.ri.,SM12_EA.ri.,SpMax1_Bh.e.,C.008,SpMin6_Bh.p.,H.047,ATS1s,ATS3m,Chi0_EA.bo.,Chi1_EA.bo.,Psi_e_0,SpMaxA_EA.bo.,X1Mad,H.050,nHDon,SAdon,SpMin6_Bh.e.,SpMin6_Bh.v.,ATS8m,ATS8v,ATSC2e,ATSC8s,CATS2D_08_NN,CATS2D_09_DN,Eig14_EA.bo.,Eig15_EA.bo.,Eta_beta,Eta_betaS,Eta_FL,GGI7,HDcpx,IDM,nBM,O.059,SM04_EA.bo.,SM05_EA.bo.,SM06_EA.bo.,SpMaxA_AEA.ed.,SpMaxA_AEA.ri.,SpMaxA_EA,SpMaxA_EA.ri.,Uc,X0sol,X1sol,X0Av,P_VSA_i_1,P_VSA_m_4,MATS6e,CIC5,IDMT,Xu,NsssCH,P_VSA_e_5,P_VSA_m_3,P_VSA_s_6,SpMin8_Bh.m.,GATS6e,ATS8e,Chi0_EA.ed.,Chi1_EA.ed.,Eig12_AEA.dm.,ON1,SpMax6_Bh.i.,DBI,ATS8s,nCs,GATS3e,GATS3s,MATS5e,MATS6m,X3Av,SpMin6_Bh.i.,MATS4m,GATS4p,ATS7p,BIC0,ATS2p,ATS4e,ATS4i,ATSC2i,ATSC3i,ATSC4m,Eig02_AEA.dm.,nC,SpMax4_Bh.i.,SpMax4_Bh.v.,SpMax5_Bh.i.,SpMin4_Bh.e.,SpMin4_Bh.i.,SpMin4_Bh.p.,SpMin4_Bh.s.,SpMin4_Bh.v.,SpMin5_Bh.e.,SpMin5_Bh.s.,SpMin5_Bh.v.,ATSC8i,ATS4p,ATSC4i,CIC3,S3K,SpMaxA_EA.ed.,MATS7e,AMR,ATS1e,ATS1v
6.2,6,3,422.469,11.678,2814430.0,6.907,7.107,11.949,7.307,3,-48.476,6.116,6.953,3.375,11.827,3.375,11.827,3.06,1.079,6,11.703,11.533,11.703,11.533,7.54,35.313,5,0.713,7.328,19,14.0,0.047,0.031,6.918,0.018,0.038,0.035,5.167,5.454,5.383,33.154,3.74,10,10,10,542.414,99.382,6.736,6.38,5.806,63,27.743,34,32.27,0.135,5.263,5.725,2.05,1.969,221.621,667.707,0.405,0.923,1.728,0.457,0.033,1077.14,4.332,7.369,18.278,20.212,13.223,14.569,14.432,15.624,16.84,4.175,13,1.911,19,6.356,5.562,56.959,46.598,34.846,0.042,35.052,10,10,390.961,1.752,1.94,6.421,5.858,7.413,2676.82,5,10,3.172,3.095,99.0,69.0,15.996,5.797,2.011,12.093,20,16,8.586,9.848,11.37,0.074,0.044,0.035,0.035,4.392,78.699,54.961,0.607,30.429,30.429,0.175,1.052,690040.0,70.777,23,985.544,985.544,985.544,1.771,0.731,6.923,33.412,16.103,3.676,20.083,3.825,10.075,8.603,25,0.694,0.463,0.275,0.212,0.123,1.719,0.054,1.059,5.814,0.229,5.14,6.545,6.717,3.737,5.219,192.683,5.048,45,3.928,3.773,3.895,1.802,1.81,1.996,1.338,2.004,1.77,1.31,1.964,8.027,5.641,6.413,2.126,25.062,0.141,0.211,319.613,5.342,4.749
6.319,7,3,431.516,12.358,7415540.0,6.872,7.046,13.599,7.38,4,-45.635,6.312,6.952,3.375,11.826,3.375,11.826,2.871,1.079,2,11.698,11.531,11.698,11.531,7.602,47.084,5,0.738,7.466,19,14.667,0.043,0.028,6.917,0.007,0.035,0.032,5.253,5.525,5.454,35.249,3.741,10,10,10,553.414,98.753,6.729,6.388,5.824,67,30.977,40,36.441,0.14,5.136,5.802,1.981,1.971,236.471,661.01,0.422,0.941,1.715,0.457,0.04,1101.19,4.332,7.432,18.294,20.224,13.232,14.58,14.44,15.629,16.844,4.182,13,1.924,25,6.458,5.623,63.364,51.115,38.534,0.038,39.629,10,10,390.961,1.756,1.95,6.414,5.855,7.744,2602.34,5,10,3.244,3.169,109.75,75.75,18.202,5.751,2.022,12.312,25,17,8.649,9.877,11.411,0.067,0.04,0.032,0.032,4.7,85.511,59.911,0.603,30.429,30.429,0.177,0.991,1055850.0,77.696,23,996.544,996.544,1029.75,1.859,0.745,6.933,37.741,18.186,3.673,22.333,3.895,10.368,8.613,26,0.711,0.473,0.279,0.212,0.121,1.724,0.048,1.06,5.836,0.233,5.228,6.614,6.794,4.163,5.667,207.023,5.048,51,3.946,3.778,3.933,1.801,1.815,2.0,1.339,2.007,1.776,1.312,1.964,8.102,5.701,6.844,1.963,27.981,0.128,0.218,358.21,5.439,4.842
6.31,6,3,422.469,11.678,2814430.0,6.906,7.112,11.949,7.307,3,-48.687,6.108,6.953,3.376,11.83,3.376,11.83,3.066,1.079,6,11.696,11.511,11.696,11.511,7.539,35.313,6,0.693,7.328,20,14.0,0.047,0.031,6.916,0.028,0.057,0.039,5.167,5.454,5.383,33.154,3.735,10,10,10,542.414,99.495,6.745,6.4,5.821,66,27.743,34,32.27,0.068,5.263,5.725,2.042,1.967,221.932,666.846,0.405,0.901,1.73,0.457,0.033,1077.14,4.332,7.408,18.278,20.212,13.223,14.569,14.432,15.624,16.84,4.175,13,1.91,19,6.356,5.562,56.959,46.598,34.908,0.042,35.052,10,10,390.961,1.747,1.938,6.455,5.876,7.413,2899.07,7,14,3.173,3.094,99.0,69.0,15.996,6.139,2.009,12.084,20,16,8.586,9.848,11.37,0.074,0.044,0.035,0.035,4.392,78.699,54.961,0.607,30.429,30.429,0.161,1.138,698947.0,70.946,23,985.544,985.544,985.544,1.771,0.735,6.946,33.412,16.103,3.67,20.083,3.825,10.075,8.687,25,0.694,0.463,0.286,0.206,0.123,1.718,0.055,1.063,5.834,0.229,5.14,6.545,6.717,3.737,5.219,193.238,5.041,45,3.927,3.772,3.891,1.801,1.809,1.997,1.34,2.004,1.771,1.31,1.963,8.13,5.64,6.407,2.177,25.062,0.141,0.174,319.613,5.342,4.749
6.324,7,3,431.516,12.358,7415540.0,6.875,7.06,13.599,7.38,4,-45.958,6.33,6.953,3.376,11.829,3.376,11.829,2.877,1.079,2,11.691,11.507,11.691,11.507,7.601,47.084,6,0.717,7.466,20,14.667,0.043,0.028,6.915,0.016,0.051,0.036,5.253,5.525,5.454,35.249,3.738,10,10,10,553.414,98.882,6.742,6.405,5.838,70,30.977,40,36.441,0.067,5.136,5.802,1.976,1.97,236.819,661.189,0.422,0.924,1.716,0.457,0.04,1101.19,4.332,7.475,18.294,20.224,13.232,14.58,14.44,15.629,16.844,4.182,13,1.924,25,6.458,5.623,63.364,51.115,38.596,0.038,39.629,10,10,390.961,1.753,1.95,6.453,5.877,7.744,2788.5,7,14,3.245,3.17,109.75,75.75,18.202,6.093,2.021,12.302,25,17,8.649,9.877,11.411,0.067,0.04,0.032,0.032,4.7,85.511,59.911,0.603,30.429,30.429,0.162,1.029,1070270.0,77.873,23,996.544,996.544,1029.75,1.856,0.749,6.955,37.741,18.186,3.668,22.333,3.892,10.368,8.689,26,0.711,0.473,0.29,0.202,0.121,1.724,0.05,1.064,5.853,0.233,5.228,6.615,6.794,4.163,5.667,207.577,5.041,51,3.946,3.776,3.932,1.8,1.814,2.0,1.341,2.007,1.776,1.312,1.963,8.247,5.7,6.839,1.995,27.981,0.128,0.18,358.21,5.439,4.842
6.409,8,4,549.245,12.434,7032460.0,7.131,7.325,12.712,7.515,4,-69.739,6.355,6.954,3.377,11.833,3.377,11.833,3.313,1.438,6,11.761,11.643,11.761,11.643,7.746,47.084,2,0.709,9.779,26,16.667,0.039,0.025,6.934,-0.004,0.005,0.025,5.337,5.602,5.547,38.611,3.757,13,13,13,707.339,130.766,6.93,6.609,6.036,75,34.673,43,39.993,0.154,7.246,5.945,2.124,1.991,283.369,911.801,0.399,0.984,1.999,0.454,0.01,1354.2,4.333,7.617,18.447,20.37,13.389,14.741,14.588,15.769,16.975,4.197,17,1.956,25,6.566,5.772,69.274,56.6,43.401,0.034,42.088,13,13,508.249,1.764,1.954,6.707,6.084,9.421,3195.05,7,14,3.72,3.528,124.75,85.75,20.874,7.014,2.046,12.66,26,21,8.825,10.095,11.619,0.061,0.036,0.028,0.028,4.755,97.079,67.993,0.6,39.558,39.558,0.152,1.459,1302270.0,82.806,28,1283.41,1283.41,1283.41,1.852,0.749,7.146,40.765,19.696,5.026,24.569,3.883,11.269,8.696,29,0.736,0.485,0.271,0.181,0.12,1.763,0.049,1.064,6.033,0.225,5.289,6.705,6.862,4.329,6.02,221.756,5.048,51,3.941,3.785,3.914,1.816,1.82,2.005,1.344,2.018,1.785,1.324,1.987,9.905,5.793,7.407,2.481,32.202,0.115,0.162,382.808,5.524,4.928
6.409,8,4,557.933,13.09,15803800.0,7.158,7.333,14.339,7.55,5,-68.113,6.368,6.974,3.38,11.903,3.38,11.903,3.105,1.079,0,11.815,11.694,11.815,11.694,7.78,58.856,2,0.727,9.772,26,17.333,0.037,0.024,6.949,-0.011,0.004,0.02,5.381,5.636,5.583,39.29,3.77,13,13,13,707.339,130.707,6.967,6.623,6.04,81,35.657,45,41.721,0.156,7.168,5.929,2.078,1.999,280.865,875.8,0.419,0.991,2.022,0.454,0.015,1362.87,4.334,7.829,18.469,20.39,13.396,14.759,14.593,15.773,16.977,4.205,17,1.959,27,6.619,5.807,72.928,59.163,45.64,0.032,44.824,13,13,508.249,1.775,1.953,6.707,6.07,9.521,3011.78,7,14,3.801,3.719,133.0,90.0,22.586,7.225,2.053,12.776,31,21,8.872,10.12,11.652,0.058,0.034,0.027,0.027,5.0,101.062,70.959,0.596,39.558,39.558,0.156,1.162,1576430.0,86.442,28,1283.41,1283.41,1316.61,1.855,0.75,7.123,43.228,20.877,5.026,25.847,3.894,11.358,8.696,29,0.74,0.489,0.273,0.184,0.117,1.765,0.049,1.06,6.029,0.232,5.332,6.737,6.898,4.59,6.294,227.095,5.048,54,3.951,3.799,3.934,1.822,1.824,2.006,1.347,2.026,1.786,1.33,1.992,9.778,5.825,7.716,2.276,32.792,0.109,0.172,405.496,5.567,4.972
6.215,6,3,467.21,12.341,6500960.0,6.941,7.107,13.57,7.361,4,-45.896,6.147,6.974,3.379,11.904,3.379,11.904,2.664,0.719,0,11.787,11.596,11.787,11.596,7.581,47.084,4,0.713,7.388,22,14.667,0.048,0.052,6.942,-0.005,0.013,0.032,5.224,5.499,5.43,34.193,3.747,11,11,11,581.51,109.04,6.763,6.365,5.818,56,28.868,36,34.093,0.181,6.679,5.733,1.984,1.973,222.384,637.252,0.448,0.982,1.726,0.457,0.031,1090.91,4.333,7.628,18.305,20.236,13.231,14.59,14.438,15.628,16.843,4.184,13,1.921,21,6.426,5.607,60.782,49.428,36.965,0.039,37.787,12,11,430.057,1.757,1.949,6.417,5.828,7.614,2256.99,5,10,3.231,3.15,105.75,73.25,17.476,5.603,2.015,12.209,24,16,8.609,9.829,11.357,0.07,0.041,0.033,0.033,4.644,82.682,57.927,0.604,27.386,27.386,0.176,0.796,917568.0,75.26,23,1002.48,1002.48,1035.69,1.772,0.728,6.904,35.875,17.285,3.664,21.361,3.844,10.173,8.451,25,0.713,0.481,0.285,0.203,0.12,1.723,0.054,1.064,5.826,0.236,5.197,6.589,6.767,4.027,5.515,200.758,5.048,48,3.95,3.792,3.911,1.81,1.82,2.0,1.345,2.017,1.775,1.32,1.966,7.888,5.682,6.728,1.809,25.78,0.132,0.204,346.189,5.403,4.805
7.301,7,4,591.025,12.445,7727020.0,7.148,7.326,12.835,7.572,4,-75.681,6.397,6.954,3.377,11.833,3.377,11.833,2.998,1.079,6,11.76,11.643,11.76,11.643,7.816,47.084,2,0.78,10.883,29,17.333,0.037,0.024,6.934,-0.008,0.001,-0.023,5.357,5.605,5.57,38.144,3.762,14,14,14,743.98,139.903,6.965,6.652,6.071,78,36.33,45,41.88,0.118,8.708,5.904,2.075,1.982,311.152,1076.88,0.431,0.967,2.139,0.451,-0.019,1414.22,4.333,7.647,18.529,20.461,13.458,14.825,14.661,15.849,17.062,4.203,18,1.956,26,6.635,5.827,72.317,58.848,47.099,0.032,43.869,15,15,565.356,1.747,1.952,6.723,6.092,9.891,3608.4,7,15,4.422,3.79,136.5,91.5,23.85,7.226,2.055,12.812,30,21,8.903,10.173,11.696,0.059,0.035,0.027,0.027,4.954,102.983,71.919,0.589,42.601,42.601,0.078,1.144,1563030.0,86.441,28,1425.65,1425.65,1425.65,1.787,0.828,7.162,42.771,20.689,5.026,25.903,3.886,11.726,8.766,28,0.812,0.541,0.212,0.127,0.116,1.764,-0.003,1.084,6.054,0.23,5.288,6.712,6.848,4.331,6.03,206.946,5.048,50,3.95,3.79,3.922,1.818,1.817,2.007,1.345,2.008,1.784,1.327,1.986,9.874,5.816,7.549,2.235,34.076,0.115,0.12,393.618,5.547,4.953
6.262,6,3,422.469,11.678,2814430.0,6.908,7.097,11.949,7.307,3,-47.762,5.923,6.952,3.375,11.824,3.375,11.824,3.066,1.079,6,11.712,11.556,11.712,11.556,7.539,35.313,2,0.696,7.328,20,14.0,0.047,0.031,6.921,0.004,0.015,0.036,5.167,5.454,5.383,33.154,3.737,10,10,10,542.414,99.151,6.717,6.346,5.805,54,27.743,34,32.27,0.182,5.263,5.725,2.017,1.966,222.505,662.543,0.405,0.97,1.713,0.457,0.033,1077.14,4.331,7.37,18.278,20.212,13.223,14.569,14.432,15.624,16.84,4.175,13,1.909,19,6.356,5.562,56.959,46.598,34.79,0.042,35.052,10,10,390.961,1.746,1.937,6.414,5.838,7.413,2407.99,5,10,3.174,3.096,99.0,69.0,15.996,5.392,2.007,12.067,20,16,8.586,9.848,11.37,0.074,0.044,0.035,0.035,4.392,78.699,54.961,0.607,30.429,30.429,0.174,1.13,726829.0,71.382,23,985.544,985.544,985.544,1.771,0.72,6.915,33.412,16.103,3.664,20.083,3.824,10.075,8.445,25,0.694,0.463,0.287,0.205,0.123,1.717,0.055,1.063,5.819,0.229,5.14,6.545,6.717,3.737,5.219,193.238,5.048,45,3.928,3.773,3.891,1.802,1.81,1.997,1.34,2.005,1.771,1.31,1.963,7.966,5.64,6.407,2.177,25.062,0.141,0.199,319.613,5.342,4.749
6.507,8,4,549.245,10.7,937332.0,6.783,6.961,11.116,7.452,4,-71.079,6.152,6.901,3.323,11.639,3.323,11.639,3.415,1.438,2,11.525,10.297,11.525,10.297,7.648,47.084,2,0.853,9.887,26,11.778,0.041,0.027,6.869,-0.04,-0.029,-0.044,5.192,5.366,5.331,33.42,3.702,13,13,13,707.339,128.986,6.601,6.552,5.905,76,42.554,57,46.366,0.122,8.1,5.843,1.881,1.959,454.571,1396.18,0.406,1.097,2.068,0.451,-0.017,1297.29,4.284,7.349,18.022,19.884,12.965,14.341,14.109,15.223,16.359,4.139,16,1.952,28,6.553,5.647,67.257,52.48,41.77,0.036,40.451,14,14,526.26,1.743,1.951,6.648,5.953,9.258,3021.45,7,15,3.25,3.205,123.0,82.5,21.924,6.241,2.038,12.53,27,21,8.76,10.042,11.574,0.057,0.035,0.027,0.026,4.807,94.694,66.51,0.593,39.558,39.558,0.081,1.773,1297500.0,82.212,20,1308.55,1308.55,1308.55,1.854,0.876,7.009,41.944,20.49,5.026,24.736,3.837,11.489,8.65,33,0.83,0.56,0.201,0.111,0.117,1.73,0.04,1.092,5.869,0.232,5.125,6.491,6.62,3.683,4.738,187.117,5.048,45,3.897,3.731,3.884,1.791,1.784,1.995,1.325,1.99,1.78,1.301,1.983,8.17,5.523,5.506,2.816,45.572,0.096,0.117,367.205,5.475,4.851
6.276,6,3,422.469,9.864,341042.0,6.45,6.613,10.27,7.229,3,-49.59,6.089,6.877,3.3,11.552,3.3,11.552,3.175,1.079,2,10.297,10.17,10.297,10.17,7.416,35.313,2,0.869,7.524,20,9.111,0.051,0.033,6.493,-0.041,-0.026,-0.038,4.992,5.176,5.123,27.934,3.629,10,10,10,542.414,97.5,6.292,6.271,5.637,55,35.811,48,38.835,0.15,6.108,5.602,1.734,1.953,386.67,1086.17,0.415,1.105,1.79,0.453,0.005,1033.21,4.263,7.013,17.752,19.613,12.699,14.072,13.843,14.956,16.092,4.108,12,1.897,22,6.34,5.407,54.942,42.478,33.151,0.045,33.414,11,11,408.972,1.71,1.919,6.335,5.666,7.313,2262.69,5,11,2.828,2.545,97.25,65.75,17.046,4.62,1.996,11.903,21,16,8.503,9.78,11.313,0.07,0.044,0.034,0.033,4.459,76.315,53.477,0.598,30.429,30.429,0.108,1.505,732468.0,70.916,15,1010.69,1010.69,1010.69,1.838,0.865,6.74,34.591,16.898,3.579,20.25,3.777,10.32,8.385,29,0.795,0.548,0.225,0.138,0.121,1.649,0.059,1.089,5.613,0.238,4.946,6.288,6.433,3.097,3.942,158.582,5.048,39,3.89,3.704,3.837,1.79,1.772,1.969,1.312,1.985,1.752,1.301,1.961,6.245,5.317,4.507,2.564,38.535,0.119,0.156,304.009,5.283,4.657
5.658,4,2,295.692,10.86,1042740.0,6.62,6.8,11.119,7.043,2,-27.014,5.756,6.946,3.37,11.804,3.37,11.804,2.812,0.719,6,11.615,10.297,11.615,10.297,7.278,23.542,2,0.68,4.802,14,11.333,0.061,0.04,6.894,0.016,0.029,0.052,4.961,5.282,5.188,27.722,3.633,7,7,7,377.49,68.034,6.446,5.987,5.504,33,20.827,25,24.551,0.228,3.314,5.478,1.907,1.91,162.686,434.063,0.408,0.949,1.362,0.462,0.062,785.003,4.327,7.042,18.076,20.024,13.024,14.361,14.247,15.453,16.684,4.157,9,1.839,13,6.09,5.297,44.644,36.595,26.557,0.054,28.015,7,7,273.673,1.683,1.874,5.999,5.509,5.304,1635.39,3,6,2.39,2.302,73.25,52.25,11.117,3.771,1.955,11.312,14,11,8.272,9.519,11.039,0.096,0.057,0.045,0.045,3.907,60.32,41.929,0.618,21.3,21.3,0.203,0.82,352362.0,59.135,18,687.681,687.681,687.681,1.721,0.682,6.615,26.059,12.511,3.061,15.597,3.763,8.718,8.109,21,0.642,0.434,0.303,0.233,0.129,1.627,0.058,1.066,5.548,0.232,4.964,6.355,6.549,3.141,4.417,162.29,5.048,39,3.904,3.75,3.825,1.782,1.787,1.982,1.331,1.98,1.755,1.289,1.938,6.019,5.459,5.407,1.848,18.029,0.181,0.253,256.417,5.119,4.531
5.469,4,2,304.38,11.533,2491630.0,6.664,6.813,12.772,7.1,3,-25.591,5.728,6.975,3.378,11.906,3.378,11.906,2.585,0.36,0,11.708,10.3,11.708,10.3,7.331,35.313,2,0.708,4.865,14,12.0,0.056,0.037,6.92,0.004,0.027,0.049,5.025,5.329,5.24,28.372,3.648,7,7,7,377.49,67.94,6.506,6.011,5.51,39,21.839,27,26.279,0.24,3.251,5.468,1.846,1.921,165.204,421.982,0.436,0.958,1.409,0.461,0.069,787.961,4.33,7.393,18.108,20.053,13.033,14.387,14.254,15.458,16.687,4.163,9,1.845,15,6.173,5.353,48.298,39.158,28.758,0.049,30.751,7,7,273.673,1.687,1.878,5.999,5.483,5.381,1508.79,3,6,2.599,2.412,81.5,56.5,12.828,3.982,1.966,11.498,19,11,8.353,9.563,11.098,0.088,0.052,0.041,0.041,4.322,64.303,44.895,0.611,21.3,21.3,0.213,0.733,473244.0,63.297,18,687.681,687.681,720.884,1.735,0.681,6.577,28.522,13.693,3.086,16.875,3.827,8.832,8.11,21,0.65,0.442,0.303,0.242,0.124,1.629,0.058,1.06,5.542,0.242,5.024,6.4,6.598,3.408,4.695,167.511,5.047,42,3.945,3.775,3.846,1.781,1.795,1.997,1.34,1.987,1.774,1.295,1.949,5.898,5.503,5.717,1.676,18.732,0.167,0.277,279.105,5.182,4.596
5.523,2,1,168.916,9.894,325669.0,6.215,6.37,10.128,6.685,1,-8.438,5.267,6.93,3.355,11.746,3.355,11.746,2.618,0.36,8,10.296,10.093,10.296,10.093,6.923,11.771,2,0.663,2.252,8,8.667,0.086,0.056,6.492,0.039,0.053,0.073,4.703,5.073,4.945,22.338,3.622,4,4,4,212.566,37.746,6.073,5.422,5.071,12,13.943,16,16.84,0.323,1.408,5.215,1.808,1.84,105.134,234.736,0.399,0.91,0.907,0.47,0.103,471.423,4.314,6.534,17.821,19.792,12.775,14.098,14.02,15.247,16.498,4.141,5,1.774,7,5.726,4.935,32.329,26.593,20.752,0.075,20.979,4,4,156.384,1.526,1.795,5.277,5.017,3.059,907.865,1,2,1.847,1.603,47.5,35.5,6.238,2.149,1.876,10.278,8,6,7.812,9.027,10.541,0.135,0.08,0.063,0.063,3.17,41.941,28.897,0.638,12.172,12.172,0.235,0.695,133279.0,45.676,13,389.818,389.818,389.818,1.667,0.627,6.185,18.706,8.919,2.305,11.111,3.728,7.106,7.6,17,0.576,0.397,0.311,0.262,0.138,1.62,0.047,1.076,5.175,0.23,4.751,6.12,6.346,2.54,3.612,126.543,5.033,33,3.826,3.634,3.763,1.766,1.719,1.912,1.31,1.942,1.684,1.284,1.874,4.057,5.238,4.408,1.583,11.191,0.255,0.341,193.222,4.831,4.252
5.699,4,2,295.692,10.86,1042740.0,6.62,6.8,11.119,7.043,2,-27.014,5.756,6.946,3.37,11.804,3.37,11.804,2.812,0.719,6,11.615,10.297,11.615,10.297,7.278,23.542,2,0.68,4.802,14,11.333,0.061,0.04,6.894,0.016,0.029,0.052,4.961,5.282,5.188,27.722,3.633,7,7,7,377.49,68.034,6.446,5.987,5.504,33,20.827,25,24.551,0.228,3.314,5.478,1.907,1.91,162.686,434.063,0.408,0.949,1.362,0.462,0.062,785.003,4.327,7.042,18.076,20.024,13.024,14.361,14.247,15.453,16.684,4.157,9,1.839,13,6.09,5.297,44.644,36.595,26.557,0.054,28.015,7,7,273.673,1.683,1.874,5.999,5.509,5.304,1635.39,3,6,2.39,2.302,73.25,52.25,11.117,3.771,1.955,11.312,14,11,8.272,9.519,11.039,0.096,0.057,0.045,0.045,3.907,60.32,41.929,0.618,21.3,21.3,0.203,0.82,352362.0,59.135,18,687.681,687.681,687.681,1.721,0.682,6.615,26.059,12.511,3.061,15.597,3.763,8.718,8.109,21,0.642,0.434,0.303,0.233,0.129,1.627,0.058,1.066,5.548,0.232,4.964,6.355,6.549,3.141,4.417,162.29,5.048,39,3.904,3.75,3.825,1.782,1.787,1.982,1.331,1.98,1.755,1.289,1.938,6.019,5.459,5.407,1.848,18.029,0.181,0.253,256.417,5.119,4.531
5.745,4,2,304.38,11.533,2491630.0,6.664,6.813,12.772,7.1,3,-25.591,5.728,6.975,3.378,11.906,3.378,11.906,2.585,0.36,0,11.708,10.3,11.708,10.3,7.331,35.313,2,0.708,4.865,14,12.0,0.056,0.037,6.92,0.004,0.027,0.049,5.025,5.329,5.24,28.372,3.648,7,7,7,377.49,67.94,6.506,6.011,5.51,39,21.839,27,26.279,0.24,3.251,5.468,1.846,1.921,165.204,421.982,0.436,0.958,1.409,0.461,0.069,787.961,4.33,7.393,18.108,20.053,13.033,14.387,14.254,15.458,16.687,4.163,9,1.845,15,6.173,5.353,48.298,39.158,28.758,0.049,30.751,7,7,273.673,1.687,1.878,5.999,5.483,5.381,1508.79,3,6,2.599,2.412,81.5,56.5,12.828,3.982,1.966,11.498,19,11,8.353,9.563,11.098,0.088,0.052,0.041,0.041,4.322,64.303,44.895,0.611,21.3,21.3,0.213,0.733,473244.0,63.297,18,687.681,687.681,720.884,1.735,0.681,6.577,28.522,13.693,3.086,16.875,3.827,8.832,8.11,21,0.65,0.442,0.303,0.242,0.124,1.629,0.058,1.06,5.542,0.242,5.024,6.4,6.598,3.408,4.695,167.511,5.047,42,3.945,3.775,3.846,1.781,1.795,1.997,1.34,1.987,1.774,1.295,1.949,5.898,5.503,5.717,1.676,18.732,0.167,0.277,279.105,5.182,4.596
5.201,3,2,337.831,8.353,42380.0,5.872,5.986,8.865,6.653,2,-32.143,4.799,6.495,3.132,10.302,3.132,10.302,2.586,0.719,0,10.246,10.095,10.246,10.095,6.937,23.542,3,1.039,4.939,15,6.222,0.09,0.059,6.475,-0.087,-0.063,-0.179,4.307,4.402,4.436,12.613,3.599,8,8,8,414.132,73.775,5.787,5.878,4.993,37,16.085,20,17.661,0.087,4.704,4.476,1.254,1.726,186.516,492.797,0.469,1.131,1.8,0.442,-0.193,547.598,4.122,6.474,17.443,19.308,12.443,13.788,13.586,14.709,15.847,4.068,8,1.715,12,5.785,4.931,28.341,22.719,17.164,0.079,15.918,8,8,312.769,1.464,1.743,5.822,4.94,4.001,1606.81,3,6,2.003,1.169,63.5,39.5,12.043,3.017,1.889,10.372,16,11,8.217,9.538,11.068,0.124,0.077,0.06,0.058,4.087,44.966,31.625,0.574,24.343,24.343,-0.08,0.804,111370.0,44.086,10,768.635,768.635,768.635,0.953,1.037,6.002,17.153,8.391,2.774,10.722,3.727,8.0,8.01,8,1.124,0.702,0.054,0.029,0.107,1.586,-0.115,1.113,4.877,0.273,4.127,5.561,5.605,1.281,1.711,57.961,5.054,12,3.763,3.621,3.732,1.524,1.621,1.773,0.878,1.795,1.471,0.555,1.75,2.62,4.61,2.095,1.989,19.046,0.211,0.063,150.422,4.59,3.977
6.469,2,1,128.41,6.39,4223.0,3.871,3.989,6.663,6.257,1,-8.453,4.005,6.033,2.552,8.284,2.552,8.284,0.827,0.36,2,6.55,4.726,6.55,4.726,6.301,11.771,0,0.749,1.811,3,3.778,0.172,0.105,5.431,0.037,0.102,0.035,3.58,3.623,3.689,5.348,2.802,4,4,3,150.05,37.654,3.784,3.388,3.203,1,5.359,5,6.89,-0.156,2.049,3.616,0.933,1.451,42.302,78.56,0.613,0.82,0.816,0.427,-0.206,125.769,3.521,4.344,16.127,17.969,10.57,12.123,11.686,12.73,13.827,3.91,4,1.265,8,5.078,3.963,13.592,10.395,8.429,0.147,9.53,4,4,170.733,0.907,1.233,3.424,3.203,0.951,155.861,0,0,-1.288,-1.303,19.5,15.0,4.199,0.278,1.645,7.615,3,2,6.163,6.847,8.261,0.293,0.18,0.139,0.132,2.0,16.439,10.324,0.522,0.0,0.0,-0.014,0.462,8529.09,21.622,5,268.168,268.168,268.168,0.835,0.901,4.244,7.932,3.649,0.477,4.861,2.951,3.162,5.77,6,0.989,0.969,0.085,0.104,0.083,0.874,-0.181,1.077,3.171,0.308,3.515,4.72,4.866,0.751,0.829,27.252,3.866,12,3.364,3.123,3.109,1.254,1.243,1.561,0.676,1.505,1.119,0.397,1.399,0.519,3.516,0.734,0.583,3.581,0.467,-0.088,65.826,3.814,3.191
