pXC50,C.008,GATS2s,MATS7v,NsssCH,CATS2D_09_DD,NssCH2,MATS4v,SpMin1_Bh.s.,MATS2s,RFD,MATS8e,C.041,N.072,nCONN,MATS4s,nCs,GATS7v,CATS2D_02_DL,CATS2D_06_DA,MATS4p,CATS2D_09_DA,SpDiam_AEA.ed.,CATS2D_04_AL,GATS4v,D.Dtr09,nR09,Eig08_AEA.ed.,SpMaxA_EA.ed.,MATS4m,MATS7p,GATS2e,Chi1_EA.dm.,Eig08_EA.ed.,SM03_AEA.ri.,SpMax3_Bh.p.,SpMax3_Bh.v.,Eig01_AEA.dm.,SpMax_AEA.dm.,Eta_sh_y,MATS5v,Eig01_AEA.ri.,Eig01_EA.ri.,SpDiam_AEA.ri.,SpDiam_EA.ed.,SpDiam_EA.ri.,SpMax_AEA.ri.,SpMax_EA.ri.,CATS2D_06_AA,SpMin5_Bh.p.,GATS7p,SpMin2_Bh.i.,SpMin3_Bh.m.,C.040,CATS2D_08_DA,GATS7m,JGI3,MATS6v,Chi0_EA.dm.,P_VSA_LogP_4,N.071,nArNR2
4.699,0,0.369,-0.016,0,0,7,-0.177,1.42,0.342,0.0,-0.064,0,2,0,-0.086,2,0.998,1,0,-0.148,0,7.794,3,1.156,0.0,0,4.44,0.435,-0.189,0.007,0.487,36.434,4.026,4.026,3.713,3.712,4.46,4.46,0.226,0.031,4.62,3.535,5.67,23.389,5.535,4.62,3.535,0,1.641,0.911,1.881,1.979,2,1,0.904,0.05,0.05,27.562,59.699,1,1
4.699,0,0.526,-0.009,0,0,7,-0.15,1.421,0.042,0.0,0.005,0,2,0,-0.068,2,0.983,0,0,-0.119,0,7.794,11,1.082,0.0,0,4.898,0.363,-0.153,0.051,0.691,35.741,5.39,5.39,3.835,3.826,4.168,4.168,0.281,0.082,4.62,3.535,5.675,23.389,5.535,4.62,3.535,0,1.729,0.894,1.88,1.974,3,1,0.78,0.049,0.018,28.546,89.549,1,1
5.222,1,0.467,-0.012,1,1,12,-0.032,1.424,0.105,0.133,-0.141,1,3,1,-0.012,9,0.977,2,1,-0.049,1,6.861,6,1.021,132.269,1,3.611,0.386,-0.017,-0.016,0.656,39.965,2.934,2.934,3.647,3.634,3.819,3.819,0.249,-0.018,4.203,3.084,5.259,18.737,5.084,4.203,3.084,1,1.696,0.975,1.758,1.962,1,0,0.999,0.049,-0.006,25.988,54.995,0,0
5.699,0,0.515,-0.021,0,0,7,-0.164,1.42,0.049,0.077,-0.046,0,2,0,-0.109,2,0.974,1,0,-0.108,0,7.679,2,1.131,0.0,0,4.452,0.412,-0.205,0.005,0.732,32.942,4.443,4.443,3.713,3.716,4.168,4.168,0.278,0.022,4.62,3.535,5.673,23.39,5.535,4.62,3.535,0,1.645,0.944,1.878,1.959,2,1,1.126,0.041,0.065,24.735,88.256,1,1
4.854,0,0.5,-0.004,0,0,7,-0.189,1.42,0.056,0.0,-0.087,0,2,0,-0.111,2,0.981,1,0,-0.139,0,7.538,2,1.163,0.0,0,4.338,0.461,-0.222,-0.018,0.674,33.605,3.84,3.84,3.712,3.715,4.168,4.168,0.275,0.029,4.62,3.535,5.67,23.39,5.535,4.62,3.535,0,1.64,0.964,1.871,1.956,2,1,1.028,0.045,0.062,26.362,59.699,1,1
6.538,0,0.493,-0.043,0,0,7,-0.164,1.42,0.057,0.08,-0.073,0,2,0,-0.105,2,1.018,3,1,-0.129,0,7.538,1,1.145,157.099,1,4.829,0.412,-0.19,-0.035,0.678,33.605,4.593,4.593,3.713,3.716,4.168,4.168,0.315,0.037,4.62,3.535,5.68,23.39,5.535,4.62,3.535,0,1.66,0.986,1.878,1.959,2,1,1.043,0.049,0.075,26.362,59.699,1,1
5.644,0,0.517,-0.006,0,0,7,-0.185,1.42,0.056,0.077,-0.047,0,2,0,-0.147,2,0.968,1,0,-0.15,0,7.679,2,1.141,0.0,0,4.452,0.412,-0.181,0.031,0.76,32.921,4.443,4.443,3.724,3.722,4.168,4.168,0.269,0.033,4.62,3.535,5.671,23.39,5.535,4.62,3.535,0,1.642,0.942,1.882,1.95,2,1,1.144,0.041,0.085,24.708,59.699,1,1
5.456,0,0.529,-0.004,0,0,7,-0.168,1.42,0.054,0.077,-0.05,0,2,0,-0.128,2,0.972,1,0,-0.118,0,7.679,2,1.122,0.0,0,4.452,0.412,-0.176,0.045,0.787,32.921,4.443,4.443,3.724,3.722,4.168,4.168,0.271,0.03,4.62,3.535,5.673,23.39,5.535,4.62,3.535,0,1.642,0.932,1.882,1.95,2,1,1.158,0.041,0.087,24.708,88.256,1,1
5.253,0,0.5,0.016,0,0,7,-0.192,1.42,0.06,0.0,-0.089,0,2,0,-0.124,2,0.978,1,0,-0.147,0,7.538,2,1.151,0.0,0,4.338,0.461,-0.188,0.031,0.7,33.583,3.84,3.84,3.722,3.721,4.168,4.168,0.266,0.039,4.62,3.535,5.67,23.39,5.535,4.62,3.535,0,1.635,0.945,1.872,1.948,2,1,1.08,0.045,0.086,26.336,59.699,1,1
6.475,0,0.493,-0.025,0,0,7,-0.168,1.42,0.062,0.08,-0.074,0,2,0,-0.117,2,1.014,3,1,-0.137,0,7.538,1,1.135,157.099,1,4.829,0.412,-0.165,0.008,0.705,33.583,4.593,4.593,3.723,3.722,4.168,4.168,0.306,0.046,4.62,3.535,5.68,23.39,5.535,4.62,3.535,0,1.659,0.969,1.883,1.951,2,1,1.096,0.049,0.098,26.336,59.699,1,1
5.229,0,0.524,0.001,0,0,7,-0.183,1.42,0.053,0.077,-0.053,0,2,0,-0.147,2,0.974,1,0,-0.139,0,7.679,2,1.127,0.0,0,4.452,0.412,-0.089,0.042,0.784,32.956,4.443,4.443,3.733,3.725,4.168,4.168,0.259,0.036,4.62,3.535,5.671,23.39,5.535,4.62,3.535,0,1.641,0.98,1.884,1.941,2,1,1.243,0.041,0.092,24.751,59.699,1,1
5.0,0,0.502,0.023,0,0,7,-0.19,1.42,0.058,0.0,-0.09,0,2,0,-0.122,2,0.983,1,0,-0.133,0,7.538,2,1.134,0.0,0,4.338,0.461,-0.091,0.045,0.709,33.618,3.84,3.84,3.731,3.724,4.168,4.168,0.255,0.042,4.62,3.535,5.67,23.39,5.535,4.62,3.535,0,1.633,0.982,1.872,1.94,2,1,1.214,0.045,0.095,26.379,59.699,1,1
5.575,0,0.495,-0.018,0,0,7,-0.167,1.42,0.061,0.08,-0.073,0,2,0,-0.115,2,1.019,3,1,-0.125,0,7.538,1,1.12,157.099,1,4.829,0.412,-0.084,0.023,0.715,33.618,4.593,4.593,3.733,3.725,4.168,4.168,0.295,0.049,4.62,3.535,5.68,23.39,5.535,4.62,3.535,0,1.659,1.005,1.884,1.942,2,1,1.233,0.049,0.105,26.379,59.699,1,1
8.0,1,0.497,0.044,1,0,6,-0.091,1.423,0.062,0.077,-0.068,0,2,0,-0.06,3,0.917,2,0,-0.073,0,7.679,4,1.061,0.0,0,4.74,0.401,-0.101,0.067,0.693,38.497,4.552,4.552,3.718,3.72,4.169,4.169,0.299,-0.033,4.62,3.535,5.671,23.403,5.535,4.62,3.535,0,1.646,0.886,1.879,1.964,2,1,1.072,0.048,0.009,26.316,59.699,1,1
5.569,0,0.535,0.002,0,0,7,-0.167,1.42,0.051,0.077,-0.054,0,2,0,-0.126,2,0.978,1,0,-0.109,0,7.679,2,1.108,0.0,0,4.452,0.412,-0.088,0.055,0.811,32.956,4.443,4.443,3.733,3.725,4.168,4.168,0.261,0.034,4.62,3.535,5.673,23.39,5.535,4.62,3.535,0,1.641,0.973,1.884,1.941,2,1,1.256,0.041,0.095,24.751,88.256,1,1
5.824,0,0.505,-0.058,0,0,7,-0.172,1.42,0.051,0.077,-0.083,0,2,0,-0.09,2,0.997,1,0,-0.141,0,7.679,3,1.142,0.0,0,4.452,0.412,-0.174,0.0,0.707,34.229,4.443,4.443,3.713,3.716,4.169,4.169,0.276,0.028,4.62,3.535,5.671,23.403,5.535,4.62,3.535,0,1.645,0.95,1.878,1.96,2,1,1.214,0.043,0.058,24.735,59.699,1,1
5.602,0,0.515,-0.059,0,0,7,-0.155,1.42,0.049,0.077,-0.084,0,2,0,-0.078,2,1.002,1,0,-0.109,0,7.679,3,1.122,0.0,0,4.452,0.412,-0.167,0.012,0.732,34.229,4.443,4.443,3.713,3.716,4.169,4.169,0.278,0.026,4.62,3.535,5.673,23.403,5.535,4.62,3.535,0,1.645,0.94,1.878,1.96,2,1,1.229,0.043,0.059,24.735,88.256,1,1
4.925,0,0.499,-0.045,0,0,7,-0.178,1.42,0.056,0.0,-0.11,0,2,0,-0.088,2,1.012,1,0,-0.14,0,7.544,3,1.153,0.0,0,4.275,0.461,-0.182,-0.01,0.674,34.891,3.838,3.838,3.712,3.715,4.169,4.169,0.275,0.034,4.62,3.535,5.67,23.403,5.535,4.62,3.535,0,1.64,0.96,1.871,1.957,2,1,1.132,0.048,0.056,26.362,59.699,1,1
6.678,0,0.492,-0.082,0,0,7,-0.155,1.42,0.058,0.08,-0.094,0,2,0,-0.082,2,1.047,3,1,-0.13,0,7.544,2,1.135,156.456,1,4.789,0.412,-0.153,-0.027,0.678,34.891,4.584,4.584,3.713,3.716,4.169,4.169,0.315,0.042,4.62,3.535,5.68,23.403,5.535,4.62,3.535,0,1.66,0.982,1.878,1.96,2,1,1.143,0.052,0.069,26.362,59.699,1,1
5.921,0,0.516,-0.082,0,0,7,-0.166,1.42,0.056,0.077,-0.086,0,2,0,-0.127,2,1.047,1,0,-0.138,0,7.679,4,1.123,0.0,0,4.452,0.412,-0.126,-0.066,0.76,34.187,4.443,4.443,3.723,3.722,4.169,4.169,0.269,0.041,4.62,3.535,5.671,23.403,5.535,4.62,3.535,0,1.643,1.055,1.882,1.951,2,1,1.383,0.043,0.072,24.708,59.699,1,1
6.06,0,0.528,-0.084,0,0,7,-0.149,1.42,0.054,0.077,-0.084,0,2,0,-0.108,2,1.054,1,0,-0.104,0,7.679,4,1.103,0.0,0,4.452,0.412,-0.12,-0.056,0.787,34.187,4.443,4.443,3.723,3.721,4.169,4.169,0.271,0.039,4.62,3.535,5.673,23.403,5.535,4.62,3.535,0,1.643,1.049,1.882,1.951,2,1,1.401,0.043,0.074,24.708,88.256,1,1
5.46,0,0.5,-0.07,0,0,7,-0.17,1.42,0.061,0.0,-0.109,0,2,0,-0.11,2,1.066,1,0,-0.133,0,7.544,4,1.13,0.0,0,4.275,0.461,-0.13,-0.074,0.7,34.849,3.838,3.838,3.721,3.72,4.169,4.169,0.266,0.048,4.62,3.535,5.67,23.403,5.535,4.62,3.535,0,1.636,1.069,1.872,1.949,2,1,1.323,0.048,0.073,26.336,59.699,1,1
6.602,0,0.493,-0.108,0,0,7,-0.148,1.42,0.063,0.08,-0.091,0,2,0,-0.103,2,1.099,3,1,-0.124,0,7.544,3,1.115,156.456,1,4.789,0.412,-0.11,-0.093,0.705,34.849,4.584,4.584,3.723,3.721,4.169,4.169,0.306,0.055,4.62,3.535,5.68,23.403,5.535,4.62,3.535,0,1.659,1.088,1.883,1.952,2,1,1.333,0.052,0.084,26.336,59.699,1,1
5.553,0,0.513,-0.045,0,0,7,-0.184,1.42,0.039,0.077,-0.082,0,2,0,-0.092,2,0.98,1,0,-0.139,0,7.679,2,1.162,0.0,0,4.452,0.401,-0.193,-0.003,0.666,34.503,4.443,4.443,3.713,3.72,4.169,4.169,0.303,0.037,4.621,3.535,5.672,23.406,5.535,4.621,3.535,0,1.646,0.955,1.875,1.934,2,1,1.194,0.042,0.079,25.31,59.699,1,1
5.686,0,0.521,-0.046,0,0,7,-0.166,1.42,0.037,0.077,-0.092,0,2,0,-0.085,2,0.984,1,0,-0.107,0,7.679,2,1.143,0.0,0,4.452,0.401,-0.187,0.009,0.689,34.503,4.443,4.443,3.713,3.72,4.169,4.169,0.305,0.035,4.621,3.535,5.674,23.406,5.535,4.621,3.535,0,1.645,0.945,1.875,1.934,2,1,1.212,0.042,0.082,25.31,88.256,1,1
5.238,0,0.512,-0.028,0,0,7,-0.191,1.42,0.046,0.0,-0.132,0,2,0,-0.092,2,0.993,1,0,-0.138,0,7.538,2,1.175,0.0,0,4.381,0.448,-0.202,-0.013,0.656,35.166,3.841,3.841,3.711,3.718,4.169,4.169,0.304,0.044,4.621,3.535,5.671,23.406,5.535,4.621,3.535,0,1.64,0.965,1.87,1.932,2,1,1.119,0.046,0.081,26.938,59.699,1,1
6.409,0,0.505,-0.069,0,0,7,-0.166,1.42,0.047,0.08,-0.115,0,2,0,-0.087,2,1.03,3,1,-0.128,0,7.538,1,1.157,162.794,1,4.869,0.401,-0.173,-0.031,0.659,35.166,4.596,4.596,3.713,3.72,4.169,4.169,0.341,0.051,4.621,3.535,5.681,23.406,5.535,4.621,3.535,0,1.66,0.987,1.875,1.934,2,1,1.133,0.05,0.092,26.938,59.699,1,1
5.77,0,0.506,-0.022,0,0,7,-0.181,1.42,0.051,0.077,-0.039,0,2,0,-0.12,2,0.97,1,0,-0.14,0,7.679,2,1.151,0.0,0,4.452,0.412,-0.212,-0.008,0.707,32.942,4.443,4.443,3.713,3.716,4.168,4.168,0.276,0.024,4.62,3.535,5.671,23.39,5.535,4.62,3.535,0,1.645,0.954,1.878,1.959,2,1,1.112,0.041,0.063,24.735,59.699,1,1
5.444,0,1.074,0.09,0,0,4,-0.075,1.258,-0.045,0.0,0.126,0,0,0,-0.168,0,0.819,0,0,-0.056,0,5.937,1,1.031,0.0,0,1.555,0.694,-0.11,0.045,1.474,18.321,-2.136,-2.136,2.941,2.91,3.1,3.1,0.158,-0.061,3.767,2.628,4.835,15.063,4.57,3.767,2.628,0,1.002,0.816,1.59,1.513,0,0,0.785,0.027,-0.206,11.915,28.557,1,1
4.699,0,0.545,-0.042,0,0,7,-0.156,1.421,0.032,0.077,-0.015,0,2,0,-0.161,2,1.007,0,0,-0.123,0,7.794,5,1.116,0.0,0,4.44,0.412,-0.188,-0.02,0.877,33.233,4.363,4.363,3.715,3.714,4.168,4.168,0.266,0.028,4.62,3.535,5.671,23.389,5.535,4.62,3.535,0,1.646,0.975,1.882,1.983,2,1,1.101,0.043,-0.015,23.723,59.699,1,1
4.699,0,0.51,0.021,0,0,6,-0.149,1.441,0.084,0.167,-0.07,0,1,0,-0.095,2,0.936,1,0,-0.119,0,7.687,6,1.113,129.894,1,4.207,0.449,-0.166,0.068,0.715,28.431,3.918,3.918,3.61,3.611,4.259,4.259,0.275,-0.009,4.66,3.636,5.722,23.343,5.636,4.66,3.636,0,1.588,0.876,1.911,1.922,2,2,1.128,0.048,0.021,20.908,90.742,0,0
4.699,0,0.54,-0.094,0,0,8,-0.123,1.463,0.039,0.077,-0.029,0,2,0,-0.102,3,1.062,1,0,-0.093,0,7.495,6,1.08,0.0,0,4.2,0.393,-0.148,-0.065,0.785,37.389,3.914,3.914,3.755,3.749,4.109,4.109,0.249,0.099,4.555,3.54,5.601,22.151,5.54,4.555,3.54,0,1.636,1.033,1.864,2.013,2,2,1.141,0.04,-0.006,24.677,88.256,0,0
4.699,0,0.512,-0.052,0,0,7,-0.175,1.42,0.046,0.0,-0.095,0,2,0,-0.082,2,1.03,1,0,-0.141,0,7.544,2,1.16,0.0,0,4.277,0.448,-0.17,-0.01,0.656,35.166,3.903,3.903,3.712,3.715,4.169,4.169,0.304,0.038,4.62,3.535,5.671,23.403,5.535,4.62,3.535,0,1.64,0.956,1.867,1.952,2,1,1.149,0.049,0.064,26.938,59.699,1,1
8.699,1,0.48,0.065,3,1,7,-0.095,1.424,0.088,0.083,-0.207,1,3,1,-0.048,4,0.908,2,1,-0.086,1,6.713,5,1.064,143.905,1,4.641,0.332,-0.059,0.088,0.646,47.405,4.776,4.776,3.681,3.679,3.821,3.821,0.354,-0.01,4.245,3.248,5.307,18.778,5.248,4.245,3.248,1,1.602,0.866,1.858,1.918,1,0,0.908,0.061,0.026,32.085,54.995,0,0
7.699,1,0.492,0.031,1,0,6,-0.086,1.423,0.065,0.0,-0.064,0,2,0,-0.06,3,0.954,2,0,-0.067,0,7.544,4,1.06,0.0,0,4.728,0.448,-0.103,0.03,0.66,39.159,4.542,4.542,3.715,3.718,4.169,4.169,0.3,-0.035,4.62,3.535,5.67,23.403,5.535,4.62,3.535,0,1.642,0.919,1.872,1.96,2,1,1.012,0.054,0.002,27.943,59.699,1,1
6.119,1,0.492,0.031,1,0,6,-0.086,1.423,0.065,0.0,-0.064,0,2,0,-0.06,3,0.954,2,0,-0.067,0,7.544,4,1.06,0.0,0,4.728,0.448,-0.103,0.03,0.66,39.159,4.542,4.542,3.715,3.718,4.169,4.169,0.3,-0.035,4.62,3.535,5.67,23.403,5.535,4.62,3.535,0,1.642,0.919,1.872,1.96,2,1,1.012,0.054,0.002,27.943,59.699,1,1
5.812,0,0.502,-0.035,0,0,7,-0.18,1.42,0.059,0.0,-0.099,0,2,0,-0.091,2,0.976,1,0,-0.134,0,7.544,3,1.125,0.0,0,4.275,0.461,-0.08,0.019,0.709,34.905,3.838,3.838,3.712,3.715,4.169,4.169,0.255,0.054,4.62,3.535,5.671,23.403,5.535,4.62,3.535,0,1.639,0.861,1.875,1.954,2,1,0.649,0.048,0.07,26.379,59.699,1,1
7.319,1,0.501,-0.018,1,0,6,-0.083,1.424,0.081,0.0,-0.045,0,2,0,-0.078,3,0.974,2,0,-0.07,0,7.544,5,1.023,0.0,0,4.728,0.448,-0.05,-0.01,0.76,40.612,4.542,4.542,3.733,3.733,4.169,4.169,0.276,-0.022,4.62,3.535,5.671,23.403,5.535,4.62,3.535,0,1.652,0.88,1.882,1.969,2,1,0.548,0.054,-0.003,28.757,59.699,1,1
7.125,1,0.493,0.04,1,0,6,-0.091,1.423,0.069,0.0,-0.061,0,2,0,-0.058,3,0.919,2,0,-0.069,0,7.544,4,1.036,0.0,0,4.728,0.448,-0.053,0.056,0.693,39.173,4.542,4.542,3.716,3.718,4.169,4.169,0.279,-0.017,4.62,3.535,5.671,23.403,5.535,4.62,3.535,0,1.642,0.821,1.875,1.955,2,1,0.575,0.054,0.016,27.96,59.699,1,1
7.066,1,0.504,0.047,1,0,6,-0.08,1.423,0.054,0.0,-0.114,0,2,0,-0.056,3,0.954,2,0,-0.068,0,7.544,3,1.064,0.0,0,4.737,0.435,-0.091,0.027,0.642,39.433,4.544,4.544,3.715,3.718,4.169,4.169,0.328,-0.036,4.62,3.535,5.671,23.403,5.535,4.62,3.535,0,1.642,0.918,1.868,1.952,2,1,0.989,0.054,0.007,28.519,59.699,1,1
5.854,1,0.504,0.047,1,0,6,-0.08,1.423,0.054,0.0,-0.114,0,2,0,-0.056,3,0.954,2,0,-0.068,0,7.544,3,1.064,0.0,0,4.737,0.435,-0.091,0.027,0.642,39.433,4.544,4.544,3.715,3.718,4.169,4.169,0.328,-0.036,4.62,3.535,5.671,23.403,5.535,4.62,3.535,0,1.642,0.918,1.868,1.952,2,1,0.989,0.054,0.007,28.519,59.699,1,1
