pXC50,nCsp,nC,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.,nAB,nAT
7.757,2,28,8.38,45.2,38.7,1.023,1.137,0.679,0.669,519.57,8.1,22,62
7.425,2,29,8.087,45.3,40.6,1.015,1.136,0.679,0.661,517.6,7.8,22,64
7.904,2,28,8.255,45.9,39.3,1.018,1.136,0.683,0.668,503.57,8.2,22,61
8.167,2,30,7.922,43.5,42.0,1.014,1.139,0.67,0.65,546.65,8.7,22,69
7.998,2,28,8.778,44.4,38.1,1.024,1.139,0.691,0.676,553.03,9.5,22,63
8.154,2,28,8.232,44.4,39.7,1.019,1.139,0.677,0.663,518.59,9.5,22,63
7.651,2,23,8.137,48.9,38.3,1.005,1.113,0.708,0.685,382.45,8.5,22,47
7.779,2,22,10.03,51.2,34.9,1.006,1.105,0.753,0.721,431.31,9.3,22,43
7.704,2,22,11.123,51.2,34.9,1.002,1.103,0.784,0.727,478.31,9.3,22,43
8.212,2,23,9.14,50.0,32.6,1.032,1.133,0.709,0.71,420.42,8.7,22,46
6.0,2,23,9.14,50.0,32.6,1.032,1.133,0.709,0.71,420.42,8.7,22,46
7.456,2,25,7.745,47.2,41.5,1.0,1.116,0.694,0.665,410.51,7.5,22,53
8.012,2,24,7.755,47.1,41.2,0.998,1.118,0.698,0.667,395.5,9.8,22,51
7.721,2,25,8.37,50.0,36.0,1.005,1.114,0.721,0.7,418.49,12.0,27,50
6.413,2,26,8.161,49.1,37.7,1.002,1.115,0.714,0.689,432.52,11.3,27,53
6.489,2,28,7.375,44.4,44.4,0.995,1.123,0.68,0.645,464.62,9.5,22,63
7.402,2,19,7.581,45.2,42.9,0.998,1.122,0.686,0.654,318.41,9.5,16,42
7.186,2,20,7.388,44.4,44.4,0.996,1.123,0.679,0.645,332.44,8.9,16,45
6.0,2,20,7.388,44.4,44.4,0.996,1.123,0.679,0.645,332.44,8.9,16,45
7.535,2,22,7.316,44.9,44.9,0.994,1.121,0.68,0.644,358.48,8.2,16,49
7.4,2,21,7.488,45.7,43.5,0.996,1.12,0.686,0.652,344.45,8.7,16,46
7.41,2,22,8.196,51.2,37.2,1.001,1.109,0.722,0.697,352.42,9.3,22,43
6.0,2,23,7.966,50.0,39.1,0.998,1.111,0.713,0.685,366.45,8.7,22,46
7.321,2,23,7.966,50.0,39.1,0.998,1.111,0.713,0.685,366.45,8.7,22,46
6.0,2,22,8.997,51.2,34.9,1.008,1.108,0.742,0.716,386.86,9.3,22,43
8.64,2,22,8.997,51.2,34.9,1.008,1.108,0.742,0.716,386.86,9.3,22,43
6.0,2,22,8.997,51.2,34.9,1.008,1.108,0.742,0.716,386.86,9.3,22,43
6.328,2,23,8.137,48.9,38.3,1.005,1.113,0.708,0.685,382.45,8.5,22,47
8.394,2,23,8.137,48.9,38.3,1.005,1.113,0.708,0.685,382.45,8.5,22,47
7.959,0,22,8.804,40.7,44.4,1.01,1.133,0.678,0.643,475.4,7.4,17,54
5.0,0,14,7.093,38.9,47.2,0.995,1.138,0.655,0.619,255.36,13.9,15,36
8.696,0,28,8.681,45.9,36.1,1.025,1.139,0.691,0.685,529.57,11.5,29,61
5.377,0,25,9.732,51.0,30.6,1.033,1.121,0.735,0.731,476.89,8.2,24,49
5.0,0,20,7.479,40.8,44.9,1.007,1.13,0.658,0.632,366.46,8.2,18,49
5.959,0,20,8.497,51.3,35.9,1.011,1.116,0.717,0.701,331.37,7.7,23,39
6.921,1,26,8.162,40.0,44.6,1.01,1.129,0.677,0.642,530.5,7.7,17,65
5.0,0,17,7.767,34.7,49.0,1.001,1.131,0.67,0.615,380.59,8.2,10,49
5.0,0,32,7.583,47.1,42.6,0.997,1.116,0.692,0.66,515.66,7.4,26,68
6.398,0,24,8.237,40.7,42.4,1.018,1.135,0.671,0.648,485.99,8.5,17,59
6.796,0,19,8.053,41.3,41.3,1.021,1.137,0.661,0.648,370.42,8.7,20,46
5.0,0,22,7.316,44.9,44.9,0.994,1.121,0.68,0.644,358.48,8.2,22,49
5.0,0,18,8.657,35.3,41.2,1.037,1.15,0.651,0.64,441.51,9.8,12,51
8.62,0,21,9.853,46.7,35.6,1.014,1.109,0.759,0.718,443.38,8.9,18,45
5.0,0,21,8.372,43.8,41.7,1.019,1.118,0.682,0.66,401.87,2.1,12,48
5.0,0,22,8.543,48.9,35.6,1.015,1.114,0.71,0.698,384.42,8.9,23,45
5.0,0,16,9.102,38.1,40.5,1.024,1.136,0.69,0.664,382.28,11.9,11,42
7.155,0,32,8.333,41.6,44.2,1.008,1.121,0.693,0.652,641.67,5.2,17,77
5.0,0,27,7.833,39.7,42.6,1.015,1.14,0.658,0.64,532.64,11.8,22,68
8.032,0,22,8.255,38.6,40.4,1.03,1.142,0.651,0.646,470.51,10.5,18,57
7.244,0,21,8.103,38.9,42.6,1.009,1.132,0.679,0.648,437.58,13.0,22,54
5.0,0,27,7.574,43.5,43.5,1.003,1.124,0.674,0.646,469.59,8.1,23,62
8.77,0,25,7.509,41.7,45.0,1.008,1.132,0.658,0.632,450.56,6.7,21,60
5.0,2,21,7.337,36.2,46.6,1.009,1.143,0.638,0.613,425.55,12.1,15,58
8.108,0,20,8.153,44.4,42.2,1.003,1.122,0.698,0.663,366.88,8.9,18,45
6.854,0,30,7.491,36.6,48.8,1.001,1.135,0.657,0.613,614.29,8.5,18,82
5.0,0,28,6.776,36.4,50.6,0.998,1.14,0.631,0.594,521.74,9.1,12,77
5.0,0,23,8.286,37.1,43.5,1.011,1.131,0.682,0.644,513.71,11.3,20,62
5.602,0,21,7.85,42.0,42.0,1.01,1.137,0.67,0.649,392.48,12.0,16,50
5.0,0,19,7.777,44.2,41.9,1.006,1.124,0.681,0.656,334.41,9.3,17,43
5.699,0,22,7.117,39.3,48.2,1.003,1.138,0.643,0.611,398.53,7.1,11,56
6.102,2,22,7.567,42.3,44.2,1.009,1.125,0.662,0.638,393.48,5.8,17,52
5.0,0,29,8.805,43.9,39.4,1.019,1.121,0.703,0.677,581.11,6.1,28,66
7.886,0,24,9.782,45.3,30.2,1.058,1.161,0.683,0.705,518.46,11.3,27,53
7.553,0,23,7.617,37.7,45.9,1.001,1.136,0.668,0.629,464.66,13.1,17,61
6.585,0,22,7.324,43.1,45.1,0.996,1.126,0.673,0.638,373.5,9.8,18,51
5.0,0,19,8.295,45.2,38.1,1.016,1.122,0.689,0.676,348.39,9.5,21,42
9.161,0,26,7.789,38.2,44.1,1.02,1.152,0.642,0.626,529.63,10.3,18,68
7.092,0,29,7.788,40.3,44.4,1.007,1.127,0.672,0.639,560.74,8.3,25,72
6.292,0,21,8.661,40.4,42.3,1.016,1.136,0.688,0.656,450.38,9.6,17,52
5.0,1,24,8.357,42.9,41.1,1.015,1.131,0.685,0.661,467.97,8.9,17,56
5.0,0,19,8.947,46.3,36.6,1.017,1.118,0.716,0.695,366.83,9.8,21,41
5.0,0,28,7.438,44.4,44.4,1.0,1.121,0.675,0.644,468.6,6.3,20,63
5.0,0,22,8.126,40.0,43.6,1.017,1.136,0.665,0.641,446.95,7.3,17,55
4.509,0,29,7.26,42.6,45.6,0.995,1.128,0.671,0.635,493.67,10.3,24,68
