pXC50,Sp,Si,Sv,nAT,Se,nBT,nSK,nC,MW,nH,nBO,Me,nAB,SCBO,O.,RBN,AMW
7.31,20.46,37.448,19.38,33,33.153,33,16,12,223.3,17,16,1.005,6,20.0,9.1,5,6.767
8.77,20.46,37.448,19.38,33,33.153,33,16,12,223.3,17,16,1.005,6,20.0,9.1,5,6.767
6.96,21.654,37.159,19.853,33,32.902,33,16,12,239.37,17,16,0.997,6,20.0,6.1,5,7.254
5.56,21.654,37.159,19.853,33,32.902,33,16,12,239.37,17,16,0.997,6,20.0,6.1,5,7.254
8.24,21.654,37.159,19.853,33,32.902,33,16,12,239.37,17,16,0.997,6,20.0,6.1,5,7.254
4.21,18.699,34.033,17.853,30,30.269,30,15,11,209.27,15,15,1.009,6,19.0,10.0,5,6.976
4.43,18.699,34.033,17.853,30,30.269,30,15,11,209.27,15,15,1.009,6,19.0,10.0,5,6.976
4.94,16.483,29.408,15.612,26,26.058,26,13,10,179.24,13,13,1.002,6,17.0,7.7,4,6.894
7.26,19.892,33.744,18.326,30,30.018,30,15,11,225.34,15,15,1.001,6,19.0,6.7,5,7.511
5.42,17.676,29.119,16.084,26,25.807,26,13,10,195.31,13,13,0.993,6,17.0,3.8,4,7.512
5.55,19.892,33.744,18.326,30,30.018,30,15,11,225.34,15,15,1.001,6,19.0,6.7,5,7.511
5.44,19.892,33.744,18.326,30,30.018,30,15,11,225.34,15,15,1.001,6,19.0,6.7,5,7.511
9.03,23.222,41.863,21.907,37,37.036,38,18,14,249.34,19,19,1.001,6,23.0,8.1,6,6.739
8.11,23.222,41.863,21.907,37,37.036,38,18,14,249.34,19,19,1.001,6,23.0,8.1,6,6.739
9.14,23.222,41.863,21.907,37,37.036,38,18,14,249.34,19,19,1.001,6,23.0,8.1,6,6.739
8.07,24.415,41.574,22.379,37,36.785,38,18,14,265.41,19,19,0.994,6,23.0,5.4,6,7.173
6.92,24.415,41.574,22.379,37,36.785,38,18,14,265.41,19,19,0.994,6,23.0,5.4,6,7.173
8.27,24.415,41.574,22.379,37,36.785,38,18,14,265.41,19,19,0.994,6,23.0,5.4,6,7.173
8.38,23.983,44.279,22.434,39,38.92,39,18,14,251.36,21,18,0.998,6,22.0,7.7,7,6.445
7.09,23.983,44.279,22.434,39,38.92,39,18,14,251.36,21,18,0.998,6,22.0,7.7,7,6.445
8.51,23.983,44.279,22.434,39,38.92,39,18,14,251.36,21,18,0.998,6,22.0,7.7,7,6.445
8.04,25.176,43.989,22.906,39,38.669,39,18,14,267.43,21,18,0.992,6,22.0,5.1,7,6.857
7.15,25.176,43.989,22.906,39,38.669,39,18,14,267.43,21,18,0.992,6,22.0,5.1,7,6.857
8.41,25.176,43.989,22.906,39,38.669,39,18,14,267.43,21,18,0.992,6,22.0,5.1,7,6.857
4.92,18.245,32.824,17.139,29,28.942,29,14,11,193.27,15,14,0.998,6,18.0,6.9,4,6.664
4.2,18.245,32.824,17.139,29,28.942,29,14,11,193.27,15,14,0.998,6,18.0,6.9,4,6.664
4.68,18.245,32.824,17.139,29,28.942,29,14,11,193.27,15,14,0.998,6,18.0,6.9,4,6.664
6.45,20.46,37.448,19.38,33,33.153,33,16,12,223.3,17,16,1.005,6,20.0,9.1,5,6.767
4.44,20.46,37.448,19.38,33,33.153,33,16,12,223.3,17,16,1.005,6,20.0,9.1,5,6.767
6.46,20.46,37.448,19.38,33,33.153,33,16,12,223.3,17,16,1.005,6,20.0,9.1,5,6.767
4.92,21.654,37.159,19.853,33,32.902,33,16,12,239.37,17,16,0.997,6,20.0,6.1,5,7.254
4.94,21.654,37.159,19.853,33,32.902,33,16,12,239.37,17,16,0.997,6,20.0,6.1,5,7.254
6.32,21.654,37.159,19.853,33,32.902,33,16,12,239.37,17,16,0.997,6,20.0,6.1,5,7.254
4.5,19.438,32.534,17.611,29,28.691,29,14,11,209.34,15,14,0.989,6,18.0,3.4,4,7.219
4.13,19.438,32.534,17.611,29,28.691,29,14,11,209.34,15,14,0.989,6,18.0,3.4,4,7.219
5.43,19.438,32.534,17.611,29,28.691,29,14,11,209.34,15,14,0.989,6,18.0,3.4,4,7.219
6.31,35.341,64.643,32.374,57,56.112,59,25,21,344.55,32,27,0.984,5,32.5,3.5,5,6.045
7.06,30.534,51.567,28.74,46,45.694,48,24,20,322.44,22,26,0.993,16,35.0,4.3,6,7.01
6.848,26.534,47.567,24.74,42,41.694,43,20,16,274.4,22,21,0.993,10,27.0,4.8,6,6.533
6.936,24.773,44.152,23.214,39,38.811,40,19,15,260.37,20,20,0.995,10,26.0,5.1,5,6.676
7.357,27.534,48.567,25.74,43,42.694,45,21,17,286.41,22,23,0.993,10,29.0,4.7,7,6.661
6.712,27.54,50.066,25.762,44,43.796,45,21,16,289.42,23,22,0.995,10,28.0,4.5,6,6.578
7.398,28.296,50.983,26.267,45,44.578,46,21,17,288.43,24,22,0.991,10,28.0,4.4,6,6.41
6.738,24.773,44.152,23.214,39,38.811,40,19,15,260.37,20,20,0.995,10,26.0,5.1,6,6.676
7.125,25.779,46.651,24.235,41,40.912,42,20,15,275.39,21,21,0.998,10,27.0,4.9,6,6.717
6.0,38.279,66.521,36.057,59,58.774,62,30,24,407.56,29,33,0.996,12,41.0,5.1,7,6.908
6.0,32.881,59.936,29.638,53,51.683,54,22,20,301.52,31,23,0.975,6,27.0,1.9,8,5.689
8.456,24.773,44.152,23.214,39,38.811,40,19,15,260.37,20,20,0.995,10,26.0,5.1,6,6.676
8.092,26.534,47.567,24.74,42,41.694,43,20,16,274.4,22,21,0.993,10,27.0,4.8,7,6.533
6.924,28.296,50.983,26.267,45,44.578,46,21,17,288.43,24,22,0.991,10,28.0,4.4,7,6.41
8.18,21.25,37.322,20.16,33,33.043,34,17,13,232.31,16,18,1.001,10,24.0,6.1,5,7.04
7.523,19.489,33.907,18.633,30,30.16,31,16,12,218.28,14,17,1.005,10,23.0,6.7,4,7.276
8.553,23.012,40.737,21.687,36,35.927,37,18,14,246.34,18,19,0.998,10,25.0,5.6,5,6.843
6.78,28.296,50.983,26.267,45,44.578,46,21,17,288.43,24,22,0.991,10,28.0,4.4,8,6.41
7.292,26.534,47.567,24.74,42,41.694,43,20,16,274.4,22,21,0.993,10,27.0,4.8,7,6.533
8.004,23.012,40.737,21.687,36,35.927,37,18,14,246.34,18,19,0.998,10,25.0,5.6,6,6.843
7.883,28.773,48.152,27.214,43,42.811,45,23,19,308.41,20,25,0.996,16,34.0,4.7,6,7.172
7.301,24.017,43.235,22.708,38,38.029,39,19,14,261.36,19,20,1.001,10,26.0,5.3,5,6.878
8.347,25.773,45.152,24.214,40,39.811,42,20,16,272.38,20,22,0.995,10,28.0,5.0,6,6.809
8.046,23.012,40.737,21.687,36,35.927,37,18,14,246.34,18,19,0.998,10,25.0,5.6,5,6.843
8.481,37.58,65.228,34.848,58,57.229,60,28,24,378.56,30,30,0.987,16,39.0,3.4,11,6.527
7.398,27.012,44.737,25.687,40,39.927,42,22,18,294.38,18,24,0.998,16,33.0,5.0,5,7.359
6.308,27.54,50.066,25.762,44,43.796,45,21,16,289.42,23,22,0.995,10,28.0,4.5,7,6.578
9.155,24.012,41.737,22.687,37,36.927,39,19,15,258.35,18,21,0.998,10,27.0,5.4,5,6.982
6.469,29.779,50.651,28.235,45,44.912,47,24,19,323.43,21,26,0.998,16,35.0,4.4,6,7.187
8.523,24.773,44.152,23.214,39,38.811,40,19,15,260.37,20,20,0.995,10,26.0,5.1,5,6.676
9.721,27.529,47.069,25.719,42,41.592,44,21,18,283.4,21,23,0.99,11,29.5,4.8,4,6.748
10.244,33.267,58.524,31.014,52,51.571,54,25,21,341.49,27,27,0.992,11,33.5,5.8,7,6.567
9.387,25.767,43.654,24.192,39,38.709,41,20,17,269.37,19,22,0.993,11,28.5,5.1,4,6.907
8.409,27.529,47.069,25.719,42,41.592,44,21,18,283.4,21,23,0.99,11,29.5,4.8,5,6.748
8.051,27.529,47.069,25.719,42,41.592,44,21,18,283.4,21,23,0.99,11,29.5,4.8,4,6.748
8.921,23.551,39.029,21.951,35,34.498,37,18,16,239.34,17,20,0.986,11,26.5,2.9,2,6.838
9.921,24.006,40.239,22.665,36,35.825,38,19,16,255.34,17,21,0.995,11,27.5,5.6,3,7.093
10.0,25.767,43.654,24.192,39,38.709,41,20,17,269.37,19,22,0.993,11,28.5,5.1,4,6.907
8.0,28.529,48.069,26.719,43,42.592,46,22,19,295.41,21,25,0.991,11,31.5,4.7,5,6.87
9.022,28.529,48.069,26.719,43,42.592,46,22,19,295.41,21,25,0.991,11,31.5,4.7,4,6.87
9.699,29.745,51.694,27.961,46,45.803,48,23,19,313.43,23,25,0.996,11,31.5,6.5,5,6.814
9.653,29.29,50.484,27.246,45,44.476,47,22,19,297.43,23,24,0.988,11,30.5,4.4,5,6.61
8.188,26.313,43.445,24.477,39,38.382,42,20,18,265.38,19,23,0.984,11,29.5,2.6,4,6.805
9.18,32.506,56.109,30.487,50,49.687,53,25,21,339.47,25,28,0.994,11,34.5,6.0,6,6.789
8.373,21.79,35.614,20.424,32,31.614,34,17,15,225.31,15,19,0.988,11,25.5,3.1,2,7.041
7.959,29.296,49.432,27.976,44,44.571,45,24,18,349.84,20,25,1.013,11,32.5,9.1,7,7.951
10.0,27.529,47.069,25.719,42,41.592,44,21,18,283.4,21,23,0.99,11,29.5,4.8,4,6.748
11.0,25.767,43.654,24.192,39,38.709,41,20,17,269.37,19,22,0.993,11,28.5,5.1,3,6.907
8.577,23.551,39.029,21.951,35,34.498,37,18,16,239.34,17,20,0.986,11,26.5,2.9,3,6.838
10.585,30.745,52.694,28.961,47,46.803,50,24,20,325.44,23,27,0.996,11,33.5,6.4,5,6.924
8.193,27.074,45.86,25.004,41,40.265,43,20,18,267.4,21,22,0.982,11,28.5,2.4,5,6.522
8.886,29.79,49.33,28.174,44,44.476,45,24,18,394.29,20,25,1.011,11,32.5,9.1,7,8.961
6.8,23.222,41.863,21.907,37,37.036,38,18,14,249.34,19,19,1.001,6,23.0,8.1,5,6.739
6.695,23.012,40.737,21.687,36,35.927,38,18,14,246.34,18,20,0.998,6,24.0,5.6,2,6.843
5.9,19.483,32.408,18.612,29,29.058,30,16,13,215.27,13,17,1.002,11,23.5,6.9,2,7.423
8.155,25.779,46.651,24.235,41,40.912,43,20,15,275.39,21,22,0.998,6,26.0,4.9,3,6.717
9.854,26.534,47.567,24.74,42,41.694,44,20,16,274.4,22,22,0.993,6,26.0,4.8,4,6.533
9.187,25.779,46.651,24.235,41,40.912,43,20,15,275.39,21,22,0.998,6,26.0,4.9,3,6.717
6.8,24.915,42.658,24.095,38,38.48,39,21,16,287.34,17,22,1.013,11,29.5,10.5,6,7.562
6.7,29.29,50.484,27.246,45,44.476,47,22,19,297.43,23,24,0.988,11,30.5,4.4,7,6.61
7.678,26.779,47.651,25.235,42,41.912,45,21,16,287.4,21,24,0.998,6,28.0,4.8,3,6.843
7.752,27.54,50.066,25.762,44,43.796,46,21,16,289.42,23,23,0.995,6,27.0,4.5,4,6.578
7.0,24.205,40.448,22.159,36,35.676,37,18,14,262.41,18,19,0.991,10,25.0,2.8,4,7.289
9.1,26.529,46.069,24.719,41,40.592,42,20,17,271.39,21,21,0.99,11,27.5,4.9,6,6.619
8.3,25.006,41.239,23.665,37,36.825,38,20,17,267.35,17,21,0.995,11,29.5,5.4,5,7.226
6.9,21.46,38.448,20.38,34,34.153,35,17,13,235.31,17,18,1.004,6,22.0,8.8,4,6.921
7.7,25.779,46.651,24.235,41,40.912,42,20,15,275.39,21,21,0.998,10,27.0,4.9,6,6.717
5.959,20.495,36.405,19.655,32,32.262,33,17,12,233.3,15,18,1.008,10,24.0,6.3,4,7.291
5.0,18.279,31.78,17.413,28,28.051,29,15,11,203.27,13,16,1.002,10,22.0,3.6,3,7.26
7.8,30.052,52.9,27.773,47,46.36,48,22,19,299.45,25,23,0.986,11,29.5,4.3,8,6.371
9.1,24.767,42.654,23.192,38,37.709,39,19,16,257.36,19,20,0.992,11,26.5,5.3,5,6.773
9.046,24.017,43.235,22.708,38,38.029,40,19,14,261.36,19,21,1.001,6,25.0,5.3,2,6.878
7.8,22.699,38.033,21.853,34,34.269,35,19,15,257.31,15,20,1.008,10,28.0,8.8,5,7.568
7.8,21.46,38.448,20.38,34,34.153,35,17,13,235.31,17,18,1.004,6,22.0,8.8,4,6.921
4.8,20.699,36.033,19.853,32,32.269,33,17,13,233.29,15,18,1.008,6,23.0,9.4,3,7.29
7.2,26.222,44.863,24.907,40,40.036,42,21,17,285.37,19,23,1.001,11,29.5,7.5,3,7.134
7.8,32.29,53.484,30.246,48,47.476,50,25,22,333.46,23,27,0.989,17,36.5,4.2,6,6.947
8.409,25.773,45.152,24.214,40,39.811,43,20,16,272.38,20,23,0.995,6,27.0,5.0,3,6.809
8.0,25.773,45.152,24.214,40,39.811,41,20,16,272.38,20,21,0.995,11,27.5,5.0,5,6.809
5.0,19.699,35.033,18.853,31,31.269,32,16,12,221.28,15,17,1.009,6,21.0,9.7,2,7.138
9.0,23.46,40.448,22.38,36,36.153,38,19,15,259.33,17,21,1.004,10,27.0,8.3,3,7.204
5.7,17.938,31.618,17.327,28,28.385,29,15,11,207.25,13,16,1.014,6,20.0,10.7,2,7.402
6.0,23.222,41.863,21.907,37,37.036,38,18,14,249.34,19,19,1.001,6,23.0,8.1,4,6.739
8.3,23.46,40.448,22.38,36,36.153,37,19,15,259.33,17,20,1.004,11,26.5,8.3,4,7.204
5.0,19.943,35.116,19.348,31,31.487,32,17,12,234.28,14,18,1.016,10,24.0,9.7,4,7.557
6.3,27.176,45.989,24.906,41,40.669,42,20,16,291.45,21,21,0.992,10,27.0,4.9,7,7.109
7.7,24.222,42.863,22.907,38,38.036,39,19,15,261.35,19,20,1.001,6,25.0,7.9,5,6.878
5.0,24.773,44.152,23.214,39,38.811,40,19,15,260.37,20,20,0.995,6,25.0,5.1,4,6.676
8.1,21.699,37.033,20.853,33,33.269,34,18,14,245.3,15,19,1.008,11,25.5,9.1,4,7.433
7.4,21.46,38.448,20.38,34,34.153,35,17,13,235.31,17,18,1.004,6,22.0,8.8,3,6.921
4.9,18.279,31.78,17.413,28,28.051,29,15,11,203.27,13,16,1.002,10,22.0,3.6,3,7.26
6.3,20.034,33.697,18.918,30,29.833,31,16,13,214.29,14,17,0.994,11,23.5,3.3,3,7.143
8.222,26.534,47.567,24.74,42,41.694,44,20,16,274.4,22,22,0.993,6,26.0,4.8,3,6.533
8.3,24.46,41.448,23.38,37,37.153,39,20,16,271.34,17,22,1.004,11,28.5,8.1,2,7.334
8.699,27.529,47.069,25.719,42,41.592,43,21,18,283.4,21,22,0.99,11,29.5,4.8,7,6.748
5.8,23.676,43.073,22.622,38,38.363,39,19,14,265.34,19,20,1.01,6,24.0,10.5,6,6.983
7.7,25.222,43.863,23.907,39,39.036,40,20,16,273.36,19,21,1.001,11,27.5,7.7,5,7.009
7.7,23.006,39.239,21.665,35,34.825,36,18,15,243.33,17,19,0.995,11,25.5,5.7,5,6.952
8.6,24.012,41.737,22.687,37,36.927,38,19,15,258.35,18,20,0.998,11,26.5,5.4,4,6.982
7.3,25.983,46.279,24.434,41,40.92,42,20,16,275.38,21,21,0.998,10,27.0,7.3,7,6.717
7.306,24.773,44.152,23.214,39,38.811,41,19,15,260.37,20,21,0.995,6,25.0,5.1,3,6.676
7.7,31.813,56.315,29.299,50,49.243,51,23,20,313.48,27,24,0.985,11,30.5,4.0,9,6.27
7.1,29.29,50.484,27.246,45,44.476,47,22,19,297.43,23,24,0.988,11,30.5,4.4,6,6.61
6.3,24.199,38.949,22.138,35,34.574,37,18,15,259.4,17,20,0.988,10,26.0,2.9,4,7.411
8.2,31.813,56.315,29.299,50,49.243,51,23,20,313.48,27,24,0.985,11,30.5,4.0,9,6.27
4.8,32.29,53.484,30.246,48,47.476,50,25,22,333.46,23,27,0.989,17,36.5,4.2,7,6.947
7.6,25.415,42.574,23.379,38,37.785,39,19,15,277.42,19,20,0.994,10,26.0,5.3,6,7.301
5.1,24.682,45.571,23.643,40,40.465,41,20,14,280.36,20,21,1.012,6,25.0,10.0,6,7.009
5.0,17.938,31.618,17.327,28,28.385,29,15,11,207.25,13,16,1.014,6,20.0,10.7,2,7.402
5.5,20.154,36.242,19.568,32,32.596,33,17,12,237.28,15,18,1.019,6,22.0,12.5,4,7.415
7.9,21.801,37.162,20.755,33,33.673,34,18,12,269.35,15,19,1.02,10,26.0,12.1,5,8.162
8.2,28.29,49.484,26.246,44,43.476,45,21,18,285.42,23,22,0.988,11,28.5,4.5,6,6.487
5.0,26.915,44.658,26.095,40,40.48,42,23,18,311.36,17,25,1.012,12,33.0,10.0,4,7.784
6.6,29.296,51.983,27.267,46,45.578,47,22,18,300.44,24,23,0.991,11,29.5,4.3,7,6.531
8.921,25.773,45.152,24.214,40,39.811,43,20,16,272.38,20,23,0.995,6,27.0,5.0,3,6.809
8.432,25.534,46.567,23.74,41,40.694,42,19,15,262.39,22,20,0.993,6,24.0,4.9,5,6.4
6.5,21.796,37.112,20.445,33,32.716,34,17,14,228.32,16,18,0.991,11,24.5,3.0,3,6.919
7.9,27.188,43.79,24.036,39,38.662,40,19,15,373.26,20,20,0.991,6,24.0,5.1,4,9.571
7.4,28.983,49.279,27.434,44,43.92,46,23,19,311.41,21,25,0.998,11,32.5,6.8,6,7.077
6.1,27.728,47.278,25.213,42,41.443,43,20,16,290.47,22,21,0.987,10,27.0,2.4,6,6.916
10.097,52.296,89.723,48.911,80,79.301,83,40,34,540.76,40,43,0.991,22,56.0,5.0,15,6.759
10.9,28.017,47.235,26.708,42,42.029,44,23,18,309.4,19,25,1.001,16,34.0,4.8,5,7.367
6.5,31.052,53.9,28.773,48,47.36,50,23,20,311.46,25,25,0.987,11,31.5,4.2,5,6.489
7.6,23.46,40.448,22.38,36,36.153,37,19,15,259.33,17,20,1.004,10,27.0,8.3,6,7.204
7.4,31.745,53.694,29.961,48,47.803,50,25,21,337.45,23,27,0.996,16,36.0,6.3,7,7.03
5.0,21.154,37.242,20.568,33,33.596,35,18,13,249.29,15,20,1.018,6,24.0,12.1,1,7.554
8.5,28.29,49.484,26.246,44,43.476,45,21,18,285.42,23,22,0.988,11,28.5,4.5,7,6.487
7.1,27.682,48.571,26.643,43,43.465,44,23,17,316.39,20,24,1.011,10,32.0,9.3,4,7.358
6.2,28.483,48.195,25.718,43,42.225,44,20,17,289.48,23,21,0.982,10,27.0,2.3,7,6.732
6.9,28.983,49.279,27.434,44,43.92,46,23,19,311.41,21,25,0.998,11,32.5,6.8,6,7.077
5.2,25.319,43.943,23.499,39,38.483,41,19,16,256.38,20,21,0.987,10,27.0,2.6,4,6.574
6.3,22.256,39.82,21.181,35,35.145,36,18,13,247.33,17,19,1.004,10,25.0,5.7,4,7.067
8.5,21.705,38.531,20.875,34,34.371,35,18,13,248.31,16,19,1.011,10,25.0,8.8,4,7.303
6.2,21.915,39.658,21.095,35,35.48,36,18,13,251.31,17,19,1.014,6,23.0,11.4,5,7.18
10.301,55.819,96.553,51.965,86,85.068,89,42,36,568.82,44,45,0.989,22,58.0,4.7,17,6.614
4.8,19.04,34.196,17.94,30,29.934,31,15,11,205.29,15,16,0.998,6,20.0,3.3,3,6.843
7.1,25.228,45.362,23.928,40,40.138,41,20,15,276.37,20,21,1.003,10,27.0,7.5,6,6.909
5.7,29.603,53.188,27.079,47,46.134,48,21,18,286.46,26,22,0.982,10,28.0,2.1,9,6.095
5.2,24.319,42.943,22.499,38,37.483,39,18,15,244.37,20,19,0.986,10,25.0,2.6,6,6.431
5.8,22.608,39.452,22.283,35,35.924,36,20,14,277.3,15,21,1.026,10,28.0,14.3,6,7.923
6.3,19.699,35.033,18.853,31,31.269,32,16,12,221.28,15,17,1.009,6,21.0,9.7,3,7.138
10.523,59.342,103.384,55.018,92,90.836,95,44,38,596.88,48,47,0.987,22,60.0,4.3,19,6.488
7.548,48.773,82.893,45.858,74,73.534,77,38,32,512.7,36,41,0.994,22,54.0,5.4,13,6.928
8.688,45.25,76.062,42.804,68,67.767,71,36,30,484.64,32,39,0.997,22,52.0,5.9,11,7.127
6.7,31.08,51.358,29.026,46,45.367,49,24,21,318.45,22,27,0.986,16,36.0,2.2,5,6.923
5.301,26.114,43.866,24.589,39,39.331,40,21,15,306.42,18,22,1.008,11,30.5,7.7,5,7.857
9.66,20.495,36.405,19.655,32,32.262,33,17,12,233.3,15,18,1.008,10,24.0,6.3,4,7.291
8.626,20.495,36.405,19.655,32,32.262,33,17,12,233.3,15,18,1.008,10,24.0,6.3,4,7.291
8.387,22.256,39.82,21.181,35,35.145,36,18,13,247.33,17,19,1.004,10,25.0,5.7,5,7.067
8.782,24.017,43.235,22.708,38,38.029,39,19,14,261.36,19,20,1.001,10,26.0,5.3,6,6.878
