pXC50,SssNH,O.057,C.019,SsOH,SdssC,NsOH,P_VSA_MR_2,SsssCH,NdssC,MAXDN,nCconj,ATSC7s,P_VSA_m_3,MAXDP,DELS,ATS5m,P_VSA_e_5,P_VSA_LogP_4,ATSC7e,ATS6s,ATSC5e,nROH,ATSC1s,ATSC6e,JGI4,ATS6m,C.017,nR.Ct,ATSC6s,ATSC8e,PCR,GGI7,ATS5s,nArCO,SpMax4_Bh.s.,ATSC5s,ATS7s,C.008,ATS7m,Eig02_EA.ri.,GGI3,SaasC,Psi_e_A,Psi_i_A,NssNH,JGI7,GGI6,TIE,nR.Cs,SpMax1_Bh.s.,MATS5s,PCD,N.,SAacc,nRCONR2,SpMax3_Bh.s.,GGI5,CATS2D_03_DA,GGI4,CATS2D_02_DA,C.039,ATS8s,O.,nHAcc,CATS2D_06_AL,CATS2D_03_DL,P_VSA_i_4
4.4,0.0,0,2,0.0,-0.639,0,110.748,0.0,5,2.112,5,104.249,75.435,6.566,39.205,4.323,75.435,95.062,0.6,6.165,0.833,0,6.676,0.359,0.047,4.115,0,0,74.655,0.277,1.411,0.623,6.457,0,4.848,132.209,6.089,0,3.891,3.235,4.021,3.972,7.823,2.323,0,0.016,1.138,60.381,2,7.446,0.108,3.694,6.0,84.563,0,7.411,1.751,0,3.037,0,0,5.75,6.0,6,20,0,9.128
4.808,7.891,0,0,0.0,-0.931,0,75.435,0.0,3,2.058,1,51.914,75.435,5.334,33.833,3.828,75.435,89.549,0.46,5.678,0.496,0,9.771,0.485,0.045,3.691,0,0,65.479,0.321,1.425,0.353,5.878,0,4.969,72.705,5.556,0,3.636,2.651,2.264,1.962,8.053,2.553,3,0.015,0.551,60.135,0,7.435,0.083,3.028,7.0,129.467,0,7.424,0.632,1,1.569,3,0,5.425,7.0,6,3,5,54.032
5.216,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.644,0,24.557,11.0,1.979,10.087,3.665,11.0,11.0,0.288,5.531,0.217,0,7.645,0.255,0.042,3.684,0,0,20.427,0.292,1.31,0.314,5.484,0,4.261,19.856,5.611,0,3.575,2.428,1.389,4.192,7.356,1.856,0,0.013,0.484,26.568,0,4.945,0.104,2.133,6.1,17.249,0,4.365,0.719,0,1.164,0,0,5.521,2.0,3,5,2,23.034
4.4,5.58,0,0,0.0,-0.669,0,61.29,0.0,2,2.037,1,89.085,61.29,5.601,30.664,4.005,61.29,88.256,0.709,5.995,0.338,0,7.86,0.579,0.047,3.94,0,0,93.393,0.263,1.46,0.335,5.942,0,4.811,50.324,5.885,0,4.013,2.931,1.938,4.583,7.871,2.371,2,0.01,0.468,59.659,0,7.431,0.01,3.307,6.1,114.097,0,4.902,0.813,1,1.778,3,0,5.471,6.1,6,10,6,52.807
4.729,2.572,0,0,0.0,-0.274,0,81.025,0.0,1,5.944,0,107.607,81.025,5.014,44.643,3.887,36.145,63.421,0.858,5.881,0.959,0,33.359,0.775,0.044,3.82,0,0,97.088,0.838,1.489,0.424,5.933,0,7.43,89.076,5.87,0,3.693,2.648,1.875,-0.792,8.457,2.957,1,0.015,0.611,51.9,0,8.513,-0.019,3.504,8.1,132.607,0,7.999,1.104,0,1.569,1,0,5.73,5.4,8,5,1,96.462
6.657,0.0,0,0,0.0,0.0,0,11.0,0.0,0,1.238,0,25.054,11.0,2.113,16.148,3.816,11.0,62.128,0.138,5.611,0.144,0,8.416,0.192,0.04,3.778,0,0,27.046,0.2,1.562,0.269,5.623,0,4.732,26.109,5.535,0,3.624,2.746,1.5,5.057,7.653,2.153,0,0.009,0.446,29.28,0,5.248,-0.003,4.189,9.8,94.254,0,4.807,1.076,0,1.551,1,0,5.392,2.4,5,10,1,83.254
6.732,0.0,0,0,0.0,-1.138,0,72.29,0.0,2,2.238,2,105.368,72.29,5.721,28.335,4.305,72.29,64.673,0.787,6.203,0.727,0,6.25,0.194,0.049,4.258,0,0,35.33,0.579,1.548,0.459,6.199,0,4.728,72.284,6.296,0,4.061,2.952,2.632,3.293,7.845,2.345,0,0.011,1.075,49.872,0,7.438,0.231,4.305,2.1,72.29,0,4.996,2.05,0,2.82,0,0,6.011,8.5,4,12,0,1.286
4.399,2.728,0,0,0.0,-0.303,0,36.145,0.0,1,2.039,1,60.168,51.105,5.287,26.486,3.804,36.145,29.85,0.494,5.344,0.424,0,6.428,0.356,0.059,3.704,0,0,41.916,0.222,1.446,0.334,5.462,0,4.661,35.928,5.401,0,3.63,2.66,1.542,1.753,8.027,2.527,1,0.018,0.48,38.727,0,8.201,0.137,3.066,5.9,69.116,0,4.988,0.563,1,1.592,1,0,4.993,5.9,4,1,6,49.756
4.4,0.0,1,1,10.816,-1.59,1,114.973,-0.766,4,2.275,4,97.706,114.973,6.552,45.953,4.451,114.973,143.139,0.923,6.342,0.679,1,14.081,0.835,0.045,4.595,1,1,105.629,0.876,1.33,0.699,6.251,1,5.0,86.008,6.339,1,4.662,2.877,3.056,3.572,7.93,2.43,0,0.012,1.09,69.597,1,7.435,0.122,2.627,4.1,134.883,1,6.459,1.657,2,2.407,0,1,6.116,10.2,7,10,0,19.91
4.4,0.0,0,1,8.969,0.083,1,59.687,0.0,2,2.07,3,24.32,78.828,5.101,22.087,3.542,78.828,37.58,0.076,5.557,0.205,1,9.73,0.239,0.051,3.415,0,0,56.577,0.08,1.51,0.354,5.639,0,4.739,48.919,5.247,0,3.273,2.698,1.313,4.076,7.827,2.327,0,0.017,0.322,42.415,2,7.433,-0.079,3.666,2.3,81.952,0,4.943,0.736,0,1.64,0,0,5.186,6.8,4,3,0,3.124
4.4,0.0,1,0,10.182,0.0,1,42.683,0.672,0,1.594,0,29.237,42.683,4.182,16.258,3.725,42.683,87.073,0.137,5.531,0.233,0,7.766,0.296,0.059,3.443,0,0,48.57,0.115,1.365,0.111,5.657,0,4.237,39.952,5.062,0,2.883,2.647,1.813,4.449,7.678,2.178,0,0.016,0.407,27.686,0,6.475,-0.053,2.497,5.7,76.254,0,4.668,0.986,0,1.942,1,0,4.338,2.9,3,2,1,33.571
4.4,0.0,4,0,79.994,-0.815,8,206.878,-8.159,1,3.148,1,291.629,388.611,5.91,83.415,4.252,388.611,212.012,1.879,6.536,2.055,4,88.228,1.925,0.06,4.2,0,0,292.367,1.592,1.312,0.635,6.52,1,6.486,307.448,6.497,5,4.055,3.035,3.688,-4.071,8.594,3.094,0,0.016,1.212,110.596,0,7.427,-0.044,2.528,0.0,388.611,0,6.517,1.75,3,3.471,0,1,6.203,22.9,11,1,4,0.0
4.4,0.0,1,0,9.377,-0.986,1,77.336,0.0,1,2.653,1,35.575,77.336,4.441,23.777,3.976,77.336,85.524,0.307,5.549,0.334,1,9.272,0.515,0.056,3.927,0,0,42.452,0.187,1.473,0.34,5.531,0,4.873,38.602,5.1,0,3.224,2.784,1.285,2.867,7.979,2.479,0,0.024,0.424,31.56,0,7.475,0.044,3.183,3.3,94.121,0,5.104,0.868,0,1.628,1,0,4.69,10.0,4,5,2,16.786
4.4,0.0,1,0,9.486,-0.421,1,78.828,0.0,1,2.088,1,31.877,78.828,4.708,23.155,3.391,78.828,75.02,0.243,5.079,0.4,0,13.177,0.314,0.059,3.056,0,0,47.956,0.113,1.391,0.075,5.241,0,4.683,43.678,4.627,0,2.556,2.585,1.438,2.44,8.105,2.605,0,0.015,0.343,26.709,0,7.433,-0.167,2.595,0.0,78.828,0,4.902,0.549,0,1.422,0,0,3.605,12.5,3,0,2,0.0
4.841,0.0,0,0,0.0,0.095,0,25.145,0.0,1,1.571,1,36.018,25.145,5.802,16.666,3.856,25.145,65.32,0.222,5.685,0.289,0,6.478,0.232,0.034,3.692,0,0,45.365,0.22,1.513,0.286,5.709,1,4.572,38.689,5.52,0,3.614,2.767,2.646,4.566,7.654,2.154,0,0.011,0.517,36.371,0,7.427,-0.08,3.796,9.1,58.471,0,4.849,0.733,0,1.273,0,1,5.36,2.3,3,5,0,36.512
4.4,0.0,0,0,0.0,-0.524,0,50.29,0.0,5,2.3,5,32.232,50.29,5.137,29.4,3.574,50.29,62.407,0.36,5.384,0.42,0,8.825,0.447,0.062,3.458,0,0,45.32,0.354,1.325,0.299,5.498,0,4.848,37.93,5.182,0,3.249,2.74,1.563,1.308,8.108,2.608,0,0.019,0.484,37.056,0,7.447,0.068,2.239,16.1,106.65,0,5.001,0.958,0,1.862,0,0,5.003,6.5,7,8,0,56.36
5.679,3.026,0,0,0.0,-0.141,0,34.652,0.0,2,2.045,1,70.175,49.612,5.693,30.06,3.819,34.652,29.85,0.423,5.429,0.4,0,9.33,0.393,0.048,3.559,0,0,50.336,0.23,1.432,0.206,5.57,0,4.8,41.066,5.41,0,3.322,2.824,2.326,0.87,8.045,2.545,1,0.012,0.652,36.653,0,8.201,-0.088,3.208,6.5,70.747,0,5.119,0.868,1,1.675,1,0,4.767,6.5,5,6,1,36.095
4.4,2.757,0,0,0.0,-0.399,0,61.29,0.0,3,2.136,4,24.358,61.29,5.332,31.713,3.987,61.29,102.514,0.282,5.637,0.572,0,6.433,0.399,0.048,3.823,1,1,57.032,0.311,1.488,0.295,5.879,0,4.873,67.163,5.402,0,3.705,2.817,1.875,3.146,7.949,2.449,1,0.011,0.545,47.554,1,7.434,-0.075,3.691,5.0,96.086,0,4.952,0.965,0,1.871,1,0,5.35,7.5,5,5,2,34.796
5.151,2.658,0,0,0.0,0.119,0,72.29,0.0,3,2.08,3,50.887,72.29,4.824,28.241,3.534,72.29,78.971,0.486,5.441,0.512,0,7.883,0.468,0.045,3.381,1,1,50.061,0.299,1.338,0.177,5.586,0,4.835,48.011,5.257,0,3.314,2.474,1.882,3.113,7.986,2.486,1,0.01,0.4,38.508,1,7.434,-0.141,2.325,5.4,107.086,0,4.899,0.646,1,1.258,2,0,5.069,10.8,6,5,0,34.796
4.4,0.0,1,1,10.738,-2.157,1,112.215,-0.962,4,2.433,4,127.493,112.215,6.456,47.987,4.375,112.215,122.408,1.121,6.329,0.925,1,15.13,0.909,0.049,4.416,1,1,96.831,0.874,1.411,0.731,6.297,1,5.215,88.795,6.332,1,4.384,3.019,3.5,1.615,8.009,2.509,0,0.014,1.182,70.19,1,7.435,0.149,3.26,4.3,134.936,1,6.459,1.494,2,2.679,0,1,5.987,10.9,7,13,0,22.721
5.354,0.0,0,0,0.0,0.126,0,142.856,0.0,1,1.54,0,29.079,25.145,5.879,19.895,4.017,25.145,65.504,0.194,5.622,0.544,0,8.18,0.25,0.047,3.809,0,0,38.376,0.334,1.401,0.352,5.932,0,4.661,60.192,5.505,0,3.683,3.015,2.944,6.447,7.563,2.063,0,0.013,0.562,41.16,0,7.427,-0.078,3.285,8.0,61.595,1,4.753,0.789,0,2.211,0,0,5.517,2.0,4,2,0,38.349
4.4,2.467,0,0,0.0,-0.155,0,69.458,0.0,1,4.671,1,114.948,69.458,5.51,34.555,4.0,69.458,107.782,0.597,5.634,0.351,0,15.097,0.278,0.044,3.958,0,0,39.994,0.369,1.415,0.517,5.74,1,4.874,53.122,5.984,0,3.771,2.973,2.16,2.972,8.017,2.517,1,0.018,0.621,57.063,0,7.717,-0.071,2.868,4.9,102.648,0,6.999,1.101,0,1.628,3,1,5.617,7.3,5,8,2,33.191
5.281,2.734,0,0,0.0,-0.257,0,25.145,0.0,1,1.924,1,16.869,25.145,5.146,21.205,3.489,25.145,115.519,0.17,5.383,0.23,0,4.761,0.344,0.032,3.518,0,0,36.717,0.241,1.474,0.28,5.329,0,4.806,30.907,5.084,0,3.248,2.747,1.063,2.796,7.891,2.391,1,0.015,0.263,30.848,0,7.429,-0.197,3.178,12.1,93.512,0,4.929,0.576,0,0.836,2,0,5.111,3.0,5,6,2,68.367
5.238,0.0,1,0,10.229,0.0,1,42.683,0.0,0,1.603,0,31.916,42.683,4.229,16.318,3.686,42.683,87.073,0.152,5.434,0.37,0,7.476,0.205,0.054,3.443,0,0,37.386,0.106,1.365,0.083,5.75,0,4.235,56.875,5.022,0,2.686,2.793,2.5,4.4,7.683,2.183,0,0.017,0.344,28.567,0,6.475,-0.256,2.497,5.7,76.254,0,4.668,0.986,0,1.893,1,0,4.076,2.9,3,2,1,33.571
4.4,2.941,0,0,0.0,-0.027,0,25.145,0.0,1,1.694,1,8.375,25.145,5.225,12.062,3.542,25.145,29.85,0.046,4.985,0.14,0,4.133,0.13,0.057,3.3,0,0,17.226,0.128,1.415,0.227,5.198,0,4.115,21.964,4.769,0,3.214,2.612,1.389,4.171,7.617,2.117,1,0.014,0.454,26.521,0,7.429,0.1,2.759,2.9,43.156,0,4.743,0.406,0,1.197,1,0,4.877,2.9,2,1,4,18.011
5.408,2.79,0,0,0.0,-0.218,0,25.145,0.0,1,1.884,1,30.144,25.145,5.407,23.757,3.917,25.145,115.554,0.237,5.35,0.297,0,8.512,0.237,0.041,3.907,0,0,20.17,0.197,1.54,0.286,5.457,0,4.96,40.671,5.221,0,3.859,2.628,1.201,3.534,7.846,2.346,1,0.011,0.413,40.646,0,7.429,-0.027,4.052,13.2,124.327,0,5.009,0.639,1,1.276,2,0,5.087,2.6,6,8,2,99.182
5.114,0.0,0,0,0.0,0.0,0,31.507,0.0,0,1.159,0,31.597,31.507,2.841,23.83,4.271,31.507,76.746,0.387,5.992,0.31,0,7.765,0.413,0.038,4.289,0,0,34.264,0.469,1.586,0.777,5.965,0,4.818,32.337,5.995,0,4.26,2.82,2.326,6.926,7.595,2.095,0,0.013,0.82,43.931,0,5.289,0.091,5.191,7.0,81.741,0,4.846,1.366,0,2.22,0,0,5.954,5.3,6,23,0,51.398
5.235,2.936,0,0,0.0,-0.166,0,47.145,0.0,1,1.832,1,45.356,47.145,5.458,22.515,3.789,47.145,47.565,0.341,5.662,0.477,0,6.754,0.299,0.042,3.715,0,0,39.363,0.221,1.533,0.261,5.749,0,4.69,46.298,5.599,0,3.605,2.827,1.479,4.723,7.701,2.201,1,0.01,0.318,43.273,0,7.429,0.023,4.117,4.1,81.941,0,4.918,1.073,0,1.583,1,0,5.384,6.1,5,2,4,34.796
4.4,0.0,1,1,10.968,-2.381,1,145.214,-1.101,4,2.485,4,157.039,145.214,6.749,57.53,4.527,145.214,122.408,1.778,6.52,1.443,1,15.219,1.271,0.048,4.54,1,1,115.159,1.579,1.399,1.306,6.516,1,5.215,114.355,6.58,1,4.552,3.026,4.125,1.877,7.986,2.486,0,0.018,1.569,89.516,1,7.435,0.081,3.295,3.4,167.935,1,6.459,1.848,2,3.342,0,1,6.501,13.8,10,11,0,22.721
4.4,0.0,0,0,0.0,0.1,0,34.652,0.0,1,1.567,1,19.807,34.652,5.103,20.051,3.614,34.652,75.621,0.182,5.183,0.282,0,4.396,0.263,0.03,3.556,0,0,23.434,0.131,1.539,0.216,5.243,1,4.635,30.426,5.063,0,3.428,2.681,1.479,1.466,7.742,2.242,0,0.011,0.244,29.353,0,7.427,-0.125,3.921,6.3,68.223,0,4.716,0.486,0,0.881,0,1,4.905,6.3,4,4,0,33.571
4.4,0.0,1,1,10.797,-2.125,1,123.215,-0.956,4,2.425,4,119.85,123.215,6.527,48.03,4.36,123.215,122.408,1.215,6.364,0.955,1,13.9,0.895,0.048,4.371,1,1,96.48,0.926,1.408,0.866,6.337,1,5.215,91.98,6.357,1,4.292,3.02,3.5,1.773,7.974,2.474,0,0.015,1.182,71.686,1,7.435,0.188,3.273,4.0,145.935,1,6.459,1.556,2,2.719,0,1,6.139,12.0,8,13,0,22.721
4.4,5.463,0,0,0.0,-0.866,0,190.882,0.0,3,1.968,0,78.589,84.942,5.589,37.962,3.954,84.942,118.105,0.588,5.949,0.973,0,9.913,0.725,0.029,3.883,0,0,84.884,0.874,1.191,0.582,6.221,0,5.072,148.351,6.016,0,3.928,2.753,1.944,1.059,8.015,2.515,2,0.017,0.601,84.135,0,7.435,0.15,1.217,7.8,140.873,1,7.422,0.882,1,1.03,3,0,6.105,7.8,8,4,1,55.931
4.4,10.143,1,0,9.647,-2.339,1,188.805,-1.14,4,2.474,3,118.803,165.263,6.448,62.851,4.385,165.263,162.082,0.89,6.542,1.047,0,18.514,1.138,0.037,4.451,0,0,146.379,1.174,1.407,0.769,6.547,0,7.422,169.666,6.527,1,4.474,2.848,2.375,2.831,8.054,2.554,4,0.011,1.059,132.591,0,7.439,0.058,3.24,5.5,237.061,0,7.427,1.819,3,2.249,4,0,6.636,9.6,11,10,12,71.798
4.4,0.0,1,1,10.776,-1.86,1,102.481,-0.847,4,2.294,4,120.487,128.441,6.483,54.365,4.276,113.48,113.811,0.862,6.369,0.961,1,16.843,1.01,0.047,4.333,1,1,113.777,1.303,1.364,0.947,6.303,1,6.459,112.993,6.324,1,4.304,3.005,3.09,0.143,7.995,2.495,0,0.017,1.042,81.772,1,8.201,0.106,2.918,3.6,134.689,1,7.422,1.473,2,2.466,0,1,6.499,8.9,8,12,0,21.209
4.931,0.0,0,0,0.0,0.141,0,72.229,0.271,1,1.526,1,38.519,36.145,5.75,21.192,3.926,36.145,58.064,0.319,5.668,0.372,0,6.314,0.344,0.042,3.73,0,0,43.589,0.321,1.386,0.363,5.736,1,4.581,47.391,5.611,1,3.606,2.816,2.403,3.75,7.59,2.09,0,0.015,0.537,40.209,0,7.427,0.117,2.837,6.1,52.93,0,4.75,0.629,0,1.387,1,1,5.523,4.1,3,1,2,35.47
4.895,0.0,1,0,9.209,0.0,1,87.564,0.0,0,5.852,2,84.272,87.564,4.533,35.512,3.803,42.683,76.254,0.54,5.134,0.758,0,36.067,0.461,0.05,3.195,0,0,77.667,0.381,1.427,0.149,5.9,0,6.476,115.52,5.265,0,3.125,2.52,1.25,-0.956,8.512,3.012,0,0.01,0.284,45.967,2,8.513,0.403,2.668,6.3,121.135,0,7.999,0.479,0,1.142,1,0,5.097,3.1,6,2,0,78.451
