pXC50,CATS2D_09_AL,CATS2D_09_AN,CATS2D_09_DL,SpMin2_Bh.p.,nArOR,MATS3i,MATS3p,GATS3i,GATS4i,SpMin2_Bh.e.,SpMin2_Bh.i.,GATS4s,MATS7e,LOC,SpMin2_Bh.v.,SdO,SssCH2,CATS2D_08_NL,SpMAD_EA.ri.,nCrq,nCrs,GATS7v,MATS7v,nR06,Rperim,TRS,ATSC8m,SpMin1_Bh.s.,F.082,P_VSA_MR_4,MCD,Vindex,O.060,MATS7p,Xindex,SM08_EA.ri.,SM09_EA.ri.,Yindex,GATS7i,SM10_EA.ri.,nF,NsF,P_VSA_e_6,SpMax1_Bh.s.,SsF,D.Dtr06,SpMax2_Bh.s.,SpMax3_Bh.s.,ATSC7i,ATSC8i,X.,C.002,GGI5,ATSC4v,nR.Cs,nX,AECC,O.058,SM06_EA.ri.,RBF,SpMax3_Bh.e.,SpMax3_Bh.p.
6.301,2,0,2,2.015,0,-0.206,-0.21,1.296,1.092,1.933,1.909,0.616,0.083,0.885,2.03,11.125,2.413,2,1.582,2,2,0.999,-0.009,3,16,18,35.392,1.508,0,0.0,0.615,0.251,0,-0.055,0.384,11.08,12.287,0.717,1.041,13.547,0,0,0.0,7.475,0.0,218.454,6.351,4.789,1.603,1.591,0.0,2,1.444,27.433,0,0,9.5,1,8.675,0.052,3.665,3.577
5.569,2,0,2,2.0,0,-0.254,-0.259,1.31,1.016,1.916,1.893,0.612,0.065,0.882,2.011,10.963,3.274,2,1.545,2,2,0.598,0.36,3,16,18,17.821,1.505,0,0.0,0.667,0.234,0,0.343,0.364,10.699,11.87,0.646,0.584,13.12,0,0,0.0,7.475,0.0,196.993,6.351,4.775,1.234,0.878,0.0,3,0.806,22.936,0,0,9.708,1,8.368,0.058,3.619,3.531
6.0,2,0,2,1.826,0,-0.268,-0.278,1.307,0.998,1.71,1.682,0.663,0.015,0.898,1.845,24.066,2.221,2,1.545,2,2,0.726,0.247,2,15,17,31.965,1.506,0,0.0,0.6,0.261,0,0.241,0.396,10.79,11.97,0.758,0.715,13.213,0,0,0.0,7.475,0.0,125.812,7.427,6.351,1.521,1.085,0.0,2,1.288,21.74,0,0,8.84,2,8.447,0.059,3.647,3.564
6.796,2,0,2,2.003,0,-0.155,-0.158,1.209,1.047,1.925,1.903,0.64,0.121,0.975,2.014,11.1,2.397,2,1.541,2,2,0.748,0.241,3,16,18,25.203,1.502,0,0.0,0.615,0.246,0,0.196,0.378,10.787,11.955,0.7,0.775,13.2,0,0,0.0,7.475,0.0,219.197,6.351,4.811,1.447,1.245,0.0,2,1.153,24.059,1,0,9.538,1,8.457,0.054,3.654,3.572
6.854,3,0,3,1.932,0,-0.177,-0.187,1.313,1.04,1.833,1.802,0.359,0.083,1.866,1.953,10.883,2.399,3,1.54,2,2,0.903,0.069,2,10,12,39.513,1.509,0,0.0,0.37,0.309,0,0.04,0.473,10.784,11.961,0.889,0.918,13.206,0,0,0.0,7.476,0.0,148.953,6.351,4.775,2.116,1.862,0.0,2,1.458,27.504,3,0,9.556,1,8.447,0.065,3.683,3.585
6.301,2,0,2,2.007,0,-0.192,-0.195,1.26,1.082,1.924,1.901,0.627,0.074,0.886,2.02,11.045,2.427,2,1.563,2,2,0.82,0.153,3,16,18,26.728,1.507,0,0.0,0.64,0.242,0,0.12,0.374,10.773,11.942,0.68,0.836,13.186,0,0,0.0,7.475,0.0,207.724,6.351,4.78,1.416,1.239,0.0,2,1.097,24.66,0,0,9.6,1,8.441,0.055,3.641,3.552
5.721,2,0,2,1.983,1,-0.219,-0.225,1.267,1.019,1.886,1.869,0.667,-0.034,0.882,1.984,10.923,2.341,2,1.521,2,2,0.494,0.474,3,16,18,13.616,1.497,0,0.0,0.667,0.234,1,0.489,0.364,10.667,11.845,0.646,0.438,13.096,0,0,0.0,7.475,0.0,196.993,6.351,4.921,0.98,0.73,0.0,2,0.806,20.358,0,0,9.708,1,8.327,0.06,3.592,3.488
7.244,3,0,3,1.948,0,-0.207,-0.175,1.27,1.013,1.831,1.809,0.6,0.115,0.886,1.943,10.971,2.392,3,1.51,2,2,0.828,0.189,3,16,18,21.381,1.505,0,0.0,0.64,0.241,0,0.039,0.373,10.69,11.87,0.676,0.908,13.118,0,0,0.0,7.475,0.0,205.051,6.351,4.847,1.476,1.033,0.0,2,1.111,22.432,0,0,9.68,1,8.351,0.058,3.632,3.564
5.886,2,0,2,1.769,0,-0.222,-0.191,1.231,0.968,1.662,1.626,0.458,0.139,0.901,1.805,11.043,2.383,2,1.484,2,2,0.791,0.225,2,15,17,29.556,1.504,0,0.0,0.625,0.253,0,0.102,0.387,10.652,11.842,0.723,0.883,13.092,0,0,0.0,7.475,0.0,119.272,6.351,4.807,1.434,1.038,0.0,2,0.948,21.6,0,0,8.917,1,8.297,0.061,3.626,3.558
5.585,3,0,3,2.009,0,-0.226,-0.194,1.309,1.066,1.94,1.93,0.859,0.19,0.881,2.037,37.523,2.068,3,1.535,2,2,0.788,0.173,3,16,18,28.284,1.514,0,0.0,0.593,0.258,0,0.099,0.393,10.818,11.991,0.748,0.774,13.23,0,0,0.0,7.715,0.0,226.512,7.475,6.999,1.742,1.167,0.0,2,1.75,23.853,0,0,9.481,3,8.486,0.055,3.733,3.666
6.523,3,0,3,1.963,0,-0.205,-0.179,1.26,1.044,1.891,1.874,0.642,0.094,0.886,1.975,11.011,2.42,3,1.52,2,2,0.802,0.206,3,16,18,21.223,1.505,0,0.0,0.64,0.241,0,0.079,0.373,10.698,11.875,0.676,0.826,13.124,0,0,0.0,7.475,0.0,205.051,6.351,4.756,1.544,1.023,0.0,2,1.111,23.264,0,0,9.68,1,8.362,0.057,3.632,3.566
5.796,2,0,2,1.963,0,-0.226,-0.215,1.264,1.002,1.891,1.874,0.638,0.104,0.882,1.975,10.957,2.421,2,1.509,2,2,0.684,0.352,3,16,18,13.037,1.499,0,0.0,0.667,0.234,0,0.159,0.364,10.656,11.836,0.646,0.739,13.089,0,0,0.0,7.475,0.0,196.993,6.351,4.762,1.104,0.713,0.0,2,0.806,21.483,0,0,9.708,1,8.312,0.06,3.584,3.525
8.284,1,1,1,1.903,1,0.038,-0.056,0.989,0.907,1.786,1.757,0.504,0.014,2.277,1.934,10.807,0.777,1,1.438,0,0,1.39,-0.36,1,6,6,89.947,1.405,2,8.115,0.182,0.435,1,-0.377,0.664,10.71,11.867,1.261,1.442,13.089,3,3,44.88,8.362,41.359,133.13,8.201,7.999,3.802,4.114,4.3,2,2.646,26.74,4,3,10.697,1,8.407,0.143,3.732,3.632
8.131,1,1,1,1.927,1,0.106,0.016,0.854,0.787,1.831,1.805,0.413,-0.023,2.116,1.936,10.767,-0.74,1,1.423,0,0,1.143,-0.131,2,12,12,55.725,1.311,2,8.115,0.375,0.284,1,-0.177,0.44,9.808,10.76,0.803,1.14,11.916,3,3,44.88,8.362,39.665,241.767,8.201,7.999,2.739,2.737,5.1,0,1.785,17.641,4,3,11.188,1,7.807,0.133,3.771,3.685
8.409,1,1,1,1.889,1,0.12,-0.002,0.822,0.772,1.777,1.747,0.347,-0.049,2.179,1.904,10.749,-0.672,1,1.401,0,0,1.194,-0.174,1,11,11,54.207,1.3,2,8.115,0.367,0.284,1,-0.232,0.439,9.678,10.638,0.801,1.265,11.785,2,2,29.92,8.362,25.762,115.603,7.999,7.476,2.591,2.484,3.6,0,1.666,16.77,4,2,10.7,1,7.682,0.14,3.75,3.686
8.004,1,1,1,1.891,1,0.263,0.005,0.753,0.876,1.776,1.746,0.553,-0.301,2.291,1.904,10.682,0.392,1,1.411,0,0,1.192,-0.249,1,6,6,59.842,1.299,2,1.824,0.194,0.422,1,-0.139,0.648,10.129,11.197,1.207,1.404,12.374,5,5,74.801,8.531,68.422,124.329,8.336,7.999,3.261,2.557,8.6,1,2.347,16.417,4,5,10.742,1,7.982,0.155,3.627,3.482
7.613,1,1,1,1.893,1,-0.062,-0.031,1.122,1.119,1.776,1.747,0.872,0.081,2.392,1.904,10.75,2.556,1,1.426,0,0,1.226,-0.223,1,6,6,56.103,1.34,0,0.0,0.207,0.406,1,-0.207,0.626,9.751,10.732,1.151,1.304,11.876,1,1,14.96,8.201,14.977,116.037,7.476,6.351,2.634,2.553,1.6,2,1.743,20.359,4,1,10.828,1,7.727,0.156,3.665,3.518
7.764,1,1,1,1.891,1,0.263,0.005,0.753,0.876,1.777,1.746,0.589,-0.04,2.291,1.905,10.682,0.893,1,1.411,0,0,1.157,-0.168,1,6,6,60.228,1.301,2,1.824,0.194,0.416,1,-0.146,0.64,10.124,11.186,1.184,1.174,12.357,5,5,74.801,8.531,67.368,124.329,8.336,7.999,2.978,2.525,8.6,1,2.194,16.253,4,5,10.742,1,7.982,0.155,3.638,3.479
8.071,1,1,1,1.891,1,0.291,0.032,0.742,0.911,1.776,1.746,0.588,-0.041,2.23,1.904,10.653,0.2,1,1.411,0,0,1.118,-0.134,1,6,6,56.441,1.299,2,1.824,0.2,0.416,1,-0.132,0.64,10.122,11.186,1.18,1.163,12.356,5,5,74.801,8.531,67.072,119.718,8.336,7.999,2.77,2.273,9.1,0,2.194,15.314,4,5,10.667,1,7.977,0.145,3.629,3.479
8.409,1,1,1,1.927,1,0.106,0.016,0.854,0.762,1.831,1.805,0.429,-0.042,2.116,1.936,10.767,-0.73,1,1.42,0,0,1.157,-0.148,2,12,12,55.058,1.311,2,8.115,0.375,0.282,1,-0.174,0.437,9.803,10.753,0.793,1.137,11.909,3,3,44.88,8.362,39.239,242.969,8.201,7.999,2.744,2.641,5.1,0,1.896,17.641,4,3,11.563,1,7.805,0.133,3.771,3.685
6.102,5,0,5,2.02,0,-0.213,-0.18,1.245,0.982,1.938,1.915,0.675,0.143,0.765,2.025,11.368,3.182,5,1.547,2,3,0.843,0.156,4,25,31,39.217,1.51,0,0.0,0.781,0.198,0,0.15,0.298,10.925,12.072,0.59,0.825,13.314,0,0,0.0,7.475,0.0,233.598,6.351,4.928,2.346,2.034,0.0,3,1.611,27.223,0,0,9.563,1,8.628,0.031,3.873,3.817
7.276,2,0,2,1.995,0,-0.146,-0.155,1.197,1.088,1.913,1.881,0.385,0.009,1.609,2.014,10.731,3.68,2,1.467,1,3,1.23,-0.184,2,12,12,28.912,1.462,0,0.0,0.48,0.266,0,-0.201,0.419,10.199,11.308,0.726,1.262,12.532,0,0,0.0,7.476,0.0,176.846,6.351,4.808,1.192,1.393,0.0,3,0.771,20.442,5,0,10.28,1,7.973,0.093,3.717,3.62
6.676,3,0,3,1.999,0,-0.142,-0.12,1.244,1.068,1.912,1.891,0.72,0.135,1.558,2.004,11.288,4.861,3,1.503,2,2,0.896,0.086,3,16,18,44.221,1.507,0,0.0,0.516,0.244,1,0.049,0.372,10.83,11.995,0.703,0.924,13.24,0,0,0.0,7.475,0.0,278.241,6.351,4.966,2.232,2.014,0.0,4,1.514,25.992,0,0,9.645,1,8.509,0.103,3.686,3.572
7.854,3,0,3,1.997,0,-0.232,-0.218,1.324,1.093,1.912,1.891,0.609,0.172,0.974,2.002,11.089,2.248,3,1.543,2,2,0.75,0.218,3,16,18,29.89,1.507,0,0.0,0.593,0.253,1,0.149,0.386,10.826,11.994,0.731,0.793,13.238,0,0,0.0,7.475,0.0,227.255,6.543,6.351,1.736,1.296,0.0,2,1.458,23.479,0,0,9.519,1,8.496,0.054,3.661,3.571
4.0,3,0,3,2.001,0,-0.262,-0.221,1.381,0.921,1.913,1.892,0.684,0.112,1.261,2.005,11.301,2.296,3,1.544,2,2,0.992,0.003,3,16,18,50.4,1.507,0,0.0,0.516,0.252,1,-0.025,0.383,10.928,12.086,0.736,1.009,13.317,0,0,0.0,7.475,0.0,277.045,6.351,4.977,2.428,2.279,0.0,2,1.903,27.412,0,0,9.548,1,8.619,0.074,3.716,3.577
6.0,3,0,6,1.999,0,-0.094,-0.118,1.209,1.024,1.912,1.891,0.657,0.14,1.423,2.003,11.241,2.973,3,1.507,2,2,0.905,0.081,3,16,18,42.842,1.507,0,0.0,0.533,0.249,1,0.024,0.379,10.829,11.995,0.722,0.963,13.239,0,0,0.0,7.475,0.0,264.892,6.351,5.052,2.16,1.903,0.0,2,1.514,24.59,0,0,9.567,1,8.504,0.094,3.667,3.571
4.0,2,0,2,1.997,0,-0.245,-0.229,1.317,1.064,1.912,1.891,0.61,0.185,0.975,2.002,11.035,2.249,2,1.535,2,2,0.632,0.33,3,16,18,22.137,1.501,0,0.0,0.615,0.246,1,0.25,0.378,10.774,11.942,0.7,0.721,13.186,0,0,0.0,7.475,0.0,219.197,6.543,6.351,1.305,1.036,0.0,2,1.153,21.852,0,0,9.538,1,8.444,0.057,3.627,3.532
6.562,2,0,2,1.998,0,-0.186,-0.195,1.289,1.064,1.912,1.891,0.653,0.175,1.135,2.003,11.116,2.308,2,1.528,2,2,0.7,0.266,3,16,18,26.243,1.501,0,0.0,0.593,0.247,1,0.198,0.378,10.776,11.943,0.707,0.764,13.188,0,0,0.0,7.475,0.0,231.271,6.351,4.987,1.534,1.217,0.0,2,1.153,22.268,0,0,9.519,1,8.448,0.071,3.631,3.533
7.728,6,0,3,1.998,0,-0.165,-0.208,1.251,1.036,1.912,1.891,0.526,0.156,1.423,2.003,11.219,2.077,3,1.507,2,2,0.827,0.17,3,16,18,37.882,1.507,0,0.0,0.533,0.249,1,0.103,0.379,10.829,11.995,0.722,0.883,13.239,0,0,0.0,7.475,0.0,264.892,6.819,6.351,2.1,1.721,0.0,2,1.514,23.952,0,0,9.567,1,8.504,0.083,3.666,3.571
7.324,3,0,3,1.999,0,-0.154,-0.133,1.259,1.052,1.912,1.891,0.723,0.135,1.423,2.004,11.255,3.725,3,1.51,2,2,0.898,0.082,3,16,18,42.985,1.507,0,0.0,0.533,0.249,1,0.042,0.379,10.829,11.995,0.722,0.923,13.239,0,0,0.0,7.475,0.0,264.892,6.351,4.967,2.198,1.937,0.0,3,1.514,24.888,0,0,9.567,1,8.505,0.092,3.67,3.572
7.579,3,0,3,1.998,0,-0.142,-0.125,1.249,1.077,1.912,1.891,0.692,0.137,1.281,2.003,11.216,2.78,3,1.517,2,2,0.904,0.073,3,16,18,40.564,1.507,0,0.0,0.552,0.253,1,0.028,0.384,10.828,11.995,0.734,0.926,13.239,0,0,0.0,7.475,0.0,251.901,6.351,4.969,2.125,1.785,0.0,2,1.514,24.09,0,0,9.517,1,8.502,0.081,3.665,3.571
7.785,3,0,3,1.998,0,-0.203,-0.187,1.299,1.06,1.912,1.891,0.676,0.142,1.423,2.003,11.244,2.591,3,1.51,2,2,0.86,0.122,3,16,18,40.568,1.507,0,0.0,0.533,0.249,1,0.078,0.379,10.829,11.995,0.722,0.884,13.239,0,0,0.0,7.475,0.0,264.892,6.351,4.989,2.166,1.842,0.0,2,1.514,24.59,1,0,9.567,1,8.505,0.095,3.668,3.572
7.253,3,0,3,1.924,0,-0.168,-0.164,1.317,1.06,1.784,1.746,0.39,0.002,2.232,1.946,10.869,6.446,3,1.489,1,2,1.488,-0.42,1,9,11,60.682,1.357,0,0.0,0.31,0.298,0,-0.395,0.458,10.672,11.836,0.851,1.409,13.069,0,0,0.0,7.476,0.0,85.996,6.351,4.752,2.643,2.705,0.0,4,1.962,27.13,3,0,10.0,1,8.358,0.13,3.724,3.631
6.457,2,1,2,1.939,1,-0.101,-0.116,1.274,1.106,1.792,1.753,0.405,-0.075,2.134,1.953,10.827,4.979,2,1.464,2,2,1.049,-0.067,2,10,12,47.556,1.502,0,0.0,0.345,0.295,1,0.007,0.455,10.696,11.875,0.832,0.923,13.124,0,0,0.0,7.476,0.0,165.049,6.351,4.856,2.151,2.164,0.0,3,1.549,27.091,3,0,10.483,1,8.361,0.119,3.693,3.558
6.485,3,0,3,1.923,0,-0.265,-0.263,1.429,1.06,1.789,1.75,0.383,0.004,2.199,1.942,10.898,3.87,3,1.506,1,2,1.456,-0.393,1,9,11,61.96,1.348,0,0.0,0.3,0.299,0,-0.367,0.458,10.685,11.845,0.857,1.376,13.075,0,0,0.0,7.476,0.0,89.929,6.351,4.756,2.695,2.797,0.0,2,2.073,28.1,4,0,10.033,1,8.382,0.114,3.725,3.632
6.734,3,0,3,1.94,0,-0.142,-0.139,1.305,1.038,1.794,1.754,0.377,0.065,2.1,1.955,10.805,5.269,3,1.487,2,2,0.962,0.004,2,10,12,41.923,1.507,0,0.0,0.357,0.289,0,0.029,0.448,10.705,11.885,0.809,0.882,13.134,0,0,0.0,7.476,0.0,158.509,6.351,4.75,2.121,1.95,0.0,3,1.375,27.51,3,0,10.464,1,8.369,0.106,3.699,3.582
6.686,3,0,3,1.938,0,-0.115,-0.132,1.262,1.059,1.792,1.753,0.37,0.07,2.133,1.953,10.76,5.27,3,1.484,2,2,0.908,0.065,2,10,12,35.316,1.501,0,0.0,0.37,0.279,0,0.102,0.436,10.652,11.833,0.771,0.819,13.085,0,0,0.0,7.476,0.0,152.59,6.351,4.758,1.715,1.688,0.0,3,1.069,26.059,3,0,10.481,1,8.312,0.111,3.687,3.556
6.629,3,0,3,1.912,0,-0.179,-0.224,1.369,1.03,1.778,1.743,0.39,0.009,2.211,1.927,10.727,1.641,3,1.486,0,0,1.543,-0.473,1,6,6,51.652,1.354,0,0.0,0.231,0.393,0,-0.444,0.611,10.447,11.583,1.092,1.452,12.786,0,0,0.0,7.476,0.0,102.565,6.351,4.754,2.129,2.198,0.0,0,1.889,24.122,3,0,10.0,1,8.18,0.131,3.685,3.583
6.594,4,0,4,1.921,0,-0.126,-0.168,1.305,1.067,1.784,1.747,0.376,0.005,2.078,1.94,10.836,3.07,4,1.522,1,2,1.489,-0.427,1,9,11,58.968,1.351,0,0.0,0.321,0.303,0,-0.402,0.465,10.695,11.859,0.865,1.405,13.088,0,0,0.0,7.476,0.0,81.835,6.351,4.754,2.546,2.598,0.0,2,2.021,27.159,3,0,9.929,1,8.381,0.106,3.724,3.631
6.9,3,0,3,1.959,0,-0.152,-0.16,1.297,1.002,1.805,1.754,0.401,0.009,2.618,1.992,10.92,9.428,3,1.447,0,0,1.4,-0.32,1,6,6,64.323,1.407,0,0.0,0.188,0.377,0,-0.298,0.589,10.46,11.585,1.045,1.348,12.792,0,0,0.0,7.476,0.0,131.947,6.351,4.754,2.788,2.944,0.0,6,1.889,29.851,3,0,11.781,1,8.213,0.177,3.756,3.645
6.52,3,0,3,1.912,0,-0.201,-0.22,1.371,0.961,1.771,1.742,0.629,0.225,2.233,1.92,23.68,1.427,3,1.501,0,0,1.426,-0.366,1,6,6,57.441,1.352,0,0.0,0.214,0.414,0,-0.376,0.636,10.507,11.637,1.176,1.389,12.836,0,0,0.0,7.476,0.0,111.605,7.428,6.351,2.234,2.305,0.0,1,1.917,23.937,3,0,9.893,2,8.25,0.127,3.685,3.583
7.039,2,0,2,1.906,0,-0.284,-0.313,1.477,1.004,1.775,1.741,0.388,0.008,2.196,1.92,10.67,0.724,2,1.503,0,0,1.606,-0.556,1,6,6,45.875,1.351,0,0.0,0.24,0.382,0,-0.528,0.598,10.438,11.577,1.048,1.506,12.78,0,0,0.0,7.476,0.0,98.137,6.351,4.757,1.934,1.851,0.0,0,1.861,23.156,3,0,10.04,1,8.168,0.121,3.685,3.583
7.8,3,0,3,1.917,0,-0.179,-0.177,1.334,1.036,1.781,1.745,0.387,0.002,2.174,1.936,10.83,5.185,3,1.499,1,2,1.517,-0.455,1,9,11,57.374,1.351,0,0.0,0.321,0.298,0,-0.429,0.459,10.671,11.836,0.849,1.431,13.068,0,0,0.0,7.476,0.0,82.062,6.351,4.752,2.484,2.513,0.0,3,1.962,26.131,3,0,9.964,1,8.353,0.121,3.724,3.631
5.889,2,0,2,1.914,0,-0.094,-0.141,1.219,1.06,1.792,1.758,0.364,0.116,1.562,1.926,10.821,5.792,2,1.522,2,5,0.88,0.093,2,15,17,35.333,1.501,0,0.0,0.556,0.231,0,0.105,0.359,10.707,11.88,0.642,0.816,13.128,0,0,0.0,7.476,0.0,133.529,6.351,4.762,1.708,1.632,0.0,4,0.962,26.27,3,0,10.37,1,8.381,0.065,3.709,3.589
6.623,3,0,3,1.989,0,-0.301,-0.302,1.423,0.985,1.904,1.874,0.404,0.015,1.803,2.008,10.912,1.473,3,1.487,0,0,1.387,-0.343,2,12,12,62.556,1.355,0,0.0,0.387,0.289,0,-0.316,0.445,10.505,11.618,0.822,1.302,12.822,0,0,0.0,7.476,0.0,242.656,6.351,4.793,2.608,2.859,0.0,0,1.84,27.308,3,0,10.129,1,8.274,0.13,3.78,3.69
6.783,3,0,3,1.998,0,-0.142,-0.125,1.249,1.077,1.912,1.891,0.692,0.137,1.281,2.003,11.216,2.78,3,1.517,2,2,0.904,0.073,3,16,18,40.564,1.507,0,0.0,0.552,0.253,1,0.028,0.384,10.828,11.995,0.734,0.926,13.239,0,0,0.0,7.475,0.0,251.901,6.351,4.969,2.125,1.785,0.0,2,1.514,24.09,0,0,9.517,1,8.502,0.081,3.665,3.571
6.212,3,0,3,1.998,0,-0.176,-0.185,1.297,1.093,1.912,1.891,0.649,0.152,1.132,2.003,11.17,2.307,3,1.529,2,2,0.852,0.119,3,16,18,35.666,1.507,0,0.0,0.571,0.254,1,0.063,0.387,10.827,11.995,0.738,0.878,13.239,0,0,0.0,7.475,0.0,239.329,6.351,4.985,1.979,1.538,0.0,2,1.514,23.911,0,0,9.5,1,8.5,0.068,3.663,3.571
4.0,3,0,3,2.001,0,-0.262,-0.221,1.381,0.921,1.913,1.892,0.684,0.112,1.261,2.005,11.301,2.296,3,1.544,2,2,0.992,0.003,3,16,18,50.4,1.507,0,0.0,0.516,0.252,1,-0.025,0.383,10.928,12.086,0.736,1.009,13.317,0,0,0.0,7.475,0.0,277.045,6.351,4.977,2.428,2.279,0.0,2,1.903,27.412,0,0,9.548,1,8.619,0.074,3.716,3.577
6.0,2,0,2,1.881,0,-0.192,-0.201,1.316,1.054,1.766,1.736,0.356,0.035,1.585,1.894,10.803,3.603,2,1.558,3,3,1.03,-0.057,2,13,15,38.313,1.51,0,0.0,0.481,0.237,0,-0.078,0.367,11.276,12.523,0.662,1.036,13.813,0,0,0.0,7.476,0.0,143.602,6.351,4.76,1.995,1.753,0.0,3,1.465,28.293,3,0,10.407,1,8.807,0.063,3.722,3.625
