pXC50,DECC,nCrs,nCs,Eig02_EA.ed.,SM11_AEA.dm.,Eig02_EA,SM10_AEA.bo.,Eig02_AEA.ed.,SpMin1_Bh.s.,Eta_FL_A,CATS2D_02_LL,C.002,CATS2D_03_LL,X4v,X5v,Eig02_EA.ri.,SpMin2_Bh.s.,Eig02_AEA.ri.,SpMin1_Bh.m.,Eig02_AEA.bo.,Eta_C_A,H.046,ATS4i,nCrt,nCt,ATSC4v,ATS4e,ATS5i,ATSC3p,X3v,C.004,nCq,nCrq,nCsp3,SM05_EA.ri.,SM06_EA.ri.,SM07_EA.ri.,SM08_EA.ri.,SM09_EA.ri.,H.,Mv,NsssCH,C.003,PCR,Eta_L_A,CIC1,SsssCH,ATSC4p,ATSC5v,ATSC2v,IC1,SssssC,Eig03_EA.dm.,NssssC,Eta_betaP_A,SM10_EA.ri.,SpMaxA_EA.ed.,SM03_EA.ed.,SM08_AEA.ed.,SM09_AEA.ed.,SM10_AEA.ed.,ATS4p,Eta_L,nCconj,SM06_AEA.ed.,ATS3e,ATSC2p,C.016,Eta_beta_A
4.097,1.289,0,0,8.658,8.658,2.811,2.811,6.047,1.2,0.28,9,0,5,2.662,1.827,2.799,1.071,3.808,2.035,4.179,0.726,0,4.797,0,0,10.129,4.589,4.779,6.703,3.928,0,0,0,3,6.225,7.658,8.491,9.733,10.737,42.5,0.658,0,0,1.439,0.197,1.815,0.0,7.581,9.327,7.047,3.507,0.0,0.0,0,0.717,11.909,0.474,7.542,16.158,18.011,19.878,3.834,4.524,1,12.506,4.461,5.224,0,1.37
4.097,1.588,4,4,8.464,8.464,2.816,2.816,5.975,1.336,0.241,6,4,3,2.349,1.55,2.752,1.184,3.793,2.02,4.17,0.737,4,4.946,0,0,10.81,4.701,4.704,7.513,3.548,0,0,0,6,5.85,7.304,7.984,9.201,10.07,43.9,0.625,0,0,1.297,0.24,1.918,0.0,7.182,7.157,7.863,3.44,0.0,0.98,0,0.587,11.186,0.39,6.934,15.497,17.275,19.063,3.666,5.528,3,11.986,4.656,5.524,0,1.217
4.097,1.38,0,0,9.464,9.464,2.832,2.832,6.342,1.284,0.227,4,0,2,3.849,2.682,2.667,1.076,3.776,2.008,4.048,0.89,0,4.891,0,0,12.801,4.669,4.78,8.196,5.222,0,0,0,5,5.925,7.332,8.084,9.289,10.215,45.0,0.647,0,0,1.214,0.254,1.782,0.0,10.814,11.201,7.67,3.54,0.0,0.906,0,0.477,11.34,0.483,7.462,16.114,17.974,19.847,3.962,5.591,3,12.448,4.559,6.431,0,1.148
4.097,1.653,0,0,9.479,9.479,2.981,2.981,6.359,1.081,0.298,5,0,4,1.827,1.015,2.752,0.81,3.905,1.994,4.354,0.616,0,4.512,0,0,5.342,4.298,4.363,4.558,2.989,0,0,0,1,5.979,7.425,8.164,9.387,10.301,37.1,0.667,0,0,1.51,0.186,1.391,0.0,4.353,5.097,5.023,3.739,0.0,0.0,0,0.75,11.432,0.417,7.217,15.809,17.62,19.44,3.391,4.094,1,12.234,4.288,4.192,0,1.398
4.097,2.047,0,1,8.122,8.122,2.792,2.792,5.911,1.165,0.255,11,1,6,4.204,2.651,2.684,0.96,3.747,2.042,4.153,0.857,3,4.789,0,0,9.489,4.636,4.75,9.074,5.951,0,0,0,5,6.176,7.581,8.313,9.512,10.423,37.5,0.688,0,0,1.403,0.228,1.505,0.0,9.604,7.467,8.45,4.08,0.0,1.737,0,0.7,11.542,0.345,7.452,16.013,17.824,19.65,3.951,6.851,1,12.448,4.595,8.11,0,1.325
4.192,1.664,0,0,11.484,11.484,3.325,3.325,6.862,1.331,0.265,23,0,19,4.541,3.061,3.242,1.275,4.3,2.164,4.536,0.854,3,5.261,1,1,16.997,5.065,5.119,11.104,5.825,0,0,0,5,6.973,8.369,9.299,10.542,11.616,40.7,0.67,0,0,1.457,0.211,2.135,0.0,13.558,14.245,10.627,3.619,-0.163,0.8,1,0.719,12.811,0.34,8.236,16.811,18.686,20.572,4.31,6.741,4,13.105,4.928,8.454,1,1.359
4.097,1.49,0,0,8.726,8.726,2.718,2.718,6.107,1.134,0.284,12,0,8,2.802,1.773,2.65,1.121,3.696,2.039,4.069,0.73,3,4.873,0,0,12.597,4.651,4.836,7.316,4.0,0,0,0,3,6.165,7.604,8.385,9.624,10.588,46.5,0.64,0,0,1.426,0.197,2.412,0.0,9.091,11.873,9.016,3.014,0.0,0.0,0,0.783,11.751,0.46,7.402,16.023,17.87,19.733,3.929,4.537,1,12.388,4.527,6.464,0,1.391
4.097,1.111,0,1,8.516,8.516,2.65,2.65,6.076,1.213,0.275,9,1,5,2.571,1.512,2.572,1.059,3.623,2.027,4.019,0.731,5,4.569,0,0,8.512,4.405,4.691,6.472,3.51,0,0,0,3,6.095,7.526,8.373,9.616,10.637,41.7,0.67,0,0,1.373,0.205,1.312,0.0,6.955,8.379,6.748,3.858,0.0,0.0,0,0.833,11.815,0.526,7.349,15.974,17.832,19.703,3.809,4.309,1,12.31,4.343,5.152,0,1.429
4.097,1.142,1,1,11.876,11.876,3.359,3.359,6.974,1.268,0.237,11,1,9,4.327,2.935,3.083,1.157,4.294,2.021,4.574,0.891,3,4.966,1,1,13.307,4.763,4.77,9.996,5.711,0,0,0,5,6.635,7.969,8.927,10.136,11.206,43.9,0.657,0,0,1.327,0.228,1.831,0.0,11.681,9.995,8.846,3.526,-0.348,0.0,1,0.696,12.374,0.516,8.204,16.792,18.724,20.665,3.975,5.252,0,12.973,4.634,7.553,0,1.304
4.097,1.955,0,1,7.095,7.095,2.599,2.599,5.391,1.154,0.262,9,1,4,2.51,1.243,2.593,0.946,3.6,2.041,3.921,0.712,3,4.63,0,0,8.952,4.399,4.513,6.851,3.88,0,0,0,3,5.603,7.063,7.618,8.828,9.569,43.6,0.65,0,0,1.355,0.222,1.722,0.0,6.92,7.144,7.443,3.563,0.0,0.564,0,0.659,10.657,0.373,6.605,15.052,16.769,18.498,3.513,4.874,1,11.666,4.397,6.075,0,1.25
4.097,1.699,0,0,9.514,9.514,3.003,3.003,6.257,1.18,0.281,3,0,2,2.752,1.799,2.815,1.089,3.954,2.023,4.406,0.731,0,4.777,0,0,10.17,4.582,4.774,7.199,3.883,0,0,0,3,5.934,7.384,8.061,9.287,10.154,41.9,0.657,0,0,1.442,0.204,1.425,0.0,8.069,10.306,7.242,4.002,0.0,0.657,0,0.68,11.279,0.373,7.322,15.844,17.637,19.442,3.833,5.088,0,12.306,4.527,6.019,1,1.34
4.097,1.327,2,2,9.55,9.55,2.907,2.907,6.287,1.359,0.295,12,2,8,3.425,2.549,2.832,1.097,3.881,2.144,4.323,0.641,2,4.722,0,0,9.224,4.52,4.694,7.249,4.539,0,0,0,2,6.243,7.755,8.533,9.811,10.784,39.5,0.69,0,0,1.547,0.2,2.068,0.0,6.95,9.116,7.028,3.18,0.0,0.0,0,0.87,11.969,0.443,7.621,16.247,18.108,19.981,3.91,4.607,0,12.578,4.526,5.347,0,1.533
4.097,1.982,0,0,8.877,8.877,2.877,2.877,6.092,1.194,0.28,10,0,5,4.599,3.028,2.844,1.076,3.864,2.04,4.233,0.737,0,4.937,0,0,10.274,4.752,4.774,9.794,6.826,0,0,0,3,6.335,7.721,8.556,9.768,10.76,39.1,0.674,0,0,1.398,0.198,1.849,0.0,9.774,10.096,7.465,3.674,0.0,0.657,0,0.768,11.91,0.449,7.915,16.619,18.571,20.543,3.927,5.547,1,12.796,4.6,7.316,0,1.402
4.857,1.068,0,0,9.199,9.199,2.781,2.781,6.241,1.142,0.28,8,0,5,3.048,2.008,2.722,1.061,3.759,2.029,4.165,0.65,3,4.308,0,0,5.685,4.138,4.172,5.946,3.962,0,0,0,1,6.034,7.471,8.3,9.543,10.539,35.7,0.712,0,0,1.364,0.201,1.573,0.0,6.212,5.852,4.847,3.234,0.0,0.0,0,0.806,11.707,0.567,7.33,15.969,17.823,19.688,3.528,3.626,1,12.311,4.136,4.456,0,1.417
4.569,0.741,0,0,8.747,8.747,2.667,2.667,6.188,1.157,0.269,2,0,5,2.135,1.459,2.482,0.613,3.57,1.992,4.09,0.742,0,4.135,0,0,3.556,4.1,4.251,4.249,3.432,0,0,0,2,6.189,7.591,8.532,9.784,10.873,30.8,0.736,0,0,1.295,0.204,1.366,0.0,4.522,5.336,3.433,3.335,0.0,0.0,0,0.639,12.079,0.652,7.585,16.284,18.175,20.077,3.47,3.674,4,12.545,4.021,3.943,0,1.278
4.097,1.967,0,0,10.856,10.856,3.142,3.142,6.702,1.146,0.258,13,0,8,5.794,3.716,2.84,1.086,4.047,2.036,4.499,0.852,0,4.774,0,0,8.503,4.627,4.848,8.802,7.351,0,0,0,3,6.275,7.71,8.494,9.719,10.684,36.2,0.714,0,0,1.566,0.234,1.656,0.0,8.884,9.974,8.046,3.899,0.0,0.0,0,0.767,11.831,0.339,7.791,16.407,18.261,20.127,4.144,7.005,0,12.751,4.599,7.829,0,1.417
4.547,1.705,0,0,11.058,11.058,3.167,3.167,6.775,1.304,0.265,10,0,8,4.551,3.355,3.008,1.148,4.131,2.119,4.619,0.782,0,4.854,0,0,10.814,4.725,4.958,11.166,6.417,0,0,0,3,6.462,7.853,8.709,9.937,10.949,39.6,0.676,0,0,1.453,0.211,1.806,0.0,11.162,12.096,8.775,3.779,0.0,0.86,0,0.776,12.117,0.405,7.976,16.598,18.508,20.432,4.104,6.118,0,12.837,4.712,8.758,0,1.379
4.648,1.335,0,0,8.399,8.399,2.769,2.769,5.943,1.067,0.259,3,0,1,2.715,1.658,2.533,0.716,3.656,1.952,4.128,0.676,0,4.134,0,0,3.386,4.002,4.05,4.299,4.251,0,0,0,2,5.658,7.081,7.784,8.989,9.873,32.1,0.72,0,0,1.305,0.228,0.969,0.0,4.749,4.045,3.855,3.839,0.0,1.058,0,0.711,10.987,0.45,7.018,15.514,17.285,19.063,3.272,4.341,1,12.013,3.946,5.382,0,1.382
4.097,2.508,0,0,9.762,9.762,3.032,3.032,6.38,1.297,0.278,7,0,6,4.134,2.67,2.927,1.118,3.994,2.02,4.33,0.782,0,5.059,0,0,12.691,4.881,5.055,10.066,5.797,0,0,0,4,6.494,7.955,8.708,9.945,10.874,38.5,0.683,0,0,1.45,0.209,2.217,0.0,10.893,13.232,8.512,3.484,0.0,0.8,0,0.688,12.018,0.278,7.708,16.284,18.092,19.909,4.133,6.688,2,12.71,4.865,7.389,0,1.367
4.097,1.282,0,0,9.228,9.228,2.812,2.812,6.259,1.071,0.268,8,0,5,3.277,1.986,2.697,0.907,3.772,1.985,4.201,0.761,0,4.479,0,0,5.734,4.348,4.378,7.815,4.475,0,0,0,1,6.153,7.554,8.367,9.587,10.572,32.4,0.731,0,0,1.342,0.209,1.292,0.0,6.807,5.35,5.016,3.796,0.0,0.95,0,0.696,11.726,0.466,7.526,16.158,18.011,19.876,3.724,4.801,4,12.506,4.339,4.896,1,1.326
4.097,1.682,0,0,11.07,11.07,3.172,3.172,6.777,1.2,0.301,11,0,9,4.124,2.954,3.045,1.126,4.161,2.061,4.536,0.679,0,4.952,0,0,10.508,4.799,4.904,9.715,6.0,0,0,0,1,6.627,8.051,8.897,10.142,11.154,36.7,0.694,0,0,1.482,0.178,2.079,0.0,10.738,10.315,7.663,3.536,0.0,0.0,0,0.871,12.333,0.369,8.042,16.651,18.551,20.466,4.094,5.528,4,12.912,4.718,7.323,1,1.492
4.097,1.5,0,0,9.156,9.156,2.791,2.791,6.243,1.063,0.274,4,0,3,3.379,2.268,2.67,1.047,3.752,1.984,4.15,0.75,0,4.539,0,0,6.569,4.383,4.457,6.665,4.636,0,0,0,0,6.026,7.439,8.168,9.38,10.284,31.4,0.73,0,0,1.344,0.204,1.679,0.0,7.685,5.765,4.677,3.451,0.0,0.906,0,0.708,11.412,0.451,7.526,16.158,18.011,19.879,3.766,4.9,3,12.507,4.38,5.293,0,1.344
4.162,1.049,0,0,8.595,8.595,2.786,2.786,6.032,1.051,0.223,1,0,2,3.482,1.75,2.361,0.586,3.653,1.915,4.149,0.845,0,3.953,0,0,3.353,3.861,4.159,3.637,4.552,0,0,0,2,5.413,6.829,7.479,8.674,9.508,30.8,0.754,0,0,1.335,0.258,1.058,0.0,3.523,5.409,3.202,3.642,0.0,0.86,0,0.583,10.607,0.511,7.05,15.594,17.386,19.186,3.377,4.641,2,12.04,3.838,4.19,0,1.236
4.097,2.369,2,2,9.062,9.062,2.876,2.876,6.145,1.211,0.263,8,2,5,3.682,2.249,2.73,1.185,3.825,2.04,4.153,0.79,0,5.157,0,0,15.663,4.927,5.134,11.462,5.404,0,0,0,7,6.04,7.553,8.14,9.391,10.177,47.4,0.626,0,0,1.414,0.228,2.574,0.0,11.84,16.144,11.77,3.259,0.0,0.8,0,0.667,11.304,0.278,7.345,15.843,17.611,19.388,4.098,6.833,0,12.349,4.905,8.965,0,1.3
4.097,1.85,0,0,10.988,10.988,3.118,3.118,6.763,1.311,0.31,16,0,11,5.377,3.95,3.022,1.189,4.09,2.135,4.575,0.739,3,5.176,0,0,12.288,5.05,5.172,12.113,7.581,0,0,0,1,6.851,8.29,9.171,10.428,11.475,35.6,0.705,0,0,1.48,0.173,2.561,0.0,13.543,12.17,9.103,3.321,0.0,0.0,0,0.921,12.671,0.342,8.33,17.058,19.012,20.983,4.363,6.589,2,13.224,4.923,8.508,0,1.553
4.103,1.651,4,4,8.834,8.834,2.868,2.868,6.084,1.336,0.207,8,4,5,5.506,3.93,2.816,1.233,3.848,1.975,4.224,0.944,4,4.973,0,0,11.918,4.77,4.752,12.065,7.416,0,0,0,6,6.176,7.577,8.436,9.658,10.677,40.5,0.674,0,0,1.291,0.272,1.739,0.0,12.007,9.527,8.149,3.654,0.0,0.0,0,0.6,11.837,0.505,7.867,16.595,18.561,20.544,3.948,6.791,1,12.74,4.707,7.669,0,1.23
4.097,2.163,0,0,9.896,9.896,3.021,3.021,6.443,1.197,0.278,12,0,8,4.389,2.946,2.813,1.079,3.952,2.025,4.396,0.75,3,4.837,0,0,10.319,4.657,4.699,9.54,6.291,0,0,0,2,6.312,7.69,8.484,9.684,10.636,39.1,0.68,0,0,1.471,0.199,1.81,0.0,10.318,7.183,8.074,3.714,0.0,0.0,0,0.804,11.768,0.417,7.818,16.42,18.325,20.246,3.883,5.561,2,12.68,4.587,7.263,0,1.411
4.097,1.647,0,0,11.083,11.083,3.182,3.182,6.78,1.308,0.299,15,0,13,5.696,4.29,3.009,1.208,4.14,2.122,4.628,0.727,0,4.958,0,0,10.707,4.822,4.937,11.752,7.627,0,0,0,0,6.645,8.085,8.915,10.162,11.157,34.0,0.723,0,0,1.647,0.183,2.413,0.0,12.165,11.131,7.636,3.231,0.0,0.0,0,0.924,12.329,0.339,8.162,16.792,18.693,20.606,4.264,6.049,0,13.045,4.793,7.571,0,1.538
4.097,2.095,0,1,7.971,7.971,2.639,2.639,5.862,1.165,0.293,12,1,7,2.064,1.293,2.636,1.112,3.638,2.045,4.029,0.624,0,4.732,0,0,8.297,4.558,4.673,7.305,3.402,0,0,0,3,6.005,7.438,8.084,9.297,10.121,38.1,0.667,0,0,1.314,0.186,1.889,0.0,7.22,7.587,6.837,3.504,0.0,1.986,0,0.75,11.232,0.321,6.957,15.415,17.148,18.89,3.626,4.839,1,11.989,4.557,5.993,0,1.365
4.559,1.147,0,0,6.951,6.951,2.497,2.497,5.344,1.087,0.31,4,0,4,1.269,0.748,2.451,0.757,3.478,2.004,3.918,0.485,0,3.872,0,0,3.324,3.709,3.695,3.912,2.121,0,0,0,0,5.23,6.745,7.299,8.547,9.305,34.8,0.712,0,0,1.44,0.173,1.718,0.0,3.241,2.757,2.999,2.806,0.0,0.0,0,0.867,10.423,0.545,6.447,14.91,16.645,18.39,2.906,2.599,1,11.482,3.867,2.978,0,1.5
4.097,1.592,0,0,8.508,8.508,2.776,2.776,6.008,1.112,0.319,4,0,2,1.462,0.887,2.679,0.775,3.746,2.022,4.145,0.5,0,4.277,0,0,3.665,4.153,4.147,4.293,2.507,0,0,0,1,5.885,7.29,8.013,9.205,10.087,30.0,0.707,0,0,1.356,0.161,1.347,0.0,4.377,3.335,3.194,3.56,0.0,1.338,0,0.857,11.187,0.396,6.94,15.475,17.245,19.022,3.209,3.379,2,11.969,4.151,3.569,0,1.512
