pXC50,nBM,nCsp2,nN,nBT,nAB,Se,nAT,Si,SCBO,O.,nBO,MW,nC,N.,nH,Sp,nHet,Sv,nSK,nDB,C.,nCsp3,nCL,Mi,nO,RBN
6.0,22,18,6,61,22,56.774,57,64.351,46.0,1.8,35,414.56,24,10.5,26,38.103,7,36.111,31,0,42.1,6,0,1.129,1,3
8.77,21,16,6,58,21,55.098,55,62.295,43.5,1.8,33,424.98,22,10.9,25,36.961,8,34.939,30,0,40.0,6,1,1.133,1,7
8.155,23,19,7,71,22,66.97,67,75.889,52.0,3.0,40,485.65,27,10.4,31,44.086,9,41.901,36,1,40.3,8,0,1.133,2,7
7.796,23,19,8,83,22,77.396,78,88.424,57.0,1.3,45,538.77,31,10.3,38,50.921,9,47.788,40,1,39.7,12,0,1.134,1,6
7.319,29,25,8,74,28,69.185,69,77.707,60.0,1.4,45,553.12,30,11.6,29,47.733,10,45.508,40,1,43.5,5,1,1.126,1,5
7.886,23,19,8,83,22,77.396,78,88.424,57.0,1.3,45,538.77,31,10.3,38,50.921,9,47.788,40,1,39.7,12,0,1.134,1,6
6.478,23,19,8,83,22,77.396,78,88.424,57.0,1.3,45,538.77,31,10.3,38,50.921,9,47.788,40,1,39.7,12,0,1.134,1,5
6.102,24,20,7,68,22,63.432,64,72.055,53.0,0.0,39,463.64,28,10.9,29,43.415,7,40.945,35,1,43.8,7,0,1.126,0,6
6.412,33,26,8,83,33,76.629,77,86.593,65.5,1.3,49,570.76,34,10.4,34,52.398,9,49.734,43,0,44.2,8,0,1.125,1,9
6.57,33,26,8,80,33,73.745,74,83.178,64.5,1.4,48,556.73,33,10.8,32,50.637,9,48.208,42,0,44.6,7,0,1.124,1,9
5.0,33,26,8,81,33,75.629,76,85.593,63.5,1.3,47,558.75,33,10.5,34,51.398,9,48.734,42,0,43.4,7,0,1.126,1,10
6.3,21,16,7,58,18,57.378,55,63.377,50.0,5.5,38,507.55,21,12.7,20,36.955,14,36.846,35,3,38.2,5,0,1.152,3,7
5.389,24,20,6,62,23,59.101,59,66.561,48.5,3.4,36,442.57,25,10.2,26,39.557,8,37.826,33,1,42.4,5,0,1.128,2,6
5.731,24,20,6,56,23,53.334,53,59.73,46.5,3.8,34,414.51,23,11.3,22,36.034,8,34.772,31,1,43.4,3,0,1.127,2,6
7.553,30,24,7,73,28,68.811,68,76.282,62.0,2.9,46,608.6,29,10.3,27,48.688,12,46.216,41,2,42.6,5,2,1.122,2,6
7.509,29,25,8,74,28,69.185,69,77.707,60.0,1.4,45,553.12,30,11.6,29,47.733,10,45.508,40,1,43.5,5,1,1.126,1,5
6.491,29,25,7,75,28,71.181,70,79.699,62.0,1.4,47,571.66,31,10.0,28,47.444,11,46.336,42,1,44.3,6,0,1.139,1,5
7.481,23,19,7,81,22,75.294,76,85.926,56.0,1.3,44,523.75,31,9.2,37,49.915,8,46.767,39,1,40.8,12,0,1.131,1,7
7.411,23,19,7,74,22,69.854,70,79.305,53.0,2.9,41,499.68,28,10.0,33,45.847,9,43.428,37,1,40.0,9,0,1.133,2,7
6.971,23,19,7,74,22,69.854,70,79.305,53.0,2.9,41,499.68,28,10.0,33,45.847,9,43.428,37,1,40.0,9,0,1.133,2,7
7.643,29,25,7,73,28,68.087,68,76.474,59.0,2.9,44,519.66,30,10.3,29,46.324,9,44.374,39,1,44.1,5,0,1.125,2,6
6.854,29,25,7,73,28,68.087,68,76.474,59.0,2.9,44,519.66,30,10.3,29,46.324,9,44.374,39,1,44.1,5,0,1.125,2,6
6.975,29,25,7,75,28,71.181,70,79.699,62.0,1.4,47,571.66,31,10.0,28,47.444,11,46.336,42,1,44.3,6,0,1.139,1,5
6.936,23,19,7,77,22,72.738,73,82.72,54.0,2.7,42,513.71,29,9.6,35,47.608,9,44.955,38,1,39.7,10,0,1.133,2,7
7.638,23,19,7,77,22,72.738,73,82.72,54.0,2.7,42,513.71,29,9.6,35,47.608,9,44.955,38,1,39.7,10,0,1.133,2,7
5.319,33,25,8,60,33,55.443,55,61.687,56.5,1.8,40,460.54,26,14.5,20,39.068,9,38.047,35,0,47.3,1,0,1.122,1,6
6.099,29,23,8,57,28,53.767,53,59.631,53.0,1.9,38,470.96,24,15.1,19,37.926,10,36.874,34,1,45.3,1,1,1.125,1,5
7.367,28,22,7,67,27,62.952,63,70.77,54.5,1.6,40,497.68,27,11.1,27,43.756,9,41.32,36,1,42.9,5,0,1.123,1,6
8.699,21,16,5,52,21,48.785,49,55.172,40.5,0.0,30,379.93,21,10.2,22,33.739,6,31.676,27,0,42.9,5,1,1.126,0,5
6.921,28,21,9,63,27,58.429,58,65.601,54.5,1.7,40,465.57,25,15.5,23,39.836,10,38.595,35,1,43.1,4,0,1.131,1,6
7.183,29,24,7,61,28,57.109,57,64.019,53.0,1.8,38,449.56,26,12.3,23,39.586,8,38.079,34,1,45.6,2,0,1.123,1,5
7.523,29,24,7,67,28,62.876,63,70.85,55.0,1.6,40,477.62,28,11.1,27,43.108,8,41.133,36,1,44.4,4,0,1.125,1,6
7.727,29,24,7,70,28,65.76,66,74.265,56.0,1.5,41,491.65,29,10.6,29,44.87,8,42.659,37,1,43.9,5,0,1.125,1,6
5.0,13,13,1,35,12,33.585,33,36.446,30.0,3.0,23,340.64,16,3.0,12,25.364,5,23.906,21,1,48.5,3,3,1.104,1,2
5.347,29,24,6,63,28,60.756,59,67.165,57.0,3.4,42,518.54,27,10.2,21,40.608,11,40.449,38,1,45.8,3,0,1.138,2,6
7.464,29,24,7,61,28,58.647,57,65.038,56.0,1.8,41,503.53,26,12.3,20,39.398,11,39.229,37,1,45.6,2,0,1.141,1,5
6.483,29,24,8,69,28,66.516,65,74.367,59.0,1.5,44,546.61,28,12.3,25,43.927,12,43.304,40,1,43.1,4,0,1.144,1,8
6.64,29,24,7,68,28,65.741,64,73.078,59.0,3.1,44,547.59,28,10.9,24,43.375,12,42.997,40,1,43.8,4,0,1.142,2,8
7.16,29,24,7,58,28,54.549,54,60.548,53.0,1.9,38,469.97,25,13.0,20,38.682,9,37.38,34,1,46.3,1,1,1.121,1,5
7.549,29,24,7,62,28,59.461,58,65.908,56.0,3.4,41,501.54,26,12.1,21,39.915,11,39.56,37,1,44.8,2,0,1.136,2,6
7.326,29,24,7,58,28,54.454,54,60.446,53.0,1.9,38,514.42,25,13.0,20,39.176,9,37.577,34,1,46.3,1,0,1.119,1,5
6.575,28,21,9,70,27,66.08,66,74.846,55.5,1.5,41,495.65,27,13.6,29,44.12,10,42.175,37,1,40.9,6,0,1.134,1,6
7.444,21,16,5,63,21,59.534,59,66.631,47.5,5.1,37,468.0,24,8.5,26,39.625,9,37.874,33,0,40.7,8,1,1.129,3,7
5.752,29,24,6,59,28,56.869,55,62.484,56.0,1.8,41,522.95,26,10.9,18,39.25,11,39.035,37,1,47.3,2,1,1.136,1,5
5.0,13,13,1,35,12,33.262,33,36.502,29.0,3.0,22,306.2,16,3.0,13,24.506,4,23.079,20,1,48.5,3,2,1.106,1,2
6.276,24,21,3,54,23,50.098,50,55.781,46.5,2.0,34,397.48,25,6.0,20,35.262,5,33.904,30,1,50.0,4,0,1.116,1,4
9.0,21,16,6,56,21,51.887,52,58.671,43.5,0.0,33,406.96,22,11.5,23,35.745,7,33.697,29,0,42.3,6,1,1.128,0,3
4.301,29,24,5,54,28,51.56,50,56.626,53.0,2.0,38,459.46,25,10.0,16,35.625,9,35.659,34,1,50.0,1,0,1.133,1,4
5.0,29,24,4,53,28,50.534,49,55.048,53.0,2.0,38,476.51,25,8.2,15,36.267,9,35.825,34,1,51.0,1,0,1.123,1,4
7.4,34,28,7,78,33,72.163,72,80.394,66.5,2.8,49,587.76,33,9.7,29,50.972,10,48.561,43,1,45.8,5,0,1.117,2,8
7.425,34,28,7,78,33,72.163,72,80.394,66.5,2.8,49,587.76,33,9.7,29,50.972,10,48.561,43,1,45.8,5,0,1.117,2,8
4.398,20,19,4,56,17,53.04,52,58.828,47.5,3.8,36,434.48,24,7.7,20,35.659,8,35.023,32,3,46.2,5,0,1.131,2,4
8.523,21,16,6,59,21,54.771,55,62.086,44.5,0.0,34,420.99,23,10.9,25,37.506,7,35.224,30,0,41.8,7,1,1.129,0,3
4.398,20,19,4,56,17,52.527,52,58.489,46.5,3.8,35,416.49,24,7.7,21,35.722,7,34.64,31,3,46.2,5,0,1.125,2,4
5.0,18,14,8,65,17,61.305,61,69.557,46.5,3.3,37,448.59,23,13.1,28,39.569,10,37.869,33,1,37.7,9,0,1.14,2,5
4.301,29,25,5,55,28,52.887,51,57.836,54.0,3.9,39,475.46,25,9.8,16,36.08,10,36.374,35,1,49.0,0,0,1.134,2,6
8.398,21,16,4,40,21,37.804,37,41.432,37.5,5.4,27,340.79,17,10.8,13,26.597,7,25.977,24,0,45.9,1,1,1.12,2,2
8.046,21,16,6,57,21,53.771,54,61.086,42.5,0.0,32,408.98,22,11.1,25,36.506,7,34.224,29,0,40.7,6,1,1.131,0,7
8.046,22,17,6,55,21,51.331,51,57.465,45.5,2.0,34,420.94,22,11.8,21,35.438,8,33.885,30,1,43.1,5,1,1.127,1,3
8.523,21,16,6,53,21,49.003,49,55.255,42.5,0.0,32,392.93,21,12.2,21,33.983,7,32.17,28,0,42.9,5,1,1.128,0,3
8.222,21,16,6,54,21,50.887,51,57.671,41.5,0.0,31,394.95,21,11.8,23,34.745,7,32.697,28,0,41.2,5,1,1.131,0,6
8.523,22,17,5,45,21,42.462,42,47.136,40.5,2.4,29,365.85,19,11.9,16,29.909,7,28.81,26,1,45.2,2,1,1.122,1,3
8.046,21,16,6,59,21,54.771,55,62.086,44.5,0.0,34,420.99,23,10.9,25,37.506,7,35.224,30,0,41.8,7,1,1.129,0,3
8.0,21,16,6,54,21,50.887,51,57.671,41.5,0.0,31,394.95,21,11.8,23,34.745,7,32.697,28,0,41.2,5,1,1.131,0,6
5.959,18,15,4,45,18,43.574,43,48.528,36.0,7.0,27,338.4,18,9.3,18,28.716,7,27.918,25,0,41.9,3,0,1.129,3,6
5.658,18,15,6,66,18,63.196,63,71.6,45.0,4.8,36,450.6,24,9.5,30,40.534,9,38.594,33,0,38.1,9,0,1.137,3,8
5.921,18,15,6,55,18,53.545,53,60.355,40.0,5.7,31,396.5,20,11.3,24,34.25,9,33.014,29,0,37.7,5,0,1.139,3,9
5.602,18,15,4,46,16,43.894,43,48.206,40.0,4.7,30,403.29,19,9.3,16,30.977,8,29.858,27,2,44.2,4,2,1.121,2,2
6.824,21,16,4,42,21,39.36,39,43.638,37.5,2.6,27,338.82,18,10.3,15,27.904,6,26.789,24,0,46.2,2,1,1.119,1,2
6.222,18,15,4,43,16,41.051,40,44.428,40.0,5.0,30,557.05,18,10.0,13,31.557,9,29.752,27,2,45.0,3,0,1.111,2,2
4.398,18,15,4,43,16,40.687,40,44.847,38.0,5.0,28,354.82,18,10.0,15,28.358,7,27.504,25,2,45.0,3,1,1.121,2,2
4.252,14,15,2,37,12,35.487,35,39.116,31.0,8.6,23,282.32,16,5.7,14,23.943,5,23.348,21,2,45.7,1,0,1.118,3,2
4.398,18,15,4,43,16,40.687,40,44.847,38.0,5.0,28,354.82,18,10.0,15,28.358,7,27.504,25,2,45.0,3,1,1.121,2,2
4.745,14,15,3,36,12,34.705,34,38.199,31.0,8.8,23,283.31,15,8.8,13,23.188,6,22.843,21,2,44.1,0,0,1.124,3,1
6.114,18,15,4,46,16,43.571,43,48.262,39.0,4.7,29,368.85,19,9.3,17,30.12,7,29.03,26,2,44.2,4,1,1.122,2,2
6.337,18,15,4,49,16,46.131,46,51.734,39.0,4.3,29,348.44,20,8.7,20,31.023,6,29.73,26,2,43.5,5,0,1.125,2,2
5.229,18,15,4,49,16,46.778,46,51.622,41.0,4.3,31,417.32,20,8.7,18,32.739,8,31.385,28,2,43.5,5,2,1.122,2,4
5.0,17,14,3,42,16,38.818,39,43.611,34.0,2.6,25,291.38,18,7.7,17,26.801,4,25.467,22,1,46.2,4,0,1.118,1,4
4.699,15,16,1,44,12,44.462,43,48.286,36.0,16.3,27,359.36,18,2.3,17,28.278,8,28.239,26,3,41.9,2,0,1.123,7,6
5.959,17,14,4,44,16,41.567,41,45.997,37.0,2.4,28,375.28,18,9.8,16,29.523,7,28.143,25,1,43.9,4,2,1.122,1,2
4.398,18,15,4,43,16,41.011,40,44.791,39.0,5.0,29,389.26,18,10.0,14,29.216,8,28.331,26,2,45.0,3,2,1.12,2,2
4.101,14,14,3,88,12,84.247,85,95.972,51.0,4.7,43,567.87,32,3.5,45,54.472,8,50.173,40,2,37.6,18,0,1.129,4,10
5.6,17,14,2,31,16,29.698,29,31.838,31.0,6.9,22,349.22,14,6.9,9,22.966,6,21.792,20,1,48.3,0,0,1.098,2,3
7.456,23,19,6,73,22,69.08,69,78.016,53.0,4.3,41,500.66,28,8.7,32,45.296,9,43.121,37,1,40.6,9,0,1.131,3,5
5.7,18,16,6,65,18,62.076,61,69.935,48.0,0.0,39,503.02,25,9.8,26,40.841,10,39.427,35,0,41.0,9,1,1.146,0,4
5.6,18,16,6,62,18,58.68,58,66.18,46.0,0.0,37,471.0,24,10.3,25,39.142,9,37.517,33,0,41.4,8,1,1.141,0,4
7.569,21,16,4,45,21,42.243,42,47.053,38.5,2.4,28,352.85,19,9.5,17,29.665,6,28.316,25,0,45.2,3,1,1.12,1,2
4.959,18,15,4,43,16,41.389,40,45.583,39.0,5.0,29,356.36,18,10.0,14,27.375,8,27.443,26,2,45.0,3,0,1.14,2,2
6.244,19,17,5,62,17,60.047,59,66.971,47.5,5.1,37,485.99,24,8.5,25,39.563,10,38.257,34,2,40.7,7,1,1.135,3,8
4.009,14,14,2,48,12,48.447,47,53.199,36.0,14.9,28,376.4,18,4.3,20,30.046,9,29.788,27,2,38.3,4,0,1.132,7,7
4.6,17,14,3,34,17,32.051,32,35.78,29.5,3.1,21,251.31,15,9.4,13,22.279,4,21.413,19,0,46.9,1,0,1.118,1,3
5.6,23,18,6,50,22,47.894,47,53.109,44.0,6.4,32,390.44,20,12.8,18,31.966,9,31.434,29,1,42.6,2,0,1.13,3,6
5.222,20,17,2,37,17,36.16,35,38.752,37.5,11.4,26,387.2,17,5.7,11,25.989,7,25.561,24,3,48.6,0,0,1.107,4,3
5.337,17,19,3,40,12,38.8,37,41.268,42.0,2.7,31,436.28,19,8.1,9,29.517,9,29.022,28,5,51.4,0,2,1.115,1,3
5.222,22,22,2,57,17,55.196,54,59.91,50.5,11.1,37,476.54,25,3.7,20,38.239,9,37.26,34,5,46.3,3,0,1.109,6,6
4.921,21,21,2,45,17,43.404,42,46.585,44.5,9.5,32,408.43,21,4.8,13,30.983,8,30.633,29,4,50.0,0,0,1.109,4,4
5.716,26,24,17,206,11,205.039,203,232.595,123.5,7.9,103,1422.93,66,8.4,103,124.757,34,118.64,100,15,32.5,42,0,1.146,16,31
5.168,7,7,2,30,6,30.814,30,34.325,20.0,13.3,16,226.26,10,6.7,14,18.398,6,18.063,16,1,33.3,3,0,1.144,4,4
7.0,17,15,3,43,17,40.658,40,45.16,35.5,5.0,27,325.37,18,7.5,16,27.193,6,26.565,24,0,45.0,3,0,1.129,2,4
