pXC50,Eig10_AEA.bo.,Eig10_EA.bo.,Eig09_EA.bo.,Eig04_AEA.ri.,Eig09_EA,SM03_AEA.dm.,Eig10_EA,SM04_AEA.dm.,NaasC,Eig04_EA.ri.,CATS2D_03_DA,Eig09_AEA.bo.,nCb.,P_VSA_LogP_3,SaasC,Eig09_EA.ed.,SM04_AEA.ri.,Eig04_EA.ed.,SM13_AEA.dm.,Eig12_AEA.dm.,Eig07_AEA.ri.,Eig07_EA.ri.,Eig08_EA.ri.,Chi1_AEA.bo.,Chi1_AEA.dm.,Chi1_AEA.ed.,Chi1_AEA.ri.,Chi1_EA,Chi1_EA.ri.,Eig06_AEA.bo.,Eig06_EA.ri.,Eig07_EA.bo.,Eig08_AEA.bo.,Eig08_EA.bo.,Eig09_EA.ri.,Eig11_EA.ed.,SM06_AEA.ri.,SpMaxA_AEA.bo.,SpMaxA_AEA.ed.,SpMaxA_AEA.ri.,SpMaxA_EA,TPC,Wap,X2,SpMax6_Bh.m.,CATS2D_04_LL,Eig06_EA.bo.,Eig10_AEA.ed.,Eig06_EA,SM14_AEA.bo.,ATS5v,ATS6v,BBI,BID,CATS2D_03_LL,CID,Eig05_AEA.ri.,Eig05_EA,Eig13_AEA.bo.,Eig13_AEA.ed.,Eig13_EA.bo.,Eig13_EA.ed.
4.0,1.467,0.257,0.41,3.173,0.38,0.38,0.225,0.225,4,2.113,0,1.495,4,18.952,0.928,0.517,0.517,5.314,5.314,0.639,1.862,0.829,0.711,11.125,11.125,11.125,11.125,11.125,11.916,2.894,1.419,1.137,2.024,0.943,0.319,-0.089,-0.089,0.194,0.284,0.177,0.135,6.151,2840.0,9.283,3.03,0,1.975,2.637,1.571,1.571,3.664,3.579,30,3.188,1,3.825,2.83,1.862,0.749,1.952,-0.802,-1.436
7.237,2.598,1.595,1.768,3.241,1.395,1.395,1.197,1.197,7,2.22,0,2.684,4,132.667,5.323,2.99,2.99,6.347,6.347,1.0,2.604,1.577,1.516,16.874,16.874,16.874,16.874,16.874,17.178,3.199,1.759,2.164,2.954,2.117,1.371,2.33,2.33,0.135,0.199,0.124,0.095,7.663,21824.0,13.096,3.259,8,2.467,3.559,1.812,1.812,4.073,4.118,45,3.472,9,4.172,3.127,2.162,2.383,3.247,1.325,2.136
7.022,2.761,1.877,2.164,3.508,1.524,1.524,1.299,1.299,9,2.503,1,2.967,6,170.572,6.993,3.42,3.42,7.796,7.796,1.185,2.871,1.855,1.636,18.851,18.851,18.851,18.851,18.851,19.148,3.517,2.066,2.58,3.112,2.378,1.516,2.817,2.817,0.121,0.179,0.111,0.085,8.221,44361.0,14.731,3.444,14,2.729,3.827,2.104,2.104,4.252,4.281,52,3.561,19,4.272,3.252,2.282,2.5,3.472,1.5,2.329
6.745,1.391,0.223,0.576,2.746,0.513,0.513,0.203,0.203,0,1.745,0,1.707,0,75.81,0.0,0.951,0.951,3.463,3.463,0.24,2.091,1.09,0.811,10.432,10.432,10.432,10.432,10.432,10.437,2.62,1.343,1.208,1.957,0.914,0.513,-0.203,-0.203,0.169,0.222,0.154,0.106,5.537,1752.0,7.839,3.137,15,1.579,2.151,1.343,1.343,3.519,3.441,21,3.142,16,3.776,2.564,1.564,0.649,1.276,-0.826,-1.372
6.006,2.761,1.877,2.164,3.499,1.524,1.524,1.299,1.299,8,2.476,1,2.967,6,180.049,7.292,3.42,3.42,7.796,7.796,1.187,2.867,1.847,1.63,18.851,18.851,18.851,18.851,18.851,19.231,3.517,2.067,2.58,3.112,2.378,1.513,2.817,2.817,0.121,0.179,0.111,0.085,8.221,44361.0,14.731,3.444,18,2.729,3.827,2.104,2.104,4.294,4.314,52,3.561,21,4.272,3.252,2.282,2.5,3.472,1.5,2.329
7.886,2.772,1.895,2.323,3.54,1.626,1.626,1.306,1.306,9,2.494,1,3.077,7,170.572,7.702,4.027,4.027,7.837,7.837,1.197,3.025,1.914,1.702,19.317,19.317,19.317,19.317,19.317,19.973,3.551,2.083,2.688,3.222,2.499,1.597,2.898,2.898,0.118,0.174,0.108,0.083,8.296,48324.0,15.353,3.445,18,2.795,3.918,2.204,2.204,4.303,4.333,54,3.589,23,4.298,3.269,2.311,2.5,3.472,1.5,2.422
8.155,2.758,1.871,2.247,3.55,1.58,1.58,1.298,1.298,9,2.5,1,3.026,6,153.883,6.972,4.028,4.028,7.847,7.847,1.187,3.025,1.913,1.697,18.817,18.817,18.817,18.817,18.817,19.473,3.552,2.084,2.688,3.214,2.491,1.537,2.882,2.882,0.121,0.179,0.111,0.085,8.22,43980.0,15.0,3.445,14,2.795,3.914,2.206,2.206,4.25,4.257,53,3.561,19,4.268,3.272,2.317,2.5,3.472,1.5,2.422
8.301,2.758,1.871,2.247,3.511,1.58,1.58,1.298,1.298,9,2.398,1,3.026,6,149.793,7.856,4.028,4.028,7.847,7.847,1.187,3.024,1.893,1.692,18.817,18.817,18.817,18.817,18.817,19.801,3.552,2.053,2.688,3.214,2.491,1.498,2.882,2.882,0.121,0.179,0.111,0.085,8.22,43980.0,15.0,3.445,14,2.795,3.914,2.206,2.206,4.27,4.287,53,3.561,20,4.268,3.258,2.317,2.5,3.472,1.5,2.422
9.0,2.765,1.875,2.247,3.524,1.58,1.58,1.31,1.31,9,2.447,1,3.026,6,149.793,7.842,4.035,4.035,7.847,7.847,1.195,3.036,1.894,1.692,19.275,19.275,19.275,19.275,19.275,20.282,3.674,2.079,2.755,3.214,2.494,1.498,2.896,2.896,0.118,0.174,0.108,0.083,8.285,47760.0,15.486,3.513,16,2.981,3.915,2.264,2.264,4.319,4.336,55,3.589,20,4.294,3.457,2.482,2.5,3.513,1.5,2.437
8.222,2.769,1.877,2.247,3.526,1.58,1.58,1.329,1.329,9,2.461,1,3.026,6,149.793,7.884,4.035,4.035,7.848,7.848,1.195,3.037,1.895,1.692,19.713,19.713,19.713,19.713,19.713,20.715,3.678,2.081,2.757,3.214,2.494,1.498,2.904,2.904,0.115,0.17,0.105,0.081,8.347,51791.0,15.677,3.543,16,3.011,3.915,2.266,2.266,4.366,4.383,56,3.616,20,4.321,3.471,2.498,2.5,3.577,1.5,2.543
9.0,2.815,1.89,2.247,3.537,1.581,1.581,1.377,1.377,9,2.485,1,3.026,6,149.793,7.807,4.042,4.042,7.935,7.935,1.195,3.04,1.895,1.692,19.756,19.756,19.756,19.756,19.756,20.766,3.687,2.085,2.763,3.214,2.496,1.498,2.928,2.928,0.115,0.181,0.108,0.084,8.347,51542.0,16.376,3.559,18,3.19,4.222,2.272,2.272,4.367,4.383,58,3.616,20,4.317,3.496,2.538,2.5,3.581,1.5,2.543
5.347,2.168,0.987,1.071,2.953,0.731,0.731,0.668,0.668,3,1.885,0,2.255,3,69.885,-1.331,1.745,1.745,5.683,5.683,0.122,2.051,1.038,0.757,11.302,11.302,11.302,11.302,11.302,12.063,3.094,1.47,1.619,2.363,1.265,0.666,-0.739,-0.739,0.22,0.339,0.197,0.157,6.759,6459.0,9.696,2.883,1,2.328,3.283,1.549,1.549,3.435,3.274,35,3.106,2,3.771,2.773,1.801,0.644,2.365,-1.209,-2.276
5.409,0.98,-0.408,0.48,3.14,0.427,0.427,-0.331,-0.331,5,2.058,0,1.583,2,47.381,-0.761,0.694,0.694,6.271,6.271,-0.006,2.0,1.0,0.714,10.801,10.801,10.801,10.801,10.801,11.88,2.769,1.222,1.5,1.956,0.89,0.372,-1.025,-1.025,0.204,0.324,0.19,0.151,6.332,4017.0,9.614,2.687,0,1.847,2.741,1.425,1.425,3.228,3.075,31,3.102,2,3.757,2.856,1.938,0.5,2.0,-1.0,-3.0
4.0,2.5,1.5,1.5,3.377,1.0,1.0,1.0,1.0,6,2.233,0,2.5,3,94.762,0.76,2.275,2.275,6.881,6.881,0.51,2.303,1.227,1.172,13.362,13.362,13.362,13.362,13.362,14.25,3.234,1.75,1.849,2.645,1.712,1.0,1.568,1.568,0.166,0.264,0.155,0.123,7.01,10340.0,11.497,2.81,10,2.513,3.247,1.799,1.799,3.552,3.403,38,3.266,14,3.946,2.901,1.974,0.934,2.569,-0.508,-1.015
5.0,2.069,0.87,1.069,3.194,0.728,0.728,0.632,0.632,3,2.098,0,2.254,3,69.885,0.207,1.742,1.742,6.702,6.702,0.404,2.188,1.158,0.729,11.74,11.74,11.74,11.74,11.74,12.584,3.055,1.498,1.827,2.359,1.25,0.642,0.569,0.569,0.21,0.325,0.189,0.15,6.871,7468.0,9.962,2.932,1,2.31,3.23,1.537,1.537,3.555,3.405,36,3.148,3,3.816,2.724,1.75,0.704,2.453,-1.13,-2.0
5.824,2.203,1.016,1.074,2.917,0.732,0.732,0.673,0.673,3,1.903,0,2.257,2,69.885,0.465,1.757,1.757,5.928,5.928,-0.089,2.156,1.15,0.813,11.313,11.313,11.313,11.313,11.313,11.964,3.094,1.465,1.724,2.384,1.315,0.676,-1.348,-1.348,0.22,0.339,0.198,0.157,6.739,6223.0,9.698,2.83,3,2.326,3.283,1.548,1.548,3.568,3.416,35,3.106,5,3.771,2.767,1.792,0.693,2.293,-1.192,-2.034
4.921,2.044,0.813,1.475,3.037,1.0,1.0,0.55,0.55,3,1.823,0,2.531,5,90.665,0.352,2.303,2.303,6.13,6.13,0.232,2.273,1.233,1.008,11.812,11.812,11.812,11.812,11.812,12.476,3.065,1.533,1.891,2.615,1.616,0.994,-0.938,-0.938,0.21,0.325,0.189,0.15,6.858,7457.0,10.146,3.113,2,2.337,3.236,1.56,1.56,3.595,3.41,36,3.148,7,3.818,2.771,1.779,0.923,2.373,-1.155,-2.0
4.0,0.884,-0.56,-0.464,2.91,-0.364,-0.364,-0.45,-0.45,4,1.839,0,0.979,1,56.857,-0.826,-0.944,-0.944,5.426,5.426,-0.135,2.0,1.0,0.596,9.907,9.907,9.907,9.907,9.907,10.694,2.765,1.221,1.5,1.823,0.716,-0.333,-2.002,-2.002,0.224,0.356,0.209,0.166,6.098,2941.0,8.823,2.687,4,1.844,2.444,1.408,1.408,3.162,2.995,28,3.009,7,3.662,2.484,1.5,0.083,2.0,-1.0,-3.0
4.602,0.98,-0.408,0.48,3.145,0.427,0.427,-0.331,-0.331,5,2.065,0,1.583,2,47.381,-0.247,0.694,0.694,6.271,6.271,0.02,2.0,1.0,0.74,10.801,10.801,10.801,10.801,10.801,11.779,2.769,1.225,1.5,1.956,0.89,0.379,-1.025,-1.025,0.204,0.324,0.19,0.151,6.332,4017.0,9.614,2.687,3,1.847,2.741,1.425,1.425,3.317,3.13,31,3.102,6,3.757,2.874,1.938,0.5,2.0,-1.0,-3.0
4.432,0.953,-0.495,0.516,2.939,0.431,0.431,-0.391,-0.391,3,1.872,2,1.739,0,9.476,-2.485,1.001,1.001,5.48,5.48,0.043,2.111,1.099,0.983,10.868,10.868,10.868,10.868,10.868,11.878,2.766,1.227,1.197,2.0,1.0,0.411,-1.566,-1.566,0.204,0.324,0.19,0.151,6.246,3595.0,9.694,2.866,0,1.84,2.839,1.426,1.426,3.257,3.098,31,3.102,0,3.755,2.762,1.774,0.195,2.0,-1.0,-2.347
6.222,0.98,-0.408,0.48,3.13,0.427,0.427,-0.331,-0.331,5,2.042,0,1.583,2,47.381,-0.419,0.694,0.694,6.271,6.271,0.51,2.0,1.0,0.657,10.801,10.801,10.801,10.801,10.801,12.106,2.769,1.214,1.5,1.956,0.89,0.353,-1.025,-1.025,0.204,0.324,0.19,0.151,6.332,4017.0,9.614,2.687,3,1.847,2.741,1.425,1.425,3.241,3.04,31,3.102,4,3.757,2.819,1.938,0.5,2.0,-1.0,-3.0
5.398,0.944,-0.5,0.087,3.13,0.074,0.074,-0.395,-0.395,5,1.974,0,1.312,2,47.381,-0.739,0.167,0.167,6.117,6.117,-0.056,2.022,1.003,1.0,10.851,10.851,10.851,10.851,10.851,12.075,2.799,1.258,1.5,2.391,1.368,0.058,-1.593,-1.593,0.204,0.324,0.19,0.152,6.292,3648.0,9.974,2.687,1,1.882,2.778,1.47,1.47,3.371,3.296,32,3.103,4,3.752,2.9,1.991,0.471,2.0,-1.0,-3.0
4.921,2.199,1.048,1.475,3.024,1.0,1.0,0.728,0.728,3,1.978,0,2.53,5,90.665,0.497,2.303,2.303,6.381,6.381,0.168,2.239,1.228,0.994,11.796,11.796,11.796,11.796,11.796,12.137,3.048,1.542,1.813,2.551,1.538,0.977,-0.692,-0.692,0.21,0.325,0.189,0.15,6.858,7455.0,10.04,2.989,2,2.322,3.305,1.548,1.548,3.643,3.463,36,3.149,8,3.818,2.736,1.734,0.923,2.366,-1.193,-2.0
5.886,2.062,0.827,1.069,3.155,0.728,0.728,0.554,0.554,3,2.143,0,2.254,3,69.885,0.574,1.743,1.743,5.888,5.888,-0.054,2.124,1.11,0.742,11.312,11.312,11.312,11.312,11.312,11.967,3.081,1.464,1.718,2.365,1.266,0.645,-0.863,-0.863,0.22,0.339,0.197,0.157,6.759,6461.0,9.793,2.816,2,2.318,3.238,1.541,1.541,3.519,3.413,35,3.105,5,3.771,2.757,1.782,0.625,2.375,-1.289,-2.573
6.097,1.468,0.274,1.041,3.142,0.831,0.831,0.233,0.233,0,2.088,0,2.147,4,75.81,0.0,1.958,1.958,5.181,5.181,-0.245,2.31,1.306,1.0,10.903,10.903,10.903,10.903,10.903,11.085,2.817,1.421,1.589,2.5,1.5,0.813,-1.094,-1.094,0.219,0.32,0.196,0.152,6.845,7620.0,8.566,2.876,11,1.976,2.672,1.431,1.431,3.597,3.451,30,3.058,9,3.743,2.513,1.514,0.609,2.0,-1.057,-1.894
5.027,0.912,-0.679,0.39,3.042,0.309,0.309,-0.516,-0.516,0,1.997,0,1.637,4,75.81,0.0,0.706,0.706,5.119,5.119,-0.705,2.0,1.0,0.977,9.903,9.903,9.903,9.903,9.903,10.083,2.817,1.306,1.5,2.327,1.264,0.303,-1.754,-1.754,0.241,0.352,0.216,0.167,6.675,5871.0,7.859,2.619,11,1.976,2.361,1.317,1.317,3.469,3.273,28,2.963,9,3.643,2.497,1.498,0.5,2.0,-1.39,-2.213
5.328,2.062,0.827,1.069,3.096,0.728,0.728,0.554,0.554,3,1.998,0,2.254,3,69.885,-1.142,1.743,1.743,5.888,5.888,0.142,2.118,1.101,0.74,11.312,11.312,11.312,11.312,11.312,12.089,3.081,1.464,1.718,2.365,1.266,0.644,-0.863,-0.863,0.22,0.339,0.197,0.157,6.759,6461.0,9.793,2.788,0,2.318,3.238,1.541,1.541,3.435,3.288,35,3.105,3,3.771,2.756,1.782,0.625,2.375,-1.289,-2.573
5.538,0.936,-0.503,-0.154,3.021,-0.127,-0.127,-0.399,-0.399,5,1.848,0,1.157,2,47.381,-0.904,-0.289,-0.289,5.732,5.732,-0.056,2.0,1.0,0.629,10.373,10.373,10.373,10.373,10.373,11.538,2.768,1.221,1.5,1.894,0.81,-0.093,-1.75,-1.75,0.213,0.339,0.199,0.159,6.221,3450.0,9.445,2.687,1,1.847,2.518,1.424,1.424,3.095,2.992,30,3.057,4,3.708,2.835,1.923,0.161,2.0,-1.0,-3.0
4.0,2.53,1.475,1.523,3.289,1.0,1.0,1.0,1.0,3,2.279,0,2.55,4,90.665,-0.674,2.573,2.573,7.146,7.146,0.456,2.429,1.428,1.176,12.797,12.797,12.797,12.797,12.797,13.097,3.123,1.551,2.075,2.695,1.762,0.995,1.429,1.429,0.195,0.3,0.175,0.139,7.017,8864.0,10.982,3.018,1,2.402,3.466,1.599,1.599,3.782,3.64,39,3.23,6,3.9,2.811,1.822,0.923,2.531,-1.072,-2.0
4.328,0.92,-0.506,-0.154,2.928,-0.127,-0.127,-0.403,-0.403,5,1.795,0,1.156,2,47.381,3.008,-0.289,-0.289,5.618,5.618,-0.694,1.631,0.64,0.423,9.326,9.326,9.326,9.326,9.326,10.009,2.5,1.0,0.817,1.584,0.483,-0.093,-1.613,-1.613,0.22,0.302,0.197,0.148,6.016,2694.0,7.656,2.687,1,1.5,2.164,1.0,1.0,3.134,3.048,25,2.959,5,3.616,2.826,1.918,0.154,1.565,-1.5,-3.0
4.523,2.044,0.813,1.475,3.153,1.0,1.0,0.55,0.55,3,2.129,0,2.531,5,90.665,0.561,2.303,2.303,6.13,6.13,0.168,2.287,1.272,1.023,11.812,11.812,11.812,11.812,11.812,12.154,3.065,1.533,1.891,2.615,1.616,0.994,-0.938,-0.938,0.21,0.325,0.189,0.15,6.858,7457.0,10.146,2.85,2,2.337,3.236,1.56,1.56,3.627,3.448,36,3.148,8,3.818,2.779,1.779,0.923,2.373,-1.155,-2.0
4.0,0.884,-0.56,-0.464,2.886,-0.364,-0.364,-0.45,-0.45,4,1.794,0,0.979,0,28.429,-1.42,-0.944,-0.944,5.426,5.426,-0.19,1.984,0.983,0.561,9.907,9.907,9.907,9.907,9.907,10.895,2.765,1.217,1.5,1.823,0.716,-0.33,-2.002,-2.002,0.224,0.356,0.209,0.166,6.098,2941.0,8.823,2.687,0,1.844,2.444,1.408,1.408,3.03,2.903,28,3.009,0,3.662,2.423,1.5,0.083,2.0,-1.0,-3.0
4.0,1.895,0.811,1.5,3.034,1.0,1.0,0.702,0.702,7,1.88,0,2.5,4,85.286,1.844,2.275,2.275,5.77,5.77,0.327,2.381,1.353,1.042,12.354,12.354,12.354,12.354,12.354,13.136,3.239,1.704,2.016,2.554,1.58,1.0,-0.287,-0.287,0.176,0.259,0.16,0.121,6.833,8056.0,10.067,2.872,3,2.506,3.224,1.859,1.859,3.466,3.416,34,3.188,7,3.87,2.848,1.927,0.917,2.154,-0.512,-1.018
4.62,0.935,-0.502,-0.232,3.069,-0.197,-0.197,-0.398,-0.398,4,1.954,0,1.053,1,56.857,-1.154,-0.482,-0.482,5.972,5.972,-0.056,2.0,1.0,0.975,10.385,10.385,10.385,10.385,10.385,11.333,2.786,1.247,1.5,2.356,1.324,-0.191,-2.001,-2.001,0.214,0.339,0.199,0.159,6.174,3125.0,9.352,2.687,0,1.87,2.694,1.42,1.42,3.342,3.256,30,3.058,3,3.707,2.491,1.534,0.297,2.0,-1.0,-2.347
5.585,2.237,1.065,1.114,3.045,0.783,0.783,0.725,0.725,3,1.982,0,2.259,3,69.885,-0.039,1.9,1.9,6.154,6.154,0.404,2.055,1.041,0.824,11.74,11.74,11.74,11.74,11.74,12.571,3.094,1.471,1.622,2.367,1.28,0.7,0.502,0.502,0.211,0.325,0.189,0.151,6.871,7464.0,9.887,3.043,1,2.328,3.283,1.549,1.549,3.64,3.505,36,3.149,2,3.816,2.773,1.801,0.756,2.438,-1.125,-2.0
4.0,0.795,-1.03,-0.303,2.887,-0.235,-0.235,-0.705,-0.705,0,1.852,1,1.152,4,75.81,0.0,-0.595,-0.595,4.889,4.889,-0.705,2.0,1.0,0.752,9.42,9.42,9.42,9.42,9.42,9.595,2.817,1.306,1.5,2.192,1.058,-0.226,-1.862,-1.862,0.254,0.371,0.227,0.176,6.579,5105.0,7.518,2.608,7,1.976,2.308,1.317,1.317,3.368,3.032,27,2.912,9,3.589,2.492,1.494,0.458,2.0,-1.5,-2.449
4.481,0.936,-0.503,-0.154,3.102,-0.127,-0.127,-0.399,-0.399,5,2.077,0,1.157,2,47.381,-0.217,-0.289,-0.289,5.732,5.732,-0.056,2.0,1.0,0.657,10.373,10.373,10.373,10.373,10.373,11.262,2.768,1.222,1.5,1.894,0.81,-0.124,-1.75,-1.75,0.213,0.339,0.199,0.159,6.221,3450.0,9.445,2.687,1,1.847,2.518,1.424,1.424,3.144,3.026,30,3.057,5,3.708,2.851,1.923,0.161,2.0,-1.0,-3.0
4.0,0.838,-0.585,-0.445,2.859,-0.347,-0.347,-0.475,-0.475,5,1.738,0,1.0,2,47.381,2.877,-0.891,-0.891,5.469,5.469,-0.88,1.623,0.633,-0.093,8.899,8.899,8.899,8.899,8.899,9.584,2.5,1.0,0.813,1.159,-0.154,-0.311,-2.116,-2.116,0.231,0.315,0.206,0.154,5.9,2319.0,7.487,2.687,1,1.5,2.0,1.0,1.0,2.972,2.9,24,2.906,4,3.56,2.795,1.879,-0.017,1.234,-1.5,-3.0
5.585,2.099,0.906,1.069,3.202,0.73,0.73,0.652,0.652,3,2.113,0,2.254,3,69.885,0.099,1.743,1.743,6.583,6.583,0.404,2.137,1.12,0.751,11.74,11.74,11.74,11.74,11.74,12.583,3.082,1.464,1.734,2.366,1.271,0.656,0.55,0.55,0.21,0.325,0.189,0.15,6.871,7468.0,9.962,2.902,0,2.318,3.256,1.541,1.541,3.563,3.458,36,3.148,3,3.816,2.758,1.785,0.751,2.46,-1.161,-2.0
4.0,0.755,-0.878,-0.507,2.828,-0.402,-0.402,-0.657,-0.657,4,1.755,0,0.934,1,56.857,-1.728,-1.018,-1.018,5.211,5.211,-0.446,2.0,1.0,0.0,9.424,9.424,9.424,9.424,9.424,10.322,2.746,1.205,1.5,1.294,0.0,-0.352,-2.347,-2.347,0.236,0.375,0.22,0.175,6.019,2539.0,8.481,2.598,0,1.825,2.256,1.354,1.354,2.982,2.877,27,2.96,2,3.609,2.399,1.457,0.0,1.921,-1.224,-3.0
6.244,1.12,-0.211,0.812,3.11,0.637,0.637,-0.176,-0.176,0,2.06,0,1.971,4,75.81,0.0,1.482,1.482,5.17,5.17,-0.512,2.23,1.221,1.0,10.403,10.403,10.403,10.403,10.403,10.585,2.817,1.306,1.5,2.46,1.44,0.623,-1.608,-1.608,0.229,0.335,0.205,0.159,6.763,6709.0,8.213,2.817,11,1.976,2.478,1.317,1.317,3.532,3.382,29,3.012,9,3.694,2.501,1.502,0.5,2.0,-1.259,-2.0
