pXC50,Eig02_AEA.bo.,Eig03_AEA.ri.,Eig03_EA,SM11_AEA.bo.,Eig03_EA.ed.,SM12_AEA.dm.,Eig03_EA.ri.,Eig03_AEA.ed.,Eig03_AEA.bo.,Eig04_AEA.ed.,Eig04_EA.ri.,Eig04_EA.ed.,SM13_AEA.dm.,Eig04_EA,SM12_AEA.bo.,Eig04_AEA.ri.,Eig02_EA.bo.,SM12_AEA.ri.,piPC10,PCR,piPC09,SpMax2_Bh.e.,Hy,SpMax2_Bh.i.,MATS5m,Eig01_EA.ri.,SpMax_EA.ri.,PCD,MATS7s,MATS5s,MATS5e,CATS2D_05_DN,MATS7e,IC3,H.050,GGI9,SpDiam_EA.ri.,SpMax2_Bh.m.,SpMAD_AEA.bo.,SM14_EA.ri.,SM15_EA.ri.,nHDon,SpMax5_Bh.s.,SM03_EA.ri.,piID,SM11_EA.ri.,SM12_EA.ri.,SM13_EA.ri.,SAdon,ATSC3s,D.Dtr05,DELS,ATSC8s,Eig02_AEA.ed.,SpMax8_Bh.s.,GATS6p,SM09_EA.ri.,SpMax7_Bh.s.,X3Av,IC2,SM07_EA.ri.,PW2,CATS2D_02_DN,GATS7m,SM10_EA.ri.,Eig02_EA.ri.,Eig05_AEA.dm.
5.699,4.472,3.793,2.805,2.805,8.786,8.786,2.76,6.081,4.002,5.82,2.532,7.889,7.889,2.557,2.557,3.552,3.8,3.8,6.361,1.3,6.178,3.892,2.494,3.937,0.002,3.212,3.212,2.05,-0.212,0.179,0.14,2,-0.234,5.336,5,0.275,5.212,4.082,1.515,16.825,17.956,5,6.344,4.269,8.875,13.427,14.567,15.686,127.952,108.441,76.477,48.448,206.545,6.541,4.276,1.178,11.178,4.314,0.13,4.958,8.932,0.581,1,1.086,12.333,3.043,2.351
6.745,4.408,3.792,2.818,2.818,8.715,8.715,2.73,6.188,3.962,5.97,2.662,8.422,8.422,2.715,2.715,3.7,3.687,3.687,6.632,1.316,6.947,3.947,1.568,3.99,0.008,3.437,3.437,2.257,-0.123,0.086,0.037,1,-0.151,5.107,4,0.332,5.437,3.913,1.514,17.452,18.657,3,4.898,4.324,9.402,13.854,15.056,16.245,78.705,90.633,100.798,44.385,179.79,6.194,4.271,1.168,11.487,4.337,0.114,4.621,9.143,0.591,1,1.158,12.695,2.937,2.967
6.432,4.379,3.8,2.824,2.824,8.72,8.72,2.742,6.191,3.998,5.986,2.703,8.499,8.499,2.765,2.765,3.748,3.688,3.688,6.964,1.307,6.755,3.938,1.491,3.977,-0.019,3.437,3.437,2.265,-0.131,0.075,0.001,1,-0.123,5.282,4,0.391,5.437,3.904,1.504,17.482,18.684,3,4.901,4.386,9.638,13.894,15.093,16.278,78.705,92.256,121.556,48.859,175.687,6.498,4.378,1.164,11.535,4.383,0.11,4.818,9.199,0.585,1,1.137,12.74,2.976,3.098
6.004,4.338,3.799,2.824,2.824,8.72,8.72,2.741,6.191,4.02,5.984,2.703,8.494,8.494,2.766,2.766,3.748,3.688,3.688,7.178,1.301,6.944,3.939,1.471,3.977,0.057,3.437,3.437,2.264,-0.155,0.101,0.018,1,-0.148,5.19,4,0.391,5.437,3.905,1.496,17.464,18.666,3,4.943,4.444,9.798,13.878,15.076,16.26,78.705,94.964,130.503,52.684,185.521,6.214,4.382,1.164,11.527,4.58,0.11,4.811,9.204,0.585,1,1.193,12.729,2.931,3.097
6.824,4.248,3.793,2.818,2.818,8.719,8.719,2.733,6.145,3.972,5.982,2.687,8.481,8.481,2.74,2.74,3.725,3.687,3.687,6.815,1.296,6.618,3.933,1.543,3.974,0.016,3.437,3.437,2.124,-0.154,0.081,0.022,1,-0.169,5.215,4,0.351,5.437,3.899,1.511,17.432,18.638,3,4.931,4.324,9.313,13.835,15.037,16.225,78.705,93.485,114.592,46.715,176.96,6.191,4.275,1.16,11.472,4.382,0.113,4.816,9.134,0.587,1,1.196,12.679,2.874,2.9
6.092,4.266,3.795,2.82,2.82,8.719,8.719,2.735,6.15,3.981,5.983,2.691,8.482,8.482,2.747,2.747,3.73,3.688,3.688,6.966,1.297,6.76,3.937,1.516,3.976,0.024,3.437,3.437,2.162,-0.154,0.078,0.029,1,-0.177,5.076,4,0.362,5.437,3.919,1.516,17.438,18.643,3,4.957,4.356,9.447,13.842,15.043,16.23,78.705,98.574,119.114,48.353,180.897,6.191,4.281,1.095,11.481,4.382,0.116,4.645,9.146,0.592,1,1.104,12.688,2.884,2.99
6.523,4.256,3.794,2.819,2.819,8.719,8.719,2.735,6.147,3.973,5.983,2.691,8.482,8.482,2.742,2.742,3.728,3.687,3.687,6.485,1.26,6.471,3.938,1.57,3.974,-0.007,3.437,3.437,1.844,-0.159,0.068,-0.009,1,-0.174,5.188,4,0.346,5.437,3.904,1.521,17.438,18.644,3,5.097,4.324,8.927,13.843,15.043,16.232,78.705,96.571,226.513,47.912,178.001,6.191,4.275,1.176,11.482,4.382,0.111,4.809,9.146,0.589,1,1.188,12.685,2.887,2.906
6.495,4.497,3.791,2.817,2.817,8.712,8.712,2.727,6.19,3.955,5.943,2.625,8.296,8.296,2.682,2.682,3.665,3.687,3.687,6.616,1.321,6.902,3.945,1.568,3.989,-0.009,3.437,3.437,2.29,-0.113,0.072,0.04,1,-0.165,5.062,4,0.252,5.437,3.912,1.514,17.508,18.712,3,4.895,4.324,9.434,13.91,15.113,16.302,78.705,90.28,99.004,44.848,195.689,6.52,4.274,1.15,11.538,4.339,0.113,4.608,9.182,0.59,1,1.156,12.749,3.047,3.094
6.31,4.153,3.794,2.818,2.818,8.719,8.719,2.734,6.145,3.957,5.982,2.689,8.481,8.481,2.74,2.74,3.726,3.679,3.679,5.883,1.161,5.878,3.931,1.513,3.974,0.049,3.437,3.437,1.155,-0.116,0.126,0.085,1,-0.142,4.9,4,0.351,5.437,3.887,1.507,17.435,18.641,3,4.73,4.324,8.343,13.838,15.04,16.228,78.705,87.899,114.592,45.284,157.926,6.191,4.224,1.169,11.475,4.275,0.13,4.316,9.137,0.587,1,1.174,12.684,2.88,3.084
6.187,4.476,3.851,2.869,2.869,9.071,9.071,2.772,6.191,4.18,6.145,2.722,8.719,8.719,2.816,2.816,3.79,3.689,3.689,7.153,1.301,6.922,3.941,1.498,3.981,0.017,3.437,3.437,2.265,-0.125,-0.002,-0.042,1,-0.152,5.238,4,0.391,5.437,3.907,1.542,17.511,18.709,3,7.432,4.526,9.796,13.943,15.134,16.313,78.705,125.659,130.561,74.526,268.711,7.118,4.811,1.158,11.601,6.351,0.107,4.738,9.284,0.601,1,1.164,12.797,2.981,3.098
6.187,4.266,3.795,2.82,2.82,8.719,8.719,2.735,6.15,3.981,5.983,2.692,8.482,8.482,2.747,2.747,3.731,3.688,3.688,6.966,1.297,6.76,3.938,1.516,3.978,0.022,3.437,3.437,2.162,-0.137,0.053,0.018,1,-0.161,5.076,4,0.362,5.437,3.904,1.516,17.44,18.645,3,6.351,4.379,9.447,13.847,15.047,16.234,78.705,113.549,119.114,54.718,199.983,6.191,4.382,1.151,11.488,4.516,0.112,4.645,9.158,0.592,1,1.186,12.694,2.888,2.979
7.013,4.537,3.748,2.76,2.76,8.494,8.494,2.718,5.976,4.003,5.635,2.398,7.417,7.417,2.413,2.413,3.409,3.852,3.852,8.124,1.438,7.794,3.878,3.339,3.916,0.003,3.288,3.288,3.263,-0.024,-0.121,-0.143,3,0.014,5.347,6,0.272,5.288,4.168,1.513,17.252,18.421,6,6.23,4.271,10.71,13.74,14.919,16.077,167.855,112.79,56.498,48.498,120.473,6.756,4.534,0.993,11.41,5.006,0.111,4.77,9.083,0.583,2,1.141,12.607,3.21,2.23
7.658,4.381,3.748,2.76,2.76,8.443,8.443,2.717,5.962,4.003,5.633,2.397,7.398,7.398,2.411,2.411,3.408,3.718,3.718,8.09,1.463,7.774,3.82,1.86,3.854,0.005,3.211,3.211,3.314,-0.039,-0.126,-0.16,3,0.033,4.972,4,0.182,5.211,4.168,1.54,16.866,18.003,4,6.23,4.192,10.476,13.443,14.595,15.719,134.958,108.438,41.691,38.853,67.656,6.401,4.301,0.869,11.174,4.534,0.094,4.431,8.905,0.596,2,1.044,12.344,3.091,2.205
5.398,4.382,3.821,2.857,2.857,9.145,9.145,2.754,6.156,4.112,5.768,2.428,7.738,7.738,2.465,2.465,3.452,3.722,3.722,8.321,1.494,7.976,3.889,1.808,3.966,-0.056,3.245,3.245,3.741,0.243,-0.069,-0.107,0,0.298,5.116,4,0.267,5.245,4.198,1.542,16.968,18.113,4,5.002,4.226,11.317,13.526,14.683,15.815,108.815,71.343,122.682,27.854,61.861,6.404,4.104,0.923,11.246,4.198,0.092,4.645,8.97,0.594,1,0.888,12.421,3.091,2.168
8.194,4.706,4.104,3.109,3.109,9.973,9.973,3.092,6.402,4.381,6.137,2.841,9.019,9.019,2.89,2.89,3.877,4.804,4.804,8.829,1.67,8.495,4.178,2.135,4.18,-0.012,3.211,3.211,6.05,-0.066,0.037,-0.051,2,0.017,5.152,5,0.549,5.211,4.186,1.547,17.393,18.531,5,6.351,4.683,15.078,13.964,15.12,16.243,152.969,132.815,178.855,63.949,155.641,6.756,5.171,0.925,11.692,5.199,0.087,4.466,9.42,0.596,2,1.07,12.871,3.21,3.116
7.523,4.382,3.822,2.857,2.857,9.145,9.145,2.757,6.156,4.11,5.768,2.439,7.738,7.738,2.465,2.465,3.457,3.722,3.722,7.763,1.403,7.469,3.881,1.808,3.954,-0.067,3.366,3.366,3.052,0.14,-0.117,-0.164,0,0.216,4.99,4,0.267,5.366,4.068,1.55,17.314,18.495,4,5.258,4.283,10.629,13.775,14.961,16.128,108.815,85.069,122.682,37.366,85.701,6.404,4.16,0.89,11.437,4.542,0.088,4.533,9.109,0.594,1,1.011,12.636,3.091,2.576
8.097,4.316,3.819,2.853,2.853,8.702,8.702,2.748,6.058,4.079,5.937,2.657,8.27,8.27,2.7,2.7,3.689,3.718,3.718,6.286,1.293,5.97,3.863,3.233,3.903,0.031,3.092,3.092,1.958,-0.091,0.039,-0.004,2,-0.104,5.369,6,0.607,5.092,3.91,1.529,16.345,17.424,6,7.432,4.386,8.647,13.103,14.194,15.256,170.979,216.685,0.0,79.23,298.967,6.171,6.351,0.836,10.962,6.435,0.102,4.986,8.826,0.59,2,0.908,12.07,2.868,3.116
6.357,4.542,4.027,3.027,3.027,10.194,10.194,3.027,6.505,4.488,6.168,2.754,9.179,9.179,2.855,2.855,3.819,4.43,4.43,8.447,1.593,8.187,4.092,1.475,4.113,-0.04,3.29,3.29,5.054,0.135,-0.138,-0.144,0,0.135,5.282,4,0.414,5.29,4.171,1.532,17.427,18.584,4,5.183,4.485,13.571,13.944,15.117,16.26,108.815,76.724,187.461,40.671,113.057,6.756,4.343,1.017,11.634,4.534,0.098,4.492,9.322,0.589,1,1.152,12.83,3.21,2.598
8.222,4.382,3.819,2.854,2.854,9.143,9.143,2.754,6.155,4.111,5.651,2.436,7.548,7.548,2.463,2.463,3.454,3.722,3.722,8.254,1.5,7.881,3.887,1.849,3.962,-0.073,3.211,3.211,3.744,0.211,-0.119,-0.183,0,0.256,5.059,4,0.182,5.211,4.169,1.533,16.881,18.016,4,5.182,4.178,11.23,13.461,14.613,15.735,108.815,79.079,118.176,30.944,68.771,6.404,4.139,0.91,11.193,4.303,0.089,4.543,8.925,0.59,1,1.011,12.367,3.091,2.112
7.187,4.537,3.748,2.76,2.76,8.494,8.494,2.718,5.976,4.003,5.635,2.399,7.417,7.417,2.413,2.413,3.409,3.852,3.852,8.124,1.434,7.796,3.886,1.631,3.926,0.027,3.288,3.288,3.254,-0.038,-0.097,-0.116,3,-0.022,5.246,4,0.312,5.288,4.168,1.532,17.255,18.422,4,6.23,4.351,10.751,13.747,14.924,16.08,134.958,101.078,59.683,46.816,149.694,6.756,4.316,0.916,11.423,4.534,0.115,4.708,9.108,0.592,2,1.341,12.616,3.21,2.25
6.0,4.528,3.842,2.848,2.848,8.717,8.717,2.827,6.057,4.203,5.917,2.569,8.149,8.149,2.636,2.636,3.618,4.474,4.474,7.253,1.493,6.986,4.059,1.575,4.052,0.05,3.117,3.117,3.831,-0.14,0.131,0.085,1,-0.13,5.347,4,0.246,5.117,4.736,1.527,16.605,17.702,4,6.351,4.277,11.604,13.287,14.41,15.49,93.885,80.744,91.204,53.62,147.168,6.539,4.684,1.007,11.088,4.744,0.108,4.699,8.887,0.593,1,0.688,12.239,3.018,2.871
5.0,3.732,2.814,1.841,1.841,4.83,4.83,1.771,4.827,3.027,3.81,1.281,2.94,2.94,1.308,1.308,2.297,2.886,2.886,1.386,1.046,2.079,3.627,0.616,3.674,-0.178,3.005,3.005,0.235,-0.102,0.006,-0.056,0,-0.123,4.418,2,0.0,4.892,3.693,1.483,15.491,16.575,1,4.205,3.368,5.371,12.234,13.327,14.4,42.683,52.454,41.75,24.41,16.038,5.839,3.128,1.183,10.074,3.198,0.128,4.28,7.915,0.578,0,1.34,11.183,2.522,1.604
5.77,3.973,3.416,2.44,2.44,7.029,7.029,2.374,5.377,3.668,5.028,2.036,5.789,5.789,2.027,2.027,3.035,3.477,3.477,6.272,1.419,6.116,3.924,0.946,3.955,0.055,3.033,3.033,2.823,0.013,-0.03,-0.054,0,0.046,4.877,3,0.111,5.033,3.858,1.459,15.717,16.79,2,4.284,3.591,9.557,12.451,13.569,14.615,34.796,31.707,53.247,15.958,32.305,5.585,3.674,1.008,10.293,3.777,0.104,4.307,8.133,0.562,0,1.141,11.456,2.656,2.328
5.284,4.167,3.345,2.392,2.392,7.028,7.028,2.276,5.405,3.566,4.97,1.842,5.565,5.565,1.9,1.9,2.874,3.701,3.701,6.355,1.4,6.149,3.883,1.062,3.891,0.01,3.033,3.033,2.626,0.061,-0.13,-0.13,0,0.094,5.047,3,0.045,5.033,4.081,1.486,15.725,16.804,2,4.283,3.54,9.191,12.457,13.567,14.626,34.796,24.025,109.052,15.581,26.951,6.053,3.322,1.092,10.294,3.732,0.116,4.628,8.127,0.569,0,1.106,11.437,2.688,2.194
5.284,3.958,3.523,2.522,2.522,7.263,7.263,2.521,5.439,3.873,5.103,2.207,6.272,6.272,2.26,2.26,3.238,3.458,3.458,6.766,1.422,6.538,3.903,0.175,3.944,0.043,2.876,2.876,2.91,0.046,-0.036,-0.052,0,0.093,4.887,2,0.1,4.876,3.86,1.441,15.228,16.223,1,4.351,3.608,9.799,12.124,13.211,14.172,18.011,34.461,0.0,17.124,30.945,5.643,3.756,1.065,10.075,3.824,0.106,4.219,8.009,0.558,0,1.0,11.226,2.663,2.525
5.114,4.073,3.54,2.575,2.575,7.305,7.305,2.484,5.469,3.897,5.35,2.413,6.982,6.982,2.474,2.474,3.453,3.653,3.653,6.881,1.502,6.649,3.954,0.812,3.98,0.073,3.033,3.033,3.82,0.149,-0.014,-0.038,0,0.254,5.437,3,0.192,5.033,3.896,1.461,15.803,16.863,2,4.373,3.852,11.425,12.572,13.681,14.71,34.796,40.743,81.883,23.487,42.621,5.611,3.922,0.999,10.448,4.279,0.098,4.879,8.325,0.566,0,1.072,11.602,2.688,2.68
5.268,4.182,3.55,2.575,2.575,7.433,7.433,2.504,5.518,3.757,5.09,2.15,6.009,6.009,2.148,2.148,3.154,3.612,3.612,6.237,1.383,6.124,3.95,1.627,3.978,0.005,3.033,3.033,2.68,-0.082,-0.099,-0.118,1,-0.071,5.208,4,0.146,5.033,3.882,1.47,16.107,17.186,3,4.743,3.872,9.68,12.825,13.943,15.004,77.48,57.761,71.976,31.883,57.718,6.402,3.986,1.006,10.649,4.285,0.104,4.659,8.466,0.568,0,1.182,11.806,2.951,2.762
6.0,4.372,3.79,2.809,2.809,9.015,9.015,2.733,6.255,4.075,5.995,2.604,8.555,8.555,2.686,2.686,3.656,4.058,4.058,7.911,1.442,7.523,3.96,0.342,3.984,-0.185,3.123,3.123,3.3,0.058,0.071,-0.123,0,0.166,4.883,2,0.302,5.123,4.039,1.529,16.405,17.498,2,5.212,4.202,10.757,13.111,14.222,15.299,59.088,67.48,97.196,43.893,61.698,6.291,4.237,0.769,10.932,4.61,0.113,4.569,8.756,0.594,1,0.787,12.066,2.892,2.716
5.0,3.806,3.373,2.38,2.38,6.596,6.596,2.352,5.255,3.635,4.817,2.14,5.441,5.441,2.121,2.121,3.136,3.074,3.074,4.391,1.19,4.778,3.796,1.062,3.844,-0.15,2.78,2.78,1.097,-0.202,0.166,0.128,0,-0.296,4.681,3,0.084,4.78,3.821,1.466,14.627,15.591,2,4.371,3.551,6.871,11.629,12.675,13.605,60.694,63.773,0.0,27.561,60.206,5.362,3.674,0.779,9.658,4.039,0.124,4.417,7.682,0.566,1,1.288,10.755,2.498,2.109
