pXC50,Eta_beta,CATS2D_08_DD,P_VSA_e_3,Eig07_AEA.bo.,Eta_FL,D.Dtr09,TPSA.Tot.,Eta_betaP,DECC,P_VSA_m_2,CATS2D_08_DP,Eig07_EA.bo.,Ui,SpMax3_Bh.p.,X0sol,SpMax3_Bh.v.,Eig08_AEA.bo.,Eig09_EA.ed.,SM04_AEA.ri.,Eta_F,SpMax2_Bh.i.,Eig07_EA,SM15_AEA.bo.,CATS2D_06_DL,Vindex,UNIP,H.050,nHDon,Eig09_AEA.dm.,SssNH,SMTIV,SMTI,Eig09_AEA.ri.,Eig09_EA.ri.,Xindex,Eig09_EA,SM03_AEA.dm.,ZM2Mad,MSD,LPRS,P_VSA_MR_6,GMTI,nBM,Uc,Chi0_EA.dm.,X3sol,Eig08_EA.ri.,Hy,Eig07_AEA.ri.,SpMax2_Bh.e.,Eig09_AEA.bo.,Yindex,Eig08_AEA.ri.,piPC01,SCBO,Eig15_AEA.dm.,CATS2D_05_DL,X0,Eig08_AEA.dm.,Eig06_AEA.bo.,SpMax3_Bh.m.,N.069,Eig08_EA.bo.,IDE,Chi1_EA.dm.,SpMax6_Bh.m.,X4sol,Eig08_EA,SM02_AEA.dm.
6.585,25.25,0,0.0,2.907,5.057,0.0,107.22,11.0,0.951,86.849,0,1.917,2.807,3.53,17.69,3.523,2.635,1.915,1.915,21.554,3.829,1.635,1.635,7,0.309,84.0,4,4,1.406,0.0,9579.0,5298.0,1.805,0.804,0.472,0.853,0.853,147.399,5.186,111.887,32.515,5183.0,9,3.322,16.759,7.924,1.171,1.777,2.606,3.796,2.086,0.886,2.182,3.466,31.0,-0.229,5,17.69,1.67,3.033,3.546,0,1.535,3.153,14.8,3.016,6.502,1.198,1.198
5.0,43.5,0,72.717,3.322,8.869,0.0,88.61,20.5,1.841,213.415,0,2.502,3.524,3.6,23.709,3.61,3.215,4.261,4.261,37.102,3.913,2.109,2.109,0,0.183,146.0,2,2,2.037,6.034,27786.0,15557.0,2.476,1.431,0.285,1.549,1.549,238.133,7.427,181.75,97.158,16064.0,19,4.322,32.664,11.446,1.78,0.235,3.061,3.891,2.978,0.507,2.828,3.882,47.5,0.832,1,24.079,2.125,3.455,3.683,0,2.235,3.759,46.591,3.341,9.78,1.869,1.869
5.4,29.5,0,51.582,2.681,6.058,0.0,47.04,17.0,1.08,161.939,0,1.763,3.248,3.237,13.079,3.255,2.343,0.627,0.627,18.202,3.907,1.218,1.218,0,0.256,54.0,1,1,0.924,3.291,5300.0,3185.0,1.295,0.368,0.391,0.43,0.43,122.486,4.772,81.803,99.594,3281.0,17,4.17,13.8,6.828,0.853,-0.301,2.197,3.882,1.584,0.731,1.851,3.418,29.5,-1.157,1,13.079,0.941,2.769,3.334,0,1.273,3.087,23.856,2.719,5.78,0.888,0.888
5.8,43.25,0,102.551,2.991,8.951,114.293,116.66,23.0,1.577,238.579,0,2.22,3.7,3.743,20.38,3.761,2.919,3.177,3.177,34.392,3.924,1.615,1.615,1,0.202,108.0,3,3,1.477,3.088,17110.0,9636.0,2.398,1.383,0.311,1.427,1.427,204.102,6.248,145.456,111.562,9979.0,23,4.585,19.544,10.86,1.453,0.96,2.525,3.894,2.876,0.573,2.477,3.807,44.0,0.267,2,20.38,1.568,3.303,3.831,0,2.057,3.496,28.736,3.07,9.308,1.511,1.511
5.2,38.0,0,36.45,3.232,7.754,0.0,72.56,20.0,1.745,162.627,0,2.474,3.585,3.66,19.449,3.668,3.15,3.648,3.648,29.769,3.915,1.879,1.879,0,0.198,108.0,0,0,2.108,0.0,18837.0,9030.0,2.363,1.347,0.308,1.415,1.415,244.079,6.335,139.301,104.468,9437.0,17,4.17,19.118,11.159,1.441,-0.671,2.707,3.897,2.839,0.554,2.703,3.761,42.0,0.445,0,19.836,2.376,3.318,3.802,0,2.222,3.537,21.577,3.16,10.128,1.743,1.743
5.456,36.25,0,49.976,3.073,6.951,109.256,100.3,19.0,1.556,149.051,0,2.306,3.585,3.767,18.777,3.723,2.782,2.556,2.556,30.411,4.013,1.639,1.639,2,0.246,93.0,2,2,1.261,2.039,15673.0,7624.0,2.117,1.113,0.377,1.127,1.127,242.126,5.899,131.774,76.053,7608.0,19,4.322,9.931,9.888,1.248,0.377,2.592,4.02,2.533,0.705,2.273,3.714,40.0,0.19,2,19.767,1.727,3.401,3.89,0,1.885,3.426,6.141,3.155,8.641,1.306,1.306
5.4,36.0,0,54.706,3.272,7.218,0.0,78.27,16.5,2.258,165.155,0,2.364,3.17,3.638,17.933,3.641,2.836,3.039,3.039,28.614,3.912,1.979,1.979,0,0.185,117.0,1,1,1.907,3.253,17723.0,9651.0,2.278,1.211,0.291,1.414,1.414,202.555,6.802,140.899,70.529,10193.0,14,3.907,29.266,9.763,1.336,-0.252,2.903,3.884,2.612,0.504,2.379,3.689,39.0,0.235,1,19.673,1.977,3.332,3.685,0,1.964,3.676,45.306,2.964,7.989,1.44,1.44
5.0,40.0,0,86.378,3.118,7.858,94.739,99.09,22.5,1.675,202.869,0,2.427,3.807,3.65,17.863,3.678,2.894,3.15,3.15,26.762,4.063,1.618,1.618,0,0.169,97.0,0,0,1.414,0.0,13651.0,8108.0,2.329,1.312,0.266,1.365,1.365,213.339,6.261,127.048,91.087,8952.0,26,4.755,6.656,11.046,1.355,-0.684,2.603,4.029,2.821,0.465,2.372,3.784,43.0,0.121,0,17.51,1.471,3.271,3.851,0,2.084,3.537,4.873,3.007,9.73,1.406,1.406
5.4,41.75,0,42.365,3.21,8.077,143.629,139.27,21.0,1.969,169.084,0,2.487,3.7,3.637,23.466,3.638,3.111,3.621,3.621,36.337,4.008,1.823,1.823,1,0.216,136.0,2,2,1.933,2.677,23852.0,12946.0,2.416,1.394,0.338,1.452,1.452,216.308,7.274,168.214,91.56,12885.0,20,4.392,24.987,11.144,1.522,0.27,2.769,3.984,2.769,0.595,2.533,3.85,46.0,0.77,2,23.466,2.079,3.345,3.691,0,2.332,3.74,29.433,3.293,8.42,1.538,1.538
6.071,57.5,0,24.933,3.744,11.281,439.111,97.96,27.0,1.508,216.598,0,3.089,4.17,3.858,30.068,3.858,3.578,7.212,7.212,57.233,4.046,2.404,2.404,7,0.153,177.0,2,2,2.377,2.778,39485.0,24898.0,3.125,2.106,0.227,2.134,2.134,379.853,6.401,241.215,180.305,27782.0,32,5.044,30.107,19.562,2.182,0.081,3.376,4.019,3.524,0.473,3.265,4.248,69.0,1.486,4,30.068,2.675,3.862,3.885,0,2.882,3.497,42.947,3.432,18.819,2.314,2.314
8.0,46.75,1,108.16,3.355,9.847,0.0,166.44,25.0,1.672,242.832,1,2.604,3.7,3.66,23.25,3.7,3.179,3.112,3.112,41.336,3.936,1.98,1.98,4,0.22,136.0,4,4,1.878,5.733,24162.0,12588.0,2.364,1.355,0.344,1.381,1.381,216.412,6.994,167.329,123.725,12596.0,21,4.459,34.859,11.106,1.637,1.694,2.945,3.919,2.873,0.611,2.67,3.85,46.0,0.916,1,23.25,2.073,3.374,3.828,0,2.416,3.651,58.25,3.144,9.499,1.705,1.705
7.155,32.75,0,101.693,3.02,6.282,156.45,105.64,17.0,1.18,182.714,0,2.158,3.459,3.413,16.137,3.404,2.891,2.718,2.718,22.778,4.051,1.535,1.535,5,0.236,67.0,4,4,1.019,0.0,8299.0,4956.0,1.967,0.964,0.354,1.015,1.015,173.65,4.958,104.624,83.177,5166.0,20,4.392,11.643,9.012,1.315,1.865,2.519,4.008,2.468,0.703,2.346,3.611,36.0,-0.825,1,16.137,1.421,3.037,3.445,1,2.066,3.132,8.663,2.868,8.025,1.412,1.412
6.6,42.0,1,102.49,3.256,7.941,166.043,121.17,23.0,1.922,220.444,1,2.533,3.7,3.769,20.311,3.757,3.116,4.549,4.549,29.481,3.966,1.865,1.865,8,0.16,124.0,4,4,1.906,5.803,17910.0,10917.0,2.664,1.611,0.254,1.68,1.68,228.205,6.975,147.745,128.022,11869.0,23,4.585,23.019,11.878,1.692,1.629,2.808,3.932,3.013,0.432,2.707,3.829,45.0,0.273,9,19.957,1.971,3.432,3.823,1,2.301,3.693,29.077,3.118,11.161,1.734,1.734
5.119,48.0,0,60.955,3.477,9.074,0.0,92.29,20.0,3.243,214.243,0,2.522,3.392,3.701,28.606,3.696,3.141,4.53,4.53,39.363,3.964,2.227,2.227,0,0.125,251.0,1,1,2.195,2.991,46350.0,31085.0,2.75,1.695,0.205,1.812,1.812,272.114,10.427,239.147,98.529,33017.0,18,4.248,40.814,14.504,1.765,-0.376,3.164,3.933,2.983,0.32,2.813,4.016,54.5,1.146,0,28.606,2.307,3.521,3.725,0,2.334,4.34,55.107,3.419,12.161,1.861,1.861
5.4,52.0,0,83.928,3.705,10.746,0.0,105.86,27.0,1.737,282.675,0,2.958,4.044,3.687,24.949,3.709,3.495,4.752,4.752,50.101,4.002,2.266,2.266,0,0.186,169.0,0,0,2.44,0.0,39867.0,19945.0,2.606,1.574,0.29,1.643,1.643,262.827,7.677,208.94,154.439,20406.0,22,4.524,26.612,13.357,1.993,-0.705,3.226,3.971,3.186,0.521,3.095,4.052,56.5,1.179,0,27.449,2.66,3.766,3.788,0,2.603,3.802,26.644,3.336,10.549,2.148,2.148
7.018,46.5,0,89.122,3.53,8.57,0.0,116.86,22.5,2.793,244.979,0,2.599,3.585,3.706,26.718,3.71,3.302,4.64,4.64,38.172,3.981,2.282,2.282,4,0.146,211.0,3,3,1.746,9.113,35731.0,23005.0,2.6,1.581,0.239,1.625,1.625,286.601,9.572,209.085,93.631,24047.0,20,4.392,38.907,13.49,1.799,0.809,3.225,3.952,3.055,0.374,2.867,3.951,51.0,0.744,2,26.468,2.094,3.611,3.803,0,2.526,4.193,60.338,3.491,11.676,1.93,1.93
5.418,30.0,0,66.897,2.891,6.114,133.395,66.59,16.5,1.3,163.447,0,2.076,3.459,3.349,13.527,3.36,2.516,1.36,1.36,18.644,4.025,1.409,1.409,2,0.229,58.0,2,2,0.988,0.0,6151.0,3707.0,1.572,0.591,0.348,0.647,0.647,147.317,4.859,87.305,83.215,3959.0,20,4.392,4.313,8.031,0.98,0.361,2.383,3.986,2.017,0.658,1.984,3.526,33.0,-0.922,3,13.527,1.114,3.034,3.421,0,1.524,3.147,4.651,2.757,6.982,1.021,1.021
7.796,40.75,0,68.122,3.003,8.308,111.673,95.97,23.5,2.265,220.503,0,2.214,3.807,3.767,19.7,3.77,2.901,3.112,3.112,29.3,3.935,1.508,1.508,3,0.172,124.0,2,2,1.441,2.686,17078.0,10198.0,2.324,1.309,0.274,1.348,1.348,201.784,7.218,142.529,119.48,10784.0,24,4.644,7.851,11.07,1.397,0.212,2.495,3.914,2.805,0.457,2.422,3.807,44.0,0.554,3,19.347,1.509,3.249,3.805,0,2.071,3.752,5.913,3.169,9.367,1.451,1.451
5.408,43.5,0,70.818,3.361,9.153,0.0,92.35,22.5,2.451,215.731,0,2.613,3.585,3.731,21.303,3.741,3.175,3.427,3.427,38.162,3.946,2.011,2.011,0,0.177,169.0,3,3,1.789,7.288,31467.0,15123.0,2.351,1.315,0.289,1.412,1.412,223.738,8.626,172.898,125.35,15376.0,20,4.392,27.261,10.512,1.597,0.946,2.936,3.924,2.847,0.452,2.71,3.829,45.0,0.704,6,23.303,2.246,3.547,3.792,0,2.359,4.01,35.352,3.356,7.83,1.738,1.738
5.4,35.75,0,69.164,2.82,7.252,94.217,55.11,20.5,1.625,200.261,0,1.97,3.585,3.723,16.355,3.731,2.576,2.275,2.275,23.535,3.962,1.34,1.34,3,0.186,90.0,1,1,1.0,3.354,10312.0,6617.0,2.0,1.0,0.294,1.0,1.0,162.156,6.204,114.92,116.123,7092.0,22,4.524,12.138,8.951,1.061,-0.342,2.322,3.929,2.5,0.504,2.067,3.664,38.0,-0.672,2,16.355,1.15,3.219,3.753,0,1.612,3.529,17.319,2.834,7.361,1.1,1.1
5.7,31.5,0,83.254,2.841,6.147,0.0,102.16,17.0,1.545,171.545,0,1.972,3.248,3.537,16.38,3.54,2.683,2.358,2.358,19.411,3.899,1.414,1.414,1,0.222,77.0,2,2,1.031,0.0,9323.0,5040.0,1.713,0.719,0.35,0.873,0.873,179.224,5.802,102.018,90.381,5193.0,17,4.17,13.497,9.095,1.14,0.393,2.338,3.878,2.336,0.606,2.16,3.512,32.5,-0.722,1,15.527,1.261,2.901,3.721,1,1.765,3.403,14.329,2.952,7.574,1.222,1.222
5.4,36.0,0,69.164,2.82,7.284,94.217,55.11,20.5,1.625,191.751,0,1.97,3.585,3.722,16.855,3.73,2.576,2.275,2.275,23.622,3.939,1.34,1.34,3,0.186,90.0,1,1,1.0,3.31,11440.0,6617.0,2.0,1.0,0.294,1.0,1.0,171.915,6.204,114.92,116.438,7092.0,22,4.524,11.313,9.24,1.059,-0.301,2.322,3.911,2.5,0.504,2.066,3.664,38.0,-0.635,1,16.355,1.168,3.219,3.755,0,1.612,3.529,16.489,2.893,7.528,1.1,1.1
5.4,42.25,0,158.407,2.929,8.936,0.0,150.0,23.5,1.592,273.128,0,2.105,3.807,3.612,19.347,3.65,2.768,2.611,2.611,32.608,3.921,1.495,1.495,4,0.192,103.0,3,3,1.309,2.434,17295.0,9360.0,2.104,1.097,0.299,1.137,1.137,195.659,6.449,140.017,117.719,9905.0,24,4.644,12.198,10.222,1.283,1.059,2.476,3.878,2.564,0.536,2.306,3.807,44.0,0.488,3,19.347,1.451,3.08,3.762,1,1.837,3.546,8.953,2.952,8.698,1.353,1.353
5.35,41.75,0,92.627,3.232,8.116,0.0,134.75,19.0,2.349,190.749,0,2.478,3.392,3.722,24.225,3.706,3.232,3.876,3.876,31.424,3.959,1.879,1.879,0,0.16,165.0,3,3,1.66,6.061,27529.0,15991.0,2.451,1.433,0.258,1.484,1.484,253.281,8.272,178.143,61.191,16711.0,18,4.248,32.957,12.975,1.638,0.922,2.799,3.92,2.898,0.419,2.782,3.839,45.5,0.727,0,23.372,2.119,3.377,3.872,0,2.446,3.973,53.106,3.265,11.004,1.854,1.854
4.4,24.75,0,52.807,2.5,5.2,0.0,54.02,14.5,1.234,147.025,0,1.5,3.0,3.131,11.217,3.183,1.216,-0.746,-0.746,14.547,3.886,1.0,1.0,2,0.283,45.0,2,2,0.224,5.33,3732.0,2151.0,0.686,-0.329,0.443,-0.33,-0.33,89.99,4.753,65.731,85.17,2157.0,13,3.807,11.723,4.921,0.0,0.451,1.958,3.843,1.151,0.771,0.936,3.219,24.0,-1.641,3,11.217,0.61,2.5,3.356,0,0.0,3.099,18.33,2.634,4.08,0.0,0.0
5.4,28.0,0,51.337,2.603,5.837,74.713,57.78,16.0,1.219,151.203,0,1.65,3.322,3.242,12.372,3.277,2.524,1.116,1.116,18.338,3.942,1.122,1.122,0,0.24,58.0,2,2,0.633,2.72,6201.0,3349.0,1.433,0.447,0.373,0.462,0.462,126.482,5.034,82.627,90.819,3488.0,17,4.17,9.147,6.558,0.995,0.393,2.097,3.917,1.949,0.665,2.0,3.434,30.0,-1.127,1,13.242,1.131,2.818,3.417,0,1.481,3.174,11.354,2.792,5.435,1.0,1.0
5.5,25.5,0,3.798,2.658,3.771,0.0,8.81,9.0,2.78,132.133,0,1.661,2.7,3.711,20.573,3.695,2.566,2.732,2.732,12.705,3.9,1.453,1.453,0,0.175,176.0,0,0,1.341,0.0,16815.0,13982.0,2.132,1.125,0.301,1.166,1.166,146.856,10.086,157.651,59.614,14001.0,11,3.585,11.887,8.685,1.347,-0.922,2.45,3.857,2.5,0.419,2.354,3.597,35.5,0.036,0,20.573,1.392,2.827,3.67,0,1.591,4.277,14.276,3.279,6.531,1.366,1.366
5.0,32.5,0,88.277,2.908,6.142,107.706,87.89,15.0,1.462,186.665,0,2.069,3.17,3.55,18.518,3.548,2.568,2.389,2.389,23.064,3.936,1.49,1.49,6,0.238,90.0,3,3,1.075,6.588,11124.0,7195.0,2.0,1.0,0.365,1.0,1.0,169.15,5.937,126.185,52.895,7233.0,16,4.087,24.833,9.128,1.027,0.974,2.48,3.901,2.5,0.678,2.039,3.611,36.0,-0.299,1,18.518,1.191,3.071,3.6,0,1.595,3.393,38.665,3.093,7.521,1.129,1.129
5.0,34.0,1,103.275,2.878,6.889,114.279,88.41,16.0,1.317,150.202,0,2.019,3.322,3.385,20.181,3.42,2.801,3.006,3.006,26.718,3.915,1.573,1.573,2,0.25,89.0,3,3,1.772,5.044,15494.0,7581.0,2.312,1.223,0.38,1.377,1.377,225.954,5.818,131.576,77.526,7560.0,17,4.17,18.997,10.171,1.305,1.055,2.483,3.893,2.618,0.728,2.342,3.664,38.0,0.24,1,19.552,1.846,3.112,3.944,0,1.925,3.374,21.153,3.238,8.532,1.4,1.4
5.4,36.75,1,70.021,2.924,7.265,0.0,95.0,17.5,1.565,166.841,0,2.095,3.392,3.637,20.01,3.65,2.853,3.125,3.125,28.563,3.901,1.577,1.577,1,0.208,101.0,2,2,1.425,0.0,17925.0,9519.0,2.263,1.241,0.317,1.302,1.302,210.98,6.187,145.011,64.359,9839.0,18,4.248,16.683,10.842,1.376,0.296,2.525,3.863,2.653,0.598,2.414,3.75,41.5,0.41,4,20.38,1.641,3.238,3.73,0,1.944,3.495,16.542,3.236,8.762,1.478,1.478
9.125,44.25,0,39.82,3.521,8.525,304.128,69.45,19.5,0.986,178.319,0,2.862,3.807,3.692,23.637,3.707,3.408,5.664,5.664,38.554,4.046,2.236,2.236,10,0.19,112.0,2,2,2.011,6.64,19467.0,12834.0,2.736,1.703,0.273,1.766,1.766,312.869,5.059,176.229,125.034,14300.0,25,4.7,28.268,15.926,2.039,0.134,3.181,4.019,3.126,0.616,3.06,4.025,55.0,1.149,2,23.637,2.327,3.691,3.781,0,2.62,3.062,43.083,3.272,15.835,2.07,2.07
5.4,38.25,0,55.931,3.245,7.569,0.0,101.45,17.5,1.307,154.285,0,2.462,3.322,3.745,18.706,3.756,3.064,3.973,3.973,34.03,4.017,1.915,1.915,1,0.195,103.0,3,3,2.028,0.0,19356.0,10109.0,2.436,1.393,0.294,1.479,1.479,243.657,5.881,149.877,97.267,10746.0,15,4.0,29.209,10.936,1.698,0.966,2.829,3.983,2.914,0.575,2.759,3.784,43.0,0.532,1,21.317,2.445,3.578,3.808,0,2.118,3.392,44.125,3.049,9.169,1.808,1.808
5.6,31.25,0,68.306,2.751,6.401,81.465,59.39,18.0,1.601,178.162,0,1.863,3.524,3.562,14.071,3.6,2.512,2.136,2.136,19.336,3.998,1.291,1.291,0,0.195,71.0,1,1,1.0,0.0,7599.0,4697.0,1.99,0.986,0.307,1.0,1.0,144.463,5.633,95.579,95.946,5126.0,21,4.459,8.381,7.97,1.0,-0.291,2.262,3.947,2.5,0.53,2.0,3.57,34.5,-0.923,0,14.071,1.035,2.936,3.723,0,1.518,3.374,13.558,2.789,6.817,1.025,1.025
5.4,31.25,0,52.923,2.751,6.383,81.465,54.71,18.0,1.601,169.085,0,1.863,3.524,3.601,14.071,3.628,2.512,2.136,2.136,19.094,3.972,1.291,1.291,1,0.195,71.0,1,1,1.0,0.0,7603.0,4697.0,2.0,0.997,0.307,1.0,1.0,143.565,5.633,95.579,101.823,5126.0,21,4.459,7.276,7.97,1.0,-0.338,2.276,3.94,2.5,0.53,2.0,3.57,34.5,-0.92,0,14.071,1.042,2.936,3.724,0,1.518,3.374,10.294,2.791,6.817,1.025,1.025
5.4,28.75,0,68.184,2.741,5.727,117.108,58.87,16.0,1.136,154.224,0,1.858,3.459,3.309,11.949,3.32,2.5,0.995,0.995,16.522,4.065,1.253,1.253,0,0.236,49.0,1,1,0.402,0.0,4824.0,2870.0,1.372,0.389,0.358,0.402,0.402,133.769,4.498,75.274,63.903,3145.0,20,4.392,0.0,7.274,0.963,-0.225,2.216,4.009,1.896,0.679,1.966,3.466,31.0,-1.379,0,11.949,1.0,3.032,3.382,0,1.5,3.002,0.0,2.727,6.331,1.0,1.0
5.5,32.0,1,68.122,2.751,6.263,81.465,81.84,18.5,1.601,174.546,0,1.863,3.524,3.716,14.424,3.658,2.512,2.136,2.136,18.742,3.951,1.291,1.291,2,0.195,71.0,2,2,1.0,3.315,7767.0,4697.0,1.985,0.979,0.307,1.0,1.0,160.395,5.633,95.579,94.118,5126.0,21,4.459,9.487,8.61,1.0,0.331,2.247,3.914,2.5,0.53,2.0,3.57,34.5,-0.923,2,14.071,1.035,2.936,3.795,0,1.518,3.374,17.5,2.829,7.562,1.025,1.025
5.4,32.5,1,68.122,2.817,6.394,88.391,81.84,18.5,1.727,177.08,0,1.951,3.524,3.742,15.131,3.681,2.528,2.136,2.136,19.262,3.956,1.37,1.37,2,0.182,81.0,2,2,1.0,3.372,8961.0,5521.0,2.0,0.999,0.29,1.0,1.0,164.228,6.098,102.821,94.547,6023.0,21,4.459,9.712,8.945,1.0,0.304,2.33,3.92,2.5,0.484,2.006,3.597,35.5,-0.908,3,14.778,1.064,2.946,3.824,0,1.542,3.495,15.848,2.835,7.617,1.048,1.048
