pXC50,nAB,nDB,nBM,Se,nSK,Si,Sv,nAT,nCsp2,nHet,nBT,MW,nBO,nO,SCBO
6.257,18,3,22,52.651,31,57.617,35.05,52,19,7,54,435.53,33,5,47.0
9.301,18,3,21,68.247,36,76.112,42.893,68,19,9,70,528.75,38,5,50.0
8.097,18,3,21,75.341,39,84.151,46.661,75,19,10,77,572.81,41,6,53.0
8.155,6,3,9,47.636,23,53.531,27.599,47,7,8,47,344.48,23,5,29.0
8.495,12,3,15,65.574,33,73.321,39.608,65,13,10,66,496.71,34,6,43.0
9.699,24,4,28,77.996,44,86.401,50.145,77,24,13,80,635.83,47,6,63.0
7.538,12,4,16,68.12,36,75.614,41.817,67,14,12,69,537.72,38,7,48.0
8.523,12,3,15,60.582,31,67.78,36.861,60,12,10,61,467.67,32,5,41.0
8.444,12,3,15,60.807,32,67.491,37.554,60,13,10,62,480.66,34,6,43.0
9.699,18,4,22,69.011,38,76.487,43.597,68,19,12,70,558.74,40,6,53.0
4.444,12,3,15,62.505,33,69.86,38.674,62,15,9,64,471.63,35,5,44.0
4.398,12,3,15,40.425,26,43.898,27.58,39,15,8,42,373.79,29,3,38.0
7.237,16,3,19,45.276,28,49.023,30.813,44,14,10,47,437.96,31,4,42.0
4.0,10,2,12,36.134,21,39.907,22.579,35,9,8,37,290.31,23,4,30.0
5.0,12,4,16,81.352,41,91.643,49.044,81,14,11,85,584.81,45,6,55.0
5.0,12,4,16,88.894,44,100.763,53.404,89,14,11,94,623.9,49,5,59.0
5.602,17,3,20,65.287,35,72.776,41.179,65,17,8,69,494.66,39,5,50.5
5.0,12,3,15,66.498,34,74.401,40.421,66,13,9,69,488.66,37,6,46.0
8.824,12,3,16,51.502,29,56.826,33.544,51,13,8,53,430.59,31,4,42.0
6.449,12,3,15,59.134,32,65.784,36.53,58,13,10,61,463.58,35,5,44.0
5.0,12,3,15,60.731,32,67.571,37.367,60,13,9,63,460.6,35,6,44.0
5.544,12,3,15,61.505,32,68.86,37.674,61,13,9,64,459.62,35,5,44.0
5.68,12,3,15,58.945,32,65.388,36.974,58,13,10,61,480.03,35,5,44.0
5.0,12,3,15,70.585,38,78.998,43.184,69,13,12,73,552.68,42,4,51.0
6.577,12,3,15,59.403,31,66.361,36.652,59,13,8,62,444.6,34,5,43.0
6.071,17,3,20,58.174,33,64.449,36.816,57,19,9,59,453.51,35,5,46.5
6.788,12,3,15,62.832,33,70.069,38.388,62,13,10,65,475.62,36,6,45.0
6.141,12,3,15,62.832,33,70.069,38.388,62,13,10,65,475.62,36,6,45.0
6.166,12,3,15,61.505,32,68.86,37.674,61,13,9,64,459.62,35,5,44.0
5.174,12,3,15,63.614,33,70.986,38.894,63,13,9,66,474.63,36,6,45.0
6.456,12,3,15,59.727,32,66.305,37.48,59,13,9,62,479.04,35,5,44.0
5.301,12,3,15,63.043,35,69.879,38.824,61,13,12,64,513.59,38,5,47.0
6.569,12,3,15,58.945,32,65.388,36.974,58,13,10,61,480.03,35,5,44.0
6.137,12,3,15,70.374,36,79.188,42.749,70,13,10,74,514.71,40,5,49.0
4.824,6,5,11,59.145,31,66.444,36.926,59,9,9,63,460.68,35,3,43.0
5.91,12,4,16,74.585,38,83.813,44.99,74,14,11,77,544.74,41,6,51.0
5.0,12,3,15,67.825,35,75.61,41.135,67,13,10,70,504.66,38,7,47.0
6.347,12,3,15,58.622,31,65.444,36.147,58,13,9,61,445.59,34,5,43.0
7.886,12,5,18,67.16,37,74.278,42.103,66,15,11,68,527.65,39,7,52.0
7.337,12,4,17,59.393,33,65.448,37.05,58,14,11,59,475.57,34,7,46.0
8.456,12,5,18,55.625,33,60.618,35.996,54,15,11,56,471.53,35,7,48.0
6.77,6,3,9,48.963,24,54.74,28.314,48,7,9,48,360.48,24,6,30.0
6.538,6,3,9,26.353,16,28.257,17.222,25,7,8,25,309.16,16,4,22.0
8.143,6,3,9,50.52,24,56.946,29.126,50,7,8,50,358.51,24,5,30.0
8.066,12,4,16,48.971,27,54.199,30.567,48,14,9,49,391.49,28,5,38.0
8.959,12,5,17,46.76,29,50.419,31.253,45,15,11,47,482.34,31,6,42.0
6.678,12,5,17,48.611,28,53.783,31.819,48,15,9,50,416.57,30,3,41.0
7.097,12,5,17,46.051,28,50.312,31.119,45,15,10,47,436.98,30,3,41.0
6.367,18,5,23,60.72,38,65.842,39.958,58,21,13,61,547.55,41,6,55.0
6.721,6,4,10,39.433,22,43.21,24.538,38,8,10,38,394.28,22,5,29.0
6.796,12,5,17,46.24,28,50.708,30.675,45,15,10,47,420.53,30,3,41.0
6.699,12,5,17,51.818,30,57.142,34.173,51,15,10,53,465.04,32,3,43.0
6.796,12,5,17,48.611,28,53.783,31.819,48,15,9,50,416.57,30,3,41.0
6.62,12,5,17,50.149,31,54.802,32.969,48,15,12,50,470.54,33,3,44.0
7.046,12,5,17,48.934,29,53.727,32.646,48,15,10,50,451.01,31,3,42.0
6.097,11,5,16,43.244,27,46.817,29.78,42,13,11,44,443.01,29,3,39.5
6.796,12,5,17,45.956,28,50.209,31.317,45,15,10,47,481.43,30,3,41.0
7.398,12,5,17,45.956,28,50.209,31.317,45,15,10,47,481.43,30,3,41.0
7.398,12,5,17,48.934,29,53.727,32.646,48,15,10,50,451.01,31,3,42.0
7.222,12,5,17,46.051,28,50.312,31.119,45,15,10,47,436.98,30,3,41.0
7.097,12,5,18,46.945,29,51.451,31.786,46,15,10,48,427.55,31,3,44.0
6.77,11,5,16,43.244,27,46.817,29.78,42,13,11,44,443.01,29,3,39.5
7.921,12,3,15,48.709,28,53.25,30.643,47,13,10,49,410.46,30,6,39.0
8.854,6,3,9,52.218,25,59.315,30.245,52,9,7,52,349.48,25,4,31.0
4.81,12,2,14,52.56,28,58.611,32.412,52,14,7,54,384.47,30,5,38.0
6.693,12,2,14,52.56,28,58.611,32.412,52,14,7,54,384.47,30,5,38.0
5.699,12,5,17,99.534,54,111.213,59.495,96,17,19,99,772.83,57,7,68.0
4.658,12,2,14,52.003,29,57.405,32.6,51,14,8,54,398.45,32,6,40.0
4.363,12,2,14,34.265,21,36.748,22.45,33,14,6,34,288.27,22,6,30.0
8.523,0,3,3,52.429,23,59.94,28.487,52,3,8,51,331.47,22,5,25.0
5.699,12,5,17,83.359,45,93.035,50.216,81,17,15,83,635.71,47,7,58.0
4.517,18,3,21,82.512,41,93.348,50.153,83,21,7,85,558.78,43,5,55.0
7.233,0,4,4,67.181,31,76.683,38.088,67,4,9,69,436.62,33,5,37.0
5.377,6,2,8,47.232,23,53.401,27.697,47,8,6,48,320.43,24,4,29.0
8.657,12,5,17,62.68,34,68.993,38.478,61,13,13,63,513.65,36,8,47.0
8.0,28,4,32,93.018,50,104.277,58.834,93,29,11,97,694.83,54,6,72.0
4.0,0,2,2,23.687,11,26.551,12.965,23,1,6,22,181.15,10,4,12.0
4.0,0,2,2,26.571,12,29.966,14.492,26,1,6,25,195.18,11,4,13.0
8.886,12,3,15,67.752,33,76.976,40.352,68,15,7,69,453.64,34,4,43.0
8.137,12,2,14,32.898,20,35.957,21.71,32,15,5,33,273.28,21,3,29.0
5.787,12,2,14,36.596,21,40.242,23.568,36,15,5,37,285.32,22,4,30.0
8.478,12,2,14,36.596,21,40.242,23.568,36,15,5,37,285.32,22,4,30.0
8.087,12,2,14,32.709,20,35.562,22.154,32,15,5,33,289.73,21,3,29.0
5.728,12,2,14,32.898,20,35.957,21.71,32,15,5,33,273.28,21,3,29.0
5.071,12,4,16,47.8,27,52.408,30.557,47,19,6,48,368.41,28,6,38.0
5.716,12,2,14,32.709,20,35.562,22.154,32,15,5,33,289.73,21,3,29.0
8.108,12,2,14,31.058,18,34.408,20.612,31,15,3,32,239.29,19,2,27.0
8.439,12,2,14,35.269,20,39.033,22.853,35,15,4,36,269.32,21,3,29.0
8.103,12,2,14,32.709,20,35.562,22.154,32,15,5,33,289.73,21,3,29.0
8.228,12,2,14,35.269,20,39.033,22.853,35,15,4,36,269.32,21,3,29.0
5.756,12,2,14,35.269,20,39.033,22.853,35,15,4,36,269.32,21,3,29.0
8.107,12,2,14,32.898,20,35.957,21.71,32,15,5,33,273.28,21,3,29.0
8.246,12,2,14,36.596,21,40.242,23.568,36,15,5,37,285.32,22,4,30.0
9.097,12,2,14,48.676,26,54.196,29.885,48,14,7,49,358.43,27,5,35.0
6.498,12,3,15,55.52,29,61.946,34.126,55,13,8,57,418.56,31,5,40.0
6.076,18,3,21,83.287,41,94.637,50.459,84,21,7,86,557.8,43,4,55.0
5.252,6,3,9,53.545,26,60.524,30.96,53,9,8,53,365.48,26,5,32.0
6.481,0,3,3,62.08,27,71.185,34.067,62,3,8,62,385.57,27,5,30.0
8.553,12,4,16,60.425,33,66.654,37.083,59,16,10,60,458.51,34,8,44.0
8.328,12,5,17,58.24,33,63.372,36.14,56,13,14,58,501.59,35,9,46.0
7.807,12,5,17,65.833,37,71.833,41.853,64,13,15,67,589.8,40,8,51.0
6.912,6,3,9,40.222,24,43.774,24.22,37,7,12,37,376.34,24,4,30.0
5.301,6,3,9,61.531,31,69.438,36.508,61,9,9,64,430.56,34,5,40.0
4.161,6,2,8,18.88,12,20.013,13.25,18,6,6,18,299.1,12,3,17.0
4.638,6,4,10,21.684,14,22.794,13.858,20,6,8,20,218.21,14,5,21.0
4.222,6,2,8,21.695,12,23.707,13.46,21,6,5,21,187.24,12,3,17.0
4.886,6,4,10,21.684,14,22.794,13.858,20,6,8,20,218.21,14,5,21.0
4.854,6,4,10,21.684,14,22.794,13.858,20,6,8,20,218.21,14,5,21.0
6.9,6,3,9,38.985,20,43.285,23.018,38,7,8,38,302.39,20,5,26.0
4.678,0,2,2,40.828,30,42.558,23.61,32,0,22,31,515.18,29,3,31.0
7.41,12,5,17,45.858,27,49.787,28.943,44,13,11,45,395.43,28,7,39.0
8.886,12,5,17,44.211,30,46.861,28.617,40,13,15,41,455.35,31,6,42.0
8.337,6,5,11,48.029,32,51.05,29.204,42,7,19,42,507.33,32,6,40.0
8.301,6,3,9,48.363,31,51.908,29.634,43,7,17,43,510.8,31,4,37.0
8.824,6,5,11,50.912,33,54.465,30.731,45,7,19,45,521.36,33,6,41.0
4.921,6,2,8,23.022,13,24.917,14.175,22,6,6,22,203.24,13,4,18.0
5.886,6,2,8,21.374,16,21.991,13.85,18,6,10,18,263.16,16,3,21.0
5.046,6,2,8,25.124,14,27.415,15.196,24,6,7,24,218.26,14,4,19.0
8.921,12,3,15,50.516,30,54.846,31.915,48,13,11,50,445.45,32,6,41.0
8.367,6,3,9,48.04,30,51.964,28.807,43,7,16,43,476.36,30,4,36.0
4.469,6,2,8,27.462,14,30.538,16.514,27,6,5,27,215.3,14,3,19.0
4.62,6,2,8,20.913,12,22.79,12.955,20,6,6,20,188.23,12,3,17.0
7.0,6,3,9,28.687,20,30.114,18.113,25,7,12,25,320.22,20,4,26.0
5.0,6,3,9,26.124,15,28.415,16.196,25,7,7,25,230.27,15,4,21.0
8.357,6,4,10,54.393,28,60.448,32.05,53,8,11,54,415.52,29,7,36.0
7.109,6,3,9,41.869,21,46.7,24.545,41,7,8,41,316.42,21,5,27.0
4.18,6,2,8,19.04,12,20.134,12.959,18,6,6,18,252.1,12,3,17.0
5.857,6,3,9,46.829,24,52.036,28.259,46,7,9,47,374.53,25,5,31.0
7.442,0,3,3,44.04,26,47.964,24.807,39,1,16,38,428.32,25,4,28.0
8.854,12,3,15,44.222,28,47.774,28.22,41,13,12,42,424.38,29,4,38.0
8.222,6,4,10,63.818,31,71.982,36.937,63,8,11,64,456.63,32,6,39.0
7.585,18,3,21,62.487,36,68.993,41.299,62,21,7,66,503.63,40,4,52.0
8.62,11,5,16,55.131,31,60.245,33.919,53,10,14,55,474.57,33,8,43.5
8.77,6,4,10,55.949,28,62.654,32.862,55,8,10,56,413.55,29,6,36.0
8.796,11,4,15,48.742,28,53.202,30.469,47,12,11,49,409.46,30,7,39.5
9.222,12,5,17,47.094,31,50.276,30.144,43,13,15,44,469.38,32,6,43.0
9.222,6,5,11,45.818,25,50.122,27.656,44,7,12,45,393.49,26,7,34.0
8.119,12,3,15,51.854,28,57.614,32.093,51,13,9,53,405.52,30,5,39.0
8.585,6,4,10,60.934,30,68.567,35.41,60,8,11,61,442.6,31,6,38.0
4.0,0,2,2,12.898,9,12.709,8.889,11,0,8,10,214.46,8,3,10.0
7.77,6,3,9,56.505,27,63.86,32.674,56,7,9,57,399.57,28,5,34.0
7.886,6,4,10,59.836,30,67.199,35.72,59,8,11,60,505.49,31,5,38.0
8.921,12,5,17,56.913,32,62.162,35.425,55,13,13,57,485.59,34,8,45.0
8.161,6,3,9,39.204,21,43.368,23.513,38,7,9,39,315.39,22,5,28.0
7.602,6,3,9,42.087,22,46.784,25.04,41,7,9,42,329.42,23,5,29.0
8.638,6,4,10,43.633,24,48.076,26.249,42,8,11,43,358.42,25,6,32.0
8.42,18,3,21,59.091,34,65.238,39.389,59,21,6,63,471.61,38,4,50.0
6.18,22,3,25,58.494,36,64.198,40.345,58,21,9,63,514.67,41,3,55.0
7.495,12,4,16,50.516,29,55.491,31.776,49,13,11,51,420.49,31,6,41.0
8.222,17,3,20,52.611,32,57.783,35.819,52,17,9,56,464.61,36,3,47.5
8.081,6,4,10,54.611,29,60.531,32.544,53,8,12,55,428.52,31,7,38.0
9.046,18,4,22,61.065,35,67.239,39.335,60,20,10,63,495.6,38,6,51.0
7.699,6,4,10,59.607,31,66.203,35.623,58,8,13,59,523.46,32,7,39.0
8.444,12,4,16,59.167,32,65.737,36.356,58,14,11,60,462.58,34,6,44.0
6.467,18,3,21,55.418,33,61.278,37.158,55,19,8,59,458.58,37,3,49.0
8.678,11,5,16,54.098,31,59.039,33.886,52,10,15,54,491.63,33,7,43.5
7.2,18,3,21,56.523,34,62.139,38.491,56,20,8,60,492.03,38,3,50.0
8.18,12,4,16,56.033,31,62.032,35.302,55,14,11,57,464.62,33,5,43.0
9.301,18,3,21,54.742,33,60.222,36.986,54,20,9,57,481.01,36,3,48.0
7.456,18,4,22,57.934,35,62.897,39.592,57,20,9,61,528.08,39,5,52.0
8.481,12,3,15,57.516,32,63.681,37.238,57,15,8,60,473.03,35,4,44.0
7.921,18,3,21,61.974,35,68.654,40.916,62,21,6,66,485.64,39,4,51.0
7.119,18,3,21,56.207,33,61.823,37.862,56,21,6,60,457.58,37,4,49.0
4.301,12,1,13,55.472,28,62.991,33.109,55,13,7,56,391.51,29,2,36.0
7.208,17,2,19,55.6,33,61.059,37.678,55,18,9,59,500.08,37,3,47.5
8.42,12,4,16,56.283,31,62.322,34.829,55,14,11,57,448.55,33,6,43.0
8.42,12,3,15,62.174,34,69.385,40.072,62,15,8,66,498.09,38,3,47.0
7.509,12,6,19,58.745,36,64.488,39.873,58,20,9,62,498.6,40,4,54.0
7.409,18,5,23,64.953,38,71.016,43.173,64,21,9,68,552.08,42,6,56.0
6.879,18,5,23,64.945,38,71.388,42.974,64,20,10,68,552.09,42,5,56.0
7.432,12,5,17,55.523,33,61.139,37.491,55,19,8,59,480.02,37,3,48.0
5.996,12,3,16,45.018,28,49.322,30.106,44,14,8,47,376.4,31,4,42.0
8.087,12,2,14,35.498,19,40.029,22.951,36,15,2,37,251.35,20,1,28.0
5.672,22,3,25,65.091,38,71.817,42.169,64,22,10,68,514.58,42,6,56.0
5.672,22,2,24,67.498,38,75.232,43.475,67,20,10,71,531.69,42,4,55.0
5.672,17,2,19,68.087,36,76.644,42.32,68,17,8,72,488.64,40,4,50.5
6.421,16,6,22,81.378,44,90.816,50.396,80,16,17,82,664.92,46,6,60.0
7.367,11,6,17,80.185,41,90.311,47.736,79,12,16,80,610.85,42,6,53.5
5.672,17,3,20,60.763,34,67.607,38.454,60,18,9,63,462.55,37,5,48.5
5.672,22,2,24,67.498,38,75.232,43.475,67,20,10,71,531.69,42,4,55.0
7.31,5,6,11,78.647,41,88.41,45.699,76,7,18,77,608.73,42,6,50.5
5.672,17,2,19,61.32,33,68.813,38.266,61,17,8,64,448.57,36,4,46.5
7.921,5,6,11,76.967,37,87.228,44.242,76,7,15,76,561.82,37,6,45.5
6.721,10,6,16,71.534,38,80.065,43.156,70,11,16,71,568.76,39,6,50.0
5.672,17,2,20,54.123,31,60.275,35.477,54,17,6,57,413.51,34,3,46.5
7.456,5,6,11,79.992,39,90.806,46.076,79,7,15,80,568.79,40,6,48.5
5.672,17,2,19,67.087,35,75.644,41.32,67,17,8,70,476.63,38,4,48.5
7.721,5,6,11,67.458,34,76.145,38.969,66,7,15,66,500.66,34,6,42.5
5.672,17,2,19,56.334,31,62.9,35.718,56,17,7,59,419.52,34,4,44.5
5.672,17,3,20,64.647,36,72.023,40.981,64,18,9,68,488.59,40,5,51.5
8.071,5,6,11,71.2,35,80.397,41.188,70,7,15,70,533.76,35,6,43.5
7.658,5,6,11,74.083,36,83.813,42.715,73,7,15,73,547.79,36,6,44.5
6.22,5,6,11,75.225,38,84.976,44.022,74,7,15,76,552.74,40,6,48.5
7.149,11,6,17,89.836,45,101.556,53.317,89,12,16,91,664.95,47,6,58.5
5.672,22,3,25,67.974,39,75.232,43.696,67,22,10,71,528.61,43,6,57.0
5.701,0,4,4,64.985,31,73.315,38.244,65,6,6,69,430.59,35,6,39.0
5.672,17,3,20,74.4,39,83.767,45.583,74,18,10,77,533.69,42,5,53.5
6.437,22,4,26,72.254,41,80.149,45.926,71,20,13,75,578.71,45,6,60.0
5.672,17,2,19,58.436,32,65.398,36.74,58,17,8,61,434.54,35,4,45.5
5.672,17,2,19,61.32,33,68.813,38.266,61,17,8,64,448.57,36,4,46.5
6.529,22,3,25,71.152,41,78.65,45.904,70,21,12,74,575.7,45,6,59.0
6.68,17,3,20,68.858,38,76.647,43.223,68,18,10,72,518.62,42,6,53.5
6.599,17,3,20,70.741,38,79.062,43.75,70,18,10,73,520.64,41,6,52.5
5.672,12,2,14,51.232,27,57.401,31.697,51,14,6,53,368.47,29,4,37.0
5.672,17,2,19,58.436,32,65.398,36.74,58,17,8,61,434.54,35,4,45.5
5.672,17,3,20,69.414,37,77.853,43.035,69,18,9,72,504.64,40,5,51.5
6.115,17,3,20,64.974,36,72.232,40.696,64,18,10,67,492.58,39,6,50.5
6.0,17,3,20,55.182,31,60.823,34.808,54,16,10,56,445.54,33,6,44.5
5.672,17,2,19,68.087,36,76.644,42.32,68,17,8,72,488.64,40,4,50.5
6.699,12,3,15,66.727,33,75.397,40.518,67,15,7,68,470.69,34,4,43.0
7.301,17,4,21,53.6,32,58.039,35.162,52,17,11,54,476.57,34,7,46.5
6.046,17,3,20,54.931,31,60.534,35.28,54,16,10,56,461.61,33,5,44.5
9.301,6,3,9,48.636,24,54.531,28.599,48,7,8,49,356.49,25,5,31.0
8.721,6,3,9,46.829,24,52.036,28.259,46,7,9,47,374.53,25,5,31.0
9.046,6,3,9,43.945,23,48.62,26.732,43,7,9,44,360.5,24,5,30.0
4.0,18,1,19,41.927,24,46.737,27.687,42,18,4,44,318.4,26,2,36.0
5.699,12,2,14,59.654,31,66.651,36.18,59,14,8,61,428.53,33,6,41.0
8.678,12,2,14,48.349,26,53.986,30.17,48,14,6,50,354.44,28,4,36.0
7.18,12,4,16,54.105,30,59.903,33.621,53,14,9,55,413.47,32,6,42.0
5.699,12,2,14,60.076,35,66.27,37.05,57,14,12,59,504.47,37,4,45.0
5.787,12,2,14,57.0,29,64.232,34.75,57,14,6,59,396.53,31,4,39.0
7.673,6,2,8,21.844,13,23.498,13.966,21,9,4,21,180.17,13,4,18.0
6.475,12,3,15,41.102,24,44.87,26.492,40,13,8,42,348.41,26,5,35.0
6.886,18,3,21,56.636,32,62.531,36.599,56,19,8,59,452.57,35,5,47.0
8.046,6,2,8,41.465,21,46.571,24.643,41,8,6,42,292.37,22,4,27.0
6.588,12,5,17,43.975,27,47.372,28.416,42,13,11,44,393.41,29,7,40.0
5.506,18,3,21,54.4,33,59.004,36.727,53,19,10,56,507.42,36,5,48.0
7.456,18,3,21,53.753,31,59.116,35.072,53,19,8,56,438.54,34,5,46.0
7.398,12,3,15,43.985,25,48.285,28.018,43,13,8,45,362.44,27,5,36.0
6.232,6,2,8,48.789,23,55.607,28.509,49,8,5,50,318.46,24,3,29.0
4.985,17,2,19,59.218,32,66.315,37.245,59,17,7,62,433.55,35,4,45.5
7.0,12,3,15,45.313,26,49.495,28.733,44,13,9,46,378.44,28,6,37.0
7.337,12,3,15,49.524,28,54.119,30.975,48,13,10,50,408.47,30,7,39.0
6.606,12,3,15,43.204,25,47.368,27.513,42,13,9,44,363.43,27,5,36.0
5.25,12,2,14,32.382,21,34.332,21.923,31,15,6,33,286.25,23,6,31.0
7.523,16,3,19,69.97,36,79.059,42.847,70,17,8,73,490.66,39,4,50.0
7.0,16,3,19,69.97,36,79.059,42.847,70,17,8,73,490.66,39,4,50.0
4.993,24,1,25,65.876,40,71.076,43.47,64,25,10,69,544.54,45,10,58.0
6.097,12,2,14,64.934,35,72.224,39.307,63,13,12,65,516.5,37,6,45.0
7.979,12,2,14,51.047,28,56.674,31.719,50,13,9,52,408.4,30,5,38.0
6.097,12,2,14,60.512,31,67.79,36.63,60,13,9,62,448.5,33,6,41.0
6.446,12,2,14,52.072,30,57.354,32.485,50,13,11,52,444.38,32,5,40.0
8.257,12,2,14,57.84,32,64.184,35.539,56,13,11,58,472.44,34,5,42.0
5.108,18,3,22,52.651,31,57.617,35.05,52,19,7,54,435.53,33,5,47.0
5.0,22,3,25,53.425,31,58.906,35.357,53,21,7,56,434.55,34,4,48.0
8.569,22,4,26,55.2,34,60.04,37.592,54,22,10,57,542.44,37,5,52.0
8.301,22,3,25,52.643,31,57.989,34.852,52,21,8,55,435.54,34,4,48.0
5.678,12,4,16,46.869,26,51.7,29.545,46,14,8,47,376.47,27,5,37.0
5.469,16,3,19,40.774,24,44.661,26.777,40,15,7,42,344.42,26,4,37.0
5.824,21,5,27,52.607,34,56.498,36.415,51,19,11,54,495.57,37,6,54.5
6.62,22,3,26,52.542,32,57.491,35.83,52,21,7,55,444.54,35,4,51.0
4.301,18,2,20,47.138,27,52.362,30.928,47,20,5,49,360.44,29,3,40.0
8.854,6,3,9,64.283,29,73.603,37.33,65,9,6,65,420.68,29,3,35.0
7.092,22,3,25,54.753,32,60.116,36.072,54,21,8,57,450.55,35,5,49.0
6.602,22,3,25,51.869,31,56.7,34.545,51,21,8,54,436.52,34,5,48.0
6.907,11,5,16,65.858,35,73.647,40.223,65,15,10,67,482.59,37,6,47.5
7.119,17,4,21,71.196,38,79.77,44.54,71,20,8,74,515.66,41,5,53.5
7.45,17,4,21,74.298,40,83.268,46.562,74,19,9,78,542.69,44,5,56.5
7.569,11,6,17,81.814,42,92.388,48.867,81,16,13,83,581.75,44,6,55.5
5.0,25,3,28,49.985,31,54.285,34.018,49,21,8,53,434.5,35,5,50.5
7.201,17,4,21,79.065,41,89.099,48.615,79,20,9,82,558.74,44,5,56.5
7.553,17,5,22,78.738,43,87.734,49.828,78,21,11,81,651.61,46,6,59.5
5.959,12,3,15,43.767,24,48.202,27.524,43,13,7,44,349.44,25,5,34.0
8.301,12,5,17,76.28,41,84.896,46.706,75,17,12,78,566.67,44,8,55.0
7.222,18,4,22,53.753,31,59.116,35.072,53,20,8,55,438.54,33,5,46.0
7.456,17,4,21,71.196,38,79.77,44.54,71,20,8,74,515.66,41,5,53.5
8.125,17,5,22,77.727,42,86.976,48.298,77,20,11,80,573.71,45,6,58.5
7.125,17,4,21,75.08,40,84.185,47.067,75,20,8,79,541.7,44,5,56.5
6.456,22,4,26,52.862,32,58.072,35.346,52,21,9,55,448.54,35,4,50.0
6.194,0,2,2,75.247,31,86.972,41.173,76,2,8,76,459.78,31,4,33.0
8.398,6,5,11,82.65,38,94.101,48.075,83,9,10,84,567.9,39,5,47.0
6.151,11,4,15,58.545,31,65.524,35.96,58,14,8,60,425.53,33,5,42.5
8.229,17,3,20,52.04,30,57.491,33.555,51,14,11,53,447.59,32,4,43.5
7.796,12,4,16,50.829,28,56.036,32.259,50,14,9,51,422.57,29,5,39.0
6.569,12,6,18,49.742,29,54.202,31.469,48,14,11,49,421.47,30,7,42.0
7.62,17,3,21,49.844,30,54.122,33.711,49,17,8,51,441.56,32,5,45.5
6.0,12,3,15,38.774,22,42.661,24.777,38,13,7,39,320.4,23,4,32.0
6.167,22,4,26,54.971,33,60.199,36.566,54,22,9,57,463.55,36,5,51.0
5.056,22,4,27,56.196,35,60.91,38.26,55,22,9,58,488.55,38,6,55.0
5.0,22,4,26,57.073,34,62.697,37.588,56,22,10,59,478.57,37,5,52.0
7.721,6,3,9,54.851,26,62.441,32.244,55,8,7,55,379.58,26,3,32.0
