pXC50,nAB,nH,RBN,Sp,Sv,nSK,SCBO,nBO,Si,nBM,nC,Se,nBT,MW,nAT,nCsp2,H.,Mv,nCsp3,AMW,RBF,Me,C.,Mp,nN,nHet,Mi,N.
5.2,12,9,3,29.517,29.022,28,42.0,31,41.268,17,19,38.8,40,436.28,37,19,24.3,0.784,0,11.791,0.075,1.049,51.4,0.798,3,9,1.115,8.1
5.959,16,14,6,29.091,28.677,27,40.0,29,46.573,19,17,42.898,43,413.86,41,14,34.1,0.699,3,10.094,0.14,1.046,41.5,0.71,3,10,1.136,7.3
5.4,20,14,2,24.284,23.434,21,34.0,24,39.279,20,16,35.153,38,278.34,35,14,40.0,0.67,2,7.953,0.053,1.004,45.7,0.694,4,5,1.122,11.4
5.0,26,13,3,28.972,27.917,26,43.0,30,43.654,26,18,39.44,43,359.45,39,17,33.3,0.716,1,9.217,0.07,1.011,46.2,0.743,7,8,1.119,17.9
5.018,20,16,2,26.296,25.477,23,36.0,26,44.275,20,16,39.356,42,308.38,39,13,41.0,0.653,3,7.907,0.048,1.009,41.0,0.674,6,7,1.135,15.4
5.2,17,42,10,52.557,49.47,41,54.5,45,94.301,18,31,82.825,87,562.79,83,15,50.6,0.596,16,6.781,0.115,0.998,37.3,0.633,6,10,1.136,7.2
7.194,18,36,11,47.466,44.362,37,51.0,40,82.766,20,27,72.923,76,524.76,73,16,49.3,0.608,11,7.188,0.145,0.999,37.0,0.65,6,10,1.134,8.2
5.222,22,18,5,33.455,31.675,28,44.0,31,51.029,24,22,45.996,49,386.51,46,21,39.1,0.689,1,8.402,0.102,1.0,47.8,0.727,4,6,1.109,8.7
5.2,18,16,5,33.148,33.422,32,45.0,34,54.906,20,21,50.32,50,464.86,48,19,33.3,0.696,2,9.685,0.1,1.048,43.8,0.691,4,11,1.144,8.3
8.426,17,26,7,40.068,37.862,33,45.5,36,66.923,18,22,59.603,62,488.07,59,14,44.1,0.642,8,8.272,0.113,1.01,37.3,0.679,7,11,1.134,11.9
5.4,15,10,3,21.807,20.239,18,28.5,20,30.707,16,13,28.218,30,274.39,28,12,35.7,0.723,1,9.8,0.1,1.008,46.4,0.779,2,5,1.097,7.1
5.0,16,26,8,33.103,31.111,26,36.0,28,59.351,16,19,51.774,54,354.51,52,11,50.0,0.598,8,6.817,0.148,0.996,36.5,0.637,6,7,1.141,11.5
5.0,16,15,6,29.864,29.154,27,38.0,29,47.653,17,17,43.64,44,457.71,42,14,35.7,0.694,3,10.898,0.136,1.039,40.5,0.711,4,10,1.135,9.5
7.783,24,26,2,41.762,40.025,35,55.0,42,68.189,25,28,61.109,68,466.58,61,19,42.6,0.656,9,7.649,0.029,1.002,45.9,0.685,4,7,1.118,6.6
6.357,18,29,4,41.324,39.374,34,48.0,38,71.474,19,25,63.087,67,459.61,63,17,46.0,0.625,8,7.295,0.06,1.001,39.7,0.656,7,9,1.135,11.1
5.31,11,27,6,37.915,36.65,32,43.5,35,67.153,14,23,59.832,62,442.54,59,14,45.8,0.621,9,7.501,0.097,1.014,39.0,0.643,4,9,1.138,6.8
5.0,17,27,7,41.597,41.26,38,51.5,42,75.201,18,24,67.054,69,532.59,65,14,41.5,0.635,10,8.194,0.101,1.032,36.9,0.64,8,14,1.157,12.3
5.585,15,18,4,27.603,26.289,23,35.5,26,46.481,16,17,40.912,44,306.41,41,9,43.9,0.641,7,7.473,0.091,0.998,41.5,0.673,6,6,1.134,14.6
6.167,23,29,11,47.392,45.422,40,58.5,43,77.544,26,30,69.52,72,557.1,69,23,42.0,0.658,6,8.074,0.153,1.008,43.5,0.687,6,10,1.124,8.7
5.4,17,22,5,35.75,34.128,30,41.5,33,59.081,17,21,52.832,55,450.38,52,14,42.3,0.656,7,8.661,0.091,1.016,40.4,0.688,5,9,1.136,9.6
5.4,15,18,3,27.762,27.235,25,36.5,28,49.481,16,15,43.887,46,342.41,43,9,41.9,0.633,6,7.963,0.065,1.021,34.9,0.646,8,10,1.151,18.6
5.4,28,23,3,42.336,40.563,36,58.0,41,65.438,30,30,58.789,64,469.58,59,25,39.0,0.688,4,7.959,0.047,0.996,50.8,0.718,5,6,1.109,8.5
5.4,12,29,5,40.324,38.374,33,46.0,37,70.474,15,24,62.087,66,447.6,62,13,46.8,0.619,11,7.219,0.076,1.001,38.7,0.65,7,9,1.137,11.3
6.0,22,13,2,25.279,24.413,22,36.0,25,38.78,22,18,35.051,38,287.34,35,18,37.1,0.698,0,8.21,0.053,1.001,51.4,0.722,3,4,1.108,8.6
5.0,23,30,7,45.273,42.352,36,52.5,40,74.102,24,28,65.618,70,498.71,66,21,45.5,0.642,7,7.556,0.1,0.994,42.4,0.686,6,8,1.123,9.1
5.796,22,31,6,44.836,42.385,36,53.0,40,75.308,24,29,66.65,71,481.65,67,22,46.3,0.633,7,7.189,0.085,0.995,43.3,0.669,5,7,1.124,7.5
6.699,17,36,12,53.569,52.097,46,63.5,51,92.987,21,34,83.418,87,634.74,82,21,43.9,0.635,13,7.741,0.138,1.017,41.5,0.653,4,12,1.134,4.9
5.0,21,28,7,44.296,42.722,38,53.5,42,75.247,22,27,67.265,70,543.67,66,18,42.4,0.647,9,8.237,0.1,1.019,40.9,0.671,5,11,1.14,7.6
6.06,11,32,6,42.841,40.406,34,47.5,37,74.806,15,26,65.752,69,460.64,66,13,48.5,0.612,12,6.979,0.087,0.996,39.4,0.649,6,8,1.133,9.1
6.602,22,24,8,39.557,38.115,34,49.0,37,65.112,23,24,58.956,61,480.59,58,19,41.4,0.657,5,8.286,0.131,1.016,41.4,0.682,4,10,1.123,6.9
5.796,16,20,3,30.569,29.015,25,38.0,28,50.524,18,20,44.803,48,332.44,45,16,44.4,0.645,4,7.388,0.063,0.996,44.4,0.679,4,5,1.123,8.9
5.25,17,12,4,26.966,27.334,27,40.5,29,44.878,20,15,41.229,41,394.4,39,15,30.8,0.701,0,10.113,0.098,1.057,38.5,0.691,6,12,1.151,15.4
4.9,6,5,0,12.847,12.639,12,18.0,13,18.98,8,8,17.622,18,180.6,17,8,29.4,0.743,0,10.624,0.0,1.037,47.1,0.756,2,4,1.116,11.8
5.4,12,12,2,30.023,25.328,21,28.0,22,35.865,12,15,33.32,34,637.87,33,12,36.4,0.768,3,19.329,0.059,1.01,45.5,0.91,0,6,1.087,0.0
6.0,22,23,4,38.983,36.75,32,49.0,35,61.358,24,25,54.865,58,441.6,55,20,41.8,0.668,3,8.029,0.069,0.998,45.5,0.709,5,7,1.116,9.1
5.4,17,13,2,25.858,26.111,25,36.5,27,43.713,18,17,39.574,40,346.34,38,15,34.2,0.687,2,9.114,0.05,1.041,44.7,0.68,4,8,1.15,10.5
5.4,22,25,8,40.665,39.433,35,52.0,38,67.109,25,27,60.662,63,471.55,60,22,41.7,0.657,5,7.859,0.127,1.011,45.0,0.678,3,8,1.118,5.0
5.4,22,38,9,50.126,46.987,39,55.0,42,87.052,24,31,76.403,80,526.75,77,21,49.4,0.61,10,6.841,0.113,0.992,40.3,0.651,6,8,1.131,7.8
5.4,12,14,3,29.012,29.736,29,41.0,31,49.677,16,19,45.298,45,406.37,43,17,32.6,0.692,2,9.45,0.067,1.053,44.2,0.675,4,10,1.155,9.3
5.4,16,10,1,20.415,19.197,17,27.0,19,29.997,16,13,27.069,29,288.16,27,12,37.0,0.711,1,10.673,0.034,1.003,48.1,0.756,3,4,1.111,11.1
7.9,27,26,8,44.114,42.443,38,56.5,42,71.899,28,27,64.832,68,530.66,64,23,40.6,0.663,4,8.292,0.118,1.013,42.2,0.689,6,11,1.123,9.4
5.4,27,25,8,42.415,40.653,36,54.5,40,68.505,28,27,61.425,65,501.03,61,24,41.0,0.666,3,8.214,0.123,1.007,44.3,0.695,6,9,1.123,9.8
5.9,17,11,3,25.244,24.584,23,34.5,25,38.25,18,15,35.018,36,348.21,34,15,32.4,0.723,0,10.241,0.083,1.03,44.1,0.742,5,8,1.125,14.7
5.5,14,18,2,28.057,27.004,24,37.0,27,47.69,16,17,42.24,45,322.41,42,9,42.9,0.643,7,7.676,0.044,1.006,40.5,0.668,6,7,1.135,14.3
6.3,12,20,6,30.557,30.111,27,36.0,29,53.713,13,20,48.341,49,379.41,47,13,42.6,0.641,7,8.073,0.122,1.029,42.6,0.65,1,7,1.143,2.1
4.3,16,11,1,19.063,18.171,16,26.0,18,30.156,16,13,26.84,29,209.27,27,12,40.7,0.673,1,7.751,0.034,0.994,48.1,0.706,3,3,1.117,11.1
5.4,17,9,2,21.642,22.169,22,33.5,24,35.626,18,14,32.513,33,301.28,31,14,29.0,0.715,0,9.719,0.061,1.049,45.2,0.698,5,8,1.149,16.1
5.4,17,10,2,24.955,25.412,25,36.5,27,40.242,18,16,37.014,37,366.75,35,15,28.6,0.726,1,10.479,0.054,1.058,45.7,0.713,4,9,1.15,11.4
7.6,12,30,6,40.569,38.569,33,45.0,37,72.02,14,24,63.156,67,451.61,63,13,47.6,0.612,11,7.168,0.09,1.002,38.1,0.644,7,9,1.143,11.1
5.4,18,15,4,26.586,25.225,22,35.0,24,40.986,19,19,36.607,39,285.37,37,17,40.5,0.682,1,7.713,0.103,0.989,51.4,0.719,3,3,1.108,8.1
7.2,22,25,6,38.756,36.74,32,47.0,36,64.667,22,23,57.091,61,449.01,57,17,43.9,0.645,6,7.877,0.098,1.002,40.4,0.68,8,9,1.135,14.0
4.4,10,4,0,10.886,10.935,11,17.0,12,17.436,10,5,15.833,16,169.59,15,5,26.7,0.729,0,11.306,0.0,1.056,33.3,0.726,5,6,1.162,33.3
4.6,6,9,0,16.21,16.074,15,22.0,17,27.159,8,10,24.611,26,203.22,24,8,37.5,0.67,2,8.468,0.0,1.025,41.7,0.675,3,5,1.132,12.5
5.4,27,33,10,48.847,46.428,40,59.5,45,82.305,28,31,72.854,78,535.71,73,22,45.2,0.636,9,7.338,0.128,0.998,42.5,0.669,7,9,1.127,9.6
5.4,17,10,2,25.341,26.079,26,39.5,28,41.381,19,17,37.909,38,357.32,36,15,27.8,0.724,1,9.926,0.053,1.053,47.2,0.704,5,9,1.149,13.9
5.4,16,23,4,32.745,30.697,26,37.0,29,55.671,16,19,48.887,52,370.93,49,11,46.9,0.626,8,7.57,0.077,0.998,38.8,0.668,6,7,1.136,12.2
5.4,16,18,3,29.262,28.203,25,38.0,28,48.318,17,19,43.247,46,334.41,43,13,41.9,0.656,5,7.777,0.065,1.006,44.2,0.681,4,6,1.124,9.3
5.4,22,15,3,28.983,28.345,26,41.0,29,46.034,23,20,41.549,44,346.39,41,20,36.6,0.691,0,8.449,0.068,1.013,48.8,0.707,4,6,1.123,9.8
5.9,22,38,10,50.126,46.987,39,55.0,42,87.052,24,31,76.403,80,526.75,77,21,49.4,0.61,10,6.841,0.125,0.992,40.3,0.651,6,8,1.131,7.8
6.0,27,19,4,37.404,36.101,33,51.5,37,58.365,28,24,52.712,56,458.56,52,23,36.5,0.694,1,8.818,0.071,1.014,46.2,0.719,6,9,1.122,11.5
4.6,16,10,1,18.966,18.58,17,27.0,19,30.076,16,13,27.393,29,226.25,27,13,37.0,0.688,0,8.38,0.034,1.015,48.1,0.702,2,4,1.114,7.4
5.4,21,18,4,33.881,31.224,27,41.5,30,49.584,22,22,45.105,48,471.31,45,19,40.0,0.694,3,10.474,0.083,1.002,48.9,0.753,1,5,1.102,2.2
5.4,12,18,6,28.796,28.584,26,35.0,28,50.298,13,19,45.458,46,365.38,44,13,40.9,0.65,6,8.304,0.13,1.033,43.2,0.654,1,7,1.143,2.3
5.4,22,35,8,47.813,45.153,38,54.0,41,82.348,24,30,72.745,76,513.7,73,21,47.9,0.619,9,7.037,0.105,0.997,41.1,0.655,5,8,1.128,6.8
5.4,6,12,3,20.83,20.008,18,25.0,19,33.621,9,12,30.68,31,264.33,30,10,40.0,0.667,2,8.811,0.097,1.023,40.0,0.694,2,6,1.121,6.7
4.8,16,10,1,19.0,18.555,17,27.0,19,30.495,16,13,27.353,29,227.26,27,13,37.0,0.687,0,8.417,0.034,1.013,48.1,0.704,3,4,1.129,11.1
5.4,18,23,7,34.233,32.651,28,40.0,30,57.322,19,23,51.091,53,378.48,51,18,45.1,0.64,5,7.421,0.132,1.002,45.1,0.671,2,5,1.124,3.9
5.4,22,13,4,29.029,29.071,28,42.0,31,46.899,22,18,42.705,44,402.82,41,17,31.7,0.709,1,9.825,0.091,1.042,43.9,0.708,6,10,1.144,14.6
7.8,27,22,7,41.773,40.968,38,56.5,42,67.954,28,26,61.647,64,536.61,60,23,36.7,0.683,3,8.943,0.109,1.027,43.3,0.696,6,12,1.133,10.0
6.2,12,12,2,20.386,20.02,18,26.0,19,33.329,13,14,30.611,31,244.26,30,14,40.0,0.667,0,8.142,0.065,1.02,46.7,0.68,0,4,1.111,0.0
5.4,16,14,2,26.398,26.063,24,37.0,27,42.325,18,18,38.814,41,322.34,38,16,36.8,0.686,2,8.483,0.049,1.021,47.4,0.695,2,6,1.114,5.3
6.5,6,21,5,26.529,24.719,20,27.0,21,46.069,8,17,40.592,42,271.39,41,7,51.2,0.603,8,6.619,0.119,0.99,41.5,0.647,1,3,1.124,2.4
4.3,10,5,0,11.426,10.778,10,16.0,11,16.83,10,6,15.265,16,151.21,15,6,33.3,0.719,0,10.081,0.0,1.018,40.0,0.762,3,4,1.122,20.0
6.1,11,14,4,22.836,20.953,18,24.5,19,36.329,11,11,32.233,33,328.27,32,7,43.8,0.655,4,10.258,0.121,1.007,34.4,0.714,5,7,1.135,15.6
5.4,16,19,6,30.574,29.325,26,39.0,28,50.574,19,18,45.76,47,373.47,45,14,42.2,0.652,4,8.299,0.128,1.017,40.0,0.679,3,8,1.124,6.7
5.4,18,37,7,53.029,50.395,43,61.0,47,89.972,23,34,79.956,84,579.76,80,24,46.3,0.63,10,7.247,0.083,0.999,42.5,0.663,5,9,1.125,6.3
6.6,15,8,3,19.364,19.998,20,32.5,22,31.661,18,12,29.484,30,272.24,28,12,28.6,0.714,0,9.723,0.1,1.053,42.9,0.692,4,8,1.131,14.3
5.5,16,23,4,34.245,32.993,29,42.0,32,58.857,18,21,52.443,55,393.49,52,15,44.2,0.634,6,7.567,0.073,1.009,40.4,0.659,5,8,1.132,9.6
6.4,22,25,6,39.142,37.407,33,50.0,37,65.806,23,24,57.985,62,439.58,58,17,43.1,0.645,6,7.579,0.097,1.0,41.4,0.675,9,9,1.135,15.5
5.7,16,19,3,29.222,27.644,24,35.0,27,48.84,16,17,43.12,46,342.87,43,11,44.2,0.643,6,7.974,0.065,1.003,39.5,0.68,6,7,1.136,14.0
5.4,18,13,3,29.943,28.56,26,41.0,29,42.878,21,19,39.793,42,429.31,39,19,33.3,0.732,0,11.008,0.071,1.02,48.7,0.768,2,7,1.099,5.1
5.4,17,10,1,19.512,18.865,17,27.5,19,29.867,17,14,27.065,29,222.26,27,14,37.0,0.699,0,8.232,0.034,1.002,51.9,0.723,2,3,1.106,7.4
5.6,22,27,6,41.949,40.625,36,52.0,40,71.572,23,27,63.792,67,491.59,63,20,42.9,0.645,7,7.803,0.09,1.013,42.9,0.666,5,9,1.136,7.9
6.1,12,24,5,31.341,29.584,25,34.0,27,55.936,13,18,48.891,51,340.48,49,11,49.0,0.604,7,6.949,0.098,0.998,36.7,0.64,6,7,1.142,12.2
5.4,16,11,2,20.972,20.601,19,30.0,21,33.575,17,14,30.494,32,253.28,30,14,36.7,0.687,0,8.443,0.063,1.016,46.7,0.699,3,5,1.119,10.0
4.0,5,8,1,15.307,14.955,14,19.5,15,24.79,7,8,22.913,23,212.25,22,6,36.4,0.68,2,9.648,0.043,1.041,36.4,0.696,2,6,1.127,9.1
5.4,22,30,7,45.08,42.88,37,55.0,40,75.391,25,29,66.869,70,494.65,67,21,44.8,0.64,7,7.383,0.1,0.998,43.3,0.673,6,8,1.125,9.0
5.4,18,20,5,30.773,29.214,25,37.0,27,50.152,19,21,44.811,47,332.43,45,18,44.4,0.649,3,7.387,0.106,0.996,46.7,0.684,2,4,1.114,4.4
5.1,16,9,1,18.949,17.832,16,26.0,18,27.661,16,12,25.033,27,227.31,25,12,36.0,0.713,0,9.092,0.037,1.001,48.0,0.758,3,4,1.106,12.0
5.4,18,17,5,29.358,28.083,25,38.0,27,46.95,20,18,42.549,44,355.45,42,16,40.5,0.669,2,8.463,0.114,1.013,42.9,0.699,3,7,1.118,7.1
4.3,6,4,0,11.585,11.331,11,16.0,12,16.961,7,6,15.745,16,214.03,15,6,26.7,0.755,0,14.269,0.0,1.05,40.0,0.772,3,5,1.131,20.0
5.7,12,20,5,27.682,26.643,23,31.0,24,48.571,13,17,43.465,44,316.39,43,13,46.5,0.62,4,7.358,0.114,1.011,39.5,0.644,2,6,1.13,4.7
6.4,22,22,7,34.693,33.686,30,44.0,33,58.568,22,22,52.669,55,406.48,52,18,42.3,0.648,4,7.817,0.127,1.013,42.3,0.667,4,8,1.126,7.7
6.3,18,32,7,45.091,42.922,37,52.0,41,78.388,20,27,69.072,73,500.67,69,18,46.4,0.622,9,7.256,0.096,1.001,39.1,0.653,8,10,1.136,11.6
5.4,16,14,2,29.671,29.046,27,41.0,30,46.001,19,18,42.338,44,405.26,41,15,34.1,0.708,3,9.884,0.045,1.033,43.9,0.724,4,9,1.122,9.8
6.5,22,22,5,35.239,33.971,30,45.0,34,58.358,22,23,52.342,56,402.49,52,18,42.3,0.653,5,7.74,0.089,1.007,44.2,0.678,4,7,1.122,7.7
6.5,16,19,3,26.563,24.993,21,31.0,23,45.026,16,17,39.702,42,281.39,40,12,47.5,0.625,5,7.035,0.071,0.993,42.5,0.664,3,4,1.126,7.5
6.7,28,19,4,40.301,40.637,39,59.0,44,65.959,29,27,60.2,63,532.52,58,25,32.8,0.701,2,9.181,0.063,1.038,46.6,0.695,6,12,1.137,10.3
7.0,22,15,4,29.779,29.146,27,43.0,30,47.406,23,20,42.542,45,358.41,42,17,35.7,0.694,2,8.534,0.089,1.013,47.6,0.709,6,7,1.129,14.3
5.4,22,26,8,41.216,39.74,35,52.0,38,68.398,25,27,61.436,64,470.57,61,22,42.6,0.651,5,7.714,0.125,1.007,44.3,0.676,4,8,1.121,6.6
5.4,12,15,3,25.245,24.139,21,32.0,23,39.824,15,18,35.942,38,277.34,36,17,41.7,0.671,1,7.704,0.079,0.998,50.0,0.701,1,3,1.106,2.8
5.4,11,18,3,26.875,25.536,22,30.5,24,45.179,12,16,40.353,42,319.82,40,10,45.0,0.638,6,7.995,0.071,1.009,40.0,0.672,3,6,1.129,7.5
6.5,22,35,10,49.552,45.911,38,55.0,41,81.849,24,31,72.167,76,525.78,73,20,47.9,0.629,9,7.202,0.132,0.989,42.5,0.679,5,7,1.121,6.8
5.4,20,11,1,23.421,22.218,20,33.0,23,34.496,20,15,31.171,34,327.2,31,14,35.5,0.717,1,10.555,0.029,1.006,48.4,0.756,4,5,1.113,12.9
5.4,16,9,2,22.512,21.077,19,30.0,21,30.628,17,14,28.371,30,333.22,28,14,32.1,0.753,0,11.901,0.067,1.013,50.0,0.804,2,5,1.094,7.1
5.4,22,33,10,46.506,44.341,38,54.0,41,80.142,24,29,71.189,74,515.67,71,21,46.5,0.625,8,7.263,0.135,1.003,40.8,0.655,5,9,1.129,7.0
5.4,18,18,4,35.625,34.02,30,47.0,33,52.598,22,26,48.033,51,411.9,48,22,37.5,0.709,3,8.581,0.078,1.001,54.2,0.742,1,4,1.096,2.1
5.4,11,17,4,27.358,26.083,23,34.5,26,44.95,14,16,40.549,43,331.43,40,11,42.5,0.652,5,8.286,0.093,1.014,40.0,0.684,3,7,1.124,7.5
5.4,20,10,1,24.665,23.713,22,37.0,25,35.579,21,16,32.389,35,352.21,32,14,31.3,0.741,1,11.007,0.029,1.012,50.0,0.771,5,6,1.112,15.6
5.4,17,19,5,30.665,28.895,25,36.5,27,49.155,18,19,44.105,46,353.48,44,15,43.2,0.657,4,8.034,0.109,1.002,43.2,0.697,3,6,1.117,6.8
7.2,22,23,5,36.995,35.213,31,46.0,35,61.252,22,22,54.207,58,434.98,54,17,42.6,0.652,5,8.055,0.086,1.004,40.7,0.685,8,9,1.134,14.8
5.4,22,32,7,44.841,42.406,36,52.0,39,76.806,24,28,67.752,71,484.66,68,21,47.1,0.624,7,7.127,0.099,0.996,41.2,0.659,6,8,1.13,8.8
5.4,24,22,7,39.591,38.389,35,54.0,38,64.069,28,24,58.065,60,490.59,57,22,38.6,0.673,2,8.607,0.117,1.019,42.1,0.695,6,11,1.124,10.5
5.4,18,15,4,25.29,24.456,22,33.0,24,41.777,18,16,37.254,39,293.36,37,15,40.5,0.661,1,7.929,0.103,1.007,43.2,0.684,5,6,1.129,13.5
8.1,27,21,6,39.62,38.343,35,53.5,39,62.99,28,25,56.923,60,488.59,56,23,37.5,0.685,2,8.725,0.1,1.016,44.6,0.707,6,10,1.125,10.7
5.4,17,14,2,26.489,25.633,23,36.5,26,40.907,19,19,37.16,40,302.35,37,19,37.8,0.693,0,8.172,0.05,1.004,51.4,0.716,2,4,1.106,5.4
5.8,17,14,2,27.841,27.172,25,37.5,28,43.978,18,18,39.873,42,356.81,39,16,35.9,0.697,2,9.149,0.048,1.022,46.2,0.714,4,7,1.128,10.3
5.8,23,24,7,39.546,37.783,33,50.5,37,63.564,25,27,56.898,61,436.55,57,24,42.1,0.663,3,7.659,0.115,0.998,47.4,0.694,4,6,1.115,7.0
5.8,12,9,0,18.006,17.875,17,26.0,19,29.531,13,11,26.604,28,227.25,26,11,34.6,0.688,0,8.74,0.0,1.023,42.3,0.693,5,6,1.136,19.2
5.4,16,24,5,33.955,31.917,27,38.0,30,57.797,16,20,50.996,54,385.94,51,12,47.1,0.626,8,7.567,0.093,1.0,39.2,0.666,5,7,1.133,9.8
8.801,24,26,2,41.762,40.025,35,55.0,42,68.189,25,28,61.109,68,466.58,61,19,42.6,0.656,9,7.649,0.029,1.002,45.9,0.685,4,7,1.118,6.6
7.0,17,30,6,42.534,40.594,35,49.5,39,73.6,19,26,65.196,69,474.62,65,17,46.2,0.625,9,7.302,0.087,1.003,40.0,0.654,6,9,1.132,9.2
5.4,27,22,6,36.33,34.542,30,47.5,34,57.939,27,25,51.687,56,394.51,52,22,42.3,0.664,3,7.587,0.107,0.994,48.1,0.699,4,5,1.114,7.7
5.4,17,11,3,26.188,27.593,28,39.5,30,45.602,18,17,41.927,41,398.32,39,15,28.2,0.708,2,10.213,0.073,1.075,43.6,0.671,4,11,1.169,10.3
5.4,10,13,4,18.733,18.128,16,23.0,17,32.99,11,11,29.378,30,219.27,29,8,44.8,0.625,3,7.561,0.133,1.013,37.9,0.646,3,5,1.138,10.3
5.4,17,10,2,24.955,25.412,25,36.5,27,40.242,18,16,37.014,37,366.75,35,15,28.6,0.726,1,10.479,0.054,1.058,45.7,0.713,4,9,1.15,11.4
5.4,17,9,2,23.972,25.351,26,37.5,28,40.977,18,16,37.716,37,368.29,35,15,25.7,0.724,1,10.523,0.054,1.078,45.7,0.685,4,10,1.171,11.4
5.4,11,21,3,27.938,25.853,21,28.5,23,47.302,11,17,41.691,44,304.85,42,9,50.0,0.616,8,7.258,0.068,0.993,40.5,0.665,2,4,1.126,4.8
5.4,17,13,3,26.313,26.826,26,37.5,28,44.922,18,17,40.902,41,362.34,39,15,33.3,0.688,2,9.291,0.073,1.049,43.6,0.675,4,9,1.152,10.3
5.4,6,30,9,35.489,33.277,27,34.0,28,64.647,9,21,56.883,58,374.53,57,10,52.6,0.584,11,6.571,0.155,0.998,36.8,0.623,2,6,1.134,3.5
5.4,16,10,2,21.375,20.714,19,30.0,21,32.309,17,14,29.491,31,271.72,29,14,34.5,0.714,0,9.37,0.065,1.017,48.3,0.737,3,5,1.114,10.3
5.4,12,22,5,31.194,29.391,25,34.0,27,53.382,13,18,47.112,49,359.9,47,12,46.8,0.625,6,7.657,0.102,1.002,38.3,0.664,5,7,1.136,10.6
7.2,12,25,6,38.131,37.503,34,46.0,38,67.995,14,23,60.523,63,474.54,59,12,42.4,0.636,11,8.043,0.095,1.026,39.0,0.646,6,11,1.152,10.2
7.5,22,34,7,49.239,47.227,41,58.0,46,85.316,23,31,75.545,80,560.71,75,20,45.3,0.63,11,7.476,0.088,1.007,41.3,0.657,6,10,1.138,8.0
5.4,20,22,7,34.58,33.058,29,45.0,32,57.521,22,22,51.007,54,386.5,51,15,43.1,0.648,6,7.578,0.13,1.0,43.1,0.678,6,7,1.128,11.8
5.4,22,15,3,28.983,28.345,26,41.0,29,46.034,23,20,41.549,44,346.39,41,20,36.6,0.691,0,8.449,0.068,1.013,48.8,0.707,4,6,1.123,9.8
6.2,12,11,3,24.438,23.178,21,30.0,22,35.673,14,14,32.836,33,413.08,32,14,34.4,0.724,0,12.909,0.091,1.026,43.8,0.764,3,7,1.115,9.4
5.4,22,26,4,42.705,41.429,37,55.0,41,71.027,24,28,63.723,67,499.59,63,20,41.3,0.658,6,7.93,0.06,1.011,44.4,0.678,5,9,1.127,7.9
6.6,17,27,6,38.756,36.32,31,43.5,34,65.77,18,22,57.952,61,437.63,58,14,46.6,0.626,8,7.545,0.098,0.999,37.9,0.668,7,9,1.134,12.1
6.0,17,25,5,34.893,32.891,28,40.5,31,60.225,18,21,52.665,56,375.53,53,15,47.2,0.621,6,7.085,0.089,0.994,39.6,0.658,7,7,1.136,13.2
5.4,22,21,6,34.574,33.036,29,45.0,32,56.023,24,23,49.905,53,383.49,50,21,42.0,0.661,2,7.67,0.113,0.998,46.0,0.691,5,6,1.12,10.0
5.4,27,22,6,43.989,42.06,38,58.5,43,66.408,29,28,60.822,65,542.68,60,24,36.7,0.701,4,9.045,0.092,1.014,46.7,0.733,4,10,1.107,6.7
5.7,24,27,7,45.529,43.862,39,58.0,43,73.654,27,29,66.949,70,545.66,66,25,40.9,0.665,4,8.268,0.1,1.014,43.9,0.69,3,10,1.116,4.5
