pXC50,D.Dtr09,Eig11_AEA.bo.,Xindex,Eig08_AEA.bo.,Vindex,Eig08_EA,SM02_AEA.dm.,SpMax5_Bh.m.,Eig08_EA.ed.,SM03_AEA.ri.,Eig08_AEA.ed.,Eig08_AEA.ri.,RDCHI,Eig08_EA.ri.,Eig10_AEA.bo.,Eig11_EA.bo.,Yindex,Eig11_AEA.ri.,SpMax5_Bh.p.,SpMax5_Bh.v.,Eig07_EA,SM15_AEA.bo.,GMTIV,Eig02_EA,SM10_AEA.bo.,SMTIV,Eig07_AEA.ri.,X1v,Eig08_EA.bo.,GMTI,Wap,ATS2p,CSI,SpAD_EA.bo.,ATS1p,ATSC3i,SpMax5_Bh.i.,ATS2v,Eig13_EA.ed.,SM08_AEA.ri.,piID,SpAD_AEA.dm.,SpMaxA_AEA.ri.,LPRS,SMTI,X0v,Eig09_AEA.bo.,SpAD_EA.ri.,Eig06_EA.ri.,ATSC4i,X2sol,Eig09_AEA.ri.,X1sol,Eig10_EA.bo.,piPC01,SCBO,Eig11_AEA.ed.,Eig13_EA.bo.,MWC04,Psi_i_1,ECC,SpAD_EA.ed.,piPC02,SM02_EA.bo.,SpMax4_Bh.v.,MSD,SpMin4_Bh.p.,Eig09_EA.ri.,ZM2V
5.143,0.0,2.26,0.272,2.547,0.169,1.028,1.028,3.219,2.462,2.462,3.445,2.024,3.936,1.016,2.5,1.142,0.443,1.74,3.03,3.069,1.318,1.318,26691.0,2.833,2.833,14130.0,2.271,8.368,1.5,8514.0,14703.0,3.761,646.0,58.347,3.411,0.972,3.301,3.724,1.372,1.372,11.009,42.724,0.141,123.086,7888.0,13.734,2.5,39.917,1.661,0.986,11.353,2.0,12.747,1.498,3.714,40.0,3.247,0.927,6.592,13.882,291.0,115.421,4.311,4.997,3.369,6.897,1.511,1.0,428.0
5.184,0.0,1.109,0.37,2.5,0.239,1.0,1.0,2.899,2.136,2.136,3.247,2.0,3.338,1.0,1.423,-0.205,0.666,0.784,2.829,2.839,1.319,1.319,10156.0,2.549,2.549,6173.0,2.316,6.507,1.5,3965.0,6658.0,3.609,376.0,43.624,3.264,0.986,3.056,3.556,-1.94,-1.94,9.95,32.789,0.178,88.567,3797.0,10.913,2.326,31.402,1.411,0.888,8.564,1.606,9.81,0.086,3.466,31.0,2.625,-1.259,6.297,11.318,173.0,85.245,4.007,4.691,3.171,5.157,1.473,0.609,272.0
5.057,124.968,2.5,0.267,2.9,0.167,1.386,1.386,3.307,3.121,3.121,3.829,2.374,4.196,1.357,2.622,1.5,0.442,2.0,3.13,3.165,1.807,1.807,37777.0,2.784,2.784,20289.0,2.768,9.048,1.968,11935.0,24144.0,3.934,814.0,66.058,3.562,1.439,3.428,3.913,2.015,2.015,12.223,49.062,0.13,149.839,11335.0,15.418,2.745,46.317,1.961,1.451,12.063,2.228,13.704,1.612,3.829,45.0,3.414,1.149,6.739,16.276,376.0,133.672,4.457,5.145,3.362,7.486,1.761,1.219,431.0
5.069,74.55,1.022,0.363,2.213,0.231,0.824,0.824,3.072,2.046,2.046,3.414,1.689,3.257,0.692,1.152,-0.445,0.626,0.532,2.735,2.715,1.0,1.0,13281.0,2.626,2.626,6748.0,1.981,7.78,1.107,3592.0,5549.0,3.624,365.0,43.273,3.258,0.699,2.925,3.512,-2.821,-2.821,9.58,34.076,0.19,83.234,3451.0,12.096,1.846,27.76,1.0,0.7,9.915,1.431,10.417,-0.177,3.401,29.0,2.425,-1.436,6.315,10.828,167.0,87.854,4.056,4.741,2.99,5.247,1.303,0.478,333.0
4.002,0.0,0.28,0.479,1.0,0.311,-0.179,-0.179,2.687,-0.437,-0.437,2.368,0.741,2.76,-0.162,0.469,-1.5,0.86,-0.036,2.347,2.393,0.0,0.0,5227.0,2.62,2.62,2864.0,0.861,5.487,-0.21,1437.0,1205.0,3.189,205.0,26.733,2.929,0.509,2.662,3.114,-5.247,-5.247,6.757,25.797,0.253,53.898,1473.0,8.289,0.5,19.977,0.58,0.448,6.523,0.061,7.254,-1.396,2.996,19.0,1.344,-2.0,5.905,7.897,98.0,58.0,3.481,4.159,2.715,4.281,1.062,-0.837,204.0
5.183,0.0,1.286,0.402,2.5,0.25,1.0,1.0,3.185,2.275,2.275,3.414,2.0,3.432,1.0,1.483,-0.106,0.658,0.87,2.807,2.795,1.399,1.399,21559.0,2.813,2.813,10743.0,2.319,6.586,1.5,5055.0,4333.0,3.511,487.0,44.23,3.185,0.912,3.057,3.515,-2.008,-2.008,8.571,36.119,0.166,103.589,5146.0,12.278,1.537,31.41,1.326,0.823,9.289,1.213,10.368,0.269,3.466,31.0,2.378,-0.986,6.344,11.075,238.0,92.268,4.025,4.71,3.077,6.314,1.527,0.277,353.0
5.426,0.0,1.019,0.433,2.286,0.276,0.944,0.944,3.016,1.724,1.724,3.32,1.904,3.364,0.892,1.583,-0.211,0.756,0.794,2.98,2.984,1.231,1.231,13454.0,2.69,2.69,8260.0,2.21,6.985,1.092,4624.0,4408.0,3.573,447.0,44.106,3.268,0.945,3.299,3.558,-1.205,-1.205,9.087,34.847,0.182,102.065,4773.0,13.136,2.063,32.018,1.36,0.972,9.06,1.526,10.562,0.479,3.45,30.5,2.484,-0.75,6.392,11.406,220.0,94.35,4.021,4.705,3.035,5.815,1.688,0.532,327.0
4.75,0.0,1.26,0.405,2.448,0.269,1.018,1.018,3.113,2.582,2.582,3.714,2.03,3.252,1.023,2.0,0.073,0.787,0.956,2.941,2.952,1.226,1.226,14777.0,2.804,2.804,8087.0,2.219,7.507,1.346,4376.0,8298.0,3.746,397.0,45.638,3.315,1.106,3.206,3.709,-1.622,-1.622,8.747,40.129,0.18,98.976,4359.0,12.598,2.257,35.901,1.424,1.1,10.019,1.984,10.792,0.86,3.466,31.0,2.979,-0.917,6.561,12.964,187.0,110.334,4.016,4.7,3.067,5.004,1.481,0.983,331.0
5.548,76.841,1.957,0.34,2.826,0.227,1.403,1.403,3.169,3.004,3.004,3.63,2.393,3.71,1.389,2.249,0.766,0.675,1.524,3.052,3.074,1.514,1.514,16801.0,2.82,2.82,10708.0,2.477,9.13,1.912,7165.0,19147.0,3.897,485.0,56.246,3.495,1.418,3.348,3.865,0.445,0.445,10.965,45.141,0.15,124.007,6897.0,14.865,2.413,41.405,1.685,1.387,11.21,2.252,12.686,1.232,3.651,37.5,3.255,0.248,6.73,15.634,223.0,127.354,4.294,4.98,3.449,5.44,1.721,1.241,377.0
5.27,0.0,0.939,0.442,2.286,0.283,0.944,0.944,2.974,1.722,1.722,3.318,1.904,3.271,0.892,1.028,-0.494,0.781,0.602,3.019,2.993,1.203,1.203,10707.0,2.657,2.657,6917.0,2.195,6.873,1.091,4057.0,3795.0,3.593,397.0,42.933,3.271,0.966,3.284,3.552,-1.428,-1.428,8.953,33.468,0.191,95.498,4183.0,12.727,2.063,31.331,1.357,0.98,8.891,1.523,10.024,-0.211,3.418,29.5,2.308,-0.751,6.354,11.162,195.0,91.461,4.003,4.687,3.058,5.561,1.688,0.529,301.0
5.092,0.0,0.796,0.431,2.188,0.274,1.0,1.0,3.207,1.894,1.894,3.183,2.0,3.238,1.0,1.248,-0.62,0.741,0.466,2.803,2.781,1.071,1.071,11362.0,2.65,2.65,6839.0,2.072,6.773,1.167,3713.0,3378.0,3.584,406.0,40.24,3.241,0.794,3.012,3.532,-2.107,-2.107,8.384,31.874,0.188,89.849,3801.0,11.853,1.366,28.859,1.15,0.743,8.819,1.068,9.885,-0.177,3.367,28.0,2.211,-1.259,6.256,10.777,198.0,83.396,3.932,4.615,3.077,5.604,1.402,0.117,289.0
5.084,0.0,0.685,0.474,1.491,0.31,0.288,0.288,2.834,0.422,0.422,2.765,1.191,2.977,0.256,1.028,-0.98,0.876,0.223,2.795,2.792,1.0,1.0,9320.0,2.748,2.748,5163.0,2.0,5.435,0.326,2575.0,2613.0,3.379,307.0,37.638,3.068,0.853,3.044,3.374,-3.0,-3.0,8.402,29.452,0.211,76.307,2676.0,10.106,1.277,26.785,1.113,0.795,6.998,0.85,8.22,-0.4,3.296,26.0,2.0,-1.58,6.201,9.387,150.0,78.807,3.892,4.575,2.993,4.818,1.406,-0.111,273.0
4.002,87.568,0.829,0.465,2.159,0.323,0.534,0.534,2.879,0.818,0.818,2.895,1.415,2.879,0.465,0.935,-0.965,1.017,0.363,2.854,2.85,1.0,1.0,5974.0,2.505,2.505,3613.0,1.979,5.318,0.691,2081.0,5257.0,3.428,228.0,41.403,3.055,0.688,3.08,3.414,-2.905,-2.905,10.059,31.791,0.227,67.746,2093.0,9.344,1.587,27.344,1.028,0.726,7.099,1.097,8.347,-0.797,3.384,28.5,2.257,-1.5,6.337,9.674,106.0,85.149,4.065,4.749,2.938,3.842,1.37,0.154,265.0
5.214,0.0,0.966,0.362,2.5,0.231,1.0,1.0,2.709,2.275,2.275,3.414,2.0,3.335,1.0,2.157,-0.594,0.632,0.552,2.735,2.715,1.0,1.0,11965.0,2.773,2.773,6844.0,2.0,6.154,1.5,4023.0,5962.0,3.545,397.0,46.375,3.2,0.756,2.925,3.527,-2.0,-2.0,9.833,33.594,0.182,89.347,3913.0,10.615,2.369,32.86,1.203,0.774,8.65,1.86,9.737,0.987,3.481,31.5,2.462,-1.35,6.351,10.998,185.0,92.12,4.082,4.766,3.093,5.47,1.473,0.858,305.0
5.489,78.341,0.797,0.366,2.5,0.235,1.0,1.0,2.967,2.286,2.286,3.448,2.0,3.322,1.0,2.081,-0.717,0.647,0.392,2.934,2.933,1.147,1.147,9636.0,2.781,2.781,6059.0,2.143,6.571,1.5,3987.0,5854.0,3.662,380.0,46.898,3.297,0.842,3.127,3.605,-1.823,-1.823,10.188,34.052,0.189,88.916,3845.0,11.284,2.422,32.652,1.262,0.874,8.538,1.938,9.754,0.572,3.497,32.0,2.374,-1.163,6.368,11.475,175.0,92.291,4.123,4.808,3.246,5.257,1.574,0.935,268.0
5.051,0.0,1.977,0.324,2.5,0.201,1.0,1.0,2.979,2.136,2.136,3.356,2.0,3.636,1.0,2.0,0.76,0.529,1.494,2.941,2.91,1.0,1.0,13073.0,2.59,2.59,8355.0,2.0,7.583,1.5,5746.0,6729.0,3.715,512.0,44.567,3.369,1.182,3.206,3.662,-1.585,-1.585,9.243,35.507,0.163,103.616,5481.0,12.852,2.197,33.501,1.292,1.131,9.119,1.952,10.826,1.0,3.466,31.0,3.066,-0.894,6.354,12.607,237.0,92.352,3.951,4.635,3.164,6.354,1.553,0.946,275.0
5.35,0.0,1.124,0.365,2.5,0.235,1.0,1.0,2.835,2.136,2.136,3.247,2.0,3.416,1.0,2.267,-0.089,0.656,0.837,2.735,2.74,1.164,1.164,12640.0,2.577,2.577,7426.0,2.137,6.352,1.5,4506.0,5831.0,3.52,416.0,47.563,3.196,0.937,3.086,3.514,-1.566,-1.566,10.105,34.152,0.18,95.013,4352.0,11.087,2.5,32.805,1.441,0.851,8.879,2.0,10.254,0.992,3.512,32.5,2.614,-0.975,6.395,11.273,193.0,94.446,4.115,4.8,2.876,5.432,1.578,1.0,334.0
5.35,0.0,1.177,0.357,2.5,0.228,1.0,1.0,3.191,2.264,2.264,3.491,2.0,3.429,1.0,2.157,-0.238,0.626,0.787,2.805,2.777,1.267,1.267,14068.0,2.764,2.764,7883.0,2.27,6.828,1.5,4598.0,6148.0,3.612,422.0,47.186,3.269,0.774,2.925,3.581,-1.983,-1.983,9.64,35.263,0.176,95.472,4437.0,11.801,2.368,33.059,1.302,0.705,9.347,1.866,10.526,0.979,3.512,32.5,2.62,-1.119,6.382,11.569,196.0,93.814,4.099,4.783,3.06,5.566,1.498,0.86,324.0
4.889,0.0,1.321,0.38,2.392,0.234,1.0,1.0,3.148,2.211,2.211,3.271,2.0,3.593,1.0,2.118,0.176,0.604,1.104,3.023,3.052,1.146,1.146,16603.0,2.599,2.599,9702.0,2.151,7.865,1.338,5448.0,3980.0,3.676,520.0,43.401,3.357,0.925,3.251,3.588,-1.8,-1.8,8.679,34.444,0.166,104.795,5485.0,13.06,2.164,31.202,1.221,0.829,9.579,1.475,11.14,0.738,3.481,31.5,2.492,-0.981,6.26,11.688,253.0,84.368,3.966,4.649,3.37,6.731,1.554,0.509,309.0
5.252,0.0,0.351,0.407,2.079,0.251,0.335,0.335,2.733,0.779,0.779,2.829,1.203,3.039,0.286,0.485,-1.076,0.644,0.09,2.754,2.736,0.713,0.713,6503.0,2.686,2.686,4019.0,1.623,6.565,0.562,2343.0,1803.0,3.53,294.0,34.172,3.17,0.705,3.076,3.352,-3.847,-3.847,8.435,25.204,0.212,67.198,2342.0,10.808,0.671,22.441,0.707,0.59,8.363,0.427,8.554,-0.922,3.219,24.0,1.601,-2.313,5.979,8.82,140.0,64.693,3.773,4.454,2.947,5.296,1.507,-0.442,249.0
5.236,162.006,2.007,0.263,2.996,0.166,1.513,1.513,3.135,4.29,4.29,4.411,2.438,3.881,1.383,2.399,0.831,0.449,1.532,3.053,3.016,1.683,1.683,24526.0,3.014,3.014,13085.0,2.552,9.335,2.223,8301.0,41493.0,3.843,622.0,59.401,3.462,1.04,3.27,3.809,0.477,0.477,12.203,44.782,0.139,121.114,7509.0,14.87,2.48,39.375,1.618,1.012,12.652,2.315,13.097,1.376,3.689,39.0,3.184,0.311,6.737,14.898,272.0,129.635,4.388,5.075,3.267,6.318,1.6,1.267,467.0
5.492,0.0,0.847,0.412,2.444,0.258,1.0,1.0,3.107,2.275,2.275,3.414,1.958,3.332,0.956,1.39,-0.541,0.684,0.505,2.777,2.77,1.0,1.0,12514.0,2.588,2.588,7290.0,2.0,6.724,1.431,3933.0,3399.0,3.524,431.0,39.689,3.206,0.807,3.028,3.479,-2.195,-2.195,8.326,31.475,0.183,90.803,4001.0,11.853,1.452,28.215,1.202,0.727,8.67,1.244,9.975,0.086,3.367,28.0,2.0,-1.304,6.196,10.539,210.0,79.255,3.892,4.575,3.132,5.937,1.455,0.296,288.0
5.37,0.0,2.5,0.297,2.816,0.182,1.422,1.422,3.352,4.02,4.02,4.44,2.396,4.11,1.389,2.563,1.5,0.469,2.0,3.161,3.151,1.859,1.859,33049.0,2.884,2.884,19520.0,2.868,9.902,1.935,11902.0,13374.0,3.935,848.0,61.02,3.578,1.416,3.384,3.877,0.707,0.707,10.017,50.54,0.131,151.325,11572.0,17.209,2.762,44.328,2.032,1.477,13.346,2.296,14.284,1.588,3.75,41.5,3.414,0.365,6.696,15.754,401.0,130.54,4.347,5.034,3.398,7.901,1.705,1.238,443.0
4.86,0.0,2.16,0.306,2.5,0.188,1.088,1.088,3.338,2.632,2.632,3.546,2.047,3.904,1.038,2.321,1.0,0.488,1.82,2.992,3.092,1.411,1.411,30959.0,2.902,2.902,16360.0,2.407,8.852,1.5,8901.0,9939.0,3.796,685.0,54.077,3.419,1.206,3.405,3.762,0.545,0.545,8.845,44.067,0.138,130.538,8618.0,14.685,2.464,39.405,1.525,1.112,11.824,2.0,12.95,1.218,3.651,37.5,3.253,0.316,6.569,14.324,322.0,115.852,4.171,4.856,3.268,7.284,1.716,1.0,417.0
5.259,0.0,0.748,0.424,2.173,0.268,0.694,0.694,2.979,1.673,1.673,3.268,1.594,3.222,0.606,1.357,-0.841,0.72,0.315,2.809,2.805,1.144,1.144,14416.0,2.853,2.853,7613.0,2.136,6.984,1.012,3786.0,2912.0,3.593,388.0,41.386,3.229,0.727,3.115,3.518,-2.418,-2.418,7.909,33.576,0.185,90.031,3846.0,12.255,1.687,29.052,1.277,0.683,9.837,1.239,10.166,0.038,3.384,28.5,2.334,-1.3,6.282,10.616,188.0,87.808,3.966,4.649,3.046,5.595,1.427,0.262,322.0
6.27,158.862,1.847,0.315,2.839,0.201,1.362,1.362,3.13,2.949,2.949,3.605,2.34,3.498,1.322,1.847,0.521,0.552,1.241,2.852,2.839,1.489,1.489,14117.0,2.968,2.968,7841.0,2.448,8.083,1.995,4966.0,12246.0,3.774,419.0,52.423,3.374,0.821,3.037,3.671,-1.89,-1.89,11.09,37.35,0.167,95.001,4562.0,12.501,2.54,34.039,1.412,0.768,10.702,1.959,11.109,0.521,3.584,35.0,3.0,-1.13,6.509,12.542,185.0,105.051,4.27,4.956,3.215,5.432,1.367,0.932,366.0
5.167,0.0,1.643,0.337,2.358,0.212,1.0,1.0,3.184,2.275,2.275,3.414,1.949,3.564,0.932,2.04,0.535,0.566,1.421,3.085,3.088,1.0,1.0,15241.0,2.786,2.786,8997.0,2.0,7.947,1.242,5421.0,7125.0,3.666,501.0,45.732,3.333,0.947,3.318,3.622,-1.203,-1.203,9.031,36.303,0.163,102.876,5249.0,12.982,2.185,32.895,1.248,0.921,9.817,1.816,11.212,1.01,3.481,31.5,2.791,-0.686,6.405,12.289,234.0,96.623,4.021,4.705,3.201,6.113,1.595,0.812,340.0
5.294,0.0,1.108,0.397,2.473,0.246,1.0,1.0,2.931,2.136,2.136,3.247,1.956,3.406,0.953,1.187,-0.351,0.644,0.728,2.934,2.927,1.0,1.0,9662.0,2.568,2.568,6518.0,2.0,6.847,1.471,4113.0,3335.0,3.601,439.0,38.9,3.264,1.0,3.205,3.518,-2.249,-2.249,8.221,30.34,0.176,91.423,4143.0,11.596,1.557,28.726,1.326,0.921,8.11,1.401,9.775,0.0,3.367,28.0,2.138,-1.35,6.146,10.898,213.0,74.494,3.85,4.533,3.179,6.119,1.58,0.406,244.0
5.213,0.0,2.5,0.323,2.809,0.203,1.329,1.329,3.315,2.934,2.934,3.563,2.33,3.935,1.326,2.5,1.5,0.547,2.0,3.13,3.183,1.461,1.461,22627.0,2.614,2.614,13465.0,2.448,8.264,1.918,8478.0,9753.0,3.824,632.0,55.019,3.48,1.204,3.452,3.771,0.097,0.097,10.06,42.167,0.143,128.967,8162.0,14.107,2.575,39.843,1.492,1.191,10.848,2.106,12.72,1.5,3.689,39.0,3.247,0.044,6.5,14.17,297.0,105.815,4.212,4.898,3.221,6.734,1.614,1.101,347.0
4.979,48.754,0.799,0.422,2.06,0.282,0.728,0.728,2.98,1.359,1.359,3.159,1.716,3.045,0.704,1.022,-0.759,0.831,0.393,2.885,2.89,0.948,0.948,7320.0,2.732,2.732,4471.0,1.895,6.694,0.915,2649.0,6150.0,3.62,296.0,42.697,3.228,0.712,3.053,3.528,-2.838,-2.838,10.044,31.178,0.208,74.99,2633.0,10.79,2.015,28.748,1.239,0.653,8.323,1.447,9.2,-0.613,3.384,28.5,2.305,-1.554,6.333,10.551,137.0,87.331,4.065,4.749,3.158,4.43,1.454,0.471,282.0
5.866,0.0,1.156,0.346,2.601,0.219,1.107,1.107,3.136,2.733,2.733,3.579,2.103,3.452,1.102,2.148,-0.183,0.59,0.752,2.8,2.771,1.414,1.414,15444.0,2.799,2.799,8365.0,2.344,6.663,1.626,4726.0,6752.0,3.569,428.0,47.229,3.23,0.731,2.975,3.547,-1.783,-1.783,10.404,34.176,0.174,96.082,4557.0,11.657,2.27,32.274,1.376,0.711,9.335,1.671,10.526,0.88,3.512,32.5,2.475,-0.936,6.378,11.349,199.0,93.508,4.115,4.8,3.099,5.741,1.427,0.679,345.0
4.924,106.717,1.314,0.35,2.64,0.231,1.163,1.163,2.981,2.803,2.803,3.582,2.137,3.352,1.13,1.977,-0.042,0.673,0.912,2.84,2.867,1.321,1.321,10173.0,2.663,2.663,6019.0,2.274,6.36,1.706,3979.0,12411.0,3.568,355.0,50.134,3.207,0.846,3.118,3.562,-1.78,-1.78,11.46,34.502,0.184,87.064,3687.0,10.576,2.5,33.597,1.407,0.804,8.703,2.0,9.916,0.749,3.541,33.5,2.765,-1.051,6.469,11.61,157.0,98.62,4.23,4.916,2.928,4.758,1.262,1.0,325.0
5.101,53.925,0.58,0.427,1.945,0.285,0.469,0.469,2.717,1.178,1.178,3.159,1.418,2.933,0.429,0.746,-1.355,0.833,0.065,2.735,2.715,1.0,1.0,6410.0,2.626,2.626,3622.0,2.0,5.321,0.685,2065.0,3831.0,3.37,244.0,39.029,3.018,0.542,2.925,3.345,-3.378,-3.378,9.453,27.331,0.225,63.64,2000.0,9.108,0.971,25.959,1.013,0.5,7.476,0.477,8.115,-0.885,3.296,26.0,2.0,-1.791,6.188,9.091,111.0,76.863,3.966,4.649,2.771,4.146,1.062,-0.27,265.0
5.193,0.0,0.965,0.366,2.474,0.235,0.883,0.883,2.948,2.104,2.104,3.477,1.905,3.314,0.897,1.426,-0.497,0.647,0.54,2.797,2.81,1.209,1.209,13646.0,2.657,2.657,7231.0,2.18,6.326,1.348,3994.0,6642.0,3.485,377.0,43.033,3.138,0.772,3.042,3.484,-1.888,-1.888,9.386,34.069,0.186,88.905,3847.0,11.118,2.144,30.657,1.419,0.698,9.028,1.685,10.026,0.035,3.434,30.0,2.341,-0.934,6.354,10.825,174.0,90.438,3.989,4.673,2.887,5.275,1.251,0.693,337.0
