pXC50,nDB,N.,nCsp3,Sp,Sv,Se,nSK,Si,nBO,SCBO,nAT,nBT,nC,AMW,C.,H.,Me,Mi,Mp,Mv,MW,nAB
9.046,2,6.0,9,33.262,31.018,50.407,26,56.554,28,35.5,50,52,18,7.959,36.0,48.0,1.008,1.131,0.665,0.62,397.97,11
9.097,2,6.4,8,31.5,29.491,47.523,25,53.139,27,34.5,47,49,17,8.169,36.2,46.8,1.011,1.131,0.67,0.627,383.94,11
8.62,2,5.9,6,35.5,33.491,51.523,29,57.139,32,42.5,51,54,21,8.47,41.2,43.1,1.01,1.12,0.696,0.657,431.98,17
9.523,2,5.9,6,35.5,33.491,51.523,29,57.139,32,42.5,51,54,21,8.47,41.2,43.1,1.01,1.12,0.696,0.657,431.98,17
7.398,1,9.8,3,29.046,27.961,41.036,25,45.694,28,39.5,41,44,20,8.01,48.8,39.0,1.001,1.114,0.708,0.682,328.4,17
6.564,0,2.9,1,24.211,23.476,34.312,21,38.084,23,32.0,34,36,18,8.274,52.9,38.2,1.009,1.12,0.712,0.69,281.32,18
6.48,0,3.2,1,23.222,21.369,30.48,18,33.91,20,28.5,31,33,16,8.109,51.6,41.9,0.983,1.094,0.749,0.689,251.37,17
6.099,0,3.2,1,23.222,21.369,30.48,18,33.91,20,28.5,31,33,16,8.109,51.6,41.9,0.983,1.094,0.749,0.689,251.37,17
6.636,0,5.3,1,27.341,25.73,37.389,22,41.903,25,36.0,38,41,20,7.484,52.6,42.1,0.984,1.103,0.72,0.677,284.38,22
5.947,0,2.4,1,29.551,27.951,40.498,24,45.029,27,38.5,41,44,22,7.595,53.7,41.5,0.988,1.098,0.721,0.682,311.4,23
6.467,0,2.8,1,25.245,24.139,35.942,21,39.824,23,32.0,36,38,18,7.704,50.0,41.7,0.998,1.106,0.701,0.671,277.34,18
6.391,0,5.6,1,25.341,23.73,35.389,20,39.903,22,31.0,36,38,18,7.232,50.0,44.4,0.983,1.108,0.704,0.659,260.36,18
6.246,1,4.9,2,28.557,26.972,40.6,23,45.528,25,35.0,41,43,20,7.376,48.8,43.9,0.99,1.11,0.697,0.658,302.4,18
6.288,0,2.9,1,24.273,23.092,33.8,20,37.744,22,31.0,34,36,18,7.745,52.9,41.2,0.994,1.11,0.714,0.679,263.33,18
6.196,0,6.3,1,22.58,21.204,31.505,18,35.488,20,28.5,32,34,16,7.322,50.0,43.8,0.985,1.109,0.706,0.663,234.32,17
6.582,0,6.5,2,21.58,20.204,30.505,17,34.488,19,27.0,31,33,15,7.171,48.4,45.2,0.984,1.113,0.696,0.652,222.31,16
5.743,0,9.1,1,15.057,14.15,21.738,12,24.657,13,18.5,22,23,10,7.192,45.5,45.5,0.988,1.121,0.684,0.643,158.22,11
6.284,0,6.5,2,21.58,20.204,30.505,17,34.488,19,27.0,31,33,15,7.171,48.4,45.2,0.984,1.113,0.696,0.652,222.31,16
6.0,0,14.3,1,14.301,13.645,20.956,12,23.741,13,18.5,21,22,9,7.581,42.9,42.9,0.998,1.131,0.681,0.65,159.21,11
5.848,0,15.2,1,24.313,23.687,33.16,22,36.737,24,36.5,33,35,17,8.646,51.5,33.3,1.005,1.113,0.737,0.718,285.33,17
6.971,0,7.1,1,20.676,19.504,27.945,17,31.017,19,27.0,28,30,14,8.669,50.0,39.3,0.998,1.108,0.738,0.697,242.72,16
6.51,0,6.5,2,21.58,20.204,30.505,17,34.488,19,27.0,31,33,15,7.171,48.4,45.2,0.984,1.113,0.696,0.652,222.31,16
6.0,0,5.4,4,25.103,23.257,36.272,19,41.318,21,29.0,37,39,17,6.767,45.9,48.6,0.98,1.117,0.678,0.629,250.37,16
6.0,0,14.3,1,14.301,13.645,20.956,12,23.741,13,18.5,21,22,9,7.581,42.9,42.9,0.998,1.131,0.681,0.65,159.21,11
6.907,2,4.9,2,28.705,27.875,41.371,25,45.531,28,38.5,41,44,20,8.107,48.8,39.0,1.009,1.111,0.7,0.68,332.38,17
7.921,0,11.5,2,18.063,17.171,25.84,15,29.156,16,23.5,26,27,12,7.587,46.2,42.3,0.994,1.121,0.695,0.66,197.26,11
6.0,0,13.0,1,16.301,15.645,22.956,14,25.741,15,22.5,23,24,11,7.967,47.8,39.1,0.998,1.119,0.709,0.68,183.23,11
7.086,1,8.0,0,17.449,17.248,25.578,16,28.207,17,24.0,25,26,12,8.649,48.0,36.0,1.023,1.128,0.698,0.69,216.23,12
7.187,1,8.0,0,18.369,17.692,25.389,16,27.811,17,24.0,25,26,12,9.307,48.0,36.0,1.016,1.112,0.735,0.708,232.68,12
6.983,1,8.0,0,18.864,17.89,25.294,16,27.708,17,24.0,25,26,12,11.085,48.0,36.0,1.012,1.108,0.755,0.716,277.13,12
7.108,1,11.5,0,18.756,18.359,26.284,17,28.95,18,27.0,26,27,13,8.587,50.0,34.6,1.011,1.113,0.721,0.706,223.25,12
6.839,3,11.1,0,18.665,18.789,27.938,18,30.369,19,28.0,27,28,12,9.009,44.4,33.3,1.035,1.125,0.691,0.696,243.24,12
7.272,1,8.0,0,17.387,17.631,26.091,17,28.546,18,25.0,25,26,12,9.369,48.0,32.0,1.044,1.142,0.695,0.705,234.22,12
6.78,1,8.0,0,17.324,18.015,26.603,18,28.886,19,26.0,25,26,12,10.088,48.0,28.0,1.064,1.155,0.693,0.721,252.21,12
7.523,0,6.5,4,20.341,18.73,30.389,15,34.903,16,21.5,31,32,13,6.462,41.9,51.6,0.98,1.126,0.656,0.604,200.31,11
7.208,0,8.0,2,16.818,15.677,24.622,13,28.073,14,19.5,25,26,11,6.89,44.0,48.0,0.985,1.123,0.673,0.627,172.25,11
6.959,0,8.0,2,16.818,15.677,24.622,13,28.073,14,19.5,25,26,11,6.89,44.0,48.0,0.985,1.123,0.673,0.627,172.25,11
7.114,0,7.1,3,18.58,17.204,27.505,14,31.488,15,20.5,28,29,12,6.653,42.9,50.0,0.982,1.125,0.664,0.614,186.28,11
7.638,0,5.4,6,23.864,21.784,36.156,17,41.733,18,23.5,37,38,15,6.172,40.5,54.1,0.977,1.128,0.645,0.589,228.37,11
7.409,0,6.3,1,22.58,21.204,31.505,18,35.488,20,28.5,32,34,16,7.322,50.0,43.8,0.985,1.109,0.706,0.663,234.32,17
6.577,0,6.3,1,22.58,21.204,31.505,18,35.488,20,28.5,32,34,16,7.322,50.0,43.8,0.985,1.109,0.706,0.663,234.32,17
6.479,0,4.8,1,30.103,28.257,41.272,24,46.318,27,38.5,42,45,22,7.391,52.4,42.9,0.983,1.103,0.717,0.673,310.42,23
6.199,0,5.9,3,23.341,21.73,33.389,18,37.903,20,28.0,34,36,16,6.951,47.1,47.1,0.982,1.115,0.687,0.639,236.34,16
6.0,0,4.7,6,28.625,26.311,42.04,21,48.149,23,31.0,43,45,19,6.475,44.2,51.2,0.978,1.12,0.666,0.612,278.43,16
6.0,0,5.3,1,27.341,25.73,37.389,22,41.903,25,36.0,38,41,20,7.484,52.6,42.1,0.984,1.103,0.72,0.677,284.38,22
5.652,0,5.3,1,27.341,25.73,37.389,22,41.903,25,36.0,38,41,20,7.484,52.6,42.1,0.984,1.103,0.72,0.677,284.38,22
5.721,0,5.3,1,27.341,25.73,37.389,22,41.903,25,36.0,38,41,20,7.484,52.6,42.1,0.984,1.103,0.72,0.677,284.38,22
6.0,0,4.2,1,34.864,32.784,47.156,28,52.733,32,46.0,48,52,26,7.51,54.2,41.7,0.982,1.099,0.726,0.683,360.48,28
7.523,0,5.6,11,22.864,20.784,35.156,16,40.733,19,21.5,36,39,14,6.01,38.9,55.6,0.977,1.131,0.635,0.577,216.36,5
6.169,0,4.8,11,27.625,25.311,41.04,20,47.149,24,29.0,42,46,18,6.343,42.9,52.4,0.977,1.123,0.658,0.603,266.42,10
7.959,0,4.8,1,30.103,28.257,41.272,24,46.318,27,38.5,42,45,22,7.391,52.4,42.9,0.983,1.103,0.717,0.673,310.42,23
8.097,0,4.4,2,31.864,29.784,44.156,25,49.733,28,39.5,45,48,23,7.21,51.1,44.4,0.981,1.105,0.708,0.662,324.45,23
6.538,0,4.2,3,33.625,31.311,47.04,26,53.149,29,40.5,48,51,24,7.052,50.0,45.8,0.98,1.107,0.701,0.652,338.48,23
6.0,0,4.2,1,34.864,32.784,47.156,28,52.733,32,46.0,48,52,26,7.51,54.2,41.7,0.982,1.099,0.726,0.683,360.48,28
6.0,0,3.9,2,36.625,34.311,50.04,29,56.149,33,47.0,51,55,27,7.343,52.9,43.1,0.981,1.101,0.718,0.673,374.51,28
6.0,0,3.7,3,38.387,35.838,52.923,30,59.564,34,48.0,54,58,28,7.195,51.9,44.4,0.98,1.103,0.711,0.664,388.54,28
6.429,0,6.9,1,20.273,19.392,28.949,17,32.282,19,27.0,29,31,14,7.734,48.3,41.4,0.998,1.113,0.699,0.669,224.28,16
6.452,0,6.9,1,21.466,19.864,28.698,17,31.993,19,27.0,29,31,14,8.288,48.3,41.4,0.99,1.103,0.74,0.685,240.35,16
4.678,2,6.7,2,21.273,20.392,29.949,18,33.282,20,28.0,30,32,15,7.876,50.0,40.0,0.998,1.109,0.709,0.68,236.29,12
5.0,0,3.1,5,22.336,20.709,31.287,17,35.405,20,26.0,32,35,16,6.916,50.0,46.9,0.978,1.106,0.698,0.647,221.32,12
5.0,2,0.0,2,21.671,20.063,28.705,17,31.621,19,26.5,29,31,15,8.288,51.7,41.4,0.99,1.09,0.747,0.692,240.34,11
4.367,2,6.9,2,20.273,19.392,28.949,17,32.282,19,26.5,29,31,14,7.734,48.3,41.4,0.998,1.113,0.699,0.669,224.28,11
5.0,1,6.1,4,22.489,21.633,33.16,19,36.907,21,28.0,33,35,15,7.706,45.5,42.4,1.005,1.118,0.681,0.656,254.31,12
5.0,2,3.2,2,22.029,20.897,30.731,18,34.199,20,28.0,31,33,16,7.59,51.6,41.9,0.991,1.103,0.711,0.674,235.3,12
4.854,0,0.0,5,23.091,21.214,32.069,17,36.322,20,26.0,33,36,17,6.677,51.5,48.5,0.972,1.101,0.7,0.643,220.33,12
5.0,1,6.1,4,22.489,21.633,33.16,19,36.907,21,28.0,33,35,15,7.706,45.5,42.4,1.005,1.118,0.681,0.656,254.31,12
5.66,2,5.3,1,26.818,27.115,39.513,26,42.795,29,39.5,38,41,19,9.324,50.0,31.6,1.04,1.126,0.706,0.714,354.33,17
5.0,2,3.6,2,20.915,19.557,27.924,17,30.704,19,26.5,28,30,14,8.619,50.0,39.3,0.997,1.097,0.747,0.698,241.33,11
4.137,2,6.9,2,20.273,19.392,28.949,17,32.282,19,26.5,29,31,14,7.734,48.3,41.4,0.998,1.113,0.699,0.669,224.28,11
5.0,1,6.1,4,22.489,21.633,33.16,19,36.907,21,28.0,33,35,15,7.706,45.5,42.4,1.005,1.118,0.681,0.656,254.31,12
5.0,1,6.1,4,22.489,21.633,33.16,19,36.907,21,28.0,33,35,15,7.706,45.5,42.4,1.005,1.118,0.681,0.656,254.31,12
7.987,1,7.4,2,20.171,18.702,26.851,16,29.914,18,24.5,27,29,13,10.191,48.1,40.7,0.994,1.108,0.747,0.693,275.16,11
7.447,1,10.7,2,20.063,19.171,27.84,17,31.156,19,27.5,28,30,14,7.903,50.0,39.3,0.994,1.113,0.717,0.685,221.28,11
7.325,1,6.7,3,21.438,20.031,29.829,17,33.432,19,25.5,30,32,14,8.158,46.7,43.3,0.994,1.114,0.715,0.668,244.74,11
7.745,1,3.4,2,21.432,20.01,28.727,17,31.934,19,26.0,29,31,15,8.336,51.7,41.4,0.991,1.101,0.739,0.69,241.73,12
7.26,1,3.0,3,22.79,21.424,32.614,18,36.614,20,27.0,33,35,16,7.192,48.5,45.5,0.988,1.11,0.691,0.649,237.32,12
8.432,1,7.4,2,19.676,18.504,26.945,16,30.017,18,24.5,27,29,13,8.545,48.1,40.7,0.998,1.112,0.729,0.685,230.71,11
7.569,1,3.0,3,22.79,21.424,32.614,18,36.614,20,27.0,33,35,16,7.192,48.5,45.5,0.988,1.11,0.691,0.649,237.32,12
7.444,1,3.4,2,21.432,20.01,28.727,17,31.934,19,26.0,29,31,15,8.336,51.7,41.4,0.991,1.101,0.739,0.69,241.73,12
8.097,1,3.4,2,20.574,19.182,28.403,16,31.99,18,25.0,29,31,15,7.148,51.7,44.8,0.979,1.103,0.709,0.661,207.29,12
7.658,1,2.8,4,24.551,22.951,35.498,19,40.029,21,28.0,36,38,17,6.982,47.2,47.2,0.986,1.112,0.682,0.638,251.35,12
6.057,1,2.8,4,24.551,22.951,35.498,19,40.029,21,28.0,36,38,17,6.982,47.2,47.2,0.986,1.112,0.682,0.638,251.35,12
7.585,1,3.0,3,22.79,21.424,32.614,18,36.614,20,27.0,33,35,16,7.192,48.5,45.5,0.988,1.11,0.691,0.649,237.32,12
6.767,1,3.4,2,21.926,20.207,28.633,17,31.831,19,26.0,29,31,15,9.868,51.7,41.4,0.987,1.098,0.756,0.697,286.18,12
8.046,1,3.4,2,21.432,20.01,28.727,17,31.934,19,26.0,29,31,15,8.336,51.7,41.4,0.991,1.101,0.739,0.69,241.73,12
8.959,1,6.1,4,23.034,21.918,32.833,19,36.697,22,29.0,33,36,16,7.585,48.5,42.4,0.995,1.112,0.698,0.664,250.32,12
8.62,1,5.6,5,24.796,23.445,35.716,20,40.112,23,30.0,36,39,17,7.343,47.2,44.4,0.992,1.114,0.689,0.651,264.35,12
9.222,1,5.4,5,25.25,24.16,37.043,21,41.322,24,31.0,37,40,17,7.577,45.9,43.2,1.001,1.117,0.682,0.653,280.35,12
9.046,1,5.0,6,27.012,25.687,39.927,22,44.737,25,32.0,40,43,18,7.359,45.0,45.0,0.998,1.118,0.675,0.642,294.38,12
9.0,1,5.0,6,27.012,25.687,39.927,22,44.737,25,32.0,40,43,18,7.359,45.0,45.0,0.998,1.118,0.675,0.642,294.38,12
8.658,1,4.7,7,28.773,27.214,42.811,23,48.152,26,33.0,43,46,19,7.172,44.2,46.5,0.996,1.12,0.669,0.633,308.41,12
8.367,1,5.9,4,23.489,22.633,34.16,20,37.907,23,30.0,34,37,16,7.833,47.1,41.2,1.005,1.115,0.691,0.666,266.32,12
8.357,1,6.1,4,22.972,22.302,33.345,20,37.037,23,30.0,33,36,16,8.131,48.5,39.4,1.01,1.122,0.696,0.676,268.31,12
8.229,1,5.6,5,24.608,24.595,37.254,23,41.132,26,33.0,36,39,17,8.842,47.2,36.1,1.035,1.143,0.684,0.683,318.32,12
9.699,1,5.1,4,27.796,26.445,38.716,23,43.112,27,36.5,39,43,20,7.702,51.3,41.0,0.993,1.105,0.713,0.678,300.38,17
9.699,1,4.8,5,29.557,27.972,41.6,24,46.528,28,37.5,42,46,21,7.486,50.0,42.9,0.99,1.108,0.704,0.666,314.41,17
7.252,1,9.4,4,22.279,21.413,32.051,19,35.78,22,29.0,32,35,15,7.853,46.9,40.6,1.002,1.118,0.696,0.669,251.31,12
7.051,1,9.7,4,21.279,20.413,31.051,18,34.78,21,27.5,31,34,14,7.719,45.2,41.9,1.002,1.122,0.686,0.658,239.3,11
8.886,1,4.7,4,30.557,28.972,42.6,25,47.528,29,39.0,43,47,22,7.591,51.2,41.9,0.991,1.105,0.711,0.674,326.42,18
9.155,1,4.7,4,30.495,29.355,43.112,26,47.867,30,40.0,43,47,22,8.01,51.2,39.5,1.003,1.113,0.709,0.683,344.41,18
8.854,1,4.7,4,30.495,29.355,43.112,26,47.867,30,40.0,43,47,22,8.01,51.2,39.5,1.003,1.113,0.709,0.683,344.41,18
9.046,1,4.7,4,30.495,29.355,43.112,26,47.867,30,40.0,43,47,22,8.01,51.2,39.5,1.003,1.113,0.709,0.683,344.41,18
8.444,1,4.7,4,30.432,29.739,43.625,27,48.207,31,41.0,43,47,22,8.428,51.2,37.2,1.015,1.121,0.708,0.692,362.4,18
8.638,1,4.7,4,30.432,29.739,43.625,27,48.207,31,41.0,43,47,22,8.428,51.2,37.2,1.015,1.121,0.708,0.692,362.4,18
7.745,1,4.7,4,30.432,29.739,43.625,27,48.207,31,41.0,43,47,22,8.428,51.2,37.2,1.015,1.121,0.708,0.692,362.4,18
8.62,1,4.3,5,32.773,31.214,46.811,27,52.152,31,41.0,47,51,23,7.584,48.9,42.6,0.996,1.11,0.697,0.664,356.45,18
8.337,1,4.3,5,32.773,31.214,46.811,27,52.152,31,41.0,47,51,23,7.584,48.9,42.6,0.996,1.11,0.697,0.664,356.45,18
8.854,1,4.3,5,32.773,31.214,46.811,27,52.152,31,41.0,47,51,23,7.584,48.9,42.6,0.996,1.11,0.697,0.664,356.45,18
8.921,1,4.5,4,31.012,29.687,43.927,26,48.737,30,40.0,44,48,22,7.782,50.0,40.9,0.998,1.108,0.705,0.675,342.42,18
7.796,1,4.3,5,32.586,32.364,48.349,30,53.171,34,44.0,47,51,23,8.732,48.9,36.2,1.029,1.131,0.693,0.689,410.42,18
7.481,1,4.3,5,32.131,31.649,47.021,29,51.962,33,43.0,46,50,23,8.574,50.0,37.0,1.022,1.13,0.699,0.688,394.42,18
8.921,1,6.1,4,24.228,22.391,32.582,19,36.408,22,29.0,33,36,16,8.072,48.5,42.4,0.987,1.103,0.734,0.679,266.39,12
7.469,1,3.0,3,22.79,21.424,32.614,18,36.614,20,27.0,33,35,16,7.192,48.5,45.5,0.988,1.11,0.691,0.649,237.32,12
6.606,1,2.8,4,24.551,22.951,35.498,19,40.029,21,28.0,36,38,17,6.982,47.2,47.2,0.986,1.112,0.682,0.638,251.35,12
7.032,1,7.4,2,20.171,18.702,26.851,16,29.914,18,24.5,27,29,13,10.191,48.1,40.7,0.994,1.108,0.747,0.693,275.16,11
7.387,1,7.4,2,18.818,17.677,26.622,15,30.073,17,23.5,27,29,13,7.269,48.1,44.4,0.986,1.114,0.697,0.655,196.27,11
7.052,1,7.4,2,19.676,18.504,26.945,16,30.017,18,24.5,27,29,13,8.545,48.1,40.7,0.998,1.112,0.729,0.685,230.71,11
7.445,1,10.7,2,20.063,19.171,27.84,17,31.156,19,27.5,28,30,14,7.903,50.0,39.3,0.994,1.113,0.717,0.685,221.28,11
7.959,1,7.4,2,18.818,17.677,26.622,15,30.073,17,23.5,27,29,13,7.269,48.1,44.4,0.986,1.114,0.697,0.655,196.27,11
7.538,1,3.4,2,20.512,19.566,28.916,17,32.329,19,26.0,29,31,15,7.768,51.7,41.4,0.997,1.115,0.707,0.675,225.28,12
7.745,1,3.4,2,20.574,19.182,28.403,16,31.99,18,25.0,29,31,15,7.148,51.7,44.8,0.979,1.103,0.709,0.661,207.29,12
7.252,1,3.4,2,21.926,20.207,28.633,17,31.831,19,26.0,29,31,15,9.868,51.7,41.4,0.987,1.098,0.756,0.697,286.18,12
7.857,1,7.4,2,18.756,18.06,27.134,16,30.412,18,24.5,27,29,13,7.936,48.1,40.7,1.005,1.126,0.695,0.669,214.26,11
8.097,1,3.1,3,22.336,20.709,31.287,17,35.405,19,26.0,32,34,16,6.916,50.0,46.9,0.978,1.106,0.698,0.647,221.32,12
7.77,1,3.3,3,21.676,20.084,29.807,17,33.119,19,25.5,30,32,14,8.112,46.7,43.3,0.994,1.104,0.723,0.669,243.35,11
7.921,0,2.9,2,23.79,22.424,33.614,19,37.614,21,29.5,34,36,17,7.333,50.0,44.1,0.989,1.106,0.7,0.66,249.33,17
7.252,1,2.8,4,24.551,22.951,35.498,19,40.029,21,28.0,36,38,17,6.982,47.2,47.2,0.986,1.112,0.682,0.638,251.35,12
7.824,0,3.7,0,21.165,19.681,26.749,17,29.416,19,27.5,27,29,15,10.524,55.6,37.0,0.991,1.089,0.784,0.729,284.16,17
8.523,1,2.6,2,28.097,26.236,38.171,22,42.82,25,35.0,39,42,21,7.266,53.8,43.6,0.979,1.098,0.72,0.673,283.39,18
6.219,0,12.5,0,17.301,16.645,23.956,15,26.741,17,25.0,24,26,12,8.135,50.0,37.5,0.998,1.114,0.721,0.694,195.24,16
7.658,1,3.1,3,22.336,20.709,31.287,17,35.405,19,26.0,32,34,16,6.916,50.0,46.9,0.978,1.106,0.698,0.647,221.32,12
7.137,1,3.4,2,21.432,20.01,28.727,17,31.934,19,26.0,29,31,15,8.336,51.7,41.4,0.991,1.101,0.739,0.69,241.73,12
7.921,0,4.2,0,17.506,16.843,23.964,15,26.369,17,25.0,24,26,13,8.135,54.2,37.5,0.998,1.099,0.729,0.702,195.23,16
7.959,1,2.5,5,26.767,25.192,39.709,21,44.654,23,30.0,40,42,18,7.034,45.0,47.5,0.993,1.116,0.669,0.63,281.38,12
8.155,1,3.4,2,20.512,19.566,28.916,17,32.329,19,26.0,29,31,15,7.768,51.7,41.4,0.997,1.115,0.707,0.675,225.28,12
7.432,1,3.4,2,21.926,20.207,28.633,17,31.831,19,26.0,29,31,15,9.868,51.7,41.4,0.987,1.098,0.756,0.697,286.18,12
7.72,0,6.9,1,20.273,19.392,28.949,17,32.282,19,27.0,29,31,14,7.734,48.3,41.4,0.998,1.113,0.699,0.669,224.28,16
8.222,1,3.0,0,24.574,23.182,32.403,20,35.99,23,33.0,33,36,19,7.737,57.6,39.4,0.982,1.091,0.745,0.702,255.33,18
8.222,1,7.1,2,19.756,19.06,28.134,17,31.412,19,26.0,28,30,14,8.081,50.0,39.3,1.005,1.122,0.706,0.681,226.27,12
8.301,1,3.3,3,21.676,20.084,29.807,17,33.119,19,25.5,30,32,14,8.112,46.7,43.3,0.994,1.104,0.723,0.669,243.35,11
7.638,0,3.6,0,20.267,19.37,27.847,17,30.784,19,27.5,28,30,15,7.902,53.6,39.3,0.995,1.099,0.724,0.692,221.27,17
7.854,1,2.9,2,25.273,24.092,34.8,21,38.744,24,33.5,35,38,19,7.867,54.3,40.0,0.994,1.107,0.722,0.688,275.34,17
6.662,0,6.9,1,20.273,19.392,28.949,17,32.282,19,27.0,29,31,14,7.734,48.3,41.4,0.998,1.113,0.699,0.669,224.28,16
7.509,1,2.9,2,25.273,24.092,34.8,21,38.744,24,33.5,35,38,19,7.867,54.3,40.0,0.994,1.107,0.722,0.688,275.34,17
7.886,1,3.1,3,22.336,20.709,31.287,17,35.405,19,26.0,32,34,16,6.916,50.0,46.9,0.978,1.106,0.698,0.647,221.32,12
7.412,0,8.0,0,18.057,17.15,24.738,15,27.657,17,25.0,25,27,13,7.77,52.0,40.0,0.99,1.106,0.722,0.686,194.25,16
7.481,0,3.2,1,23.381,21.922,30.96,19,34.041,21,29.5,31,33,16,10.135,51.6,38.7,0.999,1.098,0.754,0.707,314.19,17
8.531,0,7.1,0,21.057,20.15,27.738,18,30.657,20,30.5,28,30,16,8.224,57.1,35.7,0.991,1.095,0.752,0.72,230.28,17
7.886,0,3.2,1,22.887,21.725,31.054,19,34.143,21,29.5,31,33,16,8.701,51.6,38.7,1.002,1.101,0.738,0.701,269.74,17
7.854,0,3.2,2,22.574,21.182,30.403,18,33.99,21,29.5,31,34,17,7.462,54.8,41.9,0.981,1.096,0.728,0.683,231.31,17
6.0,0,18.2,1,15.546,15.139,22.174,14,24.824,15,22.5,22,23,10,8.374,45.5,36.4,1.008,1.128,0.707,0.688,184.22,11
6.0,0,14.3,1,15.654,14.67,21.185,13,23.582,14,19.5,21,22,9,11.338,42.9,38.1,1.009,1.123,0.745,0.699,238.1,11
6.04,0,14.3,1,15.654,14.67,21.185,13,23.582,14,19.5,21,22,9,11.338,42.9,38.1,1.009,1.123,0.745,0.699,238.1,11
6.24,0,14.3,1,16.512,15.497,21.509,14,23.526,15,20.5,21,22,9,12.978,42.9,33.3,1.024,1.12,0.786,0.738,272.54,11
5.76,0,9.7,1,21.762,21.082,31.236,19,34.911,21,29.5,31,33,15,8.171,48.4,38.7,1.008,1.126,0.702,0.68,253.3,17
