pXC50,nO,O.,Si,Se,nSK,Sp,nDB,Sv,nCsp3,C.,nBT,nAT,nC,MW,nHet,SCBO,AMW,H.,Me,Mi,Mp,Mv,N.,nAB,nB,nBM
6.298,0,0.0,32.235,28.262,16,18.318,0,17.709,6,35.7,31,28,10,216.28,6,24.0,7.724,42.9,1.009,1.151,0.654,0.632,21.4,10,0,10
5.955,0,0.0,29.82,26.378,16,17.557,1,17.182,4,38.5,29,26,10,214.26,6,25.0,8.241,38.5,1.015,1.147,0.675,0.661,23.1,10,0,11
5.738,1,3.4,33.445,29.589,17,18.773,0,18.424,6,34.5,32,29,10,232.28,7,25.0,8.01,41.4,1.02,1.153,0.647,0.635,20.7,10,0,10
7.277,4,7.3,63.085,57.309,35,36.512,3,36.857,6,41.8,58,55,23,487.48,12,49.5,8.863,36.4,1.042,1.147,0.664,0.67,9.1,17,0,20
5.848,0,0.0,33.235,29.262,17,19.318,1,18.709,5,37.9,32,29,11,228.29,6,26.0,7.872,41.4,1.009,1.146,0.666,0.645,20.7,10,0,11
5.544,0,0.0,32.235,28.262,16,18.318,0,17.709,6,35.7,31,28,10,216.28,6,24.0,7.724,42.9,1.009,1.151,0.654,0.632,21.4,10,0,10
5.699,0,0.0,36.651,32.145,18,21.08,0,20.236,8,37.5,36,32,12,242.32,6,27.0,7.572,43.8,1.005,1.145,0.659,0.632,18.8,10,0,10
7.569,5,9.3,61.117,55.509,33,36.085,3,35.784,6,42.6,57,54,23,452.48,10,47.5,8.379,38.9,1.028,1.132,0.668,0.663,7.4,17,0,20
7.009,5,9.4,60.2,54.727,33,35.33,3,35.279,6,41.5,56,53,22,453.47,11,47.5,8.556,37.7,1.033,1.136,0.667,0.666,9.4,17,0,20
6.432,4,8.2,55.568,49.669,27,31.693,3,30.686,7,38.8,51,49,19,370.45,8,37.5,7.56,44.9,1.014,1.134,0.647,0.626,8.2,11,0,14
4.747,4,8.3,54.568,48.669,26,30.693,2,29.686,8,37.5,50,48,18,358.44,8,35.5,7.467,45.8,1.014,1.137,0.639,0.618,8.3,11,0,13
6.77,4,7.7,58.983,52.552,28,33.455,3,32.213,8,38.5,54,52,20,384.48,8,38.5,7.394,46.2,1.011,1.134,0.643,0.619,7.7,11,0,14
5.959,5,10.6,53.362,48.113,27,30.387,3,29.874,7,38.3,49,47,18,372.42,9,37.5,7.924,42.6,1.024,1.135,0.647,0.636,8.5,11,0,14
4.607,5,10.0,56.777,50.996,28,32.148,3,31.401,8,38.0,52,50,19,386.45,9,38.5,7.729,44.0,1.02,1.136,0.643,0.628,8.0,11,0,14
6.268,4,8.2,55.568,49.669,27,31.693,3,30.686,7,38.8,51,49,19,370.45,8,37.5,7.56,44.9,1.014,1.134,0.647,0.626,8.2,11,0,14
7.77,5,9.4,60.192,53.88,29,33.909,3,32.928,9,37.7,55,53,20,400.48,9,39.5,7.556,45.3,1.017,1.136,0.64,0.621,7.5,11,0,14
6.076,5,11.4,51.305,47.28,30,28.375,3,29.88,6,38.6,46,44,17,430.35,13,40.5,9.781,31.8,1.075,1.166,0.645,0.679,9.1,11,0,14
5.131,4,7.7,59.33,53.912,33,34.813,3,34.947,6,42.3,55,52,22,455.46,11,47.5,8.759,36.5,1.037,1.141,0.669,0.672,9.6,17,0,20
7.125,4,7.1,64.342,58.603,36,37.205,3,37.746,7,42.9,59,56,24,504.48,12,50.5,9.009,35.7,1.046,1.149,0.664,0.674,7.1,17,0,20
6.638,4,7.5,60.247,54.694,33,35.568,3,35.453,6,43.4,56,53,23,454.47,10,47.5,8.575,37.7,1.032,1.137,0.671,0.669,7.5,17,0,20
6.602,4,7.3,62.745,56.796,34,36.574,3,36.474,6,41.8,58,55,23,469.49,11,48.5,8.536,38.2,1.033,1.141,0.665,0.663,9.1,17,0,20
7.69,4,7.5,60.587,55.207,34,35.506,3,35.836,6,43.4,56,53,23,472.46,11,48.5,8.914,35.8,1.042,1.143,0.67,0.676,7.5,17,0,20
6.613,0,0.0,28.82,25.378,15,16.557,0,16.182,5,36.0,28,25,9,202.25,6,23.0,8.09,40.0,1.015,1.153,0.662,0.647,24.0,10,0,10
6.553,4,8.2,55.568,49.669,27,31.693,3,30.686,7,38.8,51,49,19,370.45,8,37.5,7.56,44.9,1.014,1.134,0.647,0.626,8.2,11,0,14
6.114,4,7.7,58.983,52.552,28,33.455,3,32.213,8,38.5,54,52,20,384.48,8,38.5,7.394,46.2,1.011,1.134,0.643,0.619,7.7,11,0,14
6.699,4,8.7,52.152,46.785,26,29.932,3,29.159,6,39.1,48,46,18,356.42,8,36.5,7.748,43.5,1.017,1.134,0.651,0.634,8.7,11,0,14
6.638,4,8.7,52.152,46.785,26,29.932,3,29.159,6,39.1,48,46,18,356.42,8,36.5,7.748,43.5,1.017,1.134,0.651,0.634,8.7,11,0,14
4.889,0,0.0,33.235,29.262,17,19.318,1,18.709,5,37.9,32,29,11,228.29,6,26.0,7.872,41.4,1.009,1.146,0.666,0.645,20.7,10,0,11
7.347,0,0.0,25.405,22.494,14,14.796,0,14.655,4,36.4,25,22,8,188.22,6,22.0,8.555,36.4,1.022,1.155,0.673,0.666,27.3,10,0,10
5.523,4,8.3,54.152,48.785,28,31.932,2,31.159,4,41.7,50,48,20,380.44,8,40.5,7.926,41.7,1.016,1.128,0.665,0.649,8.3,17,0,19
6.456,4,7.5,59.9,53.334,28,34.211,3,32.718,8,39.6,55,53,21,383.49,7,38.5,7.236,47.2,1.006,1.13,0.645,0.617,5.7,11,0,14
7.553,4,7.1,62.658,56.527,32,37.898,3,36.585,6,46.4,59,56,26,433.51,6,46.5,7.741,42.9,1.009,1.119,0.677,0.653,1.8,17,0,20
6.807,0,0.0,29.82,26.378,16,17.557,1,17.182,4,38.5,29,26,10,214.26,6,25.0,8.241,38.5,1.015,1.147,0.675,0.661,23.1,10,0,11
6.295,0,0.0,33.235,29.262,17,19.318,0,18.709,7,37.9,33,29,11,228.29,6,26.0,7.872,41.4,1.009,1.146,0.666,0.645,20.7,10,0,10
6.267,0,0.0,35.651,31.145,17,20.08,0,19.236,7,35.5,34,31,11,230.31,6,25.0,7.429,45.2,1.005,1.15,0.648,0.621,19.4,10,0,10
6.559,0,0.0,33.235,29.262,17,19.318,1,18.709,5,37.9,32,29,11,228.29,6,26.0,7.872,41.4,1.009,1.146,0.666,0.645,20.7,10,0,11
4.636,0,0.0,39.066,34.029,18,21.841,0,20.762,8,35.3,37,34,12,244.34,6,26.0,7.186,47.1,1.001,1.149,0.642,0.611,17.6,10,0,10
5.611,0,0.0,39.066,34.029,18,21.841,0,20.762,8,35.3,37,34,12,244.34,6,26.0,7.186,47.1,1.001,1.149,0.642,0.611,17.6,10,0,10
7.921,5,8.8,65.211,59.418,36,37.722,3,38.077,7,42.1,60,57,24,502.49,12,50.5,8.816,36.8,1.042,1.144,0.662,0.668,7.0,17,0,20
7.208,4,6.8,67.077,60.461,35,39.091,3,38.506,7,42.4,62,59,25,482.53,10,49.5,8.178,40.7,1.025,1.137,0.663,0.653,6.8,17,0,20
5.276,4,8.5,52.571,47.465,27,31.682,3,30.643,6,44.7,49,47,21,364.43,6,39.5,7.754,42.6,1.01,1.119,0.674,0.652,4.3,11,0,15
7.734,4,7.1,62.658,56.527,32,37.898,3,36.585,6,46.4,59,56,26,433.51,6,46.5,7.741,42.9,1.009,1.119,0.677,0.653,1.8,17,0,20
6.886,4,7.1,62.658,56.527,32,37.898,3,36.585,6,46.4,59,56,26,433.51,6,46.5,7.741,42.9,1.009,1.119,0.677,0.653,1.8,17,0,20
7.509,4,8.7,51.073,46.363,27,31.676,2,30.622,2,47.8,48,46,22,361.42,5,40.0,7.857,41.3,1.008,1.11,0.689,0.666,2.2,18,0,20
5.426,0,0.0,39.066,34.029,18,21.841,0,20.762,8,35.3,37,34,12,244.34,6,26.0,7.186,47.1,1.001,1.149,0.642,0.611,17.6,10,0,10
6.31,4,9.3,49.077,44.414,26,28.108,3,28.016,6,39.5,45,43,17,360.38,9,36.5,8.381,39.5,1.033,1.141,0.654,0.652,9.3,11,0,14
6.337,4,8.9,51.575,46.516,27,29.114,3,29.037,6,37.8,47,45,17,375.4,10,37.5,8.342,40.0,1.034,1.146,0.647,0.645,11.1,11,0,14
7.423,4,6.8,67.417,60.974,36,39.029,3,38.889,7,42.4,62,59,25,500.52,11,50.5,8.483,39.0,1.033,1.143,0.662,0.659,6.8,17,0,20
6.027,4,8.9,50.737,45.902,27,30.171,2,29.632,3,42.2,47,45,19,366.41,8,39.5,8.142,40.0,1.02,1.127,0.67,0.658,8.9,17,0,19
6.319,4,7.1,62.9,56.334,31,37.21,3,35.718,7,42.9,59,56,24,419.52,7,45.0,7.491,44.6,1.006,1.123,0.664,0.638,5.4,16,0,19
5.577,4,7.1,62.9,56.334,31,37.21,3,35.718,7,42.9,59,56,24,419.52,7,45.0,7.491,44.6,1.006,1.123,0.664,0.638,5.4,16,0,19
6.863,4,6.8,66.156,59.629,34,39.904,3,38.607,6,45.8,62,59,27,460.54,7,49.0,7.806,42.4,1.011,1.121,0.676,0.654,3.4,18,0,21
6.469,4,9.3,48.239,43.8,26,29.165,2,28.611,2,44.2,45,43,19,351.39,7,38.5,8.172,39.5,1.019,1.122,0.678,0.665,7.0,17,0,19
5.959,4,8.2,55.069,49.567,28,32.688,2,31.665,4,42.9,51,49,21,379.45,7,40.5,7.744,42.9,1.012,1.124,0.667,0.646,6.1,17,0,19
6.125,4,8.9,50.737,45.902,27,30.171,2,29.632,3,42.2,47,45,19,366.41,8,39.5,8.142,40.0,1.02,1.127,0.67,0.658,8.9,17,0,19
7.377,5,8.8,64.532,58.392,34,37.847,3,37.311,7,42.1,60,57,24,466.51,10,48.5,8.184,40.4,1.024,1.132,0.664,0.655,7.0,17,0,20
8.049,4,7.3,61.734,54.898,28,35.722,3,33.729,9,41.8,57,55,23,381.51,5,38.5,6.937,49.1,0.998,1.122,0.649,0.613,1.8,11,0,14
7.523,4,6.9,65.149,57.781,29,37.483,3,35.256,10,41.4,60,58,24,395.54,5,39.5,6.82,50.0,0.996,1.123,0.646,0.608,1.7,11,0,14
7.253,4,7.1,62.318,56.014,31,37.96,3,36.202,6,46.4,59,56,26,415.52,5,45.5,7.42,44.6,1.0,1.113,0.678,0.646,1.8,17,0,20
6.377,5,10.6,52.697,47.574,26,30.892,3,29.863,6,42.6,49,47,20,355.42,6,36.5,7.562,44.7,1.012,1.121,0.657,0.635,2.1,11,0,14
7.174,4,6.8,67.077,60.461,35,39.091,3,38.506,7,42.4,62,59,25,482.53,10,49.5,8.178,40.7,1.025,1.137,0.663,0.653,6.8,17,0,20
5.022,3,7.1,47.03,42.473,25,28.71,2,27.896,2,45.2,44,42,19,335.39,6,37.5,7.985,40.5,1.011,1.12,0.684,0.664,7.1,17,0,19
5.409,3,7.1,47.03,42.473,25,28.71,2,27.896,2,45.2,44,42,19,335.39,6,37.5,7.985,40.5,1.011,1.12,0.684,0.664,7.1,17,0,19
6.629,5,10.6,53.362,48.113,27,30.387,3,29.874,7,38.3,49,47,18,372.42,9,37.5,7.924,42.6,1.024,1.135,0.647,0.636,8.5,11,0,14
6.225,5,10.0,56.777,50.996,28,32.148,3,31.401,8,38.0,52,50,19,386.45,9,38.5,7.729,44.0,1.02,1.136,0.643,0.628,8.0,11,0,14
5.04,5,10.4,54.362,49.113,28,31.387,3,30.874,8,39.6,51,48,19,384.43,9,39.5,8.009,41.7,1.023,1.133,0.654,0.643,8.3,11,0,14
8.523,5,11.4,49.947,45.229,26,28.625,3,28.347,6,38.6,46,44,17,358.39,9,36.5,8.145,40.9,1.028,1.135,0.651,0.644,9.1,11,0,14
6.291,5,9.8,57.777,51.996,29,33.148,3,32.401,9,39.2,54,51,20,398.46,9,40.5,7.813,43.1,1.02,1.133,0.65,0.635,7.8,11,0,14
6.359,6,13.3,51.156,46.556,27,29.08,3,29.062,6,37.8,47,45,17,374.39,10,37.5,8.32,40.0,1.035,1.137,0.646,0.646,8.9,11,0,14
6.678,0,0.0,25.405,22.494,14,14.796,0,14.655,4,36.4,25,22,8,188.22,6,22.0,8.555,36.4,1.022,1.155,0.673,0.666,27.3,10,0,10
6.824,0,0.0,35.658,31.993,21,21.5,5,21.587,4,41.9,34,31,13,283.3,8,32.0,9.139,32.3,1.032,1.15,0.694,0.696,22.6,6,0,11
6.42,2,7.1,31.907,28.16,14,17.489,1,16.633,6,35.7,29,28,10,194.26,4,18.5,6.938,50.0,1.006,1.14,0.625,0.594,7.1,5,0,6
5.77,2,7.1,31.907,28.16,14,17.489,1,16.633,6,35.7,29,28,10,194.26,4,18.5,6.938,50.0,1.006,1.14,0.625,0.594,7.1,5,0,6
5.886,2,6.5,35.322,31.043,15,19.25,1,18.16,7,35.5,32,31,11,208.29,4,19.5,6.719,51.6,1.001,1.139,0.621,0.586,6.5,5,0,6
6.699,2,6.9,32.491,29.276,17,19.727,1,19.106,3,44.8,31,29,13,228.27,4,25.5,7.871,41.4,1.01,1.12,0.68,0.659,6.9,11,0,12
7.699,2,6.9,33.511,30.814,20,19.54,1,20.256,3,44.8,31,29,13,282.24,7,28.5,9.732,31.0,1.063,1.156,0.674,0.698,6.9,11,0,12
6.62,2,7.7,28.996,26.469,16,18.614,1,17.767,3,42.3,28,26,11,234.3,5,24.0,9.012,38.5,1.018,1.115,0.716,0.683,7.7,10,0,11
7.046,2,7.7,28.996,26.469,16,18.614,1,17.767,3,42.3,28,26,11,234.3,5,24.0,9.012,38.5,1.018,1.115,0.716,0.683,7.7,10,0,11
5.678,2,6.9,33.073,29.596,17,18.977,1,18.622,4,37.9,31,29,11,232.27,6,25.0,8.009,41.4,1.021,1.14,0.654,0.642,13.8,10,0,11
6.409,2,6.9,33.073,29.596,17,18.977,1,18.622,4,37.9,31,29,11,232.27,6,25.0,8.009,41.4,1.021,1.14,0.654,0.642,13.8,10,0,11
5.721,2,7.7,29.658,26.713,16,17.216,1,17.096,3,38.5,28,26,10,218.24,6,24.0,8.394,38.5,1.027,1.141,0.662,0.658,15.4,10,0,11
5.398,2,8.0,28.741,25.931,16,16.46,1,16.59,3,36.0,27,25,9,219.23,7,24.0,8.769,36.0,1.037,1.15,0.658,0.664,20.0,10,0,11
6.638,2,5.6,40.745,36.774,22,24.432,2,24.038,3,44.4,38,36,16,299.33,6,32.0,8.315,38.9,1.022,1.132,0.679,0.668,8.3,12,0,14
5.828,1,5.3,22.554,20.938,15,12.807,2,13.983,1,42.1,20,19,8,215.15,7,21.0,11.324,21.1,1.102,1.187,0.674,0.736,15.8,6,0,8
4.301,1,3.4,32.365,29.167,18,20.517,2,19.886,1,48.3,31,29,14,237.28,4,28.0,8.182,37.9,1.006,1.116,0.707,0.686,10.3,12,0,14
4.301,1,3.1,35.78,32.051,19,22.279,2,21.413,2,46.9,34,32,15,251.31,4,29.0,7.853,40.6,1.002,1.118,0.696,0.669,9.4,12,0,14
4.301,1,2.9,39.196,34.934,20,24.04,2,22.94,3,45.7,37,35,16,265.34,4,30.0,7.581,42.9,0.998,1.12,0.687,0.655,8.6,12,0,14
5.357,1,2.6,42.611,37.818,21,25.801,2,24.467,4,44.7,40,38,17,279.37,4,31.0,7.352,44.7,0.995,1.121,0.679,0.644,7.9,12,0,14
5.229,1,2.4,46.026,40.702,22,27.563,2,25.993,5,43.9,43,41,18,293.4,4,32.0,7.156,46.3,0.993,1.123,0.672,0.634,7.3,12,0,14
4.721,1,2.3,49.441,43.585,23,29.324,2,27.52,6,43.2,46,44,19,307.43,4,33.0,6.987,47.7,0.991,1.124,0.666,0.625,6.8,12,0,14
4.319,1,2.1,52.856,46.469,24,31.086,2,29.047,7,42.6,49,47,20,321.46,4,34.0,6.84,48.9,0.989,1.125,0.661,0.618,6.4,12,0,14
6.076,2,5.1,43.82,39.145,22,26.256,2,25.181,4,43.6,41,39,17,295.37,5,32.0,7.574,43.6,1.004,1.124,0.673,0.646,7.7,12,0,14
6.174,2,5.6,40.405,36.262,21,24.495,2,23.655,3,44.4,38,36,16,281.34,5,31.0,7.815,41.7,1.007,1.122,0.68,0.657,8.3,12,0,14
4.301,2,5.6,40.405,36.262,21,24.495,2,23.655,3,44.4,38,36,16,281.34,5,31.0,7.815,41.7,1.007,1.122,0.68,0.657,8.3,12,0,14
6.432,2,5.9,37.99,34.378,21,23.733,3,23.128,1,47.1,36,34,16,279.32,5,32.0,8.215,38.2,1.011,1.117,0.698,0.68,8.8,12,0,15
6.886,3,8.1,41.614,37.589,22,24.949,2,24.369,3,43.2,39,37,16,297.34,6,32.0,8.036,40.5,1.016,1.125,0.674,0.659,8.1,12,0,14
6.036,2,5.1,43.903,39.363,23,26.5,3,25.676,3,43.6,41,39,17,308.37,6,34.0,7.907,41.0,1.009,1.126,0.679,0.658,10.3,12,0,15
6.602,3,8.1,41.954,38.102,23,24.887,2,24.753,3,43.2,39,37,16,315.33,7,33.0,8.522,37.8,1.03,1.134,0.673,0.669,8.1,12,0,14
6.432,3,8.1,41.954,38.102,23,24.887,2,24.753,3,43.2,39,37,16,315.33,7,33.0,8.522,37.8,1.03,1.134,0.673,0.669,8.1,12,0,14
5.959,3,8.1,41.954,38.102,23,24.887,2,24.753,3,43.2,39,37,16,315.33,7,33.0,8.522,37.8,1.03,1.134,0.673,0.669,8.1,12,0,14
7.563,3,8.1,41.558,37.913,23,25.807,2,25.197,3,43.2,39,37,16,331.78,7,33.0,8.967,37.8,1.025,1.123,0.697,0.681,8.1,12,0,14
7.481,3,8.1,41.558,37.913,23,25.807,2,25.197,3,43.2,39,37,16,331.78,7,33.0,8.967,37.8,1.025,1.123,0.697,0.681,8.1,12,0,14
6.638,3,8.1,41.558,37.913,23,25.807,2,25.197,3,43.2,39,37,16,331.78,7,33.0,8.967,37.8,1.025,1.123,0.697,0.681,8.1,12,0,14
6.347,3,7.5,45.03,40.473,23,26.71,2,25.896,4,42.5,42,40,17,311.37,6,33.0,7.784,42.5,1.012,1.126,0.668,0.647,7.5,12,0,14
6.066,3,7.5,45.03,40.473,23,26.71,2,25.896,4,42.5,42,40,17,311.37,6,33.0,7.784,42.5,1.012,1.126,0.668,0.647,7.5,12,0,14
5.328,3,7.5,45.03,40.473,23,26.71,2,25.896,4,42.5,42,40,17,311.37,6,33.0,7.784,42.5,1.012,1.126,0.668,0.647,7.5,12,0,14
5.201,4,9.8,46.239,41.8,24,27.165,2,26.611,4,41.5,43,41,17,327.37,7,34.0,7.985,41.5,1.02,1.128,0.663,0.649,7.3,12,0,14
6.658,2,5.6,40.745,36.774,22,24.432,2,24.038,3,44.4,38,36,16,299.33,6,32.0,8.315,38.9,1.022,1.132,0.679,0.668,8.3,12,0,14
5.602,2,5.6,40.745,36.774,22,24.432,2,24.038,3,44.4,38,36,16,299.33,6,32.0,8.315,38.9,1.022,1.132,0.679,0.668,8.3,12,0,14
6.222,2,5.6,40.349,36.585,22,25.352,2,24.482,3,44.4,38,36,16,315.78,6,32.0,8.772,38.9,1.016,1.121,0.704,0.68,8.3,12,0,14
6.469,2,5.6,40.349,36.585,22,25.352,2,24.482,3,44.4,38,36,16,315.78,6,32.0,8.772,38.9,1.016,1.121,0.704,0.68,8.3,12,0,14
5.921,2,5.6,40.349,36.585,22,25.352,2,24.482,3,44.4,38,36,16,315.78,6,32.0,8.772,38.9,1.016,1.121,0.704,0.68,8.3,12,0,14
6.357,2,5.1,43.82,39.145,22,26.256,2,25.181,4,43.6,41,39,17,295.37,5,32.0,7.574,43.6,1.004,1.124,0.673,0.646,7.7,12,0,14
6.387,2,5.1,43.82,39.145,22,26.256,2,25.181,4,43.6,41,39,17,295.37,5,32.0,7.574,43.6,1.004,1.124,0.673,0.646,7.7,12,0,14
5.367,2,5.1,43.82,39.145,22,26.256,2,25.181,4,43.6,41,39,17,295.37,5,32.0,7.574,43.6,1.004,1.124,0.673,0.646,7.7,12,0,14
5.77,3,7.5,45.03,40.473,23,26.71,2,25.896,4,42.5,42,40,17,311.37,6,33.0,7.784,42.5,1.012,1.126,0.668,0.647,7.5,12,0,14
5.824,3,7.5,45.03,40.473,23,26.71,2,25.896,4,42.5,42,40,17,311.37,6,33.0,7.784,42.5,1.012,1.126,0.668,0.647,7.5,12,0,14
5.357,3,7.5,45.03,40.473,23,26.71,2,25.896,4,42.5,42,40,17,311.37,6,33.0,7.784,42.5,1.012,1.126,0.668,0.647,7.5,12,0,14
6.566,2,6.5,35.329,31.891,19,20.671,1,20.511,4,41.9,33,31,13,261.28,6,27.5,8.428,38.7,1.029,1.14,0.667,0.662,9.7,11,0,12
5.959,2,6.3,36.586,33.185,20,21.364,1,21.4,4,43.8,34,32,14,278.28,6,28.5,8.696,37.5,1.037,1.143,0.668,0.669,6.3,11,0,12
6.437,2,10.5,21.661,19.509,11,12.205,1,12.053,3,36.8,20,19,7,152.17,4,15.5,8.009,42.1,1.027,1.14,0.642,0.634,10.5,5,0,6
6.055,2,16.7,13.831,12.742,8,7.682,1,7.999,0,33.3,12,12,4,112.1,4,11.5,9.342,33.3,1.062,1.153,0.64,0.667,16.7,5,0,6
7.229,3,8.6,40.211,36.396,21,22.58,5,22.641,7,40.0,37,35,14,296.3,7,28.0,8.466,40.0,1.04,1.149,0.645,0.647,5.7,0,0,5
5.853,3,7.9,43.626,39.28,22,24.341,5,24.168,8,39.5,40,38,15,310.33,7,29.0,8.167,42.1,1.034,1.148,0.641,0.636,5.3,0,0,5
5.508,4,11.1,40.325,36.814,22,24.398,5,24.063,3,44.4,38,36,16,298.32,6,32.0,8.287,38.9,1.023,1.12,0.678,0.668,5.6,6,0,11
7.31,3,7.9,43.626,39.28,22,24.341,5,24.168,8,39.5,40,38,15,310.33,7,29.0,8.167,42.1,1.034,1.148,0.641,0.636,5.3,0,0,5
6.485,3,7.3,47.041,42.163,23,26.103,5,25.695,9,39.0,43,41,16,324.36,7,30.0,7.911,43.9,1.028,1.147,0.637,0.627,4.9,0,0,5
6.104,3,6.8,50.456,45.047,24,27.864,5,27.222,10,38.6,46,44,17,338.39,7,31.0,7.691,45.5,1.024,1.147,0.633,0.619,4.5,0,0,5
5.968,3,7.1,48.041,43.163,24,27.103,5,26.695,10,40.5,45,42,17,336.37,7,32.0,8.009,42.9,1.028,1.144,0.645,0.636,4.8,0,0,5
5.506,3,6.7,51.041,46.163,27,30.103,5,29.695,7,44.4,48,45,20,372.4,7,38.0,8.276,40.0,1.026,1.134,0.669,0.66,4.4,6,0,11
5.0,4,10.3,44.835,40.607,23,24.796,5,24.883,8,38.5,41,39,15,326.33,8,30.0,8.367,41.0,1.041,1.15,0.636,0.638,5.1,0,0,5
6.551,3,8.6,40.55,36.909,22,22.517,5,23.025,7,40.0,37,35,14,314.29,8,29.0,8.98,37.1,1.055,1.159,0.643,0.658,5.7,0,0,5
6.967,3,8.6,40.211,36.396,21,22.58,5,22.641,7,40.0,37,35,14,296.3,7,28.0,8.466,40.0,1.04,1.149,0.645,0.647,5.7,0,0,5
6.346,3,9.4,36.795,33.513,20,20.818,5,21.115,6,40.6,34,32,13,282.27,7,27.0,8.821,37.5,1.047,1.15,0.651,0.66,6.3,0,0,5
5.0,3,10.3,33.38,30.629,19,19.057,5,19.588,5,41.4,31,29,12,268.24,7,26.0,9.25,34.5,1.056,1.151,0.657,0.675,6.9,0,0,5
6.086,3,9.4,36.795,33.513,20,20.818,5,21.115,6,40.6,34,32,13,282.27,7,27.0,8.821,37.5,1.047,1.15,0.651,0.66,6.3,0,0,5
6.32,3,7.9,43.626,39.28,22,24.341,5,24.168,8,39.5,40,38,15,310.33,7,29.0,8.167,42.1,1.034,1.148,0.641,0.636,5.3,0,0,5
6.421,3,7.9,43.626,39.28,22,24.341,5,24.168,8,39.5,40,38,15,310.33,7,29.0,8.167,42.1,1.034,1.148,0.641,0.636,5.3,0,0,5
6.886,3,7.7,44.626,40.28,23,25.341,5,25.168,9,41.0,42,39,16,322.34,7,31.0,8.265,41.0,1.033,1.144,0.65,0.645,5.1,0,0,5
5.0,3,11.5,29.965,27.745,18,17.296,5,18.061,4,42.3,28,26,11,254.21,7,25.0,9.777,30.8,1.067,1.153,0.665,0.695,7.7,0,0,5
5.0,3,10.3,33.38,30.629,19,19.057,5,19.588,5,41.4,31,29,12,268.24,7,26.0,9.25,34.5,1.056,1.151,0.657,0.675,6.9,0,0,5
6.228,3,7.9,43.626,39.28,22,24.341,5,24.168,8,39.5,40,38,15,310.33,7,29.0,8.167,42.1,1.034,1.148,0.641,0.636,5.3,0,0,5
5.899,3,12.0,29.305,27.258,18,16.233,5,17.444,3,40.0,26,25,10,260.19,8,24.0,10.408,28.0,1.09,1.172,0.649,0.698,8.0,0,0,5
6.452,3,12.0,28.965,26.745,17,16.296,5,17.061,3,40.0,26,25,10,242.2,7,23.0,9.688,32.0,1.07,1.159,0.652,0.682,8.0,0,0,5
6.475,3,12.0,28.625,26.233,16,16.358,5,16.678,3,40.0,26,25,10,224.21,6,22.0,8.968,36.0,1.049,1.145,0.654,0.667,8.0,0,0,5
5.568,3,12.0,28.569,26.556,17,17.216,5,17.505,3,40.0,26,25,10,258.65,7,23.0,10.346,32.0,1.062,1.143,0.689,0.7,8.0,0,0,5
5.217,3,10.7,32.041,29.116,17,18.119,5,18.205,4,39.3,29,28,11,238.24,6,23.0,8.509,39.3,1.04,1.144,0.647,0.65,7.1,0,0,5
5.0,3,8.6,39.795,36.513,23,23.818,5,24.115,3,45.7,37,35,16,318.3,7,33.0,9.094,34.3,1.043,1.137,0.681,0.689,5.7,6,0,11
