pXC50,SpMin1_Bh.p.,MATS6p,SpMin1_Bh.i.,SpMin1_Bh.e.,Eig02_EA,SM10_AEA.bo.,MATS6i,S2K,SpMin1_Bh.v.,SpMax2_Bh.i.,Eig02_EA.ri.,Eig02_AEA.ri.,PW2,GATS6i,PHI,Eig02_AEA.bo.,GATS7s,MATS7v,JGI7,Eta_B_A,JGI5,CATS2D_05_AL,RBN,Eig02_AEA.ed.,Eig02_EA.ed.,GGI4,SM11_AEA.dm.,GGI8,SIC5,Eig08_AEA.bo.,Eta_B,IVDE,MATS2m,Eig03_EA,SM11_AEA.bo.,MATS1e,CATS2D_08_DL,SpMax1_Bh.v.,SpMax1_Bh.e.,SpMax1_Bh.i.,Eig02_AEA.dm.,SpMAD_AEA.ed.,H.050,Hy,nHDon,GGI2,GGI5,MCD,Rperim,X5,HVcpx,Eig03_AEA.ri.,JGI4,JGT,GGI6,Eta_L_A,Eig04_AEA.ed.,MATS7s,IDE,Eig01_EA.bo.,Eig02_EA.bo.,Eig04_EA.ri.
6.0,1.964,-0.007,1.79,1.833,2.379,2.379,-0.013,19.839,1.988,3.831,2.288,3.346,0.508,0.995,18.709,3.588,0.882,-0.003,0.006,0.008,0.01,1,16,5.034,6.089,0.4,6.089,0.099,0.929,2.331,0.212,0.991,-0.181,1.889,1.889,-0.071,4,3.753,3.865,3.913,2.857,1.322,3,0.86,3,1.111,0.222,0.0,0,2.854,4.098,2.889,0.017,0.22,0.163,0.337,3.86,-0.042,4.268,2.829,2.735,1.844
6.0,1.964,-0.002,1.791,1.834,2.38,2.38,-0.009,19.839,1.989,3.833,2.286,3.345,0.508,0.987,18.709,3.57,0.974,-0.014,0.005,0.008,0.01,1,16,5.034,6.089,0.4,6.089,0.074,0.929,2.327,0.212,0.991,-0.181,1.937,1.937,-0.071,3,3.754,3.864,3.913,2.817,1.322,3,0.86,3,1.111,0.222,0.0,0,2.844,4.11,2.936,0.017,0.216,0.122,0.337,3.796,-0.077,4.284,2.829,2.719,1.767
7.0,1.961,-0.004,1.791,1.837,2.094,2.094,-0.003,20.827,1.991,3.826,2.043,3.081,0.506,0.995,19.685,3.378,0.739,-0.001,0.005,0.006,0.007,2,18,4.773,5.32,0.4,5.32,0.074,0.85,2.289,0.174,0.968,-0.169,1.968,1.968,-0.046,2,3.751,3.862,3.91,2.7,1.339,2,0.157,2,0.889,0.167,0.0,0,2.969,4.124,2.968,0.015,0.2,0.122,0.348,3.885,-0.035,4.332,2.897,2.512,1.879
6.0,1.961,-0.029,1.791,1.837,2.203,2.203,-0.024,20.827,1.991,3.825,2.096,3.167,0.51,1.034,19.685,3.378,0.853,-0.015,0.005,0.008,0.009,2,18,4.87,5.597,0.4,5.597,0.074,0.875,2.306,0.212,0.968,-0.169,1.971,1.971,-0.046,2,3.751,3.861,3.91,2.674,1.322,2,0.157,2,1.111,0.222,0.0,0,2.939,4.173,2.971,0.017,0.198,0.122,0.347,3.887,-0.057,4.36,2.841,2.512,1.884
6.0,1.965,-0.004,1.79,1.829,2.381,2.381,-0.012,19.248,1.986,3.833,2.298,3.354,0.517,0.99,18.165,3.617,0.982,-0.005,0.004,0.012,0.013,1,16,5.035,6.09,0.56,6.09,0.173,0.93,2.44,0.318,1.16,-0.166,2.368,2.368,-0.093,1,3.757,3.868,3.913,2.856,1.348,4,1.624,4,1.556,0.333,0.0,0,2.995,4.086,3.332,0.022,0.289,0.204,0.328,3.82,-0.077,4.267,2.83,2.798,1.768
6.444,1.963,-0.001,1.791,1.837,1.972,1.972,-0.007,20.603,1.992,3.831,1.971,2.972,0.497,0.985,19.415,3.377,0.728,-0.004,0.003,0.004,0.005,1,16,3.972,3.941,0.24,3.941,0.049,0.868,2.264,0.106,0.764,-0.2,1.889,1.889,-0.045,2,3.751,3.861,3.912,2.44,1.295,2,0.154,2,0.667,0.111,0.0,0,2.703,4.119,2.889,0.011,0.138,0.082,0.352,3.756,-0.029,4.282,2.829,2.512,1.755
7.959,2.078,0.065,1.915,1.942,2.987,2.987,0.166,7.469,2.065,3.908,2.809,3.925,0.583,0.95,5.071,4.377,0.787,-0.168,0.011,0.023,0.023,9,4,6.527,10.094,1.437,10.094,0.242,0.906,2.749,0.61,1.37,0.005,2.553,2.553,-0.033,0,4.032,4.149,4.191,3.304,1.562,0,-0.722,0,3.111,0.883,0.808,21,6.811,3.221,3.471,0.037,0.379,0.605,0.23,5.455,-0.055,3.353,4.643,4.06,2.15
7.237,2.081,-0.165,1.884,1.922,3.279,3.279,-0.177,7.549,2.063,3.976,3.089,4.219,0.577,1.231,5.161,4.343,1.849,-0.14,0.012,0.021,0.023,5,5,6.919,11.667,1.438,11.667,0.256,0.852,2.451,0.535,1.354,-0.015,2.656,2.656,-0.059,1,4.01,4.142,4.19,3.366,1.575,2,0.289,2,3.111,0.827,0.769,20,6.55,3.227,3.604,0.038,0.387,0.487,0.291,5.546,-0.238,3.408,4.643,3.357,2.188
8.201,2.129,-0.06,1.972,2.005,3.021,3.021,-0.079,6.942,2.136,3.927,2.942,3.995,0.588,1.033,4.644,4.271,1.06,0.031,0.016,0.026,0.024,4,2,6.67,10.597,1.707,10.597,0.222,0.916,2.5,0.665,1.508,0.031,2.588,2.588,-0.028,1,3.958,4.054,4.091,3.69,1.577,1,-0.408,1,4.222,1.0,0.846,22,7.155,3.245,3.568,0.039,0.445,0.584,0.281,5.389,-0.047,3.351,3.901,3.784,2.23
7.092,2.13,-0.066,1.97,2.003,3.082,3.082,-0.05,7.397,2.136,3.891,2.955,4.042,0.586,1.034,5.155,4.202,0.731,-0.028,0.015,0.025,0.024,7,2,6.738,10.834,1.707,10.834,0.23,0.905,2.5,0.648,1.508,-0.011,2.666,2.666,-0.017,0,3.951,4.05,4.089,3.829,1.583,1,-0.37,1,4.222,1.0,0.846,22,7.127,3.163,3.617,0.037,0.425,0.607,0.319,5.571,0.007,3.284,3.895,3.373,2.098
7.87,2.181,-0.133,2.024,2.065,3.336,3.336,-0.2,6.344,2.2,4.051,3.264,4.31,0.604,1.192,3.939,4.464,2.891,-0.091,0.014,0.03,0.03,6,3,7.043,12.095,2.307,12.095,0.255,0.823,3.0,0.88,1.544,0.058,2.8,2.8,-0.007,0,4.004,4.102,4.14,3.587,1.62,1,-0.405,1,3.111,1.278,0.793,18,9.923,3.179,3.792,0.046,0.466,0.776,0.32,5.936,-0.299,3.351,4.239,3.602,2.522
8.472,2.134,0.081,2.069,2.084,3.1,3.1,0.09,7.949,2.143,4.079,3.077,4.096,0.585,0.901,4.927,4.537,1.233,-0.034,0.011,0.022,0.022,10,4,6.727,10.899,2.249,10.899,0.324,0.915,3.037,0.71,1.248,0.008,2.695,2.695,0.01,0,4.135,4.208,4.232,3.404,1.57,0,-0.836,0,3.333,1.205,0.875,27,10.364,3.353,3.666,0.038,0.328,0.971,0.236,6.027,-0.108,3.501,4.831,4.46,2.457
6.53,1.987,0.046,1.816,1.861,3.254,3.254,0.197,6.304,2.013,3.994,3.125,4.212,0.595,0.964,4.166,4.594,1.181,-0.187,0.012,0.028,0.025,2,4,6.915,11.63,1.603,11.63,0.321,0.869,2.795,0.741,1.57,0.094,2.492,2.492,-0.032,4,4.035,4.12,4.155,3.662,1.636,2,0.251,2,3.333,0.875,0.692,15,8.065,3.101,3.489,0.041,0.483,0.746,0.347,5.678,-0.056,3.237,4.322,3.795,2.29
5.81,1.987,0.075,1.816,1.861,3.254,3.254,0.222,6.841,2.013,3.996,3.125,4.213,0.591,0.938,4.59,4.594,1.17,-0.15,0.012,0.027,0.024,3,5,6.915,11.63,1.683,11.63,0.358,0.872,2.807,0.741,1.548,0.089,2.492,2.492,-0.027,4,4.036,4.12,4.155,3.662,1.624,2,0.231,2,3.333,0.875,0.667,15,8.33,3.169,3.489,0.042,0.469,0.746,0.354,5.678,-0.043,3.321,4.322,3.795,2.293
6.58,1.987,0.057,1.816,1.861,3.254,3.254,0.188,7.371,2.013,3.995,3.125,4.213,0.588,0.978,5.006,4.594,1.448,-0.142,0.011,0.026,0.024,3,6,6.915,11.63,1.683,11.63,0.389,0.875,2.819,0.741,1.526,0.061,2.492,2.492,-0.033,4,4.036,4.12,4.155,3.662,1.618,2,0.247,2,3.333,0.931,0.643,15,8.38,3.241,3.489,0.041,0.457,0.746,0.338,5.678,-0.087,3.412,4.322,3.795,2.293
7.33,2.03,-0.021,1.817,1.862,3.399,3.399,0.057,6.228,2.015,4.024,3.187,4.323,0.618,0.899,4.013,4.624,0.928,-0.142,0.016,0.037,0.025,2,3,7.022,12.017,2.101,12.017,0.439,0.855,2.89,1.085,1.709,0.089,3.204,3.204,-0.027,0,4.037,4.123,4.157,4.085,1.64,1,-0.302,1,3.889,1.08,0.759,19,9.147,3.193,4.124,0.049,0.56,1.001,0.334,5.917,0.016,3.369,4.33,3.796,2.485
5.0,1.994,-0.001,1.817,1.862,3.286,3.286,0.155,7.031,2.014,4.006,3.159,4.246,0.599,1.061,4.55,4.611,1.026,-0.213,0.011,0.027,0.024,3,3,6.972,11.822,1.829,11.822,0.373,0.844,2.858,0.792,1.437,0.051,2.685,2.685,-0.018,0,4.037,4.122,4.156,3.761,1.605,1,-0.336,1,3.556,1.025,0.828,21,9.356,3.195,3.621,0.042,0.434,0.703,0.343,5.723,-0.011,3.342,4.329,3.795,2.483
8.45,1.988,0.051,1.822,1.863,3.254,3.254,0.186,6.862,2.014,4.02,3.131,4.214,0.591,0.988,4.613,4.594,1.438,-0.133,0.012,0.027,0.024,5,5,6.915,11.63,1.683,11.63,0.358,0.871,2.807,0.741,1.548,0.103,2.492,2.492,-0.024,4,4.04,4.122,4.157,3.659,1.624,2,0.194,2,3.333,0.875,0.667,15,8.33,3.169,3.49,0.042,0.469,0.746,0.371,5.678,-0.129,3.321,4.322,3.795,2.326
8.23,1.989,0.04,1.817,1.862,3.263,3.263,0.179,7.088,2.014,4.021,3.133,4.221,0.596,1.001,4.823,4.598,1.309,-0.149,0.012,0.03,0.027,3,5,6.918,11.645,1.874,11.645,0.439,0.869,2.846,0.847,1.617,0.115,2.539,2.539,-0.018,4,4.038,4.122,4.157,3.663,1.639,2,0.212,2,3.556,1.066,0.643,15,8.552,3.189,3.508,0.045,0.509,0.843,0.351,5.69,-0.071,3.348,4.323,3.795,2.389
5.0,1.937,0.171,1.753,1.778,3.259,3.259,0.233,6.659,1.935,3.983,3.128,4.217,0.603,0.87,5.019,4.608,1.239,-0.219,0.028,0.038,0.032,2,5,6.916,11.635,1.277,11.635,0.385,0.777,2.446,0.958,1.851,0.213,2.413,2.413,-0.028,4,4.003,4.079,4.105,3.671,1.682,2,0.273,2,5.833,1.043,0.48,12,5.253,3.088,3.377,0.034,0.626,0.768,0.326,5.711,-0.084,3.273,4.322,4.148,2.254
6.57,1.953,0.051,1.765,1.801,3.094,3.094,0.19,7.358,1.96,3.986,3.087,4.095,0.579,0.937,5.144,4.165,1.211,-0.171,0.013,0.024,0.024,3,5,6.517,10.247,1.353,10.247,0.251,0.921,2.448,0.589,1.388,0.076,2.414,2.414,-0.032,3,3.974,4.056,4.088,3.641,1.579,2,0.273,2,2.667,0.813,0.64,15,6.46,3.174,3.383,0.037,0.4,0.554,0.344,5.401,-0.064,3.315,4.32,3.271,2.283
5.0,2.178,0.098,2.033,2.071,3.251,3.251,0.269,7.393,2.2,3.994,3.124,4.21,0.589,0.851,5.031,4.559,1.163,-0.087,0.009,0.027,0.025,5,5,6.914,11.627,1.646,11.627,0.358,0.809,2.813,0.768,1.526,0.084,2.634,2.634,-0.023,3,4.011,4.098,4.134,3.66,1.606,2,0.212,2,2.889,1.014,0.679,15,8.695,3.22,3.635,0.038,0.456,0.759,0.358,5.721,-0.026,3.373,4.321,3.69,2.294
6.31,2.155,0.094,1.983,2.017,3.251,3.251,0.249,7.371,2.164,3.99,3.122,4.21,0.589,0.863,5.006,4.559,1.092,-0.068,0.009,0.027,0.025,7,5,6.914,11.627,1.646,11.627,0.358,0.875,2.813,0.768,1.526,0.094,2.634,2.634,-0.033,2,3.98,4.075,4.102,3.663,1.606,2,0.247,2,2.889,1.014,0.679,15,8.695,3.22,3.625,0.038,0.456,0.759,0.344,5.721,0.043,3.373,4.321,3.69,2.294
6.48,2.02,0.143,1.896,1.912,3.258,3.258,0.09,8.805,2.003,3.947,3.111,4.212,0.587,0.755,6.597,4.592,0.752,-0.046,0.018,0.032,0.025,3,5,6.916,11.634,2.183,11.634,0.577,0.925,2.809,0.937,1.713,0.162,2.792,2.792,-0.051,2,3.967,4.033,4.044,3.693,1.593,2,0.33,2,3.778,1.167,0.517,15,7.085,3.217,3.7,0.043,0.504,0.702,0.253,5.736,-0.024,3.399,4.326,4.201,2.293
7.796,2.063,-0.186,1.89,1.914,2.803,2.803,-0.195,6.676,2.053,3.907,2.659,3.747,0.578,1.221,4.403,4.115,1.28,-0.046,0.013,0.022,0.03,6,3,6.151,9.096,1.343,9.096,0.15,0.845,2.533,0.516,1.281,0.146,2.555,2.555,0.07,0,4.043,4.1,4.123,2.944,1.541,0,-0.782,0,2.444,0.976,0.875,21,6.548,3.236,3.488,0.038,0.39,0.541,0.253,5.289,-0.038,3.356,4.581,3.678,2.036
7.62,2.076,-0.22,1.885,1.909,2.959,2.959,-0.128,7.747,2.055,3.909,2.764,3.895,0.587,1.285,5.103,4.278,1.139,-0.191,0.014,0.025,0.027,7,3,6.545,10.302,1.899,10.302,0.206,0.886,2.86,0.73,1.361,0.075,2.718,2.718,-0.007,0,4.025,4.155,4.202,3.189,1.566,0,-0.717,0,3.333,1.529,0.897,26,8.39,3.135,3.651,0.037,0.385,0.904,0.253,5.609,0.026,3.288,4.728,3.906,2.297
7.076,2.076,-0.22,1.885,1.909,2.959,2.959,-0.128,7.747,2.055,3.909,2.764,3.895,0.587,1.285,5.103,4.278,1.139,-0.191,0.014,0.025,0.027,7,3,6.545,10.302,1.899,10.302,0.206,0.886,2.86,0.73,1.361,0.075,2.718,2.718,-0.007,0,4.025,4.155,4.202,3.189,1.566,0,-0.717,0,3.333,1.529,0.897,26,8.39,3.135,3.651,0.037,0.385,0.904,0.253,5.609,0.026,3.288,4.728,3.906,2.297
7.979,2.181,-0.099,2.024,2.065,3.382,3.382,-0.13,7.829,2.2,4.07,3.292,4.351,0.602,1.164,4.937,4.473,2.576,-0.098,0.015,0.029,0.028,7,4,7.119,12.392,2.618,12.392,0.402,0.813,3.0,0.983,1.489,0.057,2.937,2.937,0.003,0,4.015,4.114,4.151,3.605,1.6,1,-0.421,1,3.778,1.629,0.824,23,11.281,3.399,3.914,0.042,0.441,1.122,0.332,6.248,-0.217,3.604,4.329,3.701,2.588
7.215,2.181,-0.093,2.025,2.065,3.382,3.382,-0.124,8.575,2.2,4.068,3.291,4.351,0.604,1.175,5.538,4.473,2.551,-0.108,0.015,0.03,0.029,6,4,7.119,12.392,2.84,12.392,0.493,0.818,3.11,1.089,1.537,0.066,2.94,2.94,0.007,0,4.015,4.114,4.151,3.605,1.618,1,-0.41,1,4.222,1.757,0.806,24,12.123,3.518,3.915,0.044,0.466,1.298,0.321,6.248,-0.208,3.719,4.329,3.701,2.591
7.523,2.113,-0.304,1.968,1.986,2.833,2.833,-0.331,6.248,2.099,3.927,2.774,3.818,0.588,1.34,4.089,4.134,2.472,-0.068,0.015,0.025,0.03,5,2,6.376,9.57,2.044,9.57,0.152,0.887,2.683,0.61,1.406,0.043,2.528,2.528,-0.021,0,3.966,4.058,4.081,3.447,1.57,1,-0.342,1,2.889,1.007,0.792,18,7.014,3.099,3.507,0.052,0.399,0.448,0.286,5.478,-0.312,3.235,4.238,3.549,2.345
6.602,2.113,-0.304,1.968,1.986,2.833,2.833,-0.331,6.248,2.099,3.927,2.774,3.818,0.588,1.34,4.089,4.134,2.472,-0.068,0.015,0.025,0.03,5,2,6.376,9.57,2.044,9.57,0.152,0.887,2.683,0.61,1.406,0.043,2.528,2.528,-0.021,0,3.966,4.058,4.081,3.447,1.57,1,-0.342,1,2.889,1.007,0.792,18,7.014,3.099,3.507,0.052,0.399,0.448,0.286,5.478,-0.312,3.235,4.238,3.549,2.345
7.284,2.181,-0.168,2.024,2.065,3.331,3.331,-0.239,5.854,2.2,4.048,3.262,4.306,0.611,1.222,3.572,4.464,3.094,0.009,0.015,0.033,0.03,6,2,7.035,12.049,2.267,12.049,0.255,0.817,3.0,0.918,1.56,0.062,2.791,2.791,-0.011,0,4.003,4.101,4.139,3.585,1.618,1,-0.394,1,3.111,1.188,0.821,18,9.748,3.158,3.783,0.048,0.477,0.633,0.312,5.865,-0.393,3.326,4.238,3.602,2.513
7.066,2.181,-0.168,2.024,2.065,3.331,3.331,-0.239,5.854,2.2,4.048,3.262,4.306,0.611,1.222,3.572,4.464,3.094,0.009,0.015,0.033,0.03,6,2,7.035,12.049,2.267,12.049,0.255,0.817,3.0,0.918,1.56,0.062,2.791,2.791,-0.011,0,4.003,4.101,4.139,3.585,1.618,1,-0.394,1,3.111,1.188,0.821,18,9.748,3.158,3.783,0.048,0.477,0.633,0.312,5.865,-0.393,3.326,4.238,3.602,2.513
8.22,2.113,-0.225,1.969,1.988,2.839,2.839,-0.257,7.438,2.099,3.926,2.781,3.825,0.578,1.284,5.035,4.135,2.48,-0.174,0.014,0.022,0.03,5,3,6.386,9.615,2.058,9.615,0.191,0.869,2.706,0.572,1.37,0.029,2.55,2.55,-0.011,0,3.969,4.061,4.084,3.45,1.562,1,-0.37,1,2.889,1.121,0.769,19,7.313,3.155,3.529,0.048,0.377,0.631,0.304,5.494,-0.243,3.313,4.238,3.549,2.367
6.693,2.113,-0.225,1.969,1.988,2.839,2.839,-0.257,7.438,2.099,3.926,2.781,3.825,0.578,1.284,5.035,4.135,2.48,-0.174,0.014,0.022,0.03,5,3,6.386,9.615,2.058,9.615,0.191,0.869,2.706,0.572,1.37,0.029,2.55,2.55,-0.011,0,3.969,4.061,4.084,3.45,1.562,1,-0.37,1,2.889,1.121,0.769,19,7.313,3.155,3.529,0.048,0.377,0.631,0.304,5.494,-0.243,3.313,4.238,3.549,2.367
8.21,2.181,-0.133,2.024,2.065,3.336,3.336,-0.2,6.344,2.2,4.051,3.264,4.31,0.604,1.192,3.939,4.464,2.891,-0.091,0.014,0.03,0.03,6,3,7.043,12.095,2.307,12.095,0.255,0.823,3.0,0.88,1.544,0.058,2.8,2.8,-0.007,0,4.004,4.102,4.14,3.587,1.62,1,-0.405,1,3.111,1.278,0.793,18,9.923,3.179,3.792,0.046,0.466,0.776,0.32,5.936,-0.299,3.351,4.239,3.602,2.522
7.013,2.181,-0.133,2.024,2.065,3.336,3.336,-0.2,6.344,2.2,4.051,3.264,4.31,0.604,1.192,3.939,4.464,2.891,-0.091,0.014,0.03,0.03,6,3,7.043,12.095,2.307,12.095,0.255,0.823,3.0,0.88,1.544,0.058,2.8,2.8,-0.007,0,4.004,4.102,4.14,3.587,1.62,1,-0.405,1,3.111,1.278,0.793,18,9.923,3.179,3.792,0.046,0.466,0.776,0.32,5.936,-0.299,3.351,4.239,3.602,2.522
8.757,2.181,-0.103,2.024,2.065,3.35,3.35,-0.165,6.594,2.2,4.054,3.272,4.322,0.61,1.168,4.16,4.464,2.715,-0.171,0.013,0.034,0.032,6,3,7.066,12.178,2.347,12.178,0.33,0.804,3.0,1.008,1.603,0.081,2.842,2.842,-0.004,0,4.006,4.104,4.142,3.59,1.626,1,-0.415,1,3.333,1.479,0.767,18,10.071,3.185,3.836,0.044,0.483,0.96,0.322,6.128,-0.221,3.368,4.24,3.602,2.602
7.714,2.181,-0.103,2.024,2.065,3.35,3.35,-0.165,6.594,2.2,4.054,3.272,4.322,0.61,1.168,4.16,4.464,2.715,-0.171,0.013,0.034,0.032,6,3,7.066,12.178,2.347,12.178,0.33,0.804,3.0,1.008,1.603,0.081,2.842,2.842,-0.004,0,4.006,4.104,4.142,3.59,1.626,1,-0.415,1,3.333,1.479,0.767,18,10.071,3.185,3.836,0.044,0.483,0.96,0.322,6.128,-0.221,3.368,4.24,3.602,2.602
7.991,2.181,-0.039,2.024,2.065,3.338,3.338,-0.099,7.099,2.2,4.053,3.265,4.312,0.605,1.083,4.546,4.464,2.693,-0.041,0.017,0.033,0.027,8,4,7.044,12.102,2.467,12.102,0.296,0.81,3.0,1.025,1.589,0.074,2.808,2.808,-0.001,2,4.006,4.104,4.142,3.587,1.613,1,-0.425,1,3.111,1.333,0.742,18,10.351,3.258,3.8,0.046,0.48,0.978,0.327,5.957,-0.278,3.441,4.239,3.602,2.545
8.333,2.181,-0.035,2.025,2.065,3.338,3.338,-0.088,7.712,2.2,4.058,3.266,4.312,0.599,1.085,4.709,4.464,2.654,0.054,0.015,0.028,0.023,10,4,7.044,12.103,2.458,12.103,0.383,0.838,3.0,0.949,1.39,0.005,2.815,2.815,-0.004,2,4.012,4.108,4.145,3.588,1.577,1,-0.45,1,3.111,1.229,0.853,24,11.465,3.413,3.808,0.043,0.419,0.917,0.289,5.97,-0.284,3.59,4.239,3.602,2.605
7.793,2.179,-0.068,2.023,2.064,3.179,3.179,-0.091,6.6,2.199,4.052,3.147,4.168,0.601,1.093,4.097,4.214,2.325,-0.171,0.015,0.028,0.03,7,3,6.605,10.624,2.356,10.624,0.348,0.847,3.0,0.811,1.376,0.023,2.803,2.803,-0.007,0,4.001,4.099,4.137,3.465,1.61,1,-0.405,1,3.333,1.306,0.793,18,10.128,3.238,3.795,0.049,0.419,0.71,0.322,5.936,-0.156,3.401,4.238,3.554,2.452
