pXC50,C.002,SpMin2_Bh.s.,nCt,C.003,C.043,H.046,SaaO,GATS5s,C.031,nCs,SaaN,NaaO,GATS4s,GATS4e,nCrt,N.075,NaaN,P_VSA_s_4,Eta_L_A,nCrs,Eta_FL_A,C.024,nCbH,MATS4m,CATS2D_04_LL,NssCH2,MATS4s,nBnz,MATS4v,GATS2v,ATSC7s,SpMin8_Bh.e.,SdO,GATS2p,MATS4e,P_VSA_MR_1,SpMax6_Bh.s.,MATS1s,CATS2D_01_AA,SRW05,SRW07,ATSC8s,nR05,SpMin8_Bh.i.,ATSC5s,P_VSA_LogP_3,P_VSA_s_3,GATS8i,GATS4m,MATS3s,SpMax8_Bh.s.,SpMin1_Bh.s.,P_VSA_MR_7,nCsp3,SpMin6_Bh.s.,SaaCH,GATS4v,H.051,CIC2,IC1,Eta_L,MAXDP,MATS2p,Eig05_AEA.dm.,ATSC6s,nCb.
6.77,0,1.088,0,0,0,0,0.0,1.416,0,1,0.0,0,1.564,1.348,0,0,0,98.078,0.219,0,0.257,6,4,-0.253,0,2,-0.218,1,-0.213,0.879,82.875,0.98,37.734,0.866,-0.228,188.338,4.8,-0.105,0,2.398,4.443,107.095,1,0.898,192.087,123.565,15.71,0.844,1.486,0.072,4.109,1.269,5.807,5,0.542,13.157,1.203,0,0.979,3.707,5.471,5.968,0.159,2.69,124.773,2
6.959,1,1.148,0,0,0,3,0.0,1.313,0,2,0.0,0,1.502,1.31,0,0,0,123.638,0.222,0,0.257,10,8,-0.075,2,2,-0.192,2,-0.081,0.879,116.835,1.123,39.861,0.863,-0.163,258.964,4.74,-0.101,0,2.398,4.443,124.702,1,1.056,165.936,151.025,55.146,0.893,1.127,0.053,4.328,1.297,5.807,5,0.602,18.908,1.029,2,1.104,3.721,6.87,6.62,0.142,2.804,140.341,4
6.699,5,1.268,0,0,0,7,0.0,1.272,0,6,0.0,0,1.456,1.222,0,0,0,99.081,0.256,0,0.222,7,7,-0.065,1,9,-0.181,2,-0.035,0.941,175.364,1.176,39.982,0.928,-0.182,341.362,5.005,-0.11,0,2.398,4.595,178.428,1,1.136,240.24,90.152,48.916,0.908,1.193,0.013,4.365,1.366,5.807,13,0.835,10.924,1.015,0,1.219,3.682,9.994,6.775,0.122,2.854,153.745,5
7.854,0,1.133,0,0,0,0,0.0,1.144,0,2,0.0,0,1.451,1.252,0,0,0,126.117,0.209,0,0.27,12,12,-0.053,0,4,-0.179,3,-0.044,0.902,246.834,1.172,66.575,0.896,-0.173,294.278,6.493,-0.111,0,2.398,4.595,271.566,1,1.136,312.286,162.328,55.707,1.099,1.155,0.01,4.981,1.261,5.807,7,0.614,18.696,1.0,0,1.096,3.948,9.007,6.93,0.136,3.317,313.851,6
10.62,0,1.226,1,1,0,0,0.0,1.098,0,2,0.0,0,1.365,1.162,1,0,0,154.545,0.213,0,0.27,15,15,-0.088,13,4,-0.15,4,-0.106,0.882,252.72,1.295,67.969,0.868,-0.126,329.591,6.493,-0.101,0,3.045,5.476,284.627,2,1.27,322.524,190.757,65.264,1.093,1.143,0.021,4.981,1.261,5.807,8,0.842,25.546,1.067,0,1.248,3.955,10.64,7.096,0.146,3.544,318.558,9
7.119,0,1.101,0,0,0,0,0.0,1.057,0,1,0.0,0,1.249,1.172,0,0,0,87.561,0.207,0,0.264,7,7,-0.245,1,1,-0.222,2,-0.144,0.848,208.284,0.886,37.833,0.883,-0.252,182.945,6.493,-0.086,0,0.0,0.0,253.096,0,0.821,246.032,114.947,35.032,1.052,1.382,0.084,4.548,1.261,5.807,4,0.388,8.346,1.115,0,0.915,3.851,5.583,6.006,0.142,2.829,197.971,5
8.046,2,1.183,0,0,0,0,0.0,1.337,0,3,0.0,0,1.473,1.286,0,0,0,126.117,0.22,0,0.263,12,12,-0.124,1,6,-0.214,3,-0.067,0.93,178.648,1.172,52.718,0.903,-0.227,282.506,5.006,-0.085,0,2.398,4.595,221.038,1,1.135,217.278,162.328,55.642,1.039,1.264,0.038,4.773,1.342,5.807,8,0.637,19.866,1.036,0,1.195,3.77,9.033,6.871,0.123,3.232,228.59,6
7.276,0,1.146,1,1,0,6,0.0,1.435,0,1,0.0,0,1.382,1.155,0,0,0,96.386,0.228,0,0.248,7,7,-0.016,1,2,-0.166,2,0.017,0.819,101.671,1.024,39.427,0.825,-0.177,247.193,4.848,-0.108,0,2.398,4.595,141.888,1,0.989,187.427,114.947,33.927,0.972,1.148,0.056,4.323,1.321,5.807,7,0.575,10.951,0.959,0,1.087,3.692,6.831,6.504,0.207,2.835,229.36,5
7.046,0,1.198,0,0,0,0,0.0,1.268,0,1,0.0,0,1.498,1.33,0,0,0,125.466,0.206,0,0.273,11,11,-0.219,7,1,-0.207,3,-0.179,0.862,86.794,0.98,38.814,0.846,-0.209,200.109,4.844,-0.11,0,0.0,0.0,122.625,0,0.9,174.42,152.852,21.936,0.958,1.371,0.071,4.324,1.346,5.807,4,0.576,19.143,1.134,0,1.276,3.542,5.962,6.358,0.161,2.818,129.93,5
7.155,1,1.115,0,0,0,0,0.0,1.335,0,2,0.0,0,1.565,1.364,0,0,0,114.813,0.229,0,0.25,10,8,-0.098,2,2,-0.227,2,-0.11,0.851,116.249,1.055,39.835,0.787,-0.22,223.651,4.745,-0.102,0,2.398,4.443,135.764,1,1.018,167.011,151.025,55.016,0.812,0.84,0.053,4.328,1.293,5.807,4,0.579,18.603,1.03,2,1.0,3.83,7.11,6.611,0.125,2.822,141.6,4
7.301,0,1.099,0,0,0,6,0.0,1.204,0,1,0.0,0,1.538,1.402,0,0,0,84.431,0.244,0,0.226,4,4,-0.238,3,1,-0.226,1,-0.247,0.674,83.998,0.977,38.136,0.669,-0.259,200.109,4.797,-0.133,0,3.045,5.476,103.499,2,0.899,194.587,51.362,82.668,0.957,1.347,-0.026,4.16,1.247,5.807,6,0.605,8.029,1.199,0,0.878,3.855,6.828,6.243,0.321,2.737,69.285,2
7.585,2,1.22,2,1,0,0,0.0,1.747,0,3,0.0,0,1.309,1.12,1,0,0,108.335,0.25,2,0.222,7,7,0.072,1,6,-0.12,2,0.064,0.85,184.976,1.153,53.199,0.867,-0.131,223.651,5.005,-0.098,0,2.398,4.595,238.041,1,1.075,304.252,72.141,46.175,0.997,1.028,-0.054,4.567,1.465,5.807,13,0.825,10.832,0.921,0,1.294,3.628,9.736,6.969,0.166,3.234,188.854,5
7.301,1,1.109,0,0,0,0,0.0,1.312,0,2,4.213,0,1.486,1.201,0,1,1,106.697,0.208,0,0.272,7,7,-0.12,1,3,-0.213,2,-0.066,0.764,129.724,1.137,40.293,0.757,-0.205,258.964,4.929,-0.104,0,3.045,5.283,168.29,2,1.073,180.285,123.994,39.218,1.03,1.258,0.022,4.362,1.289,22.593,6,0.582,14.087,1.048,2,0.826,3.999,7.067,6.769,0.243,2.852,172.503,5
6.409,1,1.11,0,0,0,0,0.0,1.335,0,2,0.0,0,1.53,1.322,0,0,0,114.813,0.221,0,0.258,10,8,-0.095,2,2,-0.221,2,-0.07,0.871,131.568,1.058,39.818,0.838,-0.211,223.651,4.848,-0.101,0,2.398,4.443,149.302,1,1.014,172.831,151.025,55.461,0.817,1.055,0.039,4.347,1.292,44.956,4,0.579,18.091,1.003,2,0.923,3.83,6.838,6.605,0.126,2.822,146.615,4
6.854,0,1.1,0,0,0,0,0.0,1.195,0,1,0.0,0,1.135,1.061,0,0,0,87.561,0.207,0,0.263,7,7,-0.159,1,1,-0.105,2,-0.112,0.848,252.153,0.886,37.828,0.883,-0.138,182.945,6.493,-0.086,0,0.0,0.0,239.436,0,0.821,260.415,114.947,35.032,1.032,1.298,-0.057,4.511,1.26,5.807,4,0.393,7.962,1.083,0,0.959,3.851,5.581,6.004,0.142,2.822,199.065,5
7.347,0,1.145,0,0,0,3,0.0,1.277,0,1,0.0,0,1.503,1.188,0,0,0,125.466,0.219,0,0.262,11,11,-0.056,1,3,-0.204,3,-0.121,0.843,118.036,1.141,40.532,0.875,-0.164,282.506,4.849,-0.105,0,2.398,4.595,176.178,1,1.075,173.277,152.852,71.783,0.938,1.221,0.044,4.363,1.282,5.807,6,0.59,18.653,1.1,0,1.179,3.733,7.883,6.846,0.158,3.245,146.325,7
7.398,1,1.162,0,0,0,0,0.0,1.23,0,2,0.0,0,1.471,1.145,0,0,0,127.523,0.207,0,0.275,11,11,-0.16,1,3,-0.213,3,-0.148,0.816,150.338,1.141,40.62,0.811,-0.186,258.964,4.869,-0.104,0,2.398,4.595,179.792,1,1.074,181.494,152.852,44.891,0.929,1.276,0.038,4.389,1.311,5.807,6,0.582,17.792,1.126,0,1.45,3.596,7.435,6.87,0.199,2.892,164.977,7
7.097,0,1.122,0,0,0,0,0.0,1.284,0,1,0.0,0,1.553,1.383,0,0,0,104.227,0.23,0,0.245,8,8,-0.224,2,1,-0.222,2,-0.189,0.859,84.423,0.978,38.213,0.931,-0.237,200.109,4.718,-0.113,0,0.0,0.0,98.199,0,0.894,174.689,124.423,50.56,0.779,1.271,0.066,4.089,1.266,5.807,5,0.562,13.301,1.133,0,1.026,3.716,6.203,6.141,0.134,2.855,132.033,4
6.638,1,1.115,0,0,0,0,0.0,1.321,0,2,0.0,0,1.585,1.403,0,0,0,114.813,0.227,0,0.249,10,8,-0.051,2,2,-0.233,2,-0.061,0.848,118.563,1.057,39.19,0.788,-0.227,223.651,4.744,-0.125,0,2.398,4.443,124.579,1,1.014,195.92,108.219,51.221,0.782,0.794,-0.042,4.328,1.29,5.807,4,0.579,18.541,0.983,2,0.959,3.698,6.822,6.509,0.112,2.779,93.492,4
6.585,1,1.115,0,0,0,0,0.0,1.346,0,2,0.0,0,1.558,1.357,0,0,0,114.813,0.229,0,0.25,10,8,-0.056,2,2,-0.22,2,-0.066,0.851,114.606,1.059,39.877,0.787,-0.213,223.651,4.745,-0.102,0,2.398,4.443,136.002,1,1.015,166.737,151.025,55.016,0.825,0.798,0.05,4.328,1.293,5.807,4,0.579,18.63,0.988,2,0.923,3.83,7.11,6.627,0.125,2.82,143.432,4
6.921,0,1.152,0,0,0,3,0.0,1.454,0,1,0.0,0,1.261,1.248,0,0,0,102.056,0.201,0,0.269,7,7,-0.202,2,1,-0.174,2,-0.153,0.829,216.597,0.981,61.379,0.855,-0.244,188.338,6.493,-0.074,2,0.0,0.0,241.777,0,0.906,281.014,114.947,22.732,0.892,1.319,0.033,4.686,1.282,11.477,5,0.53,10.004,1.113,0,0.918,3.877,5.835,6.218,0.205,2.917,182.868,5
4.377,2,1.157,0,0,0,0,0.0,1.212,0,2,0.0,0,1.474,1.234,0,0,0,100.501,0.22,0,0.258,7,7,-0.295,1,4,-0.22,2,-0.225,0.819,147.472,1.099,37.71,0.811,-0.216,258.964,4.847,-0.092,0,0.0,0.0,128.997,0,1.028,127.292,114.947,34.452,0.884,1.407,0.058,4.34,1.305,5.807,7,0.575,11.347,1.222,2,1.544,3.503,6.594,6.124,0.229,2.824,141.812,5
6.42,2,1.214,0,0,0,0,0.0,1.232,0,2,0.0,0,1.438,1.343,0,0,0,186.098,0.21,0,0.273,18,18,-0.173,2,6,-0.166,4,-0.082,0.981,177.667,1.291,52.327,0.948,-0.187,364.904,4.869,-0.078,0,0.0,0.0,165.33,0,1.273,130.657,219.186,41.58,0.922,1.294,0.026,4.73,1.306,5.807,7,0.861,32.545,1.046,2,1.86,3.503,9.246,6.619,0.062,2.906,167.596,6
6.108,2,1.162,0,0,0,0,0.0,1.418,0,2,0.0,0,1.383,1.3,0,0,0,186.098,0.202,0,0.282,18,18,-0.182,5,4,-0.137,4,-0.103,0.987,164.769,1.197,52.22,0.973,-0.178,317.82,4.871,-0.088,0,0.0,0.0,156.033,0,1.163,147.238,219.186,36.511,0.957,1.295,0.028,4.703,1.306,5.807,5,0.861,31.457,1.067,2,1.876,3.467,8.478,6.583,0.032,2.906,162.824,6
7.137,2,1.19,0,0,0,0,0.0,1.31,0,2,0.0,0,1.327,1.218,0,0,0,173.498,0.203,0,0.28,17,17,-0.209,10,4,-0.144,4,-0.147,0.983,153.704,1.198,51.135,0.962,-0.159,306.049,4.875,-0.092,0,0.0,0.0,155.097,0,1.162,141.389,209.709,40.125,1.016,1.323,0.013,4.71,1.306,5.807,5,0.861,30.334,1.132,2,1.743,3.564,8.515,6.472,0.051,2.905,154.871,7
6.523,2,1.161,0,0,0,0,0.0,1.32,0,2,0.0,0,1.352,1.237,0,0,0,126.117,0.209,0,0.269,12,12,-0.217,1,4,-0.171,3,-0.16,0.951,166.338,1.124,50.534,0.914,-0.201,247.193,4.948,-0.094,0,0.0,0.0,155.036,0,1.055,150.166,162.328,37.255,0.984,1.24,-0.005,4.711,1.306,44.956,5,0.585,19.489,1.139,2,1.403,3.799,7.743,6.358,0.079,2.937,154.08,6
6.0,2,1.162,0,0,0,0,0.0,1.24,0,2,0.0,0,1.397,1.289,0,0,0,135.593,0.212,0,0.269,13,13,-0.225,1,5,-0.178,3,-0.147,0.994,162.267,1.142,50.491,0.964,-0.198,282.506,4.867,-0.087,0,0.0,0.0,155.921,0,1.062,133.771,171.804,36.289,0.951,1.358,0.014,4.706,1.306,5.807,6,0.692,22.48,1.125,2,1.397,3.692,7.86,6.36,0.069,2.905,150.953,5
7.523,3,1.228,0,0,0,0,0.0,1.286,0,3,0.0,0,1.383,1.255,0,0,0,135.593,0.219,0,0.263,13,13,-0.215,2,6,-0.167,3,-0.16,1.013,162.239,1.155,50.553,0.983,-0.176,282.506,4.867,-0.081,0,0.0,0.0,163.766,0,1.082,140.446,171.804,38.823,0.947,1.339,0.018,4.708,1.306,5.807,7,0.86,22.849,1.145,2,1.581,3.628,8.335,6.377,0.055,2.905,145.967,5
7.222,2,1.161,0,0,0,0,0.0,1.173,0,2,0.0,0,1.442,1.316,0,0,0,96.608,0.217,0,0.26,8,8,-0.282,1,4,-0.217,2,-0.169,0.931,154.891,0.96,49.165,0.905,-0.246,235.422,4.866,-0.093,0,0.0,0.0,152.807,0,0.884,134.252,124.423,30.997,0.968,1.414,0.018,4.385,1.306,5.807,6,0.581,12.957,1.159,2,1.079,3.832,6.74,6.157,0.146,2.905,136.356,4
5.174,4,1.236,0,0,0,5,0.0,1.161,0,4,0.0,0,1.405,1.227,0,0,0,59.132,0.273,0,0.203,4,4,-0.241,1,7,-0.202,1,-0.176,1.065,132.043,0.886,36.053,1.117,-0.18,235.422,4.385,-0.073,0,0.0,0.0,92.232,0,0.821,106.903,86.518,28.383,0.963,1.402,0.001,4.046,1.368,5.807,9,0.57,7.418,1.189,2,1.03,3.435,6.558,5.424,0.016,2.614,142.015,2
4.26,3,1.231,0,0,0,5,0.0,1.032,0,3,0.0,0,1.361,1.16,0,0,0,59.132,0.264,0,0.21,4,4,-0.126,0,6,-0.2,1,-0.139,1.037,87.402,0.886,35.968,1.097,-0.145,211.88,4.384,-0.079,0,0.0,0.0,84.587,0,0.821,153.702,86.518,25.848,0.987,1.24,0.003,3.988,1.359,5.807,8,0.566,7.293,1.149,0,0.841,3.532,6.083,5.307,0.033,2.599,142.976,2
5.658,2,1.154,0,0,0,0,0.0,1.329,0,2,0.0,0,1.521,1.438,0,0,0,96.281,0.219,0,0.262,10,10,-0.238,2,4,-0.207,2,-0.121,1.052,124.187,0.886,36.844,0.998,-0.218,188.338,4.712,-0.092,0,0.0,0.0,76.685,0,0.821,105.026,143.376,18.721,0.97,1.437,0.069,3.775,1.304,5.807,4,0.246,17.635,1.085,2,1.653,3.268,5.251,5.786,0.029,2.49,115.989,2
6.0,2,1.162,0,0,0,0,0.0,1.177,0,2,0.0,0,1.346,1.313,0,0,0,86.805,0.214,0,0.262,9,9,-0.274,2,4,-0.206,2,-0.155,1.022,233.789,0.886,48.103,0.985,-0.24,176.567,6.351,-0.105,0,0.0,0.0,115.076,0,0.821,162.025,133.899,22.817,1.022,1.435,0.051,4.645,1.306,5.807,4,0.25,14.153,1.132,2,1.261,3.617,5.767,5.92,0.058,2.763,134.895,3
7.097,2,1.165,0,0,0,0,0.0,1.152,0,2,0.0,0,1.368,1.239,0,0,0,88.212,0.217,0,0.26,8,8,-0.296,1,4,-0.214,2,-0.213,0.95,177.082,0.9,37.624,0.933,-0.23,200.109,5.804,-0.115,0,0.0,0.0,156.091,0,0.838,146.844,181.701,29.478,1.04,1.413,0.082,4.641,1.307,5.807,5,0.551,12.623,1.207,2,1.162,3.902,6.515,6.099,0.144,2.906,139.342,4
6.398,2,1.166,0,0,0,0,0.0,1.122,0,2,0.0,0,1.38,1.235,0,0,0,88.212,0.217,0,0.26,8,8,-0.245,1,4,-0.226,2,-0.171,0.95,201.817,0.922,37.799,0.933,-0.227,200.109,5.804,-0.115,0,0.0,0.0,126.157,0,0.853,138.451,181.701,29.478,1.045,1.363,0.081,4.646,1.307,5.807,5,0.542,12.734,1.165,2,1.088,3.902,6.515,6.176,0.144,2.906,180.589,4
5.149,2,1.17,0,0,0,0,0.0,1.161,0,2,0.0,0,1.35,1.195,0,0,0,88.212,0.217,0,0.26,8,8,-0.205,1,4,-0.197,2,-0.184,0.95,171.882,0.923,38.076,0.933,-0.192,200.109,5.803,-0.114,0,0.0,0.0,139.551,0,0.854,179.698,181.701,29.478,0.973,1.393,0.068,4.657,1.31,5.807,5,0.527,12.897,1.19,2,1.125,3.902,6.516,6.302,0.144,2.908,205.324,4
