pXC50,SRW09,D.Dtr05,nR05,SRW05,SRW07,Eig01_EA.ed.,SM10_AEA.dm.,SpDiam_EA.ed.,SpMax_EA.ed.,Eig01_AEA.ed.,SpMax_AEA.ed.,Eig03_AEA.dm.,P_VSA_s_3,SpMin6_Bh.i.,Eig02_EA.bo.,SM12_AEA.ri.,JGI7,SpMin7_Bh.e.,SsOH,GATS3p,SpMin5_Bh.p.,SpMin6_Bh.e.,SpMax1_Bh.m.,SpMin6_Bh.m.,SM11_EA.ed.,SM12_EA.ed.,SM13_EA.ed.,SM14_EA.ed.,SM15_EA.ed.,SpMax6_Bh.p.,P_VSA_i_1,S.107,SM15_EA.ri.,SpMin6_Bh.s.,SpDiam_AEA.bo.,SpMin7_Bh.m.,SpMAD_EA.dm.,P_VSA_MR_8,CATS2D_02_AL,CATS2D_06_AL,Eig01_EA.ri.,SpDiam_EA.ri.,SpMax_EA.ri.,SpMax5_Bh.i.,SpMin7_Bh.s.,MATS8v,SssO,nCb.,GATS1s,P_VSA_e_2,Eig01_AEA.ri.,SpMax_AEA.ri.,SdS,SM08_EA.ed.,SM09_EA.ed.,SM10_EA.ed.,nDB,SM11_EA.ri.,SM13_EA.ri.,SM14_EA.ri.,SpMin5_Bh.e.,MATS3v,Eig06_AEA.ed.,SpMin5_Bh.i.
6.509,0.0,0.0,0,0.0,0.0,9.305,9.305,15.813,9.305,6.23,6.23,3.064,25.378,0.824,3.842,3.842,0.025,0.778,9.708,1.063,1.144,0.867,4.056,1.039,24.984,27.22,29.389,31.61,33.799,2.746,0.0,0,16.026,0.119,5.122,0.901,0.183,0.0,3,0,2.845,4.845,2.845,2.974,0.0,0.247,5.491,6,0.761,90.632,3.929,3.929,0.0,18.519,20.579,22.852,1,11.934,13.979,15.025,0.883,-0.072,4.1,0.84
6.854,0.0,0.0,0,0.0,0.0,14.439,14.439,22.669,14.439,8.104,8.104,3.091,20.245,0.824,3.956,3.956,0.023,0.714,9.671,0.767,1.143,0.867,4.745,0.964,29.377,32.046,34.712,37.382,40.05,2.746,5.807,0,17.134,0.059,5.846,0.824,0.506,0.0,2,2,3.1,5.1,3.1,2.976,0.0,0.347,5.307,6,0.771,89.034,4.517,4.517,0.0,21.417,24.048,26.72,2,12.727,14.924,16.036,0.883,-0.125,4.93,0.839
6.796,0.0,0.0,0,0.0,0.0,9.204,9.204,15.677,9.204,6.194,6.194,3.08,24.521,0.824,3.81,3.81,0.022,0.69,9.691,0.99,1.129,0.867,4.051,1.005,24.72,26.954,29.112,31.328,33.509,2.746,0.0,0,15.41,0.0,5.097,0.879,0.251,0.0,2,1,2.718,4.718,2.718,2.969,0.0,0.245,5.47,6,0.88,81.378,3.885,3.885,0.0,18.3,20.332,22.605,1,11.487,13.448,14.468,0.883,-0.121,4.239,0.838
6.602,0.0,0.0,0,0.0,0.0,9.216,9.216,15.703,9.216,6.197,6.197,3.082,37.917,0.862,3.811,3.811,0.019,0.868,9.836,0.951,1.376,0.883,4.053,1.14,25.029,27.256,29.41,31.621,33.795,2.817,0.0,0,15.73,0.189,5.319,1.097,0.301,0.0,2,2,2.736,4.736,2.736,3.206,0.165,0.093,10.811,6,0.722,94.774,3.894,3.894,0.0,18.607,20.646,22.913,1,11.786,13.759,14.777,1.148,-0.04,4.291,1.064
6.384,6.293,61.955,1,2.398,4.443,9.446,9.446,15.988,9.446,6.264,6.264,2.795,23.002,0.824,3.869,3.869,0.022,0.818,9.763,1.173,1.145,0.867,4.064,1.05,25.199,27.447,29.636,31.87,34.077,2.745,0.0,0,15.968,0.0,5.138,0.907,0.075,0.0,4,1,2.828,4.828,2.828,2.966,0.0,0.372,5.562,6,0.878,79.859,3.941,3.941,0.0,18.676,20.761,23.045,0,11.897,13.931,14.977,0.883,-0.177,4.237,0.842
6.921,0.0,0.0,0,0.0,0.0,9.265,9.265,15.758,9.265,6.218,6.218,3.063,25.378,0.819,3.839,3.839,0.027,0.57,9.66,1.091,1.054,0.836,4.055,0.962,24.886,27.119,29.283,31.501,33.686,2.745,0.0,0,15.932,0.0,5.11,0.8,0.184,0.0,3,0,2.823,4.823,2.823,2.945,0.0,0.23,5.437,6,0.869,82.236,3.918,3.918,0.0,18.44,20.491,22.76,1,11.866,13.898,14.939,0.867,-0.168,4.047,0.824
6.229,0.0,0.0,0,0.0,0.0,13.06,13.06,21.03,13.06,7.433,7.433,3.085,26.941,0.936,4.147,4.147,0.016,0.883,9.919,1.026,1.505,0.968,4.743,1.15,28.31,30.873,33.427,35.992,38.555,2.891,5.807,0,17.617,0.238,5.759,1.139,0.052,0.0,2,4,3.193,5.193,3.193,3.437,0.165,0.066,5.605,9,0.76,155.94,4.39,4.39,0.0,20.73,23.213,25.777,2,13.121,15.361,16.497,1.365,-0.068,4.956,1.35
6.337,0.0,0.0,0,0.0,0.0,9.5,9.5,16.142,9.5,6.338,6.338,3.068,25.378,0.824,3.847,3.847,0.023,0.867,9.746,1.207,1.203,0.883,4.057,1.137,25.26,27.519,29.71,31.952,34.163,2.747,0.0,0,16.293,0.165,5.148,1.021,0.214,0.0,4,0,2.908,4.908,2.908,3.009,0.109,0.262,5.525,6,0.743,99.029,3.973,3.973,0.0,18.728,20.81,23.106,1,12.127,14.207,15.268,0.934,-0.233,4.266,0.84
5.602,0.0,0.0,0,0.0,0.0,12.537,12.537,19.96,12.537,7.313,7.313,3.084,26.941,0.993,4.238,4.238,0.019,0.891,9.908,1.092,1.413,1.037,4.739,1.164,27.883,30.399,32.909,35.43,37.95,2.936,5.807,0,17.381,0.315,5.702,1.14,0.052,0.0,2,6,3.118,5.118,3.118,3.343,0.17,0.13,5.595,9,0.761,155.94,4.326,4.326,0.0,20.444,22.88,25.395,2,12.991,15.18,16.292,1.252,-0.124,4.954,1.24
6.658,0.0,0.0,0,0.0,0.0,9.18,9.18,15.64,9.18,6.189,6.189,2.73,17.488,0.695,3.799,3.799,0.029,0.035,18.784,1.079,1.014,0.706,4.046,0.844,24.645,26.882,29.042,31.26,33.441,2.657,0.0,0,15.218,0.0,5.075,0.561,0.096,0.0,2,0,2.704,4.704,2.704,2.922,0.0,0.272,5.398,6,1.018,74.346,3.875,3.875,0.0,18.211,20.249,22.527,0,11.298,13.258,14.282,0.867,-0.171,4.037,0.824
6.921,0.0,0.0,0,0.0,0.0,9.197,9.197,15.664,9.197,6.193,6.193,3.076,20.674,0.792,3.823,3.823,0.027,0.407,9.639,1.127,1.014,0.804,4.052,0.894,24.689,26.924,29.084,31.302,33.484,2.745,0.0,0,15.395,0.0,5.09,0.619,0.305,0.0,3,0,2.72,4.72,2.72,2.922,0.0,0.448,5.444,6,0.76,94.133,3.883,3.883,0.0,18.257,20.296,22.569,0,11.452,13.424,14.448,0.867,-0.171,4.039,0.824
6.252,0.0,0.0,0,0.0,0.0,9.202,9.202,15.672,9.202,6.194,6.194,3.089,28.722,0.887,3.866,3.866,0.018,0.883,9.867,1.077,1.294,0.899,4.055,1.14,25.151,27.38,29.547,31.761,33.945,2.848,0.0,0,16.158,0.178,5.153,1.112,0.254,0.0,3,0,2.83,4.83,2.83,3.235,0.165,0.088,5.638,8,0.72,140.086,3.887,3.887,0.0,18.689,20.752,23.017,0,12.093,14.126,15.172,1.114,-0.114,4.392,1.068
5.921,0.0,0.0,0,0.0,0.0,9.305,9.305,15.813,9.305,6.23,6.23,3.126,25.378,0.822,3.842,3.842,0.025,0.583,18.201,1.085,1.082,0.836,4.055,0.955,24.984,27.22,29.389,31.61,33.799,2.745,0.0,0,16.038,0.0,5.122,0.799,0.224,0.0,3,0,2.848,4.848,2.848,2.954,0.0,0.273,5.428,6,0.847,82.236,3.929,3.929,0.0,18.519,20.579,22.852,1,11.943,13.989,15.036,0.867,-0.135,4.1,0.824
6.721,0.0,0.0,0,0.0,0.0,9.2,9.2,15.668,9.2,6.193,6.193,3.089,23.208,0.824,3.808,3.808,0.024,0.631,9.687,1.096,1.051,0.859,4.052,0.949,24.698,26.932,29.092,31.31,33.492,2.745,0.0,0,15.427,0.003,5.086,0.76,0.338,0.0,3,1,2.724,4.724,2.724,2.956,0.0,0.192,5.505,6,0.729,96.667,3.884,3.884,0.0,18.268,20.306,22.579,0,11.477,13.453,14.48,0.868,-0.188,4.04,0.835
6.854,0.0,0.0,0,0.0,0.0,9.2,9.2,15.67,9.2,6.193,6.193,2.803,25.536,0.838,3.808,3.808,0.02,0.883,9.844,1.088,1.147,0.886,4.053,1.14,24.735,26.962,29.116,31.329,33.507,2.796,0.0,0,15.53,0.179,5.143,1.11,0.117,0.0,2,0,2.715,4.715,2.715,3.0,0.165,0.056,5.644,7,0.873,129.775,3.883,3.883,0.0,18.34,20.362,22.626,0,11.625,13.579,14.607,0.9,-0.137,4.269,0.89
6.167,0.0,0.0,0,0.0,0.0,9.801,9.801,16.643,9.801,6.42,6.42,3.069,37.193,0.854,3.848,3.848,0.02,0.882,9.843,0.986,1.376,0.884,4.06,1.14,25.538,27.822,30.044,32.314,34.556,2.81,0.0,0,16.423,0.193,5.368,1.122,0.181,0.0,6,0,2.937,4.937,2.937,3.206,0.165,0.111,5.61,6,0.671,94.051,4.001,4.001,0.0,18.925,21.035,23.354,1,12.224,14.32,15.391,1.153,0.016,4.287,1.064
7.244,0.0,0.0,0,0.0,0.0,9.204,9.204,15.677,9.204,6.194,6.194,3.08,24.949,0.824,3.81,3.81,0.022,0.741,9.708,0.952,1.142,0.867,4.051,1.037,24.72,26.954,29.112,31.328,33.509,2.746,0.0,0,15.431,0.115,5.097,0.902,0.278,0.0,3,1,2.719,4.719,2.719,2.972,0.0,0.24,5.502,6,0.765,90.632,3.885,3.885,0.0,18.3,20.332,22.605,1,11.509,13.469,14.488,0.883,-0.117,4.239,0.839
6.77,0.0,0.0,0,0.0,0.0,9.216,9.216,15.703,9.216,6.197,6.197,3.081,28.135,0.838,3.818,3.818,0.019,0.883,9.834,1.079,1.146,0.886,4.055,1.14,25.029,27.256,29.41,31.621,33.795,2.796,0.0,0,16.136,0.174,5.152,1.104,0.142,0.0,3,1,2.834,4.834,2.834,2.999,0.165,0.121,5.586,7,0.744,132.374,3.902,3.902,0.0,18.607,20.646,22.913,1,12.071,14.103,15.149,0.894,-0.12,4.291,0.888
4.301,6.26,56.918,1,2.398,4.443,9.509,9.509,16.058,9.509,6.264,6.264,2.847,32.06,0.902,3.813,3.813,0.019,0.883,9.936,1.057,1.195,0.916,4.047,1.14,25.052,27.311,29.508,31.754,33.972,2.746,0.0,0,15.876,0.166,5.266,1.045,0.162,0.0,6,3,2.824,4.824,2.824,3.025,0.13,0.026,5.867,6,0.791,88.917,3.936,3.936,0.0,18.526,20.602,22.895,0,11.816,13.844,14.889,1.006,-0.11,4.368,0.95
4.959,0.0,0.0,0,0.0,0.0,9.51,9.51,16.058,9.51,6.264,6.264,3.026,36.493,1.064,3.813,3.813,0.018,1.053,10.118,1.092,1.473,1.153,4.049,1.497,25.132,27.38,29.566,31.803,34.013,2.941,0.0,0,16.06,0.706,5.33,1.353,0.184,0.0,5,4,2.824,4.824,2.824,3.354,0.567,0.05,5.988,7,0.794,140.732,3.936,3.936,0.0,18.662,20.712,22.992,0,12.039,14.048,15.091,1.247,-0.165,4.962,1.175
5.046,6.581,69.959,1,2.398,4.595,9.433,9.433,15.94,9.433,6.248,6.248,3.079,43.627,0.984,3.924,3.924,0.014,0.917,10.038,1.098,1.594,1.03,4.048,1.3,25.436,27.687,29.884,32.121,34.335,2.898,0.0,0,16.459,0.513,5.219,1.14,0.183,0.0,6,1,2.861,4.861,2.861,3.347,0.218,0.186,11.439,9,0.838,128.913,3.923,3.923,0.0,18.893,20.987,23.271,0,12.333,14.396,15.452,1.347,-0.142,4.915,1.283
5.155,0.0,0.0,0,0.0,0.0,9.134,9.134,15.536,9.134,6.177,6.177,2.64,16.744,0.695,3.72,3.72,0.025,0.33,9.593,1.094,1.118,0.735,4.011,0.918,24.564,26.792,28.952,31.163,33.342,2.649,0.0,0,15.413,0.0,5.052,0.749,0.101,0.0,2,0,2.739,4.739,2.739,2.969,0.0,0.401,5.461,5,1.093,83.078,3.872,3.872,0.0,18.127,20.175,22.442,0,11.434,13.426,14.456,0.883,-0.162,3.598,0.839
4.585,0.0,0.0,0,0.0,0.0,9.439,9.439,15.95,9.439,6.249,6.249,2.945,30.682,1.004,3.969,3.969,0.016,0.917,10.056,1.076,1.393,1.052,4.067,1.279,25.424,27.676,29.871,32.108,34.32,2.946,0.0,0,16.602,0.357,5.259,1.14,0.098,0.0,3,2,2.913,4.913,2.913,3.277,0.166,0.189,5.902,9,0.862,153.873,3.937,3.937,0.0,18.888,20.977,23.263,0,12.422,14.512,15.582,1.207,-0.14,4.914,1.143
4.301,0.0,0.0,0,0.0,0.0,9.506,9.506,15.995,9.506,6.268,6.268,2.966,33.314,0.981,3.75,3.75,0.01,0.925,0.0,1.112,1.507,1.031,4.026,1.3,25.108,27.358,29.56,31.8,34.02,2.926,0.0,0,15.885,0.518,5.198,1.181,0.203,0.0,4,3,2.796,4.796,2.796,3.314,0.218,-0.099,11.415,7,0.717,148.436,3.912,3.912,0.0,18.568,20.662,22.94,0,11.871,13.879,14.921,1.196,-0.137,4.524,1.125
4.301,0.0,0.0,0,0.0,0.0,9.509,9.509,16.057,9.509,6.264,6.264,2.838,34.594,0.916,3.813,3.813,0.019,0.883,9.974,1.027,1.376,0.918,4.047,1.203,25.05,27.309,29.507,31.753,33.971,2.887,0.0,0,15.867,0.431,5.33,1.14,0.156,0.0,6,3,2.823,4.823,2.823,3.206,0.166,0.014,5.898,6,0.784,91.452,3.935,3.935,0.0,18.525,20.599,22.893,0,11.801,13.833,14.884,1.153,-0.07,4.365,1.064
5.0,0.0,0.0,0,0.0,0.0,9.356,9.356,15.808,9.356,6.23,6.23,2.764,24.57,0.91,3.743,3.743,0.01,0.886,9.943,1.129,1.213,0.927,4.015,1.181,24.882,27.122,29.305,31.532,33.735,2.859,0.0,0,15.817,0.218,5.18,1.141,0.152,0.0,3,1,2.791,4.791,2.791,3.08,0.184,0.073,5.849,6,0.911,138.285,3.898,3.898,0.0,18.394,20.465,22.736,0,11.809,13.814,14.857,1.039,-0.135,4.089,0.98
4.456,0.0,0.0,0,0.0,0.0,9.356,9.356,15.808,9.356,6.23,6.23,2.965,28.071,0.91,3.743,3.743,0.01,0.886,9.955,1.128,1.196,0.927,4.023,1.181,24.895,27.132,29.313,31.539,33.74,2.862,0.0,0,15.84,0.218,5.182,1.141,0.146,0.0,3,1,2.791,4.791,2.791,3.079,0.184,0.047,5.848,7,0.86,132.309,3.898,3.898,0.0,18.422,20.484,22.753,0,11.835,13.838,14.879,1.031,-0.156,4.449,0.981
4.745,0.0,0.0,0,0.0,0.0,9.439,9.439,15.953,9.439,6.25,6.25,3.073,30.67,0.911,3.812,3.812,0.015,0.886,9.96,1.12,1.189,0.917,4.047,1.181,25.174,27.415,29.596,31.823,34.024,2.865,0.0,0,16.301,0.218,5.21,1.14,0.172,0.0,4,2,2.836,4.836,2.836,3.072,0.166,0.2,5.77,7,0.731,134.908,3.926,3.926,0.0,18.68,20.753,23.028,1,12.202,14.253,15.304,1.005,-0.14,4.476,0.974
4.721,0.0,0.0,0,0.0,0.0,9.356,9.356,15.807,9.356,6.23,6.23,2.721,29.639,0.918,3.743,3.743,0.012,0.924,9.973,1.051,1.454,0.946,4.014,1.26,24.882,27.121,29.305,31.532,33.735,2.869,0.0,0,15.828,0.473,5.221,1.181,0.108,0.0,3,1,2.79,4.79,2.79,3.317,0.218,0.12,5.873,6,0.89,143.354,3.897,3.897,0.0,18.394,20.465,22.736,0,11.82,13.826,14.87,1.237,-0.059,4.091,1.162
4.959,0.0,0.0,0,0.0,0.0,10.198,10.198,16.984,10.198,6.506,6.506,2.995,27.181,0.963,3.934,3.934,0.01,0.927,10.045,1.052,1.469,1.009,4.053,1.235,25.945,28.255,30.527,32.829,35.117,2.902,0.0,0,16.868,0.337,5.349,1.141,0.101,0.0,3,2,3.006,5.006,3.006,3.351,0.184,0.087,5.923,8,0.91,159.849,4.026,4.026,0.0,19.192,21.369,23.704,0,12.581,14.723,15.815,1.266,-0.084,4.446,1.197
5.143,0.0,0.0,0,0.0,0.0,12.891,12.891,20.627,12.891,7.402,7.402,2.971,29.466,0.918,3.858,3.858,0.015,0.918,10.113,1.096,1.381,0.934,4.061,1.417,28.139,30.695,33.243,35.799,38.352,2.893,0.0,0,18.181,0.469,5.479,1.181,0.132,0.0,3,1,3.349,5.349,3.349,3.246,0.218,0.067,5.98,8,0.855,141.878,4.413,4.413,0.0,20.553,23.046,25.606,0,13.422,15.793,16.99,1.166,-0.207,4.91,1.102
4.337,0.0,0.0,0,0.0,0.0,9.364,9.364,15.82,9.364,6.231,6.231,2.936,27.181,1.004,3.935,3.935,0.014,0.928,10.027,1.067,1.399,1.052,4.048,1.279,25.368,27.614,29.806,32.038,34.245,2.941,0.0,0,16.573,0.357,5.258,1.141,0.101,0.0,3,2,2.913,4.913,2.913,3.278,0.184,0.179,5.905,8,0.913,159.849,3.928,3.928,0.0,18.838,20.929,23.209,0,12.397,14.485,15.555,1.21,-0.113,4.444,1.143
5.481,0.0,0.0,0,0.0,0.0,9.433,9.433,15.94,9.433,6.248,6.248,2.804,28.071,0.911,3.811,3.811,0.014,0.886,9.972,1.128,1.207,0.917,4.046,1.181,24.971,27.22,29.41,31.646,33.856,2.865,0.0,0,15.877,0.218,5.205,1.14,0.146,0.0,3,1,2.805,4.805,2.805,3.08,0.166,0.157,5.846,7,0.86,132.309,3.919,3.919,0.0,18.472,20.54,22.822,0,11.854,13.866,14.911,1.037,-0.156,4.436,0.981
4.301,0.0,0.0,0,0.0,0.0,10.199,10.199,16.984,10.199,6.507,6.507,3.045,30.682,0.963,3.968,3.968,0.013,0.917,10.073,1.061,1.463,1.007,4.071,1.235,25.977,28.288,30.559,32.862,35.149,2.918,0.0,0,16.889,0.336,5.349,1.14,0.098,0.0,3,2,3.006,5.006,3.006,3.35,0.166,0.143,5.919,9,0.86,153.873,4.027,4.027,0.0,19.228,21.4,23.737,0,12.602,14.744,15.836,1.263,-0.111,4.914,1.198
4.569,0.0,0.0,0,0.0,0.0,9.432,9.432,15.936,9.432,6.247,6.247,2.803,22.779,0.839,3.811,3.811,0.023,0.737,9.777,1.083,1.148,0.883,4.043,1.05,24.943,27.198,29.392,31.632,33.845,2.746,0.0,0,15.748,0.13,5.119,0.935,0.152,0.0,3,0,2.804,4.804,2.804,3.016,0.002,0.197,5.696,6,0.887,88.033,3.918,3.918,0.0,18.411,20.494,22.785,0,11.683,13.717,14.761,0.917,-0.104,4.094,0.895
4.658,0.0,0.0,0,0.0,0.0,9.494,9.494,16.042,9.494,6.261,6.261,2.993,31.571,0.916,3.813,3.813,0.016,0.917,10.041,1.212,1.219,0.979,4.053,1.291,25.068,27.322,29.511,31.752,33.964,2.88,0.0,0,16.0,0.484,5.211,1.181,0.153,0.0,5,3,2.822,4.822,2.822,3.078,0.218,0.052,5.906,8,0.808,134.73,3.933,3.933,0.0,18.583,20.637,22.924,0,11.964,13.981,15.025,1.029,-0.289,4.913,0.982
4.456,0.0,0.0,0,0.0,0.0,9.433,9.433,15.94,9.433,6.248,6.248,2.907,34.442,1.005,3.889,3.889,0.013,0.917,10.076,1.1,1.585,1.053,4.049,1.312,25.357,27.599,29.788,32.018,34.224,2.953,0.0,0,16.508,0.524,5.208,1.181,0.116,0.0,3,1,2.869,4.869,2.869,3.47,0.218,0.108,5.91,9,0.855,176.585,3.919,3.919,0.0,18.844,20.927,23.202,0,12.384,14.446,15.506,1.359,-0.134,4.915,1.287
5.0,0.0,0.0,0,0.0,0.0,11.118,11.118,18.738,11.118,6.805,6.805,2.841,21.991,0.77,3.742,3.742,0.012,0.606,19.377,1.058,1.062,0.816,3.991,1.048,26.592,29.01,31.381,33.789,36.177,2.698,0.0,0,17.327,0.122,5.451,0.842,0.082,0.0,4,2,3.155,5.155,3.155,2.925,0.0,-0.183,5.53,4,0.849,97.801,4.209,4.209,0.0,19.542,21.811,24.254,2,12.81,15.063,16.203,0.886,-0.062,3.939,0.821
4.0,7.6,130.062,2,3.045,5.476,10.637,10.637,17.687,10.637,6.662,6.662,3.596,59.531,1.169,3.695,3.695,0.014,0.97,8.642,0.831,1.493,1.174,4.225,1.303,26.49,28.855,31.19,33.547,35.89,2.991,77.412,1,17.008,0.443,5.529,1.111,0.636,77.412,3,3,3.045,5.045,3.045,3.405,0.241,-0.196,0.0,2,0.623,161.152,4.113,4.113,5.331,19.522,21.786,24.175,4,12.643,14.823,15.926,1.264,0.085,4.645,1.231
4.125,6.605,65.399,1,2.398,4.595,9.488,9.488,15.997,9.488,6.273,6.273,2.98,25.854,0.838,3.884,3.884,0.014,0.863,9.71,1.114,1.193,0.886,4.048,1.096,25.238,27.489,29.681,31.918,34.129,2.742,0.0,0,16.648,0.132,5.207,0.99,0.085,0.0,3,7,2.967,4.967,2.967,2.97,0.027,0.104,0.0,5,0.732,101.664,3.993,3.993,0.0,18.713,20.798,23.081,1,12.414,14.529,15.606,0.908,-0.198,4.5,0.864
