pXC50,Mv,nCsp2,RBF,RBN,nC,Sv,nAB,SCBO,H.,nDB,nBO,Sp,nBT,nBM,nHet
4.347,0.678,21,0.123,7,24,35.96,27,51.5,37.7,1,37,36.727,57,28,9
7.495,0.689,21,0.111,6,23,34.434,27,50.5,36.0,1,36,34.966,54,28,9
8.022,0.63,17,0.138,9,25,39.068,22,49.0,45.2,1,37,40.773,65,23,9
6.444,0.629,17,0.138,8,24,35.224,17,42.5,46.4,2,32,36.966,58,19,6
7.222,0.652,17,0.143,7,21,30.643,17,39.5,42.6,2,29,31.682,49,19,6
5.337,0.651,17,0.143,8,22,34.487,22,46.0,41.5,1,34,35.489,56,23,9
6.699,0.625,17,0.147,10,26,40.594,22,50.0,46.2,1,38,42.534,68,23,9
5.509,0.648,17,0.123,7,23,34.993,17,45.5,42.6,3,34,36.245,57,20,8
7.553,0.63,17,0.136,8,24,35.938,17,43.5,45.6,2,33,37.421,59,19,7
6.301,0.691,19,0.123,7,23,36.62,26,51.0,37.7,1,37,38.568,57,27,10
6.409,0.671,20,0.111,6,23,33.531,27,47.5,40.0,0,34,34.819,54,27,7
8.398,0.647,22,0.149,11,30,45.309,22,59.0,42.9,4,44,46.989,74,26,10
8.398,0.634,17,0.13,7,23,32.982,18,40.0,46.2,1,30,34.75,54,19,5
8.398,0.647,24,0.141,10,31,43.992,18,55.0,44.1,5,41,45.943,71,23,7
8.398,0.642,17,0.137,7,22,31.455,12,39.0,44.9,4,29,32.989,51,16,5
8.398,0.649,22,0.147,10,29,42.18,17,53.5,43.1,5,40,43.637,68,22,8
8.398,0.654,22,0.149,11,30,45.781,22,59.0,42.9,4,44,48.182,74,26,10
8.398,0.644,23,0.127,9,30,43.165,23,55.5,44.8,3,41,45.625,71,26,7
6.65,0.582,29,0.218,43,68,112.32,22,117.0,52.3,10,96,119.575,197,32,24
6.699,0.675,19,0.111,6,22,33.74,26,49.0,38.0,1,35,34.517,54,27,9
7.036,0.66,19,0.13,7,23,33.665,21,45.5,41.2,2,33,34.688,54,23,7
8.161,0.657,19,0.133,8,24,36.794,26,51.0,41.1,1,37,38.04,60,27,9
5.65,0.584,30,0.217,44,70,116.277,22,122.0,51.8,11,100,123.246,203,33,26
5.56,0.578,25,0.228,43,64,107.487,17,109.5,52.7,10,91,114.263,189,27,24
7.75,0.597,25,0.188,28,50,87.133,17,96.5,48.6,10,78,90.609,149,27,25
6.31,0.579,26,0.224,44,66,111.75,17,114.5,52.3,11,95,118.484,196,28,26
8.456,0.626,21,0.119,10,33,49.481,23,60.5,46.8,2,47,52.37,84,25,9
5.81,0.567,22,0.226,45,66,111.186,11,108.5,54.6,11,92,119.405,199,22,23
8.24,0.597,25,0.195,29,50,87.133,17,96.5,48.6,10,78,90.609,149,27,25
5.19,0.596,24,0.19,27,48,82.87,17,91.5,48.9,9,74,86.387,142,26,23
8.12,0.595,24,0.188,27,48,83.891,17,92.5,48.9,9,75,87.393,144,26,24
6.699,0.641,17,0.117,7,24,36.519,17,46.5,43.9,3,35,38.006,60,20,8
8.45,0.576,25,0.226,43,64,107.793,17,109.5,52.9,10,91,114.814,190,27,24
6.959,0.666,24,0.101,8,32,48.605,23,66.5,39.7,5,50,50.029,79,28,12
7.638,0.619,18,0.123,10,30,47.691,17,57.5,46.8,4,45,50.069,81,21,11
7.237,0.645,17,0.151,8,22,32.885,17,41.5,43.1,2,31,33.898,53,19,7
5.62,0.665,17,0.093,5,22,33.246,17,45.5,40.0,3,34,34.273,54,20,8
6.678,0.628,17,0.121,8,26,39.573,17,48.5,46.0,3,37,41.529,66,20,8
7.959,0.649,17,0.127,7,22,33.772,22,45.0,42.3,1,33,35.034,55,23,8
6.357,0.678,21,0.133,8,25,37.959,27,52.5,39.3,1,38,39.682,60,28,9
6.602,0.64,17,0.108,7,26,39.046,17,49.5,44.3,3,38,40.767,65,20,8
8.398,0.656,22,0.147,10,29,42.652,17,53.5,43.1,5,40,44.83,68,22,8
8.398,0.642,17,0.137,7,22,31.455,18,39.0,44.9,1,29,32.989,51,19,5
8.851,0.594,24,0.189,27,48,83.177,17,91.5,49.3,9,74,86.938,143,26,23
8.398,0.654,22,0.149,11,30,45.781,22,59.0,42.9,4,44,48.182,74,26,10
7.276,0.632,21,0.087,8,36,53.723,23,66.5,45.9,2,53,56.586,92,25,10
7.086,0.669,21,0.102,6,25,36.772,27,51.5,40.0,1,37,38.034,59,28,8
7.367,0.637,21,0.114,9,31,47.143,23,59.5,44.6,2,46,49.302,79,25,10
7.959,0.653,19,0.079,5,26,37.891,27,51.5,43.1,0,38,39.892,63,27,7
5.921,0.684,18,0.111,6,22,34.19,26,47.0,40.0,0,34,36.659,54,26,8
6.076,0.63,17,0.169,10,24,35.938,17,43.5,45.6,2,33,37.421,59,19,7
7.387,0.65,19,0.143,9,25,38.321,26,52.0,42.4,1,38,39.801,63,27,9
7.0,0.667,18,0.145,8,22,34.675,22,48.0,38.5,2,35,35.182,55,24,10
6.602,0.68,19,0.104,5,21,30.611,21,43.5,37.8,2,31,31.165,48,23,7
7.523,0.653,23,0.139,11,32,48.331,23,63.5,41.9,4,48,49.995,79,27,11
7.161,0.637,22,0.124,11,35,52.911,23,66.5,44.6,3,52,55.279,89,26,11
5.824,0.659,28,0.09,7,34,47.471,37,65.5,43.1,0,47,50.177,78,37,7
7.187,0.627,21,0.09,8,35,52.008,23,63.5,47.0,2,50,55.131,89,25,9
8.31,0.643,17,0.136,8,23,36.014,22,47.0,42.9,1,35,37.25,59,23,9
7.237,0.631,21,0.105,9,34,50.481,23,62.5,46.3,2,49,53.37,86,25,9
7.409,0.631,21,0.093,8,34,50.481,23,62.5,46.3,2,49,53.37,86,25,9
6.538,0.647,27,0.086,7,35,48.504,32,64.0,45.3,1,47,51.694,81,33,6
5.854,0.657,29,0.089,7,35,47.977,37,65.5,43.8,0,47,50.932,79,37,6
7.102,0.642,22,0.116,10,34,51.384,23,65.5,43.8,3,51,53.517,86,26,11
7.337,0.647,22,0.108,9,33,49.857,23,64.5,42.9,3,50,51.756,83,26,11
7.456,0.637,21,0.107,9,33,49.669,23,62.5,44.9,2,49,52.063,84,25,10
7.187,0.631,21,0.093,8,34,50.481,23,62.5,46.3,2,49,53.37,86,25,9
7.569,0.636,21,0.096,8,33,48.955,23,61.5,45.5,2,48,51.608,83,25,9
7.081,0.631,21,0.105,9,34,50.481,23,62.5,46.3,2,49,53.37,86,25,9
7.495,0.641,21,0.1,8,32,47.428,23,60.5,44.6,2,47,49.847,80,25,9
6.301,0.666,23,0.123,9,30,45.277,23,61.5,39.7,4,46,46.472,73,27,11
7.328,0.631,21,0.093,8,34,50.481,23,62.5,46.3,2,49,53.37,86,25,9
6.26,0.66,21,0.129,8,26,38.299,27,52.5,41.4,1,38,39.796,62,28,8
7.046,0.618,17,0.139,10,28,42.627,17,50.5,47.8,3,39,45.052,72,20,8
6.602,0.628,17,0.121,8,26,39.573,17,48.5,46.0,3,37,41.529,66,20,8
7.377,0.647,22,0.098,8,33,49.143,23,63.5,43.4,3,49,51.302,82,26,10
6.886,0.66,17,0.154,8,22,32.998,17,41.5,42.0,2,31,34.301,52,19,7
6.268,0.634,17,0.103,7,27,40.573,17,50.5,45.3,3,39,42.529,68,20,8
7.699,0.623,17,0.13,9,27,41.1,17,49.5,47.0,3,38,43.29,69,20,8
5.237,0.634,17,0.111,7,25,38.046,17,47.5,45.0,3,36,39.767,63,20,8
6.824,0.653,17,0.14,7,21,31.358,17,40.5,41.7,2,30,32.137,50,19,7
5.347,0.635,18,0.158,9,24,34.917,17,42.5,45.5,2,32,36.415,57,19,6
6.921,0.623,17,0.13,9,27,41.1,17,49.5,47.0,3,38,43.29,69,20,8
6.495,0.634,17,0.111,7,25,38.046,17,47.5,45.0,3,36,39.767,63,20,8
6.167,0.669,29,0.089,7,35,48.804,37,66.5,42.5,0,48,51.79,79,37,7
6.167,0.613,17,0.147,11,29,44.153,17,51.5,48.6,3,40,46.813,75,20,8
7.398,0.628,17,0.099,7,28,42.1,17,51.5,46.3,3,40,44.29,71,20,8
7.167,0.653,22,0.1,8,32,48.331,23,63.5,41.9,3,49,49.995,80,26,11
6.745,0.613,17,0.147,11,29,44.153,17,51.5,48.6,3,40,46.813,75,20,8
6.602,0.669,21,0.119,7,25,36.772,17,50.5,40.0,5,37,38.034,59,22,8
5.509,0.627,17,0.108,7,26,38.858,17,47.5,46.8,3,36,41.074,65,20,7
5.569,0.629,16,0.148,8,22,32.697,17,39.5,46.2,1,30,34.205,54,18,6
7.252,0.641,22,0.098,8,33,48.734,23,62.5,44.7,3,48,51.398,82,26,9
7.009,0.636,21,0.096,8,33,48.955,23,61.5,45.5,2,48,51.608,83,25,9
5.796,0.66,21,0.113,7,26,38.299,17,51.5,41.4,5,38,39.796,62,22,8
6.745,0.622,21,0.087,8,36,53.535,23,64.5,47.7,2,51,56.893,92,25,9
7.009,0.647,22,0.098,8,33,49.143,23,63.5,43.4,3,49,51.302,82,26,10
6.752,0.659,28,0.11,10,38,55.384,29,73.5,41.7,3,56,57.517,91,32,11
7.42,0.632,21,0.087,8,36,53.723,23,66.5,45.9,2,53,56.586,92,25,10
4.699,0.645,17,0.151,8,22,32.885,17,41.5,43.1,2,31,33.898,53,19,7
5.678,0.642,18,0.148,8,23,33.39,17,41.5,44.2,2,31,34.654,54,19,6
6.812,0.636,21,0.096,8,33,48.955,23,61.5,45.5,2,48,51.608,83,25,9
6.0,0.647,21,0.116,8,28,42.068,17,54.5,43.1,5,41,43.773,69,22,9
5.222,0.66,21,0.097,6,26,38.299,17,51.5,41.4,5,38,39.796,62,22,8
5.62,0.66,21,0.129,8,26,38.299,17,51.5,41.4,5,38,39.796,62,22,8
5.398,0.653,21,0.108,7,27,39.826,17,52.5,42.6,5,39,41.557,65,22,8
4.854,0.688,21,0.094,5,23,33.719,17,48.5,36.7,5,35,34.512,53,22,8
6.377,0.683,22,0.121,7,25,36.874,27,52.5,37.0,1,38,37.386,58,28,9
4.159,0.676,22,0.113,7,26,39.202,17,54.5,37.9,6,40,39.943,62,23,10
6.444,0.693,22,0.109,6,24,35.347,27,51.5,35.3,1,37,35.625,55,28,9
6.377,0.673,22,0.117,7,26,37.686,27,52.5,39.3,1,38,38.693,60,28,8
8.032,0.638,18,0.123,8,25,39.562,17,50.5,43.5,4,38,41.017,65,21,10
7.854,0.655,30,0.138,12,37,53.669,29,70.5,42.7,4,52,56.063,87,33,10
7.602,0.658,23,0.121,8,28,40.826,23,54.5,41.9,3,40,42.557,66,26,8
5.18,0.642,17,0.103,6,23,35.299,17,45.5,43.6,3,34,36.796,58,20,8
7.796,0.629,17,0.141,9,25,38.353,17,47.5,45.9,3,36,40.319,64,20,8
7.699,0.659,24,0.139,10,30,44.782,23,59.5,41.2,4,44,46.228,72,27,10
5.658,0.629,13,0.125,6,19,28.95,16,37.0,45.7,2,27,30.233,48,18,6
5.495,0.66,21,0.113,7,26,38.299,27,52.5,41.4,1,38,39.796,62,28,8
7.0,0.678,21,0.131,8,25,38.674,27,54.5,38.6,2,39,40.137,61,29,10
6.357,0.669,21,0.133,8,25,37.487,27,52.5,39.3,1,38,38.489,60,28,9
6.252,0.653,21,0.138,9,27,39.826,27,53.5,42.6,1,39,41.557,65,28,8
6.77,0.681,21,0.109,6,23,34.74,27,50.5,37.3,1,36,35.517,55,28,9
6.0,0.654,21,0.152,10,27,40.541,27,54.5,41.9,1,40,42.012,66,28,9
5.328,0.607,13,0.102,5,20,28.552,16,33.0,51.1,0,25,30.841,49,16,3
6.0,0.663,21,0.115,7,25,37.794,27,52.5,40.4,1,38,39.04,61,28,9
4.481,0.686,13,0.116,5,18,28.132,16,33.0,43.9,0,25,32.637,43,16,5
5.409,0.66,21,0.113,7,26,38.299,27,52.5,41.4,1,38,39.796,62,28,8
6.602,0.678,21,0.123,7,24,35.96,27,51.5,37.7,1,37,36.727,57,28,9
7.337,0.678,21,0.107,6,24,35.246,27,50.5,38.5,1,36,36.273,56,28,8
6.0,0.69,21,0.133,8,25,38.637,27,55.5,33.9,1,41,38.301,60,28,12
6.523,0.678,21,0.133,8,25,37.959,27,52.5,39.3,1,38,39.682,60,28,9
5.602,0.672,13,0.116,5,18,27.549,16,33.0,43.9,0,25,30.023,43,16,5
6.721,0.688,21,0.094,5,23,33.719,27,49.5,36.7,1,35,34.512,53,28,8
6.77,0.669,21,0.119,7,25,36.772,27,51.5,40.0,1,37,38.034,59,28,8
5.658,0.644,13,0.109,5,19,28.342,16,33.0,47.7,0,25,31.739,46,16,4
4.699,0.614,13,0.109,5,19,27.026,16,32.0,50.0,0,24,29.08,46,16,3
7.409,0.663,21,0.131,8,25,37.794,27,52.5,40.4,1,38,39.04,61,28,9
6.208,0.678,21,0.133,8,25,37.959,27,52.5,39.3,1,38,39.682,60,28,9
6.31,0.678,21,0.123,7,24,35.96,27,51.5,37.7,1,37,36.727,57,28,9
5.071,0.622,13,0.116,5,18,25.499,16,31.0,48.8,0,23,27.319,43,16,3
6.921,0.698,21,0.111,6,23,34.906,27,50.5,36.0,1,36,36.159,54,28,9
7.208,0.672,21,0.121,7,24,36.267,27,51.5,38.9,1,37,37.279,58,28,9
6.0,0.661,21,0.091,6,27,40.321,27,55.5,41.0,1,41,41.801,66,28,9
6.071,0.675,23,0.148,9,26,38.487,27,54.5,38.6,2,39,39.489,61,29,9
6.721,0.674,21,0.13,7,24,34.358,22,47.0,39.2,2,34,35.137,54,24,7
7.569,0.655,19,0.086,5,24,35.364,27,48.5,42.6,0,35,37.131,58,27,7
7.658,0.665,17,0.145,8,22,34.6,22,46.0,40.4,1,34,35.892,55,23,9
6.824,0.649,16,0.143,8,22,34.412,22,44.0,43.4,0,33,36.199,56,22,8
