pXC50,IC3,IC4,Eig10_EA.dm.,Eig09_EA.dm.,Eig08_EA.dm.,D.Dtr05,RBN,MATS3s,N.074,nRCONH2,CATS2D_05_AP,CATS2D_02_AP,BLTA96,BLTD48,BLTF96,MLOGP,nArC.N,NdsN,SdsN,MLOGP2,CATS2D_08_DP,CATS2D_07_PN,CATS2D_08_AP,CATS2D_07_PL,P_VSA_p_3,P_VSA_v_3,CATS2D_06_LL,CATS2D_06_PL,CATS2D_05_PL,CATS2D_03_PL,CATS2D_00_DD,CATS2D_00_DP,CATS2D_00_PP,NsNH2,SM05_EA.dm.,P_VSA_s_4,SsCH3,CATS2D_09_DN,GNar,NsCH3,P_VSA_LogP_1,Eta_F_A,MATS2s,CATS2D_09_PL,DLS_01,Eta_betaP,CATS2D_05_DA,S3K,ECC,CATS2D_06_DA,nCsp2,CATS2D_09_AA,HVcpx,X2A,IDE,AECC,CATS2D_06_DP,DECC,P_VSA_LogP_2,SpMin8_Bh.v.,TIC3,CSI,TPSA.NO.,UNIP,ATSC1i,MATS3e,GATS1i,nBM,Uc,ATSC1m,ATS1i,LLS_02,ON0V,MATS8s,H.047,nCsp3,SdO,VvdwMG,Vx,P_VSA_i_3,CATS2D_03_DN,Eig04_EA.ri.,Eig04_EA,SM12_AEA.bo.,Eig11_AEA.dm.,CATS2D_09_DP,SpMin8_Bh.m.,ATSC5m,ATS2i,P_VSA_p_2,P_VSA_MR_6,Eig02_EA.dm.,DLS_07,ATSC5e,Chi0_EA.dm.,Eta_sh_p,Eig04_AEA.ri.,Eig06_EA.dm.,SpMax7_Bh.e.,GMTIV,ATS2e,P_VSA_MR_1,nBT,DLS_05,CATS2D_08_AN,MDDD,ICR,Dz,ATSC3m,IC1,H.,Chi0_EA.ed.,SpMin7_Bh.v.,Eig06_EA.bo.,Chi1_EA.ed.,Eig04_EA.bo.,SM14_AEA.ri.,X1sol,IVDM,P_VSA_v_2,ATS4s,X1,IDDM,IDM,SpMin7_Bh.p.,SpMax8_Bh.v.,O.058,BID,nSK,Psi_e_A,Psi_i_A,AMR,XMOD
5.824,5.326,5.409,0.036,0.13,0.254,0.0,8,-0.042,0,0,0,0,-2.56,-2.58,-2.52,1.326,0,0,0.0,1.757,0,0,0,0,151.385,151.385,2,0,0,0,0,0,0,0,4.271,100.36,1.909,0,2.053,1,8.825,1.042,0.064,0,0.75,18.5,5,7.955,514.0,0,16,3,3.713,0.295,3.932,13.526,0,2.102,69.539,1.429,383.48,1096.0,117.28,180.0,1.034,-0.024,1.496,16,4.087,15.297,4.481,0.75,12.817,-0.165,24,12,51.577,271.663,654.618,499.255,0,2.556,2.694,2.694,1.934,0,1.513,45.501,5.117,164.85,115.291,1.988,1.0,1.516,32.528,0.104,3.672,0.655,3.303,62847.0,4.943,329.591,75,1.0,0,50.421,3.106,84.0,42.735,3.561,47.2,15.394,1.429,2.761,7.328,3.094,3.094,18.402,5.183,164.85,6.474,18.402,5.216,9.222,1.459,2.967,4,3.668,38,7.917,2.417,140.462,116.595
6.097,5.232,5.491,0.0,0.0,0.0,0.0,9,-0.084,0,0,0,0,-4.14,-4.08,-3.86,2.906,0,0,0.0,8.446,0,0,0,0,198.133,198.133,2,0,0,0,0,0,0,0,3.523,144.617,1.925,0,2.053,1,8.825,1.087,0.043,0,0.75,24.5,2,8.111,513.0,1,21,0,3.703,0.297,3.929,13.5,0,2.105,50.226,1.429,371.471,1094.0,95.58,179.0,0.997,-0.053,1.215,22,4.524,16.071,4.445,0.88,12.617,-0.049,23,9,52.242,281.337,678.223,462.495,0,2.499,2.612,2.612,1.861,0,1.433,49.433,5.039,136.737,159.095,1.988,1.0,1.053,27.672,0.1,3.561,0.254,3.342,60386.0,4.876,317.82,74,0.5,0,51.053,3.106,81.5,43.438,3.49,46.5,15.425,1.479,2.776,7.393,3.3,3.3,19.082,5.183,136.737,6.4,18.385,5.215,9.222,1.463,3.001,4,3.668,38,7.857,2.357,150.676,120.98
5.284,5.126,5.218,0.0,0.0,0.0,0.0,7,-0.031,0,0,0,0,-4.4,-4.33,-4.08,3.165,0,0,0.0,10.019,0,0,0,0,146.819,146.819,7,0,0,0,0,0,0,0,3.523,114.886,6.025,0,1.993,3,26.476,0.915,0.08,0,1.0,17.0,2,6.925,420.0,0,15,0,3.651,0.302,3.86,13.125,0,2.078,50.961,1.407,333.189,881.0,78.51,146.0,0.914,0.001,1.348,15,4.0,14.667,4.359,1.0,12.2,0.017,14,11,38.514,244.016,587.159,440.339,0,2.344,2.411,2.411,1.323,0,1.417,41.667,4.988,114.581,108.528,1.653,1.0,0.85,23.61,0.164,3.384,0.036,3.177,33865.0,4.794,294.278,67,1.0,0,37.734,3.129,68.5,38.541,3.397,50.8,12.647,1.429,2.421,6.033,2.849,2.849,15.329,4.918,114.581,6.27,15.329,4.969,8.697,1.395,2.916,3,3.502,32,7.797,2.297,125.895,95.1
5.886,5.196,5.286,0.0,0.036,0.13,0.0,8,-0.029,0,0,0,0,-2.89,-2.89,-2.8,1.657,0,0,0.0,2.745,0,0,0,0,154.781,154.781,2,0,0,0,0,0,0,0,4.271,117.153,4.972,0,1.978,3,25.618,1.067,0.09,0,1.0,18.5,5,7.723,465.0,0,16,1,3.681,0.301,3.887,13.286,0,2.049,56.143,1.409,348.163,968.0,108.05,161.0,0.961,-0.005,1.507,16,4.087,14.258,4.401,0.88,12.65,-0.174,22,10,50.562,255.876,616.096,464.713,0,2.431,2.637,2.637,1.842,0,1.417,39.54,5.02,153.85,132.083,1.988,1.0,1.078,28.59,0.174,3.567,0.602,3.235,48869.0,4.833,306.049,69,1.0,0,44.501,3.111,77.0,37.093,3.569,47.8,13.682,1.429,2.761,6.482,3.023,3.023,16.74,5.043,153.85,6.423,16.74,5.098,8.976,1.421,2.941,4,3.588,35,7.967,2.467,131.388,105.794
5.886,5.265,5.521,0.0,0.0,0.036,0.0,10,-0.072,0,0,0,0,-4.39,-4.32,-4.08,3.16,0,0,0.0,9.987,0,0,0,0,191.519,191.519,7,0,0,0,0,0,0,0,4.648,144.617,1.907,0,2.052,1,8.825,1.117,0.066,0,0.75,24.5,2,8.345,547.0,2,22,0,3.745,0.298,3.977,14.026,0,2.18,55.553,1.429,379.073,1166.0,104.81,189.0,0.991,-0.054,1.262,22,4.524,14.555,4.464,0.88,12.867,-0.115,21,9,51.823,280.867,677.076,476.484,0,2.503,2.555,2.555,1.835,0,1.469,44.13,5.056,150.725,166.286,1.988,1.0,1.208,29.574,0.1,3.534,0.602,3.34,66217.0,4.893,317.82,75,0.5,0,55.124,3.189,84.5,40.303,3.502,45.8,15.878,1.479,2.798,7.606,3.308,3.308,18.885,5.222,150.725,6.442,18.885,5.252,9.297,1.495,3.009,4,3.693,39,7.897,2.397,147.639,117.919
5.658,5.164,5.431,0.0,0.0,0.0,0.0,8,-0.033,0,0,0,0,-4.97,-4.87,-4.57,3.735,0,0,0.0,13.953,0,0,0,0,182.27,182.27,7,0,0,0,0,0,0,0,3.523,144.617,1.96,0,2.073,1,8.825,1.035,0.057,0,1.0,23.0,2,7.29,481.0,0,21,0,3.698,0.295,3.901,13.361,0,2.063,53.495,1.429,356.327,1030.0,78.51,167.0,0.955,-0.001,1.229,21,4.459,14.691,4.421,0.88,12.283,-0.065,19,9,39.144,266.21,641.312,440.339,0,2.511,2.521,2.521,1.573,0,1.449,43.561,5.02,114.581,159.095,1.653,1.0,0.84,27.248,0.087,3.517,0.036,3.288,48959.0,4.844,294.278,72,0.5,0,46.5,3.108,76.5,39.713,3.332,47.8,14.755,1.45,2.762,7.054,3.282,3.282,17.491,5.112,114.581,6.308,17.491,5.138,9.06,1.453,2.973,3,3.615,36,7.759,2.259,141.442,108.071
5.77,5.248,5.45,0.0,0.0,0.0,106.839,8,0.022,0,0,0,0,-5.01,-4.91,-4.6,3.78,0,0,0.0,14.286,0,0,0,0,155.335,155.335,12,0,0,0,0,0,0,0,4.093,106.283,1.83,0,2.179,1,8.825,0.896,0.098,0,0.75,18.5,0,5.478,583.0,2,17,0,3.71,0.271,3.921,13.881,0,2.041,45.623,1.489,435.544,1327.0,91.5,195.0,1.177,0.013,1.232,19,4.322,18.837,4.628,0.75,14.7,-0.076,14,18,40.903,301.843,728.256,545.508,0,2.979,2.966,2.966,2.0,0,1.562,57.119,5.305,124.355,122.023,1.981,1.0,1.089,22.556,0.075,3.983,0.049,3.366,65507.0,5.136,329.591,89,0.5,0,52.714,3.184,89.5,57.057,3.495,49.4,16.48,1.511,2.749,7.871,3.197,3.197,20.359,5.329,124.355,6.587,20.359,5.361,9.516,1.532,3.073,3,3.765,42,7.629,2.129,161.246,126.113
8.638,6.134,6.394,0.303,0.423,0.624,192.664,23,-0.084,0,1,1,1,-2.14,-2.19,-2.17,0.912,0,0,0.0,0.832,1,1,2,1,236.813,236.813,7,3,2,1,1,1,1,1,5.262,170.235,6.868,1,1.958,4,34.872,1.335,0.143,1,0.25,31.0,6,15.617,1045.0,6,27,2,3.988,0.306,4.257,17.131,1,2.269,147.981,1.773,717.652,2169.0,254.15,374.0,1.688,-0.025,1.396,29,4.907,25.138,4.959,0.5,21.15,0.118,24,17,92.325,443.815,1074.67,782.94,1,2.769,2.83,2.83,2.367,1,1.745,81.515,5.551,372.559,188.432,2.189,0.0,2.229,37.894,0.18,3.809,1.905,3.66,213782.0,5.371,447.302,120,1.0,1,101.071,3.417,135.0,67.504,3.864,47.9,24.08,1.869,3.042,11.48,3.354,3.354,29.12,5.841,372.559,6.952,29.12,5.9,10.629,1.859,3.435,7,4.129,61,8.055,2.555,225.727,183.699
8.796,6.094,6.361,0.303,0.423,0.624,189.054,22,-0.102,0,1,1,1,-1.98,-2.03,-2.03,0.747,0,0,0.0,0.558,1,1,2,1,232.221,232.221,8,3,2,1,1,1,1,1,5.262,170.235,6.446,1,1.957,4,34.872,1.343,0.148,1,0.25,31.0,6,15.065,1024.0,6,27,2,3.977,0.305,4.245,17.067,1,2.238,143.388,1.773,694.769,2128.0,254.15,364.0,1.649,-0.062,1.393,29,4.907,24.229,4.935,0.5,20.65,0.084,23,16,92.074,434.222,1051.26,759.397,1,2.769,2.83,2.83,2.45,1,1.745,82.276,5.523,372.559,188.432,2.189,0.0,2.405,38.972,0.183,3.809,1.905,3.632,208339.0,5.345,364.904,117,1.0,1,97.311,3.413,133.0,65.911,3.86,47.4,23.617,1.834,3.045,11.247,3.354,3.354,28.62,5.816,372.559,6.937,28.62,5.877,10.579,1.821,3.425,7,4.113,60,8.072,2.572,221.149,180.607
6.638,6.061,6.309,0.432,1.896,1.912,211.174,27,-0.089,0,1,2,1,0.37,0.2,-0.03,-1.603,0,0,0.0,2.569,1,0,1,1,194.524,194.524,8,1,0,2,2,2,2,2,5.413,120.158,6.688,2,1.887,4,35.301,1.37,0.22,2,0.25,29.0,9,18.839,1295.0,8,22,3,4.227,0.314,4.471,19.923,2,2.644,198.347,1.819,751.526,2629.0,360.4,480.0,1.787,-0.067,1.439,26,4.755,29.682,5.016,0.5,21.983,0.018,17,20,127.409,471.788,1142.92,879.722,1,2.869,2.923,2.923,3.129,3,1.773,87.38,5.616,528.896,133.397,2.341,0.0,3.148,40.109,0.228,3.908,1.964,3.692,300345.0,5.447,317.82,126,1.0,2,108.573,3.58,147.5,77.918,3.887,47.6,24.659,1.858,3.174,11.638,3.268,3.268,31.397,5.905,528.896,7.094,30.502,5.997,10.79,1.856,3.493,10,4.191,65,8.308,2.808,233.127,203.008
